"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KRISHNA PRATAP","2 - PARASNATH YADAV","3 - RAVI KISHAN","4 - SUBHASH PANDEY","5 - ANUPATI RAM YADAV","6 - ARVIND","7 - GULAB CHAND DUBEY","8 - PRAMOD KUMAR ALIAS PRAMOD BHAI PATEL","9 - PREMCHAND BIND","10 - DR. K. P. YADAV","11 - RAVISHANKAR MAURYA","12 - RAJESH PRAJAPATI","13 - SHAHABUDDIN","14 - SARFARAJ","15 - ANIL KUMAR SINGH","16 - JOGENDRA PRASAD","17 - DHANANJAY SINGH","18 - YOGISH CHANDRA DUBEY","19 - RAVIKANT YADAV","20 - VIMAL KUMAR YADAV","21 - DR. SANJIVAN BIND","22 - None of the Above","Total Votes Secured"
11,"JHS BELWAR SOUTH SIDE",534,433,0,967,296,234,0,530,35,0,360,25,24,85,0,1,1,0,1,19,0,2,0,0,0,4,6,0,1,0,0,1,530
12,"P S NAHARMAU",505,419,0,924,273,255,0,528,527,0,284,37,15,158,2,0,2,1,0,6,0,1,0,4,5,8,3,0,1,1,0,0,528
13,"P S GOLHANAMAU",635,529,0,1164,354,294,0,648,69,0,471,35,15,106,1,1,1,0,0,8,1,2,0,0,1,0,5,0,0,0,1,0,648
14,"P S LEWA",242,194,0,436,110,94,0,204,204,0,115,14,16,40,1,0,0,0,0,2,0,0,0,1,1,0,10,2,0,0,0,2,204
15,"P S KARTORA",373,305,1,679,131,150,0,281,1,0,142,12,25,32,3,2,2,1,0,18,0,0,6,0,3,4,30,0,0,0,0,1,281
16,"K P S SARVEMAU",451,409,0,860,195,190,0,385,376,0,200,19,33,73,2,0,1,1,0,23,2,1,3,2,0,4,17,2,0,1,0,1,385
17,"P S ACHAKARI",441,383,0,824,393,197,0,590,590,0,400,4,17,146,0,0,0,1,0,1,1,0,0,0,0,1,15,0,1,2,1,0,590
18,"P S SHIVRIHA",679,590,0,1269,417,337,0,754,711,0,52,128,4,27,8,2,2,1,4,508,0,2,0,0,1,4,4,6,0,0,0,1,754
19,"P S BHUIDHARA",721,619,0,1340,343,324,0,667,667,0,296,93,159,77,3,1,1,0,1,2,0,0,3,2,0,5,18,2,2,1,0,1,667
20,"SWAMI KRISHNANAND I C BELWAR NORTH SIDE",688,556,0,1244,321,243,0,564,564,0,312,68,100,53,0,0,3,0,0,9,2,1,2,1,1,6,5,0,0,0,1,0,564
21,"SWAMI KRISHNANAND I C BELWAR SOUTH SIDE",356,294,0,650,163,143,0,306,306,0,159,14,45,75,1,0,0,0,0,1,0,3,0,0,0,1,6,0,0,0,1,0,306
22,"SWAMI KRISHNANAND I C BELWAR MIDDLE SIDE",516,457,0,973,221,209,0,430,92,0,214,30,88,79,1,0,1,0,0,1,4,0,3,0,1,2,4,1,0,0,1,0,430
23,"P S KOTILA",300,218,0,518,116,123,0,239,1,0,172,15,25,15,0,0,0,1,1,0,1,0,1,0,0,0,5,1,2,0,0,0,239
24,"P S SAKHAWAT",604,505,0,1109,294,261,0,555,450,0,138,158,17,164,5,3,1,0,0,6,1,1,2,0,4,5,45,2,0,0,0,3,555
25,"SR B S DOMPUR NORTH SIDE",242,193,0,435,101,92,0,193,72,0,54,39,8,58,1,1,0,0,1,23,1,0,1,1,0,0,3,0,0,0,0,2,193
26,"SR B S DOMPUR SOUTH SIDE",336,303,0,639,189,147,0,336,336,0,148,85,17,76,0,0,0,0,0,1,0,0,1,0,0,3,4,0,0,0,0,1,336
27,"P S GAHARPARA",509,459,0,968,264,255,0,519,317,0,242,75,26,133,0,1,0,0,0,1,0,0,1,1,1,4,25,1,0,1,5,2,519
28,"P S MATIYAHI",403,364,0,767,183,164,0,347,53,0,161,90,25,33,4,0,0,0,0,7,0,0,2,1,0,0,22,0,1,0,0,1,347
29,"P S KOTAON WEST SIDE",547,464,0,1011,213,211,0,424,372,0,206,34,13,156,2,0,1,0,0,5,0,0,0,0,0,1,5,0,0,0,1,0,424
30,"P S KOTAON EAST SIDE",445,398,0,843,197,157,0,354,354,0,190,37,34,68,1,1,0,0,0,1,0,0,0,1,2,0,9,4,0,5,1,0,354
31,"P S RAMPUR DAAN",601,500,0,1101,315,299,0,614,611,0,306,62,18,178,5,2,0,0,0,1,0,1,3,0,4,12,18,1,1,1,0,1,614
32,"P S RAMPUR DAAN",254,196,0,450,101,108,0,209,10,0,37,149,1,13,0,0,0,0,0,1,0,0,2,0,1,2,1,1,0,0,1,0,209
33,"P S BABUPUR",297,247,0,544,157,149,0,306,37,0,64,117,20,84,0,0,0,0,8,5,0,0,0,0,0,2,5,0,0,1,0,0,306
34,"P S KHUJJHIDEEH",706,606,0,1312,449,365,0,814,814,0,243,236,20,264,2,1,2,3,1,14,1,0,5,2,4,4,7,0,3,1,0,1,814
35,"P S KARNAULI",820,685,0,1505,446,400,0,846,4,0,343,216,17,230,2,0,2,0,0,8,0,1,4,0,1,8,11,0,2,0,1,0,846
36,"P S DAAN",835,663,0,1498,368,287,0,655,655,0,195,58,19,302,4,1,2,0,0,6,0,1,1,1,4,18,37,1,1,0,0,4,655
37,"JHS SAKARA",675,566,0,1241,352,322,0,674,133,0,177,253,16,127,0,1,1,0,0,2,0,1,6,2,1,7,75,3,0,0,0,2,674
38,"P S VILOI NORTH SIDE",723,623,0,1346,381,366,0,747,747,0,463,150,15,82,2,0,3,2,1,6,0,0,4,1,3,0,13,0,1,0,0,1,747
39,"P S VILOI SOUTH SIDE",397,367,0,764,246,234,0,480,426,0,136,246,5,80,1,0,0,0,0,2,0,0,3,0,1,2,3,0,1,0,0,0,480
40,"P S MALLUPUR EAST SIDE",254,204,0,458,116,126,0,242,242,0,65,46,18,85,2,0,0,0,1,6,0,0,0,0,0,0,17,1,1,0,0,0,242
41,"JHS RAMGADA WEST SIDE",455,342,0,797,244,195,0,439,439,0,267,89,9,32,1,0,0,0,0,7,0,0,1,0,0,2,28,2,0,0,0,1,439
42,"P S GADDOPUR",310,263,0,573,149,165,0,314,18,0,126,53,8,41,0,0,0,2,21,8,0,0,4,0,1,0,45,1,2,0,0,2,314
43,"P S AMAON NORTH SIDE",716,628,0,1344,370,342,0,712,712,0,194,238,49,111,3,0,2,0,0,5,2,2,23,1,1,1,71,5,1,2,1,0,712
44,"P S SARAIKHANI MIDDLE SIDE",773,685,0,1458,392,401,0,793,792,0,340,266,17,124,1,2,2,1,3,10,3,0,3,2,5,6,5,0,1,2,0,0,793
45,"P S DHARAMPUR",412,323,0,735,237,213,0,450,450,0,328,66,10,13,0,0,2,2,0,4,0,0,2,1,0,1,12,2,1,3,1,2,450
46,"P S SAIDANI",453,376,0,829,231,247,0,478,100,0,194,122,24,106,3,0,1,1,1,3,0,1,3,1,0,5,7,0,1,2,1,2,478
47,"P S ROHIYAON",356,291,0,647,184,178,0,362,362,0,217,72,3,28,1,0,0,1,0,1,0,0,0,0,2,2,32,1,0,1,1,0,362
48,"P S GHURIPUR",489,370,0,859,256,214,0,470,470,0,201,133,10,103,1,1,1,0,0,0,1,2,0,0,1,4,11,1,0,0,0,0,470
49,"P S PURA PRATAP SHAH",354,304,0,658,176,156,0,332,332,0,121,56,12,120,2,0,0,0,0,2,1,0,0,0,1,0,14,2,0,0,0,1,332
50,"JHS BERMAON",290,277,0,567,126,105,0,231,88,0,37,52,5,118,0,1,0,3,0,10,0,1,2,0,0,1,1,0,0,0,0,0,231
51,"JHS BERMAON EAST SIDE",590,539,0,1129,281,286,0,567,7,0,258,97,19,128,2,1,0,1,0,13,1,0,1,0,1,9,20,3,5,5,1,2,567
52,"P S RAIPUR KALA",699,605,1,1305,332,326,0,658,412,0,288,143,25,139,2,2,1,0,0,15,2,3,5,2,3,8,16,1,1,1,0,1,658
53,"P S RAIPUR KALA",522,461,0,983,223,255,0,478,378,0,218,48,15,177,1,1,0,1,2,2,1,2,0,2,0,2,4,1,1,0,0,0,478
54,"P S AAJO NORTH SIDE",639,540,0,1179,266,307,0,573,570,0,283,40,5,192,2,4,1,0,1,2,0,0,2,0,1,2,24,6,0,7,1,0,573
55,"P S AAJO MIDDLE SIDE",372,322,0,694,183,157,0,340,340,0,184,79,11,44,1,0,0,0,0,4,0,0,0,0,1,2,11,0,2,0,1,0,340
56,"P S BARJI KALA",352,317,0,669,176,210,0,386,284,0,222,60,21,51,0,0,0,0,0,0,1,0,2,0,0,1,28,0,0,0,0,0,386
57,"P S BARJI KALA",121,107,0,228,70,68,0,138,138,0,81,20,1,34,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,138
58,"P S TAASPUR",418,365,0,783,264,251,0,515,20,0,186,66,23,212,4,0,0,0,1,0,0,4,3,1,0,2,9,0,0,1,1,2,515
59,"SARASWATI I C UNCHGAON NORTH SIDE",799,636,0,1435,391,333,0,724,412,0,413,39,6,151,1,0,0,0,0,1,1,2,3,1,3,7,93,0,1,0,0,2,724
60,"SARASWATI I C UNCHGAON SOUTH SIDE",545,435,0,980,219,227,0,446,412,0,243,101,6,69,0,0,0,0,1,7,0,1,0,0,0,0,11,3,1,0,1,2,446
61,"P S CHHADAN",595,512,0,1107,286,300,0,586,586,0,273,50,10,229,3,0,1,1,2,6,0,1,3,1,1,4,1,0,0,0,0,0,586
62,"P S UMARPUR",618,557,0,1175,350,313,0,663,413,0,132,175,8,245,1,0,1,0,0,12,0,0,7,0,1,2,77,1,0,0,0,1,663
63,"P S BAHARPUR KALA",311,276,0,587,123,111,0,234,234,0,101,70,9,11,0,1,0,0,0,5,0,0,2,0,0,0,32,3,0,0,0,0,234
64,"P S BAHARPUR KALA SOUTH SIDE",606,503,0,1109,292,311,0,603,194,0,189,132,10,206,4,1,0,0,3,7,1,1,4,1,2,5,33,1,1,0,1,1,603
65,"P S ARUWA NORTH SIDE",656,563,0,1219,334,280,0,614,50,0,240,183,37,89,2,1,0,3,1,7,2,1,2,1,4,1,23,8,5,0,2,2,614
66,"P S ARUWA MIDDLE SIDE",647,580,0,1227,400,233,0,633,520,0,266,54,30,244,2,0,2,1,1,12,0,2,2,0,3,2,8,2,0,0,0,2,633
67,"P S NEWARAHA NORTH SIDE",418,346,0,764,194,173,0,367,367,0,178,92,6,57,11,0,0,0,1,0,1,0,3,1,0,2,12,0,0,1,1,1,367
68,"P S NEWARAHA SOUTH SIDE",251,202,0,453,137,120,0,257,257,0,72,53,3,17,3,1,0,1,1,2,0,0,2,0,1,2,87,7,3,0,0,2,257
69,"P S NEWARAHA SOUTH SIDE",681,478,0,1159,301,246,0,547,345,0,275,146,36,69,0,0,0,0,0,0,1,0,1,0,0,1,16,0,0,1,1,0,547
70,"SANSKRIT MAHAVIDYALAY FARIDABAD EAST SIDE",677,559,0,1236,310,300,0,610,610,0,366,32,31,140,1,0,2,0,0,6,0,0,1,0,2,1,27,0,0,0,0,1,610
71,"SANSKRIT MAHAVIDYALAY FARIDABAD WEST SIDE",705,605,0,1310,365,320,0,685,450,0,354,15,14,259,0,1,0,0,0,13,1,0,1,2,0,2,15,1,0,5,0,2,685
72,"JHS SUJANGANJ",503,408,0,911,318,202,0,520,430,0,359,91,28,21,2,0,0,0,0,12,0,0,0,1,1,1,4,0,0,0,0,0,520
73,"JHS SUJANGANJ",491,365,0,856,266,171,0,437,420,0,269,77,18,43,0,0,0,0,0,11,0,0,1,0,0,1,16,1,0,0,0,0,437
74,"R INTER COLLEGE SUJANGANJ",415,330,0,745,198,152,0,350,199,0,196,49,4,89,1,0,0,0,0,0,0,0,0,0,0,1,4,0,3,1,1,1,350
75,"R INTER COLLEGE SUJANGANJ EAST SIDE",415,349,0,764,201,184,0,385,365,0,164,81,6,112,0,0,0,0,0,3,2,0,1,2,0,1,9,1,0,1,0,2,385
76,"R INTER COLLEGE SUJANGANJ WEST SIDE",401,333,0,734,228,191,0,419,419,0,244,129,10,17,0,0,0,0,0,4,1,2,0,1,0,3,4,1,0,0,1,2,419
77,"P S SUJANGANJ NORTH SIDE",869,638,0,1507,375,300,0,675,588,0,418,60,64,96,3,2,0,0,0,1,2,1,1,0,1,4,14,2,0,3,3,0,675
78,"P S SUJANGANJ MIDDLE SIDE",676,541,0,1217,315,245,0,560,403,0,154,242,51,91,2,1,1,0,1,3,0,1,3,0,0,2,6,0,1,0,0,1,560
79,"P S DEEPAKPUR",894,770,0,1664,459,426,0,885,403,0,411,120,26,252,6,1,3,2,4,6,1,2,8,3,4,11,9,4,2,5,1,4,885
80,"P S SABELI EAST SIDE",559,451,0,1010,265,189,0,454,410,0,312,14,20,87,0,0,4,0,0,0,0,1,2,2,0,2,9,0,0,0,0,1,454
81,"P S SABELI WEST SIDE",756,616,0,1372,328,305,0,633,581,0,276,186,13,123,4,2,1,1,1,0,3,1,0,2,1,6,6,2,2,1,0,2,633
82,"P S BARPUR NORTH SIDE",486,366,0,852,273,236,0,509,4,0,314,9,2,154,5,0,0,0,0,2,1,1,0,0,1,1,15,1,0,0,1,2,509
83,"P S BARPUR NEW BUILDING",271,237,0,508,157,126,0,283,105,0,74,24,3,125,0,0,1,1,0,45,0,1,3,0,0,1,4,0,0,1,0,0,283
84,"P S DEVKALI",247,175,0,422,122,101,0,223,127,0,144,58,8,4,0,0,0,1,0,2,0,1,1,0,0,1,1,0,2,0,0,0,223
85,"P S DEVKALI",327,278,0,605,136,232,0,368,368,0,138,101,5,62,0,0,0,0,1,1,0,0,1,1,1,5,32,9,4,3,2,2,368
86,"JHS BASARAHI NORTH SIDE",618,495,0,1113,383,186,0,569,322,0,414,32,38,57,4,0,0,0,1,3,0,0,1,0,1,2,14,0,1,0,0,1,569
87,"JHS BASARAHI SOUTH SIDE",532,465,0,997,307,228,0,535,20,0,407,7,11,58,4,0,0,1,1,16,1,2,4,0,0,2,19,0,1,0,0,1,535
88,"P S KAULI",247,207,0,454,130,139,0,269,21,0,149,14,10,83,1,0,1,0,0,3,0,0,0,0,1,0,4,0,0,1,0,2,269
89,"P S RAMPUR TALUKA ALAIYA",358,280,0,638,256,194,0,450,130,0,256,63,13,67,2,0,1,2,0,30,0,1,1,1,2,3,6,1,0,0,0,1,450
90,"P S HIMMAT NAGAR EAST SIDE",603,451,0,1054,190,159,0,349,328,0,120,68,64,74,1,0,0,0,1,2,1,0,9,0,1,0,7,0,0,0,1,0,349
91,"P S HIMMAT NAGAR WEST SIDE",536,430,0,966,193,200,0,393,201,0,208,41,29,69,7,0,0,0,6,0,0,0,4,0,2,4,2,1,1,0,19,0,393
92,"P S BERRA",229,167,0,396,125,122,0,247,1,0,103,58,0,13,1,0,1,7,0,24,12,0,0,0,3,0,13,5,3,1,1,2,247
93,"P S NARIPUR",611,440,0,1051,321,176,0,497,347,0,271,63,32,83,0,0,0,0,0,2,2,0,0,0,1,1,40,1,0,1,0,0,497
94,"P S BHAISAHA RAMPUR EAST SIDE",529,438,0,967,221,200,0,421,421,0,266,50,15,51,2,0,2,0,0,7,0,1,1,0,0,2,18,3,0,0,1,2,421
95,"P S BHAISAHA RAMPUR WEST SIDE",757,628,0,1385,310,284,0,594,16,0,244,88,62,143,4,0,0,1,0,15,0,0,4,1,0,3,26,0,2,0,0,1,594
96,"P S BHAISAHA RAMPUR MIDDLE SIDE",448,348,0,796,191,138,0,329,52,0,256,28,16,9,0,0,1,1,0,5,1,1,0,0,0,2,5,4,0,0,0,0,329
97,"P S DHARIKPUR EAST SIDE",716,592,0,1308,373,310,0,683,548,0,205,219,35,172,3,2,1,1,1,17,2,0,1,3,5,3,6,2,1,2,0,2,683
98,"P S DHARIKPUR WEST SIDE",175,150,0,325,95,84,0,179,179,0,8,41,3,122,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,179
99,"JHS DEWAPUR",432,372,0,804,206,222,0,428,30,0,210,107,15,73,1,0,0,0,0,4,0,0,1,0,1,1,10,1,1,1,1,1,428
100,"P S ALAIYA NORTH SIDE",408,331,0,739,221,183,0,404,314,0,195,11,9,168,3,0,0,0,0,4,0,0,4,0,0,0,8,0,0,1,1,0,404
101,"P S ALAIYA SOUTH SIDE",267,222,0,489,135,137,0,272,272,0,93,46,18,34,1,0,0,0,0,20,0,0,1,0,1,1,56,1,0,0,0,0,272
102,"P S ALAIYA MIDDLE SIDE",337,292,0,629,167,157,0,324,42,0,220,14,8,39,0,0,0,1,1,8,0,1,0,0,3,0,26,0,2,1,0,0,324
103,"P S HARIPUR",357,306,0,663,183,160,0,343,343,0,192,30,8,100,0,0,1,1,0,4,0,0,0,0,1,1,2,0,2,0,0,1,343
104,"JHS BHATAULI DUBAN",206,191,0,397,178,143,0,321,205,0,243,9,54,11,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,321
105,"P S BAURAI",276,241,0,517,188,164,0,352,288,0,18,2,1,128,2,0,0,2,17,168,1,0,0,0,0,3,9,1,0,0,0,0,352
106,"P S BAURAI",502,390,0,892,252,241,0,493,376,0,81,20,7,8,3,0,0,9,133,174,3,0,3,0,0,4,33,1,10,0,1,3,493
107,"P S SULTANPUR KHAS EAST SIDE",724,564,0,1288,334,299,0,633,629,0,315,35,40,167,4,1,1,0,0,18,1,1,8,1,4,6,17,2,2,7,1,2,633
108,"P S SULTANPUR KHAS WEST SIDE",508,421,0,929,250,204,0,454,400,0,267,46,22,67,2,0,3,2,0,9,1,2,0,1,3,3,25,0,0,0,0,1,454
109,"PANCHAYAT BHAWAN NARHARPUR",585,450,0,1035,406,284,0,690,690,0,341,144,16,137,1,0,0,1,0,12,1,5,6,1,0,2,20,2,0,0,1,0,690
110,"JHS SARAIBHOGI EAST SIDE",824,738,0,1562,388,342,0,730,700,0,334,129,47,79,2,1,2,1,1,18,0,1,4,1,1,6,92,0,4,2,3,2,730
111,"JHS SARAIBHOGI WEST SIDE",498,446,0,944,195,210,0,405,405,0,193,59,10,111,0,0,1,0,0,15,0,0,1,0,0,3,11,0,0,0,0,1,405
112,"P S CHHIMIYA",408,343,0,751,235,198,0,433,102,0,272,87,15,45,1,0,0,0,0,3,0,0,1,1,0,0,6,0,1,1,0,0,433
113,"P S BARAI EAST SIDE",744,605,0,1349,296,304,0,600,515,0,336,61,15,130,1,0,1,1,1,24,2,2,0,1,2,4,12,1,2,3,0,1,600
114,"P S BARAI WEST SIDE",598,503,0,1101,251,258,0,509,443,0,260,87,42,74,1,3,1,0,0,5,0,0,1,1,1,3,20,2,5,1,1,1,509
115,"P S RAYA",523,446,0,969,250,304,0,554,554,0,220,264,13,34,2,2,0,2,0,1,0,1,2,4,0,3,5,0,0,0,1,0,554
116,"P S MOHARIYAON NORTH SIDE",416,357,0,773,243,206,0,449,42,0,197,94,35,55,3,0,2,0,2,10,2,1,3,1,2,4,35,2,0,0,1,0,449
117,"P S GOPALPUR NORTH SIDE",486,425,0,911,209,260,0,469,1,0,162,13,45,214,0,1,1,0,0,2,0,2,4,1,0,3,16,0,0,1,1,3,469
118,"P S KURAWA",331,284,0,615,184,178,0,362,362,0,112,123,20,71,0,0,1,0,0,1,0,7,2,1,2,7,9,2,3,0,0,1,362
119,"PANCHAYAT BHAWAN BARA",495,404,0,899,269,258,0,527,18,0,117,219,75,86,2,0,1,0,0,1,0,1,14,0,1,0,6,0,0,2,0,2,527
120,"P S TARSAON",826,689,0,1515,366,417,0,783,783,0,266,169,68,126,2,4,1,1,3,2,1,1,11,1,1,3,96,10,4,8,0,5,783
121,"P S MUSTAFABAD NORTH SIDE",605,519,0,1124,325,251,0,576,276,0,227,91,67,141,2,0,0,0,2,13,1,0,6,0,0,4,12,2,1,1,3,3,576
122,"P S MUSTAFABAD SOUTH SIDE",599,566,0,1165,281,346,0,627,627,0,112,162,106,215,4,0,1,0,0,5,2,0,4,1,0,2,6,4,1,1,0,1,627
123,"P S MISIRMAU",625,560,0,1185,269,307,0,576,19,0,130,164,7,221,2,0,2,2,1,4,0,1,4,0,1,6,22,1,3,1,1,3,576
124,"P S SADIKALA",832,706,0,1538,421,413,0,834,510,0,76,159,22,302,3,1,0,2,2,211,5,1,5,4,3,2,15,0,17,1,0,3,834
125,"P S HISAMUDDINPUR",675,586,0,1261,337,324,0,661,661,0,253,71,35,149,1,0,2,3,2,28,0,2,3,0,0,3,85,0,21,2,0,1,661
126,"JHS SONAHITA NORTH SIDE",590,536,0,1126,299,298,0,597,596,0,278,139,23,70,1,0,0,0,0,6,0,1,1,2,2,6,54,6,2,3,1,2,597
127,"JHS SONAHITA",259,244,0,503,108,138,0,246,246,0,173,4,13,5,1,0,0,0,0,28,0,0,3,0,3,1,12,1,2,0,0,0,246
128,"JHS SONAHITA",497,435,0,932,253,210,0,463,197,0,57,91,3,119,0,1,0,1,6,146,0,1,2,1,0,1,31,0,0,2,1,0,463
129,"P S DARUNPUR",398,311,0,709,170,143,0,313,1,0,126,31,54,37,1,0,0,0,1,28,1,2,2,0,0,4,25,0,0,0,0,1,313
130,"P S DARUNPUR",345,287,0,632,175,143,0,318,318,0,144,75,8,15,1,2,2,2,6,50,1,0,1,0,2,2,4,1,0,0,0,2,318
131,"P S BIKAIPUR",416,308,0,724,225,185,0,410,1,0,265,27,19,54,0,0,1,0,2,6,1,0,9,0,0,4,20,1,0,1,0,0,410
132,"P S PYAREPUR",612,525,0,1137,295,373,0,668,1,0,242,103,6,35,2,0,2,5,5,205,5,0,6,1,4,8,27,1,8,0,1,2,668
133,"P S PYAREPUR",387,317,0,704,168,145,0,313,101,0,117,15,6,72,1,2,1,0,3,54,2,1,3,1,1,3,27,1,1,0,0,2,313
134,"P S CHANDPUR",662,630,0,1292,384,405,0,789,50,0,166,171,6,7,4,4,3,4,6,359,4,4,4,4,4,3,20,2,4,3,3,4,789
135,"JHS SALARPUR",593,498,0,1091,272,258,0,530,412,0,165,78,26,169,4,3,2,0,0,4,1,0,7,6,1,2,52,3,0,4,2,1,530
136,"JHS SALARPUR",359,295,0,654,174,172,0,346,236,0,96,143,7,29,2,1,1,2,3,18,2,0,2,0,1,2,32,0,5,0,0,0,346
137,"P S BHIKHARIPUR",318,253,0,571,127,139,0,266,263,0,66,66,5,66,1,0,1,2,2,8,1,3,3,1,4,5,25,4,1,0,0,2,266
138,"P S BHIKHARIPUR",353,262,0,615,130,122,0,252,252,0,126,30,10,39,0,4,3,0,1,7,2,3,6,1,5,3,12,0,0,0,0,0,252
139,"P S KARAURA",384,282,0,666,156,148,0,304,304,0,187,55,8,11,0,0,0,0,1,13,0,0,3,0,1,0,22,1,0,0,1,1,304
140,"P S BELAWA",476,418,0,894,294,270,0,564,300,0,90,30,19,185,3,2,0,3,4,191,0,3,1,0,1,1,24,2,2,0,0,3,564
141,"P S THALOI",553,480,0,1033,184,354,0,538,112,0,284,83,9,122,1,1,3,2,1,1,2,1,1,2,2,8,11,3,0,0,0,1,538
142,"P S THALOI",459,410,0,869,208,188,0,396,300,0,234,78,12,48,0,0,0,0,0,5,0,0,0,2,1,3,10,0,2,1,0,0,396
143,"P S THALOI",491,442,0,933,262,263,0,525,525,0,250,78,13,151,2,0,0,2,1,11,2,0,2,0,2,5,3,0,0,1,0,2,525
144,"P S THALOI",484,461,0,945,180,228,0,408,280,0,116,222,32,13,1,1,0,1,0,9,0,0,0,0,1,2,7,1,0,0,1,1,408
145,"P S MATHURA",849,730,1,1580,399,412,0,811,811,0,350,96,13,195,3,0,0,1,1,3,2,2,11,2,3,12,112,3,1,0,0,1,811
146,"P S MATHURA",801,698,0,1499,394,343,0,737,737,0,253,159,43,187,4,2,1,1,1,13,1,2,5,4,1,12,37,1,9,1,0,0,737
147,"P S MATHURA",752,678,0,1430,324,350,0,674,325,0,337,135,44,81,2,3,5,4,2,6,3,6,4,2,5,7,16,0,7,3,1,1,674
148,"P S JUDAUPUR",737,650,0,1387,348,387,0,735,735,0,428,64,16,186,3,1,1,1,0,9,2,1,1,5,2,7,7,0,1,0,0,0,735
149,"P S PARAHIT",858,718,0,1576,437,363,0,800,800,0,197,469,54,20,0,0,2,0,1,22,3,0,0,0,2,3,21,0,3,0,1,2,800
150,"P S PARAHIT",826,727,0,1553,408,415,0,823,623,0,241,172,11,285,1,1,1,1,3,79,1,4,1,1,1,3,14,1,0,0,0,2,823
151,"NARENDRA BAHADUR SINGH P M V GHAGHARIYA",501,453,0,954,211,239,0,450,200,0,222,89,6,43,0,0,2,1,3,22,0,2,5,3,5,5,35,3,1,2,0,1,450
152,"NARENDRA BAHADUR SINGH P M V GHAGHARIYA",298,288,0,586,159,182,0,341,341,0,87,34,5,194,0,0,0,0,0,2,1,0,0,0,1,2,9,1,2,2,1,0,341
153,"NARENDRA BAHADUR SINGH P M V GHAGHARIYA",456,378,0,834,203,197,0,400,396,0,181,39,11,106,3,0,2,0,0,27,2,0,2,0,4,7,11,0,1,1,1,2,400
154,"P S RAMNAGAR",553,486,0,1039,276,292,0,568,312,0,191,45,12,202,5,3,1,0,0,68,0,0,2,0,0,1,22,3,3,8,1,1,568
155,"P S RAMNAGAR",603,493,0,1096,227,217,0,444,224,0,181,143,13,61,1,0,1,0,18,10,1,0,2,1,0,3,7,1,0,0,1,0,444
