"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GIRISH CHANDRA","2 - YASHWANT SINGH","3 - YASHVIR SINGH","4 - OMPRAKASH RAVI","5 - TEJ SINGH","6 - BHAGWAN DASS RATHOR","7 - MANJU DEVI","8 - VINOD KUMAR","9 - SHARISHTHA KUMAR SINGH","10 - SHEESHRAM SINGH RAVI","11 - SARIKA","12 - ASARPAT SINGH","13 - SHAMSHER","14 - SUNIL","15 - None of the Above","Total Votes Secured"
27,"P.V. PITTHAPUR ROOM-4",919,695,0,1614,417,368,0,785,785,0,523,7,165,2,2,0,1,1,1,62,8,4,1,1,7,785
28,"PURV.MA.V. SALEMPUR JHILLA",218,191,0,409,159,154,0,313,313,0,221,43,32,0,0,1,1,0,0,8,0,0,0,4,3,313
29,"P.V. MUBARAKPUR GADHI",499,454,0,953,316,319,0,635,635,0,124,289,77,3,2,110,3,1,1,8,1,4,4,4,4,635
30,"P.V. KURI BANGER",772,636,0,1408,466,460,0,926,926,0,321,349,174,1,0,3,4,2,2,42,2,1,5,6,14,926
31,"P.V. RAMPUR KISHNA",235,204,0,439,170,158,0,328,328,0,78,76,171,0,0,0,1,0,0,0,1,0,1,0,0,328
32,"P.V. MAKANPUR",531,479,0,1010,344,331,0,675,675,0,83,547,27,0,1,5,1,1,0,0,2,0,1,5,2,675
33,"PURVI K.J.H.S. SATTONANGLI",260,225,0,485,194,160,0,354,354,0,3,302,11,0,0,28,0,0,1,2,0,3,0,1,3,354
34,"PURVI K.J.H.S. SATTONANGLI",617,554,0,1171,414,439,0,853,853,0,385,355,31,1,4,45,3,3,1,0,2,1,4,6,12,853
35,"P.V. ROOPPUR",370,332,0,702,255,245,0,500,500,0,340,125,27,1,0,2,0,0,2,0,0,0,2,1,0,500
36,"PANCHAYAT GHAR NAUGRA",306,269,0,575,194,181,0,375,375,0,147,203,17,0,1,1,0,0,0,0,1,0,0,2,3,375
37,"P.V. ANAISA NANGLI",656,567,0,1223,455,411,0,866,896,0,264,318,246,2,2,1,0,1,0,12,2,5,6,4,3,866
38,"PURV.MA.V. DHINGARPUR",533,481,0,1014,342,329,0,671,671,0,42,358,249,3,3,0,0,0,0,4,2,0,2,4,4,671
39,"P.V. DAULTABAD",653,526,0,1179,423,348,0,771,771,0,176,534,53,1,0,1,0,0,0,0,1,0,0,3,2,771
40,"P.V. SHAYAMABAD",228,190,0,418,175,172,0,347,347,0,310,34,0,0,0,0,0,0,0,0,0,1,0,1,1,347
41,"P.V. RATANPURA",629,515,0,1144,347,327,0,674,674,0,188,196,61,5,2,2,1,1,2,204,1,1,1,5,4,674
42,"PURV.MA.V. GOVERDHANPUR",170,172,0,342,151,155,0,306,306,0,15,226,58,0,0,0,2,0,0,2,0,1,0,1,1,306
43,"KISAN H.S.S. MAHMUDPUR ROOM-1",394,341,0,735,301,238,0,539,539,0,18,143,375,1,1,0,0,0,0,0,0,0,1,0,0,539
44,"KISAN H.S.S. MAHMUDPUR ROOM-2",660,540,0,1200,432,378,0,810,810,0,162,66,543,2,2,1,0,0,0,14,4,1,6,3,6,810
45,"P.V. BAGWARA ROOM-1",460,439,0,899,321,311,0,632,632,0,8,452,156,6,0,0,0,0,1,1,1,1,1,2,3,632
46,"P.V. BAGWARA ROOM-2",368,323,0,691,236,256,0,492,492,0,195,60,210,0,0,0,0,0,3,13,0,2,1,4,4,492
47,"P.V. GANDAJUD ROOM-1",673,558,0,1231,446,422,0,868,868,0,260,309,267,5,3,2,1,1,0,8,0,0,3,4,5,868
48,"P.V. GANDAJUD ROOM-2",252,212,0,464,194,157,0,351,351,0,105,218,20,0,1,0,0,0,0,2,1,0,2,0,2,351
49,"P.V. MANJHOLI",249,230,0,479,199,182,0,381,381,0,75,275,27,0,0,0,0,0,2,1,0,0,0,0,1,381
50,"P.V. NICHALPUR",346,332,0,678,288,253,0,541,541,0,112,399,21,0,0,1,0,0,0,0,1,0,1,2,4,541
51,"P.V. AMINABAD",687,586,0,1273,536,408,0,944,944,0,317,372,121,4,3,72,0,4,2,39,0,2,3,4,1,944
52,"P.V. MUJAHIDPUR",273,237,0,510,194,171,0,365,365,0,22,209,125,1,2,0,0,0,0,2,0,0,1,0,3,365
53,"P.V. BHAGWANPUR RAINI",615,540,1,1156,464,377,0,841,841,0,139,493,186,2,1,1,1,0,0,4,0,1,1,4,8,841
54,"P.V. RASULPUR KASBA ROOM-1",670,633,0,1303,448,412,0,860,860,0,300,371,144,4,5,2,2,2,2,13,0,0,2,2,11,860
55,"P.V. RASULPUR KASBA ROOM-2",581,476,0,1057,250,205,0,455,455,0,51,19,356,2,1,0,0,1,0,9,1,1,7,1,6,455
56,"P.V. SAHASPUR 1ST ROOM-1",824,700,0,1524,364,380,0,744,744,0,508,8,152,0,1,0,0,0,1,63,6,0,0,2,3,744
57,"P.V. SAHASPUR 1ST ROOM-2",624,464,0,1088,342,268,0,610,610,0,435,77,63,1,1,2,2,0,2,16,5,1,0,1,4,610
58,"P.V. SAHASPUR  1ST ROOM-3",392,306,0,698,205,158,0,363,363,0,188,2,104,1,1,7,0,0,2,51,0,1,1,2,3,363
59,"P.V. SAHASPUR 2ND ROOM-1",664,537,0,1201,345,280,0,625,625,0,203,4,237,3,0,1,0,1,2,168,2,2,0,1,1,625
60,"P.V. SAHASPUR 2ND ROOM-2",684,570,1,1255,336,299,0,635,635,0,394,30,145,2,1,0,0,2,0,49,5,1,3,0,3,635
61,"P.I.C. SAHASPUR ROOM-1",379,305,0,684,175,163,0,338,338,0,149,4,163,0,0,0,1,0,0,14,4,0,2,0,1,338
62,"P.I.C. SAHASPUR ROOM-2",705,621,0,1326,333,323,0,656,656,0,247,67,209,1,2,0,1,2,2,113,5,1,1,0,5,656
63,"P.I.C. SAHASPUR ROOM-3",615,537,0,1152,276,308,0,584,584,0,281,36,183,3,1,3,0,2,2,63,2,0,3,2,3,584
64,"P.I.C. SAHASPUR ROOM-4",781,641,0,1422,388,389,0,777,777,0,174,12,529,3,2,0,0,0,2,46,5,1,1,0,2,777
65,"P.I.C. SAHASPUR ROOM-5",799,716,0,1515,390,440,0,830,830,0,112,16,526,5,0,0,0,1,1,127,31,3,2,4,2,830
66,"K.PURV.MA.V. SAHASPUR ROOM-1",565,440,0,1005,318,247,0,565,565,0,223,7,293,2,0,2,0,0,0,20,11,1,2,1,3,565
67,"K.PURV.MA.V. SAHASPUR ROOM-2",724,546,0,1270,405,352,0,757,757,0,168,7,533,1,0,0,1,1,0,29,6,1,4,2,4,757
68,"P.V. RASULPUR ROOM-1",606,447,0,1053,310,264,0,574,574,0,317,47,170,0,1,2,0,0,0,27,3,1,1,0,5,574
69,"P.V. RASULPUR ROOM-2",479,380,0,859,229,253,0,482,482,0,197,29,183,2,1,1,0,0,2,61,3,0,1,0,2,482
70,"P.V. MEWANAWADA ROOM-1",685,550,0,1235,450,343,0,793,793,0,270,121,372,3,2,1,1,0,0,18,0,1,1,2,1,793
71,"P.V. MEWANAWADA ROOM-2",543,495,0,1038,310,316,0,626,626,0,170,43,262,3,0,1,0,0,1,129,1,3,3,1,9,626
72,"P.V. MEWANAWADA ROOM-3",407,330,0,737,230,210,0,440,440,0,164,27,199,5,0,0,1,0,0,37,4,2,1,0,0,440
73,"P.V. MEWAJAT ROOM-1",609,461,0,1070,383,281,0,664,664,0,93,151,359,4,3,1,0,0,1,35,3,1,4,4,5,664
74,"P.V. MEWAJAT ROOM-2",481,380,0,861,311,268,0,579,579,0,348,175,35,1,0,1,1,1,1,5,1,1,2,2,5,579
75,"P.V ALAMPURI",495,403,1,899,321,283,0,604,604,0,214,297,61,0,4,2,0,1,1,6,10,2,0,2,4,604
76,"PURV.MA.V. KIWAR ROOM-1",597,530,0,1127,342,263,0,605,385,0,219,166,44,9,0,0,0,1,0,145,0,0,4,4,13,605
77,"PURV.MA.V. KIWAR ROOM-2",566,492,0,1058,287,256,0,543,543,0,82,155,80,7,4,0,0,1,2,206,0,1,1,4,0,543
78,"PURV.MA.V KIWAR ROOM-3",565,454,0,1019,306,229,0,535,535,0,101,266,102,4,5,0,3,0,0,40,2,1,4,1,6,535
79,"ABHINAV P.V. HIRANPUR",551,467,0,1018,368,339,0,707,707,0,149,439,93,0,4,2,2,1,0,1,4,3,3,2,4,707
80,"PANCHAYAT GHAR SADHARANPUR",359,308,0,667,239,232,0,471,471,0,156,167,128,0,0,0,0,1,0,2,1,2,2,4,8,471
81,"P.V. HAMANANGLI",295,253,0,548,202,184,0,386,386,0,130,136,105,1,2,0,0,0,0,3,2,1,1,3,2,386
82,"P.V. KAJAMPUR",631,585,0,1216,456,430,0,886,886,0,154,377,56,5,2,2,2,1,0,264,0,2,4,9,8,886
83,"P.V. MAKSUDPUR ROOM-1",608,556,0,1164,402,421,0,823,823,0,43,163,193,15,0,0,2,1,4,389,5,1,3,0,4,823
84,"P.V. MAKSUDPUR ROOM-2",506,438,0,944,345,311,0,656,656,0,289,220,54,2,4,3,0,2,2,71,1,2,1,3,2,656
85,"P.V. MAKSUDPUR ROOM-3",325,291,1,617,180,200,0,380,380,0,195,9,30,2,1,0,1,0,2,136,3,0,0,1,0,380
86,"P.V. JAIRAMPUR",580,505,0,1085,385,341,0,726,726,0,244,399,59,0,0,1,1,0,2,8,1,2,3,1,5,726
87,"P.V. BURANANGLA",563,482,0,1045,448,326,0,774,774,0,155,485,73,2,0,6,1,0,0,34,0,2,6,7,3,774
88,"P.V. SURANANGLA",536,451,0,987,375,342,0,717,717,0,267,285,134,2,2,5,1,0,0,12,0,0,2,5,2,717
89,"P.V. REHPANPUR",536,430,0,966,291,303,0,594,594,0,101,41,346,8,1,2,0,0,2,73,4,4,0,2,10,594
90,"P.V. JUJHELA",204,169,0,373,143,130,0,273,273,0,35,201,13,0,3,17,0,0,0,0,2,0,0,2,0,273
91,"P.V. MURTZANAGAR URF GANGADHARPUR",712,595,0,1307,468,407,0,875,875,0,177,537,120,2,3,1,0,1,0,5,2,4,6,11,6,875
92,"PURV.MA.V. KOLASAGAR",327,262,0,589,273,208,0,481,481,0,32,423,20,1,0,1,0,0,0,3,0,0,0,1,0,481
93,"P.V. SATWAI",482,389,0,871,327,285,0,612,612,0,248,270,57,1,3,27,0,0,1,2,1,0,0,1,1,612
94,"P.V. BERKHERA ROOM-1",230,198,0,428,171,126,0,297,297,0,34,254,8,1,0,0,0,0,0,0,0,0,0,0,0,297
95,"P.V. BERKHERA ROOM-2",422,369,0,791,301,267,0,568,568,0,322,201,15,0,2,0,1,0,1,15,0,1,1,1,8,568
96,"P.V. SHAHPUR HARRAY",422,380,0,802,277,267,0,544,544,0,301,162,61,2,2,0,1,0,0,3,2,2,2,3,3,544
97,"P.V. DEHRA BULANDI",472,389,0,861,359,290,0,649,649,0,158,450,26,0,0,0,1,0,0,0,4,0,1,4,5,649
98,"P.V. FATEHPUR BULANDI",261,242,0,503,199,183,0,382,382,0,32,333,10,1,0,0,0,0,0,3,0,0,1,2,0,382
99,"P.V. SELAKHEDI RAMKHEDA",607,540,0,1147,433,413,0,846,846,0,420,391,9,2,2,3,0,0,0,1,0,0,5,6,7,846
100,"P.V. RAWANA SHIKARPUR ROOM-1",571,482,0,1053,326,287,0,613,613,0,232,288,49,1,0,1,1,0,1,32,0,0,1,2,5,613
101,"P.V. RAWANA SHIKARPUR ROOM-2",834,699,0,1533,427,396,0,823,823,0,339,130,209,3,0,0,0,0,1,129,4,1,2,2,3,823
102,"MADARSA NOORUL UIOOM RAWANA SHIKARPUR ROOM-1",527,436,0,963,301,266,0,567,567,0,262,90,173,2,0,2,0,1,0,27,2,2,2,0,4,567
103,"MADARSA NOORUL UIOOM RAWANA SHIKARPUR ROOM-2",557,437,0,994,257,251,0,508,508,0,228,41,190,2,1,0,0,0,2,38,1,1,0,2,2,508
104,"P.V. KHUAJA AHMADPUR JALAL",293,257,0,550,248,209,0,457,457,0,186,253,9,1,0,1,1,0,0,1,0,1,0,1,3,457
105,"P.V. AMANATPUR ROOM-1",659,599,0,1258,467,384,0,851,851,0,220,412,195,2,1,2,4,0,1,1,0,1,4,4,4,851
106,"P.V. AMANATPUR ROOM-2",673,589,0,1262,402,378,0,780,780,0,277,271,179,4,2,2,4,1,1,13,4,4,8,6,4,780
107,"P.V. MUNDAKHERI",652,577,0,1229,495,404,0,899,899,0,29,495,315,4,6,14,4,2,3,0,8,1,5,8,5,899
108,"P.V. BHOGPUR",613,524,0,1137,420,356,0,776,776,0,238,484,40,1,2,0,1,0,0,1,1,1,2,3,2,776
109,"PANCHAYAT GHAR MUKAM",208,188,0,396,154,153,0,307,307,0,4,249,31,2,0,3,0,4,0,0,3,0,3,7,1,307
110,"P.V. HUSAINPUR KALA",357,341,0,698,278,267,0,545,545,0,312,122,28,1,0,20,0,1,0,53,1,1,2,1,3,545
111,"P.V. BISHANPURA",493,445,0,938,274,286,0,560,560,0,223,307,19,0,1,0,0,1,0,0,0,1,0,2,6,560
112,"P.V. KAMALA ROOM-1",604,510,0,1114,414,360,0,774,774,0,67,567,33,0,3,76,3,1,0,7,3,3,5,5,1,774
113,"P.V. KAMALA ROOM-2",339,251,0,590,301,183,0,484,484,0,14,453,6,0,1,0,0,0,0,2,0,0,0,6,2,484
114,"P.V. RAHTOLI",424,381,0,805,329,291,0,620,620,0,245,282,15,2,2,36,4,2,0,4,1,5,4,8,10,620
115,"P.V. KHANPUR BILLOCH",575,517,0,1092,381,375,0,756,756,0,72,594,31,3,3,10,3,0,1,4,1,4,6,13,11,756
116,"P.V. KASAMPUR VEERU KHALSA JATTNANGLA",212,178,0,390,142,130,0,272,272,0,104,141,17,0,1,2,1,0,1,2,1,0,0,0,2,272
117,"P.V. MEVLA MAFI",286,249,0,535,192,176,0,368,368,0,135,189,39,1,0,0,1,0,0,0,0,0,1,1,1,368
118,"P.V. HALDUA MAFI",453,394,0,847,298,251,0,549,549,0,26,473,21,1,1,8,1,0,0,1,1,3,2,7,4,549
119,"P.V. RAMPUR",676,524,2,1202,378,362,0,740,740,0,98,342,257,4,0,11,0,0,1,9,1,2,5,5,5,740
120,"P.V. BAHLOLPUR",339,271,0,610,189,188,0,377,377,0,47,114,114,7,0,0,2,0,1,69,3,0,3,9,8,377
121,"P.V. KHAKU NANGLA",317,257,0,574,262,199,0,461,461,0,17,297,135,1,1,6,1,0,0,0,0,0,1,0,2,461
122,"PANCHAYAT BALLA NANGLA PATTI",519,433,0,952,326,275,0,601,601,0,154,174,247,2,2,0,0,0,0,13,1,2,5,0,1,601
123,"P.V. LAMBIYA",289,237,0,526,214,199,0,413,413,0,124,181,92,1,1,0,1,1,0,2,0,2,2,3,3,413
124,"P.V. SHAPUR",585,536,0,1121,367,345,0,712,712,0,205,379,114,2,0,0,0,0,0,3,2,0,1,1,5,712
125,"P.V. AAABIDNAGAR URF DHUNDLI",599,495,0,1094,410,355,0,765,765,0,198,513,20,3,5,3,2,0,1,10,2,0,1,3,4,765
126,"P.V. KHERI",629,523,0,1152,387,362,0,749,749,0,115,215,378,8,0,1,2,0,0,19,1,0,4,3,3,749
127,"P.V. ALAMPUR ADWA",542,519,0,1061,453,362,0,815,815,0,99,655,53,2,0,0,0,0,0,2,0,1,2,1,0,815
128,"P.V. NAWADA RAWANA URF TELIPURA",422,362,0,784,269,243,0,512,512,0,207,258,32,0,1,3,0,0,1,2,0,0,0,3,5,512
129,"P.V. SIDIYAWALI",335,315,0,650,251,254,0,505,505,0,10,467,12,3,2,1,1,1,0,0,1,0,3,3,1,505
130,"R.G.N.P. INTER COLLEGE TAJPUR ROOM-1",580,443,0,1023,337,261,0,598,598,0,95,384,87,0,3,2,2,1,1,7,0,2,6,5,3,598
131,"R.G.N.P. INTER COLLEGE TAJPUR ROOM-2",504,376,0,880,295,213,0,508,508,0,51,275,146,1,0,3,1,0,1,23,2,1,0,1,3,508
132,"R.G.N.P. INTER COLLEGE TAJPUR ROOM-3",566,413,0,979,240,190,0,430,430,0,115,91,204,2,0,0,1,0,0,8,3,0,2,2,2,430
133,"R.G.N.P. INTER COLLEGE TAJPUR ROOM-4",498,321,0,819,184,149,0,333,333,0,96,13,205,3,0,0,0,0,0,11,0,0,2,1,2,333
134,"R.G.N.P. INTER COLLEGE TAJPUR ROOM-5",634,532,0,1166,292,274,0,566,566,0,77,99,378,3,1,0,0,0,0,1,2,0,0,2,3,566
135,"R.G.N.P. INTER COLLEGE TAJPUR ROOM-6",492,462,0,954,261,258,0,519,519,0,17,202,281,3,1,2,0,0,0,3,5,1,0,3,1,519
136,"P.V. 2ND TAJPUR ROOM-1",559,482,0,1041,306,253,0,559,559,0,58,352,145,0,2,0,0,0,0,0,0,0,1,0,1,559
137,"P.V. 2ND TAJPUR ROOM-2",542,412,0,954,267,241,0,508,508,0,58,294,147,1,1,0,2,1,0,1,1,0,0,2,0,508
138,"P.V. 2ND TAJPUR ROOM-3",494,440,0,934,231,237,0,468,468,0,107,255,85,2,2,0,0,1,0,4,5,0,3,2,2,468
139,"P.V. 2ND TAJPUR ROOM-4",591,466,0,1057,385,267,0,652,652,0,285,281,69,0,0,2,0,0,0,0,0,1,2,4,8,652
140,"P.V. 1ST TAJPUR ROOM-1",629,537,0,1166,279,294,0,573,573,0,208,73,219,5,2,10,1,3,0,32,2,2,5,5,6,573
141,"P.V. 1ST TAJPUR ROOM-2",575,450,0,1025,264,221,0,485,485,0,66,356,42,1,2,4,0,0,0,3,0,2,2,3,4,485
142,"P.V. POTA",762,636,0,1398,468,450,0,918,918,0,275,473,67,2,2,77,1,1,1,1,2,4,0,8,4,918
143,"P.V. POTI",480,451,0,931,371,375,0,746,746,0,28,194,183,2,1,208,1,4,6,96,5,8,3,2,5,746
144,"P.V. KANHEDI",620,513,0,1133,473,382,0,855,855,0,176,425,65,3,1,149,6,0,2,1,6,2,3,9,7,855
145,"JUNIOR HIGH SCHOOL IDALPURA URF JOGIPURA",257,236,0,493,198,186,0,384,384,0,13,345,7,1,0,10,1,0,0,0,1,0,1,4,1,384
146,"P.V. JAMALPUR MAN",319,291,0,610,212,230,0,442,442,0,70,264,95,0,0,2,0,0,0,7,1,0,0,2,1,442
147,"P.V. JAMALPUR KIRAT ROOM-1",578,440,0,1018,223,219,0,442,442,0,35,179,176,1,2,0,1,0,0,39,0,2,2,0,5,442
148,"P.V. JAMALPUR KIRAT ROOM-2",323,300,0,623,222,189,0,411,411,0,241,146,8,0,0,1,0,1,0,1,9,1,0,1,2,411
149,"P.V. MUSSEPUR",507,417,0,924,383,266,0,649,649,0,108,481,44,1,0,0,1,0,0,0,0,0,3,6,5,649
150,"P.V. GUNIYAKHEDI",607,515,0,1122,382,356,0,738,738,0,228,446,53,0,0,0,1,0,1,3,1,0,0,2,3,738
151,"UP SAWASTHEYA KENDRA BISHANPUR URF  BIDRA ROOM-1",539,449,0,988,261,263,0,524,524,0,258,60,157,0,0,3,0,0,1,39,1,0,0,2,3,524
152,"UP SAWASTHEYA KENDRA BISHANPUR URF BIDRA ROOM-2",425,360,0,785,189,192,0,381,381,0,199,111,42,2,0,2,0,1,2,14,2,1,1,1,3,381
153,"P.V. DOLATPUR BILLOCH",647,539,0,1186,291,321,0,612,612,0,39,10,357,9,0,0,0,0,2,187,2,1,2,1,2,612
154,"P.V. KHANPUR BILLOCH",312,292,0,604,243,219,0,462,462,0,126,320,8,2,1,0,0,0,0,0,1,0,2,1,1,462
155,"P.V. PURANPUR NANGLA",491,430,0,921,358,328,0,686,686,0,125,254,244,1,1,15,2,0,1,32,0,2,2,4,3,686
156,"P.V. CHELLAPUR",441,350,0,791,303,228,0,531,531,0,111,332,66,1,2,1,1,1,1,1,0,4,0,8,2,531
157,"P.V. SAIDPUR MAFI",183,177,0,360,130,121,0,251,251,0,1,81,161,1,0,0,0,0,0,0,1,2,0,0,4,251
158,"PANCHAYATGHAR MUBARAKPUR NAWADA",690,566,0,1256,454,387,0,841,841,0,353,264,178,2,1,2,2,1,0,20,7,0,3,6,2,841
159,"P.V. ABDULLAPUR DAHANA",496,410,0,906,366,275,0,641,641,0,258,159,204,2,0,3,0,1,1,2,0,3,2,2,4,641
160,"P.V. PATHWARI",662,588,0,1250,443,434,0,877,877,0,348,267,242,3,0,1,0,1,1,3,1,2,0,6,2,877
161,"P.V. NANGLI JAJU",622,572,0,1194,436,370,0,806,806,0,69,461,261,2,1,0,0,0,0,1,0,0,3,6,2,806
162,"P.V. KASAMPUR BILLOCH",431,358,0,789,316,283,0,599,599,0,65,253,207,3,2,51,1,0,0,1,1,2,5,4,4,599
163,"P.V. MAJHOLA BILLOCH ROOM-1",737,703,0,1440,448,477,0,925,925,0,491,272,136,0,1,1,2,1,0,4,3,0,2,1,11,925
164,"P.V. MAJHOLA BILLOCH ROOM-2",297,237,0,534,178,137,0,315,315,0,32,247,21,0,1,1,1,0,0,0,0,0,1,7,4,315
165,"P.V. PURANPUR SYANA",508,423,0,931,421,340,0,761,761,0,219,484,49,0,0,0,0,0,0,0,0,2,2,2,3,761
166,"P.V. RAHTA BILLOCH ROOM-1",646,490,0,1136,291,262,0,553,553,0,172,5,265,7,1,2,0,0,0,85,2,2,4,3,5,553
167,"P.V. RAHTA BILLOCH ROOM-2",313,255,0,568,144,178,0,322,322,0,61,2,146,0,2,0,1,0,0,99,2,4,1,1,3,322
168,"P.V GOHAWER HALLU ROOM-1",577,526,0,1103,392,352,0,744,744,0,298,412,10,2,1,0,0,2,0,0,3,2,6,3,5,744
169,"P.V. GOHAWER HALLU ROOM-2",666,572,0,1238,421,396,0,817,817,0,55,539,197,3,2,0,1,0,2,6,5,1,2,1,3,817
170,"TEG BAHADUR GIRLS JUNIOR HIGH  SCHOOL GOHAWERJAIT RROM-1",759,584,0,1343,425,359,0,784,784,0,228,152,367,6,1,1,2,0,1,4,1,3,9,4,5,784
171,"TEG BAHADUR GIRLS JUNIOR SCHOOL GOHAWERJAIT RROM-2",508,462,0,970,300,288,0,588,588,0,10,486,58,2,2,0,4,0,0,5,3,2,2,8,6,588
172,"TEG BAHADUR GIRLS JUNIOR SCHOOL GOHAWERJAIT RROM-3",823,627,1,1451,393,353,0,746,746,0,92,316,292,0,1,1,0,0,0,38,4,0,1,0,1,746
173,"INTER COLLEGE ASGARIPUR ROOM-1",450,376,0,826,232,217,0,449,449,0,36,243,151,3,0,0,2,0,1,4,2,0,3,2,2,449
174,"INTER COLLEGE ASGARIPUR ROOM-2",484,370,0,854,288,224,0,512,512,0,21,278,189,2,0,3,1,1,1,3,2,2,3,4,2,512
175,"INTER COLLEGE ASGARIPUR ROOM-3",449,397,0,846,265,260,0,525,525,0,276,201,35,0,0,1,1,0,0,3,0,1,0,2,5,525
176,"INTER COLLEGE ASGARIPUR ROOM-4",367,338,0,705,213,209,0,422,422,0,102,259,49,3,1,1,0,0,0,3,1,0,0,2,1,422
177,"P.V. FAIZPUR",513,474,0,987,367,323,0,690,690,0,165,377,129,0,2,0,1,0,0,3,1,0,1,7,4,690
