"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - CHANDAN SINGH","2 - JAYANT CHAUDHARY","3 - PT. YOGESH KUMAR DWIVEDI","4 - HEMA MALINI","5 - ANUJ KUMAR GARG","6 - PT. UDYAN SHARMA","7 - PARSOTTAM","8 - BHUPENDRA KUMAR  DHANGAR","9 - MAHARAM SINGH","10 - MAHESH PRATAP SHARMA","11 - MOHAN SHYAM","12 - THAKUR HEMENDRA VEER SINGH","13 - OM PRAKASH","14 - PRAMOD KRISHNA","15 - FAKKAR BABA RAMAYANI","16 - BHUDEV","17 - RADHACHARAN","18 - RAM BABU SAINI","19 - SATISH CHANDRA SHARMA","20 - HEMA MALINI","21 - None of the Above","Total Votes Secured"
20,"DHARMASHALA BASANTIBAI SABJI MANDI R.N. 2",810,609,0,1419,499,311,0,810,729,0,7,52,66,655,15,0,0,1,0,0,0,0,2,0,1,0,1,0,2,5,3,810
21,"DHARMASHALA BASANTIBAI SABJI MANDI R.N. 3",349,284,0,633,264,167,0,431,388,0,3,23,28,355,13,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,4,431
22,"DHARMASHALA BASANTIBAI SABJI MANDI R.N. 4",772,673,0,1445,523,412,0,935,842,0,6,71,49,761,16,2,1,2,1,1,0,0,1,0,3,2,2,0,1,13,3,935
23,"DHARMASHALA BASANTIBAI SABJI MANDI R.N. 5",539,460,0,999,345,288,0,633,570,0,20,33,37,487,7,1,0,0,0,0,1,1,3,1,2,0,4,1,4,26,5,633
24,"PREM MAHAVIDYALAYA KESHIGHAT R.N. 1",592,202,0,794,272,124,0,396,356,0,1,34,18,323,4,1,0,0,0,0,0,2,2,0,2,1,0,3,0,4,1,396
25,"PREM MAHAVIDYALAYA KESHIGHAT R.N. 2",680,444,0,1124,414,241,0,655,590,0,10,53,44,517,6,0,1,2,0,1,1,2,1,2,1,1,2,3,2,4,2,655
26,"PUBLIC J.H. SCHOOL VRINDAVAN R.N. 1",608,511,0,1119,388,319,0,707,636,0,2,54,95,522,3,7,1,1,0,0,0,1,0,0,0,4,1,1,3,8,4,707
27,"PUBLIC J.H. SCHOOL VRINDAVAN R.N.2",818,668,3,1489,536,426,0,962,866,0,15,87,138,655,11,2,1,1,2,2,1,2,2,0,0,2,4,1,5,30,1,962
28,"CHHABEELALAL SCHOOL VRINDAVAN R.N. 1",683,542,0,1225,446,358,0,804,724,0,3,61,51,646,10,0,3,1,1,2,0,5,2,0,1,4,4,0,1,7,2,804
29,"CHHABEELALAL SCHOOL VRINDAVAN R.N.2",815,664,4,1483,448,362,0,810,729,0,12,46,45,647,15,3,0,1,0,0,1,1,1,2,3,4,3,3,0,20,3,810
30,"HAJARIMAL SOMANI INTER COLLEGE VRINDAVAN R.N. 1",983,612,0,1595,461,343,0,804,724,0,5,46,139,557,15,1,3,0,1,0,0,1,5,1,1,5,1,1,2,18,2,804
31,"HAJARIMAL SOMANI INTER COLLEGE VRINDAVAN R.N. 2",555,287,3,845,253,147,0,400,360,0,0,34,31,322,4,0,2,1,0,0,0,1,0,1,0,0,1,0,0,2,1,400
32,"HAJARIMAL SOMANI INTER COLLEGE VRINDAVAN R.N. 3",908,729,1,1638,505,385,0,890,801,0,6,101,62,702,6,1,1,0,0,0,0,1,2,0,0,0,2,1,0,5,0,890
33,"HAJARIMAL SOMANI INTER COLLEGE VRINDAVAN R.N. 4",259,216,0,475,149,138,0,287,258,0,0,25,13,241,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,287
34,"HAJARIMAL SOMANI INTER COLLEGE VRINDAVAN R.N. 5",802,583,0,1385,431,287,0,718,646,0,17,57,175,441,8,1,1,3,1,0,0,0,0,1,1,2,2,1,1,5,1,718
35,"HAJARIMAL SOMANI INTER COLLEGE VRINDAVAN R.N. 6",738,591,0,1329,461,340,0,801,721,0,17,63,208,464,13,0,0,0,0,5,1,6,3,0,8,5,2,0,1,4,1,801
36,"HAJARIMAL SOMANI INTER COLLEGE VRINDAVAN R.N. 7",306,181,1,488,182,92,0,274,247,0,2,6,41,211,5,0,3,0,0,0,0,0,0,0,0,1,0,0,0,5,0,274
37,"HAJARIMAL SOMANI INTER COLLEGE VRINDAVAN R.N. 8",713,588,0,1301,434,314,0,748,673,0,20,106,208,354,6,3,1,0,0,2,0,1,0,1,8,1,8,4,5,13,7,748
38,"HAJARIMAL SOMANI INTER COLLEGE VRINDAVAN R.N. 9",295,218,1,514,168,111,0,279,251,0,4,42,86,135,2,0,0,0,0,0,0,1,0,2,0,4,1,0,0,2,0,279
39,"HAJARIMAL SOMANI INTER COLLEGE VRINDAVAN R.N. 10",574,479,0,1053,370,333,0,703,633,0,40,57,103,471,8,0,0,0,1,1,0,3,2,0,1,3,4,0,1,8,0,703
40,"NAGAR PALIKA BALIKA INTER COLLEGE VRINDAVAN R.N. 1",728,561,2,1291,458,334,0,792,713,0,30,22,42,628,15,18,0,4,1,1,1,1,2,2,3,9,0,0,1,9,3,792
41,"NAGAR PALIKA BALIKA INTER COLLEGE VRINDAVAN R.N. 2",369,269,1,639,219,148,0,367,330,0,1,40,47,266,3,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,4,367
42,"NAGAR PALIKA BALIKA INTER COLLEGE VRINDAVAN R.N.3",341,226,0,567,206,111,0,317,285,0,2,17,39,250,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,4,1,317
43,"NAGAR PALIKA BALIKA INTER COLLEGE VRINDAVAN R.N. 4",625,494,0,1119,396,292,0,688,619,0,16,144,190,290,7,1,0,0,0,0,1,0,1,4,6,3,8,4,1,10,2,688
44,"NAGAR PALIKA BALIKA INTER COLLEGE VRINDAVAN R.N.5",708,564,0,1272,421,280,0,701,631,0,5,57,65,526,13,0,0,0,0,1,0,0,0,0,0,1,2,0,2,28,1,701
45,"PRIMARY SCHOOL RAJPUR GAURANAGAR R.N.1",602,490,0,1092,310,259,0,569,512,0,10,59,18,446,10,1,2,0,0,1,0,0,1,1,1,1,4,1,1,11,1,569
46,"PRIMARY SCHOOL RAJPUR GAURANAGAR R.N. 2",464,365,0,829,289,221,0,510,459,0,6,32,20,434,1,0,0,1,0,1,0,0,3,0,1,1,3,0,2,4,1,510
47,"PRIMARY SCHOOL RAJPUR GAURANAGAR R.N. 3",314,228,0,542,143,122,0,265,239,0,5,15,16,200,6,0,1,1,0,0,0,0,0,0,2,1,1,2,3,9,3,265
48,"PRIMARY SCHOOL RAJPUR GAURANAGAR R.N.4",781,527,0,1308,405,286,0,691,622,0,13,17,22,625,6,1,1,0,0,0,0,0,0,0,1,1,1,0,0,3,0,691
49,"GURUKUL VISHVA VIDYALAYA RAJPUR GAURANAGAR R.N. 1",907,625,0,1532,554,375,0,929,836,0,19,37,163,637,6,0,1,2,1,4,1,7,2,0,5,6,2,2,2,27,5,929
50,"GURUKUL VISHVA VIDYALAYA RAJPUR GAURANAGAR R.N. 2",377,173,0,550,159,87,0,246,221,0,4,3,5,219,2,0,0,0,0,0,0,0,1,0,0,0,0,2,1,5,4,246
51,"SATYADEVI GARG SARSWATI SHISHU MANDIR KAILASH NAGAR R.N. 1",462,371,0,833,307,234,0,541,487,0,15,31,17,452,8,1,0,0,0,0,0,1,0,0,0,3,1,0,0,12,0,541
52,"SATYADEVI GARG SARSWATI SHISHU MANDIR KAILASH NAGAR R.N. 2",427,404,0,831,275,248,0,523,471,0,5,22,10,456,8,5,3,0,0,0,0,0,1,1,0,0,1,1,1,8,1,523
53,"SATYADEVI GARG SARSWATI SHISHU MANDIR KAILASH NAGAR R.N. 3",609,295,1,905,312,149,0,461,415,0,28,12,7,398,2,0,0,0,0,0,0,2,2,0,0,2,1,0,1,6,0,461
54,"PRIMARY SCHOOL NAU BARAMAD RAJPUR",275,236,0,511,223,191,0,414,373,0,156,26,9,185,12,0,1,0,0,2,1,0,0,2,0,2,4,1,2,9,2,414
55,"P.M.V POLYTECHNIC R.N. 1",723,565,0,1288,412,308,0,720,648,0,10,77,21,569,11,0,1,1,0,2,1,0,2,1,1,1,4,0,0,15,3,720
56,"P.M.V POLYTECHNIC R.N. 2",761,576,0,1337,371,283,0,654,589,0,13,19,33,574,2,0,0,0,0,0,0,1,1,0,2,2,0,0,1,6,0,654
57,"P.M.V POLYTECHNIC R.N.3",605,452,0,1057,399,242,0,641,577,0,3,27,10,552,11,0,1,2,0,1,2,3,5,3,3,5,0,2,6,5,0,641
58,"P.M.V POLYTECHNIC R.N. 4",393,288,0,681,223,124,0,347,312,0,3,15,6,305,2,0,0,1,0,1,1,2,2,0,0,1,0,0,1,7,0,347
59,"PRIMARY SCHOOL LAXMINAGAR JAYSINGHPURA",444,381,0,825,219,189,0,408,367,0,9,98,72,209,1,0,0,0,0,2,2,2,2,1,0,2,2,0,2,4,0,408
60,"PRIMARY SCHOOL  JAYSINGHPURA  FIRST",947,737,1,1685,499,359,0,858,772,0,24,168,109,511,14,1,0,1,3,1,0,0,1,1,0,3,7,1,3,10,0,858
61,"SHRI CHANDRA VIDHAY ASHARAM JAYSINGHPURA R.N. 1",661,512,1,1174,349,241,0,590,531,0,4,40,3,515,16,0,0,0,0,1,0,0,2,0,1,2,2,0,1,3,0,590
62,"SHRI CHAND VIDHAY ASHARAM JAYSINGHPURA R.N. 2",546,467,0,1013,362,266,0,628,565,0,2,22,7,577,4,0,0,0,1,0,0,0,0,0,2,4,2,0,0,5,2,628
63,"SHRI CHAND VIDHAY ASHARAM JAYSINGHPURA R.N.3",954,786,0,1740,394,247,0,641,577,0,10,202,19,358,8,5,0,1,1,7,2,0,1,3,3,2,10,0,2,6,1,641
64,"SHRI CHAND VIDHAY ASHARAM JAYSINGHPURA R.N.4",961,787,0,1748,600,417,0,1017,915,0,10,47,16,902,18,0,1,0,0,0,1,1,3,0,1,0,1,1,1,13,1,1017
65,"SHRI CHAND VIDHAY ASHARAM JAYSINGHPURA R.N.5",774,641,3,1418,476,380,0,856,770,0,0,51,41,735,6,0,0,0,0,0,0,0,0,0,0,1,3,0,1,14,4,856
66,"SHRI CHAND VIDHAY ASHARAM JAYSINGHPURA R.N. 6",680,560,2,1242,449,295,0,744,697,0,15,46,31,614,9,2,1,2,0,0,1,2,1,2,1,7,1,1,1,6,1,744
67,"SHRI CHAND VIDHAY ASHARAM JAYSINGHPURA R.N. 7",649,468,1,1118,405,142,0,547,582,0,2,17,23,459,4,1,2,0,0,2,0,0,0,0,0,2,1,0,4,30,0,547
68,"SHRI CHAND VIDHAY ASHARAM JAYSINGHPURA R.N.8",1074,872,2,1948,299,214,0,513,462,0,3,31,20,433,10,0,0,0,0,1,0,1,4,1,0,0,1,0,0,8,0,513
69,"SHRI CHAND VIDHAY ASHARAM JAYSINGHPURA R.N. 9",278,231,1,510,142,115,0,257,231,0,2,44,1,206,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,257
70,"SHRI CHAND VIDHAY ASHARAM JAYSINGHPURA R.N. 10",825,635,0,1460,405,314,0,719,647,0,20,363,34,280,4,5,0,2,0,3,1,1,2,0,3,0,0,1,0,0,0,719
71,"SHRI CHAND VIDHAY ASHARAM JAYSINGHPURA R.N. 11",743,562,0,1305,402,231,0,633,570,0,11,381,6,175,2,7,1,2,0,11,0,0,3,0,2,5,14,5,1,5,2,633
72,"PRIMARY SCHOOL  JAYSINGHPURA  SECOND R.N. 1",857,620,1,1478,399,279,0,678,610,0,8,182,27,425,7,1,0,0,0,8,0,2,0,2,1,3,5,0,2,3,2,678
73,"PRIMARY SCHOOL  JAYSINGHPURA  SECOND R.N. 2",519,390,0,909,254,206,0,460,414,0,2,68,34,346,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,460
74,"J.N.SCHOOL CHHARAURA R.N.1",594,436,0,1030,397,260,0,657,591,0,3,19,100,502,4,1,0,1,0,0,0,3,1,0,0,5,3,0,1,12,2,657
75,"J.N.SCHOOL CHHARAURA RN.NO.2",498,352,0,850,420,180,0,600,530,0,1,35,14,518,10,0,0,1,1,2,0,3,6,0,1,0,1,0,0,7,0,600
76,"PRIMARY SCHOOL ALHAIPUR",242,203,0,445,195,151,0,346,311,0,1,139,5,178,2,0,1,1,2,1,0,0,1,1,2,0,5,3,0,4,0,346
77,"PRIMARY SCHOOL  GANESHARA R.N. 1",894,724,0,1618,518,347,0,865,779,0,6,51,75,706,4,1,0,0,1,1,0,1,0,0,1,1,0,1,3,13,0,865
78,"PRIMARY SCHOOL  GANESHARA R.N. 2",724,532,0,1256,464,300,0,764,688,0,4,26,284,436,9,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,764
79,"PRIMARY SCHOOL  GANESHARA R.N. 3",621,581,2,1204,448,355,0,803,723,0,4,52,7,707,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,803
80,"POORVA PRIMARY SCHOOL  BAKALAPUR R.N.1",890,689,1,1580,674,458,0,1132,1019,0,18,72,226,777,8,1,2,0,1,0,1,0,3,0,1,3,1,0,1,15,2,1132
81,"POORVA PRIMARY SCHOOL  BAKALAPUR R.N.2",683,552,0,1235,420,292,0,712,641,0,7,49,13,605,14,0,0,0,0,0,0,0,1,0,0,1,1,1,0,15,5,712
82,"PRIMARY SCHOOL    BAKALPUR R.N.1",895,699,0,1594,516,359,0,875,788,0,5,100,21,715,7,0,0,0,0,1,0,0,1,1,1,3,5,0,1,12,2,875
83,"PRIMARY SCHOOL    BAKALPUR R.N.2",995,734,0,1729,462,390,0,852,767,0,6,55,8,756,4,0,0,0,1,1,0,2,1,1,0,3,2,0,0,11,1,852
84,"PRIMARY SCHOOL  SURYA NAGAR INDRAPURI COLONY PART BALALPUR",874,697,1,1572,506,404,0,910,819,0,2,18,639,240,1,0,0,0,0,1,0,0,1,0,1,0,1,1,3,2,0,910
85,"SHRIJI BABA SARASWATI VIDYA MANDIR R.N.1",476,394,1,871,258,214,0,472,425,0,4,10,233,205,2,0,1,0,0,0,0,0,0,0,1,1,3,1,3,7,1,472
86,"SHRIJI BABA SARASWATI VIDYA MANDIR R.N.2",756,566,0,1322,406,266,0,672,605,0,8,80,16,537,4,2,1,0,0,1,1,4,4,2,3,1,2,0,1,5,0,672
87,"SHRIJI BABA SARASWATI VIDYA MANDIR R.N.3",867,712,0,1579,439,313,0,752,677,0,14,144,264,302,2,1,0,3,1,4,0,0,0,4,1,1,4,1,0,5,1,752
88,"PRIMARY SCHOOL    GOVINDPUR NAGARYA CHETIR R.N.1",907,665,0,1572,597,469,0,1066,959,0,5,49,744,236,6,0,1,1,1,2,0,2,2,4,1,2,0,0,3,4,3,1066
89,"PRIMARY SCHOOL    GOVINDPUR NAGARYA CHETIR R.N.2",692,487,1,1180,401,250,0,651,586,0,16,203,72,314,1,0,0,1,3,5,1,1,2,3,3,4,13,2,0,6,1,651
90,"PRIMARY SCHOOL    GOVINDPUR NAGARYA CHETIR R.N.3",702,496,0,1198,392,265,0,657,591,0,2,43,27,545,5,0,1,0,0,3,0,3,2,0,0,5,0,2,3,14,2,657
91,"JAIN CHURASI INTER COLLEGE POORV DISHA R.N 1",410,387,0,797,264,237,0,501,451,0,5,37,2,442,7,0,0,0,0,0,0,0,0,0,1,2,1,0,1,2,1,501
92,"JAIN CHURASI INTER COLLEGE POORV DISHA R.N 2",447,411,0,858,294,240,0,534,481,0,2,23,9,472,18,0,0,0,0,0,0,0,0,0,1,0,1,1,0,7,0,534
93,"JAIN CHURASI INTER COLLEGE POORV DISHA R.N 3",680,557,0,1237,390,312,0,702,632,0,10,42,32,578,10,0,0,0,0,2,0,1,1,0,2,1,0,1,4,12,6,702
94,"JAIN CHURASI INTER COLLEGE POORV DISHA R.N 4",471,434,0,905,321,243,0,564,632,0,6,49,12,483,3,0,0,0,1,0,1,0,0,0,2,1,0,0,0,6,0,564
95,"JAIN CHURASI INTER COLLEGE POORV DISHA R.N 5",533,432,0,965,357,248,0,605,545,0,9,67,2,510,3,1,0,0,0,0,0,0,0,0,2,0,3,0,0,6,2,605
96,"JAIN CHURASI INTER COLLEGE POORV DISHA R.N 6",786,687,0,1473,410,332,0,742,668,0,5,49,15,646,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,742
97,"JAIN CHURASI INTER COLLEGE POORV DISHA R.N 7",633,490,2,1125,452,251,0,703,633,0,13,45,2,618,7,1,0,1,0,0,0,0,1,0,1,2,1,0,0,11,0,703
98,"JAIN CHURASI INTER COLLEGE POORV DISHA R.N 8",316,246,0,562,204,137,0,341,307,0,2,15,0,308,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,341
99,"JAIN CHURASI INTER COLLEGE POORV DISHA R.N 9",511,457,0,968,311,245,0,556,500,0,1,17,267,249,2,0,0,2,0,0,0,2,2,1,1,1,2,0,1,8,0,556
100,"JAIN CHURASI INTER COLLEGE POORV DISHA R.N 10",574,509,0,1083,363,328,0,691,622,0,4,34,16,604,9,0,0,1,1,2,0,0,4,1,1,3,3,0,0,6,2,691
101,"JAIN CHURASI INTER COLLEGE POORV DISHA R.N 11",753,595,0,1348,404,310,0,714,643,0,4,24,28,633,7,1,0,0,1,2,0,0,8,0,0,1,0,0,0,5,0,714
102,"JAIN CHURASI INTER COLLEGE POORV DISHA R.N 12",182,147,0,329,114,93,0,207,186,0,3,15,2,172,6,1,0,0,0,0,0,0,1,0,1,1,0,0,0,3,2,207
103,"JAIN CHURASI INTER COLLEGE POORV DISHA R.N 13",869,701,0,1570,527,376,0,903,813,0,17,52,103,700,8,0,1,0,0,1,0,0,3,2,2,1,3,1,1,8,0,903
104,"SARLA DEVI BAL MANDIR KRISHAN NAGAR R.N 1",404,395,0,799,283,211,0,494,445,0,3,39,17,416,11,0,1,0,0,0,0,0,1,0,2,0,1,0,1,2,0,494
105,"SARLA DEVI BAL MANDIR KRISHAN NAGAR R.N 2",427,391,0,818,253,223,0,476,428,0,8,34,13,389,23,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3,2,476
106,"SARLA DEVI BAL MANDIR KRISHAN NAGAR R.N 3",750,685,0,1435,558,358,0,916,825,0,4,97,23,744,21,0,1,2,0,0,0,0,0,0,0,0,1,2,1,13,7,916
107,"SARLA DEVI BAL MANDIR KRISHAN NAGAR R.N 4",623,540,1,1164,386,351,0,737,663,0,10,55,24,627,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,4,737
108,"SARLA DEVI BAL MANDIR KRISHAN NAGAR R.N 5",673,585,1,1259,416,319,0,735,662,0,10,63,28,595,18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,4,735
109,"SARLA DEVI BAL MANDIR KRISHAN NAGAR R.N  6",929,761,1,1691,601,422,0,1023,921,0,18,134,129,715,12,0,1,0,0,1,0,0,0,1,0,0,0,1,1,9,1,1023
110,"JUNIOR HASTKALA KANYA VIDAYALAYA KRISHNANAGAR R.N. 1",397,363,0,760,243,204,0,447,402,0,3,37,3,386,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,447
111,"JUNIOR HASTKALA KANYA VIDAYALAYA KRISHNANAGAR R.N. 2",410,374,1,785,284,208,0,492,441,0,3,49,10,403,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,1,492
112,"B.S.A. COLLEGE R.N. 1",699,604,0,1303,443,355,0,798,709,0,7,62,4,708,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,798
113,"B.S.A. COLLEGE R.N. 2",426,376,0,802,263,220,0,483,435,0,4,38,8,418,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,483
114,"B.S.A. COLLEGE R.N. 3",710,532,0,1242,466,296,0,762,686,0,10,227,25,457,8,1,0,1,1,3,0,1,2,1,3,3,4,0,0,10,5,762
115,"B.S.A. COLLEGE R.N. 4",496,377,1,874,337,214,0,551,496,0,6,133,9,387,7,2,1,0,0,2,0,0,0,0,0,0,3,0,0,1,0,551
116,"B.S.A. COLLEGE R.N. 5",568,524,0,1092,283,375,0,658,592,0,2,44,13,574,18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,658
117,"B.S.A. COLLEGE R.N. 1",429,394,0,823,304,243,0,547,492,0,1,64,61,394,13,2,1,0,0,0,0,0,0,0,1,2,2,0,0,2,4,547
118,"B.S.A. COLLEGE R.N. 7",878,719,1,1598,576,470,0,1046,941,0,2,79,3,936,16,0,2,0,0,0,1,0,0,0,0,0,0,0,0,6,1,1046
119,"B.S.A. COLLEGE R.N. 8",325,266,0,591,223,175,0,398,358,0,4,54,2,318,5,1,0,1,0,2,0,1,1,0,0,1,0,0,0,7,1,398
120,"B.S.A. COLLEGE R.N.  9",707,622,0,1329,432,318,0,750,675,0,12,120,26,564,16,1,0,0,0,0,0,0,0,0,0,2,1,0,1,6,1,750
121,"B.S.A. COLLEGE R.N. 10",766,649,2,1417,416,345,0,761,685,0,4,71,4,660,7,0,0,0,0,0,0,1,0,1,0,1,1,0,0,8,3,761
122,"B.S.A. COLLEGE R.N. 11",847,648,1,1496,500,434,0,934,841,0,4,107,9,773,11,0,0,0,0,1,0,4,2,0,1,2,2,0,2,13,3,934
123,"B.S.A. COLLEGE R.N.  12",592,544,0,1136,384,365,0,749,674,0,41,51,22,588,31,0,0,1,0,1,0,3,0,0,0,0,0,1,0,5,5,749
124,"B.S.A. COLLEGE R.N.  13",552,494,0,1046,344,290,0,634,571,0,7,103,21,493,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,634
125,"B.S.A. COLLEGE R.N. 14",684,577,1,1262,471,342,0,813,732,0,9,123,34,607,20,0,0,3,0,1,0,2,1,0,1,0,7,0,0,2,3,813
126,"B.S.A. COLLEGE R.N. 15",817,733,0,1550,485,389,0,874,787,0,10,95,150,582,14,0,0,0,0,1,0,0,1,1,0,0,0,0,6,11,3,874
127,"RAMANLAL SORAWALA PUBLIC SCHOOL R.N. 1",497,449,0,946,323,272,0,595,536,0,12,52,4,504,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,595
128,"RAMANLAL SORAWALA PUBLIC SCHOOL R.N. 2",540,472,0,1012,318,248,0,566,509,0,6,48,7,491,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,566
129,"RAMANLAL SORAWALA PUBLIC SCHOOL R.N. 3",423,377,0,800,270,243,0,513,462,0,3,56,14,415,12,0,0,1,0,3,0,0,1,1,1,1,1,0,1,3,0,513
130,"RAMANLAL SORAWALA PUBLIC SCHOOL R.N. 4",643,533,0,1176,409,340,0,749,674,0,13,75,5,627,21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,4,749
