"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY AGRAWAL","2 - PRAVESH SINGH","3 - SONIA GANDHI","4 - ARCHANA SRIVASTAVA","5 - ANJU SINGH","6 - KIRAN CHAUDHARI","7 - KAILASH KUMAR","8 - JAWAHAR LAL","9 - MOHAMMAD ASHRAF","10 - RATIRAM","11 - SHIV SEWAK","12 - SAHAR NAQVI","13 - SURESH CHANDRA","14 - PRAMOD KUREEL","15 - MANGAL SAIN","16 - SHAKIL AHAMAD","17 - SAHADAT ALI KHAN","18 - None of the Above","Total Votes Secured"
15,LODIPUR,299,255,0,554,155,126,0,281,256,0,22,45,190,7,1,0,5,2,1,0,0,0,0,1,0,1,5,1,281
16,DHURAI,819,682,0,1501,364,401,0,765,765,0,158,76,475,11,5,7,1,3,0,1,1,2,5,2,6,9,1,2,765
17,DHURAI,613,492,0,1105,304,287,0,591,586,0,136,7,414,5,1,6,1,1,1,1,1,1,0,4,3,6,1,2,591
18,"PAHROULI URF RANAPUR",281,264,0,545,134,132,0,266,263,0,115,9,124,2,2,0,0,2,0,0,0,3,1,0,1,3,4,0,266
19,"PAHROULI URF RANAPUR",592,510,0,1102,272,268,0,540,539,0,135,53,266,5,5,0,1,1,2,1,0,2,7,5,5,10,41,1,540
20,PAHO,784,679,0,1463,340,330,0,670,650,0,93,57,452,12,4,1,3,2,2,0,1,6,4,13,4,9,2,5,670
21,PAHO,670,632,0,1302,337,283,0,620,612,0,249,8,332,6,2,0,0,0,2,0,0,1,0,6,4,3,4,3,620
22,PAHO,721,646,0,1367,319,351,0,670,645,0,184,25,387,16,3,4,0,3,2,3,2,4,5,12,2,7,3,8,670
23,MADNAPUR,352,282,0,634,122,168,0,290,287,0,80,8,183,4,2,0,0,0,1,0,0,0,2,4,1,2,2,1,290
24,SAGUNI,440,366,0,806,150,216,0,366,342,0,38,58,243,6,1,1,1,3,2,1,1,1,3,0,0,5,1,1,366
25,SAGUNI,250,218,0,468,91,151,0,242,233,0,34,13,168,2,2,0,0,2,2,0,2,0,1,3,4,6,2,1,242
26,"RAMPUR MAJRA",187,161,0,348,90,112,0,202,196,0,16,2,157,5,2,0,2,0,0,0,1,1,2,8,0,5,1,0,202
27,BAROULA,445,396,0,841,253,253,0,506,490,0,113,24,336,6,1,1,0,0,2,1,1,2,2,3,4,2,3,5,506
28,KHAJUHA,495,406,0,901,246,226,0,472,472,0,145,62,231,2,2,0,0,3,1,0,1,2,1,1,5,3,8,5,472
29,"HARIPUR MIRDAHA",713,588,1,1302,280,276,0,556,548,0,33,31,443,6,1,1,0,0,3,1,1,0,2,12,3,6,8,5,556
30,HUSENABAD,326,297,0,623,196,188,0,384,384,0,45,6,324,2,0,0,0,1,0,1,0,1,0,0,0,2,1,1,384
31,BAROUNDI,430,360,0,790,190,221,0,411,411,0,99,97,202,1,0,2,0,0,0,0,1,0,1,2,0,3,2,1,411
32,LALPUR,312,253,0,565,142,155,0,297,280,0,41,12,222,4,0,0,0,0,1,4,1,1,3,1,2,4,0,1,297
33,SADULLAPUR,257,238,0,495,112,142,0,254,254,0,40,28,163,1,0,1,1,0,0,1,2,0,2,5,2,4,2,2,254
34,KURSANDI,503,450,0,953,235,230,0,465,465,0,174,27,214,6,3,2,3,0,0,1,1,2,4,7,5,7,8,1,465
35,HARDI,588,488,0,1076,280,235,0,515,515,0,128,14,338,5,1,2,1,3,0,0,1,0,4,4,2,9,0,3,515
36,"KHANPUR KHUSHTI",668,595,0,1263,323,290,0,613,613,0,183,88,298,3,3,4,0,3,2,0,0,2,3,10,5,2,3,4,613
37,MIRJAPUR,420,391,0,811,210,134,0,344,337,0,108,7,198,12,2,0,5,1,0,2,0,2,0,4,1,1,0,1,344
38,KISUNKHEDA,436,363,0,799,184,179,0,363,363,0,64,18,258,2,1,1,7,0,0,0,0,1,2,2,1,1,2,3,363
39,UDVATPUR,296,262,0,558,152,115,0,267,267,0,34,22,180,7,0,0,2,0,2,0,2,1,0,3,2,2,5,5,267
40,KETANPUR,366,314,0,680,182,181,0,363,363,0,52,43,240,0,3,0,0,0,0,5,1,1,5,6,3,3,0,1,363
41,"RAMUVAPUR DUBAI",525,444,0,969,270,265,0,535,531,0,140,15,353,13,2,1,1,1,0,0,1,0,2,2,2,1,0,1,535
42,"RAMUVAPUR DUBAI",371,329,0,700,208,216,0,424,417,0,183,31,189,3,2,2,0,1,1,0,0,0,1,4,1,4,2,0,424
43,BASAWANKHEDA,389,335,0,724,221,231,0,452,446,0,106,12,300,6,3,1,1,0,1,1,0,2,1,9,4,3,0,2,452
44,SEMARI,665,535,0,1200,331,293,0,624,624,0,173,8,409,7,3,2,1,0,0,0,1,0,2,8,2,7,1,0,624
45,SEMARI,503,440,0,943,217,232,0,449,398,0,51,37,330,4,2,1,1,0,2,1,1,0,1,6,4,4,1,3,449
46,SEMARI,642,535,0,1177,320,282,0,602,602,0,90,15,443,16,6,0,0,3,0,2,0,4,1,6,2,7,2,5,602
47,SEMARI,530,418,0,948,262,309,0,571,561,0,138,11,378,7,3,1,3,0,2,0,0,3,3,8,3,4,3,4,571
48,BAKULIHA,531,461,0,992,290,207,0,497,496,0,136,33,287,5,0,2,1,2,2,0,1,1,3,14,4,6,0,0,497
49,BAKULIHA,493,424,0,917,262,234,0,496,487,0,123,8,326,6,3,3,1,1,1,0,1,2,1,11,2,3,1,3,496
50,BAKULIHA,656,521,0,1177,329,318,0,647,647,0,208,69,324,2,4,1,1,0,1,1,2,3,4,7,8,8,2,2,647
51,BHITARI,534,426,0,960,246,244,0,490,480,0,111,19,313,10,2,1,3,0,0,0,0,1,1,3,3,4,8,11,490
52,BHITARI,710,551,0,1261,351,292,0,643,624,0,172,30,385,10,3,2,0,1,3,1,1,0,7,9,2,4,9,4,643
53,KHARAGAPUR,832,712,0,1544,361,367,0,728,720,0,194,25,436,10,5,4,2,3,3,1,4,2,4,7,6,11,5,6,728
54,APSARI,250,214,0,464,126,123,0,249,249,0,82,5,146,2,0,1,0,3,1,0,0,1,0,4,0,1,2,1,249
55,"BIJEMAU KHAPURA",530,455,0,985,265,260,0,525,525,0,182,16,299,6,3,0,0,1,0,1,1,0,0,7,3,5,0,1,525
56,"BIJEMAU KHAPURA",520,411,0,931,261,234,0,495,494,0,153,39,263,6,1,0,1,3,1,1,0,1,4,9,4,5,1,3,495
57,"SINGHOUR SEMARI",451,342,0,793,202,217,0,419,419,0,94,8,276,5,1,2,1,0,2,0,0,2,3,6,3,1,7,8,419
58,KANHAMAU,439,325,0,764,216,180,0,396,387,0,204,8,158,6,2,3,1,0,0,0,0,0,2,1,2,7,2,0,396
59,MALPUR,254,201,0,455,124,124,0,248,233,0,83,8,148,0,2,1,0,0,0,0,0,0,0,3,1,2,0,0,248
60,"JOGAPUR BARIGAON",798,636,0,1434,360,286,0,646,630,0,104,30,478,6,2,2,1,0,1,1,0,1,4,6,1,4,3,2,646
61,"JOGAPUR BARIGAON",889,687,0,1576,390,305,0,695,670,0,79,78,492,14,3,0,0,0,0,0,2,2,0,2,4,5,3,11,695
62,DEVPUR,473,375,0,848,248,267,0,515,500,0,66,5,421,5,0,0,0,2,2,0,0,0,0,2,3,5,0,4,515
63,DEVLI,208,187,0,395,115,117,0,232,229,0,39,2,177,1,1,0,2,0,0,0,0,2,0,1,0,3,3,1,232
64,MANPUR,427,371,0,798,218,198,0,416,415,0,136,16,240,3,2,1,0,0,0,6,1,0,0,1,0,2,6,2,416
65,SAKATPUR,801,566,0,1367,318,276,0,594,580,0,103,10,435,8,1,3,1,1,2,3,2,3,3,2,0,4,6,7,594
66,KESHOULI,670,554,0,1224,325,337,0,662,643,0,110,83,384,11,6,1,7,1,7,2,2,7,8,5,10,16,2,0,662
67,LACHHIPUR,606,496,1,1103,293,236,0,529,518,0,80,9,402,9,2,1,0,0,0,4,2,0,1,3,4,2,1,9,529
68,LACHHIPUR,446,353,0,799,244,213,0,457,434,0,92,26,295,6,3,3,2,1,0,1,0,1,4,1,8,11,1,2,457
69,DEVGAON,526,407,0,933,220,225,0,445,428,0,93,20,308,2,2,1,2,1,1,1,2,0,0,5,1,2,3,1,445
70,KALUPUR,456,443,0,899,227,256,0,483,480,0,80,16,346,7,0,3,15,1,1,0,1,0,1,6,0,4,1,1,483
71,SHYAMPUR,265,244,0,509,131,164,0,295,278,0,39,4,236,3,2,2,1,0,0,0,0,1,0,1,0,1,0,5,295
72,KHANDEPUR,595,474,0,1069,280,304,0,584,570,0,51,88,394,3,1,2,2,0,5,1,1,0,7,4,3,1,4,17,584
73,KHANDEPUR,296,230,1,527,143,118,0,261,250,0,51,8,190,2,0,0,0,1,1,0,0,0,1,1,2,2,2,0,261
74,"HARIPUR NIHASTHA",299,247,0,546,196,165,0,361,341,0,118,5,224,0,1,0,0,1,2,0,0,1,1,2,3,0,1,2,361
75,NIHASTHA,557,493,0,1050,338,256,0,594,564,0,128,17,409,7,2,0,0,2,4,0,1,0,3,8,3,3,1,6,594
76,NIHASTHA,628,516,0,1144,336,301,0,637,635,0,126,23,445,10,3,3,1,0,1,1,1,2,1,4,8,3,5,0,637
77,"JAGATPUR RAMGADHI",450,353,0,803,234,188,0,422,420,0,88,14,279,3,3,0,10,3,0,0,0,0,4,8,3,3,1,3,422
78,BARAHA,697,626,0,1323,373,348,0,721,715,0,163,99,438,5,2,0,0,0,1,0,0,0,0,1,2,0,3,7,721
79,SARAY,383,324,0,707,182,170,0,352,338,0,24,110,199,6,1,0,2,0,0,0,0,2,2,1,2,2,0,1,352
80,GAHIRI,542,481,0,1023,262,244,0,506,502,0,62,27,393,8,1,1,0,1,3,1,0,0,2,1,1,1,1,3,506
81,GAHIRI,576,507,0,1083,230,247,0,477,473,0,152,14,298,1,2,0,0,1,0,0,0,1,1,1,0,5,0,1,477
82,GAHIRI,677,600,0,1277,276,329,0,605,550,0,57,18,469,12,4,4,4,1,0,3,1,4,1,12,7,6,0,2,605
83,SAIMBASI,709,591,0,1300,340,336,0,676,671,0,74,51,497,13,2,1,4,1,2,4,2,2,4,6,5,5,0,3,676
84,SATANPUR,672,519,0,1191,301,250,0,551,542,0,51,8,448,8,1,2,3,2,0,2,3,2,5,5,5,3,1,2,551
85,SATANPUR,669,572,0,1241,338,355,0,693,693,0,118,46,487,12,2,1,0,1,1,1,0,1,1,6,4,4,3,5,693
86,RANIPUR,471,409,0,880,229,236,0,465,465,0,47,19,362,4,4,0,8,4,1,1,1,2,2,2,1,3,1,3,465
87,BARI,323,272,0,595,100,93,0,193,182,0,28,3,147,4,1,0,1,1,2,1,0,0,1,1,0,2,0,1,193
88,CHIKHADI,237,204,0,441,87,148,0,235,217,0,39,0,175,2,0,0,1,1,1,0,0,0,1,2,4,6,0,3,235
89,BANAIMAU,349,311,0,660,175,193,0,368,368,0,56,41,252,3,2,0,0,2,0,1,0,1,0,4,3,1,0,2,368
90,NUNERA,537,469,0,1006,214,324,0,538,537,0,65,25,411,7,4,2,1,1,1,1,0,0,4,3,4,1,1,7,538
91,SEVANPUR,631,517,0,1148,270,277,0,547,520,0,114,6,370,9,2,2,5,1,3,4,2,1,0,8,2,8,5,5,547
92,KHIRON,881,718,0,1599,400,330,0,730,700,0,193,86,379,6,1,2,3,0,3,0,4,5,9,11,2,9,13,4,730
93,KHIRON,516,440,0,956,255,236,0,491,472,0,79,10,374,8,3,0,0,0,1,0,1,0,1,4,1,3,6,0,491
94,KHIRON,444,357,0,801,214,208,0,422,413,0,51,5,294,5,1,1,0,2,0,0,1,3,1,3,0,3,51,1,422
95,KHIRON,847,683,0,1530,450,337,0,787,760,0,167,45,494,6,7,0,1,3,0,0,4,3,4,8,3,7,33,2,787
96,KHIRON,447,404,0,851,235,210,0,445,442,0,134,13,271,3,3,2,1,0,1,0,2,2,4,2,0,4,2,1,445
97,KHIRON,718,627,0,1345,384,334,0,718,710,0,123,67,439,14,11,4,12,0,3,3,0,2,1,8,6,5,10,10,718
98,HARIRAMKHEDA,284,234,0,518,156,162,0,318,317,0,107,5,171,3,2,0,0,1,2,0,0,2,0,1,2,6,12,4,318
99,DUKANAHA,660,571,0,1231,300,319,0,619,590,0,166,17,389,5,3,0,1,1,1,1,2,1,4,17,1,2,4,4,619
100,DUKANAHA,733,629,0,1362,323,365,0,688,652,0,95,34,500,6,2,0,7,2,2,2,1,2,3,11,4,9,3,5,688
101,MEDOULI,541,466,0,1007,241,267,0,508,495,0,72,39,370,10,2,0,1,0,4,0,1,0,1,3,0,3,0,2,508
102,MEDOULI,490,426,0,916,198,269,0,467,459,0,61,13,354,12,1,1,1,0,0,1,0,0,4,5,3,5,3,3,467
103,BHITARGAON,570,446,0,1016,285,217,0,502,498,0,141,35,280,6,3,0,2,3,0,1,0,1,1,4,5,1,9,10,502
104,BHITARGAON,769,613,0,1382,342,299,0,641,641,0,118,38,440,10,5,0,2,3,0,0,3,0,1,3,2,0,5,11,641
105,BHITARGAON,685,566,0,1251,219,263,0,482,463,0,82,32,316,7,4,0,7,0,1,2,2,3,9,5,4,8,0,0,482
106,BHITARGAON,789,677,0,1466,310,342,0,652,639,0,55,16,528,8,4,5,0,1,3,1,2,3,7,8,1,7,1,2,652
107,BHITARGAON,628,521,0,1149,302,277,0,579,579,0,142,20,376,10,2,3,1,0,2,0,3,7,2,5,3,2,0,1,579
108,BHITARGAON,568,455,0,1023,221,200,0,421,415,0,67,36,300,7,0,0,1,1,0,0,0,1,1,0,2,3,1,1,421
109,BASIGAVAN,266,233,0,499,155,176,0,331,313,0,42,3,268,0,2,2,2,0,0,0,0,0,3,2,1,3,1,2,331
110,CHANDEMAU,538,440,0,978,230,266,0,496,496,0,51,36,371,9,1,3,4,0,2,4,1,2,1,5,0,3,1,2,496
111,MERAMAU,400,347,0,747,175,241,0,416,416,0,49,10,335,7,0,0,1,1,0,1,0,1,1,1,4,5,0,0,416
112,JASAUMAU,534,409,0,943,174,258,0,432,415,0,67,19,301,11,0,2,0,0,2,2,0,0,1,4,2,5,5,11,432
113,JASAUMAU,385,350,0,735,136,207,0,343,323,0,59,5,239,6,0,5,2,0,0,1,1,2,4,10,3,4,0,2,343
114,AKHAUPUR,677,607,0,1284,273,304,0,577,545,0,154,34,340,5,5,1,1,2,4,0,1,2,5,6,3,9,3,2,577
115,BARVALIYA,436,369,0,805,206,225,0,431,430,0,49,13,353,3,0,0,2,1,0,1,1,1,1,3,1,1,1,0,431
116,TIKVAMAU,342,317,0,659,165,167,0,332,322,0,68,5,245,3,2,0,0,2,0,0,0,0,2,4,0,1,0,0,332
117,KAMALPUR,436,377,0,813,157,225,0,382,382,0,52,20,285,5,2,1,0,1,0,2,1,2,0,2,1,3,2,3,382
118,AKOHARIYA,423,388,0,811,126,239,0,365,365,0,47,7,282,3,1,0,1,1,1,2,0,1,3,5,4,5,0,2,365
119,JAMKORIYAPUR,283,240,0,523,106,167,0,273,247,0,23,13,216,3,0,1,1,0,1,0,0,0,3,6,2,2,0,2,273
120,AJITPUR,541,514,0,1055,262,323,0,585,583,0,179,15,356,3,0,0,0,2,3,0,0,2,5,13,1,4,2,0,585
121,SEHARAMAU,306,267,0,573,165,146,0,311,302,0,28,5,217,5,0,1,35,0,1,1,0,2,5,3,1,5,1,1,311
122,RAIPUR,471,406,0,877,193,246,0,439,420,0,49,44,303,8,1,1,0,0,0,0,2,0,0,22,0,5,1,3,439
123,AKOUNI,746,578,0,1324,356,333,0,689,639,0,78,97,451,7,1,5,1,2,1,0,3,1,3,5,7,14,2,11,689
124,GOUNAHA,421,355,0,776,241,244,0,485,482,0,17,46,400,3,0,1,0,2,0,1,1,0,0,5,0,3,1,5,485
125,LOHDA,602,537,0,1139,262,314,0,576,546,0,141,56,362,5,1,0,1,0,2,0,0,1,0,3,0,0,2,2,576
126,LOHDA,547,444,0,991,130,221,0,351,345,0,23,33,255,19,1,2,3,0,0,1,0,2,2,4,1,3,1,1,351
127,DOMAPUR,698,590,0,1288,287,323,0,610,599,0,221,18,338,3,1,3,3,1,1,0,0,1,2,6,3,8,0,1,610
128,GAMMBHIPUR,731,612,0,1343,436,266,0,702,680,0,237,15,407,6,2,0,1,1,1,3,0,3,2,8,6,5,1,4,702
129,SHEKHAPUR,363,309,0,672,149,209,0,358,338,0,97,41,192,6,2,1,2,0,0,1,1,0,0,4,2,8,1,0,358
130,MANPUR,328,284,0,612,123,192,0,315,415,0,29,4,237,9,0,2,1,1,1,0,1,3,2,13,3,5,2,2,315
131,RAULA,429,389,0,818,177,183,0,360,345,0,71,30,234,5,0,0,1,1,0,1,0,3,0,1,3,1,6,3,360
132,SHEJAURA,576,543,0,1119,288,327,0,615,602,0,168,14,403,3,4,1,0,1,0,1,2,1,1,7,3,3,1,2,615
133,SHAHJAURA,293,271,0,564,182,200,0,382,357,0,149,16,196,1,0,0,0,0,0,0,0,0,5,6,2,3,0,4,382
134,"GOVINDPUR KATHOIYA",577,477,0,1054,253,271,0,524,513,0,118,67,288,2,2,2,13,1,1,1,0,2,2,6,2,6,6,5,524
135,BANS,486,417,0,903,189,225,0,414,405,0,70,9,306,7,1,1,2,1,2,0,1,0,0,2,3,2,4,3,414
136,SEHJADPUR,346,284,0,630,156,180,0,336,336,0,59,48,197,11,1,2,2,0,0,1,1,3,0,2,1,3,2,3,336
137,"PURE LAL SAHAB MAJRE HAJIPUR",525,456,0,981,147,280,0,427,410,0,169,17,208,1,3,1,0,2,1,2,0,0,4,3,3,9,2,2,427
138,"PURE LAL SAHAB MAJRE HAJIPUR",566,519,0,1085,143,239,0,382,356,0,98,58,193,1,0,2,0,1,1,1,0,1,1,3,4,10,6,2,382
139,HAJIPUR,615,519,0,1134,247,250,0,497,487,0,125,44,305,4,0,0,0,1,0,0,2,1,1,1,0,6,3,4,497
140,HAJIPUR,646,523,0,1169,238,270,0,508,502,0,84,88,301,5,1,3,2,0,0,0,0,3,1,5,4,6,1,4,508
141,JAITIPUR,474,404,0,878,146,252,0,398,388,0,16,7,340,9,2,1,1,0,1,0,1,3,1,4,4,6,0,2,398
142,CHANDVAL,347,286,0,633,140,179,0,319,311,0,42,23,237,3,1,2,0,0,0,1,0,0,1,3,2,1,0,3,319
143,"PAHADPUR KHEDA",262,216,0,478,108,157,0,265,262,0,14,9,224,3,0,2,0,0,1,1,1,0,1,5,0,3,1,0,265
144,"SULTANPUR KHEDA",561,469,0,1030,179,173,0,352,332,0,48,2,255,6,3,2,4,1,4,1,5,0,5,9,4,2,1,0,352
145,"SULTANPUR KHEDA",368,302,0,670,138,114,0,252,233,0,41,9,175,6,0,0,8,1,0,2,0,1,1,1,2,3,1,1,252
146,"SULTANPUR KHEDA",517,416,0,933,208,181,0,389,385,0,57,26,287,3,0,0,0,1,0,2,0,1,1,4,1,1,0,5,389
147,"SULTANPUR KHEDA",771,682,0,1453,252,252,0,504,500,0,87,34,346,4,5,2,12,0,1,0,1,1,2,3,2,2,0,2,504
148,"SULTANPUR KHEDA",558,466,1,1025,232,272,0,504,498,0,18,21,400,7,5,1,7,1,4,1,4,1,4,10,7,9,1,3,504
149,JARIYA,335,259,0,594,147,143,0,290,280,0,32,34,204,1,0,0,1,0,1,0,1,1,2,3,2,8,0,0,290
150,"SHAM SHER SINGH MAJRE ATAURA BUJURG",590,501,0,1091,138,284,0,422,410,0,26,21,333,12,5,0,6,0,1,3,0,3,0,4,1,1,0,6,422
151,"PURE SHIVA MAJRE ATAURA BUJUG",376,292,1,669,95,162,0,257,238,0,14,20,202,0,3,3,2,0,0,0,0,1,3,3,2,3,1,0,257
152,"ATAURA BUJURG",604,541,0,1145,237,331,0,568,532,0,24,17,506,7,4,0,0,0,0,0,0,0,1,3,1,1,1,3,568
153,"ATAURA BUJURG",282,253,0,535,149,163,0,312,267,0,25,12,267,1,0,0,0,0,0,0,0,1,0,1,0,3,0,2,312
154,"ATAURA BUJURG",449,378,0,827,241,209,0,450,425,0,108,44,269,3,2,2,2,1,0,0,0,1,1,4,4,1,5,3,450
155,"ATAURA BUJURG",414,356,0,770,194,238,0,432,395,0,39,19,342,4,1,1,0,0,2,0,2,1,4,5,3,7,0,2,432
156,"SARAI DIGOSA",446,373,0,819,186,243,0,429,419,0,148,66,158,1,4,35,2,0,0,1,1,0,2,3,2,3,1,2,429
157,BARUWA,490,396,0,886,184,285,0,469,460,0,89,21,334,3,1,1,1,2,2,0,2,0,2,6,2,3,0,0,469
158,BARAUWA,266,202,0,468,113,108,0,221,202,0,11,2,170,3,0,21,0,0,0,7,0,0,0,2,2,2,1,0,221
159,"KALYANPUR RAILI",803,681,0,1484,342,364,0,706,690,0,93,43,524,12,1,6,2,1,1,2,3,0,2,2,4,6,1,3,706
160,SHAHPUR,365,312,0,677,204,185,0,389,341,0,27,9,324,14,2,0,2,0,0,1,0,1,0,2,2,3,1,1,389
161,"JAG JEEVANPUR AMRIYA",267,220,0,487,158,135,0,293,274,0,108,37,134,3,0,2,0,1,1,1,0,1,0,2,1,2,0,0,293
162,"ALIPUR AIMA",483,393,0,876,227,238,0,465,465,0,57,112,267,8,1,3,1,1,0,1,0,2,2,2,5,1,0,2,465
163,KELAULI,525,433,0,958,241,150,0,391,391,0,60,31,257,2,0,5,6,2,0,2,3,5,2,2,4,8,2,0,391
164,KELAULI,430,347,0,777,219,194,0,413,413,0,80,42,254,5,2,1,3,0,2,3,0,0,3,6,6,3,1,2,413
165,KELAULI,571,476,0,1047,258,230,0,488,455,0,107,60,286,9,0,10,2,1,1,0,1,3,1,2,2,0,0,3,488
166,KELAULI,298,257,0,555,187,154,0,341,337,0,48,28,242,4,1,6,1,0,1,1,1,0,1,1,0,3,1,2,341
167,SOITHA,254,231,0,485,183,188,0,371,371,0,19,90,244,5,1,2,1,1,0,0,0,0,0,1,1,0,1,5,371
168,DEDAUR,240,219,0,459,135,107,0,242,233,0,44,5,177,8,1,0,0,0,0,0,0,1,0,3,0,0,0,3,242
169,DEDAUR,547,482,0,1029,325,257,0,582,539,0,66,39,415,37,2,0,0,1,0,0,1,1,1,2,1,1,4,11,582
170,DEDAUR,540,466,0,1006,332,258,0,590,580,0,47,31,442,22,0,1,2,2,0,3,1,1,5,3,3,7,7,13,590
171,"PURE UMMED MAJRE DEDAUR",344,308,0,652,196,138,0,334,325,0,27,30,252,5,2,0,1,1,0,0,2,0,2,2,4,0,0,6,334
172,SONIKAMAU,659,555,0,1214,334,281,0,615,598,0,51,96,420,3,1,2,1,1,3,1,4,4,3,6,2,8,1,8,615
173,"BATHUWA KHAS",517,475,0,992,245,225,0,470,450,0,51,116,261,10,1,3,0,0,1,4,2,0,2,4,5,7,2,1,470
174,"BATHUWA KHAS",395,317,0,712,228,199,0,427,402,0,75,13,298,6,3,9,0,1,1,0,0,2,5,4,4,4,2,0,427
175,"BATHUWA KHAS",562,461,0,1023,303,271,0,574,521,0,54,21,450,13,4,6,2,0,1,1,0,1,4,6,2,0,2,7,574
176,"SANRAI MUBARAK",382,373,0,755,191,263,0,454,438,0,94,69,259,7,0,0,0,0,1,0,1,1,0,1,3,9,4,5,454
177,ASHANANDPUR,283,242,0,525,182,173,0,355,337,0,21,38,283,4,3,0,0,0,0,0,1,2,1,0,0,0,1,1,355
178,"JATUWA TAPPEBHANV",331,267,0,598,143,175,0,318,253,0,30,3,264,4,2,0,1,0,0,0,0,2,5,3,1,3,0,0,318
179,"ATORA KHURD",678,566,0,1244,252,266,0,518,508,0,107,57,301,12,1,1,0,3,1,2,3,4,3,4,6,8,1,4,518
180,"CHANDAI RAGHUNATHPUR",700,596,0,1296,252,337,0,589,589,0,82,18,445,16,1,3,5,1,2,3,0,0,0,0,2,3,2,6,589
181,PORAI,264,226,0,490,58,131,0,189,168,0,14,48,119,2,0,0,0,1,0,1,1,0,2,0,0,0,0,1,189
182,PORAI,700,590,0,1290,275,299,0,574,564,0,163,41,329,2,1,2,1,1,1,2,2,6,3,2,5,9,1,3,574
183,"PURE SHIVBAKSH MAJRE PORAI",426,351,0,777,107,128,0,235,220,0,10,8,190,3,1,1,1,0,0,0,2,1,2,4,3,6,1,2,235
184,"PURE SHIVBAKSH MAJRE PORAI",525,455,0,980,151,171,0,322,300,0,56,40,200,6,0,1,1,1,1,1,2,1,2,1,4,3,2,0,322
185,"MALIKMAU CHAUBARA",596,482,0,1078,327,296,0,623,623,0,143,17,435,7,0,5,2,0,1,1,1,2,1,0,1,5,0,2,623
186,"MALIKMAU CHAUBARA",619,538,0,1157,326,272,0,598,568,0,92,55,391,7,4,4,1,1,0,3,3,4,8,9,4,6,1,5,598
187,"KUTI GOPALDAS MAJRE KORIHAR",724,614,0,1338,272,344,0,616,580,0,58,43,464,14,2,1,2,0,4,1,1,3,3,5,5,7,1,2,616
188,KORIHAR,471,372,0,843,108,124,0,232,220,0,41,6,158,1,2,1,1,1,1,1,2,2,3,8,0,4,0,0,232
189,KORIHAR,441,388,0,829,180,206,0,386,346,0,72,74,216,2,3,0,0,0,5,2,1,2,2,3,2,1,0,1,386
