"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DIMPLE YADAV","2 - NIRMAL TIWARI","3 - SUBRAT PATHAK","4 - IMRAN BIN ZAFAR","5 - GANGA CHARAN","6 - PUSHPA DEVI","7 - SUBODH KUMAR","8 - SURENDRA NATH","9 - PRADEEP KUMAR","10 - MUHAR SINGH AMVADI","11 - RAKESH KUMAR TIWARI ADVOCATE","12 - SANJAY SHAKYA","13 - None of the Above","Total Votes Secured"
147,"P.P. EAST PART  CHHABRAMAU ROOM NO. 2",612,501,0,1113,363,280,0,643,600,0,262,33,338,1,2,0,0,0,0,1,2,1,3,643
148,"RAMABAI RAJKEY  GIRLS INTER COLLEGE CHHIBRAMU ROOM NO.3",762,491,2,1255,424,195,0,619,13,0,528,11,68,5,0,0,0,0,1,0,1,0,5,619
149,"HEERA LAL INTER COLLEGE ROOM NO. 3",745,615,0,1360,349,285,0,634,400,0,273,19,337,1,0,0,0,0,0,0,1,1,2,634
150,"HEERA LAL INTER COLLEGE CHHIBRAU ROOM NO .4",640,489,0,1129,307,235,0,542,378,0,155,4,374,3,1,0,0,0,0,1,2,1,1,542
151,"G.J.H. SCHOOL EAST PART  CHHIBRAMAU",737,604,0,1341,339,277,0,616,522,0,117,11,439,1,0,5,0,0,0,3,3,29,8,616
152,"G.J.H.S. CHHIBRAMAU",843,715,1,1559,387,316,0,703,134,0,165,38,454,3,0,1,0,0,0,3,1,29,9,703
153,"G.J.H.S. WEST PART CHHIBRAMAU",471,377,0,848,225,155,0,380,303,0,129,15,229,2,0,2,0,0,0,0,0,3,0,380
154,"BARAT GHAR NAGAR PALIKA PARISAD CHHIBRAMAU",847,692,0,1539,439,354,0,793,489,0,164,9,608,2,0,0,1,0,0,0,1,2,6,793
155,"J.H.S. BALAK CHHIBRAMAU ROOM NO. 1",784,676,0,1460,335,248,0,583,308,0,253,11,306,3,0,1,1,0,0,3,1,0,4,583
156,"NAGAR PALIKA PARISAD CHHIBRAMAU  HALL EAST PART",490,405,0,895,243,184,0,427,202,0,162,12,247,0,0,1,0,1,0,1,0,1,2,427
