"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAYA PRADA NAHATA","2 - KUNWAR BHARTENDRA","3 - MALOOK NAGAR","4 - SHAHNAWAZ RANA","5 - UDAY ALIES UDAYVEER","6 - GAURAV","7 - PARVEZ AQIL","8 - MOHAMAD ADEEB","9 - MOHAMMAD MOOSA","10 - UMESH ALIES PANI","11 - KAMAL","12 - GAJRESH KUMAR","13 - None of the Above","Total Votes Secured"
49,"KARYALAYA TOWN AREA , BHOKARHEDI",611,528,0,1139,558,438,0,996,536,0,52,934,5,2,0,2,0,0,0,0,0,1,0,996
50,"HARIJAN BARAAT GHAR HALL  WESTERN PART BHOKARHEDI",569,441,0,1010,335,268,0,603,400,0,2,214,315,67,1,0,0,1,0,0,1,0,2,603
51,"HARIJAN BARAAT GHAR HALL EASTERN PART, BHOKARHEDI",390,321,0,711,266,227,0,493,416,0,1,10,454,15,1,1,2,0,0,3,3,0,3,493
52,"PRA. PATHSHALA R.N.1, BAHUPURA MAJRA SUKRATARI",495,448,0,943,395,335,0,730,730,0,6,498,215,4,2,0,0,0,0,0,1,1,3,730
53,"PRATHMIK PATHSHALA, R.N.1, SHUKARTARI",355,298,0,653,234,198,0,432,408,0,0,183,224,17,0,1,1,1,1,2,2,0,0,432
54,"PRATHMIK PATHSHALA R.N.1, FIROJPUR BANGAR",732,623,0,1355,514,445,0,959,959,0,3,549,228,168,0,0,0,1,1,3,0,1,5,959
55,"PANCHAYATGHAR, SUKRATAL KHADAR",538,320,0,858,406,221,0,627,358,0,7,544,42,18,2,0,0,3,0,4,0,2,5,627
56,"PRATHMIK PATSHALA SHUKARTAL BANGAR",539,373,0,912,388,248,0,636,635,0,9,546,61,12,0,4,0,0,1,1,1,1,0,636
57,"PRATHMIK VIDYALAYA R.N.2, SUKARATAL BANGAR",400,267,0,667,321,179,0,500,380,0,5,442,21,27,0,0,0,1,1,1,0,2,0,500
58,"PRATHMIK SCHOOL, BIHARGARH MAJRA ILHABANS",577,471,0,1048,453,380,0,833,700,0,0,649,157,3,1,1,1,2,1,2,3,7,6,833
59,"PRATHMIK PATHSHALA, ILAHABANS",374,299,0,673,301,215,0,516,514,0,15,345,118,18,0,0,2,2,1,3,3,6,3,516
60,"PRATHMIK PATHSHALA,R.N.1, CHACHRAULI",600,481,0,1081,446,350,0,796,110,0,10,636,62,83,0,0,0,0,0,0,1,3,1,796
61,"KANYA UCHH PRATHMIK VIDYALAY, CHACHRAULI",593,482,0,1075,459,343,0,802,172,0,50,584,157,2,0,0,0,0,0,3,3,0,3,802
62,"PRATHMIK PATHSHALA R.N.1 VAZIRABAD",503,403,0,906,378,257,0,635,618,0,9,284,62,264,2,0,1,0,3,3,3,2,2,635
63,"PRATHMIK PATHSHALA R.N.2, VAZIRABAD",418,377,0,795,320,272,0,592,562,0,48,361,135,43,0,0,0,0,0,1,0,1,3,592
64,"HIGHER PRIMARY SCHOOL ROOM NO. 1 ATHAI",530,443,0,973,347,292,0,639,253,0,18,183,430,3,0,1,0,0,0,2,2,0,0,639
65,"PRATHMIK SCHOOL ATHAI",578,528,0,1106,402,317,0,719,716,0,181,526,4,0,1,0,0,0,0,2,0,4,1,719
66,"PRATHMIK SCHOOL R.N.1 YUSUFPUR",569,495,0,1064,433,386,0,819,817,0,32,517,164,90,1,0,0,0,0,0,4,5,6,819
67,"PRATHMIK SCHOOL, R.N.2, YUSUFPUR",601,581,0,1182,476,418,0,894,874,0,17,325,32,507,5,2,0,1,0,0,0,2,3,894
68,"JUNIOR HIGH SCHOOL R.N.1, BHOPA",757,643,0,1400,546,493,0,1039,1033,0,9,547,121,350,2,1,0,0,2,4,0,2,1,1039
69,"JUNIOR HIGH SCHOOL R.N.2 BHOPA",770,651,0,1421,534,466,0,1000,983,0,4,405,283,290,2,0,1,0,5,1,3,2,4,1000
70,"JUNIOR HIGH SCHOOL R.N.-3 BHOPA",671,595,0,1266,537,406,0,943,922,0,24,614,42,255,1,1,1,0,0,0,2,1,2,943
71,"PRATMIK PATSHALA R.N.-1 BHOPA",722,614,1,1337,631,422,0,1053,943,0,13,952,9,66,1,1,0,1,0,1,0,5,4,1053
72,"PRATHMIK PATHSHALA,R.N.2, BHOPA",786,620,0,1406,648,328,0,976,970,0,19,298,42,591,2,2,1,0,4,6,3,3,5,976
73,"PRATHMIK SCHOOL NORTH  SIDE NAGLA BUJURG",821,736,0,1557,694,588,0,1282,1148,0,3,101,137,1013,10,0,1,3,7,4,0,2,1,1282
74,"PRATHMIK SCHOOL SOUTH SIDE R.N.1,NAGLA BUJURG",716,612,0,1328,596,491,0,1087,600,0,1,45,83,913,1,0,1,3,28,8,0,3,1,1087
75,"PRATHMIK SCHOOL SOUTH SIDE R.N.2 SOUTH SIDE NAGLA BUJURG",201,170,0,371,184,138,0,322,200,0,4,18,51,245,0,0,0,0,2,0,0,0,2,322
76,"PRATHMIK SCHOOL VILAYATNAGAR MAJRA NAGLA BUJURG",405,354,0,759,369,327,0,696,696,0,11,680,2,1,0,1,0,0,0,0,0,1,0,696
77,"PRATHMIK SCHOOL NO.1 R.N.1, MALPURA",302,271,0,573,195,183,0,378,373,0,1,366,3,4,1,0,1,0,0,0,2,0,0,378
78,"PRATHMIK SCHOOL NO.1 R.N.1 MALPURA",404,334,0,738,246,224,0,470,465,0,4,197,70,177,6,2,0,3,2,4,2,1,2,470
79,"PRATHMIK SCHOOL R.N.1 KISHANPUR",576,436,0,1012,500,358,0,858,338,0,1,5,110,725,3,0,1,1,10,1,0,1,0,858
80,"PRATHMIK SCHOOL EXTRA ROOM KISHANPUR",589,456,0,1045,472,346,0,818,818,0,0,13,65,704,0,1,0,1,29,3,0,0,2,818
81,"PRATHMIK SCHOOL R.N.1, KAKRALA",651,550,0,1201,421,387,0,808,802,0,7,338,189,256,0,0,3,2,4,1,2,2,4,808
82,"PRATHMIK SCHOOL R.N. 2 KAKRALA",598,434,0,1032,399,275,0,674,673,0,3,444,84,118,0,1,0,0,19,0,2,3,0,674
83,"PRATHMIK SCHOOL R.N.3 KAKRALA",373,291,0,664,269,215,0,484,479,0,2,243,130,97,1,1,0,1,3,2,1,2,1,484
84,"PRATHMIK SCHOOL NO.1,R.N.1, MORNA",807,620,0,1427,589,457,0,1046,1045,0,4,193,438,392,1,1,0,0,4,0,2,3,8,1046
85,"PRATHMIK SCHOOL NO.1, R.N.2, MORNA",598,511,1,1110,405,335,0,740,237,0,6,403,247,65,1,5,0,0,1,2,3,2,5,740
86,"M.S.INTER COLLAGE R.N.3,MORNA",670,524,1,1195,495,410,1,906,815,0,4,378,170,332,3,0,1,3,3,3,1,6,2,906
87,"M.S.INTER COLLAGE R.N.4 MORNA",694,575,0,1269,531,375,0,906,805,0,7,645,101,140,1,0,1,1,1,2,0,3,4,906
88,"M.S.INTER COLLAGE R.N.5 MORNA",663,561,0,1224,489,407,0,896,878,0,6,724,83,65,0,2,1,2,2,3,0,4,4,896
89,"M.S.INTER COLLAGE R.N.6, MORNA",548,488,1,1037,377,370,0,747,732,0,12,394,136,192,2,1,1,0,1,2,0,3,3,747
90,"PRATHMIK SCHOOL DARIYABAD",248,207,0,455,208,180,0,388,363,0,3,315,69,0,0,0,0,0,0,0,0,1,0,388
91,"PRATMIK SCHOOL R.N.1, BHUVAPUR",684,543,0,1227,601,395,0,996,901,0,7,945,12,9,2,0,0,0,1,0,2,9,9,996
92,"PRATHMIK SCHOOL KHARPOD",664,530,0,1194,507,430,0,937,937,0,7,812,106,2,1,0,1,0,0,2,0,1,5,937
93,"KANYA PATHSHALA R.N.1 BEHDA SADAT",498,370,0,868,339,254,0,593,561,0,2,20,8,548,4,1,0,1,5,2,0,0,2,593
94,"KANYA PATHSHALA R.N.4 BEHDA SADAT",458,386,0,844,337,287,0,624,500,0,14,54,15,514,2,0,0,0,15,3,0,3,4,624
95,"KANYA PATHSHALA R.N.2, BEHDA SADAT",686,567,0,1253,450,360,0,810,740,0,6,491,221,87,1,0,0,0,0,1,1,1,1,810
96,"KANYA PATHSHALA R.N.3, BEHDA SADAT",442,316,0,758,270,205,0,475,410,0,5,246,100,113,3,0,1,0,0,0,0,2,5,475
97,"KANYA PATHSHALA R.N.5, BEHDA SADAT",493,394,0,887,329,249,0,578,558,0,1,444,71,54,0,1,0,2,0,1,1,0,3,578
98,"PRATHMIK SCHOOL DAULATPUR",552,472,0,1024,433,343,0,776,78,0,8,33,409,300,2,0,0,1,17,3,2,0,1,776
99,"PRATHMIK PATHSHALA, CHAURAWALA",627,550,0,1177,405,406,0,811,765,0,3,474,248,79,2,0,1,0,0,0,0,2,2,811
100,"KISHAN MAJDOOR HIGH SCHOOL R.N.2; CHAURAWALA",579,435,0,1014,383,323,0,706,692,0,2,59,284,325,9,1,2,2,6,4,3,4,5,706
101,"KISHAN MAJDOOR HIGH SCHOOL R.N.4, CHAURAWALA",545,435,0,980,396,320,0,716,705,0,3,173,196,319,3,1,1,0,4,1,0,3,12,716
102,"KISHAN MAJDOOR HIGH SCHOOL R.N.3, CHAURAWALA",481,414,0,895,356,327,0,683,673,0,6,459,23,185,0,2,0,0,1,0,3,1,3,683
103,"KISHAN MAJDOOR HIGH SCHOOL R.N.5, CHAURAWALA",456,387,0,843,355,322,0,677,677,0,3,147,172,337,1,0,0,0,14,2,0,1,0,677
104,"PRATHMIK SCHOOL, BHIDDAHEDI",768,615,0,1383,580,427,0,1007,1007,0,2,446,217,330,2,3,0,0,1,0,4,0,2,1007
105,"PRATMIK SCHOOL ROOM NO. 1 KARHEDA",529,442,0,971,454,338,0,792,690,0,82,661,5,43,0,0,0,0,0,0,0,1,0,792
106,"PRATMIK SCHOOL ROOM NO. 2 KARHEDA",498,417,0,915,425,309,0,734,600,0,29,692,2,8,1,0,0,0,0,1,0,0,1,734
107,"HARIJAN CHOPAL KARHEDA",615,460,0,1075,425,323,0,748,100,0,8,321,216,187,2,1,0,1,0,2,3,2,5,748
108,"JUNIR HIGH SCHOOL ROOM NO.1 TISSA",479,368,0,847,292,245,0,537,537,0,2,121,163,239,3,0,1,0,1,2,2,2,1,537
109,"JUNIOR HIGH SCHOOL R.N.-4 TISSA",514,415,0,929,328,290,0,618,615,0,9,357,104,124,2,0,0,1,4,2,3,2,10,618
110,"JUNIOR HIGH SCHOOL R.N.-2 BHOPA",505,402,0,907,379,305,0,684,604,0,8,284,62,322,2,0,0,0,3,0,0,2,1,684
111,"JUNIOR HIGH SCHOOL R.N.-3 BHOPA",457,381,0,838,321,275,0,596,590,0,2,178,62,346,2,0,1,0,2,0,0,1,2,596
112,"PRATMIK VIDYALAY, TISSA",713,546,0,1259,492,391,0,883,590,0,2,502,260,107,2,0,0,0,0,2,1,2,5,883
113,"PRATMIK SCHOOL KHOKANI",761,647,0,1408,635,522,0,1157,807,0,4,760,110,271,3,1,0,0,0,0,0,2,6,1157
114,"PRATMIK SCHOOL R.N.-1 RUDHKALI FATAALI",555,432,0,987,356,274,0,630,609,0,1,31,137,426,5,0,1,2,14,2,1,1,9,630
115,"PRATMIK SCHOOL R.N.-2 RUDHKALI FATEHALI",689,527,0,1216,464,339,0,803,702,0,6,14,84,664,10,1,0,9,5,1,3,1,5,803
116,"PRATMIK SCHOOL R.N.-3  RUDHKALI FATEHALI",629,563,0,1192,472,362,0,834,728,0,6,30,82,677,4,0,1,1,25,4,0,1,3,834
117,"PRATHMIK SCHOOL NEW BULDING R.N. 1 MIRJA TILLA MAJRA JAULI",450,372,0,822,348,296,0,644,244,0,6,619,4,2,2,1,0,2,2,0,0,4,2,644
118,"PRATHMIK SCHOOL NEW BULDING R.N.-2 MIRJA TILLA MAJRA JAULI",560,490,0,1050,444,394,0,838,828,0,8,792,24,1,1,2,0,1,1,0,0,2,6,838
119,"PRATHMIK SCHOOL R.N.-1 JAULI",540,477,0,1017,316,292,0,608,550,0,3,70,122,395,2,5,0,0,3,3,0,2,3,608
120,"PRATHMIK SCHOOL R.N.-3 UTTAR MUHANA JAULI",477,376,0,853,298,230,0,528,418,0,5,36,209,247,3,0,1,0,6,3,7,1,10,528
121,"PRATHMIK SCHOOL R.N.-2 JAULI",735,630,0,1365,447,337,0,784,663,0,3,246,72,449,2,2,1,1,0,2,2,2,2,784
122,"JUNIOR HIGH SCHOOL JAULI",619,524,0,1143,317,293,0,610,405,0,9,201,33,356,1,1,0,2,2,0,0,3,2,610
123,"PRATHMIK SCHOOL R.N.-1  UTTARI BHAG KHADI FIROJABAD",475,430,0,905,365,308,0,673,569,0,2,81,200,208,4,1,1,1,165,1,2,2,5,673
124,"PRATHMIK SCHOOL R.N.-2  UTTARI BHAG KHADI FIROJABAD",487,388,0,875,424,314,0,738,705,0,2,184,167,207,0,0,1,2,167,2,0,3,3,738
125,"PRATHMIK SCHOOL R.N.-3 SHOUTH BHAG KHADI FIROJABAD",490,416,0,906,358,275,0,633,633,0,2,71,263,208,2,2,1,2,75,1,1,2,3,633
126,"PRATHMIK SCHOOL R.N.-4 SHOUTH BHAG KHADI FIROJABAD",435,431,0,866,328,300,0,628,578,0,4,19,199,304,1,1,0,0,93,3,1,2,1,628
127,"PRATHMIK VIDHALAYA R.N.-1 TEVDA",848,571,0,1419,569,373,0,942,942,0,6,98,142,581,2,2,1,7,89,2,0,4,8,942
128,"PRATHMIK VIDHALAYA R.N.-2 TEVDA",827,612,0,1439,555,411,0,966,952,0,1,9,126,535,1,1,1,8,279,0,1,2,2,966
129,"PURVA MADHYAMIK VIDHALYA TEVDA",712,563,0,1275,458,293,0,751,351,0,1,38,154,314,1,0,2,2,234,0,2,0,3,751
130,"PURVA  MADHYAMIK VIDHALYA TEVDA",545,381,0,926,320,217,0,537,503,0,4,5,85,298,3,1,0,2,133,2,1,0,3,537
131,"PURVA  MADHYAMIK  VIDHALYA R.N.-3 TEVDA",409,270,0,679,248,169,0,417,315,0,2,20,180,128,0,0,2,0,82,1,0,0,2,417
132,"JUNIOR HIGH SCHOOL R.N.-1 KAMHEDA",788,714,0,1502,493,467,0,960,793,0,2,90,189,612,6,3,2,0,43,3,4,1,5,960
133,"JUNIOR HIGH SCHOOL R.N.-2 KAMHEDA",785,637,0,1422,653,530,0,1183,483,0,1,317,44,764,3,1,1,9,26,2,3,4,8,1183
134,"PRATHMIK SCHOOL NEW BULDING R.N.1 KAMHEDA",491,455,0,946,368,334,0,702,702,0,3,163,5,515,5,0,0,1,4,1,0,1,4,702
135,"PRATHMIK SCHOOL NEW BULDING R.N. 2  KAMHEDA",331,308,0,639,259,248,0,507,300,0,3,96,18,369,6,0,0,1,3,2,0,5,4,507
136,"KANYA JUNIOR HIGH SCHOOL UTTARI BHAG KAWAL",604,493,0,1097,408,367,0,775,774,0,7,344,87,329,1,0,0,0,3,1,0,2,1,775
137,"KANYA JUNIOR HIGH SCHOOL SHOUTH BHAG KAWAL",708,611,0,1319,432,409,0,841,837,0,1,326,22,466,8,2,1,0,8,2,0,0,5,841
138,"JUNIOR HIGH SCHOOL R.N.3 KAWAL",661,618,0,1279,472,432,0,904,611,0,3,546,14,325,0,2,0,0,0,1,1,5,7,904
139,"JUNIOR HIGH SCHOOL R.N.4 KAWAL",695,581,0,1276,539,450,0,989,500,0,3,659,7,304,1,0,0,1,1,0,2,2,9,989
140,"JUNIOR HIGH SCHOOL R.N.5 KAWAL",475,379,0,854,346,294,0,640,581,0,2,340,6,270,1,3,0,1,3,4,1,4,5,640
141,"JUNIOR HIGH SCHOOL R.N.6 KAWAL",405,307,0,712,262,233,0,495,427,0,1,261,40,184,2,0,0,1,0,2,1,1,2,495
142,"PURVA MADHAMIK VIDHALYA R.N.-1 DHANSARI",815,620,0,1435,535,388,0,923,898,0,2,451,65,397,2,2,0,0,0,1,1,0,2,923
143,"PURVA MADHAMIK VIDHALYA R.N.-2 DHANSARI",436,403,0,839,365,313,0,678,678,0,0,199,118,350,1,0,0,0,7,0,0,0,3,678
144,"PURAV MADHAMIK VIDHALYA R.N.-4 DHANSARI",428,407,0,835,359,341,0,700,700,0,0,0,3,693,2,1,0,0,0,0,0,0,1,700
145,"PURVA MADHAMIK VIDHALYA R.N.- 3 DHANSARI",462,407,0,869,395,336,0,731,731,0,2,688,36,1,0,0,0,0,0,0,0,1,3,731
146,"PRATHMIK PATSHLALA NAIPURA MAJRA DANSARI",279,253,0,532,210,193,0,403,400,0,2,343,52,2,0,0,0,0,0,1,0,3,0,403
147,"PRATHMIK SCHOOL R.N.1, KHAIKHEDA",515,447,0,962,356,312,0,668,560,0,6,72,109,471,1,1,0,0,3,1,0,3,1,668
148,"PRTHMIK SCHOOL R.N.2, KHAIKHEDA",549,470,0,1019,413,352,0,765,552,0,5,497,103,152,0,0,0,0,1,1,0,1,5,765
149,"KISHAN INTER COLLAGE, ROOM NO.1,KAKRAULI",537,446,0,983,365,343,0,708,708,0,2,36,62,560,3,0,1,1,39,1,0,1,2,708
150,"KISHAN INTER COLLAGE ROOM NO.2, KAKRAULI",545,443,0,988,367,307,0,674,665,0,3,248,60,311,1,0,0,3,45,0,0,1,2,674
151,"KISHAN INTER COLLAGE ROOM NO.4, KAKRAULI",800,674,0,1474,491,409,0,900,899,0,4,466,106,303,0,1,1,13,3,1,0,2,0,900
152,"KISHAN INTER COLLAGE ROOM NO.6, KAKRAULI",695,558,0,1253,342,316,0,658,639,0,4,381,34,229,3,2,0,0,0,2,0,0,3,658
153,"PRATHMIK PATHSHALA,NO.2, ROOM NO. 1, KAKRAULI",559,439,1,999,375,288,0,663,651,0,5,266,116,264,0,1,0,2,2,0,0,1,6,663
154,"PRATHMIK PATHSHALA NO.1,ROOM NO.1, KAKRAULI",813,662,0,1475,473,434,0,907,702,0,2,23,63,798,4,0,0,3,1,3,3,1,6,907
155,"PRATHMIK PATHSHALA NO.2,ROOM NO.1, KAKRAULI",524,440,0,964,292,250,0,542,535,0,0,25,25,484,1,2,0,0,1,0,1,1,2,542
156,"PRATHMIK SCHOOL, DARIYAPUR",279,221,0,500,240,174,0,414,314,0,4,241,162,4,0,0,0,0,0,1,0,1,1,414
157,"PRATHMIK SCHOOL, ROOM NO.1 KHUJEDA",503,440,0,943,357,337,0,694,602,0,0,96,14,574,2,1,0,1,1,2,0,2,1,694
158,"PRATHMIK SCHOOL, ROOM NO.2 KHUJEDA",478,442,0,920,444,406,0,850,769,0,3,807,6,29,1,0,0,0,0,1,1,1,1,850
159,"PRATHMIK SCHOOL R.N.1, JATWADA",600,587,0,1187,423,435,0,858,857,0,1,52,32,755,5,1,1,4,3,2,0,0,2,858
160,"PRATHMIK SCHOOL R.N.3, JATWADA",581,498,0,1079,457,369,0,826,726,0,3,137,22,651,1,0,0,1,3,1,1,2,4,826
161,"PRATHMIK SCHOOL R.N.2 , JATWADA",749,622,0,1371,521,450,0,971,430,0,1,349,104,489,1,1,0,1,11,5,1,2,6,971
162,"PRATHMIK SCHOOL NO.1 R.N.1 SALARPUR",499,438,0,937,407,356,0,763,736,0,5,333,43,377,1,0,1,0,1,1,1,0,0,763
163,"PRATHMIK SCHOOL NO.1 EXTRA ROOM SALARPUR",488,411,0,899,387,324,0,711,603,0,2,430,30,233,4,0,0,0,0,0,0,2,10,711
164,"HARIJAN PANCHAYAT GHAR, SALARPUR",620,522,0,1142,457,412,0,869,524,0,2,382,158,319,0,0,0,2,1,1,2,0,2,869
