"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAILASH NATH SINGH YADAV","2 - MO. MAKSUD KHAN","3 - MANOJ SINHA","4 - SMT SHIVKANYA KUSHWAHA","5 - ISHWAR DEV","6 - ISHWARI","7 - OMKAR CHAUHAN","8 - GUPTESHWAR","9 - DEENDAYAL","10 - DHARM YADAV","11 - PAPPU","12 - BRIJ BHUSHAN","13 - BHARAT","14 - RAJENDRA NATH RAM","15 - SATYA DEV YADAV","16 - ARUN KUMAR SINGH","17 - KUBER","18 - LAKSHAMAN","19 - None of the Above","Total Votes Secured"
17,"P.V. SAUNA (E.WING)",490,384,0,874,262,148,0,410,109,0,30,9,200,117,3,5,0,0,0,25,4,4,1,1,1,7,1,0,2,410
18,"P.V. HARIHARPUR",322,263,0,585,146,143,0,289,144,0,55,1,84,130,1,1,0,0,0,1,3,0,1,1,0,0,0,2,9,289
19,"J.H.SCHOOL TARAV URF TARAYE (N WING)",472,403,0,875,284,196,0,480,240,0,110,14,207,111,5,3,1,1,5,16,1,0,3,0,0,1,2,0,0,480
20,"J.H.SCHOOL TARAV URF TARAYE (S WING)",487,394,0,881,221,247,0,468,12,0,239,11,124,64,1,0,1,0,1,3,2,0,5,1,1,7,5,0,3,468
21,"P.V. TARACHHA",245,207,0,452,158,124,0,282,141,0,34,2,73,106,3,4,1,0,0,46,2,5,0,1,1,4,0,0,0,282
22,"P.V. JABARANPUR",407,321,0,728,127,130,0,257,52,0,45,30,147,21,0,0,1,0,0,1,0,3,2,1,0,3,0,0,3,257
23,"P.V. SINGARPUR (E.WING)",633,525,0,1158,280,200,0,480,410,0,95,21,211,94,0,1,1,4,6,11,4,6,1,1,1,10,5,0,8,480
24,"P.V. SINGARPUR (W.WING)",264,230,0,494,124,141,0,265,132,0,119,9,89,29,0,0,0,0,0,5,0,0,0,2,0,5,2,2,3,265
25,"P.V. GAHIRA",630,509,0,1139,280,310,0,590,400,0,324,20,135,41,2,2,0,2,1,0,6,6,4,10,7,19,6,1,4,590
26,"P.V. BELHARI NO. 1 (N.WING)",720,606,0,1326,262,316,0,578,450,0,251,6,92,155,3,19,2,3,6,10,7,2,1,2,3,10,4,0,2,578
27,"P.V. BELHARI NO 1 (S.WING)",447,365,0,812,231,206,0,437,49,0,92,12,189,58,0,8,1,2,0,6,2,8,1,2,4,23,15,6,8,437
28,"P.V. BELAHARI NO . 2 (E WING)",618,515,0,1133,259,232,0,491,20,0,100,36,223,42,1,27,2,0,0,33,2,2,1,1,5,13,2,0,1,491
29,"P.V. BELAHARI  NO 2 (W WING)",296,239,0,535,175,160,0,335,167,0,131,4,44,77,1,10,0,0,1,1,1,0,2,4,8,47,2,0,2,335
30,"P.V. BAHERI (N WING)",746,619,0,1365,358,343,0,701,227,0,219,4,172,67,1,11,0,0,2,190,7,2,1,4,1,12,4,0,4,701
31,"P.V. BAHERI (S WING)",697,520,0,1217,346,284,0,630,330,0,157,11,132,279,5,3,1,2,0,22,1,1,2,4,0,6,2,0,2,630
32,"P.V. AHLADPUR",654,534,0,1188,372,316,0,688,600,0,31,7,200,345,8,5,1,1,0,33,1,6,7,16,3,8,2,3,11,688
33,"P.V. FATEHPUR",516,478,0,994,256,299,0,555,366,0,145,8,230,51,2,27,2,3,1,45,5,2,0,6,2,6,8,1,11,555
34,"P.V. KALWARI",298,254,0,552,193,146,0,339,335,0,134,4,34,28,3,11,1,1,0,71,2,3,2,2,9,26,7,1,0,339
35,"J.H.SCHOOL NEWADA (N. WING)",406,331,0,737,232,209,0,441,220,0,228,4,142,38,3,1,0,0,0,4,0,0,0,0,0,7,9,0,5,441
36,"J.H.SCHOOL NEWADA (S. WING)",421,328,0,749,230,196,0,426,156,0,61,1,310,40,0,0,0,0,0,3,1,0,1,1,0,2,1,1,4,426
37,"P.M.V. GADANPUR (E.WING)",112,103,0,215,51,50,0,101,11,0,15,1,29,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,101
38,"P.M.V. GADANPUR (W.WING)",701,597,0,1298,337,348,0,685,350,0,31,38,213,275,8,3,3,1,0,51,9,11,5,7,2,10,4,3,11,685
39,"P.V. GORKHA",557,481,0,1038,298,264,0,562,545,0,238,11,241,31,0,1,2,0,0,6,0,6,0,5,5,8,5,0,3,562
40,"P.M.V.GAURI (E. WING)",376,327,0,703,200,125,0,325,225,0,38,9,194,63,0,1,0,0,0,1,1,3,4,4,1,3,1,1,1,325
41,"P.M.V.GAURI (W. WING)",356,289,0,645,143,131,0,274,189,0,31,4,170,54,1,0,0,0,2,1,0,1,1,0,1,3,0,2,3,274
42,"P.V. BHUJARI (E.WING)",432,343,0,775,232,191,0,423,100,0,133,4,61,191,4,0,0,0,0,5,1,2,2,0,1,8,6,1,4,423
43,"P.V. BHUJARI (W.WING)",440,367,0,807,264,240,0,504,252,0,31,6,97,342,2,1,0,0,0,3,13,2,0,3,1,0,0,0,3,504
44,"P.V.BAHURA (N.WING)",583,504,0,1087,256,290,0,546,543,0,34,4,183,280,3,3,0,0,2,7,3,3,1,4,0,4,2,1,12,546
45,"P.V.BAHURA (W.WING)",549,435,0,984,240,248,0,488,486,0,163,6,153,127,1,1,1,0,1,8,3,6,0,5,1,9,0,1,2,488
46,"P.V. TETARPUR (E.WING)",763,644,0,1407,353,344,0,697,670,0,142,3,128,276,2,5,0,0,1,111,1,3,0,3,3,13,3,1,2,697
47,"P.V. TETARPUR (W.WING)",160,148,0,308,85,81,0,166,83,0,6,2,21,116,0,1,0,1,0,17,1,1,0,0,0,0,0,0,0,166
48,"P.V. GAURAHAT",290,239,0,529,145,160,0,305,305,0,165,4,67,37,0,0,1,0,1,22,1,0,1,0,0,1,4,0,1,305
49,"P.V. AMEHATA (E. WING)",808,714,0,1522,357,346,0,703,351,0,107,23,222,213,1,6,0,0,1,77,10,8,5,5,4,8,6,0,7,703
50,"P.V. AMEHATA (W. WING)",598,490,0,1088,279,217,0,496,300,0,91,13,163,115,3,7,0,0,0,78,0,3,1,2,0,15,3,0,2,496
51,"P.V. PATHKHAULI S. GRAM ALIMAPUR",422,362,0,784,230,195,0,425,278,0,103,12,230,61,1,1,0,0,0,6,0,2,1,0,1,2,1,1,3,425
52,"P.V. ALIMAPUR",575,495,0,1070,309,336,0,645,416,0,572,14,21,14,2,0,0,1,0,1,0,0,0,1,3,12,2,1,1,645
53,"P.V. SIDHAUNA (E WING)",667,555,0,1222,365,280,0,645,603,0,211,20,296,95,4,1,1,0,0,0,2,1,2,5,0,4,1,0,2,645
54,"P.V. SIDHAUNA (W WING)",647,537,0,1184,381,298,0,679,679,0,364,8,104,161,3,1,1,0,0,3,1,9,1,1,1,8,9,0,4,679
55,"J.I.SCHOOL. BABHANAULI RAMPUR (N WING)",799,634,1,1434,410,373,0,783,717,0,216,24,373,144,2,3,1,1,0,2,3,2,0,5,1,3,1,1,1,783
56,"J.I.SCHOOL. BABHANAULI RAMPUR  (S. WING)",526,460,0,986,258,247,0,505,271,0,250,4,174,33,2,1,0,1,1,1,1,5,1,1,0,7,18,0,5,505
57,"P.V. FARIDAHAN (E WING)",502,425,0,927,298,273,0,571,571,0,129,24,67,306,7,3,1,0,1,7,2,1,0,3,1,9,2,3,5,571
58,"P.V. FARIDAHAN (W WING)",525,453,0,978,262,263,0,525,96,0,49,14,190,186,4,6,2,1,2,40,1,12,1,2,1,8,0,2,4,525
59,"P.V. ICHVAL",534,451,1,986,174,141,0,315,315,0,25,9,190,72,0,2,0,0,2,7,2,0,1,2,0,2,0,0,1,315
60,"P.V. BAHDIYA (E WING)",738,580,0,1318,431,260,0,691,4,0,173,12,100,388,2,1,0,0,1,5,2,2,1,2,0,2,0,0,0,691
61,"P.V. BAHDIYA (W. WING)",175,146,0,321,101,98,0,199,199,0,140,2,39,10,0,2,0,0,0,0,0,0,0,0,0,3,1,0,2,199
62,"P.V. TELIYANI",384,325,0,709,186,218,0,404,305,0,273,3,21,98,1,0,0,0,0,3,0,3,0,0,0,2,0,0,0,404
63,"P.V. NAIKOT",324,253,0,577,182,161,0,343,256,0,13,6,108,206,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,343
64,"P.V. TIYARA (E.WING)",244,207,0,451,126,91,0,217,108,0,5,6,47,153,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,217
65,"P.V. TIYARA (W.WING)",553,446,0,999,237,209,0,446,440,0,93,6,231,90,1,2,0,0,2,1,3,1,4,3,1,4,1,0,3,446
66,"P.V. VIJHAVAL",515,467,0,982,288,270,0,558,541,0,135,6,246,150,1,3,0,0,1,3,1,1,1,0,0,4,4,0,2,558
67,"P.V. SARAISULTAN",508,396,0,904,247,233,0,480,477,0,37,6,91,236,2,10,0,0,1,84,4,3,2,1,2,1,0,0,0,480
68,"J.H.S. KHANPUR (N.WING)",755,638,0,1393,402,405,0,807,690,0,480,15,201,53,2,6,0,1,2,16,1,3,2,4,4,9,6,0,2,807
69,"J.H.S. KHANPUR (S.WING)",666,585,0,1251,396,381,0,777,575,0,39,30,341,84,9,101,8,6,7,34,16,8,7,9,17,52,2,2,5,777
70,"KANYA J.H.S. KHANPUR (W. WING)",708,663,0,1371,364,378,0,742,371,0,51,11,416,80,4,8,3,0,4,136,2,4,3,5,0,8,2,2,3,742
71,"KANYA J.H.S. KHANPUR (E. WING)",579,529,0,1108,290,278,0,568,548,0,27,9,288,153,1,4,1,0,6,58,3,2,2,5,4,4,0,0,1,568
72,"P.V. JAMINSANDAL",397,345,0,742,251,236,0,487,243,0,48,7,124,54,8,6,6,3,4,2,0,2,1,2,45,171,2,0,2,487
73,"P.V. TADWA",411,341,0,752,215,225,0,440,209,0,37,11,65,173,2,23,2,0,2,98,0,6,3,1,6,5,3,0,3,440
74,"P.V. LAULEHARA",441,342,0,783,217,236,0,453,362,0,233,10,96,75,2,9,0,0,0,15,2,3,0,0,2,4,1,0,1,453
75,"P.V. DINAURA",444,304,0,748,218,186,0,404,118,0,100,9,236,39,0,0,2,0,1,4,0,4,0,3,0,4,1,0,1,404
76,"P.V. GHOGHAVA",836,691,0,1527,538,370,0,908,795,0,154,10,157,442,4,13,1,1,0,92,4,6,1,0,4,11,2,1,5,908
77,"P.V. AMEDA (E WING)",845,705,0,1550,395,387,0,782,585,0,260,16,277,40,4,28,3,3,14,27,5,6,2,3,18,61,6,3,6,782
78,"P.V. AMEDA (W WING)",755,576,1,1332,322,262,0,584,2,0,201,5,76,192,5,16,3,1,1,38,2,4,1,4,5,7,12,0,11,584
79,"P.V. DARABEPUR (E WING)",630,506,0,1136,284,289,0,573,490,0,159,11,99,56,3,8,3,2,6,172,3,6,0,2,3,39,1,0,0,573
80,"P.V. DARABEPUR (EX ROOM)",315,297,0,612,188,183,0,371,6,0,59,10,77,57,3,6,0,0,0,112,1,5,0,0,1,40,0,0,0,371
81,"P.V. DARABEPUR (W WING)",282,245,0,527,167,161,0,328,318,0,131,10,146,15,1,2,0,0,1,10,2,1,0,2,2,2,2,1,0,328
82,"P.V. ITAHA",768,635,0,1403,423,403,0,826,706,0,314,8,166,294,3,1,0,1,2,6,0,7,0,1,0,4,10,3,6,826
83,"P.V. ANAUNI (N WING)",783,687,1,1471,430,352,0,782,391,0,93,29,294,70,2,12,3,3,2,220,4,23,1,6,4,10,0,1,5,782
84,"P.V. ANAUNI (S WING)",507,447,0,954,247,281,0,528,128,0,209,33,128,53,5,12,8,1,0,56,3,3,0,4,0,9,1,2,1,528
85,"P.V. POKHARA",230,188,0,418,116,119,0,235,201,0,20,9,118,69,1,1,1,1,1,3,0,0,0,0,1,4,5,1,0,235
86,"H.P.V. MATHRAPHIPUR U. SHIVDASPUR",491,401,0,892,232,225,0,457,408,0,226,10,137,46,1,4,0,0,0,8,2,1,0,3,1,7,7,2,2,457
87,"P.V. BHUJAHUA (N. WING)",480,406,0,886,257,233,0,490,245,0,76,21,201,143,4,2,0,0,1,12,0,8,0,2,2,7,2,3,6,490
88,"P.V. BHUJAHUA (S. WING)",760,622,0,1382,377,358,0,735,121,0,299,18,328,24,1,0,0,1,0,4,4,4,1,6,6,15,10,7,7,735
89,"P.V. NASIRUDDINPUR",228,191,0,419,137,108,0,245,122,0,42,6,33,155,0,0,1,1,0,1,1,1,0,1,0,2,0,0,1,245
90,"P.V. BHUVARPUR (E.WING)",687,567,0,1254,350,285,0,635,625,0,34,23,246,214,6,12,1,5,1,47,7,6,1,3,3,15,2,1,8,635
91,"P.V. BHUVARPUR (W.WING)",693,563,0,1256,343,359,0,702,68,0,311,17,177,152,6,1,1,1,0,9,3,1,2,2,1,9,6,1,2,702
92,"PANCHAYAT BHAWAN AMADAHI",355,287,0,642,217,155,0,372,359,0,54,1,77,232,1,0,0,0,0,0,0,0,1,1,1,2,2,0,0,372
93,"P.V. PATTI GARIB U. MAI (R.N.1)",594,524,0,1118,327,326,0,653,653,0,264,14,235,90,1,0,0,1,0,23,2,0,2,0,2,9,4,2,4,653
94,"P.V. PATTI GARIB U. MAI (R.N.2)",500,414,0,914,284,200,0,484,454,0,161,11,146,66,1,3,0,0,0,59,5,3,2,4,3,10,5,0,5,484
95,"P.V. KHIJIRPUR",747,616,0,1363,394,341,0,735,735,0,190,20,248,205,2,4,1,1,3,16,3,4,4,7,2,15,5,2,3,735
96,"P.V. MALAURA",782,633,0,1415,377,362,0,739,739,0,61,16,165,240,6,19,2,1,3,185,5,5,4,9,3,11,1,0,3,739
97,"J.H.S. MANGARI (E. WING)",559,435,1,995,246,238,0,484,242,0,146,15,164,96,0,1,0,0,1,17,4,3,1,4,4,26,2,0,0,484
98,"J.H.S. MANGARI (W. WING)",394,327,0,721,219,185,0,404,404,0,32,8,224,20,1,5,6,1,2,71,1,6,1,2,5,17,0,1,1,404
99,"P..V. MANGARI (E WING)",861,717,0,1578,349,305,0,654,54,0,178,11,211,143,2,2,0,1,3,23,7,7,4,2,12,37,3,1,7,654
100,"P..V. MANGARI (W WING)",806,679,0,1485,336,381,0,717,83,0,132,17,258,86,7,13,4,4,4,53,5,7,6,6,20,85,4,0,6,717
101,"P..V. MANGARI (C WING)",339,287,0,626,160,168,0,328,273,0,126,9,69,105,1,2,0,0,0,2,1,1,0,0,1,6,3,0,2,328
102,"BAIJAL B.I.C.MIRZAPUR (E WING)",938,803,0,1741,407,446,0,853,444,0,511,22,194,61,0,5,2,1,3,13,3,3,0,4,4,13,6,5,3,853
103,"BAIJAL B.I.C.MIRZAPUR (C WING)",805,680,0,1485,382,371,0,753,745,0,266,9,267,65,1,20,3,2,5,81,5,5,4,4,3,9,1,1,2,753
104,"BAIJAL B.I.C.MIRZAPUR (C WING)",794,653,0,1447,371,322,0,693,346,0,314,4,249,61,0,0,1,0,0,29,3,8,0,0,3,19,0,2,0,693
105,"BAIJAL B.I.C.MIRZAPUR (W. WING)",776,658,0,1434,341,395,0,736,736,0,348,17,271,39,1,0,1,0,1,6,1,2,1,1,7,27,9,4,0,736
106,"P.V. MIRJAPUR",703,579,1,1283,338,320,0,658,658,0,190,12,85,329,2,8,0,0,3,23,1,0,1,0,2,2,0,0,0,658
107,"P.V. NAGAURA",346,274,0,620,175,146,0,321,160,0,112,12,147,19,1,0,2,0,1,2,3,4,0,1,1,11,4,0,1,321
108,"P.V. BADAGANW (E. WING)",616,578,0,1194,308,308,0,616,53,0,75,4,180,81,0,20,0,1,5,224,2,7,1,2,1,8,4,1,0,616
109,"P.V. BADAGANW (EX ROOM)",331,298,0,629,181,182,0,363,53,0,7,6,191,37,0,9,1,0,3,77,0,2,1,4,4,4,3,3,11,363
110,"P.V. BADAGANW (W. WING)",726,640,0,1366,382,335,0,717,292,0,306,7,129,138,6,5,2,0,4,99,1,3,3,2,2,3,4,0,3,717
111,P.V.DEVAPAR,622,535,0,1157,301,337,0,638,107,0,190,10,326,24,2,7,2,1,1,55,4,2,2,6,2,3,1,0,0,638
112,"J.H.S. MAKHDUMPUR (N. WING)",882,722,0,1604,431,431,0,862,748,0,101,13,105,46,1,10,2,3,8,515,9,15,2,3,4,3,10,8,4,862
113,"J.H.S. MAKHDUMPUR (S. WING)",543,456,0,999,266,264,0,530,268,0,107,19,220,28,2,8,0,1,1,113,4,6,0,2,3,4,5,6,1,530
114,"P.V.JAGDISHPUR (W. WING)",497,444,0,941,272,297,0,569,6,0,413,19,70,25,1,1,0,2,1,3,3,0,1,1,1,20,6,0,2,569
115,"P.V.JAGDISHPUR (S. WING)",614,490,0,1104,329,284,0,613,10,0,240,18,227,50,0,1,0,0,0,53,2,5,1,0,2,12,1,0,1,613
116,"P.V. IKARA (N. WING)",483,415,0,898,312,242,0,554,554,0,11,1,61,366,8,4,1,0,2,84,0,6,1,0,1,4,2,0,2,554
117,"P.V. IKARA (S. WING)",515,434,0,949,297,293,0,590,295,0,239,12,77,220,3,0,0,0,0,18,4,3,1,3,2,4,2,1,1,590
118,"P.V. GAURA (N WING)",673,576,0,1249,327,361,0,688,106,0,405,9,126,65,1,2,1,0,3,63,1,1,1,2,1,0,4,0,3,688
119,"P.V. GAURA (S WING)",522,443,0,965,252,245,0,497,497,0,49,13,247,30,2,12,2,4,2,104,5,2,3,5,0,9,3,2,3,497
120,"P.V. KANERI (E WING)",773,657,0,1430,371,376,0,747,741,0,276,12,260,34,4,16,1,0,4,74,5,9,0,7,5,15,14,4,7,747
121,"P.V. KANERI (W WING)",762,610,0,1372,394,324,0,718,343,0,30,16,368,105,2,16,3,1,6,136,3,2,0,7,2,11,2,0,8,718
122,"KANYA P.V. PIPNAR (E WING)",520,441,0,961,258,253,0,511,3,0,164,8,161,116,3,4,1,0,0,23,4,5,3,1,4,6,4,1,3,511
123,"KANYA P.V. PIPNAR (W WING)",408,338,0,746,233,227,0,460,460,0,58,6,106,258,3,2,0,0,1,6,2,2,2,6,0,4,1,0,3,460
124,"J.H.S. PIPNAR S. GRAM MUBARAKPUR",248,229,0,477,128,140,0,268,17,0,67,2,34,151,2,0,1,1,0,2,0,0,0,0,2,3,2,0,1,268
125,"P.V. BARVAKALAN",730,589,0,1319,338,326,0,664,400,0,238,12,86,75,3,2,1,2,2,214,2,3,1,3,3,12,4,0,1,664
126,"P.V. VARVA KHURD",444,343,0,787,224,214,0,438,219,0,44,2,199,57,1,19,1,1,5,76,4,3,3,8,3,3,3,1,5,438
127,"P.V. MUTURAJIPUR",480,386,0,866,252,252,0,504,19,0,131,8,128,144,1,1,0,0,2,3,0,3,0,0,10,62,5,1,5,504
128,"JANTA J.H.S. HARSINGH PATTI",264,221,0,485,151,143,0,294,147,0,62,6,136,54,1,2,0,0,2,4,2,1,1,2,0,6,1,1,13,294
129,"DUDHNATH U.M.V. BADANPUR",372,307,0,679,207,184,0,391,195,0,179,9,79,119,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,391
130,"P.V. KHAJURA (W WING)",826,692,0,1518,453,380,0,833,610,0,291,9,339,91,0,4,0,1,1,63,5,3,1,2,3,13,3,1,3,833
131,"P.V. KHAJURA (E WING)",332,272,0,604,181,159,0,340,170,0,58,3,208,50,1,1,0,1,1,0,0,0,0,1,0,1,7,0,8,340
132,"P.V. BAURAVA (E WING)",829,647,0,1476,410,315,0,725,76,0,131,13,262,238,1,7,0,0,0,40,8,1,2,5,6,6,2,0,3,725
133,"P.V. BAURAVA (W WING)",543,402,0,945,261,214,0,475,475,0,264,5,31,127,2,2,1,0,0,24,6,1,0,2,2,5,2,0,1,475
134,"P.V. BAURAVA (NEW BHAVAN)",408,346,0,754,217,176,0,393,389,0,32,2,25,292,0,3,0,0,0,29,1,0,0,0,1,3,0,0,5,393
135,"P.V. PARSANI KALAN (N.WING)",650,558,0,1208,308,328,0,636,318,0,259,11,213,36,1,1,0,0,0,74,0,4,1,2,5,28,0,1,0,636
136,"P.V. PARSANI KALAN (S.WING)",315,250,0,565,153,149,0,302,250,0,76,2,24,188,3,0,1,0,1,3,0,0,1,0,0,1,0,2,0,302
137,"P.V. MAHMUDPUR ATIKULLA",415,368,0,783,266,271,0,537,536,0,165,5,14,318,3,0,0,0,0,20,0,0,0,1,0,4,6,1,0,537
138,"P.V. HIRANANDPUR (EX ROOM)",568,528,0,1096,319,295,0,614,464,0,139,11,144,249,7,5,1,0,1,7,1,1,2,1,8,31,2,0,4,614
139,"P.V. MAHPUR",553,468,0,1021,306,292,0,598,598,0,81,15,152,134,1,24,1,4,1,154,2,3,3,4,4,7,3,0,5,598
140,"P.V. NASEERPUR",309,287,0,596,168,188,0,356,356,0,30,1,56,214,6,5,2,0,1,21,1,0,1,3,0,7,0,3,5,356
141,"P.V. NAGAVA",600,492,0,1092,327,347,0,674,670,0,102,11,119,171,1,18,3,2,4,224,5,3,1,1,2,5,2,0,0,674
142,"P.V. KAITHVALIYA (S.WING) EX ROOM",668,609,1,1278,349,357,0,706,353,0,43,20,229,201,8,16,2,1,1,153,6,3,4,3,3,9,0,0,4,706
143,"P.V. KAITHVALIYA (N.WING) EX ROOM",612,499,0,1111,321,300,0,621,621,0,334,7,132,96,1,1,0,2,0,1,2,0,0,0,6,25,7,3,4,621
144,"P.V. ISHOPUR",556,437,0,993,286,280,0,566,300,0,215,17,246,57,1,3,1,0,1,11,2,1,0,1,0,2,4,3,1,566
145,"P.V. KHAJURHAT",592,508,0,1100,255,264,0,519,1,0,119,4,49,251,4,7,1,1,2,61,7,1,1,1,2,2,3,0,3,519
146,"P.V. BHIMAPAR (W WING)",888,631,0,1519,497,301,0,798,728,0,35,16,432,139,1,4,0,0,0,140,2,7,2,0,1,11,0,4,4,798
147,"P.V. BHIMAPAR (E WING)",795,676,0,1471,312,480,0,792,792,0,276,21,290,166,2,3,0,1,0,13,2,3,0,2,0,8,3,0,2,792
148,"P.V. RAMDASPUR",556,469,0,1025,310,248,0,558,550,0,122,18,179,188,2,2,1,0,1,21,3,4,1,0,5,7,2,0,2,558
149,"P.V. MAHURASA",415,337,0,752,209,233,0,442,52,0,216,8,145,49,1,2,1,0,0,10,1,0,0,2,0,5,2,0,0,442
150,"P.M.V. VIJARVA",484,397,0,881,240,260,0,500,230,0,256,21,181,6,1,3,0,1,1,16,3,0,0,1,1,4,5,0,0,500
151,"P.V. SEMRAUL (N. WING)",800,710,0,1510,483,277,0,760,31,0,200,11,257,162,1,7,2,0,1,82,3,4,1,0,3,10,7,2,7,760
152,"P.V. SEMRAUL (S. WING)",253,206,0,459,103,114,0,217,42,0,45,4,87,79,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,217
153,"P.V. BARAHPAR NASRATPUR (N.WING)",474,392,0,866,253,264,0,517,425,0,132,20,168,150,1,0,0,0,1,8,1,2,1,0,1,24,6,0,2,517
154,"P.V. BARAHPAR NASRATPUR (S.WING)",436,370,0,806,169,250,0,419,169,0,199,5,110,71,0,3,0,0,0,22,0,3,0,0,1,1,3,0,1,419
155,"P.M.V. UCHAURI (N.WING)",652,553,0,1205,250,308,0,558,550,0,47,18,239,152,2,4,2,1,0,69,2,3,3,4,2,6,0,0,4,558
156,"P.M.V. UCHAURI (S.WING)",736,618,0,1354,367,329,0,696,600,0,211,12,159,216,4,4,1,0,1,36,1,0,2,4,3,13,7,4,18,696
157,"P.V. UCHAURI (N WING)",637,537,0,1174,309,261,0,570,570,0,125,24,241,110,1,0,8,0,0,3,4,3,1,3,3,11,8,5,20,570
158,"P.V. UCHAURI (S. WING)",242,185,0,427,112,99,0,211,211,0,41,6,50,103,0,0,0,0,0,1,1,0,1,2,2,3,0,0,1,211
159,"P.V. MATHUCHAURI",467,378,0,845,317,104,0,421,104,0,12,7,159,191,1,1,1,2,0,7,3,3,3,3,1,21,0,1,5,421
160,"P.V. AMUVARA KALAN (E WING)",743,608,0,1351,383,336,0,719,715,0,165,5,182,304,7,2,2,0,0,24,1,3,3,3,3,5,2,3,5,719
161,"P.V. AMUVARA KALAN (W WING)",492,425,0,917,271,211,0,482,482,0,228,3,155,61,1,1,1,1,0,2,1,1,1,2,3,13,2,2,4,482
162,"P.V. MASUDPUR",839,697,0,1536,477,385,0,862,502,0,315,13,117,299,5,0,1,0,4,11,6,4,2,3,9,58,6,0,9,862
163,"SHREE KHEDU SINGH I.C. RAMCHARANPUR",776,614,0,1390,408,367,0,775,515,0,414,18,285,23,0,1,1,1,1,1,2,0,1,3,2,14,7,0,1,775
