"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASTBHUJA PRASAD TRIPATHI","2 - ADITYANATH","3 - RAJMATI NISHAD","4 - RAM BHUAL NISHAD","5 - INDRA DEO YADAVA","6 - FAIZ AHAMAD FAIZI","7 - MUNNA","8 - RAJIT MISHRA","9 - RAJESH","10 - RADHE MOHAN MISRA","11 - MOHD. WASEEM KHAN","12 - SUBASH KUMAR MAURYA","13 - ACHHE LAL GUPTA","14 - ASHOK","15 - RAMKISHUN","16 - None of the Above","Total Votes Secured"
36,"PRIMARY SCHOOL KHAJURGAWA ROOM NO 1",619,514,0,1133,348,237,0,585,529,0,43,356,84,65,1,1,0,1,3,3,1,3,6,7,3,8,585
37,"PRIMARY SCHOOL KHAJURGAWA ROOM NO 2",497,401,0,898,239,212,0,451,110,0,62,194,31,145,2,1,3,1,1,1,3,1,2,1,2,1,451
38,"J.H.SCHOOL KHAJURGAWA",657,519,0,1176,319,252,0,571,160,0,104,245,116,83,2,0,4,0,2,2,1,2,3,1,3,3,571
39,"PRIMARY SCHOOL PACHAMA ROOM NO 1",706,583,0,1289,266,330,0,596,58,0,86,67,414,11,1,1,1,0,1,4,0,1,3,1,2,3,596
40,"PRIMARY SCHOOL PACHAMA ROOM NO 2",403,318,0,721,195,186,0,381,179,0,43,134,179,7,0,0,1,1,3,1,0,0,3,4,1,4,381
41,"PRIMARY SCHOOL BARAIPAR ROOM NO 1",502,457,0,959,275,241,0,516,70,0,41,220,209,17,1,0,1,0,0,1,0,1,3,4,9,9,516
42,"PRIMARY SCHOOL BARAIPAR ROOM NO 2",447,374,0,821,199,213,0,412,79,0,31,161,122,67,1,1,3,0,1,4,1,2,7,5,2,4,412
43,"PRIMARY SCHOOL BAHABOLIA",244,220,0,464,121,120,0,241,224,0,16,152,33,31,0,1,2,0,1,0,0,1,2,0,0,2,241
44,"PRIMARY SCHOOL MIRAHIRIYA",788,608,0,1396,368,332,0,700,2,0,29,260,211,169,1,0,4,3,3,3,0,1,4,4,2,6,700
45,"J.H.S. SCHOOL MUSAVAR ROOM NO 1",633,500,0,1133,351,244,0,595,1,0,12,238,194,138,1,1,1,0,0,2,1,0,6,0,0,1,595
46,"J.H.S SCHOOL MUSAVAR ROOM NO 2",559,445,0,1004,259,209,0,468,464,0,4,184,60,176,3,0,3,2,1,2,1,4,3,4,6,15,468
47,"PRIMARY SCHOOL GERUI BUZURG",326,284,0,610,216,191,0,407,1,0,9,297,23,54,0,0,2,0,0,3,0,2,3,6,4,4,407
48,"PRIMARY SCHOOL  GERUI KHURD",510,423,0,933,282,263,0,545,12,0,18,284,125,72,4,2,4,0,2,3,2,2,7,4,3,13,545
49,"PRIMARY SCHOOL SANGAD ROOM NO 1",623,499,0,1122,350,257,0,607,14,0,42,170,244,118,0,4,2,4,2,3,2,1,7,3,3,2,607
50,"PRIMARY SCHOOL SANGAD ROOM NO 2",486,405,0,891,254,224,0,478,79,0,24,226,130,76,4,0,1,0,0,2,1,3,5,3,3,0,478
51,"PRIMARY SCHOOL KAHAROULI",591,514,0,1105,333,276,0,609,54,0,41,339,72,128,3,3,6,2,0,5,0,0,2,2,0,6,609
52,"PRIMARY SCHOOL AHIROULI",410,347,0,757,241,165,0,406,306,0,81,214,44,44,1,1,1,0,0,1,2,2,1,3,5,6,406
53,"PRIMARY SCHOOL POWA",382,368,0,750,213,217,0,430,429,0,36,180,36,152,4,2,2,2,0,1,2,0,5,1,2,5,430
54,"PRIMARY SCHOOL MAJHGAWA",257,217,0,474,129,123,0,252,62,0,24,151,26,43,1,0,0,0,0,2,0,1,1,1,1,1,252
55,"PRIMARY SCHOOL TAL BANJARAHA",618,524,0,1142,321,285,0,606,11,0,58,73,235,203,4,6,5,0,4,4,2,0,5,0,1,6,606
56,"PRIMARY SCHOOL GAURAIYA",244,230,0,474,148,131,0,279,1,0,15,139,76,36,0,0,0,0,1,2,0,0,3,1,4,2,279
57,"PRIMARY SCHOOL BANAKATA",531,438,0,969,298,251,0,549,211,0,51,228,125,111,3,2,4,0,4,12,0,3,0,2,4,0,549
58,"PRIMARY SCHOOL CHHITAHI KHURD",499,406,0,905,268,228,0,496,3,0,34,156,121,165,1,2,3,0,0,2,2,2,1,3,0,4,496
59,"PRIMARY SCHOOL KAKATAHI",161,134,0,295,112,90,0,202,65,0,5,37,132,20,1,0,0,0,0,1,1,0,1,1,1,2,202
60,"INTER COLLEGE THAKUR NAGAR ROOM NO 1",749,613,0,1362,356,313,0,669,1,0,36,194,307,90,1,0,11,1,2,4,3,1,5,6,3,5,669
61,"INTER COLLEGE THAKUR NAGAR ROOM NO 2",710,619,0,1329,371,280,0,651,3,0,33,219,281,93,0,0,5,3,0,5,0,0,4,3,3,2,651
62,"INTER COLLEGE THAKUR NAGAR ROOM NO 3",690,537,0,1227,343,279,0,622,510,0,24,263,183,118,2,0,5,1,0,4,0,0,3,11,3,5,622
63,"PRIMARY SCHOOL  LOHARPURWA ROOM NO 1",595,492,0,1087,390,308,0,698,255,0,88,215,167,167,3,3,8,2,4,2,1,7,12,3,6,10,698
64,"PRIMARY SCHOOL LOHARPURWA ROOM NO 2",272,222,0,494,182,141,0,323,79,0,24,133,48,103,1,1,2,0,0,2,2,2,2,2,1,0,323
65,"PRIMARY SCHOOL LOHARPURWA ROOM NO 3",514,463,0,977,357,313,0,670,200,0,60,269,61,227,4,3,5,1,2,2,2,3,7,8,7,9,670
66,"PRIMARY SCHOOL HANUMAN NAGAR LOHARPURWA ROOM NO.1",469,393,0,862,253,270,0,523,23,0,14,257,64,155,3,1,4,2,3,3,1,4,4,2,1,5,523
67,"PRIMARY SCHOOL HANUMAN NAGAR LOHARPURWA ROOM NO.2",336,286,0,622,160,152,0,312,2,0,19,229,24,22,0,0,0,0,1,3,0,0,3,3,4,4,312
68,"PRIMARY SCHOOL GOPALAPUR ROOM NO 1",673,607,0,1280,358,364,0,722,87,0,40,226,294,118,5,2,2,0,1,0,1,3,9,10,5,6,722
69,"PRIMARY SCHOOL GOPALAPUR ROOM NO 2",353,302,0,655,229,156,0,385,86,0,18,104,184,55,6,0,6,0,0,1,0,4,3,2,1,1,385
70,"PRIMARY SCHOOL BASANTPUR ROOM NO 1",750,642,0,1392,321,376,0,697,80,0,68,319,98,155,3,1,8,0,2,7,2,2,15,4,5,8,697
71,"PRIMARY SCHOOL BASANTPUR ROOM NO 2",198,140,0,338,118,84,0,202,8,0,16,86,47,35,0,0,2,0,0,0,1,1,5,3,3,3,202
72,"PRIMARY SCHOOL BASANTPUR ROOM NO 3",486,412,0,898,285,254,0,539,310,0,39,175,153,145,3,2,3,0,0,0,6,1,3,6,3,0,539
73,"PRIMARY SCHOOL BASANTPUR ROOM NO 4",434,394,0,828,252,203,0,455,454,0,50,205,83,96,1,0,1,1,3,3,1,2,3,3,1,2,455
74,"PRIMARY SCHOOL BASANTPUR ROOM NO 5",498,444,0,942,310,298,0,608,1,0,51,285,98,124,2,4,5,0,2,3,1,3,11,6,7,6,608
75,"POORV   MADHYAMIC SCHOOVL BASANTPUR ROOM NO 4",584,482,0,1066,281,260,0,541,10,0,42,296,65,78,3,0,4,2,1,4,2,4,4,5,13,18,541
76,"PRIMARY SCHOOL SARPATHA ROOM NO 1",740,575,0,1315,440,365,0,805,140,0,20,287,311,153,1,2,2,2,2,3,1,1,7,4,2,7,805
77,"PRIMARY SCHOOL SARPATHA ROOM NO 2",305,256,0,561,171,146,0,317,1,0,5,99,116,79,3,2,0,0,0,2,1,0,6,0,0,4,317
78,"PRIMARY SCHOOL SARPATHA ROOM NO 3",593,493,0,1086,319,243,0,562,10,0,11,310,198,11,0,1,1,2,2,4,0,2,4,7,4,5,562
79,"PRIMARY SCHOOL SARPATHA ROOM NO 4",312,269,0,581,212,168,0,380,116,0,14,210,133,8,0,3,0,0,1,1,0,1,1,2,3,3,380
80,"PRIMARY SCHOOL MADHOPUR ROOM NO 1",518,447,0,965,309,235,0,544,31,0,23,325,46,104,2,2,5,3,0,4,1,2,3,6,7,11,544
81,"PRIMARY SCHOOL MADHOPUR ROOM NO 2",536,447,0,983,299,290,0,589,1,0,33,219,274,16,1,1,1,1,1,6,1,1,6,4,5,19,589
82,"JANTA INTER COLLEGE INDARPUR ROOM NO 1",771,659,0,1430,379,388,0,767,767,0,82,278,139,219,1,2,13,5,0,3,4,3,9,4,0,5,767
83,"JANTA INTER COLLEGE INDARPUR ROOM NO 2",498,408,0,906,267,222,0,489,12,0,15,230,193,23,0,1,2,2,2,6,4,0,4,1,3,3,489
84,"JANTA INTER COLLEGE INDARPUR ROOM NO 3",396,317,0,713,204,196,0,400,1,0,8,218,128,24,1,5,4,1,0,2,2,1,2,3,1,0,400
85,"JANTA INTER COLLEGE INDARPUR ROOM NO 4",738,664,0,1402,425,365,0,790,10,0,40,344,320,42,5,6,3,2,1,4,2,2,3,8,1,7,790
86,"PRIMARY SCHOOL GOPALGANJ URF  HARNAMPUR ROOM NO 1",807,663,0,1470,423,395,0,818,806,0,16,335,143,295,2,1,9,1,1,1,1,2,4,1,5,1,818
87,"PRIMARY SCHOOL GOPALGANJ URF HARNAMPUR ROOM NO 2",798,690,0,1488,472,449,0,921,902,0,13,281,289,274,3,3,12,1,2,2,2,3,11,4,8,13,921
88,"PRIMARY SCHOOL RAMAWAPUR",542,475,0,1017,308,299,0,607,50,0,25,431,65,61,2,0,4,1,1,2,0,0,3,5,3,4,607
89,"PRIMARY SCHOOL VISHUNPUR",416,351,0,767,262,215,0,477,1,0,29,212,168,54,1,0,0,1,0,1,0,0,5,2,0,4,477
90,"PRIMARY SCHOOL CHAURI",704,583,0,1287,394,352,0,746,532,0,40,459,106,108,3,2,10,5,2,2,1,1,3,2,1,1,746
91,"PRIMARY SCHOOL PARASA",322,261,0,583,174,149,0,323,7,0,9,180,63,56,0,1,1,2,2,0,0,0,0,3,3,3,323
92,"J.H. SCHOOL MACHHLIGAON  ROOM NO 1",485,411,0,896,271,242,0,513,14,0,85,221,55,119,1,2,11,3,2,2,1,1,5,1,1,3,513
93,"J.H. SCHOOL MACHHLIGAON  ROOM NO 2",569,472,0,1041,264,200,0,464,203,0,41,174,64,156,2,0,2,0,1,2,1,1,5,3,2,10,464
94,"J.H. SCHOOL MACHALI GAWA ROOM NO 3",856,676,0,1532,444,407,0,851,44,0,16,266,34,474,7,1,12,1,2,3,2,6,7,5,5,10,851
95,"INTER COLLEGE MACHHALIGANWA BARGADHAI ROOM NO 1",846,668,0,1514,391,351,0,742,37,0,25,229,163,269,4,2,5,3,2,2,2,3,7,8,4,14,742
96,"INTER COLLEGE MACHHALIGANWA BARGADHAI ROOM NO 2",494,396,0,890,242,194,0,436,20,0,24,190,67,125,7,1,2,0,1,3,3,3,0,4,3,3,436
97,"INTER COLLEGE MACHHALIGANWA BARGADHAI ROOM NO 3",395,353,0,748,206,181,0,387,2,0,15,253,49,48,1,1,1,0,0,1,2,2,0,3,3,8,387
98,"INDRA GHANDI U.M.V KARIM NAGAR ROOM NO 1",788,667,0,1455,443,388,0,831,1,0,31,533,100,97,4,4,5,4,5,4,2,4,9,9,7,13,831
99,"INDRA GHANDI U.M.V KARIM NAGAR ROOM NO 2",609,492,0,1101,317,267,0,584,347,0,14,392,110,25,1,0,8,0,2,0,4,7,7,2,9,3,584
100,"PRIMARY SCHOOL MUHAMMAD PUR UR  HAGNA ROOM NO 1F",632,506,0,1138,361,284,0,645,28,0,19,124,355,118,2,3,2,0,3,3,2,1,4,5,3,1,645
101,"PRIMARY SCHOOL MUHAMMAD PUR URF  HAGNA ROOM NO 2",591,499,0,1090,370,310,0,680,653,0,15,269,242,123,2,1,2,1,0,5,0,2,4,5,4,5,680
102,"PRIMARY SCHOOL CHANDIPUR",495,434,0,929,306,276,0,582,370,0,16,326,161,31,2,4,3,2,0,4,1,3,6,4,3,16,582
103,"PRIMARY SCHOOL ALIGARH ROOM NO 1",501,454,0,955,330,301,0,631,1,0,33,299,188,63,1,3,1,1,1,0,3,3,10,6,6,13,631
104,"PRIMARY SCHOOL ALIGARH ROOM NO 2",601,528,0,1129,366,340,0,706,392,0,11,174,362,145,2,2,4,0,0,0,1,0,2,0,0,3,706
105,"PRIMARY SCHOOL LAKSHAMIPUR ROOM NO 1",471,412,0,883,291,256,0,547,1,0,8,212,86,204,4,1,5,1,2,1,0,3,5,4,2,9,547
106,"PRIMARY SCHOOL LAKSHAMIPUR ROOM NO 2",575,491,0,1066,342,310,0,652,110,0,15,274,92,247,2,3,4,0,2,2,0,3,5,0,0,3,652
107,"PRIMARY SCHOOL BHAURABHARI ROOM NO 1",618,531,0,1149,334,337,0,671,671,0,30,302,226,75,1,0,6,3,1,3,7,3,4,2,3,5,671
108,"PRIMARY SCHOOL BHAURABHARI ROOM NO 2",566,473,0,1039,301,324,0,625,9,0,17,272,98,196,8,0,11,4,1,1,2,1,7,3,2,2,625
109,"INTER COLLEGE MOHAMMADP URF JUNGLE BABBAN ROOM NO.1",789,635,0,1424,395,417,0,812,92,0,26,366,339,55,1,3,9,0,1,2,0,0,2,1,4,3,812
110,"INTER COLLEGE MOHAMMADPUR URF JUNGLE BABBAN ROOM NO 2",666,571,0,1237,391,349,0,740,341,0,18,205,436,60,1,0,4,2,0,3,2,0,2,3,4,0,740
111,"INTER COLLEGE MOHAMMADPUR URF JUNGLE BABBAN ROOM NO 3",553,503,1,1057,337,292,0,629,1,0,6,282,217,103,1,1,1,2,0,1,2,4,5,3,0,1,629
112,"PRIMARY SCHOOL MOHANAG ROOM NO 1",521,426,0,947,307,285,0,592,102,0,16,170,38,318,2,4,5,2,2,2,6,4,10,3,3,7,592
113,"PRIMARY SCHOOL MOHANAG ROOM NO 2",556,481,0,1037,285,289,0,574,1,0,9,176,216,146,3,0,1,1,1,1,6,2,3,3,0,6,574
114,"PRIMARY SCHOOL ALGATPUR ROOM NO 1",829,658,0,1487,440,341,0,781,12,0,46,313,198,167,3,3,5,1,1,6,2,2,3,9,8,14,781
115,"PRIMARY SCHOOL ALGATPUR ROOM NO 2",534,461,0,995,266,260,0,526,31,0,14,131,174,162,2,3,9,0,2,1,3,0,8,6,1,10,526
116,"PRIMARY SCHOOL LAKSHAMIPUR  SECOND ROOM NO 1",628,523,0,1151,403,336,0,739,539,0,23,340,294,52,3,3,9,0,2,4,1,1,4,0,2,1,739
117,"PRIMARY SCHOOL  LAKSHAMIPUR  SECOND ROOM NO 2",740,662,0,1402,442,401,0,843,44,0,20,492,268,32,2,4,5,0,4,3,0,0,2,5,2,4,843
118,"PRIMARY SCHOOL SOORAS ROOM NO 1",851,670,0,1521,437,421,0,858,428,0,20,297,248,234,6,2,3,2,1,7,4,7,5,5,7,10,858
119,"PRIMARY SCHOOL SOORAS ROOM NO 2",695,560,0,1255,402,291,0,693,6,0,14,210,170,254,5,2,2,1,1,4,3,1,10,2,4,10,693
120,"PRIMARY SCHOOL RAJPUR ROOM NO 1",712,569,0,1281,393,324,0,717,393,0,28,461,161,33,1,3,2,0,1,4,1,2,9,4,5,2,717
121,"PRIMARY SCHOOL RAJPUR ROOM NO 2",653,547,0,1200,344,278,0,622,42,0,24,312,191,66,0,0,3,1,0,1,2,1,2,7,6,6,622
122,"PRIMARY SCHOOL RAJPUR ROOM NO 3",661,555,0,1216,420,341,0,761,1,0,23,305,252,150,2,0,4,1,1,4,1,0,7,2,4,5,761
123,"PRIMARY SCHOOL CAMPIERNAGAR",552,459,0,1011,332,242,0,574,50,0,24,231,229,75,0,1,0,2,2,4,1,0,1,2,1,1,574
124,"PRIMARY SCHOOL ALENABAD",459,378,0,837,291,264,0,555,90,0,8,241,48,226,4,1,9,0,1,3,0,1,4,4,2,3,555
125,"PRIMARY SCHOOL CHAUMUKHA ROOM NO 1",789,702,0,1491,441,445,0,886,383,0,68,614,118,47,1,2,2,0,1,17,1,0,5,3,3,4,886
126,"PRIMARY SCHOOL CHAUMUKHA ROOM NO 2",602,531,0,1133,326,283,0,609,9,0,57,375,118,38,0,1,3,0,2,6,1,1,0,3,1,3,609
127,"PRIMARY SCHOOL CHAUMUKHA ROOM NO 3",670,521,0,1191,345,273,0,618,108,0,55,320,143,73,0,5,2,2,2,2,2,1,0,3,5,3,618
128,"PRIMARY SCHOOL CHAUMUKHA ROOM NO 4",474,436,0,910,230,261,0,491,491,0,28,245,142,53,2,1,6,1,0,5,0,2,0,2,2,2,491
129,"PRIMARY SCHOOL BANBHAGALPUR ROOM NO 1",543,487,0,1030,301,268,0,569,1,0,61,255,151,74,2,1,0,0,1,0,1,2,8,4,6,3,569
130,"PRIMARY SCHOOL BANBHAGALPUR ROOM NO 2",508,427,0,935,259,234,0,493,203,0,31,268,46,138,1,0,1,0,1,2,0,0,1,1,1,2,493
131,"PRIMARY SCHOOL JANAKPUR ROOM NO 1",637,515,1,1153,355,295,0,650,1,0,39,243,175,135,3,2,5,2,1,5,2,2,10,9,7,10,650
132,"PRIMARY SCHOOL JANAKPUR ROOM NO 2",654,564,0,1218,349,342,0,691,20,0,39,372,150,86,5,0,3,2,2,4,1,5,5,5,6,6,691
133,"PRIMARY SCHOOL TENDUA VISHAMBHARPUR ROOM NO 1",767,541,0,1308,364,260,0,624,360,0,35,335,188,46,2,0,2,0,1,5,0,0,1,4,2,3,624
134,"PRIMARY SCHOOL TENDUA VISHAMBHARPUR ROOM NO 2",681,568,0,1249,368,285,0,653,114,0,21,367,144,105,1,1,2,2,0,0,1,0,4,2,2,1,653
135,"PRIMARY SCHOOL RAMCHAURA ROOM NO 1",556,468,0,1024,334,235,0,569,140,0,27,451,52,11,1,3,2,0,0,5,2,4,4,2,2,3,569
136,"PRIMARY SCHOOL RAMCHAURA ROOM NO 2",503,402,0,905,300,252,0,552,1,0,33,316,152,17,0,0,2,0,2,3,1,4,6,5,4,7,552
137,"PRIMARY SCHOOL KUNJALGADH",349,291,0,640,221,197,0,418,55,0,38,183,69,116,1,2,0,1,0,1,0,1,1,0,3,2,418
138,"PRIMARY SCHOOL BAJAHI",449,380,0,829,250,256,0,506,506,0,9,220,185,52,1,4,4,1,2,3,0,1,10,2,7,5,506
139,"PRIMARY SCHOOL BAJAHA",558,476,0,1034,353,306,0,659,622,0,17,370,148,93,1,0,2,1,0,1,1,1,4,7,4,9,659
140,"PRIMARY SCHOOL BADSHAHPUR",607,494,0,1101,397,309,0,706,55,0,45,167,412,39,1,2,3,2,3,1,1,1,7,8,1,13,706
141,"C.M.V.M.U.M.V RAVATGANJ KUI",537,419,0,956,271,203,0,474,10,0,29,133,143,142,3,1,6,2,1,2,2,5,3,1,0,1,474
142,"PRIMARY SCHOOL KARMAHAVA",330,264,0,594,186,173,0,359,25,0,26,180,29,99,1,0,7,1,1,1,2,1,3,1,5,2,359
143,"PRIMARY SCHOOL MUHAMMADPUR",424,362,0,786,261,245,0,506,1,0,15,322,138,19,2,1,1,0,0,1,1,1,1,2,1,1,506
144,"PRIMARY SCHOOL NAVAPAR ROOM NO 1",620,551,1,1172,338,331,0,669,200,0,34,348,128,126,2,0,5,0,0,5,3,1,6,4,4,3,669
145,"PRIMARY SCHOOL NAVAPAR ROOM NO 2",595,504,0,1099,339,335,0,674,8,0,15,236,67,316,2,1,4,0,0,5,3,2,6,8,4,5,674
146,"PRIMARY SCHOOL KHOKHARI ROOM NO 1",320,279,0,599,180,176,0,356,201,0,9,191,111,21,2,1,1,0,2,1,1,1,3,4,6,2,356
147,"PRIMARY SCHOOL KHOKHARI ROOM NO 2",321,284,0,605,207,182,0,389,5,0,21,73,111,170,1,1,3,0,1,2,0,1,0,1,2,2,389
148,"PRIMARY SCHOOL SHIVELAHIYA ROOM NO 1",574,490,0,1064,333,279,0,612,612,0,6,355,171,45,2,1,4,0,0,4,4,1,3,5,5,6,612
149,"PRIMARY SCHOOL SHIVELAHIYA ROOM NO 2",388,288,0,676,223,167,0,390,220,0,11,176,176,7,0,1,1,0,1,4,0,1,1,2,0,9,390
150,"PRIMARY SCHOOL SHIVPUR KARMAHAVA ROOM NO 1",632,550,0,1182,374,294,0,668,69,0,38,200,191,204,1,3,6,1,2,3,1,2,4,1,3,8,668
151,"PRIMARY SCHOOL SHIVPUR KARMAHAVA ROOM NO 2",396,335,0,731,197,172,0,369,13,0,31,175,113,27,1,3,2,0,1,6,1,2,2,2,2,1,369
152,"PRIMARY SCHOOL GULARIHA",809,676,0,1485,445,483,0,928,928,0,25,494,230,137,0,1,4,1,2,3,2,3,8,8,5,5,928
153,"PRIMARY SCHOOL BHARWALIA ROOM NO 1",519,442,0,961,290,312,0,602,1,0,26,316,136,84,0,3,8,0,1,0,1,1,8,6,10,2,602
154,"PRIMARY SCHOOL BHARWALIA ROOM NO 2",412,360,0,772,200,175,0,375,375,0,10,215,86,46,0,1,1,0,1,0,1,1,3,1,6,3,375
155,"PANCHAYAT BHAWAN RAIKABEL",346,310,0,656,200,175,0,375,375,0,10,215,86,46,0,1,1,0,1,0,1,1,3,1,6,3,375
156,"PRIMARY SCHOOL NETWAR PANDEY",143,127,0,270,73,64,0,137,1,0,4,116,13,2,0,0,1,0,1,0,0,0,0,0,0,0,137
