"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MAHENDRA KUMAR","2 - VINOD KUMAR SONKAR","3 - SHAILENDRA KUMAR","4 - SURESH PASI","5 - MALTI DEVI","6 - RAJENDRA SONKAR","7 - SHRIPAL","8 - SWARNALATA SUMAN","9 - CHHEDDOO","10 - BEENA RANI","11 - MOHAN LAL","12 - None of the Above","Total Votes Secured"
60,"MAHGAON I C MAHGAON WEST CENTER PART",463,394,0,857,244,178,0,422,422,0,15,141,43,178,7,3,12,2,0,3,7,11,422
61,"MAHGAON I C MAHGAON EAST CENTER PART 1",488,420,0,908,242,151,0,393,101,0,15,180,68,94,5,4,4,1,2,1,6,13,393
62,"MAHGAON I C MAHGAON WEST CENTER PART 1",515,450,0,965,241,208,0,449,20,0,15,68,123,188,6,4,4,4,0,5,13,19,449
63,"MAHGAON I C MAHGAON CENTER PART 1",588,498,0,1086,322,240,0,562,10,0,17,289,62,152,2,10,1,3,2,3,10,11,562
64,"P.S. BHITIDEH MAFI",443,363,0,806,282,241,0,523,523,0,27,245,85,123,4,8,3,2,1,3,5,17,523
65,"UPS UMARCHHA",570,493,0,1063,323,252,0,575,96,0,34,358,97,42,8,9,5,1,1,4,3,13,575
66,"P.S. KURAI",568,494,0,1062,294,245,0,539,3,0,21,159,141,152,6,5,6,6,4,6,14,19,539
67,"P.S. MOHIUDDINPUR GAUS",729,624,0,1353,349,400,0,749,749,0,24,545,52,89,5,8,5,2,2,1,6,10,749
68,"P.S. MOHAN NAGAR HATHIYABHEET",679,554,0,1233,293,273,0,566,212,0,13,267,135,99,6,11,3,2,5,5,7,13,566
69,"P.S. HATHIYABHEET",206,191,0,397,101,131,0,232,232,0,7,75,11,130,1,0,0,1,1,2,1,3,232
70,"P.S. HUSAINMAU",622,464,0,1086,331,225,0,556,516,0,25,338,133,20,3,5,5,3,0,2,7,15,556
71,"P.S. UMARPUR TA. SAIYAD SARAWAN",238,203,0,441,187,171,0,358,287,0,2,300,17,29,3,2,1,1,0,0,2,1,358
72,"P.S. KYAMUDDINPUR",342,308,0,650,242,204,0,446,435,0,9,387,7,33,1,1,0,1,1,3,1,2,446
