"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KALRAJ MISHRA","2 - NIYAJ AHMAD","3 - BALESHWAR YADAV","4 - SABHA KUNWAR","5 - AROON KUMAR TRIPATHI","6 - AWADH KISHOR NIGAM","7 - INTZARUL","8 - UMESH","9 - RAJU","10 - RAM PRAVESH","11 - RAM PREET","12 - VED PRAKASH MALL","13 - SHYAM SUNDAR","14 - BARKHA KINNAR","15 - HEMANT KISHOR SRIVASTAVA","16 - None of the Above","Total Votes Secured"
17,"P.V VIKRAM VISHUNPUR R.N-2",737,633,0,1370,435,305,0,740,740,0,396,179,60,13,3,0,0,1,0,3,1,0,58,6,6,14,740
18,"P.V SAMOGAR R.N-1",545,456,0,1001,330,251,0,581,581,0,424,63,60,12,0,1,0,1,3,4,0,2,2,1,2,6,581
19,"P.V SAMOGAR R.N-2",565,509,0,1074,278,245,0,523,523,0,286,179,37,10,0,0,0,1,3,2,0,2,1,1,0,1,523
20,"P.V SAMOGAR R.N-3",686,599,0,1285,330,304,0,634,634,0,378,126,79,16,3,0,2,1,3,2,3,1,3,3,2,12,634
21,"P.V BALKUAN R.N-1",695,579,0,1274,356,325,0,681,681,0,615,40,8,3,1,1,1,2,2,3,0,0,0,0,1,4,681
22,"P.V BALKUAN R.N-2",612,515,0,1127,351,318,0,669,669,0,287,252,71,17,4,0,2,2,5,2,1,0,3,3,14,6,669
23,"P.V JAISAULI",316,267,0,583,150,155,0,305,305,0,195,58,46,3,0,0,0,0,0,2,0,0,0,1,0,0,305
24,"P.V CHIURAHA R.N-1",549,440,0,989,244,200,0,444,444,0,248,106,70,5,0,0,0,1,0,3,3,0,1,0,5,2,444
25,"P.V CHIURAHA R.N-2",413,305,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"P.V CHIURAHA R.N-3",729,592,0,1321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"P.V GAUNARIYA",467,411,0,878,260,205,0,465,465,0,229,114,92,5,4,2,0,1,4,0,0,0,4,0,2,8,465
28,"H.P.V PIPARA NAYAK",415,346,2,763,218,211,0,429,429,0,197,149,35,11,1,0,1,0,3,0,1,1,20,0,7,3,429
29,"P.V AMARIJHANGA",922,700,0,1622,453,395,0,848,848,0,559,162,61,18,5,1,3,1,3,11,1,5,4,3,2,9,848
30,"P.V GOTHARASULPUR R.N-1",560,497,0,1057,318,210,0,528,528,0,300,67,133,11,1,1,0,2,0,2,1,1,0,1,3,5,528
31,"P.V GOTHARASULPUR R.N-2",551,450,0,1001,323,213,0,536,536,0,379,68,70,5,3,1,0,1,1,0,0,1,0,0,2,5,536
32,"P.V DEORIA",409,359,0,768,200,200,0,400,400,0,298,48,31,6,1,0,3,0,1,3,2,2,1,0,0,4,400
33,"P.V SURCHAK",539,408,0,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,"P.V PAHADPUR R.N-1",568,501,0,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"P.V PAHADPUR R.N-2",582,487,0,1069,356,230,0,586,586,0,198,226,128,7,1,0,0,0,3,2,1,0,1,5,7,7,586
36,"P.V DHNAUTI RAJDIHA R.N-1",426,360,0,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,"P.V DHNAUTI RAJDIHA R.N-2",533,446,1,980,229,214,0,443,443,0,307,81,38,9,4,0,0,0,2,0,0,0,1,1,0,0,443
38,"P.V HARAIYAN BASANTPUR R.N-1",688,607,0,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,"P.V HARAIYAN BASANTPUR R.N-2",313,279,0,592,185,161,0,346,346,0,194,116,25,1,0,0,1,0,1,1,0,0,0,0,4,3,346
40,"P.V VISHUNPUR MURAR",625,564,0,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,"P.V PADAULI(PADIYAPAR)",690,586,0,1276,380,305,0,685,685,0,528,91,31,12,0,0,0,1,6,5,1,1,2,2,1,4,685
42,"P.V PADIYAPAR",861,690,0,1551,350,335,0,685,685,0,392,138,96,18,5,1,1,1,3,3,2,2,2,6,3,12,685
43,"P.V RAMPUR DULLAH",808,685,0,1493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,"P.V MAHAVA",496,436,0,932,331,214,0,545,545,0,220,206,108,8,1,0,1,0,0,0,0,0,0,0,0,1,545
45,"P.V DHAMAUR",577,487,0,1064,349,325,0,674,674,0,244,66,331,8,0,0,0,1,3,2,0,0,2,8,3,6,674
46,"P.V BARWA MANSINGH",295,233,0,528,198,175,0,373,373,0,99,77,183,2,0,0,1,0,1,0,0,0,0,2,2,6,373
47,"P.V SAHAWA",458,399,0,857,250,245,0,495,495,0,161,151,104,55,7,0,2,0,4,1,0,1,2,2,2,3,495
48,"P.V JANGAL BELWA",720,619,0,1339,426,310,0,736,736,0,420,109,163,11,0,1,0,2,5,3,2,1,10,2,3,4,736
49,"P.V JIGANI",645,545,0,1190,408,305,0,713,713,0,436,103,117,15,14,0,1,1,5,2,0,1,3,4,4,7,713
50,"P.V SHAMPUR",248,221,0,469,151,140,0,291,291,0,185,73,22,2,0,0,0,1,0,0,0,0,0,1,3,4,291
51,"P.V PIPARAHI",392,343,0,735,222,205,0,427,427,0,159,104,152,6,0,0,0,0,1,3,0,1,0,1,0,0,427
52,"P.V BHAGWANPUR",206,177,0,383,100,125,0,225,225,0,163,20,25,11,0,0,1,0,1,0,0,1,0,1,2,0,225
53,"P.V NERUI AMAWA",468,444,0,912,260,260,0,520,520,0,199,90,172,36,2,2,1,1,1,2,1,0,1,3,4,5,520
54,"P.V BARWA MANSINGH",312,263,0,575,204,160,0,364,364,0,62,83,201,5,0,4,0,0,2,1,2,0,1,0,1,2,364
55,"P.V KARJAHAN",784,679,0,1463,476,390,0,866,866,0,26,102,692,7,1,0,0,2,7,0,2,2,6,10,2,7,866
56,"P.V DHANAUTI R.N-1",584,503,0,1087,331,236,0,567,567,0,206,297,43,8,0,0,0,0,1,2,1,0,1,1,3,4,567
57,"P.V DHANAUTI R.N-2",678,611,0,1289,315,296,0,611,611,0,224,292,70,3,1,0,0,0,6,3,1,2,1,1,1,6,611
58,"P.V BARARI",796,706,0,1502,420,390,0,810,810,0,243,136,411,5,0,1,1,1,0,4,0,0,1,2,3,2,810
59,"P.V MAHUADIH R.N-1",690,612,0,1302,321,280,0,601,601,0,299,127,123,11,3,1,0,0,14,5,1,1,2,2,2,10,601
60,"P.V MAHUADIH R.N-2",724,603,0,1327,332,305,0,637,637,0,306,126,162,3,4,1,2,0,1,3,3,0,3,5,7,11,637
61,"P.V RAMPUR DUBE R.N-1",450,394,0,844,241,210,0,451,451,0,337,58,51,2,0,0,0,0,0,1,0,0,0,1,0,1,451
62,"P.V RAMPUR DUBE R.N-2",366,317,0,683,224,205,0,429,429,0,166,82,159,5,1,0,0,0,4,0,0,2,2,0,3,5,429
63,"P.V BELVA R.N--1",787,601,0,1388,444,310,0,754,754,0,510,68,122,18,0,1,0,0,2,6,5,0,1,4,4,13,754
64,"P.V BELVA R.N--2",702,519,0,1221,331,298,0,629,629,0,305,173,96,10,2,1,1,0,6,5,0,1,2,9,2,16,629
65,"P.V TILA TALI",501,369,0,870,260,206,0,466,466,0,113,117,218,6,0,0,0,2,0,2,0,0,2,4,2,0,466
66,"P.V PIPRA MADANGOPAL R.N-1",768,609,0,1377,363,330,0,693,693,0,346,224,91,3,2,1,0,0,4,5,2,0,2,0,6,7,693
67,"P.V PIPRA MADANGOPAL R.N-2",738,621,0,1359,428,310,0,738,738,0,172,313,209,12,0,1,2,2,4,4,3,0,1,2,3,10,738
68,"P.V PIPRA MADANGOPAL R.N-3",759,639,0,1398,416,297,0,713,713,0,256,230,150,26,1,0,0,4,3,11,2,3,3,5,4,15,713
69,"P.V PIPRA MADANGOPAL R.N-4",372,320,0,692,171,166,0,337,337,0,267,30,17,4,1,0,0,0,3,2,1,1,0,1,3,7,337
70,"P.V RAMPUR HIRAMAN",807,672,0,1479,457,401,0,858,858,0,271,360,190,7,1,0,3,2,9,3,2,0,4,1,3,2,858
71,"P.V DEORIA BUDHUKHAN",616,547,0,1163,339,313,0,652,652,0,77,463,76,21,0,0,1,0,4,1,0,1,2,0,5,1,652
72,"P.V TAWAKLAPUR",604,471,0,1075,259,260,0,519,519,0,126,53,314,8,3,1,0,1,4,1,0,0,0,3,2,3,519
73,"P.V SAWREJIMANI R.N-1",347,297,0,644,219,180,0,399,399,0,89,260,23,7,0,0,0,2,4,1,0,1,1,2,4,5,399
74,"P.V SAWREJIMANI R.N-2",261,235,0,496,151,140,0,291,291,0,140,79,59,4,0,0,0,2,0,0,0,1,0,1,0,5,291
75,"P.V PAKADI BUJURG",351,288,0,639,203,170,0,373,373,0,169,21,175,3,2,0,0,0,0,2,0,0,1,0,0,0,373
76,"P.V SAWREJI KHARAG R.N-1",559,441,0,1000,270,231,0,501,501,0,154,176,133,16,0,0,0,0,3,2,0,1,1,2,6,7,501
77,"P.V SAWREJI KHARAG R.N-2",576,500,1,1077,294,219,0,513,513,0,238,217,35,12,1,0,2,1,2,4,1,0,0,0,0,0,513
78,"K.I.C BALTIKARA",565,520,0,1085,376,305,0,681,681,0,301,156,174,17,3,1,2,4,3,5,1,0,2,3,5,4,681
79,"P.V KHADAICH",541,469,0,1010,354,316,0,670,670,0,191,206,256,5,2,1,0,0,0,3,0,0,0,1,1,4,670
80,"P.V SEKHAUNA R.N-1",431,348,0,779,209,209,0,418,418,0,187,89,88,19,2,1,0,1,4,1,1,0,2,2,7,14,418
81,"P.V SEKHAUNA R.N-2",506,443,0,949,256,229,0,485,485,104,104,218,115,6,6,1,0,0,0,2,2,2,0,14,7,8,485
82,"P.V BHARWALIYA",256,214,0,470,135,128,0,263,263,0,5,114,82,6,0,0,0,0,1,0,0,0,52,0,1,2,263
83,"A.I.C ARIPAR(BARPAR) R.N-1",622,538,0,1160,312,299,0,611,611,0,439,47,67,22,5,1,4,0,3,6,3,1,2,0,3,8,611
84,"A.I.C ARIPAR(BARPAR) R.N-2",396,335,0,731,135,111,0,246,246,0,201,14,17,6,1,0,0,2,0,0,0,1,2,0,0,2,246
85,"A.I.C ARIPAR(BARPAR) R.N-3",431,365,0,796,215,185,0,400,400,0,223,146,22,3,1,0,0,0,1,0,0,0,0,0,1,3,400
86,"P.V JAMUNA R.N-1",529,479,0,1008,279,245,0,524,524,0,398,13,92,13,1,0,0,1,1,2,0,1,0,1,1,0,524
87,"P.V JAMUNA R.N-2",224,180,0,404,126,119,0,245,245,0,48,131,46,3,3,0,0,1,3,1,0,0,1,0,3,5,245
88,"P.V SAKRAPAR(CHURURBHUJPUR)",701,549,0,1250,422,351,0,773,773,0,530,160,37,9,3,0,2,0,5,7,4,1,2,1,3,9,773
89,"J.H.S SAKRAPAR KHURD",658,495,0,1153,312,310,0,622,622,0,383,143,60,6,2,0,1,0,2,9,1,2,1,1,5,6,622
90,"P.V SAKRAPAR BUJURG",382,320,0,702,210,203,0,413,413,0,314,45,34,3,3,0,2,2,3,1,2,0,1,0,0,3,413
91,"P.V PARSAUNA",596,522,0,1118,403,346,0,749,749,0,162,120,440,16,1,0,0,0,3,1,1,1,1,1,2,0,749
92,"P.V RAMPUR CHANDRABHAN R.N-1",567,486,0,1053,349,241,0,590,590,0,282,108,170,6,1,1,0,0,3,6,1,0,2,3,3,4,590
93,"P.V RAMPUR CHANDRABHAN R.N-2",695,616,0,1311,329,302,0,631,631,0,464,62,62,5,0,0,0,2,4,2,1,2,2,2,4,19,631
94,"P.V BHAGWANPUR R.N-1",532,442,0,974,334,260,0,594,594,0,260,166,23,12,3,0,0,112,4,4,1,2,1,0,2,4,594
95,"P.V BHAGWANPUR R.N-2",357,275,1,633,229,155,0,384,384,0,102,37,195,14,0,0,0,27,2,1,0,1,2,1,0,2,384
96,"P.V BANKATA",582,477,0,1059,297,263,0,560,560,0,270,197,57,9,1,1,0,0,4,1,1,1,1,5,3,9,560
97,"P.V BARNAI R.N-1",811,612,0,1423,463,315,0,778,778,0,368,60,293,19,2,0,2,0,0,6,2,1,5,5,3,12,778
98,"P.V BARNAI R.N-2",530,423,0,953,302,255,0,557,557,0,281,96,135,22,3,0,0,0,1,2,1,1,0,5,4,6,557
99,"P.V BASANTPUR",188,174,0,362,137,105,0,242,242,0,210,17,5,5,1,0,0,0,1,0,0,0,0,0,0,3,242
100,"P.V NARAYANPUR",524,411,0,935,331,280,0,611,611,0,249,190,145,8,1,0,1,1,3,3,2,0,3,1,0,4,611
101,"P.V SAJHAWA",329,290,0,619,189,161,0,350,350,0,129,38,169,3,0,0,0,0,2,2,0,0,2,2,1,2,350
102,"P.V BARARI R.N-1",683,504,0,1187,271,260,0,531,531,0,232,152,38,80,4,0,1,0,3,2,0,0,5,0,4,10,531
103,"P.V BARARI R.N-2",282,220,0,502,115,95,0,210,210,0,129,23,24,31,0,0,0,0,1,0,0,0,0,0,1,1,210
104,"P.V BARARI R.N-3",820,719,0,1539,410,346,0,756,756,0,406,22,159,114,5,1,1,42,4,0,0,0,0,2,0,0,756
105,"P.V BELAWAR DUBAWAR",698,602,0,1300,461,306,0,767,767,0,353,203,102,7,1,0,1,61,4,4,1,2,1,3,5,19,767
106,"P.V RAMPUR LALA",509,424,0,933,284,240,0,524,524,0,179,139,152,15,7,1,0,5,1,4,2,1,3,7,2,6,524
107,"P.V PANDEYCHAK",181,157,0,338,114,88,0,202,202,0,91,18,75,8,1,1,1,4,0,0,0,0,2,1,0,0,202
108,"P.V  JAITPURA",352,288,0,640,226,171,0,397,397,0,192,161,8,15,0,0,0,0,3,4,0,0,0,1,3,10,397
109,"P.V  SURYAPURA",523,422,0,945,314,231,0,545,545,0,232,213,36,43,2,0,0,0,0,1,1,3,3,2,3,6,545
110,"P.V BALIYAWAN",733,608,0,1341,478,401,0,879,879,0,463,269,105,10,4,1,0,1,5,2,2,0,2,2,3,10,879
111,"P.V BANSPAR BUJURG",521,441,0,962,286,267,0,553,553,0,368,83,74,3,2,1,3,0,9,1,1,0,0,0,1,7,553
112,"P.V MUNDERA",296,221,0,517,193,158,0,351,351,0,266,38,12,15,0,0,0,1,5,1,0,0,1,2,3,7,351
113,"P.V PARSA BARWAN R.N-1",746,633,0,1379,352,300,0,652,652,0,326,157,123,18,7,3,1,0,4,5,0,2,1,1,2,2,652
114,"P.V PARSA BARWAN R.N-2",871,723,0,1594,469,340,0,809,809,0,505,171,76,17,4,0,0,2,1,7,1,1,4,2,4,14,809
115,"P.V GAURA R.N-1",574,416,0,990,333,278,0,611,611,0,334,115,79,54,2,1,1,1,4,7,1,3,1,1,4,3,611
116,"P.V GAURA R.N-2",667,541,0,1208,356,302,0,658,658,0,318,176,46,58,7,1,3,1,5,7,0,0,7,1,6,22,658
117,"P.V GAURA R.N-3",434,387,0,821,269,195,0,464,464,0,66,363,9,11,0,0,1,1,6,1,0,0,1,1,1,3,464
118,"P.V POKHARBHINDA",283,237,0,520,203,162,0,365,365,0,179,117,18,40,0,0,1,1,1,2,0,0,2,1,0,3,365
119,"P.V BAHORPUR",832,688,0,1520,428,490,0,918,918,0,258,267,318,35,1,0,2,3,2,4,1,2,0,7,5,13,918
120,"P.V BHUJAULI R.N-1",487,396,0,883,280,201,0,481,481,0,415,22,15,13,2,0,2,1,2,4,0,1,0,0,1,3,481
121,"P.V BHUJAULI R.N-2",465,425,0,890,262,198,0,460,460,0,223,144,58,16,3,3,0,0,4,0,3,1,0,1,0,4,460
122,"P.V HETIMPUR R.N-1",619,495,0,1114,379,298,0,677,677,0,326,122,155,32,4,1,5,3,6,4,3,0,10,0,6,0,677
123,"P.V HETIMPUR R.N-2",479,400,0,879,241,201,0,442,442,0,283,60,70,5,8,0,0,1,1,2,1,1,3,2,1,4,442
124,"P.V HETIMPUR R.N-3",529,410,0,939,245,230,0,475,475,0,273,124,35,10,7,0,3,0,5,2,1,1,4,3,1,6,475
125,"J H S HETIMPUR ROOM NO 1",476,380,0,856,243,199,0,442,442,0,277,95,45,9,0,0,3,1,2,2,2,1,1,1,1,2,442
126,"J H S HETIMPUR ROOM NO 2",667,583,0,1250,361,295,0,656,656,0,476,65,67,22,1,1,1,4,3,6,2,2,0,1,0,5,656
127,"P.V DUMARI EKHLAS",950,737,0,1687,498,403,0,901,901,0,390,151,82,14,3,0,1,1,12,7,1,0,7,5,209,18,901
128,"P.V JIGANI MUSAHEBKHAN",192,149,0,341,115,115,0,230,230,0,206,3,12,1,0,1,1,0,1,1,0,0,0,1,1,2,230
129,"P.V KOTAWA R.N-1",544,444,0,988,275,236,0,511,511,0,315,127,29,4,2,0,1,2,8,5,2,1,1,4,5,5,511
130,"P.V KOTAWA R.N-2",370,337,0,707,253,204,0,457,457,0,254,91,86,10,1,0,1,1,6,4,1,1,0,0,0,1,457
131,"P.V SAHODAR PATTI R.N-1",844,661,0,1505,354,387,0,741,741,0,408,141,138,12,6,0,1,0,1,6,1,1,4,2,5,15,741
132,"P.V SAHODAR PATTI R.N-2",487,402,0,889,263,259,0,522,522,0,426,23,53,5,1,1,0,1,0,2,1,0,0,2,3,4,522
133,"P.V RAMPUR JAGDISH URF SISWAN",374,316,0,690,236,200,0,436,236,0,258,94,49,14,0,0,0,1,4,2,0,3,1,2,3,5,436
134,"P.V MUNDERA CHAND R.N-1",512,405,0,917,300,248,0,548,548,0,274,226,18,4,1,0,1,1,6,3,3,1,0,2,2,6,548
135,"P.V MUNDERA CHAND R.N-2",533,425,0,958,304,270,0,574,574,0,443,63,43,6,1,0,0,1,2,8,1,1,2,0,2,1,574
136,"P.V BHATANI BUJURG",503,460,0,963,262,219,0,481,481,0,227,188,32,22,4,1,0,1,2,0,0,2,1,0,0,1,481
137,"P.V PIPARAHIYAN",377,365,0,742,200,255,0,455,455,0,183,186,64,4,1,0,0,1,1,3,0,0,2,2,2,6,455
138,"P.V HARAIYAN R.N-1",670,567,0,1237,350,307,0,657,657,0,84,450,91,3,2,0,2,0,3,1,1,0,1,5,6,8,657
139,"P.V HARAIYAN R.N-2",359,325,0,684,136,128,0,264,264,0,33,143,80,4,1,0,0,0,0,0,0,0,2,0,0,1,264
140,"P.V HARAIYAN R.N-3",544,477,0,1021,224,219,0,443,443,0,12,358,55,1,15,0,0,0,1,0,0,1,0,0,0,0,443
141,"P.V BHATANI DADAN R.N-1",588,472,0,1060,265,214,0,479,479,0,114,235,94,13,1,0,0,1,3,3,1,3,0,3,2,6,479
142,"P.V BHATANI DADAN R.N-2",356,368,0,724,190,167,0,357,357,0,54,221,70,3,3,0,0,0,3,0,0,0,0,1,2,0,357
143,"P.V AKTAHIYA",499,407,0,906,256,224,0,480,480,0,303,107,51,4,1,1,1,0,4,1,1,0,0,0,5,1,480
144,"H.P.V RAMPUR SHRIPAL",455,394,0,849,249,223,0,472,472,0,252,175,21,3,2,1,1,1,0,3,0,1,1,2,3,6,472
145,"H.P.V GOPALPUR",274,258,0,532,163,156,0,319,319,0,138,124,43,5,3,0,0,0,3,0,1,0,0,1,0,1,319
146,"P.V NAUTAN HATHIYAGADH R.N-1",661,600,0,1261,301,291,0,592,592,0,329,127,106,12,1,1,0,0,4,5,0,1,0,2,2,2,592
147,"P.V NAUTAN HATHIYAGADH R.N-2",789,647,0,1436,456,421,0,877,877,0,626,119,61,10,6,4,4,5,5,12,3,0,5,4,4,9,877
148,"P.V NAUTAN HATHIYAGADH R.N-3",779,610,0,1389,369,313,0,682,682,0,286,133,230,9,2,1,0,2,5,2,2,0,1,2,3,4,682
149,"P.V DEORIA NAKCHHED",679,636,0,1315,352,324,0,676,676,0,383,151,99,14,3,1,1,1,0,5,5,2,2,7,0,2,676
150,"H.P.V FULEHARA",412,375,0,787,251,211,0,462,462,0,307,54,83,7,1,0,0,0,1,1,1,1,0,0,1,5,462
151,"P.V CHAKIYA",327,269,0,596,177,159,0,336,336,0,215,78,21,11,1,0,0,0,1,2,1,1,0,0,3,2,336
152,"P.V PIPRA DAULAKADAM R.N-1",652,545,0,1197,314,298,0,612,612,0,328,162,96,4,6,0,1,0,2,3,1,0,0,3,4,2,612
153,"P.V PIPRA DAULAKADAM R.N-2",530,392,0,922,249,224,0,473,473,0,276,160,5,13,0,0,0,2,0,6,1,0,1,1,5,3,473
154,"P.V PIPRA DAULAKADAM R.N-3",595,500,0,1095,288,258,0,546,546,0,387,101,26,11,0,1,1,0,0,3,2,0,2,1,2,9,546
155,"P.V MATHBHAGWANPUR",231,177,0,408,98,82,0,180,180,0,74,62,39,3,0,0,0,0,0,0,0,0,0,0,0,2,180
156,"P.V MADAPA",508,442,0,950,255,221,0,476,476,0,141,203,106,4,0,1,0,2,3,0,1,0,2,3,5,5,476
157,"P.V SONBARSA",707,655,0,1362,388,325,0,713,713,0,242,134,291,13,2,1,2,1,3,3,0,0,0,10,5,6,713
158,"I.F PAKADI BIRBHADRA R.N-1",711,618,0,1329,393,369,0,762,762,0,510,157,45,15,2,0,0,6,6,3,0,0,1,0,4,13,762
159,"I.F PAKADI BIRBHADRA R.N-2",738,662,0,1400,366,322,0,688,688,0,444,164,35,5,1,0,0,2,2,1,4,1,1,3,6,19,688
160,"P.V MUNDERA URF BALUAHI",480,393,0,873,222,201,0,423,423,0,245,128,36,3,1,1,3,1,3,1,0,0,0,0,1,0,423
161,"P.V SHANJAHANPUR R.N-1",455,418,0,873,217,210,0,427,427,0,118,167,91,9,2,0,0,0,9,5,2,0,2,3,12,7,427
162,"P.V SHANJAHANPUR R.N-2",386,301,0,687,186,172,0,358,358,0,181,108,43,6,3,0,0,0,2,5,2,2,0,0,2,4,358
163,"P.V MUNDERA URF DEURAHA",762,646,0,1408,391,361,0,752,752,0,364,193,121,33,1,0,0,1,5,7,1,2,3,1,7,13,752
164,"P.V MUNDERA",501,383,0,884,212,209,0,421,421,0,208,103,67,9,0,1,0,4,3,1,2,0,2,2,6,13,421
165,"P.V IMILIYA URF BHAGWANPUR",291,209,0,500,132,111,0,243,243,0,169,56,9,0,0,1,0,0,0,2,2,0,0,0,3,1,243
166,"P.V DESHAHI DEORIA R.N-1",755,611,0,1366,343,321,0,664,664,0,421,180,20,5,1,0,0,3,4,3,3,2,1,3,8,10,664
167,"P.V DESHAHI DEORIA R.N-2",844,671,0,1515,485,458,0,943,943,0,93,810,18,1,0,1,3,0,5,1,0,0,1,3,4,3,943
168,"P.V PURAINI",649,584,0,1233,416,359,0,775,775,0,504,155,69,10,0,1,1,2,2,5,1,2,4,3,5,11,775
169,"P.V DUBAULI",380,343,0,723,243,207,0,450,450,0,249,127,61,5,0,0,0,0,1,0,2,0,0,0,0,5,450
170,"P.V MIBIBARWAN",302,224,0,526,160,154,0,314,314,0,150,58,75,11,0,0,0,5,0,2,1,0,1,4,2,5,314
171,"P.V BHARTHAPATTI",570,467,0,1037,276,249,0,525,525,0,51,287,155,17,3,0,2,1,2,1,1,0,2,0,3,0,525
172,"P.V DIGHWA PAUTAWA",585,498,0,1083,303,288,0,591,591,0,135,303,132,5,0,0,2,0,2,1,0,0,0,2,5,4,591
173,"P.V BAIJNATHPUR",472,391,0,863,262,234,0,496,496,0,180,107,181,11,3,0,2,2,1,1,0,1,3,2,1,1,496
174,"P.V MADRAPALI BHARATHRAI",777,650,0,1427,379,364,0,743,743,0,159,437,100,12,1,2,1,1,9,2,0,0,1,6,4,8,743
175,"P.V KAULACHHAPA",750,571,0,1321,369,350,0,719,719,0,21,624,28,5,28,1,1,2,4,0,0,0,0,2,2,1,719
176,"P.V SHAMPUR R.N-1",607,561,0,1168,304,299,0,603,603,0,140,256,177,5,4,1,1,1,4,3,1,3,1,1,4,1,603
177,"P.V SHAMPUR R.N-2",402,333,0,735,205,188,0,393,393,0,60,237,86,6,0,0,1,0,1,1,0,0,1,0,0,0,393
178,"J.H.S HARIYAPAR",558,441,0,999,284,269,0,553,553,0,338,105,83,6,6,1,0,0,2,2,3,0,0,1,0,6,553
179,"P.V BASANTPUR",839,701,0,1540,420,405,0,825,825,0,272,404,102,15,3,1,2,1,10,1,1,0,0,3,3,7,825
180,"A.G.V.L.M.V BARWANMIRCHHAPAR R.N-1",618,498,0,1116,333,319,0,652,652,0,427,120,78,8,1,1,0,0,5,2,0,0,1,1,0,8,652
181,"A.G.V.L.M.V BARWANMIRCHHAPAR R.N-2",653,495,0,1148,298,277,0,575,575,0,202,209,124,22,2,0,0,0,2,1,0,0,3,1,4,5,575
