"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAGDAMBIKA PAL","2 - MATA PRASAD PANDEY","3 - MUHAMMAD MUQEEM","4 - VASUNDHARA","5 - HAMIDULLAH CHAUDHARY","6 - DR. MOHD. AYUB","7 - ARJUN SINGH","8 - PINGLE PRASAD","9 - BADRE ALAM","10 - MANOJ KUMAR","11 - RAVI KUMAR","12 - DR. SATYENDRA  NATH PANDEY","13 - SANTRAM","14 - KALI RAM","15 - DIWAKAR PRASAD","16 - MUKESH NARAYAN SHUKLA URF GYANESH NARAYAN SHUKLA","17 - RAM UGRAH","18 - None of the Above","Total Votes Secured"
56,"BUDHIYA TAYAR",293,238,0,531,157,116,0,273,273,0,114,79,23,42,0,6,0,0,2,0,1,1,1,0,0,0,2,2,273
57,DUMARIA,513,419,0,932,259,198,0,457,457,0,222,87,98,18,4,1,0,2,0,0,0,10,1,1,3,3,5,2,457
58,"SEKHUI GOBARDHAN",324,275,0,599,235,179,0,414,414,0,33,244,108,10,0,10,1,1,0,0,0,1,0,0,0,0,2,4,414
59,"ANDUA SHANICHARA",345,322,0,667,218,194,0,412,412,0,148,156,80,13,0,3,0,0,0,0,1,3,1,0,2,3,0,2,412
60,"VEERPUR MUSTAHAKAM",315,262,0,577,111,216,0,327,327,0,3,13,17,3,2,279,1,1,5,1,2,0,0,0,0,0,0,0,327
61,"VEERPUR AHATAMALI",791,596,0,1387,332,349,0,681,681,0,264,60,165,15,3,141,3,4,0,0,1,6,2,2,1,3,6,5,681
62,"PEDARIA JEET",589,474,0,1063,403,175,0,578,578,0,246,157,43,96,4,3,1,2,0,0,1,2,3,4,1,4,7,4,578
63,"BHARVATHIYA MUSTAHAKAM",677,628,0,1305,297,312,0,609,609,0,166,164,36,63,7,157,2,0,2,1,0,6,0,0,1,0,1,3,609
64,"BHARVATHIYA MUSTAHAKAM",433,380,0,813,149,167,0,316,316,0,13,87,21,73,1,111,0,0,0,0,0,1,2,3,2,0,1,1,316
65,"BHARVATHIYA MUSTAHAKAM",484,412,0,896,259,235,0,494,494,0,83,54,319,9,0,18,0,6,0,0,0,3,0,2,0,0,0,0,494
66,"BHARVATHIYA MUSTAHAKAM",543,428,0,971,173,158,0,331,331,0,66,64,147,6,0,39,0,6,1,0,0,0,0,1,0,0,1,0,331
67,PIKAURA,560,431,0,991,244,190,0,434,434,0,193,80,118,7,3,3,1,4,2,3,1,10,1,3,1,2,1,1,434
68,"PEDARI MUSTAHAKAM",720,589,0,1309,347,245,0,592,592,0,263,108,91,23,2,71,0,0,0,1,0,15,2,1,1,7,3,4,592
69,"PEDARI MUSTAHAKAM",202,156,0,358,117,83,0,200,200,0,79,24,33,51,1,2,0,1,1,1,0,2,0,1,1,1,1,1,200
70,MANNIJOT,390,344,0,734,261,205,0,466,466,0,123,138,170,9,2,0,0,6,0,2,2,5,0,3,2,1,0,3,466
71,MANGARAO,409,319,0,728,189,171,0,360,360,0,99,81,100,28,3,16,0,5,2,0,4,7,0,2,0,10,0,3,360
72,"KATHAUTIA GOKUL",321,276,0,597,177,167,0,344,344,0,159,61,79,9,5,9,0,3,1,1,0,3,0,2,1,4,4,3,344
73,DHANOHARI,707,561,0,1268,398,314,0,712,712,0,259,142,230,42,2,5,1,7,0,3,0,5,3,3,0,2,4,4,712
74,SIRSIA,693,563,0,1256,333,238,0,571,571,0,207,104,94,62,6,44,1,1,2,1,3,4,3,8,7,14,5,5,571
75,"RAMVAPUR URF NEBUA MUSTAHAKAM",602,500,0,1102,348,240,0,588,588,0,381,38,78,40,3,5,0,2,1,1,2,8,2,2,4,10,10,1,588
76,MAHANUA,464,366,0,830,212,183,0,395,395,0,89,114,107,25,4,36,0,2,0,1,0,4,1,2,1,7,1,1,395
77,"MAHATINIA BUJURG",588,503,0,1091,307,303,0,610,610,0,170,132,243,6,3,9,1,5,1,2,1,6,1,2,2,5,14,7,610
78,"PACHAUTH LATIFPUR",329,253,0,582,194,147,0,341,341,0,125,109,51,10,4,26,0,1,1,0,0,3,0,0,2,2,4,3,341
79,"SHAHPUR MUSTAHAKAM",835,708,0,1543,468,397,0,865,865,0,515,153,101,34,3,23,0,2,0,4,1,6,5,3,0,6,5,4,865
80,"SHAHPUR MUSTAHAKAM",792,616,0,1408,354,272,0,626,626,0,167,207,77,69,2,79,1,0,1,0,0,5,2,4,2,3,1,6,626
81,"SHAHPUR MUSTAHAKAM",468,350,0,818,237,198,0,435,435,0,37,64,289,14,1,7,2,2,1,3,0,1,2,4,1,6,1,0,435
82,AKOLHIYA,766,643,0,1409,363,280,0,643,643,0,170,120,162,31,2,110,2,2,4,2,4,5,5,4,2,7,6,5,643
83,BAGAHAWA,514,501,0,1015,238,252,0,490,490,0,34,144,52,23,3,219,2,0,3,3,1,2,1,0,0,1,1,1,490
84,BAGAHAWA,568,434,0,1002,271,229,0,500,500,0,110,92,208,7,0,66,1,1,4,0,0,3,1,2,1,1,1,2,500
85,"GHOSIYA MAY  SIRIA BAGHEL",295,246,0,541,124,124,0,248,248,0,36,57,57,6,1,78,1,1,0,0,1,2,1,0,0,3,3,1,248
86,"DHAURHARA MAY PRASADI KHAT",526,438,0,964,293,213,0,506,506,0,180,128,132,14,4,0,2,2,2,1,4,3,6,5,7,8,4,4,506
87,"JALAKRRA URF KHAJUHA",816,609,0,1425,432,362,0,794,794,0,186,278,130,28,6,96,2,2,2,3,2,7,2,5,9,10,14,12,794
88,"MAJHARI MOHAL MAY KOHAL",240,170,0,410,128,108,0,236,236,0,132,67,14,8,0,1,0,1,0,1,0,7,0,1,0,0,3,1,236
89,RAJPUR,535,454,0,989,264,269,0,533,533,0,139,152,127,56,2,15,0,3,1,4,0,10,6,6,2,3,5,2,533
90,RAJPUR,472,386,0,858,226,205,0,431,431,0,147,127,31,68,3,17,0,3,0,2,3,6,5,5,2,5,2,5,431
91,RASOOLPUR,872,704,0,1576,348,439,0,787,787,0,7,70,101,81,12,492,3,4,1,1,2,2,3,3,2,1,0,2,787
92,"BANGAI NANKAR",569,468,0,1037,326,237,0,563,563,0,209,136,103,64,1,1,1,5,0,0,2,6,4,6,6,12,4,3,563
93,MAHOKHAVA,304,238,0,542,135,133,0,268,268,0,83,134,20,8,1,2,0,2,0,1,4,2,0,2,4,4,0,1,268
94,CHAKMAJHARI,330,316,0,646,157,194,0,351,351,0,54,55,130,7,1,81,1,5,0,4,1,3,1,1,0,4,2,1,351
95,KHAMHARIA,346,273,0,619,90,93,0,183,183,0,12,76,35,0,9,44,0,0,1,0,0,2,1,0,1,1,0,1,183
96,BHALUWAHI,417,334,0,751,231,186,0,417,417,0,148,168,79,4,1,0,1,1,0,0,0,2,0,3,0,6,3,1,417
97,"UPADHI KHURD BUJURG",297,238,0,535,169,144,0,313,313,0,153,106,41,5,0,2,0,1,0,0,0,1,1,0,1,0,1,1,313
98,JIMADI,453,397,0,850,204,239,0,443,443,0,25,115,150,33,9,96,2,1,2,0,0,0,1,1,0,2,3,3,443
99,"MEHI HARADO",396,375,0,771,203,216,0,419,419,0,157,132,41,8,2,49,1,1,1,0,0,0,0,0,4,1,6,16,419
100,JAMAUTIA,320,261,0,581,157,106,0,263,263,0,5,95,35,12,0,110,0,1,1,0,0,0,0,1,1,0,1,1,263
101,"TURKAULIA TIWARI",728,617,0,1345,351,346,0,697,697,0,268,41,99,26,1,248,2,3,0,0,2,4,0,0,1,2,0,0,697
102,"TURKAULIA TIWARI",491,394,0,885,260,233,0,493,493,0,165,71,44,32,5,159,3,0,0,3,0,3,1,1,0,3,2,1,493
103,GANGWAR,340,263,0,603,153,207,0,360,360,0,2,85,24,3,3,233,2,0,1,0,1,1,1,1,0,1,1,1,360
104,KONKATI,334,305,0,639,111,147,0,258,258,0,1,67,73,5,1,106,0,0,0,0,1,1,1,2,0,0,0,0,258
105,"AMAUNA TIWARI",639,495,0,1134,287,301,0,588,588,0,111,51,82,6,6,321,2,1,0,2,0,3,0,1,0,2,0,0,588
106,"AMAUNA TIWARI",249,207,0,456,150,99,0,249,249,0,96,79,40,15,2,3,0,0,1,1,0,1,0,0,0,2,6,3,249
107,TELIYADEEH,446,326,0,772,208,222,0,430,430,0,74,33,136,2,2,178,0,1,0,0,0,1,0,0,0,2,1,0,430
108,"PIPRA RAMLAL",869,696,0,1565,343,364,0,707,707,0,121,90,77,12,13,371,2,3,1,1,1,5,1,0,1,3,3,2,707
109,PENDA,700,536,0,1236,357,314,0,671,671,0,200,248,113,19,4,15,2,8,3,4,7,9,4,5,6,12,5,7,671
110,BAGHADI,275,197,0,472,117,136,0,253,253,0,16,3,19,27,4,176,2,0,0,2,2,2,0,0,0,0,0,0,253
111,RAMVAPUR,503,369,0,872,288,210,0,498,498,0,127,115,65,2,4,120,2,3,0,3,2,2,3,4,3,7,17,19,498
112,"BHALUKONI JAPTI",401,341,0,742,192,197,0,389,389,0,82,186,70,4,3,23,2,1,1,1,1,4,2,1,2,0,2,4,389
113,"KHORIYA JAGHUVEER SINGH",655,518,0,1173,321,312,0,633,633,0,271,36,82,21,9,180,3,3,2,3,1,4,2,1,2,6,7,0,633
114,"KHORIYA JAGHUVEER SINGH",450,319,0,769,226,175,0,401,401,0,112,58,90,11,7,97,1,2,0,1,3,6,0,2,4,4,2,1,401
115,MISHRAULIYA,351,310,0,661,152,179,0,331,331,0,103,64,52,66,2,15,0,0,0,1,1,11,1,2,0,5,2,6,331
116,KAKRAPOKHAR,536,383,0,919,217,258,0,475,475,0,38,46,28,4,5,338,1,2,1,0,0,2,0,0,2,5,3,0,475
117,KAKRAPOKHAR,580,449,0,1029,272,294,0,566,566,0,58,84,47,13,8,345,2,3,0,0,0,3,1,1,0,1,0,0,566
118,JHAHRAV,493,436,0,929,257,279,0,536,536,0,100,32,13,12,176,192,1,0,1,2,0,3,0,0,0,0,3,1,536
119,"GAURI PATHAK",422,371,0,793,235,194,0,429,429,0,254,49,57,33,8,18,0,2,0,0,0,4,0,0,0,2,2,0,429
120,TIKARIYA,480,358,0,838,168,212,0,380,380,0,6,119,24,5,2,193,2,1,5,2,2,8,0,0,1,2,0,8,380
121,TIKARIYA,417,306,0,723,150,195,0,345,345,0,62,90,49,18,6,98,0,0,10,2,0,2,2,3,0,1,0,2,345
122,AURATAL,507,462,0,969,227,269,0,496,496,0,5,122,53,50,5,244,2,1,2,2,0,3,1,1,0,1,1,3,496
123,BADARPUR,314,275,0,589,112,172,0,284,284,0,22,7,9,1,5,236,1,0,1,0,0,2,0,0,0,0,0,0,284
124,KUSUMHI,505,445,0,950,288,238,0,526,526,0,150,106,98,7,0,139,0,1,0,4,1,4,0,3,2,5,2,4,526
125,SEKHUI,571,533,0,1104,300,306,0,606,606,0,111,20,186,10,4,247,1,5,0,1,1,2,2,1,4,4,4,3,606
126,"PARSA HUSAIN",440,354,1,795,220,164,0,384,384,0,76,65,28,69,2,137,0,2,0,0,0,1,1,1,0,0,2,0,384
127,"PARSA HUSAIN",415,344,0,759,204,183,0,387,387,0,109,98,31,60,5,68,1,2,1,0,1,1,2,2,2,1,2,1,387
128,"KATHAUTIYA ALAM",388,387,0,775,164,188,0,352,352,0,13,57,186,38,0,45,1,2,2,0,0,1,0,1,1,2,0,3,352
129,BADHANI,336,299,0,635,154,160,0,314,314,0,115,62,81,18,2,23,0,0,0,0,2,2,2,1,1,2,2,1,314
130,PARSA,408,369,0,777,159,177,0,336,336,0,34,56,85,14,3,133,2,1,0,0,2,2,0,1,2,1,0,0,336
131,DEORIA,526,398,0,924,266,244,0,510,510,0,123,28,138,110,5,73,5,4,0,1,0,7,0,2,1,4,4,5,510
132,MANOHARPUR,501,387,0,888,227,229,0,456,456,0,104,66,69,7,3,180,1,3,1,1,3,5,3,3,0,2,1,4,456
133,"VEERPUR RATANPUR",326,257,0,583,184,153,0,337,337,0,130,77,92,25,1,0,0,0,0,0,0,1,1,1,0,3,4,2,337
134,ALLAPUR,481,409,0,890,257,211,0,468,468,0,188,203,11,16,0,6,2,0,2,1,1,8,1,1,4,6,12,6,468
135,"GAURAHI BUJURG",278,237,0,515,168,154,0,322,322,0,72,12,203,7,11,2,0,5,0,1,0,1,0,1,3,3,0,1,322
136,SUHELAWA,361,289,0,650,209,162,0,371,371,0,282,53,6,6,1,0,1,1,0,0,1,5,1,0,1,6,5,2,371
137,BHAGWANPUR,453,377,0,830,181,201,0,382,382,0,53,104,90,22,2,91,1,1,0,0,1,3,0,2,3,4,4,1,382
138,KUDI,564,470,0,1034,311,292,0,603,603,0,280,85,136,30,1,52,5,0,1,1,2,3,0,0,0,2,3,2,603
139,KUSAHATA,375,319,0,694,132,177,0,309,309,0,12,42,53,16,3,174,1,3,0,0,0,1,1,1,0,0,0,2,309
140,ASNAHARA,499,422,0,921,286,258,0,544,544,0,209,206,99,15,2,0,0,3,1,2,0,1,1,1,0,2,1,1,544
141,LOHRAULI,752,591,0,1343,368,320,0,688,688,0,338,152,118,11,3,44,4,0,0,0,0,4,2,2,3,5,0,2,688
142,"POKHARA KAZI",418,328,0,746,178,167,0,345,345,0,142,72,37,18,3,38,4,3,2,1,0,8,4,2,3,3,4,1,345
143,JAMAUTA,599,482,0,1081,262,216,0,478,478,0,118,94,121,59,2,66,0,3,0,0,1,1,0,2,2,5,2,2,478
144,JAMALJOT,246,224,0,470,118,108,0,226,226,0,38,52,72,19,0,35,0,0,2,2,0,2,0,0,3,0,1,0,226
145,JAMALJOT,362,311,0,673,183,137,0,320,320,0,106,105,22,9,3,63,0,0,0,0,0,1,1,2,2,3,3,0,320
146,ANDUA,446,373,0,819,226,223,0,449,449,0,16,106,159,16,1,139,1,4,3,0,1,0,0,1,0,2,0,0,449
147,"POKHRA KANOONGO",210,163,0,373,96,78,0,174,174,0,87,53,5,0,0,25,0,1,0,0,0,1,0,0,0,0,2,0,174
148,"SIKAHARA KOHADA",423,417,0,840,189,202,0,391,391,0,16,232,33,16,3,66,1,0,1,3,1,1,0,2,1,0,2,13,391
149,"SIKAHARA KOHADA",337,316,0,653,137,172,0,309,309,0,35,140,71,11,3,41,1,1,1,0,1,2,1,0,0,0,1,0,309
150,PATKHAULI,302,245,0,547,140,143,0,283,283,0,91,18,30,5,2,120,4,0,1,0,0,5,0,0,2,2,2,1,283
151,JABJAUWA,519,492,0,1011,183,188,0,371,371,0,6,241,19,18,1,62,1,0,0,1,0,1,0,0,1,1,3,16,371
152,JABJAUWA,653,614,0,1267,300,276,0,576,576,0,12,410,23,10,2,113,0,0,0,2,0,1,0,1,0,2,0,0,576
153,HALLAUR,789,596,0,1385,388,341,0,729,729,0,91,345,214,17,0,33,0,7,0,0,2,1,1,3,2,3,2,8,729
154,HALLAUR,718,623,0,1341,248,247,0,495,495,0,30,413,15,22,0,5,0,0,1,1,1,0,0,1,3,0,1,2,495
155,HALLAUR,793,718,0,1511,375,287,0,662,662,0,107,422,33,13,2,56,3,2,1,0,2,1,4,1,2,7,1,5,662
156,HALLAUR,619,559,0,1178,207,174,0,381,381,0,23,283,34,7,3,20,0,1,2,1,0,1,0,0,1,4,0,1,381
157,HALLAUR,502,419,0,921,211,173,0,384,384,0,25,282,47,5,0,15,0,1,3,0,0,0,1,0,0,0,1,4,384
158,BHATANGAWA,502,431,0,933,205,313,0,518,518,0,131,169,114,15,1,54,0,2,0,0,1,5,4,3,0,5,6,8,518
159,BHATANGAWA,402,360,0,762,240,179,0,419,419,0,163,182,14,13,0,35,0,0,0,0,0,3,2,1,2,1,2,1,419
160,BASDILIYA,521,467,0,988,267,264,0,531,531,0,3,319,29,9,0,5,161,1,0,0,0,1,1,0,1,0,0,1,531
161,BASDILIYA,622,563,0,1185,302,410,0,712,712,0,9,356,85,27,2,227,0,1,0,0,0,0,0,1,2,1,0,1,712
162,SEMUADEEH,464,403,0,867,318,250,0,568,568,0,219,15,193,5,2,90,2,1,2,1,0,7,2,4,2,4,15,4,568
163,DUMARIAGANJ,948,755,0,1703,536,413,0,949,949,0,332,53,124,27,5,368,3,2,3,1,3,10,2,2,3,5,5,1,949
164,DUMARIAGANJ,831,678,0,1509,454,383,0,837,837,0,321,83,35,29,3,326,0,0,0,2,2,8,1,1,5,12,9,0,837
165,DUMARIAGANJ,385,344,0,729,283,184,0,467,467,0,275,24,51,34,0,62,0,1,1,1,0,2,0,0,1,8,4,3,467
166,DUMARIAGANJ,760,644,0,1404,423,333,0,756,756,0,254,69,75,19,3,320,1,0,2,0,2,3,0,0,0,4,1,3,756
167,DUMARIAGANJ,585,513,0,1098,288,242,0,530,530,0,260,49,23,24,0,156,0,0,1,0,0,6,1,2,0,2,3,3,530
168,DUMARIAGANJ,471,426,0,897,270,227,0,497,497,0,194,64,82,52,1,100,1,0,0,0,0,1,0,0,0,1,0,1,497
169,DUMARIAGANJ,520,468,0,988,278,246,0,524,524,0,255,47,45,14,2,151,0,0,1,0,0,2,0,0,1,3,1,2,524
170,"DUMARIAGANJ(KOSI KHURD BUJURG)",568,496,0,1064,299,225,0,524,524,0,318,53,33,20,1,81,2,2,1,0,1,3,0,3,0,4,2,0,524
171,"BAIDAULA GARH",717,610,0,1327,414,365,0,779,779,0,288,106,130,34,4,187,3,2,2,1,0,2,4,1,5,4,3,3,779
172,"BAIDAULA GARH",804,698,0,1502,555,301,0,856,856,0,446,68,63,15,1,229,2,1,4,0,0,9,0,1,1,5,9,2,856
173,BANJRAHAVA,308,279,0,587,176,179,0,355,355,0,82,42,92,14,0,114,2,3,0,0,1,1,0,0,0,2,0,2,355
174,"MALI MAINAHA",742,594,0,1336,343,247,0,590,590,0,122,164,61,37,2,187,1,0,0,1,0,2,0,2,3,2,4,2,590
175,"MALI MAINAHA",729,619,0,1348,305,300,0,605,605,0,144,104,123,38,2,176,1,1,0,0,2,2,2,1,2,4,0,3,605
176,"MALI MAINAHA",815,525,0,1340,452,286,0,738,738,0,187,57,296,17,2,144,3,4,4,1,3,2,0,3,2,10,2,1,738
177,AUSANPUR,547,534,0,1081,304,274,0,578,578,0,22,63,136,196,3,138,0,1,6,1,0,0,2,0,1,5,0,4,578
178,MISHRAULIYA,682,589,0,1271,375,321,0,696,696,0,244,75,170,29,7,136,1,1,0,0,2,3,1,6,3,6,5,7,696
179,BANGAWA,399,339,0,738,218,203,0,421,421,0,181,18,111,15,2,67,0,1,0,1,1,7,2,3,2,9,1,0,421
180,BANGAWA,343,268,0,611,158,132,0,290,290,0,65,8,126,6,1,63,3,3,0,2,1,2,1,1,0,4,2,2,290
181,"MAHUA KHURD",558,525,0,1083,259,324,0,583,583,0,74,121,231,12,1,127,1,4,2,0,1,1,0,0,0,5,2,1,583
182,AGAYA,437,383,0,820,270,205,0,475,475,0,213,192,43,12,0,3,0,2,0,0,0,2,0,1,0,3,2,2,475
183,SEMARI,275,223,0,498,171,107,0,278,278,0,104,120,34,1,0,0,0,0,0,0,0,1,2,1,0,5,5,5,278
