"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - GIRISH CHANDRA","2 - YASHWANT SINGH","3 - YASHVIR SINGH","4 - OMPRAKASH RAVI","5 - TEJ SINGH","6 - BHAGWAN DASS RATHOR","7 - MANJU DEVI","8 - VINOD KUMAR","9 - SHARISHTHA KUMAR SINGH","10 - SHEESHRAM SINGH RAVI","11 - SARIKA","12 - ASARPAT SINGH","13 - SHAMSHER","14 - SUNIL","15 - None of the Above","Total Votes Secured"
49,"HINDU INTER COLLEGE NEW BUILDING ROM NO 2",394,365,0,759,240,221,0,461,461,0,7,237,209,0,1,0,0,0,1,1,4,0,0,1,0,461
50,"HINDU INTER COLLEGE NEW BUILDING ROM NO 3",752,692,0,1444,491,452,0,943,943,0,245,571,78,0,2,5,1,1,1,6,5,1,4,10,13,943
51,"JAMIA ARBIYA ANSARUL ULOOM KIRATPUR ROOM NO 1",700,596,0,1296,332,341,0,673,673,0,11,7,403,8,1,6,0,2,217,11,2,3,0,0,2,673
52,"JAMIA ARBIYA ANSARUL ULOOM KIRATPUR ROOM NO 2",368,324,0,692,139,160,0,299,299,0,4,7,254,3,0,0,1,0,0,23,3,0,2,1,1,299
53,"JAMIA ARBIYA ANSARUL ULOOM KIRATPUR ROOM NO 3",863,679,0,1542,436,378,0,814,814,0,128,144,511,0,1,2,0,0,1,7,8,2,1,3,6,814
54,"ISLAMIYA ANSAR INTER COLLEGEROOM NO 1",504,435,0,939,228,263,0,491,491,0,12,23,437,4,0,0,0,0,0,2,7,0,3,2,1,491
55,"ISLAMIYA ANSAR INTER COLLEGEROOM NO 2",489,459,0,948,217,277,0,494,494,0,2,9,460,2,0,0,0,0,0,3,14,1,0,0,3,494
56,"J.H.S. KIRATPUR",668,573,1,1242,361,331,0,692,692,0,27,305,345,2,0,0,0,0,0,2,3,2,3,0,3,692
57,"M.G.M.P. INTER COLLEGE KIRATPUR ROM NO 1",660,636,0,1296,242,345,0,587,587,0,12,7,548,2,1,0,0,0,0,2,2,3,5,4,1,587
58,"M.G.M.P. INTER COLLEGE KIRATPUR ROM NO 2",701,632,0,1333,264,310,0,574,574,0,15,8,448,6,1,0,2,1,2,71,10,2,3,1,4,574
59,"M.G.M.P. INTER COLLEGE KIRATPUR ROM NO 3",696,580,0,1276,317,315,0,632,632,0,104,99,390,2,1,3,0,0,0,0,19,1,2,7,4,632
60,"M.G.M.P. INTER COLLEGE KIRATPUR ROM NO 4",667,524,1,1192,340,248,0,588,588,0,38,1,525,4,0,2,0,0,0,1,0,0,10,1,6,588
61,"M.G.M.P. INTER COLLEGE KIRATPUR ROM NO5",646,573,0,1219,337,370,0,707,707,0,103,45,518,2,3,1,0,0,0,10,11,2,3,2,7,707
62,"M.G.M.P. INTER COLLEGE KIRATPUR ROM NO6",702,624,0,1326,314,387,0,701,701,0,287,31,341,0,0,0,0,0,0,13,7,1,4,7,10,701
63,"MADNI PUBLIC INTER COLLEGE BHUDDI KIRATPUR  BOYS ROOM NO 1",538,486,0,1024,355,288,0,643,643,0,273,81,237,2,0,2,1,2,1,11,6,4,6,9,8,643
64,"MADNI PUBLIC INTER COLLEGE BHUDDI KIRATPUR  BOYS ROOM NO 2",575,549,0,1124,326,271,0,597,597,0,51,22,497,1,0,0,0,0,0,3,4,2,7,1,9,597
65,"MADNI PUBLIC INTER COLLEGE BHUDDI KIRATPUR  BOYS ROOM NO 3",435,396,0,831,215,199,0,414,414,0,29,98,255,1,0,1,0,0,2,7,10,1,5,1,4,414
66,"MADNI PUBLIC INTER COLLEGE BHUDDI KIRATPUR  BOYS ROOM NO 4",381,386,0,767,216,238,0,454,454,0,159,163,118,1,0,0,0,0,0,1,4,0,5,0,3,454
67,"MADNI PUBLIC INTER COLLEGE BHUDDI KIRATPUR GIRLS ROOM NO  2",631,582,0,1213,305,330,0,635,635,0,214,24,377,2,1,0,2,0,0,0,2,2,1,2,8,635
68,"MADNI PUBLIC INTER COLLEGE BHUDDI KIRATPUR GIRLS ROOM NO  3",721,561,0,1282,330,302,0,632,632,0,120,4,487,1,0,0,0,1,0,1,1,1,3,0,13,632
69,"P.V. NAINPUR SINGH",468,441,0,909,406,371,0,777,777,0,435,304,14,1,3,0,0,0,0,2,2,1,2,5,8,777
70,"P.V. HUSAINPUR SULTAN",353,352,0,705,287,272,0,559,559,0,18,521,11,1,1,0,0,0,0,0,0,0,0,4,3,559
71,"P.V.VAISHPUR KUDIYA ROOM NO 1",592,532,0,1124,388,366,0,754,754,0,523,123,78,6,0,3,0,0,0,1,4,1,3,0,12,754
72,"P.V. VAISHPUR KUDIYA ROOM NO 2",357,341,0,698,214,254,0,468,468,0,57,158,228,1,0,2,0,0,0,11,4,0,3,1,3,468
73,"P.V. SAHBPURA RATAN SINGH",597,526,0,1123,364,361,0,725,725,0,9,406,260,0,0,9,0,0,0,28,0,2,5,4,2,725
74,"P.V.KHASOR ROOM NO 1",580,539,0,1119,469,450,0,919,919,0,352,514,40,0,1,0,0,0,0,1,0,1,0,3,7,919
75,"P.V. KHASOR ROOM NO 2",685,604,1,1290,484,444,0,928,928,0,380,234,287,4,0,1,0,1,0,0,0,0,5,7,9,928
76,"P.V. CHANDAK TURK",692,572,0,1264,428,420,0,848,848,0,108,35,674,5,0,2,0,1,0,7,0,2,4,1,9,848
77,"P.V. HADIPUR SADRUDDIN",326,296,0,622,254,246,0,500,500,0,153,201,127,2,0,1,0,1,0,2,7,1,2,1,2,500
78,"P.V.RASULPUR SAHBUDDIN",340,308,0,648,280,240,0,520,520,0,469,34,2,1,0,0,0,1,0,0,1,2,0,1,9,520
79,"P.V. SHAKARPURI",303,275,0,578,195,204,0,399,399,0,28,59,297,2,0,1,0,0,0,2,5,0,4,0,1,399
80,P.V.KHATAI,808,739,0,1547,456,500,0,956,956,0,53,5,846,4,2,1,1,1,1,6,4,2,18,3,9,956
81,"P.V.MEMANSADAT FIRST ROOM NO 1",463,412,0,875,299,294,0,593,593,0,257,115,200,2,2,2,1,1,0,0,1,1,5,3,3,593
82,"P.V.MEMANSADAT FIRST ROOM NO 2",510,456,0,966,249,291,0,540,540,0,58,24,433,4,1,0,0,1,1,3,2,1,6,1,5,540
83,"J.H.S.MEMAN ROOM NO1",495,439,0,934,311,289,0,600,600,0,179,90,298,4,2,1,1,1,1,1,6,0,6,5,5,600
84,"J.H.S. MEMAN  ROOM NO 2",481,434,0,915,233,272,0,505,505,0,79,107,280,7,1,5,2,0,1,0,4,2,5,3,9,505
85,"P.V. SARAI JEEVAN",750,645,0,1395,399,409,0,808,808,0,105,28,651,2,2,1,1,0,0,7,0,1,6,0,4,808
86,"P.V. DHAKI SADHO",298,267,0,565,221,200,0,421,421,0,186,207,15,1,3,0,1,0,0,1,1,0,1,2,3,421
87,"P.V. ISLAMPUR SADAT",380,340,0,720,311,282,0,593,593,0,299,278,7,0,2,0,0,1,0,0,0,2,0,3,1,593
88,"P.V.BHARAIKI ROOM NO1",529,465,0,994,325,324,0,649,649,0,127,266,229,3,1,1,1,0,0,2,1,1,6,5,6,649
89,"P.V. BHARAIKI ROOM NO 2",730,662,0,1392,496,468,0,964,964,0,326,488,111,2,7,3,3,2,0,6,1,1,0,7,7,964
90,"J.H.S. BASERA",368,318,0,686,278,264,0,542,542,0,121,232,176,1,0,1,0,0,0,0,0,1,5,1,4,542
91,"P.V. AJMABAD",515,454,0,969,371,362,0,733,733,0,187,398,121,4,2,1,0,0,3,6,1,0,1,3,6,733
92,"P.V.NAJEEBPUR SADAT",243,243,0,486,192,207,0,399,399,0,107,170,111,2,1,0,0,0,0,2,0,0,1,3,2,399
93,"P.V.BIRDO NANGLI",638,592,0,1230,465,420,0,885,885,0,217,6,608,5,3,1,0,0,1,17,4,2,11,2,8,885
94,"P.V. GOVINDPUR",724,681,0,1405,515,497,0,1012,1012,0,453,451,61,4,2,1,0,3,0,0,0,5,7,10,15,1012
95,"P.V. SARAI IMMA",801,746,0,1547,485,567,0,1052,1052,0,265,8,700,8,2,0,1,2,0,39,2,2,6,6,11,1052
96,"P.V.BEGAMPUR RUPCHAND",731,637,0,1368,500,473,0,973,973,0,207,498,229,7,1,4,1,0,0,0,3,5,5,5,8,973
97,"J.H.S.PADLA ROOM NO 1",405,343,0,748,294,239,0,533,533,0,236,277,4,0,2,1,1,1,1,0,0,1,3,1,5,533
98,"J.H.S. PADLA ROOM NO 2",614,557,0,1171,428,390,0,818,818,0,172,440,164,3,4,3,3,1,0,2,2,2,1,9,12,818
99,"J.H.S.CHITAWAR ROOM NO.1",713,607,0,1320,482,416,0,898,898,0,614,228,38,1,0,6,0,0,0,0,0,0,3,1,7,898
100,"J.H.S.CHITAWAR ROOM NO 2",687,624,0,1311,489,411,0,900,900,0,186,636,49,0,0,3,4,1,2,0,2,2,1,11,3,900
101,"J.H.S.CHITAWAR ROOM NO 3",483,431,1,915,321,320,0,641,641,0,283,223,109,0,1,0,1,1,0,0,2,3,3,6,9,641
