"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - CHANDAN SINGH","2 - JAYANT CHAUDHARY","3 - PT. YOGESH KUMAR DWIVEDI","4 - HEMA MALINI","5 - ANUJ KUMAR GARG","6 - PT. UDYAN SHARMA","7 - PARSOTTAM","8 - BHUPENDRA KUMAR  DHANGAR","9 - MAHARAM SINGH","10 - MAHESH PRATAP SHARMA","11 - MOHAN SHYAM","12 - THAKUR HEMENDRA VEER SINGH","13 - OM PRAKASH","14 - PRAMOD KRISHNA","15 - FAKKAR BABA RAMAYANI","16 - BHUDEV","17 - RADHACHARAN","18 - RAM BABU SAINI","19 - SATISH CHANDRA SHARMA","20 - HEMA MALINI","21 - None of the Above","Total Votes Secured"
11,"PRIMARY SCHOOL BASAI SHERGARH",393,305,0,698,312,205,0,517,517,0,62,75,11,307,4,0,2,0,2,4,2,3,7,2,5,6,6,2,1,9,7,517
12,"PRIMARY SCHOOL KHARVAI",379,285,0,664,255,171,0,426,426,0,15,19,61,319,2,1,0,0,0,0,0,1,4,1,0,1,0,0,2,0,0,426
13,"PRIMARY SCHOOL ADAMPUR",509,407,0,916,370,245,0,615,615,0,12,5,4,589,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,615
14,"PANCHAYAT GHHAR SHERGARH",686,564,0,1250,481,335,0,816,816,0,61,51,195,463,5,2,10,0,1,1,0,1,1,0,1,1,1,3,0,15,4,816
15,"SARDAR PATEL INTER COLLEGE SHERGARK R.N. 1",645,546,0,1191,442,373,0,815,815,0,2,60,557,155,6,0,0,1,1,0,1,1,3,5,2,2,3,0,9,6,1,815
16,"SARDAR PATEL INTER COLLEGE SHERGARK R.N. 2",399,310,0,709,282,221,0,503,503,0,13,192,6,269,3,1,0,1,0,5,0,0,1,0,3,3,4,0,0,2,0,503
17,"SARDAR PATEL INTER COLLEGE SHERGARK R.N. 3",635,476,0,1111,389,248,0,637,637,0,9,169,9,410,4,1,0,1,2,2,0,1,3,3,4,5,0,6,0,8,0,637
18,"SARDAR PATEL INTER COLLEGE SHERGARK R.N. 4",450,324,0,774,293,169,0,462,462,0,19,305,1,124,2,0,0,0,0,0,1,0,1,0,2,1,5,0,0,0,1,462
19,"KHELANVAN INTER COLLEGE R.N. 1",576,428,0,1004,372,273,0,645,645,0,7,232,11,334,1,1,0,2,0,8,1,1,1,1,7,0,8,9,6,13,2,645
20,"KHELANVAN INTER COLLEGE R.N. 2",410,294,0,704,230,158,0,388,388,0,6,50,2,327,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,388
21,"PRIMARY SCHOOL SHERGHAR",444,318,0,762,162,116,0,278,278,0,35,185,24,5,3,4,0,0,0,3,2,1,0,3,2,5,4,1,0,1,0,278
22,"PRIMARY SCHOOL JANGHAWALI R.N. 1",691,560,0,1251,364,228,0,592,592,0,151,346,8,4,3,45,0,0,1,8,2,1,0,4,4,3,7,4,0,0,1,592
23,"PRIMARY SCHOOL JANGHAWALI R.N. 2",270,237,0,507,149,126,0,275,275,0,27,195,20,1,1,3,2,1,1,2,1,0,0,2,4,5,5,3,0,1,1,275
24,"PRIMARY SCHOOL KHURSHI",350,260,0,610,236,187,0,423,423,0,3,68,83,262,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,1,0,423
25,"PUNIYA RUMALI U.M.VIDAYALAY RANHEDRA R.N. 1",761,615,0,1376,484,367,0,851,851,0,7,35,129,649,2,1,1,0,1,3,0,3,1,2,0,1,0,0,3,13,0,851
26,"PUNIYA RUMALI U.M.VIDAYALAY RANHEDRA R.N. 2",780,656,0,1436,612,389,0,1001,1001,0,32,67,34,832,16,1,0,0,0,1,0,1,1,0,1,1,2,1,0,11,0,1001
27,"JUNIOR HIGH SCHOOL SAINVA R.N. 1",810,557,0,1367,444,269,0,713,713,0,47,14,2,633,3,1,0,0,0,0,0,1,3,0,1,2,1,1,0,4,0,713
28,"JUNIOR HIGH SCHOOL SAINVA R.N. 2",941,664,0,1605,538,345,0,883,883,0,28,24,173,604,9,2,0,0,0,1,0,2,2,2,0,4,5,2,4,19,2,883
29,"PRIMARY SCHOOL ASTAULI",569,427,0,996,368,274,0,642,642,0,74,82,80,379,7,0,1,0,1,2,0,1,0,1,3,1,1,1,0,7,1,642
30,"PRIMARY SCHOOL GHARHI BHEEMA R.N. 1",500,382,0,882,367,236,0,603,603,0,29,32,1,517,1,0,0,2,1,2,0,1,4,2,1,2,0,0,2,4,2,603
31,"PRIMARY SCHOOL GHARHI BHEEMA R.N. 2",497,413,0,910,351,289,0,640,640,0,2,7,286,323,2,1,0,1,0,1,0,1,1,2,0,2,0,0,4,7,0,640
32,"PRIMARY SCHOOL PEERPUR",368,293,0,661,240,167,0,407,407,0,22,54,18,303,3,2,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,407
33,"PRIMARY SCHOOL OWA",316,286,0,602,255,216,0,471,471,0,70,6,129,247,1,0,1,0,0,0,0,1,0,2,1,4,1,0,4,4,0,471
34,"PRIMARY SCHOOL BAJEEDPUR",79,77,0,156,63,63,0,126,126,0,1,1,5,115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,126
35,"PRIMARY SCHOOL DHEEMRI",788,656,0,1444,470,375,0,845,845,0,94,67,208,382,3,1,3,0,0,1,3,2,10,2,1,1,9,5,15,31,7,845
36,"PRIMARY SCHOOL BABUGARH",310,252,0,562,167,104,0,271,271,0,45,136,39,19,1,1,0,0,3,6,0,0,2,1,0,2,7,5,2,1,1,271
37,"PRIMARY SCHOOL RAIPUR R.N. 1",593,471,0,1064,400,328,0,728,728,0,5,261,205,225,7,2,0,1,0,3,2,5,1,1,1,1,4,1,1,2,0,728
38,"PRIMARY SCHOOL RAIPUR R.N. 2",309,251,0,560,265,220,0,485,485,0,0,340,21,101,1,0,0,1,1,0,1,0,1,0,0,0,0,10,3,2,3,485
39,"PRIMARY SCHOOL MANIGARHI",599,509,0,1108,435,295,0,730,730,0,13,494,66,128,1,0,2,0,1,10,0,0,0,0,2,2,6,2,2,1,0,730
40,"PRIMARY SCHOOL BHAGWAN GARHI",303,260,0,563,265,214,0,479,479,0,3,361,46,51,0,1,0,0,0,1,0,0,1,1,1,1,3,3,2,3,1,479
41,"RA.KRA.INTER COLLEGE TILKA GARHI R.N. 1",317,277,0,594,289,225,0,514,514,0,0,475,4,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514
42,"RA.KRA.INTER COLLEGE TILKA GARHI R.N. 2",399,326,0,725,366,271,0,637,637,0,1,617,3,10,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,637
43,"PRIMARY SCHOOL NANAKPUR",399,330,0,729,317,205,0,522,522,0,2,271,24,202,2,1,1,1,1,2,2,1,1,0,0,1,3,0,1,6,0,522
44,"PRIMARY SCHOOL KHAJPUR R.N. 1",636,563,1,1200,455,365,0,820,820,0,5,352,250,172,2,0,2,0,1,0,1,2,2,1,6,1,9,5,5,3,1,820
45,"PRIMARY SCHOOL KHAJPUR R.N. 2",396,344,0,740,294,246,0,540,540,0,1,375,3,144,1,0,0,0,0,1,0,0,1,0,0,0,6,5,1,1,1,540
46,"SHRI KRISHN VANSTHLI INTER COLLEGE MANAGHARHI R.N. 1",411,346,0,757,304,218,0,522,522,0,5,397,0,100,0,0,0,0,0,2,1,0,0,0,1,0,8,6,0,1,1,522
47,"SHRI KRISHN VANSTHLI INTER COLLEGE MANAGHARHI R.N. 2",783,638,0,1421,599,461,0,1060,1060,0,17,833,14,171,3,0,0,0,0,2,0,0,0,0,3,0,8,4,3,2,0,1060
48,"PRIMARY SCHOOL CHANDPUR KHURD",722,585,0,1307,458,377,0,835,835,0,12,628,29,145,2,0,0,0,1,1,0,0,0,0,2,1,5,5,3,1,0,835
49,"PRIMARY SCHOOL BIRJU GHARHI",409,350,0,759,289,269,0,558,558,0,7,363,11,139,1,2,0,0,1,5,0,1,0,1,4,0,14,2,2,4,1,558
50,"PRIMARY SCHOOL MARHALA",405,345,0,750,324,258,0,582,582,0,5,449,38,75,0,0,0,0,0,0,0,1,2,0,1,0,6,0,1,3,1,582
51,"PRIMARY SCHOOL SAKATPUR",504,410,0,914,315,245,0,560,560,0,6,22,62,444,10,0,0,1,0,0,0,2,3,2,1,0,0,0,1,5,1,560
52,"PRIMARY SCHOOL NAVIPUR",463,377,0,840,295,247,0,542,542,0,4,175,102,253,1,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,542
53,"PRIMARY SCHOOL KHANPUR",191,169,0,360,132,125,0,257,257,0,1,109,2,144,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,257
54,"ADARSH INTER COLLEGE MITTHAULI R.N.1",707,574,0,1281,503,379,0,882,882,0,5,576,95,152,4,1,1,1,2,8,1,0,2,0,0,2,18,5,3,4,2,882
55,"ADARSH INTER COLLEGE MITTHAULI R.N.2",404,291,0,695,325,233,0,558,558,0,5,462,34,38,1,0,1,0,0,5,1,0,0,1,0,0,4,5,0,1,0,558
56,"PRIMARY SCHOOL CHAUKRA",190,171,0,361,123,119,0,242,242,0,1,121,4,95,1,0,0,0,0,3,0,0,0,1,2,1,5,3,1,3,1,242
57,"PRIMARY SCHOOL KANEKA",241,220,0,461,197,158,0,355,355,0,3,270,0,75,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,1,0,355
58,"PRIMARY SCHOOL CHINDAULI",293,248,0,541,160,151,0,311,311,0,6,136,32,130,0,0,0,0,0,1,0,1,1,0,0,0,3,1,0,0,0,311
59,"PRIMARY SCHOOL BHARTIYAKA",467,398,0,865,322,283,0,605,605,0,32,393,28,129,1,0,0,0,0,0,0,0,1,0,2,0,7,5,1,5,1,605
60,"PRIMARY SCHOOL AWAKHERA",738,585,0,1323,442,339,0,781,781,0,55,402,35,257,6,0,0,1,0,3,0,1,2,0,2,0,7,3,1,5,1,781
61,"PRIMARY SCHOOL MADUAKA",455,397,0,852,291,228,0,519,519,0,9,280,44,164,2,1,0,0,1,4,0,0,1,1,3,0,3,3,2,1,0,519
62,"PRIMARY SCHOOL ABHAYPURA",75,64,0,139,59,51,0,110,110,0,0,56,0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110
63,"PRIMARY SCHOOL SINGOUNI",345,309,0,654,217,193,0,410,410,0,0,250,33,114,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,6,0,410
64,"PRIMARY SCHOOL NOORPUR",133,116,0,249,99,100,0,199,199,0,2,35,153,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199
65,"PRIMARY SCHOOL RAMGHARHI",211,179,0,390,149,116,0,265,265,0,1,193,13,54,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,265
66,"PORV U.M. VIDYALAYA MUSMUNA",718,582,1,1301,428,326,0,754,754,0,50,349,121,212,1,0,1,1,0,2,0,1,3,1,3,0,2,3,2,2,0,754
67,"PRIMARY SCHOOL BHAGAT BHAKRAILIYA",100,101,0,201,68,73,0,141,141,0,12,52,14,53,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,2,0,141
68,"PRIMARY SCHOOL BHAIRAI",842,706,0,1548,584,478,0,1062,1062,0,16,482,187,343,4,1,1,1,0,6,0,0,2,3,3,0,7,1,0,5,0,1062
69,"PRIMARY SCHOOL BAGHAI",558,450,0,1008,334,327,0,661,661,0,2,319,31,275,13,0,1,0,1,3,0,0,0,1,1,2,5,3,1,1,2,661
70,"PRIMARY SCHOOL KAULANA",711,629,0,1340,437,393,0,830,830,0,11,335,249,218,3,0,0,1,0,4,1,1,1,4,1,0,0,0,0,1,0,830
71,"PRIMARY SCHOOL JAFARPUR",281,225,0,506,247,179,0,426,426,0,2,235,146,38,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,426
72,"NAVEEN PRIMARY SCHOOL DILUPATTI MUDLIYA R.N. 1",567,483,0,1050,462,347,0,809,809,0,11,433,68,267,3,0,0,0,0,0,0,1,0,0,0,0,3,7,2,14,0,809
73,"NAVEEN PRIMARY SCHOOL DILUPATTI MUDLIYA R.N. 2",389,337,0,726,326,250,0,576,576,0,20,263,89,168,19,0,0,0,0,1,0,0,1,0,0,1,2,1,4,7,0,576
74,"PRIMARY SCHOOL BADHOUTH",646,557,0,1203,398,350,0,748,748,0,6,301,167,233,2,0,0,2,1,4,0,1,2,4,6,4,5,0,2,5,3,748
75,"PRIMARY SCHOOL KANKAR GHARHI",159,127,0,286,81,67,0,148,148,0,0,12,85,48,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,148
76,"PRIMARY SCHOOL AHAMADPUR",766,609,0,1375,421,397,0,818,608,0,92,48,88,560,4,0,0,1,0,0,1,1,2,2,1,2,1,3,4,7,1,818
77,"PRIMARY SCHOOL VIJAY GHARHI",411,328,0,739,260,196,0,456,456,0,1,181,8,250,0,0,1,0,0,2,0,0,1,0,0,0,6,1,1,3,1,456
78,"PRIMARY SCHOOL JATPURA",373,310,0,683,249,204,0,453,453,0,93,225,10,115,1,0,0,0,0,2,0,0,0,0,0,0,1,0,2,4,0,453
79,"PRIMARY SCHOOL KOLAHAR",624,516,0,1140,448,343,0,791,791,0,2,367,113,286,3,1,0,1,0,2,0,1,0,1,0,1,10,3,0,0,0,791
80,"PRIMARY SCHOOL UDIYAGHARHI",495,390,0,885,352,267,0,619,619,0,5,246,211,130,14,0,0,0,0,0,0,0,1,0,2,1,3,1,1,4,0,619
81,"PRIMARY SCHOOL SHANKARGHARHI",586,506,0,1092,377,346,0,723,723,0,0,322,112,268,1,0,0,2,0,0,0,3,0,2,2,1,2,3,1,2,2,723
82,"PRIMARY SCHOOL CHINTAGHARHI",161,135,0,296,116,97,0,213,213,0,2,78,12,118,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,213
83,"PRIMARY SCHOOL AAJNOUTH",468,404,0,872,378,284,0,662,402,0,2,378,110,157,4,0,0,0,0,1,0,0,1,3,2,2,0,0,0,2,0,662
84,"JANTA JANARDAN INTER COLLEGE ADALGHARHI",414,358,0,772,237,232,0,469,469,0,61,250,46,99,1,0,0,1,0,0,0,1,0,0,2,2,3,0,0,2,1,469
85,"PRIMARY SCHOOL DHHALGHARHI",261,227,0,488,141,126,0,267,267,0,1,117,13,130,0,1,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,267
86,"PRIMARY SCHOOL NAYAWAS",303,283,0,586,161,179,0,340,340,0,2,249,12,61,3,1,1,0,0,1,1,0,0,0,1,0,1,4,0,3,0,340
87,"BRIJ HITKARI INTER COLLEGE BAJNA R.N. 1",484,384,0,868,343,265,0,608,608,0,7,76,224,274,4,0,0,1,0,0,0,1,1,0,2,2,2,1,2,9,2,608
88,"BRIJ HITKARI INTER COLLEGE BAJNA R.N. 2",719,567,0,1286,436,339,0,775,775,0,12,234,26,466,6,0,0,3,0,2,1,3,2,1,2,1,4,1,1,9,1,775
89,"BRIJ HITKARI INTER COLLEGE BAJNA R.N. 3",636,531,0,1167,409,298,0,707,707,0,25,281,25,337,3,1,0,0,1,2,2,1,0,0,5,1,4,6,1,10,2,707
90,"BRIJ HITKARI INTER COLLEGE BAJNA R.N. 4",819,688,0,1507,616,417,0,1033,1033,0,33,198,25,747,4,0,0,0,0,1,0,0,6,0,1,0,5,0,1,11,1,1033
91,"BRIJ HITKARI INTER COLLEGE BAJNA R.N. 5",432,384,0,816,306,254,0,560,560,0,11,142,172,215,0,0,0,0,1,3,3,1,5,1,0,1,3,1,1,0,0,560
92,"J.H.SCHOOL PARSAULI R.N. 1",819,632,0,1451,579,442,0,1021,1021,0,22,675,151,98,1,0,0,1,0,3,0,1,1,1,3,5,28,9,9,12,1,1021
93,"J.H.SCHOOL PARSAULI R.N. 2",862,676,0,1538,634,450,0,1084,1084,0,8,804,10,235,2,0,0,0,0,5,0,0,1,0,1,0,8,0,0,9,1,1084
94,"PRIMARY SCHOOL BHOOTGHARHI",68,62,0,130,52,48,0,100,100,0,1,64,18,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100
95,"PRIMARY SCHOOL MAHARAMGHARHI",286,253,0,539,207,166,0,373,373,0,17,143,98,105,2,0,0,0,0,0,0,1,0,0,1,0,2,1,2,1,0,373
96,"PRIMARY SCHOOL JARAILIYA",566,493,0,1059,442,416,0,858,858,0,2,615,95,114,1,1,0,0,0,8,0,1,0,1,0,2,8,5,0,3,2,858
97,"JANTA INTER COLLEGE NAUHJEEL R.N. 1",580,478,0,1058,373,283,0,656,656,0,14,127,10,478,6,0,0,0,0,5,0,1,2,3,1,1,0,0,1,5,2,656
98,"JAWAHAR INTER COLLEGE NAUHJEEL R.N. 2",515,453,0,968,330,290,0,620,620,0,7,496,11,56,1,0,1,1,0,3,2,2,1,0,6,2,14,11,2,3,1,620
99,"JAWAHAR INTER COLLEGE NAUHJEEL R.N. 3",421,324,0,745,262,190,0,452,452,0,2,153,163,109,1,0,0,0,0,2,0,1,1,0,1,1,4,6,6,2,0,452
100,"JANTA INTER COLLEGE NAUHJEEL R.N. 5",564,489,2,1055,389,318,0,707,707,0,6,49,58,566,6,0,0,1,0,0,0,1,2,0,0,2,0,0,0,15,1,707
101,"JANTA INTER COLLEGE NAUHJEEL R.N. 4",226,193,0,419,183,145,0,328,328,0,0,7,2,312,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,2,0,328
102,"JANTA INTER COLLEGE NAUHJEEL R.N. 6",749,648,0,1397,554,424,0,978,978,0,1,32,7,902,6,1,0,0,1,2,0,2,4,1,0,2,2,0,0,13,2,978
103,"PRIMARY SCHOOL NAUHJHEEL R.N. 1",635,542,0,1177,448,352,0,800,800,0,4,51,13,709,2,0,0,1,0,2,0,1,3,1,1,2,3,1,0,5,1,800
104,"PRIMARY SCHOOL NAUHJHEEL R.N.2",395,328,1,724,221,183,0,404,404,0,2,96,110,177,1,0,0,0,1,0,0,1,1,1,2,0,4,1,0,5,2,404
105,"PRIMARY SCHOOL NAUHJHEEL R.N. 3",555,485,0,1040,326,269,0,595,595,0,4,276,24,256,3,0,0,0,0,2,1,0,1,1,2,0,13,7,1,4,0,595
106,"PRIMARY SCHOOL FIROJPUR",229,191,0,420,194,136,0,330,330,0,1,29,1,259,2,4,11,0,1,1,0,0,0,0,0,2,3,1,4,11,0,330
107,"PRIMARY SCHOOL MANGALKHOH",451,374,0,825,300,236,0,536,536,0,4,74,219,229,1,2,1,1,0,0,0,1,1,0,0,0,1,0,2,0,0,536
108,"PRIMARY SCHOOL DEDANA",277,260,0,537,205,170,0,375,375,0,3,69,49,237,4,1,0,0,1,1,0,2,4,0,0,1,0,0,0,3,0,375
109,"PRIMARY SCHOOL MARHALA MUKKHHA",247,195,1,443,206,137,0,343,343,0,1,160,56,102,4,0,0,0,0,1,2,0,2,0,2,2,1,0,3,4,3,343
110,"PRIMARY SCHOOL ENAYATGHARH",304,259,0,563,219,183,0,402,402,0,2,162,12,213,2,0,0,0,2,0,0,1,2,1,2,1,1,0,0,1,0,402
111,"PRIMARY SCHOOL MAKHDOOMPUR",270,232,0,502,204,142,0,346,346,0,2,133,45,146,2,0,2,1,1,1,0,0,0,0,0,1,2,5,3,1,1,346
112,"PRIMARY SCHOOL DAULATPUR",608,512,2,1122,446,354,0,800,800,0,8,261,153,286,1,2,55,3,1,5,1,3,3,4,2,2,1,1,2,6,0,800
113,"PRIMARY SCHOOL BASAU",115,94,0,209,105,80,0,185,102,0,2,118,11,43,1,0,3,1,0,2,0,0,0,0,2,0,1,1,0,0,0,185
114,"PRIMARY SCHOOL CHHINPARAI",666,563,0,1229,544,395,0,939,939,0,4,471,139,290,1,0,5,1,0,3,0,1,3,2,2,1,7,2,0,7,0,939
115,"PRIMARY SCHOOL ADDA MLLAH CHINPARI",120,112,0,232,110,97,0,207,207,0,3,11,1,78,2,1,105,0,0,3,0,0,0,0,0,0,0,0,1,2,0,207
116,"PRIMARY SCHOOL BAGHHARRA",199,178,0,377,128,117,0,245,245,0,1,103,0,136,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,245
117,"PRIMARY SCHOOL ADDA MLLAH BAGHHARRA",478,409,0,887,317,215,0,532,532,0,4,110,127,217,3,0,2,0,0,0,0,4,2,1,3,3,9,9,5,28,5,532
118,"PRIMARY SCHOOL NAUSHERPUR",480,406,1,887,427,370,0,797,797,0,6,722,9,47,2,0,0,0,0,1,0,0,1,0,1,2,5,0,0,1,0,797
119,"PRIMARY SCHOOL ANDHRE KI GHARHI",159,142,0,301,149,111,0,260,260,0,0,194,2,56,3,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,260
120,"PRIMARY SCHOOL MUBARIKPUR",463,392,0,855,292,253,0,545,545,0,7,8,183,325,15,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,1,545
121,"J.H.S. BARAUTH R.N. 1",775,623,0,1398,523,357,0,880,880,0,10,572,68,204,1,0,1,0,0,3,1,2,1,0,3,2,2,3,1,6,0,880
122,"J.H.S. BARAUTH R.N. 2",656,532,0,1188,525,396,0,921,921,0,2,662,96,142,0,0,0,0,0,0,0,1,0,2,1,0,6,4,1,4,0,921
123,"J.H.S. BARAUTH R.N. 3",191,180,0,371,142,84,0,226,226,0,0,59,105,55,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,2,0,226
124,"PRIMARY SCHOOL BHOORGHARHI",276,210,1,487,198,156,0,354,354,0,2,213,46,76,0,0,0,1,0,0,0,2,1,2,0,0,9,1,1,0,0,354
125,"J.H.S. SUHAGPUR",872,672,0,1544,638,393,0,1031,1031,0,13,795,56,143,3,0,0,0,0,2,0,0,1,1,2,1,10,2,0,2,0,1031
126,"NAVEEN P.S.SADDEKPUR",552,478,0,1030,397,342,0,739,739,0,0,421,8,262,34,0,0,0,0,2,0,1,1,1,0,0,2,2,0,3,2,739
127,"PRIMARY SCHOOL LALPUR MANT",436,386,0,822,266,249,0,515,515,0,12,319,72,93,11,0,0,0,0,1,0,0,0,0,0,0,2,0,2,2,1,515
128,"SHANTI NIKETAN U.M.VIDHYALAY SHALL R.N. 1",556,482,0,1038,501,371,0,872,872,0,9,724,11,119,3,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,872
129,"SHANTI NIKETAN U.M.VIDHYALAY SHALL R.N. 2",384,319,0,703,363,274,0,637,637,0,1,477,88,69,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,637
130,"PRIMARY SCHOOL BALIPUR",181,149,0,330,143,106,0,249,249,0,0,4,3,236,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,249
131,"PRIMARY SCHOOL PACHAHARA R.N. 1",546,459,0,1005,360,295,0,655,655,0,12,146,168,312,2,1,0,0,0,1,0,1,1,1,0,1,3,2,0,4,0,655
132,"PRIMARY SCHOOL PACHAHARA R.N. 2",553,459,0,1012,465,292,0,757,757,0,59,23,74,571,7,0,1,0,0,2,1,0,2,0,0,2,3,1,0,9,2,757
133,"J.H.S. NAWALI R.N. 1",524,421,0,945,409,283,0,692,692,0,3,479,22,163,0,0,0,1,0,1,0,0,2,0,3,0,14,1,0,3,0,692
134,"J.H.S. NAWALI R.N. 2",432,354,0,786,311,233,0,544,340,0,6,373,18,106,0,0,1,1,0,3,0,0,0,0,1,1,13,9,2,10,0,544
135,"J.H.S. NAWALI R.N. 3",393,317,0,710,241,189,0,430,430,0,3,222,127,66,0,0,0,0,0,0,0,1,1,0,3,1,2,1,1,2,0,430
136,"PRIMARY SCHOOL GHARHI SAMANTA",573,519,0,1092,508,394,0,902,902,0,9,675,189,10,0,0,0,0,0,1,0,0,0,0,0,0,10,3,4,1,0,902
137,"NEHRU INTER COLLEGE CHANDPUR KALAN",611,523,0,1134,450,397,0,847,847,0,2,525,102,187,3,0,2,0,1,2,1,3,1,1,0,0,5,2,1,8,1,847
138,"PRIMARY SCHOOL RAMNAGLA",595,478,0,1073,392,327,0,719,719,0,23,317,48,316,1,1,0,0,0,2,0,1,0,0,1,0,2,0,2,4,1,719
139,"PRIMARY SCHOOL SHADGHARHI",358,295,0,653,311,246,0,557,557,0,2,378,108,45,1,0,0,1,0,3,0,1,1,1,3,1,7,3,0,1,1,557
140,"PRIMARY SCHOOL PALKHERA",852,728,1,1581,737,417,0,1154,1154,0,7,1023,25,73,0,0,0,0,0,2,0,0,0,1,0,0,6,9,0,7,1,1154
141,"PRIMARY SCHOOL PITHAURA",257,215,0,472,187,146,0,333,333,0,4,39,35,233,0,0,2,0,0,1,1,1,1,1,1,1,2,3,0,7,1,333
142,"PRIMARY SCHOOL GHARHI RAYKARAN",213,203,0,416,157,137,0,294,294,0,38,107,51,71,1,1,19,0,0,0,0,1,0,0,0,0,3,0,0,2,0,294
