"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DIMPLE YADAV","2 - NIRMAL TIWARI","3 - SUBRAT PATHAK","4 - IMRAN BIN ZAFAR","5 - GANGA CHARAN","6 - PUSHPA DEVI","7 - SUBODH KUMAR","8 - SURENDRA NATH","9 - PRADEEP KUMAR","10 - MUHAR SINGH AMVADI","11 - RAKESH KUMAR TIWARI ADVOCATE","12 - SANJAY SHAKYA","13 - None of the Above","Total Votes Secured"
29,"NEW BAVAN EAST PART BARKAGAON KANNAUJ",479,401,0,880,313,242,0,555,55,0,278,75,199,1,0,0,0,0,0,0,2,0,0,555
30,"GIRL P P AMRAULI",284,228,0,512,195,198,0,393,1,0,177,107,89,1,1,0,0,1,0,0,8,2,7,393
31,"P P GOSAIDASPUR",478,405,0,883,284,237,0,521,298,0,223,34,252,0,0,1,1,1,0,0,1,1,7,521
32,"P P EAST PART LALPUR RAJUPUR",752,587,0,1339,425,314,0,739,739,0,218,154,342,2,1,1,0,0,2,2,6,4,7,739
33,"B P P G SARAI MAROOF",329,256,0,585,209,173,0,382,173,0,68,116,190,2,0,0,0,0,0,0,3,2,1,382
34,"P P EAST PART GUNHA",191,168,0,359,119,115,0,234,26,0,25,1,205,0,0,0,0,0,0,1,2,0,0,234
35,"P P MACHHA",401,324,0,725,314,263,0,577,215,0,370,16,170,2,1,0,0,2,0,4,3,4,5,577
36,"P P WEST PART GUNHA",247,205,0,452,166,156,0,322,288,0,73,152,93,0,0,0,0,0,0,0,1,0,3,322
37,"P SEC. P KACHHIAPUR",364,338,0,702,309,263,0,572,315,0,90,124,344,2,0,0,0,0,1,1,5,0,5,572
38,"ISLAMIYA P P NORTH PART KUSUMKHOR BANGAR",567,435,0,1002,320,265,0,585,123,0,387,116,51,11,0,1,11,0,0,0,3,2,3,585
39,"ISLAMIYA P P NORTH PART KUSUMKHOR BANGAR",391,279,0,670,233,171,0,404,13,0,286,52,41,2,2,0,16,0,0,1,0,1,3,404
40,"ISLAMIYA P P WESTPART KUSUMKHOR BANGAR",522,420,0,942,254,236,0,490,307,0,325,93,34,23,0,1,7,0,0,1,2,1,3,490
41,"ISLAMIYA P P NORTH PART KUSUMKHOR BANGAR",422,339,0,761,188,201,0,389,250,0,282,56,5,35,1,0,3,1,0,0,1,1,4,389
42,"P P TAJ MAHMOODPUR",334,295,0,629,224,158,0,382,127,0,56,69,246,1,0,0,1,1,1,0,4,1,2,382
43,"J. H. S. KUSUMKHOR BANGAR",737,534,0,1271,447,337,0,784,45,0,364,156,195,40,1,1,13,0,0,2,3,1,8,784
44,"J. H. S. EAST PART MAUJAMPUR",372,316,0,688,219,151,0,370,149,0,55,32,275,3,0,0,0,0,0,0,2,0,3,370
45,"J. H. S. MAUJAMPUR KUSUMKHOR",703,581,0,1284,485,357,0,842,252,0,357,194,260,8,2,1,0,0,0,2,4,3,11,842
46,"P P EAST PART IBRAHIMPUR BANGAR",828,742,0,1570,645,541,0,1186,7,0,1061,71,35,2,1,0,0,0,1,0,4,2,9,1186
47,"P P KAREEMPUR",437,315,0,752,355,217,0,572,1,0,558,3,7,1,0,0,0,1,1,0,0,1,0,572
48,"P P AKBERPUR MAJRE",375,305,0,680,318,214,0,532,5,0,423,91,10,0,1,0,1,0,0,0,2,2,2,532
49,"P P EAST PART SENGARMAU BANGAR",650,498,0,1148,503,380,0,883,55,0,539,42,286,3,1,0,1,1,0,2,3,1,4,883
50,"P P NORTH PART FATEHPUR",451,391,0,842,297,207,0,504,172,0,295,14,183,1,0,0,0,0,0,0,2,6,3,504
51,"P P NORTH SOUTH FATEHPUR",390,372,0,762,205,216,0,421,280,0,202,22,186,0,2,0,0,0,0,1,4,2,2,421
52,"P P FATEHPUR",757,667,0,1424,482,425,0,907,800,0,437,2,457,2,0,0,2,0,0,1,4,0,2,907
53,"P P MIDDLE PART FATEHPUR",485,427,0,912,249,206,0,455,325,0,96,283,66,1,0,0,0,1,0,0,2,2,4,455
54,"P P SAGRA",414,370,0,784,274,218,0,492,56,0,17,434,35,0,0,0,0,0,0,0,2,1,3,492
55,J.H.S.FATEHPUR,348,294,0,642,215,152,0,367,38,0,311,3,51,1,0,0,0,0,0,0,0,0,1,367
56,"P P HAJRATPUR",465,381,0,846,373,306,0,679,15,0,292,5,373,2,0,0,0,0,1,0,3,0,3,679
57,"P P EAST PART SATWARI",485,436,0,921,357,266,0,623,493,0,264,46,295,1,2,0,1,1,0,3,4,2,4,623
58,"P P KULAPUR",486,404,0,890,307,283,0,590,546,0,295,90,186,1,0,0,0,6,0,0,7,2,3,590
59,"P P NORTH PART TERARAGI",585,531,0,1116,423,380,0,803,561,0,249,167,366,3,0,0,0,1,3,1,5,3,5,803
60,"P P SOUTH PART TERARAGI",545,414,0,959,414,290,0,704,56,0,441,215,36,0,0,0,0,1,1,0,2,3,5,704
61,"P P EAST PART BAISAWARI",743,602,0,1345,553,431,0,984,91,0,572,78,318,4,0,0,0,0,0,2,1,2,7,984
62,"P P JASAURA",690,585,0,1275,502,403,0,905,8,0,376,246,267,2,1,0,1,0,0,2,4,2,4,905
63,"P P NEKPUR KHATRI R. NO.-1",562,484,0,1046,382,301,0,683,549,0,231,127,307,0,0,0,0,2,1,2,6,0,7,683
64,"P P NEKPUR KHATRI R. NO.-2",348,297,0,645,227,183,0,410,9,0,76,29,297,0,0,0,0,0,0,0,3,0,5,410
65,"J H S MIDDLE JALALABAD",715,633,0,1348,391,357,0,748,55,0,288,33,405,3,0,0,0,1,1,3,6,1,7,748
66,"J H S MIDDLE JALALABAD",693,599,0,1292,402,357,0,759,688,0,222,9,511,3,0,0,0,1,1,2,5,0,5,759
67,"J H S MIDDLE JALALABAD",515,423,0,938,287,225,0,512,17,0,350,3,149,0,1,0,2,0,0,0,2,2,3,512
68,"B D OFFICE JALALABAD",402,337,0,739,242,201,0,443,116,0,82,78,270,0,1,0,1,1,0,2,3,1,4,443
69,"P P MIDDLE NEKPUR KAYASTH",293,228,0,521,164,173,0,337,21,0,179,45,105,0,0,0,0,0,0,0,2,1,5,337
70,"P P NEKPUR KAYASTH",438,369,0,807,280,219,0,499,30,0,108,38,337,5,0,0,0,0,2,0,4,1,4,499
71,"P P SIYARMAU",709,607,0,1316,437,366,0,803,2,0,295,17,478,5,1,0,0,0,2,1,2,0,2,803
72,"P P EAST PART TILPAI DIGASRA",516,439,0,955,381,277,0,658,276,0,466,56,128,2,0,0,0,0,0,1,2,0,3,658
73,"P P WEST PART TILPAI DIGASRA",407,374,0,781,300,264,0,564,36,0,201,64,292,1,1,1,0,0,0,0,1,0,3,564
74,"P P EXTRA ROOM TILPAI DIGASRA",551,406,0,957,352,282,0,634,13,0,196,198,222,2,1,0,0,0,0,3,5,3,4,634
75,"P P MUSARI",410,360,0,770,335,257,0,592,573,0,130,112,340,1,0,0,1,1,0,1,4,0,2,592
76,"P P GADIYA KACHHPURA",826,711,0,1537,507,433,0,940,301,0,261,35,609,8,1,1,0,0,1,2,10,5,7,940
77,"P P EAST PART MIRGAWAN",459,374,0,833,272,240,0,512,257,0,117,21,354,6,0,0,0,1,0,2,1,1,9,512
78,"P P NORTH PART MIRGAWAN",469,457,0,926,239,265,0,504,301,0,423,53,21,0,0,0,0,0,0,1,0,2,4,504
79,"P P MIDDLE PART MIRGAWAN",817,716,0,1533,502,410,0,912,222,0,540,60,289,4,2,1,5,1,1,1,3,1,4,912
80,"P P WEST PART MIRGAWAN",613,522,0,1135,369,323,0,692,130,0,281,62,321,9,0,0,2,0,0,0,6,1,10,692
81,"P P SAFIPUR JAPTI",438,393,0,831,360,271,0,631,11,0,451,45,129,0,1,0,0,1,0,0,3,1,0,631
82,"J H S NORTH PART ANAUGI",762,624,0,1386,390,331,0,721,538,0,346,45,309,2,1,0,0,1,1,3,6,2,5,721
83,"J H S MIDDLE PART ANAUGI",668,565,0,1233,400,300,0,700,694,0,440,61,179,4,1,0,0,0,1,2,4,0,8,700
84,"P. P. BAHALEYANPUWA MAJARA ANAUGI",654,501,0,1155,433,371,0,804,119,0,418,169,194,3,0,1,0,1,0,3,2,5,8,804
85,"P P EAST PART PACHAYPURWA ANAUGI",532,408,0,940,211,214,0,425,171,0,255,11,140,5,0,0,0,0,1,1,3,2,7,425
86,"P P WEST PART PACHAYPURWA ANAUGI",537,420,0,957,295,228,0,523,101,0,233,110,164,0,1,1,1,2,1,0,6,1,3,523
87,"P P NORTH PART MATAULI",458,404,0,862,320,284,0,604,604,0,357,34,193,5,0,0,2,0,1,2,2,0,8,604
88,"P P SOUTH PART MATAULI",408,327,0,735,260,213,0,473,457,0,270,16,170,1,0,0,0,1,2,0,2,1,10,473
89,"P. P. JALALPUR",274,206,0,480,205,152,0,357,56,0,76,0,275,0,1,0,0,0,1,0,2,0,2,357
90,"P P BANPURA NARAYANPUR",623,538,0,1161,355,321,0,676,425,0,337,55,263,2,1,0,0,0,1,3,6,3,5,676
91,"P P RUDAULI",756,614,0,1370,534,446,0,980,840,0,595,108,262,6,0,1,0,1,1,0,3,1,2,980
92,"P P BHWAN ALINAGER",722,616,0,1338,495,401,0,896,580,0,290,115,455,6,3,0,1,0,0,6,9,3,8,896
93,"P P GAURIYAPUR",552,485,0,1037,390,344,0,734,1,0,315,101,304,0,0,0,2,5,0,1,3,1,2,734
94,"P P NADSIYA SOUTH PART",452,367,0,819,337,259,0,596,563,0,237,16,337,1,0,0,0,0,0,0,3,1,1,596
95,"P P NADSIYA NORTH PART",597,539,0,1136,441,354,0,795,701,0,482,12,288,2,0,0,1,0,2,0,1,1,6,795
96,"P P MAWAI RIHAYAK EAST PART",604,476,0,1080,356,276,0,632,631,0,194,93,335,0,1,0,0,1,1,0,5,0,2,632
97,"PANCHAYAT GHAR MAWAI RIHAYAK",244,211,0,455,170,136,0,306,306,0,148,2,147,2,0,0,0,1,0,2,2,0,2,306
98,"P P PATTI TIRWA EXTRA ROOM",238,204,0,442,171,159,0,330,283,0,26,142,155,2,0,0,0,0,0,2,1,0,2,330
99,"P P TAHSIPUR THATHIYA",262,215,0,477,188,151,0,339,129,0,85,123,114,2,0,0,0,0,0,1,4,5,5,339
100,"P P ATARA NORTH PART",357,307,0,664,243,213,0,456,257,0,247,40,158,0,1,0,0,0,0,1,5,1,3,456
101,"P P INAYATPUR",621,498,0,1119,492,390,0,882,100,0,745,42,77,5,1,1,0,0,1,0,4,2,4,882
102,"P P ATARANISF TIRWA SOUTH PART",616,531,0,1147,388,316,0,704,695,0,441,141,92,3,0,1,0,0,1,4,3,6,12,704
103,"P P ATARANIST TIRWA SOUTH PART",346,267,0,613,215,168,0,383,250,0,147,87,133,5,1,1,0,1,0,0,6,1,1,383
104,"P P JEUWAA NORTH PART",710,618,0,1328,465,350,0,815,58,0,269,152,355,4,0,0,0,0,1,2,15,3,14,815
105,"P P JEUWAA MIDDLE PART",439,424,0,863,310,259,0,569,57,0,306,54,195,0,0,0,0,0,0,3,7,1,3,569
106,"P P BASHIRAPUR BHANT",427,368,0,795,319,298,0,617,405,0,159,315,133,1,1,0,0,0,0,1,5,0,2,617
107,"PRE SEC.SCHOOL KATRA BASHIRAPUR BHANT",328,271,0,599,265,217,0,482,36,0,408,1,67,1,0,0,0,0,0,0,0,0,5,482
108,"P P BACHHRAJAPUR",439,361,0,800,278,230,0,508,18,0,350,118,28,1,0,0,0,2,0,1,4,0,4,508
109,"J. H. S. BACHHRAJAPUR",549,462,0,1011,283,310,0,593,57,0,347,57,173,1,1,0,0,0,0,1,2,2,9,593
110,"P P WEST PART FARIKAPUR",538,474,0,1012,435,305,0,740,618,0,610,93,23,2,0,0,0,0,0,0,5,2,5,740
111,"P P EAST PART FARIKAPUR",485,458,0,943,366,384,0,750,6,0,550,47,143,2,0,0,0,0,0,0,0,2,6,750
112,"P P RAIGAWAN",835,645,0,1480,466,430,0,896,15,0,376,256,234,2,3,0,0,0,1,4,11,1,8,896
113,"P P BISANDHUA",513,455,0,968,343,319,0,662,493,0,333,56,256,1,0,0,0,0,2,0,7,1,6,662
114,"PANCHAYAT GHAR EAST PART PARASPUR",745,641,0,1386,479,410,0,889,106,0,284,148,433,4,0,0,1,1,0,3,5,2,8,889
115,"P P GADANPUR THATHIYA",324,272,0,596,208,198,0,406,301,0,171,40,188,1,0,0,0,0,0,0,3,1,2,406
116,"P P KAKLAPUR",495,396,0,891,262,256,0,518,325,0,75,354,67,1,1,1,0,0,1,1,7,5,5,518
117,"P P MEERPUR",483,386,0,869,259,252,0,511,65,0,83,2,417,5,0,0,0,1,0,1,0,0,2,511
118,"NEW BAVAN J. H. S. JASPURA SARIYA",468,381,0,849,276,205,0,481,17,0,181,27,270,1,0,0,0,0,1,1,0,0,0,481
119,"NEW BAVAN J. H. S. JASPURA SARIYA",568,415,0,983,367,259,0,626,16,0,227,50,330,2,0,0,0,1,0,1,1,1,13,626
120,"P P MURAIYA BUZURG",696,596,0,1292,405,378,0,783,100,0,308,81,373,3,0,0,0,0,0,1,6,4,7,783
121,"P P MURAIYA BUZURG",528,422,0,950,316,276,0,592,93,0,182,104,295,2,0,0,0,0,0,1,3,3,2,592
122,"P P BAHDURAPUR",358,324,0,682,257,247,0,504,78,0,306,38,155,1,0,0,0,0,1,1,1,0,1,504
123,"P P GOORA",423,385,0,808,363,274,0,637,4,0,108,84,433,1,1,0,0,0,0,1,7,1,1,637
124,"P P NORTH PART SAHILLAPUR",497,401,0,898,334,299,0,633,85,0,48,321,246,3,0,0,1,0,0,1,12,1,0,633
125,"P P KHAJUHA SOUTH PART",336,282,0,618,256,218,0,474,4,0,236,21,200,6,1,0,0,0,0,1,3,0,6,474
126,"P P DEVDHRAPUR",404,338,0,742,302,261,0,563,65,0,46,270,238,1,0,0,0,0,0,1,2,2,3,563
127,"GIRL P P GANGEMAU EAST PART",768,658,0,1426,451,364,0,815,648,0,177,128,492,0,0,0,1,0,0,3,5,2,7,815
128,"GIRL P P GANGEMAU WEST PART",778,645,1,1424,438,321,0,759,225,0,338,119,289,1,2,0,0,0,0,4,3,0,3,759
129,"GIRL J.H.SCHOOL GANGEMAU",678,523,0,1201,441,296,0,737,630,0,201,380,135,2,0,0,0,0,2,2,4,4,7,737
130,"P P TIKRA",216,169,0,385,132,120,0,252,12,0,49,62,138,0,0,0,1,0,0,1,1,0,0,252
131,"P P MAHMOODPUR PAINTH R. NO.- 1",613,478,0,1091,399,308,0,707,25,0,208,102,374,3,0,0,0,1,1,3,9,2,4,707
132,"P P MAHMOODPUR PAINTH R. NO.- 2",308,248,0,556,196,142,0,338,141,0,58,74,198,0,0,0,1,1,0,1,1,2,2,338
133,"P P WEST PART RAMPUR MAJRE GANGDHARAPUR",522,404,0,926,384,318,0,702,70,0,194,11,485,2,0,0,0,0,0,1,6,0,3,702
134,"P P WAHPUR",323,280,0,603,215,204,0,419,56,0,55,154,206,1,0,0,0,0,0,0,3,0,0,419
135,"P P JALALPUR PANCHAMA",541,503,0,1044,371,351,0,722,102,0,154,51,494,8,0,0,1,1,2,0,4,2,5,722
136,"PRE SEC.SCHOOL JALALPUR PANWARA",551,423,0,974,360,324,0,684,673,0,137,23,513,5,0,0,0,0,0,2,3,0,1,684
137,"J.H.SCHOOL GHAMAICHMAU EAST PART",620,466,0,1086,423,391,0,814,810,0,767,16,20,3,1,0,0,0,1,0,0,0,6,814
138,"J.H.SCHOOL GHAMAICHMAU WEST PART",475,387,0,862,339,284,0,623,26,0,495,40,76,1,0,0,2,0,1,1,2,1,4,623
139,"P P EXTR ROOM FIROZPUR TARAN",686,585,0,1271,421,383,0,804,17,0,144,113,521,4,0,1,0,0,0,0,10,4,7,804
140,"P P SAROTOP EAST PART",566,468,0,1034,449,328,0,777,225,0,652,11,100,2,1,0,0,1,0,1,2,2,5,777
141,"P P SAROTOP WEST PART",649,497,0,1146,509,376,0,885,12,0,758,25,86,3,0,0,0,0,0,0,3,5,5,885
142,"P P BHAWANIPUR PRATAP",717,607,0,1324,468,415,0,883,65,0,194,108,552,3,2,1,1,1,0,4,6,1,10,883
143,"P P WEST PART GOBARDHANI DEVI",470,367,0,837,331,222,0,553,10,0,38,226,266,2,0,1,1,0,0,1,8,7,3,553
144,"P P BHAU KHURD",268,209,0,477,178,158,0,336,7,0,72,194,53,1,0,0,1,0,0,2,6,4,3,336
145,"P P EAST PART BARAULI",275,216,0,491,222,170,0,392,36,0,59,109,216,1,0,0,0,0,0,1,4,0,2,392
146,"PRE SEC. SCHOOL BANDHWA",335,257,0,592,237,194,0,431,327,0,169,92,152,2,0,0,0,0,2,0,2,1,11,431
147,"P P WEST PART BARAULI",482,351,0,833,336,232,0,568,17,0,288,61,205,2,2,2,1,0,0,2,4,0,1,568
148,"P P LOHAMARH",594,524,0,1118,423,356,0,779,729,0,175,61,524,7,3,2,1,1,0,2,1,2,0,779
149,"P P MAHMOODAPUR",366,329,0,695,233,214,0,447,36,0,167,81,187,0,0,1,0,2,0,2,3,1,3,447
150,"P P SHAHNAPUR KARTAULI",300,224,0,524,271,213,0,484,8,0,433,2,44,2,0,0,0,2,0,1,0,0,0,484
151,"P P BEHRIN NORTH PART",612,529,0,1141,463,316,0,779,434,0,462,9,289,0,0,0,1,0,2,1,3,4,8,779
152,"P P BEHRIN SOUTH PART",553,458,0,1011,415,336,0,751,676,0,216,101,416,4,1,1,0,0,0,3,2,1,6,751
153,"P P RAJAIMAU RAJA",746,652,0,1398,539,450,0,989,65,0,315,24,616,9,0,0,0,2,2,5,9,1,6,989
154,"P P PHAGUHA EAST PART",473,413,0,886,302,256,0,558,300,0,238,20,283,2,0,2,0,0,0,3,4,0,6,558
155,"P P PHAGUHA WEST PART",547,454,0,1001,403,279,0,682,5,0,267,8,386,4,0,1,0,1,0,0,5,2,8,682
156,"P P PACHORE NORTH PART",564,454,0,1018,323,294,0,617,431,0,240,4,350,4,1,0,1,0,0,1,3,3,10,617
157,"P P PACHORE SOUTH PART",445,389,0,834,313,259,0,572,98,0,123,91,343,2,0,1,0,2,0,1,3,1,5,572
158,"P P SEEHPUR NORTH PART",598,501,0,1099,364,333,0,697,113,0,206,106,367,2,0,0,0,1,0,3,5,1,6,697
159,"P P SEEHPUR SOUTH PART",715,603,0,1318,480,406,0,886,52,0,370,45,447,6,1,0,0,0,0,2,5,1,9,886
160,"P P SAUSARI NORTH PART",573,505,0,1078,396,342,0,738,464,0,106,83,523,5,0,0,2,1,2,4,2,1,9,738
161,"P P BARKAGAON RAJA",291,217,0,508,176,136,0,312,14,0,45,155,102,0,1,0,0,0,0,2,7,0,0,312
162,"P P WAHIDPUR",243,184,0,427,201,130,0,331,216,0,47,9,265,2,0,0,0,0,0,1,4,1,2,331
163,"P P EAST PART SATAURA",808,611,0,1419,530,427,0,957,170,0,885,6,57,0,0,0,0,0,0,1,1,1,6,957
164,"P P EXTRA ROOM SATAURA",423,356,0,779,295,241,0,536,461,0,188,1,334,1,0,0,0,0,0,1,4,1,6,536
165,"P P WEST PART SATAURA",605,510,0,1115,405,361,0,766,13,0,293,39,420,0,0,0,0,0,1,2,6,0,5,766
166,"P P SUJAN SARAI",245,215,0,460,154,167,0,321,3,0,167,6,134,0,1,0,0,0,0,3,3,0,7,321
167,"P P NORTH PART GOWA",699,527,0,1226,484,337,0,821,621,0,304,96,390,10,1,0,1,1,1,1,6,1,9,821
168,"P P GADANAPUR",280,244,0,524,183,177,0,360,200,0,98,0,252,0,0,0,0,1,0,0,3,0,6,360
169,"P P SAHIYAPUR",227,187,0,414,152,149,0,301,280,0,170,3,120,0,1,0,1,0,1,0,1,1,3,301
170,"P P VAISAPUR PATTI",824,670,0,1494,614,486,0,1100,45,0,222,191,642,5,1,0,0,1,0,3,17,5,13,1100
171,"P P BHIDASIN",530,454,0,984,399,317,0,716,710,0,212,132,354,1,0,0,0,2,0,2,9,2,2,716
172,"PRE.SEC.SCHOOL NAJRAPUR R.NO.-1",591,507,0,1098,353,295,0,648,618,0,194,121,316,1,0,0,1,0,1,0,5,4,5,648
173,"PRE.SEC.SCHOOL NAJRAPUR R.NO.-2",311,285,0,596,203,176,0,379,131,0,239,48,86,0,0,0,2,0,2,0,1,0,1,379
174,"P P BHUGAITAPUR",672,573,0,1245,487,389,0,876,82,0,166,79,600,8,0,0,1,2,2,3,10,1,4,876
175,"P P KHURDAIYA",351,284,0,635,252,192,0,444,22,0,193,15,222,2,0,0,1,0,0,2,6,1,2,444
176,"P P BILANDAPUR NALAHAR",175,124,0,299,155,100,0,255,14,0,240,0,13,1,0,0,0,0,0,0,0,0,1,255
177,"PRE.SEC. SCHOOL MAHCHANDAPUR",455,355,0,810,377,290,0,667,32,0,59,123,473,1,0,0,0,0,0,1,4,1,5,667
178,"P P HAIBATPUR KATRA",448,373,0,821,301,235,0,536,297,0,115,112,296,3,1,0,0,0,0,1,5,1,2,536
179,"P P HAIBATPUR KATRA",540,435,0,975,356,281,0,637,219,0,223,12,374,2,1,0,1,0,1,1,7,3,12,637
180,"P P ASKARAN PURWA",725,547,0,1272,490,300,0,790,720,0,397,65,310,2,0,0,0,1,1,2,4,3,5,790
181,"P P ASKARAN PURWA",790,627,0,1417,546,394,0,940,43,0,286,375,256,4,1,0,1,0,0,2,8,4,3,940
182,"P P GANGDHRAPUR",651,496,0,1147,423,311,0,734,441,0,260,27,423,4,0,4,0,0,2,1,7,1,5,734
183,"P P PAINDABAD",667,531,0,1198,530,384,0,914,56,0,87,118,685,5,2,0,2,0,0,1,7,2,5,914
184,"P P KHIJARPUR BAGH",434,341,0,775,337,239,0,576,500,0,314,101,145,3,3,0,1,0,0,0,1,3,5,576
185,"P P NORTH PART TAHSIPUR KANNAUJ",586,497,0,1083,459,350,0,809,28,0,148,78,544,6,1,2,0,1,2,6,12,1,8,809
186,"P P SOUTH PART TAHSIPUR KANNAUJ",245,213,0,458,216,165,0,381,10,0,217,4,154,1,0,0,0,1,0,1,1,0,2,381
187,"P P RATANPUR",234,215,0,449,177,152,0,329,6,0,124,32,162,0,0,0,1,0,0,1,3,5,1,329
188,"P P DAHLEPUR BANGAR R.N.1",472,386,0,858,342,233,0,575,125,0,199,8,343,4,0,0,1,0,1,3,7,3,6,575
189,"P P DAHLEPUR BANGAR R.N.2",689,562,0,1251,446,349,0,795,35,0,218,48,489,9,1,0,0,1,2,1,11,3,12,795
190,"P P MISRIPUR",625,500,0,1125,463,349,0,812,343,0,248,9,500,8,1,1,1,1,3,3,7,4,26,812
191,"P P SADIYAPUR BANGAR",652,533,0,1185,475,382,0,857,700,0,275,21,533,4,1,0,1,0,1,2,10,2,7,857
192,"P P KATRI AMINABAD",456,350,0,806,375,237,0,612,39,0,108,6,467,6,2,0,0,0,2,5,6,0,10,612
193,"P P KATRI FIROZPUR WEST PART",372,260,0,632,334,211,0,545,2,0,42,6,471,5,4,0,0,0,0,3,5,1,8,545
194,"PRE.SEC.SCHOOL JALALPUR AMRA",422,325,0,747,325,225,0,550,110,0,58,110,359,3,6,0,2,1,0,3,4,0,4,550
195,"GOMTI D.G.I.COLLAGE MARAKAND NAGAR KANNAUJ",817,714,0,1531,512,385,0,897,763,0,291,17,569,5,1,1,2,0,1,2,3,0,5,897
