"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AFZAL SIDDIQUI","2 - USHA MAURYA","3 - NIRANJAN JYOTI","4 - RAKESH SACHAN","5 - ASHOK MISHRA","6 - ZAINUL ABDIN","7 - MOHAMMAD JAVED","8 - RAMKRISHNA TRIPATHI","9 - RAMLOCHAN SEN","10 - RUKMINI DEVI NISHAD","11 - ARVIND KUMAR","12 - CHANDRABHAN SINGH","13 - RANJANA KAKKAR","14 - SRIDEVI","15 - None of the Above","Total Votes Secured"
96,"P.DAYASHANKAR SHU.I.C. BHAISAULI ROOM - 2",427,334,0,761,178,186,0,364,363,0,167,1,119,70,0,0,0,1,0,0,0,1,2,0,3,364
97,"P.DAYASHANKAR SHU.I.C. BHAISAULI ROOM - 3",611,502,0,1113,352,267,0,619,588,0,66,5,313,223,1,2,0,1,0,1,0,0,1,3,3,619
98,"P.S. KANSAHI",404,335,0,739,257,226,0,483,457,0,106,3,214,149,1,1,1,0,0,0,0,2,2,2,2,483
99,"P.S. SUJAWALPUR ROOM - 1",526,410,0,936,297,222,0,519,508,0,219,3,239,38,0,0,1,3,0,1,1,1,1,1,11,519
100,"P.S. SUJAWALPUR ROOM - 2",600,466,0,1066,382,316,0,698,698,0,208,12,422,33,0,0,2,5,0,1,2,1,1,4,7,698
101,"P.S. GUTAIYAKHEDA MAJRE SUJAWALPUR",669,514,0,1183,417,335,0,752,752,0,429,5,10,281,5,1,1,0,0,0,0,0,3,1,16,752
102,"P.S. DHAMAULI",396,339,0,735,197,260,0,457,457,0,76,8,250,110,0,0,1,6,2,1,1,0,1,1,0,457
103,"P.S. DUBEPUR",441,358,0,799,265,201,0,466,453,0,49,13,319,70,2,0,0,1,0,0,0,1,5,4,2,466
104,"P.S. DARI BUJURG ROOM - 1",579,463,0,1042,356,270,0,626,626,0,172,5,309,116,1,1,0,4,4,0,1,0,4,5,4,626
105,"P.S. DARI BUJURG ROOM - 2",386,279,0,665,195,149,0,344,340,0,62,5,183,82,1,0,1,0,0,0,1,2,2,1,4,344
106,"P.S. DARI KHURD",455,349,0,804,360,281,0,641,641,0,77,4,318,214,2,2,1,8,1,0,1,3,4,3,3,641
107,"P.S. KAKRAIHA",334,284,0,618,232,224,0,456,436,0,57,6,261,125,0,0,0,3,1,0,0,0,1,2,0,456
108,"P.S. MUSAFA ROOM - 1",612,488,0,1100,285,266,0,551,551,0,222,3,136,174,0,0,0,3,1,1,1,0,1,1,8,551
109,"P.S MUSAFA ROOM - 2",572,441,0,1013,367,285,0,652,475,0,42,15,447,133,1,0,1,1,1,0,0,1,4,4,2,652
110,"P.S. CHAKPATA",634,514,0,1148,447,362,0,809,543,0,160,15,355,256,3,0,0,6,0,0,0,1,2,7,4,809
111,"P. S. GAURI ARANJ",219,171,0,390,136,96,0,232,232,0,92,5,67,63,0,1,0,1,0,1,0,0,1,0,1,232
112,"P.S JARARA",672,524,0,1196,452,365,0,817,817,0,254,14,369,140,2,2,1,11,1,2,1,1,4,7,8,817
113,"P.S. BHULBHULIYAPUR",213,194,0,407,166,147,0,313,313,0,117,1,149,41,0,0,0,1,0,0,0,0,1,1,2,313
114,"P.S. ISEPUR",320,270,0,590,239,188,0,427,248,0,51,4,211,140,0,0,0,9,0,3,2,0,4,1,2,427
115,"P.S. MADHAUPUR",537,408,0,945,325,280,0,605,605,0,198,8,270,104,0,2,1,2,7,0,0,0,5,3,5,605
116,"P.S. BHELGAONV",338,276,0,614,205,189,0,394,334,0,83,1,221,75,1,1,0,2,0,0,0,0,3,3,4,394
117,"P.S. LALABAKSARA",508,393,0,901,337,217,0,554,467,0,103,8,359,71,0,0,0,1,1,1,0,1,3,2,4,554
118,"P.S. ALAMPUR",580,440,0,1020,329,263,0,592,589,0,44,19,416,97,0,5,0,5,2,1,0,0,3,0,0,592
119,"P.S. NAHRAMAU",445,380,0,825,331,269,0,600,600,0,64,12,472,17,1,1,4,12,0,1,0,1,5,6,4,600
120,"P.S. PAHADIPUR",531,494,0,1025,335,316,0,651,600,0,92,9,432,49,3,2,0,6,0,37,1,2,6,7,5,651
121,"P.S. MATHURAPUR",728,606,0,1334,445,378,0,823,823,0,128,7,529,89,3,2,2,11,2,1,2,3,19,14,11,823
122,"P.S. PATARI MAJRE SARAYAN LANGAR",474,449,0,923,285,220,0,505,505,0,57,5,337,81,2,10,1,8,2,1,0,0,1,0,0,505
123,"P.S. SHAKURABAD MAJRE SARAYAN LANGAR",520,415,0,935,288,224,0,512,410,0,130,14,349,9,0,0,0,1,0,0,2,0,3,1,3,512
124,"P.S. BENTA",745,580,0,1325,457,354,0,811,811,0,249,5,455,64,1,2,1,1,2,1,0,3,13,6,8,811
125,"P.S. SARAYAN HOLI",483,405,0,888,331,271,0,602,600,0,99,9,234,250,1,0,3,1,0,0,1,0,0,3,1,602
126,"P.S. MAKRAULI",489,422,0,911,302,280,0,582,570,0,31,5,331,181,2,1,2,7,1,0,1,2,4,6,8,582
127,"P.S. MIRJAPUR MAKRANDPUR",815,669,0,1484,470,403,0,873,873,0,305,15,416,86,2,2,2,12,0,1,2,4,9,9,8,873
128,"P.S. PANERUWA",455,347,0,802,325,180,0,505,503,0,83,5,360,44,1,0,3,3,0,1,1,0,3,0,1,505
129,"P.S. CHAK LAL BIBI",160,129,0,289,130,115,0,245,232,0,27,11,95,110,0,0,0,0,0,0,0,0,0,1,1,245
130,"P.S. KISHUNPUR KAPIL",629,506,0,1135,389,348,0,737,500,0,178,6,492,34,0,0,1,12,0,1,1,0,6,2,4,737
131,"U.P.S. KAPIL",888,677,0,1565,496,365,0,861,310,0,124,31,604,37,1,5,3,19,1,2,3,6,10,3,12,861
132,"DR.AMB.SAMU.MI.KENDRA KAPILIYA",97,84,0,181,63,64,0,127,102,0,66,1,49,7,0,0,0,0,0,0,0,0,2,0,2,127
133,"P.S. KALANA",651,538,0,1189,414,335,0,749,749,0,112,6,470,132,2,2,3,4,0,0,3,0,4,2,9,749
134,"P.S. NARAYANPUR MAJRE KALANA",386,327,0,713,255,246,0,501,501,0,28,8,402,50,0,1,0,3,0,0,0,3,2,2,2,501
135,"P.S. IBRAHIMPUR DANDA",557,499,0,1056,327,378,0,705,685,0,23,10,599,40,1,1,0,13,0,0,2,1,5,7,3,705
136,"SH.GY.V.H.SE.S.RAMTALAI JAHANABAD ROOM - 1",547,440,0,987,333,212,0,545,539,0,43,5,351,140,0,0,1,1,1,0,0,0,1,1,1,545
137,"SH.GY.V.H.SE.S. RAM TALAI JAHANABAD ROOM - 2",423,306,0,729,216,154,0,370,370,0,39,3,252,62,2,3,0,2,1,0,1,0,1,1,3,370
138,"P.S. KASBA KODA ROOM - 1",765,643,0,1408,485,365,0,850,732,0,402,15,214,201,3,0,0,1,1,1,0,1,1,0,10,850
139,"P.S. KASBA KODA ROOM - 2",540,407,0,947,324,231,0,555,555,0,312,5,136,78,2,1,3,7,2,0,2,0,0,4,3,555
140,"KRASHI UT.M.S. KASBA KODA JAHANABAD ROOM - 1",533,447,0,980,313,250,0,563,563,0,227,3,165,148,2,0,0,5,2,0,2,1,2,0,6,563
141,"KRASHI UT.M.S. KASBA KODA JAHANABAD  ROOM - 2",516,452,0,968,328,265,0,593,525,0,408,7,83,83,1,0,0,1,0,0,1,0,1,3,5,593
142,"KRASHI UT.M.S. KASBA KODA JAHANABAD ROOM - 3",354,280,0,634,217,161,0,378,373,0,119,7,209,20,2,0,1,2,1,1,0,0,4,5,7,378
143,"N.H.SE.S. KASBA KODA JAHANABAD ROOM - 1",638,553,0,1191,345,289,0,634,634,0,267,27,175,146,1,1,3,3,1,0,1,2,3,3,1,634
144,"N.H.SE.S. KASBA KODA JAHANABAD ROOM - 2",341,287,0,628,219,192,0,411,411,0,149,6,220,23,0,0,0,4,0,0,2,2,1,3,1,411
145,"N.H.SE.S. KASBA KODA JAHANABAD ROOM - 3",768,635,0,1403,498,400,0,898,898,0,312,7,355,196,1,1,1,4,0,0,0,2,2,5,12,898
146,"G.S.L.G.P.I.C.KASBA KODA JAHANABAD ROOM - 1",374,345,0,719,211,198,0,409,409,0,60,4,267,59,2,0,0,4,1,1,1,0,3,2,5,409
147,"G.S.L.G.P.I.C.KASBA KODA JAHANABAD ROOM - 2",503,361,0,864,321,223,0,544,544,0,196,13,249,68,3,2,0,5,1,1,0,0,1,2,3,544
148,"G.S.L.G.P.I.C.KASBA KODA JAHANABAD ROOM - 3",536,458,0,994,350,241,0,591,591,0,100,6,430,31,1,3,1,5,1,2,1,1,1,3,5,591
149,"G.S.L.G.P.I.C.KASBA KODA JAHANABAD ROOM - 4",640,564,0,1204,377,316,0,693,693,0,124,8,493,63,0,0,0,2,0,0,0,0,0,1,2,693
150,"G.S.L.G.P.I.C.KASBA KODA JAHANABAD ROOM - 4",270,197,0,467,187,137,0,324,297,0,88,3,174,50,0,0,0,3,0,1,0,1,2,1,1,324
151,"A.S.S.A.I.C. KASBA KODA JAHANABAD ROOM - 1",728,645,0,1373,422,322,0,744,744,0,300,14,316,102,2,1,1,0,1,0,0,2,0,1,4,744
152,"A.S.S.A.I.C. KASBA KODA JAHANABAD ROOM - 2",514,441,0,955,337,261,0,598,178,0,168,1,361,58,0,2,0,0,0,0,1,0,2,3,2,598
153,"A.S.S.A.I.C. KASBA KODA JAHANABAD ROOM - 3",436,346,0,782,265,210,0,475,475,0,99,12,300,38,1,4,1,6,2,1,2,1,1,3,4,475
154,"A.S.S.A.I.C. KASBA KODA JAHANABAD ROOM - 4",719,634,0,1353,434,337,0,771,721,0,531,5,73,152,0,0,2,1,0,1,1,1,0,1,3,771
155,"SMT S.D.A.B.I.C. JAHANABAD ROOM - 1",490,438,0,928,284,221,0,505,485,0,98,7,297,84,0,1,0,3,0,0,1,0,3,8,3,505
156,"SMT S.D.A.B.I.C. JAHANABAD ROOM - 2",532,423,0,955,196,159,0,355,310,0,141,9,118,77,2,0,1,4,0,1,0,0,1,1,0,355
