"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DHARMENDRA KUMAR","2 - SALEEM IQBAL SHERVANI","3 - KUNWAR SARVRAJ SINGH","4 - SUNITA SHAKYA","5 - IRSHAD ANSARI ADVOCATE","6 - OM VEER","7 - MOHD. ZARRAR KHAN","8 - JITENDRA SINGH YADAV","9 - NARESH SINGH SOLANKI","10 - PRAMOD KUMAR YADAV","11 - YOGENDRA KUMAR VERMA","12 - CAPTAIN P.C. SHARMA","13 - ARSHADURRAZA KHAN","14 - None of the Above","Total Votes Secured"
18,"MOHANPUR SCHOOL NEW BHAWAN NIKAT OLD MOHANPUR ROOM NO. 2",585,457,0,1042,335,256,0,591,591,0,388,75,81,31,0,1,1,0,6,0,2,2,0,4,591
19,"SHYAM BIHARI MEMORIAL JU. HIGH SCHOOL MOHANPUR ROAD NAKATIYA",949,755,0,1704,605,403,0,1008,1008,0,666,114,162,53,3,1,0,0,3,0,0,2,2,2,1008
20,"S. GLORIYAS PUBLIC SCHOOL ADARASH COLONY MOHANPUR ROOM NO. 1",881,693,0,1574,465,375,0,840,840,0,542,136,105,44,0,3,0,0,4,0,0,2,0,4,840
21,"S. GLORIYAS PUBLIC SCHOOL ADARASH COLONY MOHANPUR ROOM NO. 2",211,165,0,376,127,95,0,222,222,0,106,63,46,4,0,0,0,0,1,0,0,1,0,1,222
22,"MOHANPUR SCHOOL NEW BHAWAN NIKAT OLD MOHANPUR ROOM NO. 4",829,714,0,1543,427,366,0,793,793,0,645,41,22,65,0,1,0,0,5,3,0,0,0,11,793
23,"JALKAL OFFICE SACHIV THIRIYA NIZAWAT KHAN",700,516,0,1216,437,300,0,737,737,0,5,80,640,6,0,1,0,0,1,0,1,2,1,0,737
24,"JAWAHAR MEENA INTER COLLEGE THIRIYA NIZAWAT KHAN ROOM NO. 1",241,171,0,412,141,87,0,228,228,0,0,30,194,0,0,0,0,0,0,0,0,0,3,1,228
25,"JALKAL OFFICE SACHIV OFFICE THIRIYA NIZAWAT KHAN SABHAGAR",796,504,1,1301,461,249,0,710,710,0,4,53,640,5,0,0,0,0,6,0,1,0,1,0,710
26,"SARVANT QUATER B BLOCK JALKAL OFFICE SACHIV OFFICE THIRIYA NIZAWAT KHAN",351,290,0,641,218,174,0,392,392,0,3,51,328,4,0,0,0,0,5,0,0,0,0,1,392
27,"MAKTAB DARUL ULUM JU. HIGH SCHOOL THIRIYA NIZAWAT KHAN ROOM NO. 1",657,577,0,1234,398,301,0,699,699,0,7,93,574,14,0,1,1,0,2,1,1,1,1,3,699
28,"MAKTAB DARUL ULUM JU. HIGH SCHOOL THIRIYA NIZAWAT KHAN ROOM NO. 2",601,449,0,1050,378,262,0,640,640,0,27,53,545,6,0,0,0,0,3,0,2,2,1,1,640
29,"JALKAL OFFICE KA SAYUKAT OFFICE ROOM NO. 2 THIRIYA NIZAWAT KHAN",831,614,0,1445,467,320,0,787,787,0,8,116,619,7,1,0,1,1,0,1,1,5,19,8,787
30,"JALKAL OFFICE KA SAYUKAT OFFICE ROOM NO. 1 THIRIYA NIZAWAT KHAN",459,334,0,793,279,174,0,453,453,0,3,53,379,6,0,0,0,0,0,0,0,1,5,6,453
31,"MAKTAB DARUL ULUM JU. HIGH SCHOOL THIRIYA NIZAWAT KHAN ROOM NO. 3",776,627,0,1403,432,329,0,761,761,0,18,105,619,9,1,0,2,0,0,0,3,0,0,4,761
32,"PRA. SCHOOL ROOM NO. 1 THIRIYA NIZAWAT KHAN",765,604,0,1369,452,323,0,775,775,0,111,77,580,3,0,0,0,0,2,0,0,0,1,1,775
33,"PRA SCHOOL ROOM NO 2 THIRIYA NIZAWAT KHAN",477,359,0,836,285,209,0,494,494,0,36,161,269,13,0,2,0,0,1,2,1,2,1,6,494
34,"PRA SCHOOL EXTRA ROOM NO. 3 THIRIYA NIZAWAT KHAN",520,363,0,883,301,210,0,511,511,0,35,219,235,8,2,0,2,0,3,0,1,1,2,3,511
35,"GIRLS JUN. HIGH SCHOOL THIRIYA NIZAWAT KHAN ROOM NO. 1",274,201,0,475,173,108,0,281,281,0,56,47,126,41,0,0,0,0,2,0,2,0,2,5,281
36,"GIRLS JUN. HIGH SCHOOL THIRIYA NIZAWAT KHAN ROOM NO. 2",766,578,0,1344,421,251,0,672,672,0,67,114,396,72,2,1,0,1,4,1,4,4,1,5,672
37,"PRA SCHOOL NEW BHAWAN ROOM NO. 1 PARSONA",957,610,0,1567,570,261,0,831,831,0,63,283,456,4,2,1,10,0,2,1,2,2,1,4,831
38,"PRA. SCHOOL NEW BHAWAN ROOM NO. 2 PARSONA",932,657,0,1589,577,283,0,860,860,0,156,194,483,6,4,0,3,0,3,0,3,2,3,3,860
39,"PRA SCHOOL NEW BHAWAN ROOM NO. 3 PARSONA",222,157,0,379,160,82,0,242,242,0,29,111,99,0,0,0,0,0,0,0,0,1,0,2,242
40,"PRA PATHSHALA MANPURIYA ROOM NO. 1",728,533,0,1261,547,314,0,861,861,0,201,236,273,120,3,1,1,0,0,1,7,3,5,10,861
41,"PRA SCHOOL BHINDOLIYA ROOM NO. 1",711,569,0,1280,457,267,0,724,724,0,30,112,466,98,0,0,1,0,3,1,3,1,6,3,724
42,"PRA SCHOOL BHINDOLIYA ROOM NO. 2",699,550,0,1249,437,240,0,677,677,0,60,159,410,21,1,0,0,0,7,1,4,4,3,7,677
43,"PRA SCHOOL NARIYAWAL ROOM NO. 1",485,395,0,880,369,286,0,655,655,0,504,12,125,4,0,2,0,0,0,0,0,1,0,7,655
44,"PRA SCHOOL NARIYAWAL ROOM NO. 2",494,403,0,897,340,293,0,633,633,0,514,21,82,8,0,0,1,0,0,1,1,0,1,4,633
45,"PRA SCHOOL GOPAL NAGARIYA ANOOP",479,433,0,912,354,279,0,633,633,0,402,15,132,56,1,0,2,3,3,2,3,5,4,5,633
46,"PRA SCHOOL SUNDARPUR",213,226,0,439,154,152,0,306,306,0,217,5,5,71,1,0,0,1,0,2,0,0,1,3,306
47,"PRA SCHOOL PRATASPUR",673,499,0,1172,488,331,0,819,819,0,454,31,129,171,2,0,1,0,2,2,5,2,3,17,819
48,"PRIMARY SCHOOL SAIDPUR LASHKARIGANJ ROOM NO. 1",665,474,0,1139,436,293,0,729,729,0,314,20,232,146,0,0,0,1,0,0,2,3,2,9,729
49,"PRIMARY SCHOOL SAIDPUR LASHKARIGANJ ROOM NO. 3",351,316,0,667,245,170,0,415,415,0,58,28,320,5,0,0,1,0,1,0,0,0,1,1,415
50,"PRIMARY SCHOOL SAIDPUR LASHKARIGANJ ROOM NO. 2",341,275,0,616,182,148,0,330,330,0,85,15,208,14,1,0,0,0,0,0,0,2,3,2,330
51,"PRA PATSHALA DHARUPUR THAKURAN",644,515,0,1159,439,352,0,791,791,0,147,129,433,76,1,0,2,1,0,0,1,0,0,1,791
52,"JUN. HIGH SCHOOL PADARATHPUR ROOM NO. 1",822,552,0,1374,507,253,0,760,760,0,43,190,503,2,3,0,0,0,1,1,2,3,3,9,760
53,"JUN. HIGH SCHOOL PADARATHPUR ROOM NO. 2",874,685,0,1559,537,305,0,842,842,0,37,343,364,65,3,1,3,0,10,1,2,4,3,6,842
54,"PRA SCHOOL PADARTHPUR ROOM NO. 1",503,354,0,857,288,130,0,418,418,0,10,126,258,14,1,0,1,0,1,1,2,1,2,1,418
55,"PRA SCHOOL PADARTHPUR ROOM NO. 2",533,384,0,917,311,145,0,456,456,0,5,157,276,8,0,0,0,0,3,0,3,1,1,2,456
56,"JUN. HIGH SCHOOL UDALA JAGIR ROOM NO. 1",387,257,0,644,232,113,0,345,345,0,4,75,255,6,0,0,1,0,0,0,1,1,1,1,345
57,"JUN. HIGH SCHOOL UDALA JAGIR ROOM NO. 4",824,560,0,1384,492,280,0,772,772,0,14,92,415,238,3,1,0,1,3,0,0,0,2,3,772
58,"JUN. HIGH SCHOOL UDALA JAGIR ROOM NO. 2",946,648,0,1594,580,341,0,921,921,0,41,155,677,25,9,2,2,0,3,1,1,1,1,3,921
59,"JUN. HIGH SCHOOL UDALA JAGIR ROOM NO. 3",578,482,0,1060,426,287,0,713,713,0,59,102,157,378,1,2,1,0,0,0,2,2,4,5,713
60,"PRA. PATHSHALA TAHTAJPUR",237,196,0,433,213,174,0,387,387,0,371,4,1,4,0,0,0,1,0,0,0,1,0,5,387
61,"PRA SCHOOL FARIDAPUR INAYAT KHAN",530,439,0,969,426,343,0,769,769,0,510,16,53,166,2,1,2,1,2,0,9,0,2,5,769
62,"PRA PATHSHALA KISHANPUR MAZARA UDALA JAGIR",207,182,0,389,176,152,0,328,328,0,294,3,10,18,0,0,0,0,0,0,0,0,0,3,328
63,"PRA PATHSHALA ALAMPUR GAZRAULA ROOM NO. 1",629,472,0,1101,461,238,0,699,699,0,287,82,179,129,3,0,0,0,0,0,6,2,1,10,699
64,"PRA PATHSHALA ALAMPUR GAZRAULA ROOM NO. 2",650,516,0,1166,433,270,0,703,703,0,69,161,416,28,0,0,4,0,1,1,4,6,3,10,703
65,"PRA SCHJOOL UDAYAPUR JASHRATHPUR ROOM NO. 1",631,476,0,1107,370,233,0,603,603,0,128,252,205,5,0,1,2,0,1,0,3,1,2,3,603
66,"PRA SCHOOL UDAYAPUR JASHRATHPUR ROOM NO. 2",758,584,0,1342,418,275,0,693,693,0,40,324,288,30,1,0,8,0,1,0,0,0,1,0,693
67,"PRA. SCHOOL SARIPUR",517,405,0,922,365,270,0,635,635,0,325,14,224,44,3,0,1,0,1,0,6,3,4,10,635
68,"JUN. HIGH SCHOOL BANIPUR SHADAT",410,312,0,722,268,189,0,457,457,0,141,17,172,114,1,2,0,1,1,0,1,1,1,5,457
69,"PRA. SCHOOL TAYYATPUR",528,437,0,965,377,263,0,640,640,0,458,8,25,123,2,1,0,0,1,1,1,3,1,16,640
70,"JUN.HIGH SCHOOL BITHARI CHAINPUR ROOM NO. 1",563,482,0,1045,401,313,0,714,714,0,307,127,78,180,3,1,1,0,0,1,1,4,1,10,714
71,"JUN.HIGH SCHOOL BITHARI CHAINPUR ROOM NO. 3",550,435,0,985,305,231,0,536,536,0,174,118,192,40,0,1,0,2,1,0,1,1,0,6,536
72,"JUN.HIGH SCHOOL BITHARI CHAINPUR ROOM NO. 2",720,606,0,1326,513,398,0,911,911,0,304,107,125,341,4,2,1,2,0,0,6,2,6,11,911
73,"JUN. HIGH SCHOOL ROOM NO. 1 VALIPUR AHMADPUR",289,266,0,555,257,227,0,484,484,0,219,6,31,206,3,0,0,1,3,2,2,1,1,9,484
74,"PRA. PATHSHALA UGANPUR",386,289,0,675,294,198,0,492,492,0,381,2,28,62,0,1,3,0,0,1,2,1,2,9,492
75,"PRA. SCHOOL NAWADIYA JHADA",415,344,0,759,332,276,0,608,608,0,415,7,64,114,2,0,0,0,2,0,2,0,0,2,608
76,"PRA. SCHOOL PURANAPUR",889,737,0,1626,674,531,0,1205,1205,0,372,24,307,463,8,0,1,1,0,3,5,5,4,12,1205
77,"PRA. SCHOOL KUWADADA KURMIYAN",297,243,0,540,209,162,0,371,371,0,75,60,88,139,1,1,1,0,1,0,0,0,3,2,371
78,"PRA SCHOOL NOUGAWA HARSHAPATTI",541,458,0,999,433,326,0,759,759,0,448,5,54,236,2,1,2,0,1,1,1,0,3,5,759
79,"PRA. SCHOOL TIWARIYA",334,289,0,623,298,178,0,476,476,0,362,1,39,68,0,0,0,0,1,1,0,0,1,3,476
80,"PRA. PATHSHALA NEW BHAWAN SINGHAI MURAWAN",684,526,0,1210,485,311,0,796,796,0,252,243,129,156,0,1,0,0,0,0,3,1,0,11,796
81,"PRA. PATHSHALA NEW BHAWAN SINGHAI MURAWAN",337,280,0,617,272,225,0,497,497,0,369,5,10,98,0,0,0,0,0,0,3,1,0,11,497
82,"PRA. PATHSHALA KOHANI",294,244,0,538,234,182,0,416,416,0,42,55,280,25,2,0,1,2,0,0,3,0,2,4,416
83,"PRA. SCHOOL BHAGOUTIPUR",365,318,0,683,268,239,0,507,507,0,274,5,123,94,2,1,1,0,0,0,1,1,1,4,507
84,"PRA PATHSHALA NAGIPUR",335,284,0,619,259,228,0,487,487,0,198,2,48,226,1,0,1,2,0,1,1,1,1,5,487
85,"PRA. PATHSHALA TRIKUNIYA",388,310,0,698,314,246,0,560,560,0,306,6,51,188,1,0,0,0,1,0,2,1,1,3,560
86,"PRA. PATHSHALA KAMUA KALA",378,325,0,703,290,226,0,516,516,0,390,3,56,54,1,1,0,0,1,0,2,0,1,7,516
87,"PRA. PATHSHALA KESHARPUR ROOM NO. 1",706,562,0,1268,457,318,0,775,775,0,251,14,353,140,1,0,0,0,0,1,2,0,1,12,775
88,"JUN.HIGH SCHOOL KESHARPUR ROOM NO. 1",235,192,0,427,151,105,0,256,256,0,200,1,12,37,1,0,1,0,0,0,0,1,1,2,256
89,"PRA. PATHSHALA KESHARPUR ROOM NO. 2",877,651,0,1528,600,410,0,1010,1010,0,382,25,477,98,0,0,1,1,1,0,3,2,6,14,1010
90,"PRA. PATHSHALA KESHARPUR EXTRA ROOM",197,169,0,366,138,103,0,241,241,0,133,5,79,18,1,0,0,0,1,1,0,0,1,2,241
91,"PRA. SCHOOL SAIDPUR KURMIYAN ROOM NO. 1",587,471,0,1058,444,315,0,759,759,0,432,7,217,76,1,0,1,1,0,1,2,1,2,18,759
92,"PRA. SCHOOL SAIDPUR KURMIYAN ROOM NO. 2",369,292,0,661,260,176,0,436,436,0,337,1,20,65,1,1,1,0,0,0,3,0,0,7,436
93,"PRA. PATHSHALA LAXMIPUR",201,175,0,376,162,131,0,293,293,0,194,1,3,87,2,0,0,0,0,0,1,0,0,5,293
94,"PRA. SCHOOL NATHU RAMPURA ROOM NO. 1",447,322,0,769,334,240,0,574,574,0,232,7,129,193,3,0,0,0,0,0,1,0,0,9,574
95,"PRA. PATHSHALA SAHUA",226,202,0,428,194,162,0,356,356,0,256,6,21,61,0,0,0,0,3,0,1,0,2,6,356
96,"PRA. PATHSHALA ISAMAILPUR",305,243,0,548,238,179,0,417,417,0,218,1,66,118,0,0,0,0,0,1,2,1,0,10,417
97,"PRA. PATHSHALA KHAIKHEDA",324,259,0,583,237,143,0,380,380,0,222,2,16,129,1,0,0,0,1,0,3,1,0,5,380
98,"PRA. SCHOOL PHARAPUR VASWAN NAGARIYA",376,295,0,671,316,250,0,566,566,0,349,3,55,140,1,1,0,1,0,2,2,3,1,8,566
99,"PRA. PATHSHALA PATPRAGANJ",109,91,0,200,73,62,0,135,135,0,12,0,7,114,0,0,0,0,0,0,0,0,0,2,135
100,"PRA. SCHOOL PAREVA KUNIYA",842,613,0,1455,529,351,0,880,880,0,326,15,306,213,4,1,0,0,2,0,4,2,0,7,880
101,"PRA. SCHOOL SARKADA",406,315,0,721,305,202,0,507,507,0,319,5,4,169,1,1,1,0,0,0,0,0,1,6,507
102,"PRA. SCHOOL LAHIYA",706,569,0,1275,486,328,0,814,814,0,205,5,76,495,3,0,3,4,1,1,9,5,3,4,814
103,"PRA. SCHOOL BHANDHARIYA",604,514,0,1118,490,351,0,841,841,0,137,13,20,635,5,1,4,1,4,1,8,1,6,5,841
104,"PRA. PATHSHALA BHAGANAPUR",210,191,0,401,166,131,0,297,297,0,38,1,18,237,1,0,0,0,0,0,1,0,1,0,297
105,"GIRLS PATSHALA ROOM NO. 1 MURDI KHURAD",407,359,0,766,303,248,0,551,551,0,307,0,20,207,4,2,0,1,0,1,4,0,1,4,551
106,"PRA. PATHSHALA NEW BHAWAN MURDIKHURAD KALA",814,660,0,1474,555,385,0,940,940,0,241,104,462,83,3,2,2,1,0,0,5,9,8,20,940
107,"PRA. SCHOOL SISHAIYA",393,378,0,771,283,273,0,556,556,0,320,2,43,175,1,0,1,0,0,1,4,3,1,5,556
108,"PRA. SCHOOL GUNGA",454,366,0,820,338,233,0,571,571,0,346,2,26,169,3,1,1,0,3,2,3,2,3,10,571
109,"BHARAT SEWAK SAMAJ HIGH SECANDARY SCHOOL ROOM NO. 1 RAJPURI NAWADA",664,500,0,1164,347,225,0,572,572,0,178,5,355,16,0,0,1,1,1,1,3,3,3,5,572
110,"PRA. PATHSHALA AMLONIPUR",244,150,0,394,151,105,0,256,256,0,60,4,159,27,1,0,0,0,1,1,1,1,0,1,256
111,"PRA. PATHSHALA TANDWA",196,185,0,381,163,153,0,316,316,0,233,1,28,49,1,0,0,0,2,0,0,0,1,1,316
112,"PRA. PATHSHALA ROOM NO. 1 SUDANPUR",710,531,0,1241,370,283,0,653,653,0,366,13,198,21,3,1,2,3,2,1,5,9,2,27,653
113,"PRA. PATHSHALA BHAAT",209,151,0,360,155,103,0,258,258,0,34,4,88,125,1,0,0,2,0,0,1,0,1,2,258
114,"PRA. PATHSHALA ROOM NO. 2 SUDANPUR",586,437,0,1023,317,275,0,592,592,0,242,14,155,138,2,0,2,0,4,4,7,3,4,17,592
115,"PRA. PATHSHALA ROHTAPUR",319,180,0,499,225,135,0,360,360,0,306,6,15,15,1,0,0,0,0,0,3,3,1,10,360
116,"PRA. PATHSHALA BICHRA BALKISHANPUR",379,298,0,677,278,208,0,486,486,0,261,2,125,92,1,0,1,0,0,0,0,2,1,1,486
117,"PRA. PATHSHALA DHANETI KHARAGPUR ROOM.NO. 1",569,418,0,987,385,259,0,644,644,0,538,27,60,8,0,0,0,1,1,0,1,0,1,7,644
118,"PRA. PATHSHALA DHANETI KHARAGPUR ROOM.NO. 2",443,341,0,784,296,253,0,549,549,0,199,5,37,284,2,0,1,0,1,3,1,3,1,12,549
119,"PRA. PATHSHALA KHAJUHAI ROOM NO. 1",427,327,0,754,327,249,0,576,576,0,469,6,60,20,0,1,0,1,0,0,3,1,3,12,576
120,"PRA. PATHSHALA KHAJUHAI ROOM NO. 2",388,274,0,662,288,207,0,495,495,0,216,6,183,83,0,1,0,0,0,0,1,0,0,5,495
121,"PRA. PATHSHALA JITAUR ROOM NO. 1",399,275,0,674,294,174,0,468,468,0,102,9,323,14,0,0,2,0,2,1,0,1,4,10,468
122,"PRA. PATHSHALA JITAUR ROOM NO. 2",243,173,0,416,172,103,0,275,275,0,68,1,169,33,1,0,0,0,0,1,2,0,0,0,275
123,"PRA. PATHSHALA GOKILPUR",237,160,0,397,194,118,0,312,312,0,123,4,173,5,1,0,0,0,0,0,1,1,1,3,312
124,"PRA. PATHSHALA NAYA BHAWAN MEHGAWAN URF UNCHA GAON",358,267,0,625,225,154,0,379,379,0,225,3,110,22,0,2,1,1,0,1,2,3,1,8,379
125,"OFFICE S.R. SAMITI ITAUAA SUKHDEVPUR ROOM NO. 1",981,759,0,1740,661,491,0,1152,1152,0,434,14,281,387,2,0,1,1,3,0,10,6,3,10,1152
126,"PRA. PATHSHALA VIRIA NARAYANPUR",776,594,0,1370,505,370,0,875,875,0,509,9,212,118,1,1,1,0,0,0,3,0,1,20,875
127,"PRA. PATHSHALA BEHTI DEHA JAGEER",565,500,0,1065,425,347,0,772,772,0,424,16,53,260,1,0,1,0,0,2,2,1,5,7,772
128,"PRA. PATHSHALA ANGOORI ROOM NO. 1",461,389,0,850,349,307,0,656,656,0,431,9,196,6,1,0,1,0,1,0,2,1,2,6,656
129,"PRA. PATHSHALA TANDA ANGOORI",555,546,0,1101,418,356,0,774,774,0,92,85,478,80,3,1,0,2,1,2,2,4,3,21,774
130,"PRA. PATHSHALA CHAUBARI ROOM NO. 1",506,441,0,947,377,279,0,656,656,0,255,5,321,61,4,0,0,0,3,3,0,0,0,4,656
131,"PRA. PATHSHALA CHAUBARI ROOM NO. 2",534,468,0,1002,409,321,0,730,730,0,342,13,225,130,1,0,1,1,2,0,1,1,2,11,730
132,"PRA PATHSHALA MAHESHPUR THAKURAN",756,641,0,1397,601,423,0,1024,1024,0,520,5,232,227,8,3,4,0,6,1,3,1,1,13,1024
133,"PRIMARY PATHSHALA RODHI ROOM NO. 1",535,385,0,920,367,310,0,677,677,0,498,9,53,92,0,0,0,0,2,1,4,0,1,17,677
134,"PRAMARIY PATHSHALA RODHI ROOM NO. 2",581,451,0,1032,390,289,0,679,679,0,455,17,121,64,0,0,0,1,1,0,1,4,0,15,679
135,"BLOCK OFFICE KARELI ROOM NO. 1",753,581,0,1334,494,385,0,879,879,0,334,28,385,118,0,0,0,0,4,0,1,2,3,4,879
136,"BLOCK OFFICE KARELI ROOM NO. 2",599,452,0,1051,449,295,0,744,744,0,342,15,351,11,1,0,0,1,2,0,3,6,2,10,744
137,"BLOCK OFFICE AGANBARDI ROOM KARELI ROOM NO. 3",713,574,0,1287,518,425,0,943,943,0,258,44,557,64,2,0,0,2,1,1,0,3,4,7,943
138,"BLOCK OFFICE AGANBARDI ROOM KARELI ROOM NO. 4",641,520,0,1161,436,333,0,769,769,0,285,47,328,92,2,0,0,0,2,0,5,0,1,7,769
139,"BLOCK OFFICE KARELI ROOM NO. 4",689,541,0,1230,457,318,0,775,775,0,347,19,391,7,1,1,0,0,0,0,0,2,1,6,775
140,"PRA PATHSHALA JHEEL GAUTIYA ROOM NO. 1",685,524,0,1209,485,377,0,862,862,0,437,50,285,56,3,1,0,0,4,0,5,4,4,13,862
141,"PRA. PATHSHALA KARGAINA NIRMAAN ROOM NO. 1",829,666,0,1495,527,395,0,922,922,0,536,27,304,31,3,1,1,2,2,3,1,1,0,10,922
142,"PRA. PATHSHALA KARGAINA NIRMAAN ROOM NO. 2",917,746,1,1664,447,353,0,800,800,0,442,30,238,72,0,3,0,1,4,0,2,0,2,6,800
143,"PRA. PATHSHALA KARGAINA ROOM NO. 3",662,564,0,1226,339,314,0,653,653,0,458,7,103,66,1,0,0,0,7,0,2,1,0,8,653
144,"PRA. PATHSHALA KARGAINA ROOM NO. 4",933,747,0,1680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,"JU. HIGH SCHOOL ROOM NO. 1 KARGAINA",741,651,0,1392,380,325,0,705,705,0,441,29,187,32,3,0,0,1,7,1,0,0,3,1,705
146,"JU. HIGH SCHOOL ROOM NO. 2 KARGAINA",729,565,0,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,"JU. HIGH SCHOOL ROOM NO. 3 KARGAINA",435,371,0,806,243,202,0,445,424,0,318,12,47,62,1,1,0,0,0,0,0,0,2,2,445
148,"KANYA PATHSHALA KARGAINA ROOM NO. 1",355,276,0,631,225,165,0,390,390,0,254,12,108,12,0,0,0,0,0,0,0,0,2,2,390
149,"KANYA PATHSHALA KARGAINA ROOM NO. 2",1057,850,0,1907,635,509,0,1144,1144,0,657,45,303,120,0,0,1,0,2,0,1,3,1,11,1144
150,"PRA. PATHSHALA CHANEHTI ROOM NO. 1",1008,799,1,1808,660,496,0,1156,1156,0,863,57,146,65,1,0,2,1,3,0,4,1,2,11,1156
151,"PRA. PATHSHALA CHANEHTI ROOM NO. 2",595,467,0,1062,354,297,0,651,651,0,88,17,206,305,1,1,0,0,13,1,4,7,0,8,651
152,"JU. HIGH SCHOOL ROOM NO. 1 CHANEHTA",681,468,0,1149,446,277,0,723,723,0,315,72,242,83,0,0,1,1,3,0,0,0,1,5,723
153,"JU. HIGH SCHOOL ROOM NO. 3 CHANEHTA",584,400,0,984,378,226,0,604,604,0,262,40,266,19,1,0,1,0,7,1,0,2,0,5,604
154,"JU. HIGH SCHOOL ROOM NO. 2 CHANEHTA",659,516,0,1175,424,307,0,731,731,0,596,54,38,30,1,1,0,0,3,0,0,0,2,6,731
155,"JU. HIGH SCHOOL KANDHARPUR R.NO. 1",931,744,0,1675,499,437,0,936,936,0,380,48,196,276,6,3,1,0,1,1,8,5,3,8,936
156,"PRA. PATHSHALA KANDHARPUR ROOM NO. 2",1023,774,0,1797,631,409,0,1040,1040,0,618,63,270,66,4,0,0,0,7,1,1,1,2,7,1040
157,"JU. HIGH SCHOOL KANDHARPUR ROOM NO. 1",952,785,0,1737,643,491,0,1134,1134,0,854,46,124,81,1,1,1,0,8,0,0,0,2,16,1134
