"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ASTBHUJA PRASAD TRIPATHI","2 - ADITYANATH","3 - RAJMATI NISHAD","4 - RAM BHUAL NISHAD","5 - INDRA DEO YADAVA","6 - FAIZ AHAMAD FAIZI","7 - MUNNA","8 - RAJIT MISHRA","9 - RAJESH","10 - RADHE MOHAN MISRA","11 - MOHD. WASEEM KHAN","12 - SUBASH KUMAR MAURYA","13 - ACHHE LAL GUPTA","14 - ASHOK","15 - RAMKISHUN","16 - None of the Above","Total Votes Secured"
60,"S.V.MANDIR ALINAGAR ROOM N0 6",203,163,0,366,118,93,0,211,26,0,4,199,5,1,0,0,0,0,0,1,0,0,0,0,1,0,211
61,"D.V.INTER COLLAGE JAFARA BAZAR ROOM N0 1",510,417,0,927,271,190,0,461,15,0,24,229,176,11,0,2,0,0,0,18,0,1,0,0,0,0,461
62,"D.V.INTER COLLAGE JAFARA BAZAR ROOM N0 2",375,347,0,722,182,156,0,338,285,0,19,31,235,23,0,3,1,0,0,23,2,0,0,0,0,1,338
63,"D.V.INTER COLLAGE JAFARA BAZAR ROOM N0 3",335,281,0,616,141,121,0,262,52,0,12,131,96,11,0,4,1,0,0,7,0,0,0,0,0,0,262
64,"D.V.INTER COLLAGE JAFARA BAZAR ROOM N0 4",463,421,0,884,268,193,0,461,400,0,17,255,167,9,0,1,0,0,0,8,0,0,0,0,1,3,461
65,"D.V.INTER COLLAGE JAFARA BAZAR ROOM N0 5",786,632,1,1419,410,289,0,699,288,0,47,181,416,25,1,3,0,0,0,23,0,0,0,0,0,3,699
66,"D.V.INTER COLLAGE JAFARA BAZAR ROOM N0 6",408,353,0,761,198,138,0,336,298,0,8,241,69,9,0,1,0,0,0,5,0,0,0,0,1,2,336
67,"D.V.INTER COLLAGE JAFARA BAZAR ROOM N0 7",670,570,0,1240,389,278,0,667,1,0,64,281,275,15,0,5,0,0,0,24,1,0,0,0,1,1,667
68,"D.V.INTER COLLAGE JAFARA BAZAR ROOM N0 8",536,461,0,997,275,175,0,450,151,0,27,80,275,30,1,4,0,0,1,23,0,1,0,1,0,7,450
69,"D.V.INTER COLLAGE JAFARA BAZAR ROOM N0 9",398,347,0,745,248,180,0,428,350,0,17,319,75,7,0,0,1,0,0,6,0,0,0,0,1,2,428
70,"D.V.INTER COLLAGE JAFARA BAZAR ROOM N0 10",528,420,0,948,295,178,0,473,272,0,37,216,194,8,1,5,0,0,0,6,0,0,0,1,1,4,473
71,"D.V.INTER COLLAGE JAFARA BAZAR ROOM N0 11",284,224,0,508,137,99,0,236,136,0,19,43,150,10,0,1,0,0,0,10,0,0,1,1,0,1,236
72,"D.V.INTER COLLAGE JAFARA BAZAR ROOM N0 12",218,199,0,417,120,96,0,216,65,0,14,92,88,7,1,0,0,0,1,5,0,0,0,4,2,2,216
73,"M.P.J.H.SCHOOL RAMDATTPUR HALL EAST",621,532,0,1153,379,295,0,674,162,0,21,473,139,7,0,2,0,1,1,20,1,3,1,1,0,4,674
74,"M.P.J.H.SCHOOL RAMDATTPUR HALL WEST",240,211,0,451,124,111,0,235,29,0,10,157,53,0,0,0,0,1,0,13,0,0,0,0,1,0,235
75,"M.P.J.H.SCHOOL RAMDATTPUR HALL EAST ROOM N0.3",575,481,0,1056,347,308,0,655,55,0,12,176,122,251,1,2,3,0,0,70,0,0,3,4,1,10,655
76,"M.P.J.H.SCHOOL RAMDATTPUR HALL WEST ROOM NO.4",262,219,0,481,140,106,0,246,246,0,19,25,146,25,0,1,1,0,0,29,0,0,0,0,0,0,246
77,"M.P.J.H.SCHOOL RAMDATTPUR ROOM N0.5",328,279,0,607,186,137,0,323,200,0,15,158,79,18,1,6,1,0,0,40,0,0,0,0,0,5,323
78,"M.P.M. MAHAVIDYALAY RAMDATTPUR ROOM N01",613,492,0,1105,375,233,0,608,30,0,11,55,422,17,0,86,1,0,0,11,0,0,2,1,0,2,608
79,"M.P.M. MAHAVIDYALAY RAMDATTPUR ROOM N01A",631,542,0,1173,360,261,0,621,571,0,18,87,416,11,1,52,0,0,1,29,0,0,0,0,3,3,621
80,"M.P.M. MAHAVIDYALAY RAMDATTPUR ROOM N02",315,259,0,574,159,101,0,260,65,0,10,51,173,13,0,10,0,0,0,2,0,1,0,0,0,0,260
81,"M.P.M. MAHAVIDYALAY RAMDATTPUR ROOM N03",478,420,0,898,241,176,0,417,176,0,16,49,264,35,0,9,0,1,0,33,1,2,1,0,1,5,417
82,"M.P.M. MAHAVIDYALAY RAMDATTPUR ROOM N04",369,322,0,691,216,154,0,370,347,0,15,267,49,24,1,0,0,0,1,10,0,0,0,0,1,2,370
83,"M.P.M. MAHAVIDYALAY RAMDATTPUR ROOM N05",282,251,0,533,129,121,0,250,176,0,12,171,43,17,0,2,0,0,1,3,0,0,0,0,0,1,250
84,"P.P.GHOSHIPUR ROOM NO.1",180,159,0,339,104,69,0,173,173,0,23,110,11,17,1,0,1,0,0,1,0,0,1,0,3,5,173
85,"P.P.GHOSHIPUR ROOM NO.2",665,566,0,1231,397,294,0,691,300,0,32,146,389,62,1,20,0,2,1,30,1,1,2,0,0,4,691
86,"P.P.GHOSHIPUR ROOM NO.3",478,392,0,870,279,218,0,497,168,0,23,158,250,21,0,17,1,1,0,22,0,1,0,0,0,3,497
87,"P.P.GHOSHIPUR ROOM NO.4",485,490,0,975,255,248,0,503,467,0,19,115,308,14,1,20,0,0,0,25,0,0,0,0,0,1,503
88,"LATE H.CHILDREN AKEDAMI TIWARIPUR ROOM N0 1",356,310,0,666,222,197,0,419,47,0,21,331,33,5,1,5,0,0,0,15,0,0,1,1,0,6,419
89,"LATE H.CHILDREN AKEDAMI TIWARIPUR ROOM N0 2",394,346,0,740,225,197,0,422,222,0,15,267,82,32,0,9,1,1,1,9,0,0,0,0,0,5,422
90,"LATE H.CHILDREN AKEDAMI TIWARIPUR ROOM N0 3",723,655,0,1378,359,318,0,677,667,0,32,323,171,111,1,4,0,1,1,27,0,0,1,2,0,3,677
91,"LATE H.CHILDREN AKEDAMI TIWARIPUR ROOM N0 4",188,138,0,326,74,62,0,136,65,0,13,40,55,6,0,7,0,0,0,13,1,0,1,0,0,0,136
92,"P.P.MYUNISPAL BORD ILAHIBAG ROOM NO.1",738,672,0,1410,370,279,0,649,113,0,24,52,370,65,2,97,1,0,1,31,0,0,1,0,1,4,649
93,"P.P.MYUNISPAL BORD ILAHIBAG ROOM NO.2",529,470,0,999,313,208,0,521,321,0,18,102,303,11,1,42,1,2,0,24,2,0,1,0,1,13,521
94,"P.P.MYUNISPAL BORD ILAHIBAG ROOM NO.3",716,604,0,1320,421,272,0,693,112,0,7,140,414,22,0,85,2,0,1,8,0,0,3,1,1,9,693
95,"P.P.MYUNISPAL BORD ILAHIBAG ROOM NO.4",558,493,0,1051,300,258,0,558,258,0,22,318,173,11,0,12,2,1,0,9,1,0,1,0,0,8,558
96,"MUTURJA HUSAIN H.S.SCHOOL BHARPURWA GHSHIKATARA ROOM N0 1",781,711,0,1492,390,381,0,771,431,0,26,610,74,31,0,4,1,0,0,16,0,0,1,1,0,7,771
97,"MUTURJA HUSAIN H.S.SCHOOL BHARPURWA GHSHIKATARA ROOM N0 2",610,548,0,1158,344,284,0,628,571,0,13,461,123,16,0,5,4,0,0,3,0,1,0,0,0,2,628
98,"MUTURJA HUSAIN H.S.SCHOOL BHARPURWA GHSHIKATARA ROOM N0 3",664,546,0,1210,407,256,0,663,87,0,19,459,148,17,1,9,0,0,1,3,0,0,1,1,1,3,663
99,"MUTURJA HUSAIN H.S.SCHOOL BHARPURWA GHSHIKATARA ROOM N0 4",773,742,0,1515,395,389,0,784,576,0,32,221,467,9,1,7,1,0,0,40,0,0,0,3,0,3,784
100,"MUTURJA HUSAIN H.S.SCHOOL BHARPURWA GHSHIKATARA ROOM N0 5",526,436,0,962,427,209,0,636,3,0,16,508,79,13,0,0,0,0,0,9,0,1,2,1,3,4,636
101,"ISLAMIYA NARSURY SCHOOL RAHMATNAGAR ROOM NO.1",536,437,1,974,303,217,0,520,220,0,20,194,282,11,0,4,0,0,0,7,0,0,0,0,0,2,520
102,"ISLAMIYA NARSURY SCHOOL RAHMATNAGAR TIN SHED",411,338,1,750,224,175,0,399,10,0,7,221,160,2,0,0,0,0,0,5,1,0,0,0,1,2,399
103,"ISLAMIYA NARSURY SCHOOL RAHMATNAGAR ROOM NO.2",424,375,0,799,267,199,0,466,313,0,15,365,77,2,0,0,0,0,0,4,0,0,0,0,0,3,466
104,"ISLAMIYA NARSURY SCHOOL RAHMATNAGAR ROOM NO.3",527,435,0,962,292,219,0,511,311,0,10,389,88,16,0,0,0,0,0,5,0,0,0,1,0,2,511
105,"ISLAMIYA NARSURY SCHOOL RAHMATNAGAR ROOM NO.4",246,227,0,473,130,102,0,232,112,0,17,9,182,7,0,12,0,0,0,3,0,0,0,0,0,2,232
106,"ISLAMIYA NARSURY SCHOOL RAHMATNAGAR ROOM NO.5",354,308,0,662,183,118,0,301,301,0,17,67,190,9,0,1,0,0,1,9,1,0,1,1,0,4,301
107,"ISLAMIYA NARSURY SCHOOL RAHMATNAGAR ROOM NO.6",490,442,0,932,250,211,0,461,361,0,10,219,200,12,0,6,2,0,0,7,0,0,1,1,1,2,461
108,"MARWAD INTER COLLAGE ISMAILPUR NASIRABAD ROOM NO.1",485,443,0,928,251,220,0,471,371,0,16,153,260,5,0,3,0,0,0,29,0,0,0,0,0,5,471
109,"MARWAD INTER COLLAGE ISMAILPUR NASIRABAD ROOM NO.2",335,289,0,624,191,142,0,333,34,0,7,254,61,7,0,0,0,0,0,2,0,0,0,1,0,1,333
110,"MARWAD INTER COLLAGE ISMAILPUR NASIRABAD ROOM NO.3",511,401,0,912,243,150,0,393,393,0,8,331,47,3,1,0,0,0,0,1,0,0,0,0,1,1,393
111,"MARWAD INTER COLLAGE ISMAILPUR NASIRABAD ROOM NO.4",368,363,0,731,183,174,0,357,357,0,18,25,270,13,1,1,0,0,1,26,0,0,0,0,0,2,357
112,"MARWAD INTER COLLAGE ISMAILPUR NASIRABAD ROOM NO.5",291,234,0,525,137,119,0,256,59,0,11,117,108,7,0,1,0,0,0,10,0,0,2,0,0,0,256
113,"MARWAD INTER COLLAGE ISMAILPUR NASIRABAD ROOM NO.6",445,421,0,866,246,209,0,455,152,0,22,346,63,10,0,1,0,0,0,10,0,0,0,0,1,2,455
114,"MARWAD INTER COLLAGE ISMAILPUR NASIRABAD ROOM NO.7",416,341,0,757,202,166,0,368,15,0,23,11,269,15,1,31,0,2,0,13,0,0,0,0,0,3,368
115,"MARWAD INTER COLLAGE ISMAILPUR NASIRABAD ROOM NO.8",283,232,0,515,131,111,0,242,30,0,11,34,175,4,0,8,0,0,0,5,0,0,0,0,0,5,242
116,"MARWAD INTER COLLAGE ISMAILPUR NASIRABAD ROOM NO.9",565,503,1,1069,228,219,0,447,25,0,26,42,320,25,0,16,0,0,0,14,0,0,1,2,0,1,447
117,"MARWAD INTER COLLAGE ISMAILPUR NASIRABAD ROOM NO.10",395,327,0,722,168,125,0,293,193,0,24,213,49,0,0,0,0,0,0,5,0,0,0,1,0,1,293
118,"MARWAD INTER COLLAGE ISMAILPUR NASIRABAD ROOM NO.11",264,262,0,526,164,124,0,288,3,0,26,47,183,1,0,18,0,0,0,12,0,0,0,0,0,1,288
119,"MARWAD INTER COLLAGE ISMAILPUR NASIRABAD ROOM NO.12",318,283,0,601,180,142,0,322,309,0,14,95,195,6,0,0,0,0,0,6,0,0,1,0,0,5,322
120,"MARWAD INTER COLLAGE ISMAILPUR NASIRABAD ROOM NO.13",424,416,0,840,218,181,0,399,399,0,16,29,311,24,1,0,0,0,0,10,2,0,1,1,0,4,399
121,"RAMDEI KANYA INTER COLLAGE DIWAN BAZAR ROOM NO.1",354,331,0,685,216,180,0,396,8,0,17,229,127,5,0,1,0,0,0,14,0,2,0,0,0,1,396
122,"RAMDEI KANYA INTER COLLAGE DIWAN BAZAR ROOM NO.2",432,363,0,795,261,221,0,482,282,0,16,355,96,3,0,0,0,0,0,9,0,0,0,0,1,2,482
123,"RAMDEI KANYA INTER COLLAGE DIWAN BAZAR ROOM NO.3",516,470,0,986,297,277,0,574,145,0,26,504,15,5,0,0,0,0,0,17,1,0,0,0,2,4,574
124,"RAMDEI KANYA INTER COLLAGE DIWAN BAZAR ROOM NO.4",270,237,0,507,160,130,0,290,21,0,18,177,81,6,0,1,0,0,0,2,0,0,1,1,1,2,290
125,"RAMDEI KANYA INTER COLLAGE DIWAN BAZAR ROOM NO.5",227,210,0,437,146,118,0,264,163,0,11,193,54,1,0,0,0,0,1,0,0,0,0,0,1,3,264
126,"RAMDEI KANYA INTER COLLAGE DIWAN BAZAR ROOM NO.6",557,478,0,1035,311,234,0,545,10,0,17,492,15,6,1,0,1,0,0,7,1,0,0,1,2,2,545
127,"D.A.V.INTER COLLAGE BUXIPUR ROOM NO.1 MIFTIPUR",432,359,0,791,229,180,0,409,209,0,9,238,134,8,0,3,0,0,0,12,0,0,0,0,0,5,409
128,"D.A.V.INTER COLLAGE BUXIPUR ROOM NO.2 MIFTIPUR",369,312,0,681,195,126,0,321,14,0,15,46,216,19,0,4,0,0,1,15,1,1,0,0,1,2,321
129,"D.A.V.INTER COLLAGE BUXIPUR ROOM NO.3 MIFTIPUR",302,273,0,575,145,128,0,273,5,0,19,65,178,7,0,0,1,0,0,1,0,0,0,0,0,2,273
130,"D.A.V.INTER COLLAGE BUXIPUR ROOM NO.4 MIFTIPUR",647,570,1,1218,370,286,0,656,656,0,14,391,204,20,0,2,0,0,1,18,1,1,0,0,1,3,656
131,"D.A.V.INTER COLLAGE BUXIPUR ROOM NO.5 MIFTIPUR",571,513,0,1084,365,288,0,653,653,0,21,522,83,3,0,0,0,0,1,16,1,0,1,1,1,3,653
132,"ANJUMAN ISLAMIYA SCHOOL KHUNIPUR ROOM N0 1",422,388,0,810,297,230,0,527,492,0,34,83,341,43,0,1,0,0,0,19,0,0,2,1,0,3,527
133,"ANJUMAN ISLAMIYA SCHOOL KHUNIPUR ROOM N0 2",220,154,0,374,125,78,0,203,38,0,2,17,170,7,0,0,0,0,0,6,0,0,0,0,0,1,203
134,"ANJUMAN ISLAMIYA SCHOOL KHUNIPUR ROOM N0 3",272,228,0,500,167,112,0,279,1,0,5,197,72,1,1,2,0,0,0,0,0,0,0,0,0,1,279
135,"ANJUMAN ISLAMIYA SCHOOL KHUNIPUR ROOM N0 4",467,395,1,863,302,200,0,502,464,0,11,276,163,41,1,0,0,0,0,8,1,0,0,1,0,0,502
136,"ANJUMAN ISLAMIYA SCHOOL KHUNIPUR ROOM N0 5",688,569,0,1257,373,244,0,617,617,0,37,76,415,41,2,4,0,0,0,40,0,0,0,0,0,2,617
137,"ANJUMAN ISLAMIYA SCHOOL KHUNIPUR ROOM N0 6",559,472,0,1031,321,255,0,576,560,0,38,197,298,22,1,0,0,0,0,10,0,0,2,0,0,8,576
138,"ANJUMAN ISLAMIYA SCHOOL KHUNIPUR ROOM N0 7",557,492,0,1049,281,228,0,509,504,0,40,167,282,9,1,0,0,0,0,6,0,0,1,0,2,1,509
139,"AGRASEN PABLIC SCHOOL DIWANDYARAM ROOM NO.1",560,480,0,1040,321,253,0,574,449,0,23,499,35,4,0,0,1,0,0,9,0,0,0,0,1,2,574
140,"AGRASEN PABLIC SCHOOL DIWANDYARAM ROOM NO.2",531,453,0,984,321,245,0,566,566,0,30,319,189,7,0,1,0,0,0,14,2,0,0,0,1,3,566
141,"AGRASEN PABLIC SCHOOL DIWANDYARAM ROOM NO.3",527,415,0,942,302,232,0,534,525,0,13,336,157,10,0,3,0,0,1,10,0,1,2,0,0,1,534
142,"GAVARNMENT GIRALS SCHOOL TURKMANPUR ROOM NO.1",460,361,0,821,248,198,0,446,41,0,17,344,38,34,0,1,0,0,0,6,0,1,1,1,1,2,446
143,"GAVARNMENT GIRALS SCHOOL TURKMANPUR ROOM NO.2",557,474,0,1031,263,282,0,545,145,0,23,463,22,21,0,0,2,0,0,5,2,1,1,2,0,3,545
144,"GAVARNMENT GIRALS SCHOOL TURKMANPUR ROOM NO.3",571,531,0,1102,329,274,0,603,598,0,21,322,212,22,0,5,2,0,1,10,0,1,0,0,2,5,603
