"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AFZAL SIDDIQUI","2 - USHA MAURYA","3 - NIRANJAN JYOTI","4 - RAKESH SACHAN","5 - ASHOK MISHRA","6 - ZAINUL ABDIN","7 - MOHAMMAD JAVED","8 - RAMKRISHNA TRIPATHI","9 - RAMLOCHAN SEN","10 - RUKMINI DEVI NISHAD","11 - ARVIND KUMAR","12 - CHANDRABHAN SINGH","13 - RANJANA KAKKAR","14 - SRIDEVI","15 - None of the Above","Total Votes Secured"
153,"P.S.  SATHARIYAN FATEHPUR  ROOM-2",462,381,0,843,260,241,0,501,506,0,49,27,387,29,0,1,1,1,0,1,0,1,0,1,3,501
154,"P.S.  ANDAULI  FATEHPUR  ROOM-1",446,328,0,774,270,216,0,486,382,0,366,7,28,69,2,0,0,0,2,0,0,0,1,2,9,486
155,"P.S.  ANDAULI  FATEHPUR  ROOM-2",439,410,0,849,265,241,0,506,506,0,337,13,28,119,1,0,0,2,0,0,0,1,0,2,3,506
156,"P.S.  ANDAULI  FATEHPUR  ROOM-3",521,455,1,977,250,266,0,516,486,0,304,29,27,139,1,0,1,0,0,1,1,3,0,2,8,516
157,"P.S.  BIBI PUR  FATEHPUR  ROOM-1",706,602,0,1308,423,361,0,784,700,0,245,47,174,291,3,4,2,1,0,1,2,2,3,2,7,784
158,"P.S.  BIBI PUR  FATEHPUR  ROOM-2",487,447,0,934,300,253,0,553,488,0,45,231,239,22,2,3,3,1,1,0,1,2,0,0,3,553
159,"P.S.  NARAYAN PUR  FATEHPUR  ROOM-1",684,622,0,1306,455,329,0,784,722,0,291,53,362,21,3,2,1,5,1,2,4,4,3,6,26,784
160,"P.S.  NARAYAN PUR  FATEHPUR  ROOM-2",293,255,0,548,184,156,0,340,320,0,126,31,158,9,0,1,0,1,0,0,0,1,3,3,7,340
161,"P.S.  MAU  FATEHPUR  ROOM-1",539,480,0,1019,340,226,0,566,557,0,229,76,209,25,0,0,1,2,1,0,2,4,3,4,10,566
162,"P.S.  MAU  FATEHPUR  ROOM-2",347,313,0,660,274,202,0,476,476,0,150,87,207,25,0,0,0,1,0,0,0,1,0,2,3,476
163,"P.S. RARA  ROOM -1",562,484,0,1046,383,253,0,636,626,0,208,23,307,80,0,1,2,5,1,0,0,0,2,6,1,636
164,"P.S. RARA  ROOM -2",433,335,0,768,265,180,0,445,401,0,134,23,227,50,0,2,0,2,0,0,1,0,1,1,4,445
165,"P.S. RARA  ROOM -3",488,377,0,865,258,176,0,434,430,0,108,29,269,8,0,0,0,4,0,2,2,0,0,5,7,434
166,"P.S. MADAN PUR MAJRAY RARA",347,293,0,640,235,200,0,435,435,0,137,113,124,46,1,0,0,1,7,0,0,1,1,2,2,435
167,"P.S. UMARI",440,380,0,820,304,246,0,550,550,0,112,53,319,52,0,0,0,4,1,0,0,0,3,3,3,550
168,"P.S. DHAKAULI",497,438,0,935,324,291,0,615,515,0,152,15,368,35,2,0,3,3,6,2,3,8,4,0,14,615
169,"P.S. MADRIYA PUR",484,407,0,891,310,236,0,546,546,0,215,25,192,97,3,0,1,6,1,0,1,1,2,1,1,546
170,"P.S.  KAWAI ROOM-1",478,408,0,886,321,247,0,568,550,0,194,13,263,60,1,0,0,5,2,4,2,4,4,4,12,568
171,"P.S.  KAWAI ROOM-2",466,410,0,876,322,249,0,571,556,0,91,14,355,72,3,1,1,0,1,1,1,3,1,5,22,571
172,"P.S. MALAKA ROOM-1",749,587,0,1336,516,367,0,883,880,0,131,11,482,202,3,4,3,8,0,1,2,3,2,9,22,883
173,"P.S. MALAKA ROOM-2",511,441,0,952,344,283,0,627,624,0,202,20,318,47,1,2,2,7,2,3,2,3,5,1,12,627
174,"P.S. BARANPUR",774,653,0,1427,503,346,0,849,804,0,194,81,446,75,1,2,5,13,4,1,4,6,2,5,10,849
175,"P.S. SONHI",572,482,0,1054,386,306,0,692,600,0,207,13,331,99,3,2,0,10,2,2,1,3,3,6,10,692
176,"P.S. SARAY ABHAYA",327,268,0,595,229,193,0,422,422,0,166,5,79,165,0,5,0,0,0,0,0,0,0,1,1,422
177,"P.S. MANIPUR",523,426,0,949,370,243,0,613,613,0,181,40,318,45,3,0,1,6,1,2,2,1,1,3,9,613
178,"P.S. RAMWA PANTHUA  -I",792,648,0,1440,527,406,0,933,833,0,378,52,364,92,3,3,1,7,3,1,2,1,2,7,17,933
179,"P.S. RAMWA PANTHUA  ROOM -1",734,630,0,1364,460,354,0,814,814,0,302,54,396,26,2,0,3,6,0,0,0,2,6,5,12,814
180,"P.S. RAMWA PANTHUA  ROOM -2",651,525,0,1176,424,284,0,708,704,0,228,101,311,34,3,1,3,4,2,0,3,2,3,1,12,708
181,"P.S. PANTHUA",413,341,0,754,311,253,0,564,531,0,105,135,162,154,3,1,0,0,0,0,0,2,1,1,0,564
182,"P.S. BASWANPUR MAJRE  RAMWA PANTHUA",434,357,0,791,278,264,0,542,455,0,78,16,176,258,4,3,1,2,1,0,0,0,1,0,2,542
183,"P.S. MADARIPUR KALA",387,363,0,750,300,244,0,544,544,0,67,4,326,125,0,1,0,3,2,1,0,2,2,6,5,544
184,"P.S. CHAK MUGAL",322,286,0,608,303,187,0,490,478,0,92,3,279,87,1,0,0,1,1,2,0,0,7,8,9,490
185,"P.S. SARI SAID KHAN",539,473,0,1012,361,349,0,710,710,0,313,62,192,110,4,0,1,8,3,3,3,0,1,2,8,710
186,"P.S. SUDWYA",389,344,0,733,303,245,0,548,500,0,179,21,291,33,1,3,3,4,0,1,2,1,2,3,4,548
187,"P.S. KASHIM PUR BIBIHAT",449,400,1,850,318,320,0,638,498,0,216,21,365,11,1,2,1,7,0,0,0,1,2,2,9,638
188,"P.S. AMBHI",596,499,0,1095,393,329,0,722,707,0,200,22,356,108,3,2,0,3,1,1,2,3,3,6,12,722
189,"P.S. SHUKPUR",333,300,0,633,264,223,0,487,487,0,119,58,263,25,0,1,2,4,2,2,2,1,4,1,3,487
190,"P.S. BETI SADAT",439,392,0,831,304,293,0,597,597,0,124,60,261,136,1,0,0,5,1,1,0,1,2,1,4,597
191,"EKIKRIT U.P.S. NEW BULDINJ . CHAK BARARI  ROOM -1",463,433,0,896,328,264,0,592,565,0,257,13,233,67,0,1,0,1,0,3,1,1,0,4,11,592
192,"EKIKRIT U.P.S. NEW BULDINJ . CHAK BARARI  ROOM -2",398,362,0,760,235,204,0,439,349,0,89,21,187,134,1,0,0,0,0,0,0,1,0,1,5,439
193,"EKIKRIT U.P.S. NEW BULDINJ . CHAK BARARI  ROOM -3",467,434,0,901,338,283,0,621,584,0,180,45,307,48,5,2,1,8,0,1,4,0,5,6,9,621
194,"P.S. KASVPUR",206,169,0,375,160,138,0,298,238,0,68,0,57,163,1,1,1,2,1,0,0,0,1,1,2,298
195,"P.S. MOHMMADPUR NEWADA",383,309,0,692,247,216,0,463,450,0,163,70,210,6,0,0,1,4,1,0,1,0,1,4,2,463
196,"P.S. KALILPUR",436,354,0,790,334,264,0,598,598,0,112,146,304,9,2,0,2,5,0,0,2,2,5,1,8,598
197,"P.S. KARAMCHANDRA PUR SADA",558,506,0,1064,432,398,0,830,830,0,257,11,144,410,3,1,1,2,0,0,0,0,0,1,0,830
198,"P.S. LATEEF PUR",612,545,0,1157,416,358,0,774,740,0,250,15,419,47,1,2,1,11,2,1,1,4,6,5,9,774
199,"P.S. BAMHRAULI",381,297,0,678,275,219,0,494,494,0,199,65,208,9,1,1,0,2,1,2,0,0,3,2,1,494
200,"P.S. HASNAPUR",488,442,0,930,320,267,0,587,140,0,162,9,370,36,1,2,0,2,0,0,0,1,1,1,2,587
201,"PURBA M.V. HABATPUR",725,627,0,1352,450,318,0,768,768,0,171,94,384,72,2,1,0,12,0,1,2,5,2,7,15,768
202,"P.S. MISHRA MAU",368,304,0,672,269,219,0,488,488,0,93,10,138,209,4,1,0,10,2,1,2,4,5,6,3,488
203,"P.S. CHAUFERWA",349,315,0,664,282,250,0,532,527,0,292,15,56,158,3,0,1,0,0,2,1,1,2,1,0,532
204,"P.S. AHMAD PUR",415,393,0,808,347,287,0,634,634,0,188,46,325,57,1,0,1,1,0,0,0,0,2,2,11,634
205,"P.S. PADRI",599,472,0,1071,345,274,0,619,400,0,173,30,368,35,1,0,1,3,2,1,0,2,0,2,1,619
206,"P.S. GAYAS PUR",394,367,0,761,267,228,0,495,495,0,108,31,267,81,1,1,0,2,2,0,1,0,0,0,1,495
207,"P.S. JALAL PUR ITAULI",532,422,0,954,364,281,0,645,640,0,135,78,209,188,4,2,1,7,0,4,3,3,2,1,8,645
208,"P.S. PILKHINI  ROOM -1",524,434,0,958,336,280,0,616,616,0,158,31,288,104,0,1,0,7,0,2,0,3,3,3,16,616
209,"P.S. PILKHINI  ROOM -2",674,572,0,1246,372,315,0,687,514,0,236,45,343,19,3,2,1,6,12,0,3,0,3,14,0,687
210,"U. P.S.MAKANPUR ROOM -1",713,606,0,1319,420,317,0,737,700,0,175,56,417,46,2,0,1,5,8,2,0,1,4,4,16,737
211,"U. P.S.MAKANPUR ROOM -2",506,417,0,923,265,244,0,509,200,0,113,29,120,236,0,1,2,3,1,0,1,0,0,2,1,509
212,"U. P.S.MAKANPUR ROOM -3",468,403,0,871,270,235,0,505,2,0,195,32,208,46,2,2,1,1,1,1,4,4,2,3,3,505
213,"P.S. MOHAI  ROOM -1",638,523,0,1161,362,347,0,709,709,0,377,6,45,267,3,4,0,0,2,0,1,0,0,0,4,709
214,"P.S. MOHAI  ROOM -2",559,454,0,1013,328,269,0,597,490,0,231,22,284,43,0,1,0,6,1,1,1,0,1,2,4,597
215,"P.S. MANPUR",338,302,0,640,205,189,0,394,349,0,135,6,210,23,1,1,1,1,1,0,1,0,4,5,5,394
216,"SI. P. V.  MOHDPUR KALA ROOM -1",781,704,0,1485,385,461,0,846,842,0,271,23,75,445,5,0,1,2,0,0,4,1,2,5,12,846
217,"SI. P. V.  MOHDPUR KALA ROOM -2",400,350,0,750,174,209,0,383,383,0,104,5,23,244,1,0,0,0,0,0,0,0,2,1,3,383
218,"P.S. PARMI KUTABPUR",462,420,0,882,262,263,0,525,110,0,240,4,111,150,3,0,0,2,0,0,1,0,0,1,13,525
219,"P.S. SACHOLI",300,258,0,558,242,185,0,427,400,0,203,11,186,4,0,0,1,1,3,1,2,1,5,1,8,427
220,"P.S. BARI KURAD ROOM -1",441,393,1,835,342,327,0,669,665,0,175,13,322,140,3,0,0,3,0,0,0,1,0,5,7,669
221,"P.S. BARI KURAD ROOM -2",423,379,0,802,316,271,0,587,545,0,210,52,245,55,1,0,2,3,0,1,1,2,5,4,6,587
222,"P.S. KASHIMPUR ABHAPUR",481,401,0,882,307,300,0,607,607,0,171,23,121,275,3,1,0,2,2,0,2,1,1,1,4,607
223,"P.S. KOADR PUR",310,262,0,572,229,183,0,412,412,0,133,32,170,44,0,2,0,5,7,1,0,2,2,6,8,412
224,"P.S. ABDULLA PUR  GHURI",276,233,0,509,231,212,0,443,443,0,73,23,308,17,2,0,0,6,0,2,0,1,4,4,3,443
225,"MA HANS VAHINI GYAN NIKUND VIDHYLAYA RASHOOLPUR",599,489,0,1088,377,305,0,682,680,0,262,20,342,43,0,1,2,2,0,1,2,0,0,2,5,682
226,"PANCHYAT GHAR DIHULI",638,579,0,1217,448,452,0,900,801,0,238,24,400,171,8,1,9,5,3,1,2,4,8,6,20,900
227,"P.S. SARAY UDAI",742,658,0,1400,378,417,0,795,792,0,395,20,287,60,2,3,3,6,2,0,0,2,5,1,9,795
228,"P.S.  MURAO  ROOM -1",612,502,0,1114,378,317,0,695,668,0,394,15,177,88,2,1,1,1,3,3,2,0,0,2,6,695
229,"P.S.  MURAO  ROOM -2",581,453,0,1034,362,257,0,619,500,0,114,49,407,34,0,0,2,6,0,0,0,0,1,2,4,619
230,"P.S. ASIK PUR AURAIYA",534,425,0,959,342,312,0,654,394,0,470,9,101,51,1,1,1,3,1,1,1,1,0,3,10,654
231,"P.S. GHURI BUJURAG",637,520,0,1157,411,346,0,757,732,0,293,13,211,220,2,0,1,1,2,0,2,1,4,4,3,757
232,"P.S. SUKUI",415,320,0,735,286,224,0,510,440,0,140,11,326,12,2,1,0,4,2,0,4,0,2,3,3,510
233,"P.S.  KATHERWA",590,470,0,1060,357,276,0,633,633,0,306,18,237,52,3,2,0,2,2,0,2,1,2,3,3,633
234,"P.S.  AHEWEA",283,232,0,515,181,141,0,322,200,0,19,14,283,5,0,0,0,1,0,0,0,0,0,0,0,322
235,"P.S.  SEMRA",465,422,0,887,324,267,0,591,591,0,199,12,304,52,1,0,1,6,2,2,1,1,1,3,6,591
236,"P.S.  BHALEWA  ROOM -1",657,512,0,1169,323,292,0,615,580,0,175,51,229,116,0,3,3,6,3,0,0,2,2,7,18,615
237,"P.S.  BHALEWA  ROOM -2",653,537,0,1190,307,268,0,575,575,0,122,26,367,22,1,1,3,10,2,2,2,0,5,4,8,575
238,"P.S. SAKHIYAON",758,715,0,1473,427,428,0,855,855,0,184,173,364,67,4,1,1,10,2,3,4,3,4,5,30,855
239,"P.S.  SARAY MOHAN SALEM PUR",642,517,0,1159,359,310,0,669,669,0,252,27,246,105,3,0,0,6,1,0,1,1,4,6,17,669
240,"P.S. SARAY MANDA",481,392,0,873,285,265,0,550,500,0,186,5,299,35,0,0,0,4,2,3,0,1,2,6,7,550
241,"P.S. MALAO  ROOM -1",654,530,0,1184,410,336,0,746,535,0,216,118,339,37,2,1,1,6,1,6,0,1,3,6,9,746
242,"P.S. MALAO  ROOM -2",284,245,0,529,190,171,0,361,327,0,111,34,196,8,0,0,0,2,2,1,0,1,0,3,3,361
243,"P.S.  KHARSOLA",313,264,0,577,196,201,0,397,397,0,125,160,67,23,0,0,2,3,0,0,0,2,2,7,6,397
244,"P.S. KWAJIGIRPUR SMRIYA",474,401,0,875,350,265,0,615,615,0,183,39,355,8,1,0,1,5,3,3,1,1,3,3,9,615
245,"P.S. SITAPUR MAJRE RAMPUR THARIYAON ROOM -1",574,523,0,1097,392,306,0,698,694,0,248,35,70,304,3,4,1,4,5,1,5,1,2,6,9,698
246,"P.S. SITAPUR MAJRE RAMPUR THARIYAON ROOM -2",279,258,0,537,180,166,0,346,299,0,161,76,65,35,0,1,0,1,2,0,0,0,2,2,1,346
247,"P.S. KARNPUR  MAJRE RAMPUR THARIYAON  ROOM -1",548,459,0,1007,352,287,0,639,630,0,188,51,343,24,0,1,0,3,1,1,1,2,11,1,12,639
248,"P.S. KARNPUR  MAJRE RAMPUR THARIYAON  ROOM -2",873,696,0,1569,500,430,0,930,900,0,165,69,536,134,2,2,2,7,3,0,1,0,3,1,5,930
249,"P.S. RAMPUR THARIYAON ROOM -1",474,440,0,914,308,274,0,582,582,0,224,55,250,17,1,0,1,3,12,2,5,2,4,2,4,582
250,"P.S. RAMPUR THARIYAON ROOM -2",397,342,0,739,243,169,0,412,412,0,135,51,191,20,1,0,0,2,6,1,0,2,0,0,3,412
251,"P.S. RAMPUR THARIYAON ROOM -3",746,648,0,1394,451,391,0,842,842,0,318,49,389,60,3,0,1,1,5,3,1,1,4,4,3,842
252,"P.S. BHARAT PUR MAJRE  RAMPUR THARIYAON  ROOM-1",559,499,0,1058,335,297,0,632,632,0,304,106,89,104,2,1,1,0,1,0,0,2,2,10,10,632
253,"P.S. BHARAT PUR MAJRE  RAMPUR THARIYAON  ROOM-2",429,384,0,813,301,249,0,550,550,0,102,58,151,226,1,0,0,0,1,0,3,1,3,3,1,550
254,"P.S. KARIYA MAU",323,283,0,606,241,196,0,437,437,0,123,175,114,20,1,0,1,1,0,0,0,0,0,1,1,437
255,"P.S. ARABPUR",288,246,0,534,205,178,0,383,383,0,154,104,101,9,0,0,0,0,1,1,2,2,1,4,4,383
256,"P.S. RAMPUR",492,402,0,894,291,267,0,558,558,0,164,74,194,107,0,1,0,2,0,2,4,2,4,1,3,558
257,"P.S.  IMAD PUR",416,358,0,774,276,241,0,517,517,0,110,100,67,223,0,2,0,2,1,1,1,2,2,1,5,517
258,"ANYA P.S. TEKSARI BUJJURAG ROOM-1",441,397,0,838,288,301,0,589,511,0,195,16,91,267,3,2,0,1,0,0,1,1,1,2,9,589
259,"ANYA P.S. TEKSARI BUJJURAG ROOM-2",675,578,0,1253,388,391,0,779,779,0,218,188,109,240,3,0,2,3,4,2,1,1,0,1,7,779
260,"P.S. MUSAIDA PUR",487,438,0,925,328,323,0,651,651,0,365,44,197,11,1,0,0,4,3,1,1,0,3,5,16,651
261,"KANYA P.S.  AURAI   ROOM-1",826,652,0,1478,425,304,0,729,729,0,388,8,228,95,0,1,1,2,1,0,1,0,0,2,2,729
262,"KANYA P.S.  AURAI   ROOM-2",785,618,0,1403,453,310,0,763,763,0,277,47,287,91,8,0,2,3,2,4,3,5,9,9,16,763
263,"P.S.  AURAI   ROOM-1",610,450,0,1060,290,245,0,535,535,0,267,14,179,46,0,0,0,1,2,0,3,0,4,6,13,535
264,"KANYA P.S.  AURAI   ROOM-2",715,565,0,1280,365,299,0,664,664,0,231,36,234,120,6,7,2,5,1,0,2,5,5,1,9,664
265,"DRASH I.C. BAHRAMPUR ROOM -1",685,550,0,1235,447,354,0,801,801,0,140,29,498,95,4,0,1,5,2,1,2,4,2,8,10,801
266,"DRASH I.C. BAHRAMPUR ROOM -2",858,735,0,1593,470,446,0,916,916,0,302,16,246,303,7,4,3,5,1,3,2,3,4,10,7,916
267,"P.S. RASOOLA BAD",608,450,0,1058,335,182,0,517,507,0,23,12,135,326,4,1,0,4,1,1,1,0,1,2,6,517
268,"P.S. CHAK KORRA SADAT  ROOM - 1",515,435,0,950,314,282,0,596,596,0,252,12,206,107,0,0,1,3,2,0,2,0,2,2,7,596
269,"P.S. CHAK KORRA SADAT  ROOM - 2",356,284,0,640,193,169,0,362,362,0,120,131,63,42,0,0,0,2,0,0,0,0,0,0,4,362
270,"U. P.S. CHAK KORRA SADAT  ROOM -1",271,184,0,455,97,71,0,168,151,0,82,14,45,18,0,0,0,0,1,0,0,0,0,3,5,168
271,"U. P.S. CHAK KORRA SADAT  ROOM -2",693,540,0,1233,353,274,0,627,627,0,241,42,140,180,4,2,1,3,2,1,2,1,0,3,5,627
272,"P.S. MEESA ROOM -1",566,475,0,1041,346,185,0,531,530,0,172,36,236,61,2,2,1,5,1,0,1,2,2,1,9,531
273,"P.S. MEESA ROOM -2",244,201,0,445,160,109,0,269,189,0,80,18,124,41,0,0,0,1,0,0,1,0,1,1,2,269
274,"P.S. SAHI PUR",564,471,0,1035,351,320,0,671,671,0,261,5,156,220,5,0,0,7,1,0,2,0,1,5,8,671
275,"P.S. JAY SINGH PUR MAJRE SANGAON",348,315,0,663,311,206,0,517,514,0,44,19,141,301,1,0,2,2,0,0,1,0,0,2,4,517
276,"P.S. SANGAON",708,601,0,1309,445,393,0,838,837,0,323,40,325,117,3,1,1,4,1,3,1,2,2,3,12,838
277,"P.S. CHAK NATHAN PUR",423,393,0,816,325,276,0,601,590,0,227,7,141,180,0,0,6,5,7,1,1,4,3,5,14,601
278,"P.S. HASIM PUR BHAID PUR  ROOM 1",852,689,0,1541,534,402,0,936,900,0,376,52,397,42,8,0,2,11,5,1,3,3,3,10,23,936
279,"P.S. HASIM PUR BHAID PUR  ROOM 2",243,191,0,434,143,97,0,240,238,0,38,3,182,5,1,2,1,4,1,0,1,0,0,1,1,240
280,"P.S. ASWA BAKS PUR",495,396,0,891,283,227,0,510,501,0,210,3,90,192,1,0,0,1,0,0,1,1,1,0,10,510
281,"P.S. CHITAMPUR  ROOM -1",475,396,0,871,288,221,0,509,250,0,222,21,216,39,2,3,0,0,0,1,0,1,1,3,0,509
282,"P.S. CHITAMPUR  ROOM 2",471,389,0,860,276,226,0,502,489,0,264,64,111,41,0,1,1,3,1,0,1,1,4,2,8,502
283,"P.S. RASOOL BJABAICHA",584,471,0,1055,375,323,0,698,698,0,208,14,234,230,1,2,0,2,1,2,1,0,1,1,1,698
284,"P.S. DANIYAL PUR ROOM - 1",538,458,0,996,358,304,0,662,655,0,322,93,187,24,1,1,6,2,2,2,3,1,2,7,9,662
285,"P.S. DANIYAL PUR ROOM - 2",515,410,0,925,380,269,0,649,124,0,288,48,255,12,1,0,1,5,2,3,3,0,5,11,15,649
286,"P.S. FAREED PUR USRAINA",362,290,0,652,226,218,0,444,419,0,137,62,131,106,3,0,1,1,0,0,0,0,0,2,1,444
287,"SWAMI CHANDRA HAS I.C. HASWA ROOM -1",821,733,0,1554,451,465,0,916,915,0,232,36,259,362,7,1,7,4,2,0,2,0,1,1,2,916
288,"SWAMI CHANDRA HAS I.C. HASWA ROOM -2",782,623,0,1405,464,310,0,774,725,0,177,4,81,448,11,5,26,2,3,0,3,2,2,1,9,774
289,"P.S.  HASWA ROOM -1",772,565,0,1337,436,342,0,778,754,0,305,19,183,194,1,1,33,2,2,2,2,2,3,10,19,778
290,"P.S.  HASWA ROOM -2",447,367,0,814,258,243,0,501,496,0,73,8,311,100,2,0,2,1,0,0,0,1,0,1,2,501
291,"P.S.  HASWA ROOM -3",462,413,0,875,228,200,0,428,368,0,158,5,217,26,0,0,0,4,0,0,0,2,5,1,10,428
292,"KANYA U.P.S. HASWA",863,660,0,1523,465,408,0,873,260,0,149,12,350,324,6,3,1,5,0,1,0,2,3,6,11,873
293,"P.S. EKARI  ROOM -1",856,663,0,1519,492,464,0,956,953,0,212,13,253,428,8,3,1,3,0,2,2,3,3,9,16,956
294,"P.S. EKARI  ROOM -2",675,594,0,1269,439,387,0,826,826,0,154,55,408,160,6,2,3,8,2,1,3,1,10,1,12,826
295,"P.S. ATRAHA",695,546,0,1241,473,363,0,836,836,0,272,60,195,278,5,1,0,2,3,0,1,0,1,5,13,836
296,"P.S. TEESI",722,572,0,1294,493,392,0,885,700,0,254,38,437,126,4,1,2,1,3,4,2,4,4,3,2,885
297,"P.S. SHAHABUDDIN PUR",237,212,0,449,172,160,0,332,332,0,72,20,33,191,0,2,0,5,1,1,0,2,0,1,4,332
298,"P.S. MICHKI ROOM -1",528,427,1,956,324,313,0,637,533,0,77,34,145,352,8,0,0,1,0,1,1,3,2,3,10,637
299,"P.S. MICHKI ROOM -2",422,351,0,773,293,239,0,532,496,0,128,20,107,258,1,1,1,1,1,0,1,1,1,4,7,532
300,"P.S.  BARSARA",226,167,0,393,144,115,0,259,258,0,47,18,149,42,0,1,0,1,0,0,0,0,0,0,1,259
301,"P.S. FAREEDPUR",681,551,0,1232,410,321,0,731,709,0,183,172,111,224,4,0,2,6,0,2,3,5,5,4,10,731
302,"SA. M. KANDR SEMARIY KHAIRHA KALRWAPUR  ROOM -1",556,455,0,1011,346,196,0,542,211,0,179,23,226,91,1,2,1,1,1,0,2,2,0,4,9,542
303,"SA. M. KANDR SEMARIY KHAIRHA KALRWAPUR  ROOM -2",526,414,0,940,316,260,0,576,572,0,196,41,262,54,3,0,1,2,1,4,0,1,1,3,7,576
304,"P.S. KHARHA MAJRE SEMARI MAY KHAYRHA",218,179,0,397,154,148,0,302,290,0,46,8,51,188,3,0,1,0,0,1,0,1,3,0,0,302
305,"U. P.S. KUSUMBHI ROOM.1",649,522,0,1171,416,312,0,728,575,0,151,8,429,112,1,1,4,6,0,1,1,2,4,3,5,728
306,"U. P.S. KUSUMBHI ROOM.2",851,634,0,1485,487,324,0,811,809,0,152,13,498,115,3,1,8,7,2,1,3,3,0,0,5,811
307,"P.S. KUSUMBHI",780,608,0,1388,475,319,0,794,280,0,285,15,344,119,1,1,3,7,2,4,1,1,4,3,4,794
308,"U. P.S. CHICHNI ROOM-1",518,391,0,909,339,216,0,555,500,0,113,16,172,234,11,1,0,0,0,0,2,0,1,2,3,555
309,"U. P.S. CHICHNI ROOM-2",659,494,0,1153,379,316,0,695,692,0,164,21,357,99,1,0,0,8,2,1,1,2,5,17,17,695
310,"P.S. JAMLA MAU",667,492,0,1159,406,295,0,701,400,0,199,6,355,119,1,2,1,4,2,0,1,3,3,4,1,701
311,"P.S. RITHWAN  ROOM -1",501,407,0,908,342,306,0,648,311,0,125,199,209,88,1,0,1,3,0,4,0,5,3,6,4,648
312,"P.S. RITHWAN  ROOM -1",453,393,0,846,249,166,0,415,411,0,81,25,158,138,1,0,0,3,1,0,2,1,0,1,4,415
313,"KANYA P.S. BHAIRWAN ROOM 1",380,318,0,698,295,235,0,530,390,0,114,114,196,80,0,1,3,5,1,0,1,3,4,2,6,530
314,"KANYA P.S. BHAIRWAN ROOM 2",431,352,0,783,223,196,0,419,395,0,118,19,194,71,1,0,2,0,1,1,3,1,3,1,4,419
315,"P.S. TEEKAR  ROOM -1",600,486,0,1086,378,268,0,646,643,0,83,122,104,317,3,0,0,4,1,1,1,2,2,3,3,646
316,"P.S. TEEKAR  ROOM -2",611,529,0,1140,418,330,0,748,701,0,200,177,243,69,3,4,1,8,1,2,4,2,9,3,22,748
317,"P.S. GENDURI",569,501,0,1070,406,352,0,758,113,0,270,17,380,73,0,0,0,5,1,1,1,0,1,2,7,758
318,"P.S. SUBEDARPUR MAJRE DHRAMPUR SANTO ROOM-1",424,333,0,757,212,109,0,321,300,0,93,13,139,63,0,1,1,4,1,1,1,0,1,0,3,321
319,"P.S. SUBEDARPUR MAJRE DHRAMPUR SANTO ROOM-2",475,403,0,878,315,241,0,556,550,0,173,1,61,287,4,0,2,3,0,0,3,3,2,6,11,556
320,"U. P.S.DHRAMPUR SANTO ROOM-1",456,386,0,842,237,209,0,446,345,0,156,15,241,23,0,0,0,2,1,0,0,1,0,2,5,446
321,"U. P.S.DHRAMPUR SANTO ROOM-2",367,288,0,655,177,142,0,319,310,0,95,2,174,30,0,0,0,6,2,1,2,0,1,0,6,319
322,"U. P.S.DHRAMPUR SANTO ROOM-3",559,421,0,980,289,208,0,497,497,0,72,28,325,56,1,3,1,5,1,0,0,0,0,2,3,497
323,"U. P.S.DHRAMPUR SANTO ROOM-4",699,524,1,1224,406,286,0,692,689,0,143,54,302,151,3,3,3,6,8,1,3,2,4,3,6,692
324,"P.S. SANTO PEET",754,624,0,1378,420,423,0,843,820,0,182,37,356,233,2,2,0,10,0,2,2,2,3,6,6,843
325,"P.S. RASOOL PUR URF VAISA PUR",502,436,0,938,317,297,0,614,310,0,159,90,308,34,3,0,1,7,2,1,0,1,2,1,5,614
326,"P.S. SANTO SULTANPUR",594,474,0,1068,331,301,0,632,532,0,211,26,250,109,1,1,2,2,3,0,1,3,7,6,10,632
327,"P.S. SANTO JOGA  ROOM -1",714,595,0,1309,354,350,0,704,600,0,167,14,258,227,1,1,1,1,4,3,3,3,4,3,14,704
328,"P.S. SANTO JOGA  ROOM -2",813,714,0,1527,411,449,0,860,779,0,332,28,385,67,0,1,1,7,0,2,2,1,2,5,27,860
329,"P.S. BAHUA  ROOM -1",627,531,0,1158,289,291,0,580,24,0,223,4,154,169,3,1,0,3,0,3,1,3,1,5,10,580
330,"P.S. BAHUA  ROOM -2",675,562,0,1237,385,290,0,675,675,0,118,9,449,67,4,4,2,6,2,1,2,1,2,1,7,675
331,"INTER COLLAG BAHUA   ROOM -1",448,381,0,829,306,191,0,497,494,0,163,7,260,40,2,0,2,3,3,0,4,3,1,3,6,497
332,"INTER COLLAG BAHUA   ROOM -2",318,274,0,592,223,162,0,385,350,0,21,8,328,18,1,1,0,2,0,0,0,1,2,1,2,385
333,"INTER COLLAG BAHUA   ROOM -3",632,528,0,1160,347,256,0,603,589,0,155,9,343,75,0,1,0,3,0,0,1,2,3,7,4,603
334,"INTER COLLAG BAHUA   ROOM -4",593,470,0,1063,312,247,0,559,559,0,192,9,268,61,3,0,1,4,0,0,0,2,2,4,13,559
