"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJAY PAL SINGH JATAV","2 - ASHOK KUMAR DOHAREY","3 - PREMDAS KATERIYA","4 - HANS MUKHI KORI","5 - UJIYARE LAL DOHARE","6 - PREM CHANDRA","7 - DR MUKESH SINGH DOHARE","8 - VINEET KUMAR GAUTAM","9 - SIYA RAM PASWAN","10 - HAR BILASH DOHERY","11 - None of the Above","Total Votes Secured"
59,"P.V. SADULLAPUR",590,483,0,1073,357,317,0,674,670,0,241,101,297,24,1,1,0,3,0,1,5,674
60,"P.V.KATARAMANEPUR PHAPHUND",487,391,0,878,317,275,0,592,583,0,90,388,82,8,4,2,1,6,3,2,6,592
61,"P.V. KASBA PHAPHUND FIRST R.N.1",259,243,0,502,176,161,0,337,290,0,18,98,207,4,1,4,0,0,1,2,2,337
62,"P.V.KASBA PHAPHUND FIRST R.N.2",592,504,0,1096,324,204,0,528,520,0,40,208,265,4,1,1,0,2,0,4,3,528
63,"G.L.K.INTER COLLAGE KASBA PHAPHUND R.N.1",646,591,0,1237,350,272,0,622,604,0,54,143,391,18,9,1,0,0,2,1,3,622
64,"G.L.K.INTER COLLAGE KASBA PHAPHUND R.N.2",369,318,0,687,241,173,0,414,396,0,21,222,166,3,0,0,0,1,0,0,1,414
65,"G.L.K.INTER COLLAGE KASBA PHAPHUND R.N.3",351,297,0,648,230,163,0,393,354,0,13,75,284,15,1,0,0,2,1,1,1,393
66,"G.L.K.INTER COLLAGE KASBA PHAPHUND R.N.4",218,205,0,423,147,135,0,282,277,0,3,259,4,16,0,0,0,0,0,0,0,282
67,"P.V.KASBA PHAPHUND SECOND R.N.1",395,361,0,756,271,260,0,531,530,0,23,433,31,7,2,9,1,5,3,2,15,531
68,"P.V.KASBA PHAPHUND SECOND R.N 2",566,472,0,1038,318,261,0,579,571,0,99,379,86,8,3,0,0,2,0,1,1,579
69,"RADHA BALLAM INTER COLLAGE PHAPHUND R.N 1",500,418,0,918,306,200,0,506,482,0,54,79,339,17,7,2,0,3,1,1,3,506
70,"RADHA BALLAM INTER COLLAGE PHAPHUND R.N. 2",629,556,0,1185,409,344,0,753,734,0,44,511,178,7,3,1,0,2,0,2,5,753
71,"RADHA BALLAM INTER COLLAGE PHAPHUND R.N. 3",738,610,0,1348,473,384,0,857,850,0,33,619,122,23,3,27,2,9,3,6,10,857
72,"RADHA BALLAM INTER COLLAGE PHAPHUND R.N. 4",521,440,0,961,296,215,0,511,511,0,29,51,417,6,4,0,1,1,1,0,1,511
73,P.V.KOTHIPUR,471,353,0,824,243,198,0,441,420,0,105,214,97,8,5,0,1,3,0,2,6,441
74,"P.V. SARAY BIHARIDAS",572,413,0,985,342,259,0,601,590,0,226,68,291,4,1,2,0,0,3,3,3,601
75,"P.V. UJITIPUR",281,217,0,498,199,155,0,354,328,0,331,13,3,1,4,0,0,0,0,0,2,354
76,"P.V. FAKKARPUR",599,477,0,1076,414,358,0,772,772,0,590,130,36,2,2,1,0,2,1,1,7,772
77,"P.V. BURANPUR",406,348,0,754,298,265,0,563,560,0,30,349,176,2,0,0,0,3,1,1,1,563
78,"P.V. TARAI",448,375,0,823,262,214,0,476,470,0,191,178,98,3,0,0,0,2,1,0,3,476
79,P.V.MUNSHIPUR,394,301,0,695,159,167,0,326,300,0,12,258,36,2,3,0,0,8,3,0,4,326
80,"P.V. BARUA",186,166,0,352,146,126,0,272,265,0,26,200,45,0,0,0,0,1,0,0,0,272
81,"P.V. TAIYABPUR",206,162,0,368,192,143,0,335,335,0,1,63,268,1,0,0,0,0,2,0,0,335
82,"P.V. BHAUPUR PHAPHUND",329,257,0,586,233,184,0,417,413,0,19,322,62,1,0,2,2,3,2,2,2,417
83,"P.V.KHANPUR PHAPHUND R.N. 1",660,508,0,1168,386,275,0,661,632,0,361,111,168,2,11,1,0,3,0,1,3,661
84,"P.V.KHANPUR PHAPHUND R.N. 2",618,469,0,1087,413,289,0,702,701,0,27,482,166,3,5,1,1,8,2,2,5,702
85,"P.V.PURVA JASA",298,256,0,554,232,190,0,422,410,0,86,230,93,2,2,0,0,2,0,0,7,422
86,"P.V. SIGANPUR",217,178,0,395,159,103,0,262,260,0,74,138,35,6,2,5,0,0,0,1,1,262
87,P.V.PARVAHA,369,291,0,660,278,203,0,481,469,0,64,368,37,0,3,4,0,2,3,0,0,481
88,"P.V. KAINJARI",581,489,0,1070,329,215,0,544,523,0,118,352,58,3,1,0,1,2,2,2,5,544
89,"P.V. PURVAHIRA",346,319,0,665,260,214,0,474,443,0,35,405,18,0,3,1,0,7,0,4,1,474
90,"P.V. LAKHNAPUR R.N. 1",568,447,0,1015,396,285,0,681,674,0,87,487,94,1,1,1,2,4,0,1,3,681
91,"P.V. LAKHNAPUR R.N. 2",218,178,0,396,161,126,0,287,282,0,1,267,12,3,0,1,0,2,0,0,1,287
92,"P.V. GAPKAPUR",396,364,0,760,264,249,0,513,465,0,477,17,7,3,0,0,1,2,1,1,4,513
93,"P.V.JAMUHA R.N. 1",377,313,1,691,244,178,0,422,410,0,53,294,58,6,6,1,0,1,1,1,1,422
94,"P.V.JAMUHA R.N. 2",438,381,0,819,265,240,0,505,500,0,154,222,115,4,7,0,0,2,0,0,1,505
95,"P.V.JAMUHA R.N. 3",625,510,0,1135,296,279,0,575,570,0,197,257,94,15,5,1,0,3,0,0,3,575
96,"P.V.GHABAR PURVA",491,400,0,891,290,243,0,533,530,0,340,68,111,8,1,1,0,0,3,0,1,533
97,"SAMUDAYIK BHAVAN N.T.P.C.DIBIYAPUR",480,408,0,888,228,203,0,431,430,0,88,215,44,39,39,1,0,0,1,0,4,431
98,"V.T.INTER COLLAGE DIBIYAPUR R.N. 1",585,503,0,1088,270,255,0,525,520,0,75,347,84,9,3,1,1,2,0,1,2,525
99,"V.T.INTER COLLAGE DIBIYAPUR R.N. 2",528,449,0,977,224,189,0,413,410,0,54,223,119,4,4,0,0,0,0,0,9,413
100,"V.T.INTER COLLAGE DIBIYAPUR R.N. 3",619,543,0,1162,355,326,0,681,666,0,17,541,92,10,7,2,0,3,0,4,5,681
101,"V.T.INTER COLLAGE DIBIYAPUR R.N. 4",393,352,0,745,250,195,0,445,440,0,65,292,75,4,0,1,0,4,0,1,3,445
