"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KADIR RANA","2 - PANKAJ AGARWAL","3 - VIRENDER SINGH","4 - DR. SANJEEV KUMAR BALYAN","5 - ANIL KUMAR","6 - CHATAR SINGH KASHYAP","7 - MANGE RAM KASHYAP","8 - MOHAMMED YAMIN","9 - MO. YAMIN","10 - RAJESH DEVI ALIAS RADHIKA BALIYAN","11 - LALIT CHAUHAN","12 - ANKUR","13 - GUFRAN AHMAD","14 - JAGBIR SINGH","15 - NASEEM AHMAD ANSARI","16 - PHOOL SINGH PAL","17 - RAKESH","18 - SHABNAM","19 - SHANDAR GUFRAN","20 - None of the Above","Total Votes Secured"
48,"PRIMARY SCHOOL NO.1 ROOM NO.1 BIRAL",768,605,0,1373,570,376,0,946,535,0,5,3,29,857,5,3,1,1,1,11,1,2,8,0,2,1,2,1,0,13,946
49,"PRIMARY SCHOOL NO.1 ROOM N0 2 BIRAL",457,352,0,809,338,239,0,577,567,0,27,7,113,412,3,0,0,0,0,4,0,0,4,0,0,2,1,0,1,3,577
50,"PRAIMARI SCHOOL NO.2 ROOM N0. 1 BIRAL",682,575,0,1257,409,377,0,786,674,0,9,5,94,659,5,0,1,0,0,8,0,1,1,0,0,1,0,0,1,1,786
51,"PRAIMARI SCHOOL NO.2 ROOM N0. 2 BIRAL",618,478,0,1096,385,301,0,686,685,0,6,0,53,612,1,0,0,0,0,5,0,0,0,1,0,3,0,0,4,1,686
52,"THAKUR MOOLCHAND INTER COLLEGE ROOM N0 2 SAINPUR PARASAULI",500,367,0,867,435,255,0,690,690,0,4,0,59,625,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,690
53,"THAKUR MOOLCHAND INTER COLLEGE ROOM N0  3 SAINPUR PARASAULI",413,347,0,760,337,246,0,583,259,0,3,3,19,550,1,0,0,0,0,4,0,0,1,0,1,0,0,0,1,0,583
54,"KANYA SHAKUMBARI  INTER COLLEGE ROOM N0. 1 KURALSI",596,468,0,1064,420,271,0,691,691,0,47,0,114,504,1,0,1,1,0,11,0,2,3,0,0,3,2,0,0,2,691
55,"PRAIMARI SCHOOL ROOM N0. 1 KURALSI",556,468,0,1024,468,324,0,792,792,0,16,3,72,688,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,6,792
56,"KANYA PATHSHALA KURALSI",587,492,0,1079,432,377,0,809,407,0,36,2,85,661,3,0,0,0,0,4,0,0,2,0,1,1,0,0,6,8,809
57,"PRAIMARI SCHOOL BAHALOLPUR",153,135,0,288,148,134,0,282,281,0,0,0,1,277,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,282
58,"PRAIMARI SCHOOL ROOM  N0. 1 BADAUDA",549,418,0,967,447,348,0,795,385,0,1,3,91,690,1,0,0,0,0,4,0,0,0,0,0,0,0,1,1,3,795
