"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAMLA PRASAD RAWAT","2 - P. L. PUNIA","3 - PRIYANKA SINGH RAWAT","4 - RAJRANI RAWAT","5 - KISHAN LAL","6 - P. C. KUREEL","7 - DINESH CHANDRA GAUTAM","8 - NITIN SINGH","9 - BABU LAL","10 - MEDI LAL","11 - RAJESH KUMAR VIDYARTHI","12 - ABHILAKH RAWAT","13 - KHANJAN LAL","14 - MAHESH","15 - None of the Above","Total Votes Secured"
30,"RAFI MEMO. BOYS SCHOOL WEST PART MASAULI",512,426,0,938,295,192,0,487,264,0,11,286,92,44,2,2,0,1,0,2,38,2,0,3,4,487
31,"RAFI MEMO. BOYS SCHOOL MID PART MASAULI",590,467,0,1057,297,176,0,473,325,0,7,295,62,66,0,0,1,2,0,0,37,0,2,1,0,473
32,"PANCHAYAT GHAR EAST PART MASAULI",665,582,0,1247,382,214,0,596,147,0,31,285,152,70,0,2,0,0,2,1,45,2,4,0,2,596
33,"PANCHAYAT GHAR WEST PART MASAULI",639,541,0,1180,320,235,0,555,145,0,6,253,209,46,2,0,2,2,0,1,20,2,3,5,4,555
34,"P.S. MASAULI R.NO. 1",760,638,0,1398,394,250,0,644,402,0,12,331,133,152,0,2,2,1,0,0,8,0,2,0,1,644
35,"P.S. MASAULI R.NO. 2",375,278,0,653,189,104,0,293,200,0,7,143,62,75,0,0,0,0,0,0,3,2,1,0,0,293
36,"GIRLS J.H.S. MUNJAPUR",411,362,0,773,310,253,0,563,20,0,13,30,349,161,0,0,5,0,1,0,0,1,0,0,3,563
37,"P.S. DEOKALIYA",580,477,0,1057,453,340,0,793,13,0,77,130,460,110,2,2,1,0,0,1,1,0,2,2,5,793
38,"P.S.  TERA",379,314,0,693,299,208,0,507,7,0,87,155,203,29,0,0,0,13,2,1,8,1,4,2,2,507
39,"J.H.S. RAHRAMAU R.NO. 1",675,620,0,1295,423,373,0,796,10,0,78,343,236,103,3,5,3,0,0,1,2,4,6,2,10,796
40,"J.H.S. RAHRAMAU R.NO. 2",512,401,0,913,302,199,0,501,40,0,18,204,230,13,2,1,2,1,2,1,15,1,5,0,6,501
41,"J.H.S. RAHRAMAU R.NO. 3",517,392,0,909,310,187,0,497,80,0,120,119,226,11,1,0,1,0,2,3,1,2,0,3,8,497
42,"P.S. NYAMATPUR",651,536,0,1187,394,227,0,621,404,0,68,49,258,215,2,2,1,0,2,0,4,2,2,3,13,621
43,"P.S. BANSA-I R.NO. 1",528,419,0,947,331,203,0,534,38,0,40,302,18,97,1,4,5,1,0,0,65,0,0,1,0,534
44,"P.S. BANSA-I R.NO. 2",362,289,0,651,246,129,0,375,81,0,12,276,15,42,0,0,2,0,0,0,24,0,0,1,3,375
45,"P.S. BANSA-II R.NO. 1",612,552,0,1164,412,310,0,722,11,0,117,171,306,94,1,1,1,1,1,3,13,1,2,2,8,722
46,"P.S. BANSA-II R.NO. 2",271,198,0,469,168,98,0,266,10,0,27,134,21,28,0,0,0,0,1,0,47,3,0,2,3,266
47,"J.H.S. BANSA R.NO. 1",837,625,0,1462,473,301,0,774,504,0,78,334,252,78,0,3,0,2,0,6,6,1,5,4,5,774
48,"J.H.S. BANSA R.NO. 3",354,295,0,649,246,181,0,427,260,0,16,138,250,12,0,1,0,0,0,0,3,1,3,0,3,427
49,"J.H.S. BANSA R.NO. 4",498,480,0,978,248,185,0,433,11,0,20,174,190,32,0,1,2,2,1,0,0,0,3,2,6,433
50,"P.S. DHARAULI",361,357,0,718,226,221,0,447,130,0,96,171,114,25,4,2,11,1,1,0,2,2,6,2,10,447
51,"P.S. MADARPUR",158,130,0,288,90,70,0,160,76,0,32,69,53,4,0,0,0,0,0,0,0,0,0,1,1,160
52,"P.S. SISWARA",314,276,0,590,212,143,0,355,343,0,69,58,186,34,0,2,0,1,1,2,0,1,0,1,0,355
53,"P.S. CHANDANPURVA MAJRE NASIRNAGAR",750,635,0,1385,546,358,0,904,34,0,89,126,525,131,3,2,14,2,2,0,1,2,4,2,1,904
54,"P.S. NAVEEN BHAWAN SOUTH PART NEOLA KARSANDA",575,522,0,1097,382,317,0,699,277,0,107,267,293,16,0,2,0,0,1,0,1,2,3,4,3,699
55,"P.S. NAVEEN BHAWAN NORTH PART NEOLA KARSANDA",518,459,0,977,329,219,0,548,203,0,15,185,333,10,0,0,0,1,0,1,0,1,1,1,0,548
56,"GIRLS P.S. KARAND",740,699,0,1439,489,436,0,925,318,0,241,219,347,72,4,1,2,5,1,3,6,3,8,3,10,925
57,"P.S. NAYAGAO",154,148,0,302,111,98,0,209,180,0,4,57,141,6,0,0,1,0,0,0,0,0,0,0,0,209
58,"P.S. EAST PART NIGRI",549,447,0,996,355,228,0,583,332,0,96,99,257,98,3,4,0,1,4,4,1,4,7,1,4,583
59,"P.S. WEST PART NIGRI",661,548,0,1209,345,195,0,540,144,0,102,92,256,65,2,2,3,0,1,4,2,1,3,2,5,540
60,"P.S. RAHMATNAGAR",375,325,0,700,270,174,0,444,296,0,61,71,93,210,2,1,0,0,0,6,0,0,0,0,0,444
61,"P.S. CHACHERUVA R.NO. 1",503,437,0,940,339,235,0,574,282,0,36,85,168,263,1,1,0,1,1,3,3,3,3,3,3,574
62,"P.S. CHACHERUVA R.NO. 2",328,262,0,590,234,130,0,364,200,0,22,32,118,181,0,2,1,1,1,0,1,1,2,2,0,364
63,"P.S. WEST PART JAHANGIRABAD",721,656,0,1377,464,339,0,803,372,0,12,310,376,92,0,1,1,0,1,0,1,0,4,2,3,803
64,"P.S. EAST PART JAHANGIRABAD",750,644,0,1394,500,413,0,913,428,0,175,301,306,70,5,5,0,3,4,4,8,2,7,7,16,913
65,"P.S. MANSINGH MANJHPURVA MAJRE JAHANGIRABAD  R.NO. 1",494,436,0,930,354,238,0,592,216,0,80,115,369,10,1,1,2,0,2,1,0,1,3,0,7,592
66,"P.S. MANSINGH MANJHPURVA MAJRE JAHANGIRABAD  R.NO. 2",458,379,0,837,325,245,0,570,480,0,272,139,98,16,2,0,1,1,2,1,10,4,8,4,12,570
67,"P.S.  MUHIUDDINPUR R.NO. 1",696,596,0,1292,545,345,0,890,638,0,341,273,90,137,4,2,1,2,0,11,2,3,6,5,13,890
68,"P.S.  MUHIUDDINPUR R.NO. 2",274,221,0,495,157,93,0,250,130,0,52,76,47,60,1,0,1,0,0,6,0,1,0,2,4,250
69,"P.S. MEDHIYA MAJRE MUHIUDDINPUR",598,551,0,1149,462,316,0,778,6,0,79,305,222,153,1,0,0,1,2,1,4,1,4,1,4,778
70,"J.H.S. FATEHSARAI (GUNJAULI)",685,591,0,1276,491,371,0,862,326,0,89,189,527,30,3,0,2,1,1,1,2,0,7,3,7,862
71,"P.S. SADAMAU",497,487,1,985,388,255,0,643,123,0,115,178,305,35,0,2,2,0,0,0,0,1,1,2,2,643
72,"P.S. SHERPUR",290,285,0,575,215,196,0,411,8,0,117,110,162,8,0,1,0,0,0,2,0,1,5,1,4,411
73,"P.S. PIPRAULI",661,617,0,1278,490,406,0,896,11,0,224,141,439,60,1,1,8,0,0,1,2,1,8,5,5,896
74,"J.H.S. KARPIYA",513,445,0,958,404,314,0,718,421,0,59,220,406,18,2,0,1,0,0,0,0,2,8,0,2,718
75,"P.S. JAWARIPUR MAJRE KARPIYA",332,325,0,657,274,237,0,511,30,0,105,95,264,28,1,1,0,1,0,0,0,2,5,2,7,511
76,"P.S. BIRAULI",349,327,0,676,275,208,0,483,152,0,132,69,225,48,1,2,0,1,2,1,0,0,0,1,1,483
77,"P.S. SATBISANWA",237,213,0,450,169,141,0,310,104,0,55,55,179,12,2,2,1,0,1,0,0,0,2,1,0,310
78,"P.S. NAVEEN BHAWAN EAST PART JHALIYA MAJRE PANDARA",584,528,0,1112,393,279,0,672,454,0,103,130,368,34,1,2,0,1,0,3,3,10,4,3,10,672
79,"P.S. NAVEEN BHAWAN WEST PART JHALIYA MAJRE PANDARA",562,458,0,1020,456,326,0,782,218,0,1,26,147,584,5,2,0,1,1,2,0,0,5,2,6,782
80,"P.S. RAIPUR",374,322,0,696,268,199,0,467,200,0,113,74,179,66,1,0,0,1,3,15,0,2,4,1,8,467
81,"P.S. PANDRI",748,642,0,1390,523,367,0,890,275,0,132,227,383,122,1,1,3,1,5,2,2,4,3,0,4,890
82,"J.H.S. RASAULI R.NO. 1",710,621,0,1331,471,333,0,804,313,0,139,388,162,88,1,3,0,1,1,1,2,2,4,4,8,804
83,"J.H.S. RASAULI R.NO. 2",730,656,1,1387,476,358,0,834,222,0,25,457,247,91,0,2,1,0,3,1,1,0,1,1,4,834
84,"J.H.S. RASAULI R.NO. 3",703,598,1,1302,396,293,0,689,163,0,63,448,79,77,1,0,2,0,0,1,5,1,3,2,7,689
85,"P.S. KESHRIPUR MAJRE RASAULI NORTH PART",795,678,1,1474,499,328,0,827,486,0,131,413,213,44,2,0,1,0,1,2,2,3,8,2,5,827
86,"P.S. KESHRIPUR MAJRE RASAULI SOUTH PART",655,577,0,1232,482,276,0,758,100,0,147,156,415,31,1,2,1,0,0,0,0,0,1,3,1,758
87,"P.S. PRATAPGANJ",660,561,0,1221,494,372,0,866,220,0,94,177,460,118,1,0,2,1,1,1,2,1,2,4,2,866
88,"P.S. SEMRI",447,379,0,826,299,211,0,510,305,0,55,76,321,35,1,2,2,3,1,1,1,2,7,1,2,510
89,"P.S. NORTH PART LAKSHBAR BAJHA",630,553,0,1183,438,347,0,785,217,0,73,325,324,32,3,3,0,2,3,4,3,3,6,0,4,785
90,"P.S. SOUTH PART LAKSHBAR BAJHA",690,604,0,1294,440,303,0,743,376,0,150,362,179,24,2,1,2,0,1,2,3,3,5,4,5,743
91,"P.S. EAST PART DAMAURA",426,391,0,817,330,242,0,572,350,0,142,80,297,30,2,0,3,1,2,0,0,1,3,1,10,572
92,"P.S. WEST PART DAMAURA",424,408,0,832,278,234,0,512,100,0,155,30,290,2,4,2,0,2,1,1,3,5,6,3,8,512
93,"PANCHAYAT GHAR JALALPUR",344,318,0,662,276,235,0,511,9,0,146,41,202,114,0,0,0,0,0,0,1,2,1,1,3,511
94,"P.S. DADRA SOUTH PART",623,530,0,1153,428,334,0,762,20,0,42,208,345,147,1,2,1,0,2,0,1,1,5,2,5,762
95,"P.S. DADRA NORTH PART",589,517,0,1106,432,327,0,759,14,0,256,144,114,221,0,0,1,1,0,2,4,1,9,2,4,759
96,"P.S. KARMULLAPUR MAJRE DADRA",666,631,0,1297,454,396,0,850,350,0,84,337,301,87,3,4,1,1,4,2,3,3,11,7,2,850
97,"PANCHAYAT GHAR DADRA",558,366,0,924,252,146,0,398,90,0,46,126,184,33,0,0,0,0,0,1,0,2,2,1,3,398
98,"P.S. EAST PART JAKARIYA MAJRE BUDHWARA",544,505,0,1049,382,290,0,672,191,0,100,224,287,9,0,0,5,1,0,6,34,1,3,0,2,672
99,"P.S. WEST PART JAKARIYA MAJRE BUDHWARA",543,506,0,1049,386,299,0,685,475,0,16,342,243,36,3,1,1,0,1,0,30,5,4,0,3,685
100,"J.H.S. RAJAYIPUR R.NO. 1",273,274,0,547,202,180,0,382,111,0,23,116,216,10,0,4,2,2,3,0,3,0,0,0,3,382
101,"J.H.S. R.NO. 2 RAJAYIPUR",137,142,1,280,110,72,0,182,96,0,2,47,109,17,0,1,1,0,0,0,1,1,0,1,2,182
102,"P.S. GURELA",475,406,0,881,356,239,0,595,240,0,61,127,317,69,0,1,1,0,1,1,1,3,3,5,5,595
103,"P.S. BEHTA",620,534,0,1154,481,309,0,790,265,0,58,379,179,36,2,3,3,1,2,4,102,4,6,2,9,790
104,"P.S. GODWA GOWARI",226,212,0,438,192,158,0,350,300,0,80,83,161,4,1,2,0,2,1,1,6,1,5,2,1,350
105,"P.S. SAIDABAD",587,523,0,1110,396,268,0,664,386,0,91,114,383,56,2,0,2,0,0,1,1,0,4,4,6,664
106,"P.S. MUSHKINAGAR",556,493,0,1049,406,310,0,716,480,0,57,183,302,142,0,0,6,2,0,2,3,6,6,2,5,716
107,"P.S. NORTH PART CHANDWARA",625,571,0,1196,373,311,0,684,563,0,136,252,193,77,2,1,0,0,0,4,2,2,4,5,6,684
108,"P.S. SOUTH PART CHANDWARA",513,428,0,941,303,275,0,578,536,0,21,102,415,28,0,1,0,0,1,0,1,2,6,0,1,578
109,"P.S. EXTRA ROOM CHANDWARA",427,297,0,724,231,152,0,383,151,0,22,130,195,24,2,1,0,0,1,0,1,0,1,2,4,383
110,"FATEHCHAND JAGDISH RAI I.C. SAFDARGANJ R.NO. 14",772,684,0,1456,463,379,0,842,831,0,24,287,426,74,2,2,2,2,0,0,6,1,7,1,8,842
111,"FATEHCHAND JAGDISH RAI I.C. SAFDARGANJ R.NO. 15",446,365,0,811,243,158,0,401,82,0,15,204,160,11,0,0,1,1,0,2,2,0,2,1,2,401
112,"FATEHCHAND JAGDISH RAI I.C. SAFDARGANJ R.NO. 16",429,353,0,782,274,193,0,467,450,0,11,196,203,44,1,2,1,1,0,0,4,0,2,0,2,467
113,"FATEHCHAND JAGDISH RAI I.C. SAFDARGANJ R.NO. 17",624,539,0,1163,413,304,0,717,216,0,123,124,379,60,4,0,1,0,1,1,1,5,7,1,10,717
114,"P.S. CHILAUKI",385,335,0,720,289,227,0,516,480,0,41,113,320,23,0,0,4,0,0,1,1,2,5,1,5,516
115,"P.S. NORTH PART PALHRI",600,519,0,1119,413,273,0,686,223,0,106,206,288,60,2,0,0,1,2,0,1,0,6,2,12,686
116,"P.S. SOUTH PART PALHRI",548,454,0,1002,310,218,0,528,40,0,107,202,190,8,1,0,1,2,1,0,1,0,6,0,9,528
117,"P.S. SOHRABAD MAJRE PALHRI",457,419,0,876,312,215,0,527,115,0,180,70,181,59,2,5,0,1,2,2,7,1,4,2,11,527
118,"P.S. GODARI",384,338,0,722,269,176,0,445,16,0,64,112,215,33,1,1,1,2,1,2,2,0,4,3,4,445
119,"P.S. SURYAPUR KHAPRAILA",609,558,0,1167,435,314,0,749,20,0,86,135,445,53,2,3,1,0,2,3,3,2,3,3,8,749
120,"P.S. SURYAPUR KHAPRAILA EXTRA ROOM",312,308,0,620,222,185,0,407,152,0,83,63,183,60,1,0,0,0,1,1,1,1,2,4,7,407
121,"P.S. EAST PART AMBAUR",720,621,1,1342,421,257,0,678,233,0,129,127,325,56,2,1,1,0,4,3,0,4,7,8,11,678
122,"P.S. MID PART AMBAUR",652,528,0,1180,390,281,0,671,316,0,310,70,193,68,4,3,4,0,0,4,3,0,9,1,2,671
123,"P.S. WEST PART AMBAUR",430,398,0,828,249,208,0,457,38,0,152,82,129,79,2,1,3,0,1,0,1,1,2,2,2,457
124,"P.S. RASOOLPUR",291,254,0,545,187,170,0,357,56,0,54,86,189,6,0,1,0,1,2,0,1,4,3,5,5,357
125,"J.H.S. EAST PART UDHAULI",726,559,0,1285,446,266,0,712,112,0,61,220,293,116,2,0,1,1,1,1,1,1,4,3,7,712
126,"J.H.S. WEST PART UDHAULI",756,664,0,1420,480,312,0,792,396,0,82,110,454,119,1,3,2,0,0,3,1,4,5,3,5,792
127,"J.H.S. MID PART UDHAULI",421,378,0,799,260,203,0,463,380,0,124,80,187,55,5,1,1,1,0,0,0,2,3,0,4,463
128,"P.S. R.NO. 3 UDHAULI",678,585,0,1263,425,315,0,740,302,0,122,78,320,188,1,4,2,1,0,1,3,4,2,5,9,740
129,"P.S. NORTH PART BAGHAURA",658,642,0,1300,415,351,0,766,214,0,241,148,288,50,3,0,3,1,6,1,1,2,9,7,6,766
130,"P.S. SOURTH PART BAGHAURA",508,465,1,974,323,219,0,542,30,0,174,47,281,15,2,3,1,0,0,3,1,2,4,2,7,542
131,"P.S. SHAHPUR NORTH PART",478,442,0,920,319,241,0,560,42,0,83,90,310,49,0,2,1,0,2,1,2,1,4,5,10,560
132,"P.S. SHAHPUR SOURTH PART",419,311,0,730,283,206,0,489,20,0,151,75,208,28,1,3,1,0,1,3,0,2,7,2,7,489
133,"P.S. BERI",458,388,0,846,411,270,0,681,70,0,154,96,321,82,1,3,1,1,3,0,1,3,9,1,5,681
134,"P.S. SARAI KAYASTHAN",514,466,0,980,356,287,0,643,298,0,167,107,269,65,0,2,3,2,1,5,1,3,4,2,12,643
135,"P.S. MOHIUDDINPUR MAJRE AKBARPUR DHANETHI EAST PART",234,216,0,450,187,150,0,337,240,0,58,29,231,8,1,2,0,0,0,2,0,1,3,0,2,337
136,"P.S. MOHIUDDINPUR MAJRE AKBARPUR DHANETHI WEST PART",588,491,0,1079,424,320,0,744,330,0,132,144,407,16,3,3,1,1,2,5,3,4,8,6,9,744
137,"P.S. INDHAULIYA",342,319,0,661,268,245,0,513,216,0,94,65,304,30,3,0,2,1,0,0,2,2,2,4,4,513
138,"P.S. PYAREPUR SARAIYA",522,475,0,997,376,267,0,643,244,0,104,188,291,32,0,4,2,2,2,1,1,2,1,5,8,643
139,"P.S. ICHAULIYA",720,654,0,1374,567,468,0,1035,440,0,204,328,457,14,1,4,0,3,1,0,1,1,7,6,8,1035
140,"P.S. DAULATPUR",382,382,0,764,318,279,0,597,120,0,97,114,356,16,1,2,2,0,4,0,0,0,2,0,3,597
141,"J.H.S. RAHIMABAD",350,317,0,667,246,202,0,448,364,0,59,81,293,7,0,0,2,0,0,0,0,1,4,0,1,448
142,"P.S. BARBASAULI",369,315,0,684,268,229,0,497,221,0,199,82,174,9,2,0,0,1,4,1,1,2,2,5,15,497
143,"P.S. TESUVA SALEM CHAK",451,386,0,837,335,226,0,561,61,0,7,114,229,190,1,2,3,1,1,3,0,3,4,3,0,561
144,"J.H.S. KHUSHHALPUR MAJRE YAKUTGANJ R.NO. 1",567,482,0,1049,313,254,0,567,350,0,124,130,284,4,2,3,0,0,1,1,0,2,7,2,7,567
145,"J.H.S. KHUSHHALPUR MAJRE YAKUTGANJ R.NO. 2",389,368,0,757,287,239,0,526,16,0,93,150,249,11,0,1,1,0,1,2,0,0,7,2,9,526
146,"P.S. GOTHIYA",620,504,0,1124,459,361,0,820,40,0,107,190,427,60,1,1,1,0,1,2,2,3,9,7,9,820
147,"P.S. SHAHJADPUR",378,367,0,745,306,228,0,534,254,0,56,104,334,17,3,2,0,1,2,1,2,2,6,1,3,534
148,"P.S. AJPURA",466,431,0,897,347,268,0,615,338,0,90,78,285,135,3,2,0,1,2,2,1,2,5,1,8,615
149,"P.S. AJPURA EXTRA ROOM",406,364,0,770,303,232,0,535,200,0,36,57,394,26,5,2,1,0,0,0,0,2,4,3,5,535
150,"J.H.S. GADHI RAKHMAU R.NO. 1",573,518,0,1091,399,317,0,716,33,0,94,110,477,14,2,3,0,2,1,2,0,1,7,1,2,716
151,"J.H.S. GADHI RAKHMAU R.NO. 2",638,620,0,1258,476,407,0,883,12,0,76,273,496,7,1,1,6,1,1,1,4,4,3,2,7,883
152,"ISLAMIYA SCHOOL EAST PART ZAIDPUR",728,531,0,1259,508,308,0,816,52,0,47,192,500,46,4,3,1,2,1,0,2,4,6,1,7,816
153,"ISLAMIYA SCHOOL WEST OF EAST PART ZAIDPUR",917,782,0,1699,592,391,0,983,776,0,9,827,22,67,1,2,0,1,0,0,49,1,1,0,3,983
154,"ISLAMIYA SCHOOL EAST OF WEST PART ZAIDPUR",283,254,0,537,188,130,0,318,106,0,10,263,4,27,1,0,1,0,0,0,10,1,1,0,0,318
155,"NOOR MO. I.C. R.NO. 1 ZAIDPUR",535,448,0,983,324,245,0,569,142,0,25,385,119,26,1,1,3,1,0,1,5,0,0,2,0,569
156,"NOOR MO. I.C. R.NO. 2 ZAIDPUR",475,369,0,844,332,249,0,581,48,0,31,230,267,15,0,1,4,3,3,0,12,1,5,3,6,581
157,"NOOR MO. I.C. R.NO. 3 ZAIDPUR",430,390,0,820,285,224,0,509,212,0,34,339,93,32,0,0,0,0,0,0,5,2,1,2,1,509
158,"NOOR MO. I.C. R.NO. 4 ZAIDPUR",594,583,0,1177,376,312,0,688,666,0,9,592,28,34,0,1,1,0,0,1,13,0,1,6,2,688
159,"GIRLS P.S. EAST PART ZAIDPUR",429,320,1,750,265,172,0,437,279,0,1,337,13,35,1,0,2,0,0,0,45,1,1,1,0,437
160,"GIRLS P.S. EXTRA ROOM ZAIDPUR",626,568,0,1194,399,313,0,712,351,0,11,495,50,76,1,1,2,0,0,1,67,2,2,1,3,712
161,"GIRLS P.S. WEST PART ZAIDPUR",550,430,1,981,376,276,0,652,152,0,7,379,223,24,0,1,2,1,0,0,11,1,2,1,0,652
162,"MADARSA NURUL ULOOM NORTH PART ZAIDPUR",899,706,0,1605,484,309,0,793,654,0,13,595,19,79,4,0,1,1,1,0,61,5,6,3,5,793
163,"MADARSA NURUL ULOOM SOUTH PART ZAIDPUR",515,373,1,889,251,156,0,407,43,0,31,240,92,28,0,1,2,0,0,0,9,0,2,1,1,407
164,"MADARSA NURUL ULOOM  ZAIDPUR R.NO. 7",510,461,0,971,313,225,0,538,13,0,19,319,122,52,1,0,5,1,0,0,8,4,2,4,1,538
165,"J.H.S. ZAIDPUR EAST PART",778,688,0,1466,446,313,0,759,418,0,20,615,29,66,0,1,2,0,0,4,14,0,0,3,5,759
166,"J.H.S. ZAIDPUR WEST PART",562,480,0,1042,341,257,0,598,361,0,63,441,30,38,1,2,1,0,0,1,16,0,0,0,5,598
167,"J.H.S. ZAIDPUR WEST OF EAST PART",825,672,0,1497,552,314,0,866,402,0,8,688,91,42,1,1,0,0,0,2,19,1,2,1,10,866
168,"J.H.S. ZAIDPUR EAST PART OF SCIENCE LAB.",608,507,0,1115,382,240,0,622,400,0,13,488,79,25,1,0,2,0,1,1,8,1,1,1,1,622
169,"J.H.S ZAIDPUR NAYA BHAWAN R.NO. 1",550,485,0,1035,370,262,0,632,180,0,93,384,107,15,0,3,3,0,1,1,8,1,4,4,8,632
170,"J.H.S ZAIDPUR NAYA BHAWAN R.NO. 2",517,457,0,974,278,162,0,440,35,0,9,385,29,12,0,0,0,0,0,0,4,0,1,0,0,440
171,"J.H.S ZAIDPUR NAYA BHAWAN R.NO. 3",507,434,0,941,283,176,0,459,259,0,5,384,20,30,0,0,8,0,0,1,6,0,0,3,2,459
172,"P.S. BHUKAMP RODHI ROOM ZAIDPUR",429,418,0,847,251,160,0,411,232,0,2,282,41,82,0,0,1,0,0,0,0,0,1,0,2,411
173,"P.S. ZAIDPUR EXTRA ROOM R.NO. 1",582,393,0,975,295,203,0,498,150,0,60,307,93,24,1,0,0,1,0,0,6,0,1,2,3,498
174,"P.S. ZAIDPUR EXTRA ROOM R.NO. 2",568,422,0,990,375,259,0,634,427,0,42,529,42,12,0,0,0,0,1,0,3,1,0,0,4,634
