"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - JAGDAMBIKA PAL","2 - MATA PRASAD PANDEY","3 - MUHAMMAD MUQEEM","4 - VASUNDHARA","5 - HAMIDULLAH CHAUDHARY","6 - DR. MOHD. AYUB","7 - ARJUN SINGH","8 - PINGLE PRASAD","9 - BADRE ALAM","10 - MANOJ KUMAR","11 - RAVI KUMAR","12 - DR. SATYENDRA  NATH PANDEY","13 - SANTRAM","14 - KALI RAM","15 - DIWAKAR PRASAD","16 - MUKESH NARAYAN SHUKLA URF GYANESH NARAYAN SHUKLA","17 - RAM UGRAH","18 - None of the Above","Total Votes Secured"
46,BAHUTI,392,347,0,739,181,195,0,376,376,0,72,87,126,18,3,18,2,9,1,4,2,9,3,0,1,8,7,6,376
47,"SAURAHWA GRANT",438,343,0,781,184,158,0,342,342,0,116,82,94,18,2,10,2,3,1,1,0,2,1,4,2,4,0,0,342
48,"SAURAHWA GRANT",424,328,0,752,187,171,0,358,358,0,60,88,154,3,1,10,2,4,1,1,4,8,1,6,7,5,1,2,358
49,"BAGAHAWA GRANT",251,235,0,486,121,122,0,243,243,0,76,70,57,28,1,6,1,1,0,0,0,0,0,0,1,1,0,1,243
50,"GURAUWAJOT GRANT",395,354,0,749,172,202,0,374,374,0,73,11,238,16,2,5,0,6,0,1,0,0,1,3,2,3,8,5,374
51,"BISHUNPUR KALA",312,270,0,582,124,129,0,253,253,0,52,25,38,9,8,109,1,1,0,2,2,2,0,0,0,1,2,1,253
52,AKDENGWA,490,411,0,901,209,222,0,431,431,0,144,31,176,7,1,31,2,5,3,2,1,5,1,4,4,5,4,5,431
53,TAKIYA,395,314,1,710,213,172,0,385,385,0,150,21,146,11,2,13,0,4,2,2,4,5,3,4,2,7,6,3,385
54,BHOPLAPUR,395,347,0,742,210,181,0,391,391,0,158,35,100,11,2,45,5,1,1,1,1,8,3,4,4,7,2,3,391
55,KAMHRIYA,697,609,0,1306,313,411,0,724,724,0,68,25,207,28,8,341,4,9,4,2,4,5,4,2,2,8,1,2,724
56,KAMHRIYA,509,446,0,955,224,291,0,515,515,0,7,142,100,4,29,218,0,0,5,2,0,0,1,0,0,1,0,6,515
57,SEMRI,487,377,1,865,252,214,0,466,466,0,118,90,126,8,1,100,0,6,2,4,0,0,3,1,2,1,1,3,466
58,SEMRI,481,421,0,902,270,269,0,539,539,0,179,124,64,15,3,119,1,3,1,1,4,5,1,4,5,6,1,3,539
59,SEMRI,447,355,0,802,235,196,0,431,431,0,107,88,162,5,6,49,0,4,0,0,1,3,0,4,1,0,0,1,431
60,PACHPERWA,858,708,0,1566,502,400,0,902,902,0,236,45,470,19,5,38,1,9,7,8,2,10,1,12,7,17,7,8,902
61,PACHMOHANI,238,209,0,447,156,132,0,288,288,0,74,68,94,4,2,17,0,3,0,1,0,7,2,3,1,4,4,4,288
62,"REHRA KALA",367,313,0,680,204,195,0,399,399,0,160,115,50,26,6,3,0,1,0,1,2,2,4,4,0,2,14,9,399
63,PARSA,423,348,6,777,178,219,0,397,397,0,38,12,126,13,4,184,0,10,1,0,1,5,0,0,1,0,2,0,397
64,PARSA,438,373,0,811,217,204,0,421,421,0,56,26,144,16,5,146,2,3,3,4,2,1,1,3,4,4,0,1,421
65,"RASOOL PUR",251,209,0,460,133,129,0,262,262,0,113,38,70,6,1,8,3,3,0,0,2,10,0,1,1,5,0,1,262
66,SISWA,519,478,0,997,266,234,0,500,500,0,193,129,95,13,3,10,1,4,6,3,3,9,6,4,5,11,2,3,500
67,"KATHELA SHARKI",695,535,4,1234,278,256,0,534,534,0,61,101,187,10,3,131,3,5,2,2,3,5,2,4,1,4,5,5,534
68,"KATHELA SHARKI",600,530,0,1130,344,318,0,662,662,0,303,95,153,18,3,13,3,6,3,1,5,11,4,4,4,16,15,5,662
69,"KATHELA SHARKI",626,515,0,1141,377,284,0,661,661,0,194,96,257,28,2,30,0,8,4,2,2,12,4,2,6,7,5,2,661
70,"KATHELA GARVI",635,500,0,1135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"KATHELA GARVI",701,543,1,1245,385,315,0,700,700,0,375,113,116,8,2,16,1,9,2,1,4,8,4,2,3,5,23,8,700
72,"KATHELA GARVI",568,450,0,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"KATHELA GARVI",488,319,0,807,213,149,0,362,362,0,41,55,187,4,1,60,0,1,1,2,0,3,0,2,0,1,2,2,362
74,"CHECHRAF BUJURG",781,692,2,1475,381,424,0,805,805,0,96,298,308,6,2,3,1,10,2,0,1,4,2,7,4,7,12,42,805
75,"BHAINSAHI JANGAL",173,160,0,333,98,104,0,202,202,0,83,58,34,4,2,2,1,1,1,0,0,2,0,2,0,2,8,2,202
76,BANDUWARI,710,596,0,1306,312,273,0,585,585,0,169,146,155,21,1,32,1,1,5,0,4,17,4,6,5,7,1,10,585
77,"BAIRIYA KHALSA",235,206,0,441,149,141,0,290,290,0,20,80,173,7,1,0,1,2,1,0,0,1,1,2,0,0,1,0,290
78,KHAKHARA,394,361,0,755,172,216,0,388,388,0,168,148,18,17,0,2,4,2,4,0,1,3,1,3,3,9,3,2,388
79,"KHAIRI SITAL PRASAD",554,470,0,1024,323,294,0,617,617,0,286,96,40,16,10,97,2,6,2,7,4,14,1,6,4,6,13,7,617
80,TAALKUNDA,500,442,0,942,283,275,0,558,558,0,319,71,64,46,8,1,2,6,2,8,5,5,1,7,2,4,5,2,558
81,TAALKUNDA,673,549,0,1222,315,311,0,626,626,0,237,152,88,37,7,20,4,10,3,3,2,10,6,5,5,13,16,8,626
82,"KHAJURIYA SHARKI",769,644,0,1413,447,415,0,862,862,0,232,31,300,13,8,198,6,5,7,0,4,10,3,2,1,7,18,17,862
83,"MATIYAR URF BHUTAHWA",646,511,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"MATIYAR URF BHUTAHWA",303,241,0,544,148,119,0,267,267,0,72,62,85,12,3,11,0,0,1,2,0,1,2,2,1,4,3,6,267
85,DEHBARUWA,472,423,0,895,294,276,0,570,570,0,297,81,126,8,1,3,3,3,1,2,1,7,2,7,5,13,7,3,570
86,"REKHAT TOLA NAZARGDHWA",675,559,0,1234,374,319,0,693,693,0,174,74,156,19,5,223,5,1,6,4,1,8,0,5,2,7,0,3,693
87,"SISWA URF SHIVABHARI",534,440,0,974,294,287,0,581,581,0,196,72,56,11,5,202,2,5,0,0,4,7,1,3,5,8,3,1,581
