"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAISER JAHAN","2 - BHARAT TRIPATHI","3 - RAJESH VERMA","4 - VAISHALI ALI","5 - ERAJ BEG","6 - CHAUDHARY LAL BAGHEL","7 - JAGDISH NARAYAN SHUKLA","8 - JAGMOHAN SINGH VERMA","9 - R. K. MISRA","10 - RAM AVTAR NISHAD","11 - SHEFALI MISRA","12 - SANT KUMAR","13 - SANJAY TIWARI","14 - TURAB ALI","15 - PUSHPA DEVI","16 - SUCHITA KUMAR","17 - None of the Above","Total Votes Secured"
15,"P.S. JASMANDA",370,348,0,718,314,259,0,573,16,0,169,38,341,10,1,0,2,0,1,0,0,0,0,3,3,3,2,573
16,"""J.H.S. KANCHANPUR STHIT GEDRAPUR",113,103,0,216,82,69,0,151,139,0,31,35,77,3,0,0,0,0,1,0,0,0,0,1,1,2,0,151
17,"J.H.S. MUSAIDABAD",586,494,0,1080,436,317,0,753,753,0,236,88,329,15,3,5,9,3,35,1,5,0,5,0,1,4,14,753
18,"P.S. AKABAPUR",479,385,0,864,387,288,0,675,659,0,232,14,380,20,1,1,1,0,2,0,1,1,3,2,2,6,9,675
19,"P. BHAVAN GADDIPUR",196,191,0,387,176,146,0,322,12,0,81,13,182,35,1,0,1,0,2,0,0,0,0,2,1,3,1,322
20,"P.S. HUSAINPUR",525,430,0,955,388,315,0,703,200,0,274,10,382,12,0,1,8,2,0,0,0,0,1,3,0,3,7,703
21,"J.H.S. MAHARIYA",325,251,0,576,255,187,0,442,427,0,179,32,184,24,3,1,3,1,0,0,0,1,3,4,1,0,6,442
22,"P.S. TRILOKPUR",160,121,0,281,131,96,0,227,226,0,55,56,109,2,0,0,1,0,0,1,0,0,0,1,0,0,2,227
23,"P.S. SADDUPUR",777,638,0,1415,535,444,0,979,975,0,514,26,360,28,2,2,3,0,0,0,1,1,1,3,1,10,27,979
24,"P.S. PAHADAPUR",583,496,0,1079,450,306,0,756,272,0,273,37,406,11,1,0,7,4,1,2,0,1,1,4,3,3,2,756
25,"P.S. SHIVRUKHKALA",598,482,0,1080,452,334,0,786,786,0,354,22,360,24,3,0,5,0,1,0,0,1,1,1,1,6,7,786
26,"P.S. INAYATPUR",506,431,0,937,453,318,0,771,771,0,256,15,460,20,1,0,3,1,0,0,2,3,2,1,2,3,2,771
27,"P.BAVAN GANGELA",223,195,0,418,182,149,0,331,331,0,94,11,185,11,1,1,1,1,2,1,1,1,0,3,0,5,13,331
28,"P.S. KHAMHARIYA",515,421,0,936,422,336,0,758,9,0,272,41,389,10,1,1,7,4,1,1,1,0,0,8,4,8,10,758
29,"P.S. SULTANAPUR",654,513,0,1167,495,394,0,889,630,0,311,44,459,4,1,2,12,2,2,0,1,1,3,15,5,8,19,889
30,"P.S. BHURAKURA",653,598,0,1251,521,406,0,927,575,0,159,68,660,9,1,1,8,0,0,0,0,2,4,4,3,4,4,927
31,"P.S. TAMANAPUR",280,238,0,518,221,196,0,417,416,0,111,4,283,7,0,1,2,0,0,0,0,0,2,0,0,1,6,417
32,"P.S. RASULPUR TARAI",491,390,0,881,393,271,0,664,664,0,277,73,258,12,1,1,9,2,0,2,1,0,2,8,4,9,5,664
33,"J.H.S. BERHAURA",659,608,0,1267,540,356,0,896,96,0,366,91,389,21,2,0,3,1,1,1,4,0,1,0,1,12,3,896
34,"P.S. AFSARIYA HUSAINPUR",334,295,0,629,222,192,0,414,382,0,205,16,168,8,1,2,0,0,2,0,3,1,0,2,1,1,4,414
35,"P.S. SIKANDRABAD",582,480,0,1062,470,377,0,847,838,0,287,62,454,14,0,1,2,1,2,2,3,2,2,1,0,4,10,847
36,"K.I.C. SARIYA RAJA SAHAB",292,252,0,544,228,178,0,406,406,0,69,83,221,20,2,0,0,0,1,0,2,0,2,1,2,2,1,406
37,"P.S. SANSARPUR",328,256,0,584,280,211,0,491,155,24,155,24,286,3,0,0,7,1,0,1,0,1,1,2,0,4,6,491
38,"P.S. SARAYAN KADIPUR",715,584,0,1299,538,363,0,901,28,0,276,177,390,19,1,1,5,2,0,1,0,0,4,12,0,3,10,901
39,"P.S. LACHHIMANPUR",199,146,0,345,180,124,0,304,154,0,67,40,171,5,0,0,5,0,1,0,0,0,0,2,3,2,8,304
40,"P. BAVAN GAURA",364,306,0,670,259,213,0,472,169,0,200,182,70,9,0,1,1,0,1,1,1,0,1,2,1,0,2,472
41,"P.S. RASULPUR",309,262,0,571,267,174,0,441,441,0,93,132,192,3,2,0,1,0,0,0,0,1,1,2,2,11,1,441
42,"P.S. PAHALA",325,297,0,622,241,212,0,453,453,0,154,20,244,19,0,0,2,0,0,0,2,0,1,0,0,3,8,453
43,"P.S. TODAKPUR",158,119,0,277,112,85,0,197,25,0,30,10,121,21,2,0,4,0,1,0,1,1,1,1,2,0,2,197
44,"P.S. RAIPUR",843,695,0,1538,620,503,0,1123,1076,0,398,73,574,18,1,4,9,7,3,1,0,1,1,3,4,11,15,1123
45,"J.H.S. LAUNA R.NO. 1",793,591,0,1384,592,419,0,1011,1011,0,403,190,356,19,3,0,8,2,0,2,0,0,2,6,4,9,7,1011
46,"J.H.S. LAUNA R.NO. 2",472,389,0,861,348,274,0,622,618,0,163,84,340,11,0,1,3,1,1,0,0,0,1,1,2,2,12,622
47,"P.S.  SAIR",650,556,0,1206,475,407,0,882,831,0,316,162,290,62,1,3,4,3,1,0,4,2,2,9,4,13,6,882
48,"P.S. KORAR",771,666,0,1437,606,474,0,1080,1080,0,395,234,404,16,1,3,6,3,1,3,1,1,1,1,8,1,1,1080
49,"P.S. GHURIPUR",348,302,0,650,273,213,0,486,24,0,265,88,115,5,0,1,3,0,0,0,2,0,0,0,0,1,6,486
50,"P.S. LODHAURA RAJA SAHAB",453,402,0,855,360,290,0,650,626,0,112,118,389,15,0,0,4,1,2,0,0,0,0,4,1,1,3,650
51,"P.S. BHANPUR",213,185,0,398,177,139,0,316,5,0,105,113,85,4,0,0,0,0,0,0,3,0,0,0,0,3,3,316
52,"P.S. KORAULI",398,314,0,712,330,204,0,534,529,0,212,91,194,11,2,0,1,0,0,1,0,1,2,5,1,7,6,534
53,"""J.H.S. AJEEMABAD H/0 BABUPUR",607,561,1,1169,491,434,0,925,925,0,185,374,305,12,1,1,3,2,1,1,6,1,2,7,8,8,8,925
54,"K.S. BABUPUR",609,470,0,1079,424,328,0,752,22,0,383,163,155,15,1,0,2,2,0,0,3,0,0,8,5,10,5,752
55,"P.S. BABUPUR",582,462,0,1044,371,312,0,683,683,0,389,215,47,10,1,0,1,1,1,1,0,0,0,2,1,6,8,683
56,"P.S. PALIYAKHURD",286,254,0,540,204,170,0,374,4,0,100,11,236,3,1,1,4,3,1,0,1,1,2,5,2,3,0,374
57,"P.S. MADARPUR",274,239,0,513,227,190,0,417,393,0,251,35,98,6,1,0,1,3,0,0,3,0,2,3,1,2,11,417
58,"P.S. NATHUPUR",510,432,0,942,374,325,0,699,626,0,148,29,408,64,6,2,5,1,2,0,3,0,2,3,2,4,20,699
59,"P.S. KESARIPUR",338,284,0,622,252,204,0,456,348,0,162,77,189,7,0,0,3,1,0,0,0,0,0,3,1,2,11,456
60,"P.S. ASHARAFPUR",156,144,0,300,128,121,0,249,190,0,32,34,175,2,1,0,0,0,0,0,0,0,0,0,1,0,4,249
61,"P.S. BILAULI BAZAR",448,388,0,836,334,279,0,613,18,0,195,7,373,13,0,1,3,0,2,2,0,0,1,3,0,6,7,613
62,"S. BHAVAN BILAULI BAZAR",651,529,0,1180,471,330,0,801,801,0,305,22,397,30,2,1,5,1,0,0,4,1,1,4,1,9,18,801
63,"""P.S. SHEKHPUR H/O BILAULI BAZAR",415,368,0,783,359,313,0,672,265,0,79,3,572,8,1,0,0,1,0,0,0,0,1,2,1,2,2,672
64,"P.S. MUSTAFABAD",221,199,0,420,192,162,0,354,353,0,80,8,244,1,0,0,3,2,2,0,1,1,1,2,0,2,7,354
65,"P. BHAVAN MEERNAGAR",305,249,0,554,253,203,0,456,456,0,143,163,104,30,1,1,0,1,0,0,0,0,0,0,1,2,10,456
66,"P.S. SOSA H/O KHAFA",460,364,0,824,338,198,0,536,47,0,87,37,367,14,2,1,6,1,1,1,5,1,4,5,0,3,1,536
67,"P.S. KAHARPUR H/O KHAFA",411,315,0,726,267,206,0,473,178,0,290,26,123,14,0,0,4,2,1,0,0,0,0,5,1,2,5,473
68,"P.S. BAGHAIN",758,622,0,1380,537,396,0,933,223,0,398,103,362,26,1,2,8,2,1,0,6,0,1,4,2,8,9,933
69,"P.S. USMANPUR",581,548,0,1129,460,394,0,854,58,0,232,130,449,23,2,2,2,1,1,1,0,0,0,2,2,0,7,854
70,"P.S. SHIHARUKHEDA",411,350,0,761,329,253,0,582,520,0,130,20,384,15,0,1,6,3,3,2,0,0,2,7,1,4,4,582
71,"P.S. ATROULI H/O SHIHARUKHERA",581,480,0,1061,472,362,0,834,834,0,205,50,529,18,1,2,8,0,4,2,0,0,0,5,3,3,4,834
72,"P.S. UNERA",392,343,0,735,312,227,0,539,258,0,219,5,243,51,0,2,2,3,1,1,0,0,2,1,2,5,2,539
73,"J.H.S. GODHAURI",664,530,0,1194,554,325,0,879,37,0,173,56,584,31,2,2,6,1,0,1,1,1,0,8,1,5,7,879
74,"P.S. MAJHIGAVAN",741,642,0,1383,506,414,0,920,920,0,369,11,458,34,4,1,4,2,4,1,1,3,1,2,4,9,12,920
75,"P.S. KHANTA H/O RAMDWARI",215,197,0,412,187,163,0,350,350,0,53,3,283,5,0,0,1,0,0,0,4,0,0,1,0,0,0,350
76,"""P.S. JORAURA H/0 PACHDEVRACHAUVE",312,271,0,583,247,199,0,446,69,0,113,56,263,3,0,0,0,1,3,0,0,0,0,2,1,2,2,446
77,"""P.S. SIKTIHA H/0 PACHDEVRACHAUVE R.NO.1",339,286,0,625,240,208,0,448,442,0,148,13,262,6,1,0,1,0,0,0,2,0,1,0,3,2,9,448
78,"""P.S. SIKTIHA H/0 PACHDEVRACHAUVE R.NO.2",476,386,0,862,387,277,0,664,658,0,188,13,435,12,1,1,4,1,3,0,1,0,0,2,0,1,2,664
79,"P.S. SOHARIYA",423,378,0,801,341,285,0,626,23,0,155,165,272,12,0,1,4,1,1,0,0,1,1,4,1,5,3,626
80,"P.S. BHAURI",651,529,0,1180,495,378,0,873,873,0,578,126,99,20,0,2,3,2,1,1,3,1,2,4,4,7,20,873
81,"P.S. NYAMATPUR LABARAHA R.NO. 1",573,452,0,1025,387,293,0,680,208,0,291,214,118,32,0,0,1,1,0,2,0,0,0,1,5,4,11,680
82,"P.S. NYAMATPUR LABARAHA R.NO. 2",367,305,0,672,264,215,0,479,4,0,61,70,322,13,1,0,4,1,0,1,0,0,1,1,0,0,4,479
83,"P.S. VAJID NAGAR",491,416,0,907,331,252,0,583,521,0,181,90,255,12,1,2,2,4,2,0,0,0,0,2,1,4,27,583
84,"P.S. HARARMAU",249,207,0,456,198,152,0,350,343,0,83,166,89,4,2,1,0,0,1,0,0,0,0,1,1,2,0,350
85,"P.S. SHANKARPUR",357,291,0,648,276,220,0,496,471,0,272,74,54,60,3,0,3,3,3,0,0,1,1,4,0,6,12,496
86,"P.S. FIROJPUR",253,221,0,474,214,164,0,378,370,0,166,191,10,8,0,0,0,0,0,0,0,0,0,0,1,2,0,378
87,"P.S. BEHATIMANSHAH",455,389,0,844,333,280,0,613,9,0,264,43,236,28,0,4,4,1,3,1,2,0,3,6,4,8,6,613
88,"P.S. SIRAULI",477,391,0,868,395,315,0,710,17,0,318,79,243,32,0,1,1,1,0,0,3,1,0,4,1,4,22,710
89,"P.S. SARAYAN BALDEV SINGH",496,399,0,895,317,233,0,550,513,0,174,31,200,117,2,1,8,1,0,0,4,2,1,3,0,3,3,550
90,"P.S. KHERIYA H/O SAHINPUR",383,332,0,715,319,228,0,547,328,0,212,166,137,8,0,0,1,0,0,0,0,2,3,5,1,6,6,547
91,"J.H.S. LODHASA",654,524,0,1178,394,357,0,751,6,0,268,36,388,24,3,0,2,2,1,1,3,0,1,3,4,5,10,751
92,"P.S. KANDICHANDPUR",403,273,0,676,319,236,0,555,64,0,179,228,107,11,0,1,5,1,1,2,2,0,1,2,3,4,8,555
93,"P.S. MADARIPUR",400,345,0,745,337,262,0,599,260,0,165,6,353,63,1,1,0,2,5,0,0,0,0,1,1,0,1,599
94,"P.S. KANSHA",595,493,0,1088,459,329,0,788,418,0,289,48,379,16,1,1,5,1,2,2,1,3,1,5,5,6,23,788
95,"P.S. BAMBHAURA",245,198,0,443,189,149,0,338,230,0,101,19,199,7,1,0,1,0,0,0,0,0,2,2,2,1,3,338
96,"P.S.  ASHARAFPUR RAJASAHAB",869,688,0,1557,635,454,0,1089,17,0,404,132,482,27,2,0,5,0,0,0,2,2,0,8,3,8,14,1089
97,"P.S. SADRAVAN",580,496,0,1076,431,363,0,794,199,0,415,54,231,43,0,2,9,1,0,1,1,0,1,6,4,8,18,794
98,"P.S. DUBSENA",301,248,0,549,233,192,0,425,345,0,240,56,91,8,1,0,2,2,0,0,0,0,0,1,2,11,11,425
99,"P.S. MEHRAMAU",435,373,0,808,348,219,0,567,109,0,312,90,110,18,1,0,2,3,0,1,1,0,4,5,1,5,14,567
100,"J.H.S. SEMRA",655,518,0,1173,461,352,0,813,727,0,307,18,350,68,3,2,11,1,2,1,1,0,2,3,1,6,37,813
101,"P.S. PAHARAPUR",479,402,0,881,325,286,0,611,494,0,280,19,266,20,1,1,1,1,2,0,0,1,0,5,2,7,5,611
102,"P.S. ICHAULI",559,462,0,1021,434,324,0,758,150,0,281,44,373,18,1,1,8,2,0,0,1,0,1,3,3,8,14,758
103,"P.S. KALUWAPUR",352,270,0,622,279,204,0,483,483,0,184,9,231,15,0,0,6,0,2,0,1,1,1,5,4,8,16,483
104,"P.S. BAHRAULI H/0 KALUWAPUR",382,332,0,714,275,226,0,501,9,0,155,111,193,19,0,1,1,1,0,0,2,1,2,4,1,2,8,501
105,"P.S. RAJUVAPUR H/0 SUKAIPUR",346,312,0,658,249,229,0,478,478,0,126,3,264,63,1,1,8,0,1,1,0,0,1,3,0,1,5,478
106,"P.S. IMALIYA TILKAPUR R.NO.1",852,600,0,1452,509,370,0,879,877,0,621,92,106,28,4,2,5,2,1,0,1,0,0,3,3,7,4,879
107,"P.S. IMALIYA TILKAPUR R.NO.2",477,407,0,884,331,269,0,600,431,0,320,13,223,19,1,3,5,2,1,1,1,2,0,0,1,7,1,600
108,"K.I.C. MAHMOODABAD R.N0. 1",743,601,0,1344,472,348,0,820,809,0,509,62,140,68,3,1,5,1,2,0,0,2,1,5,5,9,7,820
109,"K.I.C. MAHMOODABAD R.N0. 2",631,583,0,1214,394,352,0,746,746,0,424,32,250,21,1,0,3,0,1,0,0,0,1,0,1,3,9,746
110,"J.H.S. RAMKUNDHA R.NO. 1",730,627,0,1357,410,362,0,772,37,0,78,31,593,25,0,2,6,1,4,1,8,2,0,5,3,4,9,772
111,"J.H.S. RAMKUNDHA R.NO. 2",460,404,0,864,326,227,0,553,146,0,77,17,431,18,0,1,2,0,0,1,0,0,0,0,1,0,5,553
112,"P.S. BACHHILPUR",250,218,0,468,194,168,0,362,100,0,101,12,136,96,1,1,1,1,1,1,1,1,3,2,1,3,0,362
113,"P.S. CHATURA BEHAD",253,236,0,489,210,195,0,405,402,0,60,8,309,21,0,0,2,1,0,0,2,0,0,1,0,1,0,405
114,"K.I.C. WACHNALAYA",578,508,0,1086,338,303,0,641,8,0,318,101,104,88,0,0,1,0,0,2,9,0,1,2,2,5,8,641
115,"""GOVT. DIGREE COLLAGE R.NO.1",555,453,0,1008,326,263,0,589,564,0,187,47,323,14,0,2,3,0,2,0,3,1,0,2,2,1,2,589
116,"""GOVT. DIGREE COLLAGE R.NO.2",414,403,0,817,272,219,0,491,187,0,73,16,390,8,0,0,1,0,0,0,0,0,0,2,0,0,1,491
117,"""GOVT. DIGREE COLLAGE R.NO.3",196,181,0,377,128,92,0,220,220,0,64,12,124,17,1,1,1,0,0,0,0,0,0,0,0,0,0,220
118,"P.S. RAMKUNDA R.NO. 1",638,497,0,1135,429,315,0,744,128,0,134,18,550,22,3,2,6,2,0,1,1,0,1,0,1,1,2,744
119,"P.S. RAMKUNDA R.NO. 2",640,534,0,1174,356,280,0,636,236,0,279,18,316,12,1,0,0,1,1,0,0,1,0,0,1,3,3,636
120,"G.G.I.C. MAHMOODABAD R.NO. 1",612,476,0,1088,343,241,0,584,49,0,465,42,58,12,0,0,0,0,0,0,1,1,0,2,0,3,0,584
121,"G.G.I.C. MAHMOODABAD R.NO. 2",527,413,0,940,361,319,0,680,625,0,253,47,337,15,1,0,3,1,0,1,0,0,2,10,2,3,5,680
122,"G.G.I.C. MAHMOODABAD R.NO. 3",544,491,0,1035,277,220,0,497,444,0,204,19,224,37,0,0,4,0,0,0,2,0,0,2,1,1,3,497
123,"G.G.I.C. MAHMOODABAD R.NO. 4",630,573,0,1203,356,263,0,619,446,0,348,73,136,44,1,0,1,0,0,0,7,0,0,3,0,2,4,619
124,"G.G.I.C. MAHMOODABAD R.NO. 5",762,609,0,1371,437,362,0,799,20,0,482,113,154,32,1,0,1,0,2,0,2,0,1,2,3,2,4,799
125,"P.S. MAHMOODABAD R.NO. 1",573,574,0,1147,341,299,0,640,185,0,326,137,65,77,0,1,3,0,1,0,7,1,0,3,3,5,11,640
126,"P.S. MAHMOODABAD R.NO. 2",363,318,0,681,210,173,0,383,377,0,233,100,12,25,1,0,0,0,1,0,5,0,0,0,1,1,4,383
127,"P.S. MAHMOODABAD R.NO. 3",741,655,0,1396,474,402,0,876,219,0,621,73,123,27,1,2,2,0,1,0,5,0,0,5,0,6,10,876
128,"P.S. MAHMOODABAD R.NO. 4",571,498,0,1069,372,290,0,662,662,0,242,36,322,31,3,2,0,0,2,1,8,1,1,2,2,2,7,662
129,"J.H.S. SHERAPUR H/O BEHTACHHAVANI R.NO.1",455,410,0,865,270,254,0,524,524,0,433,36,11,34,0,0,1,0,0,0,1,0,1,1,0,1,5,524
130,"""J.H.S. SHERAPUR H/O BEHTACHHAVANI R.NO.2",486,410,0,896,207,228,0,435,100,0,304,22,43,52,1,1,1,0,1,0,5,0,2,1,0,0,2,435
131,"""J.H.S. SHERAPUR H/O BEHTACHHAVANI R.NO.3",496,466,0,962,332,267,0,599,599,0,154,38,351,23,2,0,5,1,1,1,2,2,2,6,2,7,2,599
132,"""J.H.S. SHERAPUR H/O BEHTACHHAVANI R.NO.4",573,422,0,995,338,242,0,580,412,0,158,55,321,24,1,1,2,2,1,0,2,1,2,4,2,0,4,580
133,"J.H.S. NOORPUR R. NO. 1",694,524,0,1218,471,343,0,814,671,0,729,25,8,6,0,1,4,1,0,0,2,1,0,7,3,13,14,814
134,"J.H.S. NOORPUR R. NO. 2",592,412,0,1004,340,276,0,616,599,0,539,18,24,9,1,1,1,1,1,0,0,0,0,1,0,0,20,616
135,"J.H.S. NOORPUR R. NO. 3",491,375,0,866,259,182,0,441,204,0,414,10,6,0,0,0,0,1,2,0,0,0,0,2,2,3,1,441
136,"""BLOCK OFFICE MAHMOODABAD R.NO.1",782,607,0,1389,448,349,0,797,545,0,218,45,470,43,3,1,3,3,1,0,2,1,0,1,2,1,3,797
137,"""BLOCK OFFICE MAHMOODABAD R.NO.2",581,507,0,1088,360,291,0,651,651,0,170,15,430,22,1,2,4,1,1,0,0,0,0,2,1,1,1,651
138,"P.S. NIYAMATPUR SALAUDDINPUR",274,216,0,490,221,181,0,402,217,0,33,6,338,12,0,1,2,1,0,0,0,0,1,4,0,1,3,402
139,"P.S. SUNDAULI R.NO. 1",425,340,0,765,310,258,0,568,568,0,245,14,285,5,0,0,1,1,2,0,2,0,0,1,0,4,8,568
140,"P.S. SUNDAULI R.NO. 2",519,442,0,961,391,320,0,711,690,0,151,31,500,7,0,0,4,1,2,1,2,0,0,4,1,7,0,711
141,"P.S. GULRAMAU R. NO. 1",571,462,0,1033,397,335,0,732,732,0,298,14,375,24,0,1,0,1,0,1,2,1,0,2,1,6,6,732
142,"P.S. GULRAMAU R. NO. 2",381,298,0,679,229,174,0,403,289,0,218,10,136,12,1,1,4,0,1,0,0,1,0,3,1,5,10,403
143,"P.S. ABDULLAPUR",244,198,0,442,162,132,0,294,12,0,12,21,245,9,1,1,0,0,0,0,1,1,1,0,0,1,1,294
144,"P.S. MUBARAKPUR KALA",795,663,0,1458,590,419,0,1009,1009,0,291,12,666,3,0,0,4,2,0,0,4,0,0,4,3,2,18,1009
145,"P.S. BHARAHARMAU",263,232,0,495,213,198,0,411,409,0,224,2,166,0,0,0,1,0,1,0,0,0,0,3,1,4,9,411
146,"P.S. CHHANGAPUR",351,278,0,629,276,199,0,475,475,0,234,5,195,10,0,0,3,0,3,1,1,0,3,5,2,8,5,475
147,"P.S. REVAN",701,595,0,1296,396,358,0,754,14,0,438,15,242,12,1,0,4,2,2,2,0,1,0,4,1,19,11,754
148,P.S.SHYAMDASPUR,214,189,0,403,173,161,0,334,332,0,127,13,162,9,1,0,1,1,1,0,0,0,0,3,0,3,13,334
149,P.S.KUNSARA,505,446,0,951,394,316,0,710,689,0,189,9,426,29,5,1,9,0,0,1,18,0,1,4,2,9,7,710
150,"P.S.PAITEPUR R.NO-1",777,581,0,1358,435,332,0,767,717,0,637,5,89,8,2,0,4,1,2,0,0,1,0,5,3,4,6,767
151,"P.S.PAITEPUR R.NO-2",624,508,1,1133,365,300,0,665,664,0,544,8,86,11,2,0,2,2,0,0,0,0,1,3,0,0,6,665
152,"P.S.PAITEPUR R.NO-3",500,358,0,858,292,207,0,499,422,0,420,15,32,9,0,0,1,0,0,1,0,1,0,1,0,3,16,499
153,"P.S.PAITEPUR R.NO-4",445,371,0,816,254,213,0,467,467,0,367,5,75,8,0,0,0,2,0,2,1,1,1,3,0,1,1,467
154,"K.J.H.S.PAITEPUR R.NO.1",691,547,0,1238,405,333,0,738,722,0,585,29,95,10,1,0,1,0,2,0,0,0,1,5,0,2,7,738
155,"K.J.H.S.PAITEPUR R.NO.2",730,535,0,1265,413,276,0,689,623,0,308,34,298,14,2,2,4,3,3,0,0,0,3,4,4,7,3,689
156,"K.J.H.S.PAITEPUR R.NO.3",762,612,1,1375,497,388,0,885,722,0,482,27,326,12,2,0,4,1,0,0,1,0,1,8,4,10,7,885
157,"P.S. KESHARWARA",765,601,0,1366,492,460,0,952,110,0,547,21,301,12,1,1,4,3,2,0,1,2,1,4,5,16,31,952
158,"P.S. SAIDANPUR",441,365,0,806,318,296,0,614,429,0,70,33,461,14,1,0,5,1,2,2,0,2,2,9,3,8,1,614
159,P.S.SHADIPUR,160,120,0,280,127,106,0,233,191,0,42,3,138,42,1,1,0,0,1,1,0,0,1,0,0,2,1,233
160,P.S.BAQERNAGER,585,476,0,1061,349,360,0,709,21,0,438,12,218,6,0,0,5,1,0,1,0,1,2,2,2,5,16,709
161,P.S.MITAURA,780,582,0,1362,596,306,0,902,35,0,509,56,276,40,1,0,4,0,1,0,0,0,1,2,0,3,9,902
162,P.S.NANDANPUR,527,414,0,941,368,271,0,639,394,0,161,11,436,5,2,2,7,0,0,0,0,1,0,5,1,2,6,639
163,P.S.DEVORIYA,139,133,0,272,131,120,0,251,248,0,26,1,207,12,2,0,1,0,0,0,0,0,0,0,0,2,0,251
164,"P.S.MEERANAGER R.NO.1",645,591,0,1236,445,414,0,859,859,0,252,18,550,15,2,0,1,3,0,1,6,0,2,0,0,2,7,859
165,"P.S.MEERANAGER R.NO.2",525,504,0,1029,374,298,0,672,670,0,251,54,315,17,0,1,1,0,0,1,1,2,1,6,4,8,10,672
166,"P.S.BHITAURA H/O MEERANAGER",205,198,0,403,188,181,0,369,366,0,117,4,239,0,1,0,0,0,0,0,0,0,0,1,0,3,4,369
167,P.S.GAURIYA,525,449,0,974,422,358,0,780,776,0,259,24,419,15,2,1,8,1,2,2,1,1,3,15,4,13,10,780
168,"P.S.SAMADA R.NO.1",500,438,0,938,348,300,0,648,648,0,246,26,316,7,1,2,2,5,2,1,2,0,0,9,3,12,14,648
169,"P.S.SAMADA R.NO.2",414,343,0,757,293,164,0,457,324,0,49,80,283,6,1,1,4,0,12,2,0,2,1,5,2,7,2,457
170,P.S.ALAMPUR,415,344,0,759,325,252,0,577,71,0,243,8,295,8,0,1,1,0,0,0,3,0,0,5,2,4,7,577
171,P.S.UMARIYA,368,291,0,659,284,213,0,497,19,0,239,36,188,5,1,1,4,1,1,0,1,0,2,1,3,2,12,497
172,P.S.BILASHPURKALAN,512,416,0,928,394,248,0,642,10,0,83,250,262,12,3,3,6,1,0,0,2,0,2,5,6,7,0,642
