"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NARENDRA BHATI","2 - DR.MAHESH  SHARMA","3 - RAMESH CHAND TOMAR","4 - SATISH KUMAR","5 - UDAYVEER","6 - KISHAN PAL SINGH","7 - GAJENDRA","8 - DHARMENDER","9 - RAVINDER SHARMA","10 - RAM VILAS","11 - RUVEZ ALAM RAHI","12 - MOHD. SABIR ANSARI","13 - LT COL SP SINGH","14 - SEEMA","15 - SONIA SHARMA","16 - KADEEM","17 - KADIR KHAN JAISWAL","18 - GRISA KUMAR","19 - MAHESH","20 - RAKESH","21 - SAFRUDDIN","22 - SAVITRI","23 - SUNIL GAUTAM","24 - SUMITI","25 - None of the Above","Total Votes Secured"
51,"J. H. SCHOOL SALEMPUR GUJAR R.NO. 1",691,569,0,1260,418,300,0,718,710,0,372,223,4,105,1,0,0,0,1,1,0,3,0,0,2,1,0,1,2,0,0,0,0,0,2,718
52,"J. H. SCHOOL SALEMPUR GUJAR R.NO. 2",556,459,0,1015,365,227,0,592,592,0,374,122,0,86,1,1,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,1,0,0,592
53,"J. H. SCHOOL SALEMPUR GUJAR R.NO. 3",490,339,0,829,346,224,0,570,554,0,323,68,3,160,0,1,0,0,0,0,0,0,2,0,0,1,3,4,2,0,0,1,0,0,2,570
54,"PRY. SCHOOL AMINABAD URF NYANA R.NO. 1",686,455,0,1141,480,280,0,760,751,0,577,126,1,42,0,3,1,1,0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,1,0,760
55,"PRY. SCHOOL RAMPUR MAZRA R.NO. 1",780,639,0,1419,576,426,0,1002,1002,0,671,142,1,171,0,1,1,0,0,1,0,1,0,0,3,5,3,0,0,0,0,1,0,0,1,1002
56,"PRY. SCHOOL KULIPURA R.NO. 1",583,404,0,987,398,245,0,643,642,0,470,72,1,90,1,1,0,0,0,0,0,0,0,3,1,1,3,0,0,0,0,0,0,0,0,643
57,"RAJENDRA I. C. VILASPUR R.NO. 1",830,627,0,1457,506,348,0,854,853,0,475,224,1,123,0,2,0,0,0,0,0,4,1,0,4,12,2,1,0,1,1,0,1,1,1,854
58,"RAJENDRA I. C. VILASPUR R.NO. 2",549,487,0,1036,320,251,0,571,570,0,325,185,4,35,0,4,4,2,0,0,1,1,1,0,1,0,4,2,0,0,0,0,1,0,1,571
59,"RAJENDRA I. C. VILASPUR R.NO. 3",543,493,0,1036,297,251,0,548,543,0,320,114,4,99,0,1,0,0,0,0,1,3,1,0,1,2,2,0,0,0,0,0,0,0,0,548
60,"RAJENDRA I. C. VILASPUR R.NO. 4",578,460,0,1038,359,260,0,619,619,0,148,418,4,18,0,7,0,0,1,1,1,9,1,0,2,3,1,2,0,1,0,0,1,0,1,619
61,"RAJENDRA I. C. VILASPUR R.NO. 5",435,357,0,792,217,155,0,372,372,0,103,224,9,23,2,4,0,0,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,372
62,"RAJENDRA I. C. VILASPUR R.NO. 6",460,393,0,853,295,204,0,499,498,0,331,100,1,57,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,0,0,0,0,0,0,499
63,"RAJENDRA I. C. VILASPUR R.NO. 7",574,474,0,1048,368,221,0,589,589,0,439,84,6,43,0,0,0,0,0,0,0,2,0,1,1,7,2,0,0,0,0,0,1,0,3,589
64,"RAJENDRA I. C. VILASPUR R.NO. 8",786,681,0,1467,476,341,0,817,817,0,350,57,2,384,4,1,0,1,0,0,0,2,0,0,0,6,2,1,2,0,1,0,1,0,3,817
65,"PRY. SCHOOL AZAMPUR GARHI R.NO. 1",525,378,0,903,478,264,0,742,742,0,608,96,5,29,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,742
66,"PRY. SCHOOL BANJARPUR R.NO. 1",673,561,0,1234,539,398,0,937,937,0,516,107,3,297,2,2,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,937
67,"PRY. SCHOOL SARAKPUR-2 R.NO. 1",431,349,0,780,215,288,0,503,503,0,311,53,3,120,1,0,0,1,0,0,0,2,0,7,0,1,1,1,0,0,1,1,0,0,0,503
68,"PRY. SCHOOL BHATTA R.NO. 1",754,597,1,1352,449,330,0,779,779,0,205,487,5,57,2,2,0,2,0,0,1,4,0,0,2,3,7,0,0,0,0,0,2,0,0,779
69,"PRY. SCHOOL BHATTA R.NO. 2",860,653,0,1513,514,367,0,881,881,0,298,444,4,114,3,1,0,1,0,0,0,3,1,0,6,2,2,1,0,0,0,0,1,0,0,881
70,"PRY. SCHOOL CHUHARPUR BANGAR R.NO. 1",425,371,0,796,370,303,0,673,673,0,564,1,1,100,0,1,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,673
71,"PRY. PATH. TALRA R.NO. 1",747,501,0,1248,520,308,0,828,828,0,273,94,4,432,1,1,0,1,0,2,1,4,2,0,0,3,2,4,0,1,0,0,0,0,3,828
72,"PRY. SCHOOL HATEVA  R.NO. 1",565,502,0,1067,483,339,0,822,820,0,70,415,8,300,2,1,0,0,0,1,0,2,1,0,0,0,0,0,1,1,2,5,4,5,4,822
73,"PRY. SCHOOL DALEL GARH R.NO. 1",766,517,0,1283,513,492,0,1005,1005,0,613,155,3,213,1,1,0,0,1,0,0,2,0,0,2,5,2,1,0,1,0,1,3,0,1,1005
74,"PRY. SCHOOL BAGPUR R.NO. 1",797,586,0,1383,581,320,0,901,901,0,354,293,6,228,1,2,1,2,0,0,2,3,0,0,0,0,0,1,0,2,3,0,0,0,3,901
75,"PRY. SCHOOL PIPLKA SURATPUR R.NO. 1",440,339,0,779,271,177,0,448,448,0,271,42,2,118,0,1,0,1,0,0,0,0,5,0,1,2,1,1,0,1,0,0,0,0,2,448
76,"PRY. SCHOOL PIPLKA SURATPUR R.NO. 2",469,375,0,844,268,203,0,471,471,0,337,57,1,61,0,7,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,1,471
77,"PRY. SCHOOL VISAECH R.NO. 1",292,218,0,510,232,140,0,372,372,0,180,104,0,70,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,3,0,0,1,0,0,372
78,"PRY. SCHOOL DADUPUR DANKAUR R.NO. 1",909,667,0,1576,657,425,0,1082,1082,0,751,111,4,190,1,7,0,2,0,0,0,2,1,0,1,3,3,2,1,1,0,0,1,0,1,1082
79,"PRY. SCHOOL DADUPUR DANKAUR R.NO. 2",499,391,0,890,451,294,0,745,745,0,584,82,2,51,0,0,1,1,1,0,0,2,0,0,2,5,3,4,1,1,0,2,0,2,1,745
80,"PRY. SCHOOL AMARPUR R.NO. 1",538,449,0,987,430,329,0,759,751,0,382,125,5,226,0,0,1,0,0,0,0,3,0,0,0,1,3,4,0,1,1,0,0,2,5,759
81,"PRY. SCHOOL NANUAKA RAJPUR R.NO. 1",243,230,0,473,217,207,0,424,424,0,350,19,1,47,0,3,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,424
82,"PRY. SCHOOL NAVADA R.NO. 1",685,537,0,1222,557,301,0,858,858,0,669,121,1,56,0,1,2,0,0,0,0,2,0,0,1,0,2,1,0,1,0,0,0,0,1,858
83,"PRY. SCHOOL NAVADA R.NO. 2",703,501,0,1204,392,200,0,592,592,0,343,46,0,191,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,5,1,0,0,0,0,592
84,"PRY. SCHOOL KANARSI R.NO. 1",613,443,0,1056,422,259,0,681,681,0,154,65,2,431,0,1,0,1,1,0,1,3,6,0,2,4,2,1,1,0,1,0,3,1,1,681
85,"PRY. SCHOOL KANRSA MAZRA KANARSI R.NO. 1",521,367,0,888,402,248,0,650,650,0,457,83,1,92,0,0,0,0,0,0,1,0,0,1,1,4,3,2,1,1,0,3,0,0,0,650
86,"PRY. SCHOOL KANARSI R.NO. 2",514,424,0,938,378,283,0,661,661,0,419,114,5,104,1,0,0,1,1,0,0,1,0,1,1,3,3,4,0,1,0,1,0,1,0,661
87,"PRY. SCHOOL JUNAIDPUR R.NO. 1",475,339,0,814,335,201,0,536,536,0,361,56,3,101,0,1,0,0,0,1,0,2,0,0,0,5,3,0,0,1,0,1,0,0,1,536
88,"PRY. SCHOOL JUNAIDPUR R.NO. 2",468,300,0,768,348,177,0,525,525,0,334,86,0,90,1,0,0,1,0,0,1,0,0,0,1,7,3,0,0,1,0,0,0,0,0,525
89,"PRY. SCHOOL CHACHULA R.NO. 1",662,466,0,1128,457,277,0,734,734,0,326,194,2,181,1,0,1,0,0,0,0,0,1,0,0,0,9,3,2,2,2,2,0,3,5,734
90,"PRY. SCHOOL CHACHULA R.NO. 2",425,277,0,702,276,145,0,421,421,0,287,61,4,55,2,3,0,0,0,0,0,0,0,0,0,4,2,0,1,0,1,0,0,1,0,421
91,"PRY. SCHOOL ROSHANPUR R.NO. 1",466,302,0,768,305,191,0,496,496,0,70,158,4,244,2,2,0,0,1,0,0,3,1,0,1,1,0,3,0,2,1,0,0,2,1,496
92,"PRY. SCHOOL DHANAURI R.NO. 1",857,660,0,1517,556,393,0,949,949,0,57,615,11,246,1,5,0,2,0,0,0,2,2,0,5,1,0,1,0,0,0,0,0,0,1,949
93,"PRY. SCHOOL DHANAURI R.NO. 1",168,155,0,323,76,51,0,127,127,0,35,87,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,127
94,"SUNHARI LAL BALMUKUND I. C. DHANAURI R.NO. 1",471,358,0,829,260,191,0,451,451,0,128,192,2,118,3,0,0,0,0,0,0,1,1,1,0,3,0,1,0,0,1,0,0,0,0,451
95,"SUNHARI LAL BALMUKUND I. C. DHANAURI R.NO. 2",429,313,0,742,226,162,0,388,388,0,86,237,3,48,0,0,1,1,0,0,1,4,2,0,0,3,1,0,0,0,0,0,0,1,0,388
96,"PRY. PATY. THASRANA R.NO. 1",547,470,0,1017,382,301,0,683,683,0,171,348,11,112,0,10,2,2,0,1,0,3,1,0,5,5,3,6,0,2,0,0,0,1,0,683
97,"PRY. SCHOOL CHANGAULI R.NO. 1",372,308,0,680,275,205,0,480,479,0,46,377,1,49,1,0,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,480
98,"PRY. SCHOOL USMANPUR R.NO. 1",507,374,0,881,418,277,0,695,690,0,623,25,2,38,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,2,695
99,"PRY. SCHOOL USMANPUR R.NO. 2",573,398,0,971,455,303,0,758,758,0,691,4,1,53,0,1,0,1,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,758
100,"PRY. SCHOOL MUTAINA R.NO. 1",521,404,0,925,377,302,0,679,670,0,135,424,3,102,1,1,0,0,0,3,0,2,0,0,0,1,2,3,0,1,0,0,0,1,0,679
101,"KISAN I. C. PARSAUL R.NO. 1",732,568,0,1300,441,324,0,765,760,0,55,689,2,8,1,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,765
102,"KISAN I. C. PARSAUL R.NO. 2",465,375,0,840,293,209,0,502,502,0,42,349,1,88,1,7,0,0,0,1,0,1,1,0,1,1,2,4,0,1,0,0,0,1,1,502
103,"KISAN I. C. PARSAUL R.NO.3",501,385,0,886,292,205,0,497,497,0,59,359,3,67,0,2,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,1,0,497
104,"KISAN I. C. PARSAUL R.NO.4",462,329,0,791,227,152,0,379,379,0,57,198,5,106,3,2,0,1,0,0,0,2,0,0,1,1,0,2,1,0,0,0,0,0,0,379
105,"PRY. SCHOOL ACHCHHEPUR R.NO. 1",834,652,0,1486,399,425,0,824,821,0,165,598,2,32,1,2,0,2,0,0,0,5,2,0,4,5,0,2,1,0,0,3,0,0,0,824
106,"PRY. SCHOOL CHANDPUR R.NO. 1",345,227,0,572,225,138,0,363,360,0,148,182,4,11,0,2,0,0,0,0,0,2,1,0,3,5,3,1,0,0,0,1,0,0,0,363
107,"PRY. PATH. NILAUNI R.NO. 1",508,411,0,919,340,225,0,565,562,0,142,224,2,157,0,3,2,1,1,0,1,1,0,0,1,2,8,6,0,4,0,0,3,4,3,565
108,"PRY. PATH. NILAUNI R.NO. 2",524,374,0,898,298,183,0,481,481,0,112,270,2,74,0,2,0,3,0,0,0,7,1,0,1,1,1,5,0,1,0,1,0,0,0,481
109,"PRY. SCHOOL SHAHPUR R.NO. 1",398,256,0,654,209,142,0,351,341,0,57,108,4,158,0,3,0,0,0,1,0,2,0,0,2,2,3,3,1,5,1,0,0,0,1,351
110,"PRY. SCHOOL MIRZAPUR R.NO. 1",807,650,0,1457,543,335,0,878,878,0,194,617,6,30,0,1,1,2,0,1,0,3,0,0,1,3,3,8,0,1,1,3,2,0,1,878
111,"SHRI HARDWARI LAL JANHIT H.S. SCHOOL MIRZAPUR R.NO. 1",779,607,0,1386,543,368,0,911,910,0,133,585,7,130,0,6,0,0,2,0,0,9,1,3,7,7,3,8,0,3,3,2,0,1,1,911
112,"SHRI HARDWARI LAL JANHIT H.S. SCHOOL MIRZAPUR R.NO.2",433,337,0,770,268,206,0,474,474,0,44,271,2,141,3,0,0,3,0,1,1,2,0,0,4,1,0,1,0,0,0,0,0,0,0,474
113,"SHRI HARDWARI LAL JANHIT H.S. SCHOOL MIRZAPUR R.NO. 3",316,202,0,518,179,100,0,279,270,0,72,146,1,46,1,2,0,1,0,0,0,0,3,0,1,1,0,2,0,2,0,1,0,0,0,279
114,"PRY. SCHOOL CHAPARGARH R.NO.2",296,239,0,535,266,198,0,464,464,0,381,36,0,38,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,0,0,0,464
115,"PRY. SCHOOL RAMPUR BANGAR R.NO. 1",445,367,0,812,291,238,0,529,529,0,63,379,2,59,0,3,0,0,0,0,0,2,1,0,2,1,5,7,0,1,1,1,0,0,2,529
116,"PRY. PATH. ACHCHHEJA BUJURG R.NO. 1",734,633,0,1367,556,432,0,988,988,0,535,129,4,281,2,3,0,5,0,1,1,2,2,0,9,5,0,5,1,0,0,0,2,0,1,988
117,"PRY. SCHOOL DUNGARPUR REELKA R.NO. 1",470,372,0,842,421,276,0,697,697,0,623,57,0,13,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,697
118,"PRY. SCHOOL DUNGARPUR REELKA R.NO. 2",498,404,0,902,420,299,0,719,710,0,418,66,2,215,3,3,0,1,0,2,0,3,0,0,1,2,0,0,0,0,0,1,0,2,0,719
119,"PRY. SCHOOL MOHAMMADPUR GUJAR R.NO. 1",508,389,0,897,377,227,0,604,604,0,384,84,3,123,1,1,0,0,0,0,1,2,0,0,1,1,3,0,0,0,0,0,0,0,0,604
120,"BIHARI LAL I. C. DANKAUR PURVA R.NO. 1",705,592,0,1297,474,306,0,780,780,0,155,509,4,69,2,8,1,1,0,0,1,5,0,0,0,0,1,14,4,0,0,2,0,2,2,780
121,"BIHARI LAL I. C. DANKAUR PURVA R.NO. 2",673,532,0,1205,413,308,0,721,721,0,261,304,6,109,2,8,0,3,0,4,1,5,0,1,1,4,8,1,0,0,0,1,0,1,1,721
122,"BIHARI LAL I. C. DANKAUR PURVA R.NO. 3",692,579,0,1271,407,275,0,682,681,0,154,311,5,180,3,5,0,2,0,0,0,11,0,0,1,3,3,2,0,1,0,1,0,0,0,682
123,"BIHARI LAL I. C. DANKAUR PURVA R.NO. 4",469,419,0,888,341,238,0,579,575,0,117,409,5,35,0,1,0,2,0,0,0,5,0,0,0,1,1,2,0,0,0,0,1,0,0,579
124,"BIHARI LAL I. C. DANKAUR PURVA R.NO. 5",698,512,0,1210,463,302,0,765,765,0,369,198,1,182,2,2,0,2,0,0,0,2,0,1,0,1,0,1,0,3,0,1,0,0,0,765
125,"BIHARI LAL I. C. DANKAUR PURVA R.NO. 6",775,634,0,1409,454,325,0,779,767,0,265,279,4,203,0,1,0,1,0,0,0,6,3,0,2,3,2,4,1,1,0,1,1,0,2,779
126,"PURVA M.V. T.A. DANKAUR R.NO. 1",758,618,0,1376,482,331,0,813,804,0,119,265,8,398,3,1,0,3,1,0,0,1,2,0,0,3,2,1,0,2,2,1,0,0,1,813
