"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NARENDRA BHATI","2 - DR.MAHESH  SHARMA","3 - RAMESH CHAND TOMAR","4 - SATISH KUMAR","5 - UDAYVEER","6 - KISHAN PAL SINGH","7 - GAJENDRA","8 - DHARMENDER","9 - RAVINDER SHARMA","10 - RAM VILAS","11 - RUVEZ ALAM RAHI","12 - MOHD. SABIR ANSARI","13 - LT COL SP SINGH","14 - SEEMA","15 - SONIA SHARMA","16 - KADEEM","17 - KADIR KHAN JAISWAL","18 - GRISA KUMAR","19 - MAHESH","20 - RAKESH","21 - SAFRUDDIN","22 - SAVITRI","23 - SUNIL GAUTAM","24 - SUMITI","25 - None of the Above","Total Votes Secured"
63,"ZAHIDPUR KALA ADARSH KISHAN JUNIOR HIGH SCHOOL",454,405,0,859,325,258,0,583,583,0,70,284,5,198,1,6,2,0,1,0,0,3,1,0,4,1,0,2,1,0,1,1,1,0,1,583
64,"GANTHALA PRIMARY SCHOOL",398,353,0,751,268,250,0,518,518,0,50,186,3,265,0,2,0,1,0,1,0,1,1,1,1,2,0,0,0,0,0,0,1,2,1,518
65,"SARANGPUR INTER COLLEGE R NO. 1",715,607,0,1322,447,375,0,822,822,0,16,720,8,53,1,7,0,2,1,0,1,6,0,0,2,3,0,1,0,0,0,1,0,0,0,822
66,"SARANGPUR INTER COLLEGE R NO. 2",809,706,0,1515,500,419,0,919,919,0,166,556,9,154,2,1,1,0,0,0,2,8,0,0,5,6,1,1,0,0,1,1,1,2,2,919
67,"SARANGPUR INTER COLLEGE R NO. 3",262,220,0,482,177,133,0,310,310,0,23,270,1,2,0,0,0,2,0,0,0,4,0,0,3,0,0,3,0,1,0,0,0,0,1,310
68,"KISHWAGARHI MAJRA SARANGPUR PRIMARY SCHOOL",535,450,0,985,421,337,0,758,758,0,215,456,1,71,0,2,0,1,0,0,1,1,0,0,4,3,0,1,0,0,0,1,0,0,1,758
69,"QUARSI PRIMARY SCHOOL",578,498,0,1076,390,342,0,732,732,0,158,259,12,271,1,3,0,1,1,0,0,6,1,0,2,7,2,2,0,0,0,0,2,0,4,732
70,"SAUDA HABIBPUR JUNIOR HIGH SCHOOL R NO. 1",567,491,0,1058,390,258,0,648,648,0,121,489,7,6,0,5,1,1,0,0,1,4,0,2,1,0,1,5,0,0,1,0,0,1,2,648
71,"SAUDA HABIBPUR JUNIOR HIGH SCHOOL R NO. 2",512,435,0,947,327,230,0,557,557,0,35,407,3,96,0,1,0,2,0,0,0,3,0,1,2,1,1,3,1,0,0,1,0,0,0,557
72,"SAUDA HABIBPUR JUNIOR HIGH SCHOOL R NO. 3",523,417,0,940,339,241,0,580,580,0,86,428,3,32,1,2,0,3,0,0,0,3,2,2,4,5,1,5,2,0,0,0,0,1,0,580
73,"SAUDA HABIBPUR PRIMARY SCHOOL",550,463,0,1013,312,226,0,538,538,0,38,236,7,137,2,61,1,14,1,2,1,11,0,1,7,4,3,6,3,0,1,1,1,0,0,538
74,"BHADWAN PRIMARY SCHOOL R NO. 1",542,466,0,1008,376,305,0,681,681,0,20,390,3,228,3,5,0,1,0,0,1,12,0,0,2,1,0,6,1,0,3,1,1,0,3,681
75,"BHADWAN PRIMARY SCHOOL R NO. 2",238,222,0,460,189,165,0,354,354,0,0,3,3,343,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,354
