"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIS AHMAD KHAN ALIAS PHOOL BABU","2 - BUDHSEN VERMA","3 - MANEKA SANJAY GANDHI","4 - SANJAY KAPOOR","5 - NILIMA SHARMA","6 - RAJEEV AGRAWAL","7 - RAM AUTAR","8 - SANJAY KUMAR","9 - ARAMAN KHAN","10 - MOHD NAEEM ANSARI","11 - MUNESH SINGH","12 - RAVINDRA KUMAR DEVNATH","13 - None of the Above","Total Votes Secured"
61,"BHRASI BALE URF BARSIYA",481,374,1,856,301,208,0,509,7,0,179,25,273,9,3,1,1,0,0,3,6,2,7,509
62,CHAUKHANDI,283,236,0,519,204,171,0,375,375,0,43,13,270,33,0,8,4,0,0,1,1,0,2,375
63,"UGANPUR MARAURI",322,271,0,593,250,184,0,434,2,0,83,14,324,3,0,2,0,0,1,0,5,0,2,434
64,KHANDEPUR,604,459,0,1063,346,231,0,577,577,0,148,84,310,7,3,4,3,1,4,1,3,1,8,577
65,"NABDIYA BALJEET",269,236,0,505,186,163,0,349,12,0,27,31,249,8,0,0,1,0,3,2,13,2,13,349
66,RAYSAYKHANPUR,601,470,0,1071,315,223,0,538,538,0,411,99,11,10,0,2,0,0,0,0,0,1,4,538
67,RAYSAYKHANPUR,845,667,0,1512,445,301,0,746,6,0,510,205,12,3,7,1,0,0,0,0,1,2,5,746
68,RAYSAYKHANPUR,712,612,0,1324,302,246,0,548,8,0,263,239,14,20,1,0,2,1,1,0,1,0,6,548
69,RAYSAYKHANPUR,589,484,0,1073,351,242,0,593,593,0,283,293,4,5,2,2,0,0,0,0,0,1,3,593
70,RAYPUR,629,574,0,1203,437,369,0,806,6,0,223,78,388,9,0,63,3,0,2,2,12,5,21,806
71,"MEERPUR GEERND",378,359,0,737,1,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
72,"DULAYATPUR HEERA",782,603,0,1385,446,336,0,782,4,0,181,130,441,10,1,2,0,0,1,2,2,1,11,782
73,"MANPUR MURORI",294,242,0,536,219,150,0,369,3,0,52,176,136,2,0,0,0,0,0,0,1,0,2,369
74,VEEDGAAGA,224,184,0,408,180,151,0,331,331,0,35,34,251,4,2,2,0,1,0,0,2,0,0,331
75,BONI,762,634,0,1396,461,362,0,823,10,0,208,65,511,5,0,7,2,0,3,3,7,4,8,823
76,BARA,390,338,0,728,269,231,0,500,10,0,95,17,355,25,0,0,0,1,1,0,0,1,5,500
77,"IMLIYA MARRORI",366,348,0,714,275,229,0,504,13,0,237,13,234,3,0,4,0,0,1,1,4,0,7,504
78,LUHICH,707,598,0,1305,447,350,0,797,10,0,117,31,613,12,1,1,0,0,4,1,6,2,9,797
79,LIHICH,365,277,0,642,227,171,0,398,18,0,223,12,152,1,0,1,1,0,0,1,3,1,3,398
80,"AHDILLAHBAD BISALPUR",403,342,0,745,251,201,0,452,452,0,52,59,324,8,1,0,0,1,2,0,2,0,3,452
81,BADYRA,541,465,0,1006,6,1,0,7,1,0,2,1,4,0,0,0,0,0,0,0,0,0,0,7
82,BAHDARI,241,197,0,438,3,6,0,9,3,0,4,2,3,0,0,0,0,0,0,0,0,0,0,9
83,"SIVPURI NAVADIYA",792,723,0,1515,512,422,0,934,10,0,169,264,470,10,0,1,2,0,2,2,4,2,8,934
84,"KARMAPUR MAFI",398,371,0,769,283,246,0,529,4,0,129,33,340,4,3,0,2,1,0,1,2,6,8,529
85,ROYNIHA,518,472,0,990,369,309,0,678,8,0,141,81,434,4,0,1,4,2,1,0,6,0,4,678
86,ROYNIHA,301,273,0,574,207,160,0,367,367,0,141,62,141,1,2,1,12,2,0,0,3,0,2,367
87,"CHATIYA SAYVARAM",563,484,0,1047,412,348,0,760,20,0,155,74,482,18,1,2,0,2,0,1,7,5,13,760
88,"KANAKA UCHSIYA",794,711,0,1505,568,441,0,1009,26,0,263,257,444,12,0,0,4,2,2,2,5,1,17,1009
89,"KARAGPUR KAYLA",681,562,0,1243,493,311,0,804,804,0,181,70,509,10,1,3,11,1,3,3,6,1,5,804
90,"VIHARIPUR KUMRIKA",566,468,0,1034,373,307,0,680,680,0,90,18,523,9,3,3,0,1,0,2,8,0,23,680
91,PAHDGAJ,767,618,0,1385,432,351,0,783,28,0,298,252,209,0,0,2,0,0,1,2,3,3,13,783
92,PAHDGAJ,714,616,0,1330,336,239,0,575,11,0,256,277,5,3,0,0,0,1,3,1,3,7,19,575
93,"TAYDA SIREERAM",550,477,0,1027,373,305,0,678,69,0,259,142,244,5,0,0,0,2,1,1,4,4,16,678
94,"KARANPUR CHAK",389,300,0,689,283,192,0,475,11,0,128,125,201,2,0,0,1,0,2,0,2,5,9,475
95,BANPURA,371,283,0,654,267,187,0,454,454,0,187,75,181,3,1,0,0,0,2,0,0,1,4,454
96,KAYCHUYA,294,260,0,554,229,178,0,407,7,0,35,21,326,5,0,4,1,0,3,2,4,0,6,407
97,DUKALIYA,260,202,0,462,182,138,0,320,9,0,47,26,228,4,0,0,0,1,1,0,7,3,3,320
98,"GULAYDA GUATIYA",617,519,0,1136,492,359,0,851,54,0,83,264,472,2,0,2,3,3,1,3,7,2,9,851
99,SAFORA,404,354,0,758,280,234,0,514,15,0,98,10,365,7,2,1,0,0,3,0,4,4,20,514
100,"SUKATIYA JSHKARANPUR",440,404,0,844,286,230,0,516,516,0,148,106,242,3,0,3,1,1,0,2,3,2,5,516
101,DAKVARA,364,327,0,691,290,268,0,558,1,0,99,13,394,24,0,2,0,0,0,2,6,4,14,558
102,MEEGUNA,494,429,0,923,321,247,0,568,29,0,173,190,182,5,2,5,0,0,2,0,1,1,7,568
103,"AHERPURA NAGLA",513,435,0,948,382,291,0,673,2,0,100,126,400,18,1,0,1,4,0,1,3,3,16,673
104,NEEVADADI,411,373,0,784,311,254,0,565,6,0,98,34,410,6,1,0,0,0,0,2,3,3,8,565
105,GOBALPATIPURA,787,692,0,1479,535,390,0,925,925,0,185,145,573,9,2,2,2,0,1,0,3,0,3,925
106,"SITARGAJ NAVDIYA",837,717,0,1554,540,418,0,958,57,0,267,131,525,5,1,2,0,2,3,2,4,4,12,958
107,KITANAPUR,534,414,0,948,322,215,0,537,537,0,212,51,261,3,1,1,1,2,1,1,0,1,2,537
108,"RAMPURA NUGMA",366,298,0,664,246,199,0,445,10,0,233,18,182,5,0,1,0,0,0,2,3,0,1,445
109,ARJUNPUR,486,442,0,928,333,293,0,626,626,0,121,62,392,23,0,10,1,2,1,1,5,1,7,626
110,"HERAPUR DUGI",266,214,0,480,181,127,0,308,308,0,20,30,238,5,0,5,0,1,1,0,2,1,5,308
111,KARKAYDA,426,358,0,784,237,173,0,410,410,0,73,13,264,26,1,2,2,1,0,2,6,2,18,410
112,"NAGARIY FATAYPUR",371,341,0,712,266,221,0,487,12,0,122,24,282,9,1,1,1,1,2,3,9,2,30,487
113,CHSARA,709,623,0,1332,468,383,0,851,12,0,295,58,453,4,0,3,7,4,3,2,4,4,14,851
114,"SHAYDIYA LAYDPUR",255,197,0,452,196,134,0,330,330,0,72,94,139,5,0,0,1,1,2,1,1,3,11,330
115,BASUDA,590,530,0,1120,412,339,0,751,751,0,152,112,445,23,2,1,2,1,1,5,2,0,5,751
116,KASHIMPUR,487,416,0,903,395,284,0,679,679,0,69,97,495,2,2,1,0,4,1,1,0,1,6,679
117,RAYLYTA,623,559,0,1182,407,353,0,760,760,0,215,92,413,10,0,1,2,1,1,1,7,6,11,760
118,SAYBAJPUR,334,278,0,612,235,178,0,413,11,0,99,44,232,4,17,3,2,0,1,2,2,1,6,413
119,IETGUYO,716,642,0,1358,489,404,0,893,3,0,160,118,551,21,4,5,1,1,1,2,11,3,15,893
120,IETGUYO,520,441,0,961,330,262,0,592,10,0,133,23,412,6,1,2,0,1,3,0,3,4,4,592
121,IETGUYO,434,378,0,812,257,221,0,478,2,0,170,9,259,24,0,1,1,1,1,1,6,0,5,478
122,VEDULI,511,462,0,973,337,303,0,640,9,0,208,57,364,2,0,0,3,1,0,2,1,0,2,640
123,"NOGAMA SHNTOSH",410,376,0,786,263,228,0,491,6,0,102,76,262,22,0,11,0,0,1,3,2,4,8,491
124,VERSIGPUR,264,227,0,491,187,142,0,329,35,0,42,58,201,6,0,2,1,2,1,0,0,3,13,329
125,"VEEARIPUR HERA",844,765,0,1609,549,429,0,978,2,0,86,40,816,12,3,0,3,3,2,2,6,0,5,978
126,"MANPUR BISALPUR",477,418,0,895,359,303,0,662,62,0,68,6,552,6,3,2,0,2,0,6,2,1,14,662
127,VAHDIYA,282,241,0,523,236,169,0,405,100,0,80,37,256,3,2,0,7,0,1,0,1,2,16,405
128,TAYHARI,562,541,0,1103,419,382,0,801,56,0,142,29,573,20,1,2,1,3,0,3,14,3,10,801
129,DURIKASH,324,264,0,588,232,180,0,412,22,0,60,102,230,5,0,0,0,1,0,0,5,1,8,412
130,"DURI PATE",219,217,0,436,161,145,0,306,22,0,63,15,207,13,0,1,0,0,1,1,1,1,3,306
131,"AJAMPUR BARKAYDA",692,605,0,1297,412,334,0,746,746,0,167,231,294,8,1,17,1,0,3,5,1,4,14,746
132,MAYNI,366,297,0,663,228,193,0,421,421,0,56,24,282,37,1,1,1,1,4,2,5,2,5,421
133,AKBARABAAD,430,356,0,786,284,190,0,474,51,0,99,50,274,26,1,6,1,1,1,2,0,1,12,474
134,BITAYRA,381,322,0,703,282,258,0,540,148,0,180,45,288,6,2,0,0,2,4,1,4,1,7,540
135,"KHANPUR VERAMPUR",275,236,0,511,194,179,0,373,12,0,37,44,282,1,1,2,0,0,1,0,1,0,4,373
136,"JASOLI DEVARI",634,579,0,1213,469,371,0,840,2,0,52,42,692,15,3,1,0,1,4,3,5,4,18,840
137,"JASOLI DEVARI",500,464,0,964,333,260,0,593,5,0,120,72,343,41,0,2,2,0,3,0,2,0,8,593
138,"JASOLI DEVARI",344,292,0,636,230,176,0,406,406,0,114,11,240,12,1,1,0,3,2,4,4,3,11,406
139,"AMARA KAROR",711,634,0,1345,475,412,0,887,32,0,126,67,622,20,3,4,4,3,3,6,15,3,11,887
140,GAJROLAA,225,197,0,422,190,145,0,335,335,0,105,35,167,24,0,1,0,0,0,0,0,1,2,335
141,"HAFIJ NAGAR VANAEE",472,407,0,879,318,266,0,584,27,0,201,27,319,4,1,3,0,1,2,1,5,2,18,584
142,SAVAYPUR,483,433,0,916,298,223,0,521,31,0,55,70,310,32,1,20,0,1,1,1,4,2,24,521
143,GAGUPUR,397,319,0,716,286,240,0,526,526,0,108,51,333,9,4,2,0,1,1,2,7,2,6,526
144,ULKIYA,204,183,0,387,145,122,0,267,267,0,15,3,238,4,0,0,1,0,0,1,0,0,5,267
145,NASHRUTULAA,268,237,0,505,171,138,0,309,2,0,76,28,182,5,0,0,2,1,1,1,3,0,10,309
146,"PARASHI URF PARSEYA",674,587,0,1261,486,391,0,877,877,0,247,32,530,8,1,3,0,3,1,3,5,1,43,877
147,"PAKADIYA MAGALI",330,291,0,621,209,175,0,384,7,0,147,31,182,8,1,2,1,1,1,0,6,0,4,384
148,"DAKKIYA MAHEK",275,225,0,500,184,160,0,344,2,0,76,23,240,3,0,0,0,1,0,0,0,0,1,344
149,"AKBARGAJ SIMARA",693,586,0,1279,388,347,0,735,7,0,110,55,475,15,2,2,0,1,1,3,6,5,60,735
150,KAMGAAT,571,516,0,1087,397,296,0,693,693,0,124,77,452,11,2,1,1,0,4,1,5,3,12,693
151,"VAKAYNIYA DIXIT",359,314,0,673,267,229,0,496,496,0,32,100,327,10,5,1,1,1,1,3,5,1,9,496
152,AKOGDA,481,402,0,883,354,269,0,623,23,0,111,61,420,4,0,0,0,1,6,0,6,5,9,623
153,"MODIYA BAGBANTPUR",314,293,0,607,226,220,0,446,446,0,200,4,231,2,1,3,0,0,0,1,1,0,3,446
154,BOGOTIPUR,466,370,0,836,300,321,0,621,621,0,152,25,422,5,1,0,1,0,0,1,4,3,7,621
155,"JAMUNIYA MUHA",480,363,0,843,300,200,0,500,500,0,169,30,267,7,1,8,2,1,0,0,2,2,11,500
156,"DURIYA KALA",744,587,0,1331,404,247,0,651,39,0,209,239,180,2,2,0,2,0,0,3,8,1,5,651
157,"DURIYA KALA",750,606,0,1356,415,300,0,715,10,0,25,68,576,10,3,1,2,0,5,5,11,0,9,715
158,"DURIYA KALA",855,602,0,1457,390,260,0,650,57,0,148,109,343,6,2,0,2,2,5,6,9,8,10,650
159,"PAKDIYA TA. DURYA KALA",544,446,1,991,383,283,0,666,4,0,163,175,289,7,1,1,3,4,0,1,6,2,14,666
160,LOMUHA,300,229,0,529,195,156,0,351,7,0,28,32,271,6,0,0,1,0,2,0,2,1,8,351
161,KARDA,438,350,0,788,295,201,0,496,14,0,204,79,196,4,0,1,0,0,0,0,4,0,8,496
162,"MEERPUR RATANPUR",544,421,0,965,374,274,0,648,648,0,123,22,474,4,0,7,0,0,2,1,9,0,6,648
163,BIGGAOO,670,577,0,1247,464,378,0,842,842,0,205,162,443,9,1,0,0,2,8,2,2,5,3,842
164,"IMALIYA GAGI",272,223,0,495,180,132,0,312,1,0,74,35,180,7,1,3,0,0,2,2,5,1,2,312
165,ANDAYHA,259,208,0,467,186,145,0,331,33,0,28,43,243,8,0,1,0,0,0,1,2,1,4,331
166,"PURAYNIA RAMGULAM",393,345,0,738,281,227,0,508,508,0,91,40,346,5,0,8,1,3,2,1,2,1,8,508
167,LOGAHA,266,246,0,512,207,180,0,387,87,0,126,10,214,1,0,2,1,1,4,2,0,3,23,387
168,RORIYA,597,551,0,1148,377,357,0,734,52,0,361,18,307,9,1,10,1,3,1,3,2,4,14,734
169,CSHANDPURA,704,640,0,1344,476,380,0,856,5,0,257,89,445,8,3,3,3,2,1,6,11,10,18,856
170,CSHANDPURA,355,339,0,694,204,182,0,386,386,0,211,153,9,1,0,0,0,1,0,4,1,2,4,386
171,"BAERKAYA YASIN",299,266,0,565,236,186,0,422,422,0,131,19,245,10,0,2,0,0,0,0,5,2,8,422
172,KANGABA,430,345,0,775,294,218,0,512,10,0,142,40,276,24,0,2,0,1,3,0,3,2,19,512
173,GAJAYDA,508,474,0,982,390,323,0,713,713,0,300,14,361,5,1,3,0,0,1,1,6,2,19,713
174,GAJAYDA,326,283,0,609,248,184,0,432,432,0,310,7,98,1,0,0,0,0,2,0,2,0,12,432
175,SOJANI,649,553,0,1202,424,378,0,802,1,0,171,373,196,5,0,0,0,1,5,1,7,7,36,802
176,"DAKIYA RANJEET",433,394,0,827,317,252,0,569,569,0,38,104,399,9,1,1,0,1,2,2,8,0,4,569
177,VANIPUR,758,582,0,1340,522,404,0,926,926,0,97,230,559,17,0,3,0,5,0,2,3,3,7,926
178,VAYDAYRA,819,729,0,1548,533,459,0,992,90,0,158,27,754,18,2,1,4,1,2,3,6,2,14,992
179,MADUOPUR,393,375,0,768,287,256,0,543,2,0,100,41,376,8,3,0,1,2,3,2,4,0,3,543
180,"MAKARANENDPUR ROSHANSINGH",258,236,0,494,181,132,0,313,50,0,44,42,224,2,0,1,0,0,0,0,0,0,0,313
181,"BASHAYI PURAYNA",615,474,0,1089,331,235,0,566,566,0,49,55,424,12,2,0,2,3,1,0,7,2,9,566
182,KARDAHAI,523,485,0,1008,372,275,0,647,124,0,194,118,312,3,0,6,4,0,2,1,3,0,4,647
183,"NUGABA URF NAVNAGAER",592,462,0,1054,370,282,0,652,10,0,75,121,407,5,4,1,1,3,4,2,11,2,16,652
184,MANKAAPUR,386,353,0,739,238,207,0,445,7,0,119,94,206,6,0,0,2,0,1,2,3,1,11,445
185,PAERSHADI,688,594,0,1282,474,372,0,846,11,0,238,104,465,2,0,1,1,2,2,2,5,5,19,846
186,NURANPUR,444,329,0,773,281,186,0,467,56,0,116,41,275,5,2,5,3,2,1,3,4,1,9,467
187,"PAKADIYA VIDUAA",309,239,0,548,192,126,0,318,1,0,64,70,171,3,0,3,0,0,0,0,0,1,6,318
188,SHANGVA,284,257,0,541,2,2,0,4,4,0,0,2,1,0,0,0,0,0,0,0,0,0,1,4
189,"BARKADA TA. PAPSHGA",378,361,0,739,286,251,0,537,54,0,57,77,350,8,3,3,0,0,3,4,5,1,26,537
190,"MUDIYA TA. PASHGVA",473,387,0,860,301,234,0,535,535,0,56,124,318,8,1,2,3,2,1,0,6,3,11,535
191,"MEERPUR AYMUPURA",729,573,0,1302,456,345,0,801,801,0,190,152,392,24,3,3,3,2,4,3,8,4,13,801
192,"BAYDAYPURA MURORI",344,339,0,683,238,222,0,460,460,0,71,32,331,6,3,0,0,2,2,2,3,3,5,460
193,"SISHHIYA SHAB",353,330,0,683,246,215,0,461,125,0,202,171,71,1,1,2,1,0,1,6,1,0,4,461
194,"PAREYVA TURHA",564,455,0,1019,404,298,0,702,3,0,102,152,417,8,1,8,2,1,1,2,2,2,4,702
195,PASHGVA,635,474,0,1109,370,238,0,608,608,0,125,177,274,7,2,1,4,1,1,2,3,1,10,608
196,"NAVDIYA MARORI",480,417,0,897,328,302,0,630,30,0,47,185,328,17,24,2,1,1,4,3,10,5,3,630
197,ODAJAER,664,547,0,1211,427,325,0,752,20,0,211,128,325,30,3,11,4,2,5,3,10,7,13,752
198,"GOLAYDIYA MORORI",203,170,0,373,134,126,0,260,77,0,112,18,104,8,1,1,1,0,2,1,4,1,7,260
199,KANPARA,303,285,0,588,273,233,0,506,506,0,45,37,415,4,0,0,0,0,0,0,2,0,3,506
200,KANPARI,597,566,0,1163,450,338,0,788,20,0,86,90,527,35,2,1,0,5,2,5,16,5,14,788
201,BAYHAYTI,695,594,0,1289,475,418,0,893,893,0,373,63,407,9,1,1,4,1,2,0,7,6,19,893
202,VAYHTA,330,309,0,639,233,195,0,428,107,0,80,31,265,7,5,2,2,0,4,1,8,7,16,428
203,"PASHTUAR KUIYA",569,466,0,1035,345,251,0,596,83,0,260,96,216,10,2,0,1,2,0,0,3,0,6,596
204,GUGACHIYA,469,407,0,876,321,283,0,604,18,0,183,211,169,7,0,2,0,1,4,2,0,5,20,604
205,TURHA,255,220,0,475,190,173,0,363,363,0,22,84,245,2,1,0,0,0,0,2,3,0,4,363
206,DAMUPURA,311,251,0,562,227,179,0,406,406,0,52,52,250,3,0,3,1,1,0,1,3,1,39,406
207,"HARUNAGAER URF NUAA NAGAYLA",348,291,0,639,233,193,0,426,111,0,146,148,118,2,0,1,0,0,0,2,2,3,4,426
208,NANED,716,637,0,1353,574,408,0,982,982,0,105,98,686,23,12,3,2,2,3,3,18,4,23,982
209,"JAMUNIYA TA. ITGAOYO",421,401,0,822,339,290,0,629,629,0,78,118,387,15,1,2,1,4,1,2,5,7,8,629
210,MULIYA,374,340,0,714,298,255,0,553,108,0,121,232,178,8,4,1,0,0,0,3,0,2,4,553
211,DANGABA,484,393,0,877,359,277,0,636,636,0,222,153,249,3,0,0,1,0,0,0,2,1,5,636
212,"NUOOGBA AMAER",440,384,0,824,288,232,0,520,520,0,308,189,11,2,3,0,0,0,2,0,2,0,3,520
213,MUDGABA,374,353,0,727,279,217,0,496,496,0,37,184,248,6,0,3,1,1,1,2,4,4,5,496
214,"K.S.SUGAERMIL BISALPUR",384,283,0,667,169,122,0,291,291,0,26,53,194,4,0,11,0,0,0,0,0,1,2,291
215,BOOGAPUR,358,301,0,659,236,180,0,416,100,0,156,20,231,0,1,0,0,1,2,0,4,0,1,416
216,MAYVIYA,555,496,0,1051,383,447,0,830,830,0,234,196,383,1,0,0,1,0,2,0,6,1,6,830
217,GAGURA,797,704,0,1501,516,537,0,1053,53,0,514,134,360,9,2,0,1,0,1,0,9,5,18,1053
