"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ATIQ AHMAD","2 - DADDAN MISHRA","3 - LAL JI VERMA","4 - VINAY KUMAR PANDEY","5 - PRAKSH CHANDRA MISHRA","6 - RATNESH","7 - RAM SUDHI","8 - RIZWAN ZAHEER","9 - SAXEN","10 - ARJUN YADAV","11 - ARUN KUMAR","12 - TEJ BAHADUR","13 - RAM ADHAR","14 - VIJAY KUMAR","15 - None of the Above","Total Votes Secured"
15,"P.P. PYAGPUR EAST BHAG",277,230,0,507,207,154,0,361,361,0,34,112,189,8,5,1,0,2,1,0,4,0,0,3,2,361
16,"P.P. JYONAR",824,655,0,1479,463,317,0,780,378,0,143,292,207,18,9,2,4,57,3,6,10,1,7,6,15,780
17,"P.P. BARAWAN",590,487,0,1077,387,286,0,673,473,0,114,204,228,21,7,0,3,60,2,1,13,1,4,3,12,673
18,"J.H.SCHOOL BELWA SULTANJOT  ROOM NO 1",558,423,0,981,348,186,0,534,34,0,85,273,61,10,3,3,4,69,4,0,6,2,4,6,4,534
19,"J.H.SCHOOL BELWA SULTANJOT  ROOM NO 2",521,380,0,901,267,175,0,442,435,0,192,152,56,10,3,1,1,10,0,2,4,0,3,7,1,442
20,"J.H.SCHOOL BELWA SULTANJOT ROOM NO 3",444,385,0,829,232,110,0,342,338,0,199,65,58,6,2,1,0,0,0,1,3,2,2,0,3,342
21,"P.P. CHITAUNI GANWARIYA",551,444,0,995,248,182,0,430,290,0,90,273,28,14,2,0,0,18,0,0,2,1,1,0,1,430
22,"P.P. SEKHUI KALA EAST BHAG",496,419,0,915,279,198,0,477,430,0,62,307,80,5,1,0,0,5,1,0,4,1,2,2,7,477
23,"P.P. SEKHUI  KALA EXTRA ROOM",637,491,0,1128,330,173,0,503,150,0,222,148,63,7,1,0,1,42,1,2,1,1,3,2,9,503
24,"P.P. SEKHUI KALA EAST BHAG",358,293,0,651,199,139,0,338,333,0,37,121,142,6,0,1,0,3,3,4,3,1,6,3,8,338
25,"P.P. HASUWADOL NORTH BHAG",689,562,0,1251,400,362,0,762,750,0,23,448,205,27,3,6,1,13,1,2,9,3,7,2,12,762
26,"P.P. HASUWADOL SOUTH BHAG",531,460,0,991,347,241,0,588,586,0,60,215,252,13,2,2,0,20,1,1,2,0,1,6,13,588
27,"P.P. RAGHAWPUR NORTH BHAG",550,465,0,1015,377,247,0,624,624,0,4,462,15,119,1,2,0,3,1,2,3,0,2,7,3,624
28,"P.P. RAGHAWPUR SOUTH BHAG",673,563,0,1236,450,297,0,747,745,0,446,117,45,60,2,2,0,42,2,1,7,1,7,3,12,747
29,"P.P. ADARPAKAD EAST BHAG",759,628,1,1388,482,283,0,765,765,0,106,389,66,167,6,0,3,1,0,3,6,1,2,7,8,765
30,"P.P. ADARPAKAD EAST BHAG",413,373,0,786,227,193,0,420,320,0,13,258,12,131,2,0,0,0,0,0,1,1,2,0,0,420
31,"J.H.SCHOOL CHAKWA",409,349,0,758,208,225,0,433,141,0,6,242,13,155,4,0,1,1,0,1,2,3,2,2,1,433
32,"P.P. DEWARIYA NORTH BHAG",596,499,0,1095,367,203,0,570,566,0,32,344,94,82,2,1,1,7,1,0,1,1,1,1,2,570
33,"P.P. DEWARIYA SOTH BHAG",408,313,0,721,222,172,0,394,392,0,29,103,101,137,2,1,0,6,1,2,4,1,1,2,4,394
34,"P.P. BAGAHI EAST BHAG",694,553,0,1247,348,201,0,549,501,0,124,189,69,119,3,0,3,35,0,1,4,0,0,1,1,549
35,"P.P. BAGAHI P. BHAG",603,440,0,1043,225,161,0,386,385,0,89,7,4,247,5,0,1,29,0,0,0,1,0,1,2,386
36,"P.P. BHIKHPUR EAST BHAG",565,451,0,1016,269,205,0,474,401,0,259,105,40,19,3,0,5,35,2,2,2,0,0,0,2,474
37,"P.P. BHIKHPUR P. BHAG",721,651,0,1372,384,289,0,673,550,0,111,161,232,70,3,2,1,77,0,1,7,1,1,0,6,673
38,"P.P. BELWAVINOHANI",813,646,0,1459,390,325,0,715,705,0,99,124,126,35,5,4,0,300,2,3,6,2,6,0,3,715
39,"P.P. SAMDA",804,643,0,1447,400,266,0,666,640,0,193,153,157,76,5,4,1,47,0,1,9,4,2,5,9,666
40,"J.H. SCHOOL SINGAHI",549,468,0,1017,359,229,0,588,380,0,108,236,169,42,3,2,1,4,1,1,8,1,4,4,4,588
41,"P.P. BARAIPUR ROOM NO 1",454,432,0,886,292,133,0,425,375,0,98,211,53,15,4,2,0,29,2,0,4,2,1,1,3,425
42,"P.P. BARAIPUR ROOM NO 2",414,341,0,755,324,218,0,542,456,0,21,296,172,20,2,0,2,15,1,1,8,0,3,0,1,542
43,"P.P. UDAIPUR",606,514,0,1120,342,270,0,612,609,0,114,137,216,62,3,1,0,59,3,3,2,1,4,1,6,612
44,"P.P. CHIRAIYA",370,303,0,673,271,216,0,487,483,0,18,319,120,11,2,0,1,0,0,3,8,1,1,2,1,487
45,"P.P.  BAIJPUR",623,529,0,1152,395,303,0,698,253,0,89,190,336,49,1,2,1,1,0,1,7,0,9,5,7,698
46,"P.P. KHUTEHANA",226,190,0,416,170,140,0,310,250,0,3,213,35,37,1,0,0,9,0,2,2,1,2,2,3,310
47,"P.P. SONPUR ROOM NO 1",715,576,0,1291,452,306,0,758,758,0,111,309,214,34,1,0,1,27,5,7,15,2,9,11,12,758
48,"P.P. SONPUR ROOM NO 2",374,300,0,674,236,189,0,425,399,0,18,131,227,9,0,0,1,1,1,6,9,3,13,2,4,425
49,"P.P. BALPUR EAST BHAG",818,608,0,1426,414,266,0,680,672,0,174,186,205,8,3,2,4,50,6,2,8,2,9,3,18,680
50,"P.P. BALPUR  P. BHAG",546,421,0,967,272,210,0,482,482,0,158,60,112,10,2,0,1,112,5,0,3,3,3,0,13,482
51,"P.P. JORAWERPUR",336,288,0,624,206,167,0,373,367,0,57,99,173,2,3,3,0,26,1,0,4,2,2,1,0,373
52,"P.P. SHANKARPUR NAV  NRIMIT ROOM NO 1",738,543,0,1281,447,259,0,706,125,0,195,337,111,6,3,3,0,20,1,6,5,6,4,3,6,706
53,"P.P. SHANKARPUR NAV  NRIMIT ROOM NO 2",658,546,0,1204,379,255,0,634,580,0,82,357,148,31,4,1,0,1,1,0,4,2,1,1,1,634
54,"P.P. SIRSIYA EAST BHAG",528,418,0,946,340,204,0,544,419,0,27,362,88,10,2,2,0,38,0,1,4,2,3,1,4,544
55,"P.P. SIRSIYA P. BHAG",395,325,0,720,223,119,0,342,150,0,13,137,151,15,0,0,0,7,2,1,4,2,4,2,4,342
56,"P.P. SIRSIYA EXTRA ROOM",341,289,0,630,183,110,0,293,229,0,31,160,74,11,1,2,0,2,1,1,6,0,0,2,2,293
57,"P.P. BAHADURPUR II",870,692,1,1563,526,338,0,864,569,0,83,403,268,48,3,2,0,2,1,1,17,3,7,9,17,864
58,"P.P. JORAWERPUR",554,473,0,1027,427,260,0,687,687,0,46,185,392,14,8,1,2,2,3,6,10,6,3,1,8,687
59,"P.P. GIDHRAYA ROOM NO 1",455,395,0,850,266,220,0,486,486,0,41,144,161,67,4,0,4,29,3,2,6,4,2,8,11,486
60,"P.P. GIDHRAYA ROOM NO 2",344,324,0,668,214,147,0,361,361,0,48,190,12,81,2,0,0,20,2,0,0,3,0,0,3,361
61,"P.P. CHARO KAFRI",442,386,0,828,293,196,0,489,487,0,125,213,82,15,0,0,2,23,2,0,3,5,7,5,7,489
62,"P.P. SHEKHARPUR EAST BHAG",741,600,0,1341,494,320,0,814,494,0,89,501,11,36,1,0,4,162,1,1,4,0,1,1,2,814
63,"P.P. SHEKHARPUR P. BHAG",378,275,0,653,201,205,0,406,305,0,33,39,87,2,1,0,2,235,1,1,4,0,0,1,0,406
64,"P.P. SHEKHARPUR NEW BUILDING",844,693,0,1537,461,286,0,747,407,0,48,421,180,25,2,1,0,40,1,3,4,2,5,5,10,747
65,"P.P. KOILARA",885,664,0,1549,466,295,0,761,700,0,183,236,218,12,2,1,2,81,1,1,4,2,7,4,7,761
66,"P.P. KOILIHA",628,549,0,1177,345,383,0,728,651,0,45,305,262,22,3,1,1,60,2,2,4,1,5,6,9,728
67,"P.P. DHUSAH NEW BUILDING ROOM NO 1",616,508,0,1124,312,234,0,546,505,0,54,260,129,65,2,2,1,20,1,0,5,1,0,2,4,546
68,"P.P. DHUSAH NEW BUILDING ROOM NO 2",790,606,0,1396,355,300,0,655,500,0,66,431,114,22,2,1,1,8,0,0,3,2,0,1,4,655
69,"P.P. VISHUNAPUR EAST BHAG",547,447,0,994,313,222,0,535,210,0,85,118,198,4,3,1,4,97,1,1,3,0,3,6,11,535
70,"P.P. VISHUNAPUR P. BHAG",498,334,0,832,171,153,0,324,43,0,42,130,105,6,0,0,1,27,0,0,2,1,1,2,7,324
71,"PU.M.V. VISHUNAPUR ROOM NO 6",555,406,0,961,256,220,0,476,256,0,53,175,176,9,2,0,1,42,1,2,4,1,3,2,5,476
72,"PU.M.V. VISHUNAPUR ROOM NO 7",598,457,0,1055,216,147,0,363,200,0,72,186,62,10,0,0,0,25,0,0,1,0,2,1,4,363
73,"PU.M.V. VISHUNAPUR ROOM NO 8",799,642,0,1441,342,169,0,511,300,0,252,76,60,7,2,1,5,82,2,4,2,1,3,3,11,511
74,"PU.M.V. VISHUNAPUR EXTRA ROOM",340,284,0,624,97,42,0,139,138,0,75,10,15,1,1,0,1,34,0,1,0,1,0,0,0,139
75,"P.P. DHARAMPUR ROOM NO 1",516,357,0,873,282,168,0,450,437,0,75,302,48,7,6,4,0,4,0,0,0,1,0,0,3,450
76,"P.P. DHARAMPUR ROOM NO 2",624,485,0,1109,241,190,0,431,230,0,92,260,47,7,0,7,0,13,1,0,2,0,0,1,1,431
77,"P.P. DHARAMPUR ROOM NO 3",559,416,0,975,277,201,0,478,320,0,59,258,104,17,2,1,2,16,2,3,5,2,3,0,4,478
78,"P.P. DHARAMPUR ROOM NO 4",728,546,0,1274,241,155,0,396,304,0,21,249,53,25,3,5,2,25,1,1,3,1,1,3,3,396
79,"A.V. BHAGWATIGANJ ROOM NO 1",409,370,0,779,268,169,0,437,437,0,29,347,30,7,1,0,0,15,0,0,2,2,0,2,2,437
80,"A.V. BHAGWATIGANJ ROOM NO 2",567,439,0,1006,303,228,0,531,248,0,75,315,86,4,1,2,2,29,1,1,4,2,4,4,1,531
81,"A.V. BHAGWATIGANJ ROOM NO 3",843,716,0,1559,356,282,0,638,356,0,147,146,211,5,5,2,2,73,1,5,9,3,11,6,12,638
82,"A.V. BHAGWATIGANJ ROOM NO 4",641,532,0,1173,318,195,0,513,493,0,83,316,35,8,3,1,0,58,0,2,3,2,1,0,1,513
83,"P.P. BHAGWATIGANJ ROOM NO 1",633,518,0,1151,321,240,0,561,450,0,52,451,20,18,1,3,0,11,0,0,1,0,1,0,3,561
84,"P.P. BHAGWATIGANJ ROOM NO 2",392,324,0,716,174,116,0,290,280,0,46,162,46,23,0,1,0,1,1,1,4,0,0,2,3,290
85,"P.P. CHIKNI ROOM NO 1",821,717,0,1538,340,257,0,597,565,0,205,151,86,6,2,1,2,137,2,0,2,0,1,0,2,597
86,"P.P. CHIKNI ROOM NO 2",794,606,0,1400,294,252,0,546,500,0,104,291,49,11,1,2,1,80,0,0,1,0,1,0,5,546
87,"P.P. CHIKNI ROOM NO 3",747,583,0,1330,258,220,0,478,400,0,22,310,114,16,0,0,0,14,0,0,0,0,0,0,2,478
88,"P.P. CHIKNI ROOM NO 4",420,399,0,819,181,149,0,330,306,0,30,270,6,9,1,4,0,8,0,0,0,0,0,0,2,330
89,"M.P.P.I.C.U. BHAG ROOM NO 2",559,444,0,1003,258,144,0,402,236,0,212,128,15,12,0,0,0,31,0,0,1,0,0,0,3,402
90,"M.P.P.I.C.U. BHAG ROOM NO 3",495,374,0,869,182,99,0,281,156,0,86,154,11,9,1,2,1,10,0,1,1,0,1,0,4,281
91,"M.P.P.I.C. ROOM NO 3",818,690,0,1508,237,163,0,400,284,0,108,214,48,14,1,1,1,2,1,2,1,0,1,0,6,400
92,"M.P.P.I.C. ROOM NO 4",476,364,0,840,165,99,0,264,260,0,28,199,14,15,0,1,0,3,0,0,0,0,1,0,3,264
93,"M.P.P.I.C. ROOM NO 5",663,568,0,1231,202,162,0,364,10,0,32,285,29,13,0,0,0,2,0,0,0,1,0,1,1,364
94,"M.P.P.I.C. ROOM NO 6",879,629,0,1508,245,173,0,418,389,0,49,346,10,7,0,2,0,3,0,0,0,0,1,0,0,418
95,"M.D.VIDYALAY ROOM NO 1",659,548,0,1207,265,203,0,468,408,0,212,164,35,14,0,0,0,37,0,0,1,0,0,2,3,468
96,"M.D.VIDYALAY ROOM NO 2",594,501,0,1095,262,190,0,452,400,0,199,138,76,7,1,0,0,25,2,0,1,0,0,2,1,452
97,"M.D.VIDYALAY ROOM NO 3",695,625,0,1320,298,245,0,543,340,0,277,151,24,13,0,0,1,70,2,1,0,0,1,0,3,543
98,"M.D.VIDYALAY ROOM NO 4",361,344,0,705,151,119,0,270,249,0,24,193,36,5,0,0,0,8,0,0,3,0,1,0,0,270
99,"M.D.VIDYALAY ROOM MO 5",650,553,0,1203,233,206,0,439,322,0,42,245,106,22,1,1,0,9,3,1,0,1,1,1,6,439
100,"M.P.P.I.C. NEW BUILDING ROOM NO 27",748,547,0,1295,324,219,0,543,534,0,286,26,4,1,0,3,0,223,0,0,0,0,0,0,0,543
101,"M.P.P.I.C. NEW BUILDING ROOM NO 28",418,334,0,752,147,120,0,267,223,0,142,22,2,1,0,0,0,99,1,0,0,0,0,0,0,267
102,"M.P.P.I.C. NEW BUILDING ROOM NO 29",499,394,0,893,224,195,0,419,119,0,330,25,8,1,0,0,0,55,0,0,0,0,0,0,0,419
103,"M.P.P.I.C. TECHNICAL FACULTY ROOM NO 1",721,555,0,1276,271,163,0,434,375,0,316,5,27,0,1,0,0,78,2,0,1,0,0,1,3,434
104,"M.P.P.I.C. TECHNICAL FACULTY ROOM NO 2",739,588,0,1327,240,182,0,422,422,0,276,27,11,2,0,1,0,103,0,0,1,0,0,0,1,422
105,"M.P.P.I.C. TECHNICAL FACULTY ROOM NO 3",817,668,0,1485,483,225,0,708,580,0,223,387,17,9,0,2,1,60,1,0,1,0,0,2,5,708
106,"M.P.P.I.C. TECHNICAL FACULTY ROOM NO 4",661,558,0,1219,298,283,0,581,562,0,130,294,9,8,0,0,1,128,4,1,0,1,2,1,2,581
107,"J.H. SCHOOL N.P.B. ROOM NO 1",590,479,0,1069,250,213,0,463,260,0,167,185,14,15,1,1,0,76,2,1,1,0,0,0,0,463
108,"J.H. SCHOOL N.P.B. ROOM NO 2",542,457,0,999,232,169,0,401,401,0,270,58,11,4,1,0,1,54,0,1,0,0,0,1,0,401
109,"J.H. SCHOOL N.P.B. ROOM NO 3",533,496,0,1029,286,247,0,533,533,0,259,156,14,13,0,3,0,82,0,0,1,1,0,0,4,533
110,"J.H. SCHOOL N.P.B. ROOM NO 4",604,482,0,1086,203,179,0,382,382,0,141,205,4,9,0,3,1,17,0,1,1,0,0,0,0,382
111,"M.D.K.I.C. ROOM NO 1",759,728,0,1487,335,307,0,642,342,0,426,111,15,11,1,2,2,72,0,0,0,0,0,0,2,642
112,"M.D.K.I.C. ROOM NO 2",692,635,0,1327,283,218,0,501,296,0,337,64,12,2,0,1,0,81,1,0,0,0,0,1,2,501
113,"M.D.K.I.C. ROOM NO 3",523,450,0,973,221,192,0,413,402,0,259,78,5,3,0,0,1,66,0,0,0,0,0,0,1,413
114,"M.D.K.I.C. ROOM NO 4",543,532,0,1075,241,226,0,467,466,0,235,138,13,2,0,1,1,71,0,3,1,0,0,1,1,467
115,"D.A.V.I.C. ROOM NO 12",485,411,0,896,190,153,0,343,335,0,117,161,7,16,0,1,0,37,1,0,0,0,1,1,1,343
116,"D.A.V.I.C. ROOM NO 13",599,527,0,1126,274,186,0,460,400,0,139,270,12,5,0,3,1,27,0,1,1,0,0,0,1,460
117,"D.A.V.I.C. ROOM NO 14",544,462,0,1006,304,50,0,354,300,0,56,272,11,4,0,0,1,8,0,0,0,0,0,0,2,354
118,"D.A.V.I.C. ROOM NO 15",426,371,0,797,177,127,0,304,294,0,99,177,3,10,2,0,0,12,0,0,0,0,0,0,1,304
119,"P.P. KTARSINGH SCHOOL ROOM NO 1",617,517,0,1134,246,161,0,407,393,0,93,253,26,15,0,0,1,8,0,3,1,0,1,5,1,407
120,"P.P. KTARSINGH SCHOOL ROOM NO 2",282,258,0,540,123,98,0,221,91,0,38,152,10,5,0,2,1,7,0,0,0,0,1,0,5,221
121,"M.L.K.D.C. SOUTH BHAG ROOM NO 26",511,456,0,967,215,152,0,367,200,0,30,222,94,9,0,4,0,6,2,0,0,0,0,0,0,367
122,"M.L.K.D.C. SOUTH BHAG ROOM NO 27",444,432,0,876,212,170,0,382,182,0,47,278,20,24,0,2,0,9,0,0,0,0,0,0,2,382
123,"M.L.K.D.C. SOUTH BHAG ROOM 28",487,441,0,928,229,176,0,405,346,0,114,259,0,10,0,5,0,13,0,0,1,1,0,0,2,405
124,"M.L.K.D.C. EAST BLOCK ROOM NO 3",813,668,0,1481,351,252,0,603,510,0,110,258,165,6,1,1,0,55,1,0,2,1,1,2,0,603
125,"M.L.K.D.C. EAST BLOCK ROOM NO 4",541,390,0,931,260,165,0,425,338,0,74,275,39,13,1,0,2,10,0,1,2,2,5,1,0,425
126,"M.L.K.D.C. EAST BLOCK ROOM NO 5",661,580,0,1241,287,238,0,525,500,0,7,465,18,20,1,4,0,4,1,0,3,0,0,0,2,525
127,"M.L.K.D.C. EAST BLOCK ROOM NO 6",703,617,0,1320,308,202,0,510,510,0,85,360,25,17,0,2,0,16,0,1,1,0,0,0,3,510
128,"GIRLS I.C. ROOM NO 1",546,452,0,998,305,215,0,520,316,0,154,320,9,9,0,4,0,10,1,2,1,0,2,2,6,520
129,"GIRLS I.C. ROOM NO 2",526,452,0,978,279,174,0,453,405,0,151,254,16,8,0,0,0,19,0,2,3,0,0,0,0,453
130,"GIRLS I.C. ROOM NO 3",572,491,0,1063,263,242,0,505,480,0,85,335,29,22,0,1,2,23,0,2,1,0,1,1,3,505
131,"GIRLS I.C. ROOM NO 4",500,490,1,991,203,175,0,378,292,0,29,318,11,13,0,3,0,1,0,0,0,0,0,0,3,378
132,"GIRLS I.C. BLOCK J.SHED ROOM NO 13",663,564,0,1227,354,249,0,603,400,0,183,309,14,13,0,1,0,72,0,0,0,1,0,1,9,603
133,"GIRLS I.C. BLOCK J.SHED ROOM NO 14",791,626,0,1417,351,225,0,576,400,0,379,42,1,1,0,1,0,150,0,1,0,0,0,0,1,576
134,"GIRLS I.C. BLOCK J.SHED ROOM NO 15",720,641,0,1361,339,255,0,594,465,0,286,176,9,10,0,2,1,102,1,0,3,0,1,0,3,594
135,"GIRLS I.C. BLOCK J.SHED ROOM NO 16",703,575,0,1278,295,176,0,471,314,0,219,127,2,9,0,0,2,108,1,1,0,1,1,0,0,471
136,"GIRLS I.C. BLOCK J.SHED ROOM NO 19",746,636,0,1382,375,401,0,776,776,0,510,92,8,8,0,0,0,156,0,0,1,0,0,1,0,776
137,"GIRLS I.C. BLOCK J.SHED ROOM NO 20",571,487,0,1058,325,228,0,553,500,0,349,4,2,1,0,0,2,189,1,0,0,2,0,2,1,553
138,"GIRLS I.C. BLOCK J.SHED ROOM NO 21",553,485,0,1038,305,196,0,501,39,0,311,63,35,2,1,0,0,85,0,1,1,0,0,1,1,501
139,"GIRLS I.C. BLOCK J.SHED",685,517,0,1202,349,223,0,572,150,0,314,42,64,5,0,0,1,137,0,0,1,1,3,0,4,572
140,"GIRLS I.C.P.S. ROOM NO 1",868,676,0,1544,406,268,0,674,674,0,261,166,35,7,0,1,4,186,2,1,3,0,2,2,4,674
141,"GIRLS I.C.P.S. ROOM NO 2",580,477,0,1057,247,145,0,392,300,0,159,101,52,1,0,0,1,61,0,0,4,1,1,3,8,392
142,"GIRLS I.C.P.S. ROOM NO 3",320,255,0,575,111,101,0,212,212,0,122,27,12,0,1,0,1,41,0,0,0,1,0,2,5,212
143,"P.P. MOHMMADPUR",569,411,0,980,368,164,0,532,532,0,35,309,152,10,1,1,0,9,2,1,6,3,0,1,2,532
144,"P.P. BIJULIPUR",836,627,0,1463,488,270,0,758,752,0,70,425,114,31,3,0,1,88,5,4,4,2,4,2,5,758
145,"P.P. RANJEETPUR",521,334,0,855,301,167,0,468,441,0,36,160,216,16,2,1,1,22,2,1,3,1,3,2,2,468
146,"KANYA.P.P. BIJULIPUR EAST BHAG",665,522,0,1187,402,238,0,640,640,0,75,337,177,9,1,1,2,20,1,3,1,2,4,3,4,640
147,"KANYA.P.P. BIJULIPUR P. BHAG",522,399,0,921,282,203,0,485,485,0,77,207,142,7,1,1,0,37,1,0,2,1,4,2,3,485
148,"P.P. SAINDEEH",522,462,0,984,268,193,0,461,393,0,74,240,102,10,3,1,1,6,2,5,1,2,4,3,7,461
149,"P.P. GUJARPURWA DAKHI EAST BHAG",707,515,0,1222,351,235,0,586,586,0,267,156,63,5,5,0,2,78,1,1,2,0,1,3,2,586
150,"P.P. GUJARPURWA DAKHI P. BHAG",645,500,0,1145,211,68,0,279,279,0,159,65,23,5,0,0,1,15,0,3,1,1,2,1,3,279
151,"P.P. RATOHA",679,495,0,1174,370,209,0,579,19,0,58,187,249,18,6,2,3,12,2,5,16,3,3,7,8,579
152,"P.P. GAINJAHWA EAST BHAG",648,503,0,1151,262,192,0,454,400,0,48,202,73,12,1,3,4,89,1,0,6,2,4,1,8,454
153,"P.P. GAINJAHWA P. BHAG",820,663,0,1483,355,178,0,533,533,0,63,345,37,10,2,1,2,53,0,2,6,1,2,5,4,533
154,"J.H. SCHOOL SISAI  ROOM NO 1",742,498,0,1240,347,229,0,576,550,0,131,242,146,4,6,0,2,27,4,4,2,2,2,0,4,576
155,"J.H. SCHOOL SISAI  ROOM NO 2",369,290,0,659,179,154,0,333,333,0,92,148,56,1,1,0,0,21,0,0,2,0,2,5,5,333
156,"P.P. BENIJOT",402,342,0,744,218,139,0,357,50,0,76,187,33,18,0,0,1,30,1,1,1,2,1,3,3,357
157,"P.P. DURGAPUR NEW  N. BUILDING",663,541,0,1204,368,237,0,605,535,0,45,364,64,82,5,3,0,14,3,4,10,0,1,6,4,605
158,"P.P. BELHA  SOUTH BHAG",705,499,0,1204,334,347,0,681,18,0,38,168,104,4,5,2,3,322,3,1,8,4,7,3,9,681
159,"P.P. BELHA  NORTH BHAG",501,403,0,904,266,213,0,479,479,0,39,187,65,2,1,0,3,172,1,1,5,1,2,0,0,479
160,"P.P. PADRI ROOM NO 1",777,574,0,1351,432,238,0,670,400,0,99,192,273,52,1,2,1,26,2,6,3,0,4,2,7,670
161,"P.P. PADRI ROOM NO 2",236,166,0,402,118,57,0,175,174,0,35,70,59,4,1,0,0,1,0,0,0,0,1,1,3,175
162,"P.P. LALNAGAR",349,285,0,634,222,158,0,380,8,0,51,127,149,18,7,2,0,1,1,2,4,1,6,3,8,380
163,"J.H. SCHOOL BALUA-BALUI  ROOM NO 1",747,567,0,1314,351,252,0,603,598,0,37,229,102,7,5,3,1,206,0,1,6,1,4,1,0,603
164,"J.H. SCHOOL BALUA-BALUI  ROOM NO 2",394,301,0,695,178,162,0,340,235,0,50,63,146,11,5,2,0,49,1,2,1,2,3,1,4,340
165,"J.H. SCHOOL BALUA-BALUI  ROOM NO 3",679,510,0,1189,361,188,0,549,549,0,95,185,174,9,0,0,2,39,1,4,21,2,5,4,8,549
166,"P.P. MIRZAPUR",820,654,0,1474,412,350,0,762,690,0,154,255,188,50,7,3,0,62,0,4,5,5,13,16,0,762
167,"P.P. GHOSIYARPUR EAST BHAG",829,620,0,1449,482,280,0,762,762,0,71,387,237,24,1,2,2,1,0,7,9,1,5,4,11,762
168,"P.P. GHOSIYARPUR P. BHAG",247,193,0,440,115,86,0,201,175,0,7,107,65,3,1,0,0,3,2,2,5,1,1,1,3,201
169,"P.P.  KOLWA ROOM NO 1",331,260,0,591,196,142,0,338,262,0,42,201,75,6,2,0,0,2,1,0,1,2,0,2,4,338
170,"P.P.  KOLWA ROOM NO 2",400,310,0,710,214,132,0,346,346,0,35,162,108,20,0,1,0,4,1,0,1,1,4,1,8,346
171,"P.P. CHAUDHARIJOT",631,538,0,1169,394,241,0,635,1,0,65,318,179,32,4,1,0,8,1,2,6,2,6,6,5,635
172,"P.P. SIRIYA",352,317,0,669,222,162,0,384,60,0,16,273,68,12,0,0,0,1,1,1,3,0,1,2,6,384
173,"P.P. LKHAHI NORTH BHAG",821,654,0,1475,352,311,0,663,648,0,283,64,7,5,0,0,2,282,3,2,4,1,1,1,8,663
174,"P.P. LKHAHI SOUTH BHAG",590,506,0,1096,227,209,0,436,436,0,91,222,47,4,1,0,0,40,2,1,7,0,7,5,9,436
