"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ANIL KUMAR MAURYA","2 - TARUN PATEL URF TARUNENDRA CHAND PATEL","3 - DR MAHENDRA NATH PANDEY","4 - RAMKISHUN","5 - IRSHAD","6 - CHANCHAL","7 - JITENDRA","8 - MRITUNJAYA PANDEY","9 - RAMASHANKER SINGH MAURYA","10 - RAJA JAISWAL","11 - RAJENDRA","12 - RAM DULAR","13 - VINAI KUMAR SINGH","14 - SHASHI SINHA","15 - SANJEEV SINGH","16 - DR. HARIDWAR SINGH YADAV","17 - HEERALAL","18 - GULAVAS","19 - BINDU","20 - RAJNARAYAN","21 - SANJAY","22 - None of the Above","Total Votes Secured"
11,KUNDAKHURD,543,387,0,930,417,275,0,692,692,0,3,3,111,559,1,0,1,0,0,3,0,0,1,1,1,1,0,1,1,4,1,0,692
12,DANDI,236,154,0,390,148,97,0,245,245,0,3,6,208,24,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,245
13,"KUNDA KALA",707,526,0,1233,435,329,0,764,764,0,145,21,336,238,5,2,1,1,1,2,0,0,3,1,2,0,1,1,1,3,0,0,764
14,MALOKHAR,815,649,0,1464,560,377,0,937,937,0,441,23,361,70,11,0,0,0,1,3,2,1,4,2,4,9,3,0,0,0,0,2,937
15,MALOKHAR,409,311,0,720,278,217,0,495,495,0,106,30,257,74,7,0,2,1,0,1,0,0,3,5,3,3,0,0,0,2,1,0,495
16,MALOKHAR,903,601,0,1504,476,254,0,730,730,0,376,90,52,173,16,2,0,0,1,2,0,0,3,0,8,4,2,0,0,0,1,0,730
17,BHISAUDI,583,430,0,1013,381,249,0,630,630,0,430,25,59,91,6,1,1,2,0,0,0,0,1,0,0,1,7,0,1,0,3,2,630
18,BHISAUDI,696,487,0,1183,377,201,0,578,578,0,299,107,30,116,7,0,0,0,0,1,0,0,1,1,2,8,3,0,0,1,1,1,578
19,BHISAUDI,884,654,0,1538,545,318,0,863,863,0,76,46,435,264,6,0,1,4,1,5,2,2,1,4,1,2,5,2,4,1,1,0,863
20,"LEDHUWA URF SHAKURABAD",889,714,1,1604,610,419,0,1029,1029,0,386,37,14,506,69,0,1,0,1,0,1,3,0,0,3,0,1,3,1,1,2,0,1029
21,"LEDHUWA URF SHAKURABAD",733,476,0,1209,430,228,0,658,658,0,213,3,144,244,7,1,1,1,1,1,0,1,1,4,4,4,8,0,7,9,3,1,658
22,"MAVAI KALA",631,480,0,1111,430,324,0,754,754,0,153,8,126,453,4,0,0,0,0,0,0,0,2,0,0,2,3,0,1,1,0,1,754
23,"MAVAI KALA",324,260,0,584,225,160,0,385,385,0,118,5,84,162,7,1,1,0,0,0,0,0,2,0,0,3,0,0,1,1,0,0,385
24,MAHADEVPUR,571,415,0,986,350,272,0,622,622,0,308,13,91,147,6,0,2,0,1,0,1,0,6,2,2,5,12,4,7,12,1,2,622
25,HANAULI,933,723,0,1656,645,414,0,1059,1059,0,337,19,468,153,8,2,4,1,1,9,2,5,3,5,3,12,9,0,2,8,1,7,1059
26,CHHIMIYA,737,580,0,1317,530,394,0,924,924,0,272,10,187,398,10,1,0,2,4,2,0,2,2,1,6,5,5,4,0,4,5,4,924
27,SAHAJAUR,665,452,0,1117,420,295,0,715,715,0,111,14,297,274,5,0,0,0,0,1,0,1,0,0,1,5,2,1,1,0,1,1,715
28,SAHAJAUR,607,444,0,1051,404,293,0,697,697,0,449,24,122,72,3,0,0,0,2,4,0,0,4,2,1,7,5,0,0,0,1,1,697
29,LOHARA,572,419,0,991,429,278,0,707,707,0,111,12,71,480,9,1,2,1,1,3,0,2,1,1,0,3,1,2,0,2,2,2,707
30,BHOGAWAR,484,385,0,869,346,221,0,567,567,0,179,14,194,159,2,4,0,0,0,2,1,0,2,1,0,3,3,0,1,0,1,1,567
31,BHOGAWAR,595,405,0,1000,328,240,0,568,568,0,62,16,423,34,5,0,1,1,2,3,1,1,2,3,0,9,0,0,0,2,0,3,568
32,"SARAY CHHOTU",233,194,0,427,92,52,0,144,144,0,18,1,28,85,0,1,0,0,1,1,0,0,0,0,1,0,1,0,2,5,0,0,144
33,"SARAY CHHOTU",302,243,0,545,158,130,0,288,288,0,94,4,53,126,0,1,0,3,2,1,0,0,0,0,0,1,1,0,1,0,1,0,288
34,CHATURBHUJPUR,975,780,0,1755,453,276,0,729,729,0,188,20,230,244,10,0,0,0,1,2,2,0,2,0,4,8,1,6,1,2,5,3,729
35,CHATURBHUJPUR,450,430,0,880,238,204,0,442,422,0,193,32,137,42,7,0,1,0,0,2,1,2,1,0,3,10,4,2,0,0,1,4,442
36,CHATURBHUJPUR,187,111,0,298,72,67,0,139,139,0,16,20,68,32,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,139
37,CHATURBHUJPUR,1130,1007,0,2137,574,468,0,1042,1042,0,128,83,559,214,14,1,1,1,2,3,1,2,0,0,2,9,4,1,2,8,2,5,1042
38,CHATURBHUJPUR,741,576,0,1317,424,281,0,705,705,0,84,60,395,140,6,0,1,0,0,1,0,7,1,1,2,1,0,1,1,0,1,3,705
39,CHATURBHUJPUR,731,593,0,1324,374,230,0,604,604,0,91,60,364,62,7,0,3,1,0,0,0,4,3,1,1,2,2,1,0,1,0,1,604
40,MUGHALSARAI,395,297,0,692,273,153,0,426,426,0,35,17,275,82,11,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,426
41,MUGHALSARAI,376,275,0,651,210,138,0,348,348,0,12,15,276,35,4,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,1,348
42,MUGHALSARAI,701,571,0,1272,413,307,0,720,720,0,45,21,546,37,16,0,1,0,0,8,1,3,4,0,4,3,1,2,15,6,2,5,720
43,MUGHALSARAI,799,680,0,1479,476,340,0,816,816,0,39,28,652,48,11,1,1,0,0,8,0,2,3,0,3,2,2,4,6,1,0,5,816
44,MUGHALSARAI,893,676,2,1571,475,280,0,755,755,0,79,25,441,180,4,0,1,0,0,2,2,1,3,3,4,5,2,0,0,0,1,2,755
45,MUGHALSARAI,526,448,0,974,295,223,0,518,518,0,219,50,57,172,14,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,1,518
46,MUGHALSARAI,602,455,1,1058,340,190,0,530,530,0,249,40,25,173,27,0,1,1,1,1,0,2,0,0,2,5,0,0,0,0,1,2,530
47,MUGHALSARAI,503,449,0,952,261,153,0,414,414,0,191,32,64,100,18,1,1,0,1,2,0,0,0,0,1,1,1,0,0,0,0,1,414
48,MUGHALSARAI,782,571,1,1354,386,275,0,661,661,0,41,78,445,74,6,0,2,1,0,3,3,0,0,1,2,3,0,0,0,2,0,0,661
49,MUGHALSARAI,683,600,0,1283,332,262,0,594,594,0,42,33,415,37,17,0,1,0,1,0,0,0,0,0,23,4,3,0,1,9,3,5,594
50,MUGHALSARAI,476,376,0,852,240,167,0,407,407,0,17,16,319,39,11,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,407
51,MUGHALSARAI,789,617,0,1406,481,287,0,768,768,0,54,41,571,85,12,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,768
52,MUGHALSARAI,487,424,0,911,355,170,0,525,525,0,51,25,297,133,9,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,1,4,525
53,MUGHALSARAI,602,458,0,1060,389,285,0,674,674,0,34,21,545,57,9,0,1,0,1,1,0,0,0,0,1,0,0,0,2,0,0,2,674
54,MUGHALSARAI,479,348,0,827,276,147,0,423,423,0,41,29,270,67,3,0,1,0,2,1,0,0,1,1,0,0,0,0,2,2,0,3,423
55,MUGHALSARAI,694,552,0,1246,337,258,0,595,595,0,165,23,265,114,17,1,0,1,1,0,0,0,0,0,1,2,1,0,1,1,0,2,595
56,MUGHALSARAI,768,621,0,1389,410,288,0,698,698,0,482,30,128,29,11,1,2,0,0,0,1,2,1,0,1,7,3,0,0,0,0,0,698
57,MUGHALSARAI,776,635,0,1411,455,334,0,789,789,0,22,29,664,42,13,0,0,0,0,9,0,1,1,0,0,5,0,0,1,1,0,1,789
58,MUGHALSARAI,452,350,2,804,226,137,0,363,363,0,9,16,301,22,4,1,0,1,0,4,0,0,0,0,0,0,0,1,0,0,1,3,363
59,MUGHALSARAI,386,291,0,677,183,102,0,285,285,0,39,18,188,22,11,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,285
60,MUGHALSARAI,360,264,0,624,192,134,0,326,326,0,13,11,266,18,10,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,1,0,326
61,MUGHALSARAI,622,470,1,1093,308,220,0,528,528,0,47,19,382,50,23,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,2,528
62,PARAHUPUR,729,583,0,1312,398,296,0,694,694,0,162,27,376,79,28,0,0,2,0,5,1,2,2,2,1,3,1,0,1,0,0,2,694
63,PARAHUPUR,761,613,1,1375,286,384,0,670,670,0,94,25,463,53,18,1,2,0,0,3,1,1,0,1,0,1,0,0,0,1,1,5,670
64,PARAHUPUR,681,497,1,1179,357,234,0,591,591,0,166,16,213,158,5,1,0,0,3,0,0,8,4,0,2,4,4,0,1,1,3,2,591
65,PARAHUPUR,889,685,0,1574,491,328,0,819,819,0,347,19,117,237,51,2,0,0,1,6,3,3,4,0,8,8,4,0,0,1,2,6,819
66,MUGHALSARAI,806,626,0,1432,379,280,0,659,659,0,120,27,208,266,17,0,1,0,2,1,0,0,2,1,3,6,1,0,0,2,1,1,659
67,MUGHALSARAI,692,621,0,1313,375,306,0,681,681,0,24,48,535,42,13,0,0,0,0,2,0,5,0,0,1,1,1,0,1,0,0,8,681
68,MUGHALSARAI,370,321,0,691,222,165,0,387,387,0,9,6,320,22,21,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,1,387
69,RABINAGAR,486,412,0,898,277,213,0,490,490,0,38,30,361,40,11,0,0,0,0,1,2,0,0,0,2,0,0,0,0,1,1,3,490
70,RABINAGAR,443,389,0,832,263,205,0,468,468,0,60,32,255,97,16,0,0,0,0,1,0,0,1,0,1,1,0,1,1,2,0,0,468
71,RABINAGAR,473,393,0,866,281,208,0,489,489,0,57,21,353,47,7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,489
72,MUGHALSARAI,500,376,0,876,314,180,0,494,494,0,88,16,333,48,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,494
73,MUGHALSARAI,509,384,0,893,256,171,0,427,427,0,21,9,269,109,16,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,427
74,MUGHALSARAI,670,529,0,1199,383,255,0,638,638,0,26,21,452,117,14,0,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0,0,638
75,MUGHALSARAI,725,598,0,1323,365,275,0,640,640,0,17,27,449,112,12,0,0,0,1,7,0,1,1,1,6,1,0,0,1,1,0,3,640
76,MUGHALSARAI,936,721,2,1659,463,361,0,824,824,0,114,36,411,223,29,0,2,0,0,1,0,0,0,0,1,2,1,0,0,2,1,1,824
77,MUGHALSARAI,663,528,0,1191,331,257,0,588,588,0,86,21,357,76,38,0,1,0,0,3,0,0,0,0,0,1,1,0,0,1,2,1,588
78,MUGHALSARAI,409,273,0,682,157,113,0,270,270,0,94,4,126,32,3,0,0,0,0,2,0,1,2,0,0,2,1,0,0,1,0,2,270
79,RABINAGAR,638,516,0,1154,317,224,0,541,541,0,89,19,338,68,7,3,0,1,0,6,0,0,1,1,0,1,0,1,1,5,0,0,541
80,RABINAGAR,633,487,0,1120,318,192,0,510,510,0,68,26,261,91,20,1,1,1,0,1,0,1,0,1,2,7,4,3,9,10,1,2,510
81,CHANDHASI,725,563,1,1289,363,261,0,624,624,0,188,42,316,51,16,0,1,1,0,1,0,0,0,0,2,1,3,2,0,0,0,0,624
82,CHANDHASI,517,378,0,895,320,225,0,545,545,0,79,22,382,29,16,2,1,0,1,2,0,0,2,0,2,6,0,0,0,1,0,0,545
83,CHANDHASI,585,452,0,1037,314,211,0,525,525,0,112,21,345,26,6,1,2,0,0,4,0,0,3,0,0,1,1,0,1,1,1,0,525
84,CHANDHASI,623,490,0,1113,331,202,0,533,533,0,106,19,345,29,5,0,3,3,1,7,2,1,1,1,3,2,0,0,0,1,2,2,533
85,CHANDHASI,695,577,0,1272,392,271,0,663,663,0,145,21,372,81,13,0,2,0,1,7,4,2,1,3,1,5,0,0,0,1,1,3,663
86,CHANDHASI,697,531,0,1228,331,216,0,547,547,0,144,30,265,75,23,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,5,547
87,HARISHANKARPUR,579,418,0,997,421,313,0,734,734,0,140,40,372,142,6,1,2,1,0,9,1,2,0,1,1,5,3,0,3,4,0,1,734
88,HARISHANKARPUR,522,423,0,945,347,281,0,628,628,0,122,14,227,214,7,0,1,2,4,8,4,1,5,3,1,6,5,2,1,1,0,0,628
89,SATPOKHARI,761,492,0,1253,339,195,0,534,534,0,123,61,166,159,12,2,0,0,0,2,0,0,2,0,2,1,0,0,0,1,1,2,534
90,SATPOKHARI,849,599,1,1449,407,183,0,590,590,0,187,84,47,220,32,0,0,1,1,0,0,2,1,0,2,4,4,0,0,2,1,2,590
91,SATPOKHARI,799,516,0,1315,440,171,0,611,611,0,229,92,11,236,20,0,1,0,0,1,0,2,0,1,9,0,2,1,2,1,2,1,611
92,SATPOKHARI,657,521,5,1183,316,172,0,488,488,0,160,62,15,221,13,1,0,0,0,0,0,1,1,0,3,2,2,2,0,4,0,1,488
93,SATPOKHARI,834,521,0,1355,400,162,0,562,562,0,223,90,3,203,20,0,0,1,1,1,0,2,1,1,5,7,1,1,0,0,2,0,562
94,MAHABALPUR,948,696,0,1644,516,399,0,915,915,0,279,71,280,241,21,0,4,2,1,3,2,1,1,1,2,0,1,0,1,3,1,0,915
95,MAHABALPUR,798,556,0,1354,503,239,0,742,742,0,65,41,405,165,14,2,1,1,2,5,0,0,1,4,1,2,1,2,2,18,4,6,742
96,KARWAT,1140,826,0,1966,757,488,0,1245,1245,0,80,40,753,303,27,1,1,1,2,8,0,1,2,3,2,9,2,2,1,2,2,3,1245
97,DULAHIPUR,832,506,0,1338,405,205,0,610,610,0,281,76,43,180,12,1,0,2,1,2,0,1,2,2,0,3,1,1,0,0,0,2,610
98,DULAHIPUR,561,365,0,926,296,155,0,451,451,0,90,35,139,172,6,0,0,0,0,0,1,0,1,1,0,3,0,0,0,2,1,0,451
99,DULAHIPUR,617,406,1,1024,329,178,0,507,507,0,56,27,318,69,17,1,1,0,0,5,0,0,0,3,0,5,1,0,1,3,0,0,507
100,DULAHIPUR,568,444,0,1012,354,238,0,592,592,0,20,18,442,72,3,1,3,1,1,3,0,4,3,10,1,2,0,0,3,2,1,2,592
101,DULAHIPUR,945,641,0,1586,490,263,0,753,753,0,86,36,272,317,14,0,0,0,0,4,1,1,0,0,3,4,3,2,3,4,0,3,753
102,DULAHIPUR,525,367,0,892,341,206,0,547,547,0,54,21,284,168,2,0,0,1,0,6,0,0,1,1,0,2,0,1,1,2,2,1,547
103,DULAHIPUR,868,576,0,1444,343,171,0,514,514,0,125,38,88,230,22,0,0,0,0,0,0,1,1,1,2,1,3,0,0,0,1,1,514
104,DULAHIPUR,657,436,0,1093,299,90,0,389,389,0,164,61,28,111,10,1,0,1,0,0,0,0,2,1,1,3,2,2,1,1,0,0,389
105,MUHAMMADPUR,550,449,0,999,341,255,0,596,593,0,14,17,489,54,4,0,0,0,1,2,0,0,2,2,0,2,0,1,2,2,2,2,596
106,MUHAMMADPUR,690,523,0,1213,409,311,0,720,720,0,118,30,345,181,8,4,3,0,3,3,0,3,2,1,2,11,3,0,1,1,1,0,720
107,PURAINI,520,372,0,892,344,232,0,576,576,0,56,14,409,79,1,0,1,1,1,1,0,3,1,3,1,1,0,1,1,2,0,0,576
108,KUDHKALA,974,734,0,1708,560,445,0,1005,1005,0,601,28,197,140,10,1,1,0,2,2,2,3,2,0,0,10,4,0,0,0,0,2,1005
109,KUNDHKALA,505,331,0,836,318,179,0,497,497,0,38,24,132,282,6,1,0,1,0,3,0,1,1,0,0,2,0,1,1,0,0,4,497
110,MUGHALSARAI,321,241,0,562,158,125,0,283,283,0,26,35,164,42,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,283
111,MUGHALSARAI,355,300,0,655,155,114,0,269,269,0,18,33,166,25,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,269
112,MUGHALSARAI,634,467,3,1104,334,200,0,534,534,0,52,82,301,67,23,1,0,0,0,3,1,0,0,2,1,1,0,0,0,0,0,0,534
113,MUGHALSARAI,591,397,0,988,274,159,0,433,433,0,70,63,231,35,23,1,0,0,0,1,0,0,2,1,0,0,2,1,1,1,0,1,433
114,MUGHALSARAI,519,306,1,826,245,120,0,365,365,0,81,51,184,23,16,0,0,0,0,1,0,1,0,0,0,2,0,0,3,1,1,1,365
115,MUGHALSARAI,464,331,1,796,222,168,0,390,390,0,29,32,250,46,21,0,0,0,1,2,0,0,0,1,2,0,4,0,1,0,0,1,390
116,MUGHALSARAI,498,329,0,827,240,154,0,394,394,0,34,39,226,60,28,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,3,394
117,MUGHALSARAI,398,291,0,689,175,146,0,321,321,0,18,39,200,40,21,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,321
118,PARASHURAMPUR,937,742,0,1679,482,341,0,823,823,0,172,14,270,304,29,3,0,3,0,3,1,2,3,2,0,2,7,0,0,0,5,3,823
119,PARASHURAMPUR,496,400,0,896,294,207,0,501,501,0,119,7,165,182,10,0,0,0,0,2,0,0,2,0,0,0,5,2,0,2,4,1,501
120,PARASHURAMPUR,420,356,0,776,244,151,0,395,395,0,137,14,80,139,9,0,0,1,0,1,0,1,1,0,1,0,4,1,1,1,4,0,395
121,PARASHURAMPUR,348,301,0,649,205,129,0,334,334,0,76,35,52,130,37,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,334
122,PARASHURAMPUR,826,578,0,1404,372,241,0,613,613,0,252,21,186,107,21,0,1,0,1,0,1,1,1,1,0,1,16,0,0,0,1,2,613
123,PARASHURAMPUR,505,404,0,909,274,201,0,475,475,0,176,16,207,38,10,2,1,0,1,2,0,1,1,0,3,1,11,1,0,0,3,1,475
124,PARASHURAMPUR,659,583,0,1242,350,242,0,592,592,0,80,30,317,128,10,3,1,1,3,7,0,2,1,0,1,2,1,0,0,2,1,2,592
125,PARASHURAMPUR,442,365,1,808,206,130,0,336,336,0,47,21,153,95,14,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,336
126,PARASHURAMPUR,590,482,0,1072,334,239,0,573,573,0,90,64,219,153,35,0,0,0,0,1,1,0,3,0,1,5,0,0,1,0,0,0,573
127,PARASHURAMPUR,541,424,0,965,302,241,0,543,543,0,22,47,295,144,15,1,3,0,1,5,1,2,1,1,0,3,0,0,0,1,0,1,543
128,AMDHOPUR,437,307,0,744,242,185,0,427,427,0,301,11,67,11,5,0,2,0,1,1,0,1,1,1,0,3,18,0,0,1,1,2,427
129,AMDHOPUR,626,439,0,1065,357,228,0,585,585,0,124,20,347,50,9,5,0,0,1,6,0,1,1,0,0,3,4,0,4,6,2,2,585
130,AMDHOPUR,661,488,0,1149,385,268,0,653,653,0,108,7,438,74,4,1,0,1,1,3,0,0,1,2,0,1,6,1,0,3,1,1,653
131,CHHITTAMPUR,575,457,0,1032,340,263,0,603,603,0,330,12,147,30,7,1,3,0,1,2,8,1,1,3,1,11,22,1,5,6,6,5,603
132,CHHITTAMPUR,514,400,1,915,360,234,0,594,594,0,238,12,248,32,8,5,0,2,2,1,10,1,5,0,1,10,13,0,1,0,1,4,594
133,DHARNA,974,729,0,1703,484,349,0,833,833,0,78,49,383,264,19,1,2,1,0,8,8,0,4,1,2,6,2,0,1,1,0,3,833
134,DHARNA,543,450,0,993,300,231,0,531,531,0,43,28,283,140,5,2,0,1,1,2,4,1,5,0,1,5,4,1,1,1,0,3,531
135,HRIDAYPUR,556,381,0,937,422,272,0,694,694,0,112,4,125,431,2,1,2,0,0,2,1,3,2,1,0,4,0,0,0,2,0,2,694
136,DIHAVA,290,226,0,516,202,158,0,360,360,0,86,3,44,212,6,0,0,0,0,1,0,1,0,0,0,2,0,1,0,2,1,1,360
137,KHUJURGANV,571,400,0,971,368,238,0,606,606,0,208,12,208,134,7,2,1,1,0,2,0,5,5,3,1,5,3,0,3,3,3,0,606
138,KHUJURGANV,874,615,0,1489,458,330,0,788,788,0,388,6,227,96,2,0,1,1,1,2,0,3,3,5,2,12,13,2,6,11,3,4,788
139,KABIRPUR,429,314,0,743,277,196,0,473,473,0,110,16,225,78,12,0,1,1,0,6,0,1,2,3,0,5,3,0,1,4,0,5,473
140,DARIYAPUR,423,306,0,729,269,189,0,458,458,0,42,18,281,54,46,0,1,0,0,5,1,1,0,2,3,2,1,0,1,0,0,0,458
141,DAHIYA,826,617,0,1443,529,381,0,910,910,0,232,41,187,408,5,0,1,1,3,2,3,0,3,2,1,8,1,1,0,3,2,6,910
142,MANNAPUR,859,656,0,1515,588,458,0,1046,1046,0,398,37,207,317,23,1,4,1,1,4,0,1,4,1,2,18,13,0,0,3,1,10,1046
143,MAHDEVA,730,551,0,1281,493,220,0,713,713,0,34,29,486,132,11,0,2,0,1,4,0,1,1,2,1,3,1,0,4,1,0,0,713
144,MAHDEVA,372,258,0,630,134,132,0,266,266,0,72,20,116,49,4,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,266
145,VYASAPUR,603,485,0,1088,426,360,0,786,786,0,293,35,311,79,41,3,2,0,0,2,0,0,1,1,0,0,4,3,4,2,2,3,786
146,GORAIYA,886,700,0,1586,492,346,0,838,838,0,203,32,351,206,5,0,3,2,3,8,0,1,6,3,2,7,1,0,0,2,0,3,838
147,GORAIYA,479,380,0,859,278,229,0,507,507,0,135,53,112,162,23,1,0,2,1,4,1,2,1,0,3,4,0,0,0,2,1,0,507
148,GORAIYA,485,303,0,788,275,227,0,502,502,0,140,31,220,90,15,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,502
149,CHANDITARA,506,399,0,905,359,262,0,621,621,0,37,22,387,140,9,0,0,1,0,4,1,0,5,0,3,2,0,2,1,2,1,4,621
150,CHANDITARA,699,554,0,1253,390,299,0,689,689,0,66,22,383,169,7,2,3,2,0,3,0,0,1,0,0,0,7,2,8,10,2,2,689
151,CHANDITARA,319,292,0,611,209,172,0,381,381,0,36,8,279,26,10,0,1,1,2,3,0,1,0,2,0,1,1,0,3,3,2,2,381
152,BAKHARA,581,475,0,1056,452,359,0,811,811,0,53,22,666,17,9,0,1,0,2,2,0,3,7,7,1,6,0,0,3,7,2,3,811
153,NIBUPUR,715,581,0,1296,478,328,0,806,806,0,87,8,412,246,7,1,1,0,1,3,1,1,2,8,2,11,1,1,4,2,2,5,806
154,NATHUPUR,741,670,0,1411,543,419,0,962,962,0,228,9,43,505,131,0,1,1,1,3,1,2,5,1,3,12,5,1,2,2,3,3,962
155,JALILPUR,543,422,0,965,345,229,0,574,574,0,42,32,319,125,30,0,1,0,2,4,0,2,1,1,1,2,2,0,3,5,0,2,574
156,JALILPUR,634,492,0,1126,393,280,0,673,673,0,52,29,491,68,7,0,2,0,0,3,0,0,1,0,0,0,5,1,3,10,0,1,673
157,RATANPUR,878,662,0,1540,613,409,0,1022,1022,0,232,18,623,59,11,1,4,2,2,12,5,1,6,3,2,21,7,1,2,1,1,8,1022
158,CHAURAHAT,774,631,0,1405,510,359,0,869,869,0,22,22,729,31,20,1,3,0,0,8,0,2,1,1,1,7,2,3,5,6,2,3,869
159,CHAURAHAT,329,276,1,606,218,176,0,394,394,0,17,24,305,29,6,0,0,0,0,0,1,1,0,0,1,4,0,0,5,0,0,1,394
160,CHAURAHAT,594,441,0,1035,343,209,0,552,552,0,122,21,202,149,41,0,1,0,1,1,0,0,3,0,7,2,2,0,0,0,0,0,552
161,CHAURAHAT,741,557,0,1298,396,234,0,630,630,0,117,49,127,208,95,2,2,1,0,2,1,0,1,2,4,11,2,0,1,1,1,3,630
162,CHAURAHAT,827,638,1,1466,463,248,0,711,711,0,200,37,144,241,73,1,0,0,0,0,0,0,4,1,2,1,1,0,3,2,0,1,711
163,CHAURAHAT,700,509,1,1210,321,190,0,511,511,0,55,58,45,226,102,0,0,3,0,2,0,1,1,3,3,10,0,0,0,1,0,1,511
164,SEMARA,732,599,0,1331,536,382,0,918,918,0,316,18,265,230,41,2,1,0,0,6,0,0,5,3,1,15,6,3,0,2,2,2,918
165,SEMARA,392,288,0,680,234,169,0,403,403,0,169,9,143,53,9,0,0,0,0,3,1,0,0,0,0,7,4,0,1,1,2,1,403
166,KATESAR,828,586,0,1414,550,414,0,964,964,0,5,7,129,753,29,3,1,3,0,7,3,4,2,1,0,7,0,1,5,0,1,3,964
167,KATESAR,595,453,0,1048,380,220,0,600,600,57,57,8,313,87,106,3,1,0,0,2,1,0,0,1,1,7,2,2,5,2,0,2,600
168,KATESAR,468,339,0,807,256,161,0,417,417,0,91,16,61,82,145,2,1,1,0,0,4,2,0,1,0,5,1,0,2,0,2,1,417
