"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMBIKA SINGH","2 - BRIJ KISHOR SINGH","3 - RAM PRASAD CHAUDHARY","4 - HARISH CHANDRA  ALIAS  HARISH DWIVEDI","5 - ANAND RAJPAL","6 - PURUSHOTTAM PANDEY","7 - BHAGWANDAS","8 - RAM KARAN ALIAS R.K. GAUTAM","9 - SHIVPOOJAN RAJBHAR","10 - SITA RAM","11 - ARUN KUMAR","12 - KRISHNA  KUMAR UPADHYAY ADVOCATE","13 - RAM SHANKAR GUPTA","14 - None of the Above","Total Votes Secured"
82,"P.S. PHARADA",354,309,0,663,221,191,0,412,410,0,5,179,155,68,1,0,2,0,0,0,0,0,1,1,412
83,"P.S. SODHARI",297,248,0,545,234,172,0,406,367,0,10,226,101,55,0,6,0,0,1,1,1,2,1,2,406
84,"P.S. RAKSA",215,174,0,389,166,112,0,278,278,0,4,246,9,19,0,0,0,0,0,0,0,0,0,0,278
85,"V.P.I.S. MAHSON EAST",586,426,0,1012,344,205,0,549,548,0,20,358,30,119,1,0,1,1,0,1,0,6,3,9,549
86,"V.P.I.S. MAHSON EAST",703,526,0,1229,335,276,0,611,605,0,12,458,24,101,3,0,0,0,0,0,0,2,6,5,611
87,"V.P.I.S. MAHSON WEST",993,724,0,1717,536,362,0,898,877,0,14,614,65,160,0,0,4,1,2,5,0,4,11,18,898
88,"V.P.I.S. MAHSON NORTH",520,395,0,915,282,208,0,490,480,0,15,278,104,80,2,1,1,0,0,0,2,2,1,4,490
89,"V.P.I.S. MAHSON NORTH",539,387,0,926,323,241,0,564,200,0,17,358,93,87,1,0,2,0,0,0,1,3,0,2,564
90,"V.P.I.S. MAHSON SOUTH",311,263,1,575,222,150,0,372,352,0,13,256,37,51,2,1,1,0,0,2,1,2,3,3,372
91,"P.S. SIKARA HAKIM",399,316,0,715,264,238,0,502,502,0,5,326,79,55,1,22,2,1,1,0,1,4,1,4,502
92,P.S.DIGHA,60,46,0,106,40,34,0,74,74,0,1,55,11,7,0,0,0,0,0,0,0,0,0,0,74
93,"PANCHYAT BHAWAN PIPRA CHITHAR",315,239,0,554,191,155,0,346,135,0,6,64,153,110,3,0,2,0,0,2,2,1,0,3,346
94,"J.H.S. RAMPUR EAST",597,518,0,1115,497,333,0,830,830,0,19,573,208,8,1,4,3,1,2,2,1,4,2,2,830
95,"J.H.S. RAMPUR WEST",713,566,0,1279,517,437,0,954,20,0,12,817,59,52,11,0,0,0,0,1,0,1,1,0,954
96,"P.S. REVALI",505,433,0,938,301,305,0,606,606,0,6,293,225,56,3,5,1,1,1,2,3,4,4,2,606
97,"J.H.S. KARAMAGAJA",452,407,0,859,283,254,0,537,36,0,11,209,155,142,2,2,0,1,0,1,0,3,2,9,537
98,"P.S. NAGAHARA",308,279,0,587,194,197,0,391,391,0,3,129,85,146,5,0,1,0,1,3,3,3,8,4,391
99,"P.S. JOGIYA EAST",406,339,0,745,245,196,0,441,435,0,9,66,121,225,0,0,4,1,0,1,1,3,3,7,441
100,"P.S. JOGIYA WEST",547,478,0,1025,298,311,0,609,602,0,2,333,79,159,8,0,2,1,0,2,6,5,10,2,609
101,"P.S. KHAJUHI ALIES  BADGAUN EAST",334,304,0,638,166,136,0,302,169,0,4,106,25,159,2,0,1,0,0,1,1,1,0,2,302
102,"P.S. KHAJUHI ALIES  BADGAUN WEST",268,231,0,499,182,161,0,343,343,0,1,12,214,102,2,1,0,2,0,0,0,4,0,5,343
103,"P.S. SIRAUTA",293,255,0,548,177,168,0,345,181,0,0,140,84,112,0,0,2,1,0,0,1,1,1,3,345
104,"P.S. MUNADIHA",339,319,0,658,197,217,0,414,396,0,9,198,93,94,3,3,1,3,0,2,1,2,2,3,414
105,"P.S. KAITAHA",356,312,0,668,197,181,0,378,74,0,6,133,184,30,3,0,2,0,1,2,4,4,3,6,378
106,"P.S. KHADARA",463,380,1,844,227,266,0,493,377,0,21,330,97,30,2,2,0,0,0,0,2,2,3,4,493
107,"P.S. KHADARA",423,385,0,808,148,213,0,361,361,0,17,280,38,13,1,5,0,1,0,1,1,1,1,2,361
108,"P.S. GARWAH",797,695,0,1492,480,398,0,878,778,0,17,323,273,234,6,1,2,1,0,3,1,5,0,12,878
109,"P.S. PAKARDAN",727,629,0,1356,530,435,0,965,915,0,11,490,111,334,6,0,0,0,3,0,0,4,3,3,965
110,"P.S. BANGANVA",304,257,0,561,179,162,0,341,120,0,6,112,92,109,5,0,1,2,1,1,1,3,3,5,341
111,"P.S. THARAULI",351,324,0,675,233,214,0,447,315,0,4,105,129,190,3,0,2,0,1,0,2,4,4,3,447
112,"P.S. NARAULI",444,359,0,803,342,297,0,639,639,0,8,454,86,67,3,1,2,0,1,0,1,2,5,9,639
113,"P.S. DANWALGULI",908,722,0,1630,549,471,0,1020,792,0,23,374,422,146,5,1,1,2,1,3,9,5,11,17,1020
114,"P.S. GAURA UPADHYAY",425,399,1,825,269,223,0,492,476,0,9,138,124,189,1,1,1,0,1,3,1,6,6,12,492
115,"ANGANVANI KENDRA BOKNAR",373,292,0,665,221,193,0,414,414,0,5,180,138,84,0,0,1,0,1,0,1,1,1,2,414
116,"P.S. SOBHANPAR",549,480,0,1029,353,362,0,715,704,0,19,293,339,48,1,4,3,1,2,0,0,0,0,5,715
117,"P.S. KAITHAWALIYA",338,262,0,600,210,219,0,429,299,0,5,315,76,28,1,0,0,0,0,1,0,1,1,1,429
118,"P.S. AMARDOBHA",390,331,1,722,258,209,0,467,112,0,7,292,66,76,1,0,0,2,2,4,2,3,3,9,467
119,P.S.BEHIL,611,517,0,1128,288,319,0,607,605,0,8,246,116,205,7,1,1,3,2,0,1,4,2,11,607
120,"P.S. KAKRAULI",220,174,1,395,151,126,0,277,277,0,5,178,45,40,1,1,0,0,0,0,2,1,3,1,277
121,"P.S. PAGAR KHAS",328,297,0,625,248,245,0,493,493,0,2,379,51,52,1,0,0,0,0,0,0,1,7,0,493
122,"PANCHYAT BHAWAN MAHADEVA",562,484,5,1051,388,312,0,700,690,0,13,483,56,138,1,0,0,1,0,0,1,2,2,3,700
123,P.S.BAROHIYAKALA,507,473,0,980,172,373,0,545,493,0,29,197,149,154,3,1,1,0,0,0,2,2,2,5,545
