"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KU. DEVENDRA SINGH YADAV","2 - NOOR MOHAMMAD KHAN","3 - RAJVEER SINGH RAJU BHAIYA","4 - TH. JOGINDRA SINGH BHADORIYA","5 - RAJENDRA","6 - VINAY","7 - THAKUR HEMENDRA VEER SINGH","8 - HANS  RAJ SINGH","9 - DANVEER","10 - RAKESH GANDHI","11 - RAJVEER SINGH","12 - None of the Above","Total Votes Secured"
31,"P.SCHOOL, BAGWAS",580,468,0,1048,355,250,0,605,605,0,104,177,276,9,2,6,4,1,1,6,11,8,605
32,"P.SCHOOL, GHABRA",352,286,0,638,216,170,0,386,1,0,96,35,233,6,1,0,2,0,2,3,7,1,386
33,"JR.HIGHSCHOOL, MYUNI",439,357,0,796,265,186,0,451,444,0,120,51,259,4,0,2,4,2,0,4,2,3,451
34,"P.SCHOOL, BAHROZPUR",737,664,0,1401,460,354,0,814,505,0,225,30,519,6,4,4,3,0,1,3,10,9,814
35,"P.SCHOOL, MAHMOODPUR",322,312,0,634,272,231,0,503,482,0,328,136,29,0,0,0,4,1,0,0,0,5,503
36,"P.SCHOOL, SAMASPUR M.",486,406,0,892,252,242,0,494,494,0,409,9,64,0,0,0,2,1,1,0,3,5,494
37,"P.SCHOOL, BARA M. SAMASPUR",423,395,0,818,311,248,0,559,98,0,517,5,31,2,1,0,1,0,1,0,0,1,559
38,"JR.HIGHSCHOOL SAMASPUR, ROOM NO.2",407,357,0,764,195,187,0,382,382,0,343,7,18,1,1,2,0,3,0,1,4,2,382
39,"JR.HIGHSCHOOL SAMASPUR, ROOM NO.3",395,379,0,774,154,219,0,373,373,0,304,52,13,1,0,0,0,0,0,0,0,3,373
40,"JR.HIGHSCHOOL SAMASPUR, ROOM NO.1",780,699,0,1479,336,370,0,706,68,0,655,32,6,1,0,3,1,2,1,0,0,5,706
41,"JR.HIGHSCHOOL  PACHPOKHRAR, ROOM NO.1",653,545,0,1198,207,186,0,393,393,1,361,15,8,1,2,0,2,0,0,2,0,2,393
42,"JR.HIGHSCHOOL  PACHPOKHRA, ROOM NO.2",425,386,0,811,117,145,0,262,28,2,195,17,41,1,0,0,1,0,1,0,2,4,262
43,"P.SCHOOL, PACHPOKHRA ROOM NO.1",510,426,0,936,185,225,0,410,60,3,325,50,16,0,1,1,1,0,0,1,2,13,410
44,"P.SCHOOL, PACHPOKHRA ROOM NO.2",579,496,0,1075,166,220,0,386,383,0,354,18,8,0,0,1,0,0,0,1,0,4,386
45,"P.SCHOOL, DHAVA ROOM NO 1",469,391,0,860,212,226,0,438,417,0,349,57,24,1,0,1,4,0,0,1,0,1,438
46,"P.SCHOOL, DHAVA ROOM NO.2",455,378,0,833,197,198,0,395,394,0,240,132,12,1,1,2,2,0,0,0,1,4,395
47,"P.SCHOOL, SUJAWALPUR ROOM NO.1",619,483,0,1102,398,283,0,681,100,0,601,61,3,2,0,1,1,1,0,0,1,10,681
48,"P.SCHOOL, SUJAWALPUR ROOM NO.4",441,382,0,823,217,192,0,409,107,0,367,25,4,0,1,0,2,0,1,0,0,9,409
49,"P.SCHOOL, SUJAWALPUR ROOM NO.2",510,405,0,915,336,289,0,625,625,0,494,82,41,1,0,2,0,0,0,1,3,1,625
50,"P.SCHOOL, SUJAWALPUR ROOM NO.5",452,409,0,861,232,224,0,456,456,0,386,37,27,1,1,2,0,1,0,0,0,1,456
51,"P.SCHOOL, SUJAWALPUR ROOM NO.3",727,595,2,1324,373,287,0,660,660,0,623,21,8,0,0,0,0,1,0,1,1,5,660
52,"P.SCHOOL, SUJAWALPUR ROOM NO.6",520,448,0,968,256,200,0,456,359,0,402,11,30,2,0,0,0,0,2,2,3,4,456
53,"G. JR.H.SCH.SUDAMAPURI ROAD GANJ R.NO.1",644,540,0,1184,315,256,0,571,522,0,533,12,21,0,0,0,0,0,0,2,0,3,571
54,"G. JR.H.SCH.SUDAMAPURI ROAD GANJ R.NO.2",497,422,0,919,269,225,0,494,445,0,475,12,1,0,0,0,0,1,0,1,0,4,494
55,"G. JR.H.SCH.SUDAMAPURI ROAD GANJ R.NO.3",298,255,0,553,181,164,0,345,93,0,38,62,226,5,5,1,2,0,1,1,1,3,345
56,"P.SCHOOL NAGALA BARAITHI",327,292,0,619,226,175,0,401,278,0,198,52,137,1,0,2,0,2,2,0,2,5,401
57,"G. JR.H.SCH.SUDAMAPURI ROAD GANJ R.NO.4",777,679,0,1456,511,426,0,937,937,0,39,5,873,3,0,1,1,3,0,1,5,6,937
58,"M.R.SHER H.SEC. SCHOOL ROOM NO.1",487,398,0,885,258,296,0,554,205,0,444,15,91,0,0,0,0,1,0,1,2,0,554
59,"M.R.SHER H.SEC. SCHOOL ROOM NO.2",386,361,0,747,197,236,0,433,430,0,379,29,19,1,0,0,3,0,0,0,0,2,433
60,"M.R.SHER H.SEC. SCHOOL ROOM NO.3",525,448,0,973,330,276,0,606,116,0,499,47,56,0,0,0,0,0,0,1,1,2,606
61,"M.R.SHER H.SEC. SCHOOL ROOM NO.4",579,526,0,1105,425,364,0,789,25,0,664,16,101,1,0,0,1,2,0,1,2,1,789
62,"ADARSH SCHOOL GANJDUNDWARA R.NO.1",485,386,0,871,225,188,0,413,412,0,341,10,54,1,0,0,0,1,0,2,0,4,413
63,"ADARSH SCHOOL GANJDUNDWARA R.NO.3",459,439,0,898,200,227,0,427,427,0,398,13,15,1,0,0,0,0,0,0,0,0,427
64,"ADARSH SCHOOL GANJDUNDWARA R.NO.2",443,318,0,761,241,189,0,430,430,0,358,11,56,1,0,1,0,1,0,0,1,1,430
65,"ADARSH SCHOOL GANJDUNDWARA R.NO.4",508,426,0,934,247,224,0,471,75,0,436,17,11,0,0,1,0,0,0,1,0,5,471
66,"AMEER KHUSRO SCHOOL, ROOM NO.1",519,430,0,949,290,271,0,561,546,0,534,18,3,2,0,1,0,0,0,0,0,3,561
67,"AMEER KHUSRO SCHOOL, ROOM NO.2",463,429,0,892,255,277,0,532,195,0,519,9,1,0,0,0,0,1,0,0,1,1,532
68,"AMEER KHUSRO SCHOOL, GANJDUNDWARA ARROOM NO.5",832,685,0,1517,482,487,0,969,928,0,956,9,2,0,0,0,0,0,0,0,0,2,969
69,"AMEER KHUSRO SCHOOL,GANJDUNDWARA  ROOM NO.3",708,583,0,1291,412,456,0,868,448,0,833,22,10,0,0,0,0,0,0,0,0,3,868
70,"AMEER KHUSRO SCHOOL,GANJDUNDWARA  ROOM NO.4",545,383,0,928,316,209,0,525,68,0,406,64,51,1,0,0,0,0,0,0,2,1,525
71,"AMEER KHUSRO SCHOOL, GANJDUNDWARAROOM NO.6",442,431,0,873,221,286,0,507,504,0,452,28,23,2,0,0,0,2,0,0,0,0,507
72,"P.SCHOOL, ETAH ROAD, GANJDUNDWARA",786,631,0,1417,630,365,0,995,30,0,874,30,85,1,0,1,0,1,1,0,0,2,995
73,"G.P.S.SUDAMAPURI ROAD GANJDUND.R.NO.1",634,551,0,1185,367,288,0,655,630,0,335,169,140,3,1,0,0,0,0,2,4,1,655
74,"G.P.S.SUDAMAPURI ROAD GANJDUND.R.NO.2",546,451,0,997,294,251,0,545,544,0,219,116,206,0,0,1,0,0,0,0,1,2,545
75,"B.GIRLS HR.SEC. SCH.GANJDUNDWARA R.NO.1",390,342,0,732,245,176,0,421,421,0,21,7,387,1,0,0,0,0,0,3,1,1,421
76,"B.GIRLS HR.SEC. SCH.GANJDUNDWARA R.NO.3",461,436,0,897,275,249,0,524,425,0,21,10,482,8,0,0,0,1,0,0,1,1,524
77,"B.GIRLS HR.SEC. SCH.GANJDUNDWARA R.NO.2",581,516,0,1097,360,313,0,673,170,0,19,9,636,2,1,0,0,3,2,0,1,0,673
78,"HARNARAYAN INTER COLLEGE ROOM NO.1",599,546,0,1145,324,286,0,610,588,0,56,6,530,5,0,0,0,6,0,3,0,4,610
79,"HARNARAYAN INTER COLLEGE ROOM NO.2",526,425,0,951,253,181,0,434,326,0,68,11,343,3,1,0,1,0,0,0,1,6,434
80,"HARNARAYAN INTER COLLEGE ROOM NO.7",428,389,0,817,255,134,0,389,389,0,176,14,192,0,0,0,1,3,0,0,1,2,389
81,"HARNARAYAN INTER COLLEGE ROOM NO.3",424,399,0,823,294,253,0,547,122,0,23,4,509,5,0,0,0,1,0,0,3,2,547
82,"HARNARAYAN INTER COLLEGE ROOM NO.4",566,524,0,1090,348,252,0,600,4,0,238,108,244,0,0,2,1,1,0,2,3,1,600
83,"HARNARAYAN INTER COLLEGE ROOM NO.5",234,212,0,446,197,150,0,347,245,0,20,10,314,2,0,0,1,0,0,0,0,0,347
84,"HARNARAYAN INTER COLLEGE ROOM NO.6",733,634,0,1367,347,286,0,633,534,0,42,167,398,8,0,2,2,1,2,1,5,5,633
85,"CHHETRIYA SAHKARI SAMITI GANJDUNDWARA",600,520,0,1120,350,287,0,637,310,64,64,4,553,4,0,0,2,2,2,3,3,0,637
86,"JR. H.SCHOOL, PITHANPUR BHUJPURA",554,468,0,1022,415,340,0,755,2,0,334,112,295,3,2,1,1,0,1,2,2,2,755
87,"J.H.S. NAVADA M.AKBAR NAGAR PALIYA",543,465,0,1008,393,261,0,654,654,0,213,49,358,10,2,0,3,2,1,6,6,4,654
88,"P.SCHOOL, PALIYA M. AKBAR NAGAR PALIYA",408,340,0,748,367,284,0,651,385,0,22,35,583,5,0,2,1,1,0,0,1,1,651
89,"P.SCHOOL, NOORPUR",684,548,0,1232,579,325,0,904,904,0,749,112,20,0,0,1,0,0,2,9,2,9,904
90,"P.SCHOOL, AZIZPUR",545,488,0,1033,387,289,0,676,600,0,92,113,429,4,2,2,2,0,0,7,16,9,676
91,"P.SCHOOL, DAMPURA",286,239,0,525,244,153,0,397,290,0,396,0,1,0,0,0,0,0,0,0,0,0,397
92,"P.P.SCHOOL, RASOOLPUR ARORA",489,408,0,897,348,268,0,616,616,0,197,213,190,2,2,0,3,0,0,2,7,0,616
93,"JR.H.SCHOOL, SALAWATNAGAR",589,483,0,1072,363,273,0,636,636,0,391,65,154,6,3,2,1,0,0,4,4,6,636
94,"P.SCHOOL, JADHAI",263,224,0,487,123,119,0,242,175,0,21,111,96,5,0,1,2,1,0,2,2,1,242
95,"P.SCHOOL, IMAMUDDIN NAGAR",247,193,0,440,153,128,0,281,281,0,29,154,91,2,0,1,0,0,0,1,1,2,281
96,"P.SCHOOL, NAGLA DAMAR",478,381,0,859,295,186,0,481,481,0,133,6,314,12,1,2,3,1,3,1,2,3,481
97,"P.SCHOOL, TARSI",520,437,0,957,394,291,0,685,685,0,49,93,519,6,2,1,4,1,1,2,3,4,685
98,"P.SCHOOL, NAWABGANJ NAGARIYA",737,589,0,1326,362,303,0,665,651,0,148,20,481,3,3,0,2,1,0,2,3,2,665
99,"JR.HIGH SCH.KADARGANJ PUKHTA ROOM NO. 1",728,634,0,1362,352,385,0,737,737,0,493,15,215,2,1,2,0,0,0,1,4,4,737
100,"JR.HIGH SCH.KADARGANJ PUKHTA ROOM NO. 2",616,510,1,1127,383,271,0,654,12,0,108,45,470,9,0,0,0,2,0,6,9,5,654
101,"P.SCHOOL, NAGLA BANJARAN",421,356,0,777,332,245,0,577,577,0,401,13,157,1,0,0,0,0,0,2,2,1,577
102,"P.SCHOOL, N. KHIMAI",666,514,0,1180,363,238,0,601,601,0,103,37,350,79,1,4,1,1,1,4,17,3,601
103,"JR. HIGHSCHOOL, NAGLA MOHAN",316,248,0,564,228,160,0,388,178,0,72,187,102,2,1,0,1,1,1,2,13,6,388
104,"P.SCHOOL, NAGLA TILAK",262,181,0,443,204,138,0,342,342,0,335,2,4,0,0,0,0,0,1,0,0,0,342
105,"JR.HIGHSCHOOL NAGALA DURGU",562,427,0,989,365,265,0,630,625,0,56,210,315,8,3,3,0,0,1,4,15,15,630
106,"P.SCHOOL, N. DAMBER",771,643,0,1414,454,243,0,697,598,0,545,6,95,25,3,4,1,1,1,4,0,12,697
107,"JR.HIGHSCHOOL, HIMMANT NAGAR BAJHERA",296,241,0,537,196,138,0,334,331,0,133,31,152,2,0,1,1,8,0,3,1,2,334
108,"P.SCHOOL NAGLA KHURD",424,308,0,732,185,129,0,314,13,0,16,69,211,5,0,2,0,0,1,3,4,3,314
109,"P.SCHOOL, NARDOLI ROOM NO. 1",649,529,0,1178,389,230,0,619,30,0,79,35,445,12,2,5,6,2,4,10,11,8,619
110,"P.SCHOOL, NARDOLI ROOM NO. 2",750,545,0,1295,390,241,0,631,631,0,162,33,405,7,1,1,3,0,1,8,6,4,631
111,"P.SCHOOL, NARDOLI ROOM NO. 3",162,147,0,309,69,50,0,119,97,0,47,6,62,0,1,0,1,0,0,1,0,1,119
112,"JR.HIGHSCHOOL NARDOLI PUKHTA",534,441,0,975,293,185,0,478,30,0,87,87,263,8,1,4,2,1,3,1,10,11,478
113,"P.SCHOOL VIJAY NAGAR",262,201,0,463,144,103,0,247,5,0,84,1,152,5,0,0,1,0,1,0,2,1,247
114,"P.SCHOOL MIHOLA",360,288,0,648,200,149,0,349,349,0,132,102,68,29,0,2,1,1,0,6,2,6,349
115,"P.SCHOOL, PITAM NAGAR HADORA",763,641,0,1404,434,292,0,726,300,0,477,138,98,0,1,1,1,2,0,0,3,5,726
116,"PANCHAYATGHAR NIBIYA",291,246,0,537,259,201,0,460,460,0,11,7,427,5,1,0,0,0,0,4,3,2,460
117,"JR.HIGHSCHOOL PITAM NAGAR",258,219,0,477,168,117,0,285,251,0,270,1,8,0,0,0,0,1,0,0,1,4,285
118,"P.SCHOOL, SIKANDARPUR VAISHYA ROOM NO.1",697,585,0,1282,380,185,0,565,7,0,255,33,238,18,0,1,2,1,1,1,9,6,565
119,"P.SCHOOL, SIKANDARPUR VAISHYA ROOM NO.2",667,555,0,1222,311,191,0,502,454,0,73,132,253,24,1,3,1,1,2,6,3,3,502
120,"P.SCHOOL, LABHED",375,280,0,655,312,168,0,480,480,0,452,5,13,1,0,1,1,2,0,0,1,4,480
121,"P.SCHOOL, KHADUIYA",520,424,0,944,286,184,0,470,462,0,158,22,269,6,2,0,0,0,1,3,7,2,470
122,"P.SCHOOL, BANGASH NAGAR",387,323,0,710,330,254,0,584,584,0,475,7,99,1,0,1,0,0,0,0,1,0,584
123,"P.SCHOOL, LAKHAPUR",280,218,0,498,252,160,0,412,412,0,404,2,5,0,0,0,0,1,0,0,0,0,412
124,"JR.HIGHSCHOOL BAHORA ROOM NO.1",819,667,0,1486,477,330,0,807,804,0,116,118,533,3,1,5,5,0,4,6,6,10,807
125,"JR.HIGHSCHOOL BAHORA ROOM NO.2",217,175,0,392,120,92,0,212,13,0,41,123,43,0,0,0,0,0,0,1,1,3,212
126,"P.SCHOOL, NADARMAI",218,175,0,393,173,126,0,299,17,0,28,18,236,6,0,0,0,1,1,3,5,1,299
127,"P.SCHOOL BACHHUIYA",270,217,0,487,172,142,0,314,314,0,55,105,134,3,0,2,5,1,1,0,7,1,314
128,"P.SCHOOL, MYAU ROOM NO. 1",761,632,0,1393,477,426,0,903,900,0,779,88,19,2,0,2,3,0,0,1,6,3,903
129,"P.SCHOOL, MYAU ROOM NO. 2",536,447,0,983,456,336,0,792,790,0,603,96,80,1,2,2,1,0,1,0,5,1,792
130,"P.SCHOOL NAGALA PITAM",242,196,0,438,209,157,0,366,4,0,30,18,287,18,0,1,6,0,1,1,3,1,366
131,"P.SCHOOL USMANPUR",482,431,0,913,330,255,0,585,585,0,83,38,292,144,1,1,5,2,6,4,4,5,585
132,"P.SCHOOL, DEEWAN NAGAR",384,319,0,703,360,270,0,630,630,0,2,7,616,3,0,0,0,0,0,0,0,2,630
133,"P.SCHOOL, MASTIPUR",608,481,0,1089,391,237,0,628,7,0,373,204,40,0,0,1,1,0,0,2,3,4,628
134,"P.SCHOOL, BANEL",399,322,0,721,270,206,0,476,452,0,11,237,214,1,2,1,2,1,0,6,1,0,476
135,"P.SCHOOL, NAGLA CHINA",268,255,0,523,198,187,0,385,319,0,25,17,334,3,0,0,0,3,1,1,0,1,385
136,"JR.H. CHIRAULA ROOM NO.1",463,401,0,864,232,197,0,429,429,0,290,27,93,3,0,2,0,1,0,2,5,6,429
137,"JR.H. CHIRAULA ROOM NO.3",425,370,0,795,231,212,0,443,443,0,103,51,266,6,0,0,0,1,0,5,9,2,443
138,"JR.H. CHIRAULA ROOM NO.2",311,270,0,581,211,158,0,369,246,0,25,9,327,2,0,0,0,0,0,1,2,3,369
139,"P.SCHOOL, NAGLA BHAGNA",455,409,0,864,298,274,0,572,270,0,59,111,373,7,2,0,3,0,0,4,9,4,572
140,"P.SCHOOL, GANESHPUR EAST",789,647,0,1436,577,459,0,1036,106,0,955,63,10,2,0,1,0,0,0,5,0,0,1036
141,"P. SCHOOL, GANESHPUR WEST",877,697,0,1574,450,333,0,783,450,0,431,110,231,0,0,0,0,0,0,4,4,3,783
142,"P.SCHOOL, GANESHPUR ROOM NO.1",554,406,0,960,406,304,0,710,205,0,606,49,49,0,0,0,1,4,0,0,1,0,710
143,"P.SCHOOL, GANESHPUR ROOM NO.3",484,478,0,962,361,370,0,731,731,0,684,17,26,0,0,0,2,0,0,0,0,2,731
144,"P.SCHOOL, GANESHPUR ROOM NO.2",519,368,0,887,384,256,0,640,598,0,569,22,41,1,0,1,0,0,0,0,3,3,640
145,"P.SCHOOL, GANESHPUR ROOM NO.4",430,407,0,837,235,217,0,452,452,0,369,9,70,1,0,0,0,0,0,1,1,1,452
146,"P.SCHOOL, NAGLA NUNERA",212,185,0,397,128,115,0,243,243,0,31,71,134,2,0,0,0,1,0,0,3,1,243
147,"P.SCHOOL, ALHEPUR ROOM NO.1",518,453,0,971,304,248,0,552,6,0,28,56,437,10,0,1,2,7,3,2,3,3,552
148,"P.SCHOOL, ALHEPUR ROOM NO.2",368,259,0,627,191,124,0,315,313,0,14,16,205,60,1,1,2,1,1,5,4,5,315
149,"P.SCHOOL, BAHOTA",472,366,0,838,280,216,0,496,206,0,5,143,343,0,0,0,0,1,0,2,2,0,496
150,"JR.H. NAGLA CHANDAN",287,266,0,553,159,141,0,300,30,0,12,85,192,2,0,0,1,0,1,2,2,3,300
151,"P.SCHOOL, NAGLA BANJARAN NAGLA MOTI",427,347,0,774,230,272,0,502,502,0,161,5,313,7,0,2,1,1,1,5,4,2,502
152,"U.P.V.SCHOOL, CHODIYAI",362,309,0,671,209,177,0,386,343,0,31,89,243,14,0,1,0,0,1,2,4,1,386
153,"P.SCHOOL, N. ASANAND",431,377,0,808,255,253,0,508,445,0,27,170,302,2,0,0,0,0,0,2,4,1,508
154,"P.SCHOOL, BAHADURNAGAR",718,604,0,1322,499,421,0,920,678,0,6,320,580,4,1,1,0,1,0,3,2,2,920
155,"P.SCHOOL, ALIPUR DADAR",370,340,0,710,217,209,0,426,406,0,129,121,171,2,0,0,1,1,0,0,0,1,426
156,"J.H.S. RAMPURA ROOM NO.1",652,533,0,1185,311,256,0,567,250,0,131,59,356,10,1,3,1,0,1,1,1,3,567
157,"GIRLS P.SCHOOL. RAMPURA",389,320,0,709,163,148,0,311,303,0,66,165,64,4,0,4,2,1,0,2,0,3,311
158,"P.SCHOOL, NAKDURU",399,346,0,745,256,191,0,447,80,0,66,9,366,3,0,0,1,0,0,1,0,1,447
159,"P.SCHOOL GUDIYAI",384,306,0,690,226,184,0,410,12,0,1,117,282,3,0,0,2,1,0,1,2,1,410
160,"P.SCHOOL, DHAKRAI",248,207,0,455,147,130,0,277,277,0,0,9,260,2,0,2,3,0,0,0,1,0,277
161,"P.SCHOOL, HATHEDAKHEDA",417,347,0,764,223,169,0,392,392,0,39,6,336,3,1,0,0,0,1,1,3,2,392
162,"P.SCHOOL, KHARAGPUR",412,348,0,760,247,154,0,401,165,0,66,70,242,7,1,1,1,1,2,6,4,0,401
163,"P.SCHOOL, PAVALDHERA",429,349,0,778,251,191,0,442,442,0,40,125,265,3,0,1,1,0,1,3,3,0,442
164,"P.SCHOOL, KALIYANI",574,473,0,1047,322,233,0,555,394,0,54,209,272,1,1,0,4,4,1,2,6,1,555
165,"SHRI G.V.M INTER COLLEGE FATEHPUR",518,428,0,946,311,220,0,531,19,0,50,81,385,4,1,4,0,0,0,4,2,0,531
166,"JR.H.SCHOOL, NAGLA KACHHIYAN M. KUCHRANI",347,328,0,675,194,179,0,373,214,0,46,3,319,0,1,0,2,0,0,1,0,1,373
167,"P.SCHOOL, KUCHRANI",263,248,0,511,187,145,0,332,331,0,27,33,267,1,0,0,0,0,0,1,2,1,332
168,"P.SCHOOL, BAJIDPUR",327,276,0,603,211,162,0,373,372,0,28,107,214,5,1,2,1,1,1,2,9,2,373
169,"P.SCHOOL, KILONI",736,631,0,1367,426,333,0,759,759,0,124,84,474,32,3,7,3,0,6,7,10,9,759
170,"P.SCHOOL, BILOTI ROOM NO.1",693,600,0,1293,305,216,0,521,521,0,44,138,311,0,2,0,2,4,2,4,9,5,521
171,"P.SCHOOL, BICHOLA",413,326,0,739,251,190,0,441,308,0,9,9,405,3,2,0,0,3,0,2,6,2,441
172,"P.SCHOOL, TAYYABPUR",358,309,0,667,200,167,0,367,367,0,1,183,77,96,0,1,0,0,0,3,5,1,367
173,"JR.HIGHSCHOOL, SIDHPURA ROOM NO.1",436,355,0,791,226,198,0,424,314,0,266,60,94,0,0,1,1,0,0,0,0,2,424
174,"JR.HIGHSCHOOL SIDHPURA ROOM NO.2",477,430,0,907,232,246,0,478,467,0,276,147,50,1,0,0,1,1,1,0,0,1,478
175,"JR.HIGHSCHOOL SIDHPURA ROOM NO.3",631,471,0,1102,342,249,0,591,590,1,76,53,446,0,0,6,1,1,1,1,3,3,591
176,"JR.HIGHSCHOOL SIDHPURA  ROOM NO.4",328,284,0,612,218,128,0,346,46,0,45,12,286,1,0,0,0,0,0,0,1,1,346
177,"JR.HIGHSCHOOL SIDHPURA  ROOM NO.5",721,563,0,1284,330,278,0,608,22,0,97,88,394,6,0,2,3,0,0,4,9,5,608
178,"JR.HIGHSCHOOL SIDHPURA ROOM NO.6",595,463,0,1058,258,183,0,441,441,0,101,61,269,1,1,0,0,2,0,1,2,3,441
179,"OFFICE VIKAS KHAND SIDHPURA",675,571,0,1246,380,275,0,655,595,0,390,158,90,0,0,1,3,1,0,2,1,9,655
180,"OFFICE VIKAS KHAND SIDHPURA NEW METEING HALL",324,260,0,584,150,134,0,284,277,0,160,72,51,1,0,0,0,0,0,0,0,0,284
181,"R.P.INTER COLLEGE, SIDHPURA ROOM NO.1",501,425,0,926,261,205,0,466,466,0,15,20,418,4,0,0,1,1,0,1,3,3,466
