"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - TUFANI","2 - TUFANI NISHAD","3 - BHOLANATH ALIAS B.P. SAROJ","4 - RAM CHARITRA NISHAD","5 - SUBAS CHANDRA","6 - RAJ ALIAS VIRENDRA KUMAR SONKAR","7 - RAJESH","8 - LALJI","9 - SIKANDAR","10 - SURESH GAUTAM","11 - HARI","12 - OMPRAKASH ALIAS AMBEDKAR","13 - RAJESH SONKAR","14 - SHRAVAN KUMAR PASWAN","15 - HARINATH","16 - None of the Above","Total Votes Secured"
36,"JHS RAMPUR NADI",750,525,0,1275,247,391,0,638,627,0,49,19,7,527,18,2,2,0,1,2,2,1,0,2,1,5,638
37,"JHS RAMPUR NADI",504,404,0,908,218,180,0,398,380,0,68,9,27,267,14,1,0,1,0,0,1,0,1,2,3,4,398
38,"P S ISLAMIYA RAMPUR NADI",497,464,0,961,227,237,0,464,463,0,89,10,270,67,6,3,0,0,1,2,1,2,2,6,1,4,464
39,"P S ISLAMIYA RAMPUR NADI WEST SIDE",499,343,0,842,202,175,0,377,314,0,112,42,152,47,11,2,0,0,0,0,0,0,0,7,2,2,377
40,"P S BHATAWA CHAK RAMPUR NADI SOUTH SIDE",345,285,0,630,169,174,0,343,342,0,33,5,255,32,2,1,0,0,1,0,1,0,3,5,1,4,343
41,"P S KATESAR",599,558,0,1157,242,386,0,628,628,0,51,111,95,312,23,14,4,1,1,0,2,0,1,2,3,8,628
42,"P S KEDWARI",934,701,0,1635,468,417,0,885,885,0,163,22,272,373,28,8,0,0,3,0,1,0,6,2,5,2,885
43,"P S BIRBALPUR NEW BUILDING",427,357,0,784,261,242,0,503,93,0,135,4,111,237,7,0,0,0,0,0,0,3,1,3,1,1,503
44,"P S DEWAPAR",369,284,0,653,224,157,0,381,200,0,191,68,3,95,9,4,0,0,2,0,0,0,0,4,1,4,381
45,"P S PARAUPUR",716,618,0,1334,384,403,0,787,787,0,113,24,58,531,37,2,0,1,0,0,2,1,2,8,4,4,787
46,"SARVODAY I COLLEGE SUDANIPUR EAST SIDE",759,673,0,1432,416,404,0,820,30,0,124,28,236,361,24,3,1,0,7,2,3,1,5,9,5,11,820
47,"SARVODAY I COLLEGE SUDANIPUR WEST SIDE",454,365,0,819,320,200,0,520,488,0,75,11,27,384,10,5,0,0,0,0,0,0,5,3,0,0,520
48,"K P S SUDANIPUR",333,321,0,654,183,174,0,357,357,0,128,9,80,128,1,1,0,0,2,1,1,0,1,2,2,1,357
49,"K P S SUDANIPUR",198,163,0,361,100,87,0,187,187,0,130,2,3,47,1,0,0,1,0,0,1,1,0,1,0,0,187
50,"P S SADALPUR",315,273,0,588,184,162,0,346,345,0,231,11,15,74,2,1,0,0,0,1,0,1,2,2,2,4,346
51,"P S MUKUNDPUR EAST SIDE",690,658,0,1348,402,418,0,820,232,0,84,19,176,479,23,5,2,0,1,0,1,4,7,9,5,5,820
52,"P S MUKUNDPUR EAST SIDE",625,565,0,1190,373,352,0,725,15,0,197,8,45,447,11,5,1,1,0,0,0,0,2,5,0,3,725
53,"P S JIYANPUR STHIT GRAM MUKUNDPUR",465,383,0,848,214,188,0,402,200,0,188,14,57,120,2,4,0,0,2,0,1,0,2,0,3,9,402
54,"P S JOGAPUR",542,499,0,1041,306,258,0,564,339,0,86,8,38,414,9,1,1,1,0,0,0,0,2,1,1,2,564
55,"P S CHAHARPUR",354,313,0,667,196,218,0,414,141,0,21,4,352,24,1,1,0,0,2,0,0,0,0,3,1,5,414
56,"P S SARAI KALIDAS",665,600,0,1265,314,376,0,690,690,0,338,8,145,179,7,3,1,0,1,1,0,0,1,0,2,4,690
57,"B N B INTER COLLEGE MARIAHU EAST SIDE",503,414,0,917,349,249,0,598,595,0,43,35,43,452,4,3,1,0,1,1,0,1,2,4,2,6,598
58,"B N B INTER COLLEGE MARIAHU MIDDLE SIDE",442,341,0,783,215,143,0,358,302,0,19,5,172,153,1,4,1,0,0,0,0,0,1,0,0,2,358
59,"B N B INTER COLLEGE MARIAHU MIDDLE SIDE",576,499,0,1075,279,222,0,501,234,0,40,9,151,261,13,8,2,0,0,1,3,2,0,3,3,5,501
60,"B N B INTER COLLEGE MARIAHU MIDDLE SIDE",600,454,0,1054,226,149,0,375,375,0,69,9,272,17,2,0,1,1,1,0,0,0,0,2,1,0,375
61,"B N B DEGREE COLLEGE MARIAHU",587,465,0,1052,371,254,0,625,10,0,31,7,156,412,2,6,0,0,1,0,1,0,0,0,2,7,625
62,"B N B DEGREE COLLEGE MARIAHU",438,351,0,789,271,200,0,471,10,0,21,10,66,353,6,6,3,0,1,0,0,0,0,0,2,3,471
63,"SWAMI VIVEKANAND I COLLEGE MARIAHU WEST SIDE",732,623,0,1355,391,336,0,727,81,0,31,5,378,283,6,2,1,0,1,1,2,3,1,3,2,8,727
64,"SWAMI VIVEKANAND I COLLEGE MARIAHU MIDDLE SIDE",481,407,0,888,126,233,0,359,359,0,145,6,146,52,0,4,1,0,0,0,0,0,0,0,0,5,359
65,"SWAMI VIVEKANAND I COLLEGE MARIAHU MIDDLE SIDE",483,441,0,924,203,177,0,380,10,0,190,9,158,3,1,3,1,1,2,0,1,1,0,0,4,6,380
66,"SWAMI VIVEKANAND I COLLEGE MARIAHU MIDDLE SIDE",484,391,0,875,257,203,0,460,10,0,21,13,48,364,6,4,1,0,0,0,0,0,0,0,1,2,460
67,"SWAMI VIVEKANAND I.COLLEGE MARIAHU MIDDLE SIDE",462,415,0,877,220,205,0,425,425,0,62,20,97,225,10,1,0,0,2,0,0,0,1,0,2,5,425
68,"SWAMI VIVEKANAND I.COLLEGE MARIAHU MIDDLE SIDE",695,565,0,1260,345,281,0,626,595,0,170,10,287,146,5,2,0,2,1,0,0,0,0,0,2,1,626
69,"KALPANA INTER COLLEGE MARIAHU",609,466,0,1075,348,261,0,609,592,0,49,6,122,394,13,1,2,0,0,0,3,0,5,4,4,6,609
70,"KALPANA INTER COLLEGE MARIAHU",406,322,0,728,228,196,0,424,424,0,79,10,31,275,7,7,1,1,1,0,0,1,1,3,3,4,424
71,"KALPANA INTER COLLEGE MARIAHU",740,672,0,1412,376,329,0,705,445,0,212,22,330,128,3,2,0,0,1,0,0,0,0,2,3,2,705
72,"KALPANA INTER COLLEGE MARIAHU",631,556,0,1187,354,256,0,610,576,0,150,14,139,285,3,7,0,1,1,0,1,1,1,2,4,1,610
73,P.S.RAJAPUR,408,351,0,759,252,228,0,480,480,0,63,16,154,232,5,0,0,0,2,0,0,1,0,1,2,4,480
74,P.S.ALIPUR,342,313,0,655,193,213,0,406,406,0,56,4,217,114,8,0,0,0,0,0,0,0,2,0,1,4,406
75,P.S.HINAUTI,517,418,0,935,337,301,0,638,638,0,117,11,114,362,17,2,1,0,1,1,1,0,2,4,2,3,638
76,P.S.KAZIPUR,820,718,0,1538,461,410,0,871,871,0,268,24,184,336,17,10,3,0,1,2,0,4,4,6,2,10,871
77,P.S.JIYARAMAU,716,648,0,1364,362,354,0,716,212,0,63,21,251,357,12,3,1,2,0,0,0,1,0,0,2,3,716
78,"P.S.HASANPUR SOUTH SIDE",661,587,0,1248,323,349,0,672,599,0,53,24,166,381,23,7,1,2,0,0,1,1,2,3,3,5,672
79,P.S.HASANPUR,506,414,0,920,216,205,0,421,296,0,120,7,137,133,10,2,1,0,0,0,0,1,0,3,4,3,421
80,P.S.SAHAJARA,674,626,0,1300,380,406,0,786,786,0,165,28,333,218,15,4,0,3,1,0,0,4,1,3,2,9,786
81,P.S.SAHAJARA,147,146,0,293,85,72,0,157,157,0,38,3,53,56,0,1,0,0,0,0,0,0,1,3,1,1,157
82,"P.S.BHAWANIPUR USRAON",253,214,0,467,156,141,0,297,280,0,69,12,12,176,5,8,2,2,0,0,1,2,3,1,1,3,297
83,P.S.BHULAIPUR,328,295,0,623,172,191,0,363,363,0,32,6,15,276,17,4,1,2,0,1,1,0,1,4,0,3,363
84,P.S.KALYANPUR,537,480,1,1018,274,265,0,539,483,0,177,5,110,216,10,1,2,1,0,1,2,0,1,3,7,3,539
85,"P.S.SUNGULPUR MIDDLE SIDE",168,142,0,310,95,80,0,175,10,0,3,1,29,129,2,4,0,0,0,0,0,0,1,1,4,1,175
86,P.S.SUNGULPUR,265,253,0,518,160,175,0,335,10,0,12,4,21,281,3,10,0,0,0,0,0,2,0,1,1,0,335
87,P.S.SUNGULPUR,305,283,0,588,139,173,0,312,10,0,36,20,19,210,11,5,0,0,1,0,0,2,2,3,0,3,312
88,P.S.IMAMSHAHPUR,615,477,0,1092,283,295,0,578,510,0,113,30,97,294,20,4,0,1,0,1,3,3,1,1,0,10,578
89,P.S.IMAMSHAHPUR,452,344,0,796,195,209,0,404,404,0,74,5,145,166,6,2,0,0,0,0,0,1,1,0,3,1,404
90,"JHS DAMODARA",520,448,0,968,215,225,0,440,440,0,82,16,103,214,9,0,1,0,0,0,1,2,0,6,5,1,440
91,"JHS DAMODARA",558,534,0,1092,273,282,0,555,400,0,127,15,59,311,17,3,0,2,0,1,1,0,2,5,5,7,555
92,P.S.MANUI,302,224,0,526,158,141,0,299,299,0,10,2,115,149,12,3,0,0,1,0,0,1,3,1,1,1,299
93,"P.S.CHHANGAPUR EAST SIDE",735,640,0,1375,325,337,0,662,257,0,112,28,157,296,26,4,1,2,2,2,2,2,4,8,5,11,662
94,P.S.CHHANGAPUR,402,338,0,740,185,160,0,345,345,0,55,9,127,131,7,7,0,0,2,0,1,0,1,0,2,3,345
95,P.S.BANPURAWA,281,251,0,532,154,146,0,300,104,0,26,4,12,239,11,1,2,0,0,1,0,0,3,1,0,0,300
96,"JHS JAMALAPUR",860,751,0,1611,452,462,0,914,520,0,59,26,296,465,25,8,0,0,1,0,3,2,6,11,1,11,914
97,"JHS JAMALAPUR",794,629,0,1423,371,296,0,667,171,0,11,11,96,505,18,5,1,1,3,1,0,1,0,5,2,7,667
98,P.S.JOGAPUR,579,482,0,1061,253,306,0,559,10,0,45,24,227,222,12,2,3,1,2,2,0,0,5,8,2,4,559
99,P.S.PATTI,336,305,0,641,223,202,0,425,375,0,1,2,1,415,4,0,0,0,0,0,0,0,0,0,1,1,425
100,"RAMJANKI I.C.JAMALAPUR",355,300,0,655,168,205,0,373,12,0,21,5,77,240,13,3,0,1,1,0,0,2,4,4,0,2,373
101,P.S.SIRAULI,543,464,0,1007,252,232,0,484,484,0,75,20,169,195,4,2,1,0,0,0,0,0,4,3,5,6,484
102,P.S.SIRAULI,591,530,0,1121,308,280,0,588,580,0,97,12,279,163,10,3,2,2,0,0,5,1,1,5,3,5,588
103,"JHS BHAGWANPUR",295,275,0,570,171,166,0,337,337,0,4,18,54,252,5,0,0,0,0,0,0,0,0,2,0,2,337
104,P.S.RAJAPUR,655,540,0,1195,314,308,0,622,22,0,254,5,63,251,23,3,1,0,3,1,1,4,1,6,3,3,622
105,P.S.KUMBHAPUR,681,597,0,1278,356,381,0,737,711,0,37,45,310,299,18,2,1,2,0,1,2,1,4,3,3,9,737
106,P.S.AURA,563,430,0,993,237,224,0,461,10,0,73,5,138,218,12,1,0,0,0,1,1,1,0,4,0,7,461
107,P.S.AURA,399,301,1,701,172,151,0,323,20,0,70,13,92,137,2,4,0,0,0,0,1,0,1,1,1,1,323
108,P.S.AURA,716,557,0,1273,292,231,0,523,503,0,130,20,199,162,3,1,1,0,0,0,0,0,0,1,2,4,523
109,"PANCHAYAT BHAWAN AURA",748,617,0,1365,345,331,0,676,676,0,43,11,263,314,9,3,1,1,1,2,2,2,5,9,5,5,676
110,"PANCHAYAT BHAWAN DUBAN",341,297,0,638,149,172,0,321,321,0,58,3,116,122,7,2,2,1,1,0,1,0,0,1,1,6,321
111,P.S.TIWARAN,264,234,0,498,160,144,0,304,226,0,37,8,84,168,1,1,0,1,0,0,0,0,1,2,1,0,304
112,P.S.GOPALAPUR,787,639,0,1426,427,391,0,818,10,0,28,21,269,455,15,4,3,0,0,1,1,4,10,2,0,5,818
113,S.U.M.V.GOPALAPUR,606,518,1,1125,366,306,0,672,672,0,49,21,313,263,4,4,1,2,0,1,1,1,1,5,4,2,672
114,P.S.RANAPUR,650,593,0,1243,420,398,0,818,10,0,56,42,129,542,23,0,2,1,0,3,1,2,7,4,2,4,818
115,"PANCHAYAT BHAWAN BHIKHPUR",554,436,0,990,249,249,0,498,18,0,80,26,252,92,11,8,1,0,0,2,1,1,4,7,6,7,498
116,"PANCHAYAT BHAWAN BHIKHPUR",480,390,0,870,288,175,0,463,463,0,126,24,271,14,5,17,0,1,2,0,0,0,0,1,0,2,463
117,K.P.S.AHIRAULI,566,532,0,1098,257,206,0,463,463,0,68,30,47,277,13,11,2,1,0,0,2,1,3,2,0,6,463
118,"JHS SARAI VIKRAM",317,251,0,568,148,126,0,274,16,0,52,4,129,83,0,2,0,1,0,0,0,0,0,1,2,0,274
119,"P.S.SARAI VIKRAM",774,651,0,1425,430,418,0,848,820,0,25,17,267,495,15,6,0,0,1,3,1,0,2,6,6,4,848
120,"P.S.SARAI VIKRAM",567,380,0,947,307,235,0,542,66,0,13,15,342,158,4,1,0,1,0,0,0,0,1,2,1,4,542
121,"P.S.SARAI VIKRAM",376,300,0,676,196,156,0,352,201,0,17,11,83,219,8,0,0,1,1,1,0,0,4,2,0,5,352
122,"JHS RAIPUR",568,481,0,1049,289,238,0,527,527,0,221,10,155,121,3,2,0,0,1,0,1,0,1,0,3,9,527
123,"JHS RAIPUR",337,316,0,653,164,162,0,326,41,0,126,5,74,114,3,1,0,0,0,0,0,1,0,1,0,1,326
124,"JHS GAHLAI",503,401,0,904,252,148,0,400,356,0,14,14,62,294,8,2,0,0,1,1,0,0,1,0,0,3,400
125,"JHS GAHLAI",473,422,1,896,214,224,0,438,370,0,55,7,247,109,3,6,0,0,1,1,0,3,3,0,2,1,438
126,P.S.TEJGARH,587,515,0,1102,246,251,0,497,10,0,45,18,69,326,14,3,0,1,2,1,1,1,7,7,2,0,497
127,P.S.SARAUNA,865,677,0,1542,428,369,0,797,562,0,95,12,412,254,4,6,0,0,0,2,0,0,2,7,0,3,797
128,"PANCHAYAT BHAWAN BANJARI",630,526,0,1156,289,291,0,580,580,0,53,7,252,200,26,0,4,0,1,3,6,4,4,7,6,7,580
129,P.S.JAGDISHPUR,706,652,0,1358,310,405,0,715,715,0,46,17,310,310,9,3,0,1,1,2,0,1,1,7,4,3,715
130,P.S.BARIGAON,568,445,0,1013,223,235,0,458,298,0,133,18,131,163,7,1,2,1,0,0,0,0,0,0,1,1,458
131,P.S.BARIGAON,459,373,0,832,191,185,0,376,200,0,31,6,63,250,8,2,2,2,0,0,0,1,2,7,1,1,376
132,P.S.NEWADA,920,754,0,1674,363,412,0,775,600,0,46,13,74,584,18,3,23,2,2,0,0,2,1,2,1,4,775
133,P.S.MAINPUR,432,406,0,838,207,203,0,410,410,0,94,18,33,221,18,5,0,0,1,1,4,0,1,6,4,4,410
134,P.S.MAINPUR,514,439,0,953,289,243,0,532,527,0,48,8,140,297,16,7,1,1,2,1,2,2,1,3,1,2,532
135,"A.P.S.MARIAHU (RANIPUR)",703,539,0,1242,427,320,0,747,396,0,226,13,113,352,8,6,1,4,1,0,0,0,2,6,2,13,747
136,P.S.RAMNAGAR,497,424,0,921,250,280,0,530,528,0,88,11,318,79,6,6,1,1,2,0,0,1,3,8,5,1,530
137,P.S.NARAINPUR,693,559,1,1253,460,367,0,827,10,0,233,13,275,258,18,12,0,1,1,0,1,0,3,4,4,4,827
138,P.S.SEUR,741,641,0,1382,356,384,0,740,733,0,41,24,252,366,19,5,3,2,3,1,2,1,5,6,3,7,740
139,P.S.SEUR,484,387,0,871,253,222,0,475,21,0,32,19,57,350,6,3,0,1,1,0,1,0,0,1,2,2,475
140,P.S.SEED,488,467,0,955,255,292,0,547,242,0,118,7,132,261,18,1,0,0,0,0,0,1,0,5,2,2,547
141,P.S.KASIYAON,815,670,0,1485,369,288,0,657,10,0,35,66,170,356,15,5,0,2,0,0,0,0,4,2,2,0,657
142,P.S.JAWANSIPUR,522,494,0,1016,213,252,0,465,10,0,79,17,26,323,13,0,1,0,0,1,0,0,2,0,3,0,465
143,P.S.JAWANSIPUR,611,479,0,1090,241,257,0,498,240,0,47,38,125,223,25,5,1,1,2,0,2,5,5,11,3,5,498
144,P.S.ADANPUR,404,382,0,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,P.S.BHARAHUPUR,423,339,0,762,237,208,0,445,280,0,160,13,71,186,4,0,1,0,0,0,1,2,2,1,0,4,445
146,"MODEL SCHOOL KATAGHARA",392,342,0,734,184,161,0,345,3,0,138,7,54,133,4,1,0,1,1,1,0,0,0,2,0,3,345
147,P.S.SHIVPUR,798,606,0,1404,374,355,0,729,457,0,168,34,58,414,23,7,1,1,1,1,1,2,1,6,1,10,729
148,P.S.SHIVPUR,316,270,0,586,167,143,0,310,150,0,145,11,9,133,8,1,0,0,1,0,0,0,0,1,0,1,310
149,P.S.JAUGIPUR,299,274,0,573,164,157,0,321,321,0,161,5,6,138,6,0,1,0,0,0,0,1,0,0,0,3,321
150,P.S.BUZURGA,709,613,0,1322,356,358,0,714,711,0,291,65,198,135,9,3,0,0,0,0,0,0,1,6,3,3,714
151,P.S.KANAWA,468,400,0,868,254,268,0,522,56,0,22,22,139,301,11,3,1,1,3,2,1,1,3,3,6,3,522
152,"P.S.BARAI KALA",858,676,0,1534,365,370,0,735,255,0,45,18,248,373,24,4,2,1,3,2,0,1,4,3,2,5,735
153,P.S.JAMALIYA,747,602,0,1349,477,382,0,859,10,0,63,9,207,542,14,7,1,1,4,0,0,1,0,5,0,5,859
154,P.S.TULSIPUR,166,151,0,317,104,94,0,198,5,0,92,2,3,90,5,0,0,1,0,0,0,0,0,0,1,4,198
155,P.S.CHHANGAPUR,686,569,0,1255,284,281,0,565,561,0,82,40,95,295,18,2,4,1,0,2,1,1,6,5,1,12,565
156,"INTER COLLEGE BIDHMAUWA",747,606,0,1353,327,303,0,630,10,0,123,4,129,321,19,7,0,1,3,2,4,0,1,8,3,5,630
157,"INTER COLLEGE BIDHMAUWA",260,216,0,476,145,109,0,254,175,0,93,13,37,102,2,2,0,0,0,2,1,0,1,0,1,0,254
158,P.S.RAMNAGAR,351,295,0,646,155,156,0,311,10,0,71,8,77,144,3,1,0,1,2,0,0,0,1,1,1,1,311
159,"P.S.KAZIPUR DARGAH",696,503,0,1199,302,255,0,557,536,0,118,11,277,112,5,12,0,0,2,2,3,1,4,4,3,3,557
160,P.S.PAREWA,755,619,0,1374,312,368,0,680,3,0,83,9,118,421,13,9,1,4,2,1,0,2,5,3,6,3,680
161,P.S.PAREWA,323,337,0,660,238,203,0,441,10,0,77,10,10,325,12,0,0,0,0,0,1,0,1,1,3,1,441
162,P.S.GOTA,640,545,0,1185,323,316,0,639,635,0,121,14,114,337,17,4,1,4,0,0,1,8,5,9,2,2,639
163,"SADHAN SAHKARI SAMITI GOPALAPUR",309,225,0,534,194,147,0,341,341,0,59,8,249,5,3,7,0,3,0,0,0,1,0,1,2,3,341
164,P.S.SAIDUPUR,481,384,0,865,229,238,0,467,390,0,17,3,28,382,18,2,0,1,0,0,3,0,7,1,2,3,467
165,P.S.DHARAMPUR,659,550,0,1209,320,352,0,672,672,0,45,9,133,430,18,5,0,0,1,1,2,3,7,13,1,4,672
166,P.S.BALIBHADDARPUR,372,328,0,700,177,197,0,374,10,0,2,4,31,318,16,0,1,0,0,0,0,0,2,0,0,0,374
167,P.S.BALIBHADDARPUR,464,409,0,873,224,218,0,442,10,0,55,27,81,248,9,3,0,0,1,0,0,1,2,7,3,5,442
168,"JHS HORAIYA",567,455,0,1022,299,243,0,542,10,0,83,9,51,365,17,4,0,0,1,2,2,1,0,2,0,5,542
169,P.S.KUTTUPUR,551,435,0,986,283,273,0,556,550,0,114,16,96,294,21,3,2,0,0,0,2,0,1,4,3,0,556
170,P.S.SALARPUR,681,595,0,1276,342,355,0,697,110,0,187,20,130,297,28,5,1,0,1,2,2,3,4,2,6,9,697
171,P.S.SALARPUR,361,310,0,671,182,210,0,392,240,0,19,4,321,36,2,0,0,0,0,0,0,1,3,2,2,2,392
172,P.S.BHUSEHARA,602,502,0,1104,322,350,0,672,270,0,74,5,112,400,18,8,0,3,2,2,11,3,3,16,3,12,672
173,P.S.NAYAKPUR,227,208,0,435,131,125,0,256,256,0,93,1,67,73,5,0,1,0,0,0,1,3,0,3,1,8,256
174,P.S.GAHRAUL,254,206,0,460,170,138,0,308,15,0,10,3,191,93,4,1,0,0,1,1,0,0,1,2,1,0,308
175,"JHS JEETAPUR SOUTH SIDE",596,504,0,1100,309,303,0,612,612,0,81,5,110,369,25,4,0,0,0,0,1,0,4,6,0,7,612
176,"JHS RASWADIYA",292,246,0,538,124,156,0,280,268,0,33,3,92,141,6,1,0,0,0,0,0,0,1,2,0,1,280
177,P.S.SAIDIPUR,384,367,0,751,161,169,0,330,330,0,86,10,105,116,8,0,0,0,0,0,1,0,0,1,1,2,330
178,P.S.GANDHAUNA,689,652,0,1341,276,314,0,590,440,0,37,14,254,236,19,1,2,1,1,1,1,2,3,5,5,8,590
179,P.S.GANDHAUNA,681,575,0,1256,302,334,0,636,636,0,66,15,252,257,15,8,1,2,1,2,2,0,4,8,0,3,636
180,P.S.GANDHAUNA,563,468,0,1031,253,274,0,527,495,0,67,6,154,250,19,6,3,0,0,3,0,1,3,4,3,8,527
181,P.S.GANDHAUNA,543,459,0,1002,227,207,0,434,434,0,219,10,82,105,2,2,0,0,0,0,1,1,2,2,2,6,434
182,P.S.BANIDEEH,739,560,0,1299,397,327,0,724,702,0,129,10,364,205,3,3,1,0,0,1,0,1,0,2,2,3,724
