"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - MUKUL","2 - RAJ BABBAR","3 - VIJAY KUMAR SINGH","4 - SUDHAN KUMAR","5 - NARESH GAUTAM","6 - SHAZIA ILMI MALIK","7 - SURESH PAL","8 - KESHAV CHOUDHARY","9 - NITIN","10 - RAMPHAL SHAKYA","11 - RINKU KUMAR TYAGI","12 - VINOD KUMAR TYAGI","13 - SALEEM MALIK","14 - SABIR","15 - SANJEEV KUMAR","16 - None of the Above","Total Votes Secured"
23,"GOD DHARAMSHALA DUNDA",835,544,0,1379,388,229,0,617,609,0,108,33,416,17,1,31,1,0,0,0,0,1,1,0,4,4,617
24,"JUNIOR HAIGH SCHOOL DUNDAHERA",632,417,0,1049,271,167,0,438,220,0,72,22,306,12,1,14,0,1,0,0,0,0,1,2,3,4,438
25,"JUNIOR HAIGH SCHOOL DUNDAHERA",826,557,0,1383,310,188,0,498,484,0,100,16,325,29,1,15,0,0,0,2,0,1,1,2,5,1,498
26,"G D ADRASH MODAL SCHOOL DUNDAHERA",1572,1130,0,2702,656,492,0,1148,1081,0,278,54,717,35,3,43,3,0,0,2,3,1,1,1,6,1,1148
27,"G D ADRASH MODAL SCHOOL DUNDAHERA",1244,867,0,2111,555,329,0,884,854,0,156,25,621,26,0,28,8,0,0,4,0,3,0,3,5,5,884
28,"G D ADRASH MODAL SCHOOL DUNDAHERA",858,603,0,1461,356,235,0,591,581,0,141,24,318,16,0,28,46,1,1,0,1,1,0,3,3,8,591
29,"G D ADRASH MODAL SCHOOL DUNDAHERA",1062,744,0,1806,522,336,0,858,828,0,106,43,613,30,3,34,20,0,0,2,0,0,0,1,0,6,858
30,"PRIMERY SCHOOL BIHARI PURA DUNDAHERA",890,671,0,1561,376,234,0,610,533,0,84,24,365,26,1,20,68,0,3,6,1,1,1,1,5,4,610
31,"PRIMERY SCHOOL BIHARI PURA DUNDAHERA",1120,848,0,1968,565,395,0,960,915,0,83,28,568,39,1,29,203,1,2,2,1,0,0,0,2,1,960
32,"JUNIOR HAIGH SCHOOL BIHARIPURA DUNDAHERA",835,609,0,1444,374,279,0,653,621,0,141,24,382,19,0,35,43,0,0,0,0,1,0,4,2,2,653
33,"JUNIOR HAIGH SCHOOL BIHARIPURA DUNDAHERA",765,530,0,1295,337,221,0,558,558,0,111,20,309,27,0,31,47,0,0,0,0,3,0,1,2,7,558
34,"A P N PRIMERY SCHOOL SAIN VIHAR",1040,722,0,1762,395,264,0,659,625,0,217,123,165,101,2,34,3,0,1,0,1,1,3,0,4,4,659
35,"A P N PRIMERY SCHOOL SAIN VIHAR",692,510,0,1202,280,186,0,466,454,0,144,69,146,47,2,49,2,0,0,0,0,1,1,1,4,0,466
36,"A P N PRIMERY SCHOOL SAIN VIHAR",576,487,0,1063,321,228,0,549,489,0,322,44,125,33,1,11,1,0,0,1,0,0,0,0,2,9,549
37,"A P N PRIMERY SCHOOL SAIN VIHAR",373,258,0,631,166,97,0,263,241,0,93,29,101,20,6,9,1,0,0,0,0,0,1,0,1,2,263
38,"A P N PRIMERY SCHOOL SAIN VIHAR",331,249,0,580,141,91,0,232,232,0,50,18,137,9,0,15,0,0,0,0,0,1,0,0,0,2,232
39,"LELAWATI PRIMERY SCHOOL PRATAP VIHAR",408,300,0,708,160,113,0,273,232,0,14,24,214,2,0,17,0,0,0,0,0,0,0,0,0,2,273
40,"LELAWATI PRIMERY SCHOOL PRATAP VIHAR",641,519,0,1160,459,338,0,797,792,0,90,24,578,28,0,73,1,0,0,0,0,0,0,0,2,1,797
41,"LELAWATI PRIMERY SCHOOL PRATAP VIHAR",611,503,0,1114,392,274,0,666,363,0,225,75,309,6,1,37,2,0,1,1,1,0,0,3,2,3,666
42,"LELAWATI PRIMERY SCHOOL PRATAP VIHAR",333,261,0,594,198,155,0,353,353,0,54,67,191,11,0,21,0,0,0,1,1,1,1,0,3,2,353
43,"LELAWATI PRIMERY SCHOOL PRATAP VIHAR",1502,1227,0,2729,804,621,0,1425,1284,0,131,185,990,22,1,84,0,0,0,1,0,0,1,2,4,4,1425
44,"LELAWATI PRIMERY SCHOOL PRATAP VIHAR",476,383,0,859,289,202,0,491,442,0,56,73,324,14,0,21,0,0,0,0,1,1,0,0,1,0,491
45,"LELAWATI PRIMERY SCHOOL PRATAP VIHAR",619,457,0,1076,245,156,0,401,382,0,24,45,284,18,0,29,0,0,0,0,0,0,0,0,0,1,401
46,"R B  PRIMERY SCHOOL SAMRAT CHOWK",705,584,0,1289,445,348,0,793,94,0,69,59,613,14,0,26,0,1,1,1,0,0,0,5,2,2,793
47,"R B  PRIMERY SCHOOL SAMRAT CHOWK",444,359,0,803,326,280,0,606,563,0,65,106,368,26,0,24,2,0,1,0,1,0,4,4,5,0,606
48,"R B  PRIMERY SCHOOL SAMRAT CHOWK",785,606,0,1391,460,353,0,813,353,0,151,250,289,72,0,31,3,2,0,2,2,1,1,1,4,4,813
49,"CHILDREN AKDME K BLOCK VIJAYNAGAR",861,701,0,1562,438,322,0,760,659,0,60,121,500,27,0,47,1,0,0,0,1,1,0,2,0,0,760
50,"CHILDREN AKDME K BLOCK VIJAYNAGAR",845,709,0,1554,471,376,0,847,783,0,43,142,576,20,1,61,0,0,1,1,0,0,1,0,0,1,847
51,"CHILDREN AKDME K BLOCK VIJAYNAGAR",599,473,1,1073,358,273,0,631,558,0,54,37,473,18,1,43,0,0,0,0,0,1,0,0,2,2,631
52,"CHILDREN AKDME K BLOCK VIJAYNAGAR",739,606,0,1345,418,330,0,748,710,0,87,60,527,13,0,49,1,0,0,2,1,1,0,2,0,5,748
53,"CHILDREN AKDME K BLOCK VIJAYNAGAR",320,281,0,601,206,183,0,389,389,0,19,36,296,4,0,33,0,0,1,0,0,0,0,0,0,0,389
54,"CHILDREN AKDME K BLOCK VIJAYNAGAR",672,542,0,1214,312,244,0,556,530,0,283,19,223,11,0,15,0,0,0,0,0,0,1,3,0,1,556
55,"CHILDREN AKDME K BLOCK VIJAYNAGAR",407,328,0,735,169,148,0,317,308,0,55,30,193,4,0,23,0,0,0,1,1,2,0,2,0,6,317
56,"DAYAL PRIMERY SCHOOL VIJAYNAGAR",492,415,0,907,346,260,0,606,488,0,48,106,379,11,0,51,0,0,1,0,0,2,2,1,2,3,606
57,"DAYAL PRIMERY SCHOOL VIJAYNAGAR",625,455,0,1080,240,151,0,391,368,0,44,272,18,28,0,16,2,0,1,0,1,1,0,2,2,4,391
58,"DAYAL PRIMERY SCHOOL VIJAYNAGAR",803,553,0,1356,349,192,0,541,525,0,20,394,14,72,0,37,0,0,0,1,0,0,0,1,1,1,541
59,"DAYAL PRIMERY SCHOOL VIJAYNAGAR",372,291,0,663,224,171,0,395,383,0,245,50,80,5,1,3,0,2,0,1,0,1,0,1,1,5,395
60,"DAYAL PRIMERY SCHOOL VIJAYNAGAR",379,298,0,677,198,146,0,344,327,0,199,49,78,6,0,8,1,0,0,0,0,1,1,0,0,1,344
61,"INDRAPURAM PRIMERY SCHOOL PRATAP VIHAR",585,425,1,1011,284,188,0,472,188,0,140,29,263,13,0,19,1,1,1,0,0,0,1,1,2,1,472
62,"INDRAPURAM PRIMERY SCHOOL PRATAP VIHAR",758,614,0,1372,414,313,0,727,657,0,137,32,505,16,0,29,0,0,0,0,0,3,0,2,2,1,727
63,"INDRAPURAM PRIMERY SCHOOL PRATAP VIHAR",503,373,0,876,348,213,0,561,501,0,92,51,367,7,1,37,0,0,1,2,0,0,0,0,2,1,561
64,"INDRAPURAM PRIMERY SCHOOL PRATAP VIHAR",842,669,0,1511,470,364,0,834,487,0,270,201,286,33,3,21,0,0,1,2,0,0,1,5,5,6,834
65,"INDRAPURAM PRIMERY SCHOOL PRATAP VIHAR",392,354,0,746,250,210,0,460,438,0,192,128,107,15,1,8,1,0,0,0,1,0,3,0,2,2,460
66,"INDRAPURAM PRIMERY SCHOOL PRATAP VIHAR",767,665,0,1432,447,334,0,781,768,0,344,56,342,12,0,17,0,0,1,0,1,0,0,1,5,2,781
67,"INDRAPURAM PRIMERY SCHOOL PRATAP VIHAR",702,542,0,1244,416,332,0,748,658,0,291,39,376,7,0,14,0,0,0,1,0,0,2,3,7,8,748
68,"GOLDAN PRIMERY SCHOOL HAIGH S0 SCHOOL PRATAP VIHAR",726,637,0,1363,448,373,0,821,802,0,39,55,624,16,1,80,0,0,0,0,0,0,0,0,0,6,821
69,"GOLDAN PRIMERY SCHOOL HAIGH S0 SCHOOL PRATAP VIHAR",192,160,0,352,120,100,0,220,220,0,7,24,163,11,0,12,0,0,0,0,1,0,0,0,0,2,220
70,"GOLDAN PRIMERY SCHOOL HAIGH S0 SCHOOL PRATAP VIHAR",487,416,0,903,294,232,0,526,526,0,25,118,337,8,0,29,0,0,1,1,0,0,1,1,0,5,526
71,"GOLDAN PRIMERY SCHOOL HAIGH S0 SCHOOL PRATAP VIHAR",879,739,0,1618,476,350,0,826,790,0,157,42,538,18,0,62,0,0,0,0,0,0,0,0,1,8,826
72,"PRIMERY SCHOOL KASHIRAM AVASHY YOJNA",776,854,0,1630,463,465,0,928,678,0,600,70,177,18,0,11,1,3,2,0,3,3,1,11,5,23,928
73,"PRIMERY SCHOOL KASHIRAM AVASHY YOJNA",682,771,0,1453,374,425,0,799,20,0,535,80,134,7,1,30,2,2,1,1,1,0,1,1,0,3,799
74,"GOLDAN PRIMERY SCHOOL HAIGH S0 SCHOOL PRATAP VIHAR",670,608,0,1278,394,321,0,715,615,0,83,40,501,21,0,65,0,0,0,1,0,0,0,0,0,4,715
75,"GOLDAN PRIMERY SCHOOL HAIGH S0 SCHOOL PRATAP VIHAR",331,271,0,602,191,158,0,349,182,0,58,30,213,6,0,38,0,0,0,1,0,0,0,0,0,3,349
76,"GOLDAN PRIMERY SCHOOL HAIGH S0 SCHOOL PRATAP VIHAR",246,229,0,475,175,148,0,323,291,0,28,8,251,8,0,25,1,0,0,0,0,0,0,0,0,2,323
77,"CITY PRIMERY SCHOOL MIRZAPUR VIJAY NAGAR",611,497,0,1108,419,289,0,708,697,0,11,372,191,89,2,21,1,0,1,1,1,1,2,5,6,4,708
78,"CITY PRIMERY SCHOOL MIRZAPUR VIJAY NAGAR",532,417,0,949,335,262,0,597,360,0,14,319,162,76,0,19,1,0,1,0,1,0,1,2,1,0,597
79,"CITY PRIMERY SCHOOL MIRZAPUR VIJAY NAGAR",632,505,0,1137,376,266,0,642,530,0,28,424,63,96,1,20,2,0,1,1,1,2,0,0,2,1,642
80,"CITY PRIMERY SCHOOL MIRZAPUR VIJAY NAGAR",708,524,0,1232,454,273,0,727,703,0,39,499,41,113,4,26,0,0,0,2,0,1,0,0,0,2,727
81,"PRIMERY SCHOOL MIRZAPUR VIJAYNAGAR",851,695,0,1546,446,342,0,788,775,0,597,23,138,11,0,12,1,0,0,1,1,0,0,0,1,3,788
82,"PRIMERY SCHOOL MIRZAPUR VIJAYNAGAR",826,764,0,1590,387,364,0,751,745,0,292,37,360,26,4,18,1,1,1,0,1,0,1,3,0,6,751
83,"PRIMERY SCHOOL MIRZAPUR VIJAYNAGAR",1150,886,0,2036,565,455,0,1020,961,0,140,77,684,55,1,32,1,5,3,3,2,2,2,2,8,3,1020
84,"PRIMERY SCHOOL MIRZAPUR VIJAYNAGAR",644,502,0,1146,366,226,0,592,401,0,250,29,288,6,4,8,0,0,1,1,0,0,0,0,1,4,592
85,"HAPPY CHILD PRIMERY SCHOOL PRATAP VIHAR",539,454,1,994,267,214,0,481,398,0,35,58,254,97,0,31,1,0,0,2,1,0,0,1,0,1,481
86,"HAPPY CHILD PRIMERY SCHOOL PRATAP VIHAR",480,371,0,851,275,215,0,490,437,0,49,57,280,77,0,14,0,0,0,0,1,1,0,4,3,4,490
87,"HAPPY CHILD PRIMERY SCHOOL PRATAP VIHAR",407,317,0,724,299,213,0,512,481,0,30,60,318,74,0,24,2,0,0,0,0,0,2,1,1,0,512
88,"HAPPY CHILD PRIMERY SCHOOL PRATAP VIHAR",263,219,0,482,184,152,0,336,334,0,48,49,213,5,0,21,0,0,0,0,0,0,0,0,0,0,336
89,"HAPPY CHILD PRIMERY SCHOOL PRATAP VIHAR",695,686,0,1381,437,352,0,789,739,0,123,80,511,8,1,60,0,1,0,0,0,0,0,0,1,4,789
90,"HAPPY CHILD PRIMERY SCHOOL PRATAP VIHAR",321,267,0,588,167,134,0,301,265,0,30,28,211,4,0,22,2,0,0,0,2,1,0,0,0,1,301
91,"HAPPY CHILD PRIMERY SCHOOL PRATAP VIHAR",483,403,0,886,260,195,0,455,425,0,46,52,322,2,0,30,2,0,0,0,0,0,0,0,0,1,455
92,"D A V SCHOOL PRATAP VIHAR",596,448,0,1044,321,245,0,566,566,0,249,153,120,17,2,18,0,0,0,0,0,1,0,0,3,3,566
93,"D A V SCHOOL PRATAP VIHAR",806,579,0,1385,394,326,0,720,650,0,394,91,152,33,6,40,0,0,0,0,0,0,0,1,0,3,720
94,"D A V SCHOOL PRATAP VIHAR",839,591,0,1430,449,295,0,744,545,0,244,56,364,50,1,26,0,0,0,0,1,0,0,0,1,1,744
95,"D A V SCHOOL PRATAP VIHAR",648,509,0,1157,295,416,0,711,656,0,236,17,381,13,1,59,0,0,0,1,0,0,1,0,1,1,711
96,"D A V SCHOOL PRATAP VIHAR",808,622,0,1430,427,375,0,802,751,0,207,28,525,3,1,27,0,0,0,1,1,0,0,4,3,2,802
97,"D A V SCHOOL PRATAP VIHAR",870,675,0,1545,493,368,0,861,812,0,222,48,538,12,0,29,0,1,0,3,1,1,0,1,2,3,861
98,"S S K PRIMERY SCHOOL PRATAP VIHAR",533,388,0,921,294,196,0,490,470,0,39,33,358,12,0,39,0,0,1,0,0,0,1,2,4,1,490
99,"S S K PRIMERY SCHOOL PRATAP VIHAR",814,673,0,1487,456,366,0,822,786,0,21,64,664,5,0,61,0,1,0,0,0,0,1,1,2,2,822
100,"S S K PRIMERY SCHOOL PRATAP VIHAR",490,357,0,847,278,214,0,492,447,0,19,36,398,7,0,24,0,0,0,1,0,1,0,1,1,4,492
101,"S S K PRIMERY SCHOOL PRATAP VIHAR",674,588,0,1262,460,379,0,839,795,0,57,80,616,26,1,50,0,0,2,1,0,0,0,1,1,4,839
102,"S S K PRIMERY SCHOOL PRATAP VIHAR",585,490,1,1076,365,300,0,665,386,0,19,60,516,11,0,54,0,0,0,0,1,0,0,0,1,3,665
103,"S S K PRIMERY SCHOOL PRATAP VIHAR",554,462,0,1016,306,238,0,544,486,0,34,52,407,16,0,27,1,0,3,0,0,0,1,1,2,0,544
104,"S S K PRIMERY SCHOOL PRATAP VIHAR",476,395,0,871,308,258,0,566,550,0,12,33,453,9,2,47,0,0,1,1,0,1,1,1,1,4,566
105,"S S K PRIMERY SCHOOL PRATAP VIHAR",509,389,0,898,315,256,0,571,557,0,14,25,455,17,0,54,1,0,0,1,0,0,0,1,1,2,571
106,"BOOLAM PRIMERY SCHOOL SEC 11 VIJAYNAGAR",465,347,0,812,217,168,0,385,353,0,13,47,292,8,1,21,1,0,0,0,0,1,0,0,0,1,385
107,"BOOLAM PRIMERY SCHOOL SEC 11 VIJAYNAGAR",461,356,0,817,238,179,0,417,394,0,12,33,319,9,1,39,0,0,0,0,0,0,1,0,0,3,417
108,"BOOLAM PRIMERY SCHOOL SEC 11 VIJAYNAGAR",499,422,0,921,255,208,0,463,453,0,7,26,358,19,0,49,0,0,0,1,0,0,0,1,2,0,463
109,"BOOLAM PRIMERY SCHOOL SEC 11 VIJAYNAGAR",450,375,0,825,235,187,0,422,402,0,8,21,349,6,1,28,0,0,1,1,0,0,0,3,2,2,422
110,"BOOLAM PRIMERY SCHOOL SEC 11 VIJAYNAGAR",515,396,0,911,229,181,0,410,374,0,0,26,329,9,0,43,0,0,0,0,1,0,0,0,1,1,410
111,"BOOLAM PRIMERY SCHOOL SEC 11 VIJAYNAGAR",737,558,0,1295,322,304,0,626,626,0,30,48,476,25,0,41,0,0,0,1,0,0,0,0,1,4,626
112,"BOOLAM PRIMERY SCHOOL SEC 11 VIJAYNAGAR",562,511,0,1073,270,234,0,504,400,0,19,41,400,6,0,36,0,1,0,0,0,0,0,0,0,1,504
113,"BOOLAM PRIMERY SCHOOL SEC 11 VIJAYNAGAR",511,442,0,953,367,283,0,650,512,0,17,43,507,9,0,69,0,0,0,0,0,1,0,0,1,3,650
114,"SARSWATI SHIKSHA NIKETANHAIGH SCHOOL",850,704,0,1554,593,462,0,1055,1055,0,623,47,330,20,3,22,1,0,0,0,2,0,0,1,2,4,1055
115,"SARSWATI SHIKSHA NIKETANHAIGH SCHOOL",646,504,0,1150,401,299,0,700,566,0,401,18,241,15,0,19,1,0,0,0,1,0,1,1,0,2,700
116,"SARSWATI SHIKSHA NIKETANHAIGH SCHOOL",754,567,0,1321,386,289,0,675,448,0,171,22,408,11,2,44,0,0,0,0,1,0,2,1,7,6,675
117,"SARSWATI SHIKSHA NIKETANHAIGH SCHOOL",976,698,0,1674,533,367,0,900,900,0,192,37,581,21,3,45,4,0,0,0,2,0,1,3,7,4,900
118,"L.R.PUBLIC SCHOOL BHIMNAGAR",675,492,0,1167,325,209,0,534,522,0,297,34,176,6,0,15,1,0,0,0,0,1,0,1,0,3,534
119,"L.R.PUBLIC SCHOOL BHIMNAGAR",829,613,0,1442,319,223,0,542,532,0,399,11,96,11,0,17,0,1,0,1,1,0,0,1,2,2,542
120,"L.R.PUBLIC SCHOOL BHIMNAGAR",692,516,0,1208,318,243,0,561,527,0,345,21,149,14,2,17,1,0,0,2,2,0,1,2,1,4,561
121,"L.R.PUBLIC SCHOOL BHIMNAGAR",733,556,0,1289,345,248,0,593,574,0,350,18,184,13,3,18,1,1,0,0,0,0,1,1,3,0,593
122,"RAGHUNATH SINGH H.SECENDRI SCHOOL",827,539,0,1366,281,176,0,457,300,0,198,39,180,17,0,17,0,0,0,0,1,0,0,0,1,4,457
123,"RAGHUNATH SINGH H.SECENDRI SCHOOL",962,685,1,1648,417,228,0,645,564,0,322,42,229,15,0,29,0,2,1,0,2,0,0,0,2,1,645
124,"RAGHUNATH SINGH H.SECENDRI SCHOOL",783,558,0,1341,278,170,0,448,436,0,196,20,196,16,4,8,0,1,0,1,0,0,1,0,4,1,448
125,"RAGHUNATH SINGH H.SECENDRI SCHOOL",788,579,0,1367,303,157,0,460,387,0,204,11,209,7,0,23,0,0,0,0,0,0,1,1,2,2,460
126,"RAGHUNATH SINGH H.SECENDRI SCHOOL",438,337,0,775,260,191,0,451,440,0,189,15,214,12,0,18,0,0,0,0,0,0,2,0,1,0,451
127,"SENTPAL HIGH SCHOOL KRISHANAGAR BAGU",842,631,0,1473,434,284,0,718,652,0,322,31,298,13,1,43,0,0,1,0,1,0,0,2,3,3,718
128,"SENTPAL HIGH SCHOOL KRISHANAGAR BAGU",561,459,0,1020,280,194,0,474,434,0,230,27,160,20,0,28,1,0,0,1,0,0,0,3,2,2,474
129,"BLOOM PUBLIC HIGH SCHOOL SIDDHARTH BIHRA BAGU",806,568,0,1374,424,266,0,690,686,0,439,20,187,6,0,23,0,1,0,0,2,2,1,1,3,5,690
130,"BLOOM PUBLIC HIGH SCHOOL SIDDHARTH BIHRA BAGU",702,531,0,1233,364,239,0,603,588,0,322,24,214,4,2,24,1,0,0,3,0,0,1,3,1,4,603
131,"BLOOM PUBLIC HIGH SCHOOL SIDDHARTH BIHRA BAGU",941,679,0,1620,463,293,0,756,756,0,392,31,279,9,3,30,1,1,1,3,1,0,0,0,3,2,756
132,"SENTPAL HIGH SCHOOL KIRSHANNAGAR BAGU",541,427,0,968,325,247,0,572,247,0,188,46,284,30,1,20,0,1,0,1,0,0,0,0,0,1,572
133,"SENTPAL HIGH SCHOOL KIRSHANNAGAR BAGU",484,393,0,877,288,200,0,488,484,0,260,21,174,13,1,16,0,0,0,1,0,0,0,0,0,2,488
134,"KANOSA CONVENT SCHOOL SEC0 9 VIJAYNAGAR",731,591,0,1322,433,320,0,753,751,0,279,35,347,39,0,36,1,0,1,0,0,2,2,2,5,4,753
135,"KANOSA CONVENT SCHOOL SEC0 9 VIJAYNAGAR",624,580,0,1204,401,326,0,727,727,0,270,28,322,65,0,29,3,0,0,1,0,1,1,4,1,2,727
136,"KANOSA CONVENT SCHOOL SEC0 9 VIJAYNAGAR",642,539,0,1181,426,338,0,764,450,0,215,44,449,21,0,30,0,0,0,0,0,0,0,0,3,2,764
137,"KANOSA CONVENT SCHOOL SEC0 9 VIJAYNAGAR",538,444,0,982,305,231,0,536,521,0,13,44,427,8,1,36,0,1,0,0,1,0,0,0,1,4,536
138,"RAJKIYA KANYA M.VI.SEC 09 VIJAYNAGAR",625,534,0,1159,397,293,0,690,634,0,110,70,458,6,0,38,1,0,0,0,0,0,2,1,0,4,690
139,"RAJKIYA KANYA M.VI.SEC 09 VIJAYNAGAR",517,486,0,1003,305,234,0,539,519,0,77,52,337,13,0,56,0,0,0,0,0,0,0,0,1,3,539
140,"RAJKIYA KANYA M.VI.SEC 09 VIJAYNAGAR",426,378,0,804,279,215,0,494,490,0,69,38,323,15,0,46,0,0,0,0,2,0,0,0,0,1,494
141,"RAJKIYA KANYA M.VI.SEC 09 VIJAYNAGAR",418,395,0,813,289,247,0,536,510,0,38,54,384,5,0,46,0,0,1,0,0,0,0,1,0,7,536
142,"RAJKIYA KANYA M.VI.SEC 09 VIJAYNAGAR",489,455,0,944,331,300,0,631,631,0,34,64,452,13,2,57,2,1,0,0,0,0,0,1,0,5,631
143,"RAJKIYA KANYA M.VI.SEC 09 VIJAYNAGAR",689,531,0,1220,360,296,0,656,656,0,109,54,423,14,1,51,1,2,1,0,0,0,0,0,0,0,656
144,"RAJKIYA KANYA M.VI.SEC 09 VIJAYNAGAR",507,397,0,904,260,206,0,466,440,0,43,50,317,6,0,45,0,0,0,0,1,1,0,1,0,2,466
145,"J.K.G.PUBLIC SCHOOL VIJAYNAGAR",743,629,0,1372,480,451,0,931,924,0,130,75,631,25,4,36,5,0,1,1,0,2,2,4,3,12,931
146,"J.K.G.PUBLIC SCHOOL VIJAYNAGAR",641,544,0,1185,359,290,0,649,629,0,81,38,498,5,0,17,2,0,0,0,0,0,0,1,4,3,649
147,"J.K.G.PUBLIC SCHOOL VIJAYNAGAR",613,487,0,1100,415,310,0,725,415,0,100,43,511,16,0,44,2,0,1,0,0,0,0,2,2,4,725
148,"J.K.G.PUBLIC SCHOOL VIJAYNAGAR",407,327,0,734,292,240,0,532,525,0,102,31,367,7,0,22,2,0,0,0,0,0,0,0,1,0,532
149,"J.K.G.PUBLIC SCHOOL VIJAYNAGAR",575,487,0,1062,393,269,0,662,519,0,32,64,529,8,0,17,4,0,0,0,1,0,0,1,4,2,662
150,"J.K.G.PUBLIC SCHOOL VIJAYNAGAR",840,633,0,1473,484,353,0,837,809,0,42,49,636,52,3,48,1,0,0,0,1,0,0,2,1,2,837
151,"J.K.G.PUBLIC SCHOOL VIJAYNAGAR",620,499,0,1119,354,259,0,613,586,0,317,33,219,8,0,18,0,0,0,0,2,1,1,4,4,6,613
