"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AJIT SINGH","2 - GHULAM MOHAMMED","3 - PRASHANT CHAUDHRI","4 - DR. SATYA PAL SINGH","5 - ANIL KUMAR","6 - KRISHAN PAL","7 - YUNUSH","8 - SOMENDAR DHAKA","9 - AJAY PAL","10 - ARVIND","11 - JAIVINDRA KUMAR","12 - NISHANT","13 - RUKSANA","14 - SUBHASH CHAND KASHYAP","15 - None of the Above","Total Votes Secured"
14,"SHRI GANDI INTER COLLEGE R. NO. 1",586,439,0,1025,513,348,0,861,861,0,716,28,1,104,0,0,0,0,0,1,2,1,1,1,6,861
15,"SHRI GANDI INTER COLLEGE R. NO. 2",633,461,0,1094,537,341,0,878,878,0,710,15,5,139,1,2,0,0,1,0,1,0,0,1,3,878
16,"PRATHMIK VIDHALYA NO.2 CHUR UTTARI KAKSH",583,421,0,1004,502,314,0,816,816,0,692,30,0,90,2,0,0,1,0,0,1,0,0,0,0,816
17,"PRATHMIK VIDHALYA NO.2 CHUR DAKSHNI KAKSH",601,446,0,1047,492,338,0,830,820,0,619,32,8,150,3,1,0,0,1,6,5,0,1,0,4,830
18,"PRATHMIK VIDHALYA NO. 1 CHUR",438,331,0,769,386,216,0,602,593,0,336,21,106,127,2,0,0,1,1,1,0,1,1,1,4,602
19,"PRATHMIK VIDHALYA NO. 3 CHUR",616,472,0,1088,586,344,0,930,922,0,724,6,5,186,0,0,0,0,0,1,3,1,3,1,0,930
20,"PRATHMIK VIDHALYA MULAHERA R. NO. 1",717,592,0,1309,465,429,0,894,894,0,103,219,85,469,4,0,0,1,0,1,3,3,0,1,5,894
21,"PRATHMIK VIDHALYA MULAHERA R. NO. 2",669,533,0,1202,509,363,0,872,867,0,23,29,3,807,0,0,0,0,0,0,7,2,0,0,1,872
22,"SANT KESHAV DAS INTER COLLEGE MULAHERA R. NO.1",666,517,0,1183,446,350,0,796,796,0,50,243,8,483,2,0,0,0,1,0,1,1,3,0,4,796
23,"SANT KESHAV DAS INTER COLLEGE MULAHERA R. NO.2",620,475,0,1095,418,316,0,734,731,0,8,176,4,528,0,1,0,0,1,0,6,5,2,1,2,734
24,"PRATHMIK VIDHALYA BAPARSI R. NO. 1",631,482,0,1113,496,370,0,866,866,0,86,131,32,593,4,0,0,1,0,0,4,2,2,3,8,866
25,"PRATHMIK VIDHALYA BAPARSI R. NO. 2",560,459,0,1019,471,414,0,885,879,0,11,26,2,833,2,0,1,1,0,2,2,3,0,0,2,885
26,"PRATHMIK VIDHHALYA PANCHLI BUJURG R. NO.1",893,655,0,1548,722,488,0,1210,1208,0,18,1106,25,37,0,0,0,1,0,1,2,2,3,9,6,1210
27,"PRATHMIK VIDHALYA PANCHLI BUJURG R. NO.2",734,536,0,1270,522,383,0,905,905,0,6,551,20,303,2,0,0,1,0,2,2,5,3,6,4,905
28,"UCCH PRATHMIK VIDHALYA PANCHLI BUJURG R. NO.1",848,554,0,1402,606,428,0,1034,1034,0,18,735,16,228,4,1,0,0,0,1,3,3,5,10,10,1034
29,"UCCH PRATHMIK VIDHALYA PANCHLI BUJURG R. NO.2",658,478,0,1136,408,319,0,727,727,0,6,81,71,556,1,0,1,1,1,0,4,2,1,1,1,727
30,"PRATHMIK VIDHALYA NO. 1 GOTKA R. NO. 1",607,454,0,1061,473,317,0,790,744,0,7,29,3,738,2,0,0,0,0,1,7,2,0,0,1,790
31,"PRATHMIK VIDHALYA NO.1 GOTKA R. NO. 2",531,421,0,952,398,298,0,696,696,0,18,5,3,662,2,0,0,1,0,0,2,3,0,0,0,696
32,"SHIV KUMAR SHARMA HUNIOR HIGH SCHOOL  GOTKA",492,350,0,842,345,250,0,595,593,0,53,24,75,419,3,1,0,2,1,0,11,3,0,1,2,595
33,"PRATHMIK VIDHALYA RITHALI",244,201,0,445,175,150,0,325,325,0,57,6,62,198,1,0,0,0,0,0,0,1,0,0,0,325
34,"PTATHMIK VIDHALYA JASAD SULTANNAGAR R. NO. 1",797,600,0,1397,613,438,0,1051,735,0,23,865,40,112,0,0,0,0,0,1,1,1,2,1,5,1051
35,"PRATHMIK VIDHALYA JASAT SULTANNAGAR R. NO. 2",654,530,0,1184,530,405,0,935,935,0,37,109,117,644,7,3,0,1,0,1,4,4,3,0,5,935
36,"PRATHMIK VIDHALYA JASAT SULTANNAGAR R. NO. 3",839,628,0,1467,587,511,0,1098,13,0,43,796,14,221,0,1,0,0,0,0,2,4,0,12,5,1098
37,"PRATHMIK VIDHALYA DEVLI KHEDA URF JAINPUR",493,367,0,860,321,251,0,572,572,0,50,366,88,46,10,1,0,1,0,0,0,1,0,4,5,572
38,"PRATHMIK VIDHALYA DAHAR R. NO. 1",673,477,0,1150,458,343,0,801,799,0,24,171,282,316,3,0,0,0,0,0,0,3,1,1,0,801
39,"PRATHMIK VIDHALYA DAHAR R. NO. 2",704,518,0,1222,442,360,0,802,802,0,69,119,116,475,2,0,0,4,0,0,1,2,2,8,4,802
40,"PRATHMIK VIDHALYA NO. 2 DAHAR",352,280,0,632,219,176,0,395,393,0,66,83,19,221,0,0,0,0,0,0,1,0,1,1,3,395
41,"UCCH PRATHMIK VIDHALYA BHOONI R. NO. 1",673,558,1,1232,416,399,0,815,789,0,15,101,200,478,2,4,0,0,0,0,4,4,6,0,1,815
42,"UCCH PRATHMIK VIDHALYA BHOONI R. NO. 2",602,515,0,1117,373,328,0,701,610,0,17,59,179,438,0,0,0,3,0,0,3,1,0,0,1,701
43,"PRATHMIK VIDHALYA NO1SAROORPUR KHURD R. NO. 1",667,538,0,1205,566,390,0,956,956,0,843,3,10,99,0,0,0,0,0,0,1,0,0,0,0,956
44,"PRATHMIK VIDHALYA NO. 2 SARURPUR KHURD R. NO. 1",655,484,0,1139,487,355,0,842,841,0,213,2,480,123,0,0,0,1,0,0,2,5,9,4,3,842
45,"PRATHMIK VIDHALYA NO. 2 SARURPUR KHURD R. NO. 2",574,479,0,1053,453,374,0,827,807,0,485,17,150,166,0,0,0,1,0,0,2,3,3,0,0,827
46,"UCCH PRATHMIK VIDHALYA SARURPUR KHURD R. NO. 1",465,383,0,848,369,254,0,623,621,0,514,17,15,73,0,0,0,1,0,0,0,0,1,0,2,623
47,"UCCH PRATHMIK VIDHALYA KAKEPUR R. NO. 1",522,480,1,1003,390,334,0,724,300,0,119,103,40,440,3,0,0,1,0,2,7,2,1,2,4,724
48,"UCCH PRATHMIK VIDHALYA KAKEPUR R. NO. 2",490,389,0,879,373,284,0,657,114,0,49,9,253,330,2,0,0,0,0,0,3,3,3,2,3,657
49,"PRATHMIK VIDHALYA MEHARMATI GANESHPUR",869,663,0,1532,649,518,0,1167,98,0,43,718,7,363,0,0,0,1,0,1,8,6,2,8,10,1167
50,"PRATHMIK VIDHALYA BADRUDDINNAGAR NANU R. NO.1",804,597,0,1401,595,422,0,1017,15,0,48,867,28,47,10,1,1,2,0,2,1,0,1,3,6,1017
51,"PRATHMIK VIDHALYA BADRUDDIN NAGAR NANU R. NO.2",464,343,0,807,350,249,0,599,484,0,4,164,282,142,1,0,0,0,0,0,0,2,2,1,1,599
52,"UCCH PRATHMIK VIDHALYA BADRUDDIN NAGAR NANU",509,469,0,978,361,349,0,710,709,0,8,199,95,387,1,0,0,1,0,0,5,1,0,7,6,710
53,"PRATHMIK VIDHALYA BABAKPUR",547,449,0,996,418,311,0,729,27,0,7,118,103,473,3,0,0,12,0,2,2,7,1,1,0,729
54,"PRATHMIK VIDHALYA BAHADURPUR R. NO. 1",673,516,0,1189,539,373,0,912,135,0,399,32,311,160,2,1,0,0,0,1,4,1,0,1,0,912
55,"PRATHMIK VIDHALYA BAHADURPUR R. NO. 2",636,524,0,1160,470,411,0,881,670,0,555,107,18,191,1,0,0,0,0,1,1,0,2,2,3,881
56,"PRATHMIK VIDHALYA JAFARABAD DURVESHPUR",651,485,0,1136,476,347,0,823,823,0,12,633,138,32,0,0,0,1,0,0,0,0,0,5,2,823
57,"ANUSUCHIT CHAUPAL KHRIWA JALALPUR",687,542,0,1229,431,348,0,779,454,0,13,104,99,536,5,1,2,2,1,1,8,3,0,2,2,779
58,"PRATHMIK VIDHALYA KHRIWA JALALPUR R. NO. 1",622,527,0,1149,406,267,0,673,673,0,17,572,35,40,0,1,1,3,0,0,0,2,1,0,1,673
59,"PRATHMIK VIDHALYA KHRIWA JALALPUR R. NO. 2",356,294,0,650,193,132,0,325,325,0,15,236,13,54,0,0,1,4,0,0,0,0,0,1,1,325
60,"ANUSUCHIT JATI PANCHHYAT GHAR KHRIWA JALALPUR R. NO. 1",451,340,0,791,281,214,0,495,495,0,5,383,47,45,0,0,0,3,2,0,0,1,2,4,3,495
61,"ANUSUCHIT JATI PANCHHYAT GHAR KHRIWA JALALPUR R. NO. 2",423,350,0,773,269,203,0,472,472,0,24,285,72,79,0,0,1,0,0,2,1,0,0,3,5,472
62,"UCCH PRATHMI VIDHALYA SAMASPUR SURANI R. NO. 1",367,323,0,690,226,205,0,431,431,0,163,102,44,115,0,0,1,0,1,1,1,0,0,2,1,431
63,"UCCH PRATHMIK VIDHALYA SAMASPUR SURANI R. NO. 2",372,316,0,688,283,206,0,489,489,0,123,5,166,177,1,1,0,1,0,1,3,1,4,1,5,489
64,"UCCH PRATHMIK VIDHALYA KHIRWA ANOBAD",750,639,0,1389,557,468,0,1025,1025,0,343,84,123,446,3,0,0,1,1,1,5,8,3,1,6,1025
65,"DR. BHEEMRAV AMBEDKAR BHAWAN DABATHUA",910,674,0,1584,674,486,0,1160,1151,0,132,13,641,351,2,0,0,1,1,6,2,3,3,1,4,1160
66,"PRATHMIK VIDHALYA NO1 DABATHUA",793,574,0,1367,491,364,0,855,844,0,427,35,10,365,3,1,0,5,0,1,4,0,0,3,1,855
67,"GANDHI SMARAK INTER COLLEGE DABATHUA R. NO. 1",630,539,0,1169,451,366,0,817,817,0,310,70,8,413,2,0,0,3,0,1,3,2,1,1,3,817
68,"GANDHI SMARAK INTER COLLEGE DABATHUA R. NO. 2",511,386,0,897,358,251,0,609,609,0,324,39,25,207,2,0,0,0,1,1,2,2,0,0,6,609
69,"PRATHMIK VIDHALYA RATANGHARI",166,143,0,309,136,120,0,256,256,0,0,31,1,223,0,0,0,0,0,0,1,0,0,0,0,256
70,"PRATHMIK VIDHALYA DABATHUA GARHI",391,274,0,665,257,170,0,427,420,0,144,10,122,133,1,1,1,0,0,2,5,2,3,0,3,427
71,"AMAR JYOTI HUNIOR HIGH SCHOOL BHALSONA R. NO. 1",544,420,1,965,476,260,0,736,736,0,226,59,5,434,0,1,0,2,0,1,5,0,1,1,1,736
72,"AMAR JYOTI JUNIOR HIGH SCHOOL BHALSONA R. NO.2",483,378,0,861,395,238,0,633,633,0,332,16,28,246,0,0,0,0,0,1,3,2,1,1,3,633
73,"PRATHMIK VIDHALYA RATHULI",441,300,0,741,326,227,0,553,548,0,296,36,9,195,0,1,1,0,2,0,2,3,1,1,6,553
74,"PRATHMIK VIDHALYA BHAWA NANGLA",309,247,0,556,255,169,0,424,50,0,301,0,69,53,0,0,0,0,0,0,0,0,0,0,1,424
75,"JANTA JAGRTI INTER COLLEGE IKRI R. NO. 1",467,354,0,821,351,234,0,585,582,0,127,9,18,413,3,0,1,1,1,1,4,4,1,0,2,585
76,"JANTA JAGRTI INTER COLLEGE IKRI R. NO. 2",497,396,0,893,337,256,0,593,412,0,73,10,69,433,2,0,0,1,0,0,3,0,1,1,0,593
77,"PRATHMIK VIDHALYA IKRI R. NO. 1",614,440,0,1054,431,265,0,696,626,0,52,226,134,264,2,0,0,0,0,1,8,7,1,1,0,696
78,"PRATHMIK VIDHALYA IKRI R. NO. 2",479,344,0,823,302,210,0,512,509,0,19,58,176,240,0,0,0,8,0,1,4,3,1,1,1,512
79,"UCCH PRATHMIK VIDHALYA PATHULI R. NO. 1",514,412,0,926,361,259,0,620,619,0,350,30,99,128,3,0,0,0,0,2,1,1,1,0,5,620
80,"PRATHMIK VIDHALYA PATHULI R. NO. 1",622,500,0,1122,508,364,0,872,868,0,596,63,14,181,0,1,0,3,0,1,3,2,0,1,7,872
81,"PRATHMIK VIDHALYA PATHULI R. NO. 2",446,328,0,774,291,220,0,511,507,0,231,9,132,135,0,0,0,2,0,0,1,1,0,0,0,511
82,"UCCH PRATHMIK VIDHALYA KARNAWAL R. NO. 1",518,392,0,910,353,257,0,610,610,0,420,1,4,175,0,0,1,2,0,1,2,1,1,0,2,610
83,"UCCH PRATHMIK VIDHALYA KARNAWAL R. NO. 2",326,248,0,574,276,143,0,419,410,0,310,1,5,94,1,2,1,1,0,1,0,0,0,1,2,419
84,"UCCH PRATHMIK VIDHALYA KARNAWAL R. NO. 3",554,413,0,967,420,296,0,716,716,0,440,8,6,245,2,1,0,0,0,0,8,2,1,1,2,716
85,"UCCH PRATHMIK VIDHALYA KARNAWAL R. NO. 4",358,256,0,614,245,128,0,373,363,0,174,60,4,131,0,0,1,0,0,1,1,0,0,0,1,373
86,"PRATHMIK VIDHALYA NO. 4 KARNAWAL",439,329,0,768,302,202,0,504,504,0,122,140,23,207,1,0,0,1,1,0,5,2,1,1,0,504
87,"PRATHMIK VIDHALYA NO. 3 KARNAWAL R. NO. 1",458,332,0,790,336,216,0,552,552,0,439,3,0,105,0,0,1,0,0,1,1,0,0,0,2,552
88,"PRATHMIK VIDHALYA NO. 3 KARNAWAL R. NO. 2",385,292,0,677,254,181,0,435,382,0,216,51,7,153,0,1,0,1,0,0,2,1,1,0,2,435
89,"PRATHMIK VIDHALYA NO. 5 KARNAWAL",509,391,0,900,396,252,0,648,648,0,133,65,246,179,3,1,0,1,0,0,8,5,3,2,2,648
90,"PRATHMIK VIDHALYA NO. 2 KARNAWAL R. NO. 1",513,374,0,887,308,205,0,513,403,0,128,60,176,136,0,1,0,1,0,3,0,2,2,2,2,513
91,"PRATHMIK VIDHALYA NO. 2 KARNAWAL R. NO. 2",573,457,0,1030,417,356,0,773,753,0,312,94,24,331,2,0,0,0,0,0,1,4,1,1,3,773
92,"NAVEEN PRATHMIK VIDHALYA MENA PUTHI R. NO.1",410,321,0,731,313,251,0,564,549,0,11,45,65,429,4,0,0,0,0,0,4,2,3,1,0,564
93,"NAVEEN PRATHMIK VIDHALYA MENA PUTHI R. NO.2",764,659,0,1423,603,506,0,1109,1109,0,41,300,60,687,2,0,0,1,0,1,4,3,3,2,5,1109
94,"PRATHMIK VIDHALYA R. NO. 1 HARRA",668,483,0,1151,517,340,0,857,857,0,9,800,29,16,0,0,0,0,0,0,0,1,0,0,2,857
95,"PRATHMIK VIDHALYA R. NO. 2 HARRA",866,626,0,1492,634,470,0,1104,1104,0,33,888,48,122,0,0,0,1,1,2,0,0,0,3,6,1104
96,"PRATHMIK VIDYALYA ATIRIKTA KAKSHA HARRA",511,345,0,856,385,256,0,641,9,0,21,566,51,1,0,0,0,1,0,0,0,0,0,1,0,641
97,"CHOUDHARY BASHIR KHAN INTER COLLEGE HARRA R. NO. 1",429,360,0,789,330,235,0,565,465,0,9,526,21,5,1,0,0,0,1,0,0,0,1,1,0,565
98,"CHOUDHARY BASHIR KHAN INTER COLLEGE HARRA R. NO. 2",776,530,0,1306,624,344,0,968,968,0,29,858,47,18,0,0,0,1,1,0,1,0,2,5,6,968
99,"CHOUDHARY BASHIR KHAN INTER COLLEGE HARRA R. NO. 3",827,617,0,1444,587,498,0,1085,1085,0,30,978,52,10,0,2,0,0,1,1,0,2,2,1,6,1085
100,"CHOUDHARY BASHIR KHAN INTER COLLEGE HARRA R. NO. 4",856,627,0,1483,606,396,0,1002,974,0,55,675,71,184,4,1,0,1,0,1,2,0,2,1,5,1002
101,"PRATHMIK VIDHALYA KHEDI KALAN",470,341,0,811,339,245,0,584,512,0,51,466,48,7,0,0,0,0,0,1,0,0,4,2,5,584
102,"PRATHMIK VIDHALYA KHIWAI R. NO. 1",786,561,0,1347,676,441,0,1117,1117,0,4,962,16,9,1,0,0,0,1,1,2,5,95,15,6,1117
103,"PRATHMIK VIDHALYA KHIWAI R. NO. 2",918,690,0,1608,707,531,0,1238,1221,0,7,1100,90,17,1,0,0,2,1,0,1,1,3,12,3,1238
104,"PRATHMIK VIDHALYA NO.2 KHIWAI R. NO. 1",787,535,0,1322,602,424,0,1026,1025,0,9,928,24,31,0,0,0,0,0,2,0,2,2,11,17,1026
105,"PRATHMIK VIDHALYA NO.2 KHIWAI R. NO. 2",834,649,0,1483,521,398,0,919,913,0,20,68,11,786,8,1,1,0,1,1,9,5,4,2,2,919
106,"UCCH PRATHMIK VIDHALYAA KHIWAI R. NP. 1",677,544,0,1221,516,403,0,919,918,0,13,662,44,167,2,1,0,0,0,0,6,4,1,7,12,919
107,"UCCH PRATHMIK VIDHALYA KHIWAI R. NO.2",617,463,0,1080,489,353,0,842,840,0,5,753,14,36,0,1,0,0,1,2,4,2,3,8,13,842
108,"DEEPCHAND NATH JUNIOR HIGH SCHOOL KHIWAI R. NO. 1",463,389,1,853,388,301,0,689,156,0,3,499,3,165,0,1,0,0,3,1,1,1,0,7,5,689
109,"DEEPCHAND NATH JUNIOR HIGH SCHOOL KHIWAI R. NO. 2",698,530,0,1228,523,392,0,915,619,0,8,474,11,393,2,0,0,0,0,1,4,11,3,4,4,915
110,"PRATHMIK VIDHALYA R. NO. 1 KALEENA",628,456,0,1084,386,282,0,668,525,0,62,89,178,314,1,0,0,1,0,1,4,8,5,1,4,668
111,"PRATHMIK VIDHALYA R. NO. 2 KALEENA",578,456,0,1034,388,291,0,679,670,0,365,39,7,255,2,0,0,3,0,1,0,3,0,0,4,679
112,"PRATHMIK VIDHALYA R. NO. 1 NARANGPUR",448,377,0,825,362,309,0,671,671,0,17,52,16,575,0,0,0,8,0,0,0,1,0,1,1,671
113,"PRATHMIK VIDHALYA R. NO. 2 NARANGPUR",495,379,0,874,377,260,0,637,618,0,4,151,54,399,2,0,0,11,2,0,1,5,3,2,3,637
114,"UCCH PRATHMIK VIDHALYA NARANGPUR",317,259,0,576,262,119,0,381,378,0,12,22,68,264,1,0,1,4,0,2,1,3,2,1,0,381
115,"PRATHMIK VIDHALYA HASANPUR RAJAPUR",709,581,0,1290,518,376,0,894,882,0,365,77,169,266,1,1,0,1,0,1,2,2,4,1,4,894
116,"BHARAT SEWAK SAMAJ MEJAR ASHARAM TYAGI SMARK KANYA HIGH SCHOOL R. NO.1 KATHWARI",540,400,0,940,393,299,0,692,678,0,15,100,104,460,2,0,1,3,0,1,2,0,3,0,1,692
117,"BHARAT SEWAK SAMAJ MEJAR ASHARAM TYAGI SMARK  KANYA HIGH SCHOOL R. NO.2 KATHWARI",455,364,0,819,304,207,0,511,511,0,19,89,12,379,1,1,0,1,0,0,4,2,1,1,1,511
118,"BHARAT SEWAK SAMAJ MEJAR ASHARAM TYAGI SMARK  KANYA HIGH SCHOOL R. NO.3 KATHWARI",562,381,0,943,376,251,0,627,627,0,21,49,201,342,1,0,0,0,0,1,5,0,4,1,2,627
119,"PRATHMIK VIDHALYA JATAULA",353,297,0,650,314,229,0,543,542,0,4,33,393,106,0,0,0,0,1,0,1,2,1,0,2,543
120,"PRATHMIK VIDHALYA NO. 1 KINAUNI",642,504,0,1146,506,346,0,852,852,0,8,72,539,202,7,2,1,0,1,0,3,4,9,4,0,852
121,"UCCH PRATHMIK VIDHALYA R. NO. 1 KINAUNI",602,405,0,1007,516,304,0,820,705,0,48,35,498,219,11,0,0,0,0,0,2,1,3,2,1,820
122,"UCCH PRATHMIK VIDHALYA R. NO. 2KINAUNI",545,382,0,927,410,256,0,666,660,0,74,41,204,335,2,0,0,0,0,0,6,0,1,1,2,666
123,"PRATHMIK VIDHALYA R. NO. 1 RASULPUR JAHID",373,298,0,671,290,216,0,506,225,0,313,66,2,118,0,0,1,1,0,0,1,3,0,0,1,506
124,"PRATHMIK VIDHALYA R. NO. 2 RASULPUR JAHID",484,376,0,860,361,286,0,647,647,0,39,6,222,365,2,0,0,0,0,1,4,1,4,1,2,647
125,"PRATHMIK VIDHALYA UKSIYA",462,344,0,806,397,264,0,661,661,0,7,5,384,258,0,0,1,0,0,0,2,2,0,0,2,661
126,"PRATHMIK VIDHALYA THIROT",564,422,0,986,392,320,0,712,712,0,16,180,245,255,0,0,0,0,1,0,5,3,4,1,2,712
127,"PRATHMIK VIDHALYA R. NO. 1 KALYANPUR",416,318,0,734,242,185,0,427,427,0,94,3,97,228,0,0,0,0,0,2,1,0,2,0,0,427
128,"PRATHMIK VIDHALYA R. NO. 2 KALYANPUR",428,352,0,780,277,224,0,501,501,0,248,59,6,176,3,0,0,3,0,1,1,0,0,1,3,501
129,"PRATHMIK VIDHALYA AALAMGIRPUR",659,501,0,1160,483,364,0,847,847,0,104,214,438,77,4,1,0,0,0,0,2,1,3,2,1,847
130,"PRATHMIK VIDHALYA UKHLINA",711,548,0,1259,530,379,0,909,909,0,138,124,201,418,6,1,2,1,1,1,1,6,4,2,3,909
131,"PRATHMIK VIDHALYA R. NO. 1 DALAMPUR URF DHILORA",509,412,0,921,358,305,0,663,663,0,272,8,41,327,0,1,1,1,2,0,4,2,1,1,2,663
132,"PRATHMIK VIDHALYA R. NO. 2 DALAMPUR URF DHILORA",633,483,0,1116,426,299,0,725,545,0,382,19,119,188,2,0,0,1,0,3,1,2,3,1,4,725
133,"KANYA UCCH PRATHMIK VIDHALYA R. NO. 1 CHINDAURI KHAS",754,546,0,1300,535,372,0,907,907,0,549,12,22,311,3,0,0,2,0,1,2,2,0,1,2,907
134,"KANYA UCCH PRATHMIK VIDHALYA R. NO. 2 CHINDAURI KHAS",741,572,0,1313,512,366,0,878,878,0,301,161,106,282,3,0,0,0,3,1,6,4,1,6,4,878
135,"PRATHMIK VIDHALYA CHIDAURI PATTI DALU",346,305,0,651,217,204,0,421,421,0,172,29,97,109,1,0,0,0,0,0,1,6,1,0,5,421
136,"PRATHMIK VIDHALYA R. NO. 1 BHADURA",506,378,0,884,373,295,0,668,666,0,188,9,168,278,2,0,0,2,0,0,10,2,3,2,4,668
137,"PRATHMIK VIDHALYA R. NO. 2 BHADURA",491,384,0,875,411,222,0,633,544,0,466,11,14,129,0,0,1,5,0,1,1,0,0,2,3,633
138,"UCCH PRATHMIK VIDHALYA BHADAURA",433,329,0,762,363,244,0,607,607,0,488,19,4,90,1,0,0,0,1,2,2,0,0,0,0,607
139,"PRATHMIK VIDHALYA R. NO.1 MEERPUR",468,363,0,831,344,272,0,616,554,0,204,57,6,329,4,2,1,0,0,1,8,1,1,1,1,616
140,"PRATHMIK VIDHALYA R. NO.2 MEERPUR",508,383,0,891,390,310,0,700,668,0,148,99,276,162,0,0,0,2,0,1,3,1,3,1,4,700
141,"PRATHMIK VIDHALYA LAHAURGARH",195,166,0,361,124,106,0,230,28,0,30,15,2,180,1,0,0,1,0,0,0,1,0,0,0,230
142,"PRATHMIK VIDHALYA BANWARIPUR",304,279,0,583,222,216,0,438,400,0,7,65,87,272,5,0,0,0,0,0,1,1,0,0,0,438
143,"PRATHMIK VIDHALYA MIRJAPUR",542,456,0,998,309,269,0,578,578,0,26,177,35,323,0,1,2,0,0,1,2,7,0,1,3,578
144,"PRATHMIK VIDHALYA DAMGARHI",256,214,0,470,210,179,0,389,340,0,5,364,18,1,0,0,0,0,0,0,0,0,1,0,0,389
145,"JATAV CHOPAL R. NO. 1 RASNA MOHD. AKBARPUR",362,278,0,640,240,195,0,435,321,0,62,5,171,183,3,0,0,0,0,2,5,1,0,1,2,435
146,"JATAV CHOPAL R. NO. 2 RASNA MOHD. AKBARPUR",384,334,0,718,251,251,0,502,501,0,25,24,153,291,0,0,1,0,1,0,0,0,4,0,3,502
147,"PRATHMIK VIDHALYA R. NO. 1 RASNA MOHD. AKBARPUR",528,415,0,943,335,278,0,613,613,0,24,49,3,529,2,1,0,1,0,0,1,1,0,1,1,613
148,"PRATHMIK VIDHALYA R. NO. 2 RASNA MOHD. AKBARPUR",379,283,0,662,244,185,0,429,425,0,8,86,34,289,1,0,1,2,1,0,5,2,0,0,0,429
149,"UCCH PRATHMIK VIDHALYA RAMPUR MOTI",649,500,0,1149,431,296,0,727,707,0,252,11,116,319,1,1,1,4,1,1,7,3,5,0,5,727
150,"PRATHMIK VIDHALYA DURJANPUR",341,288,0,629,222,179,0,401,401,0,10,96,130,157,1,0,0,1,0,0,1,1,3,1,0,401
151,"PRATHMIK VIDHALYA FATEHPUR",195,170,0,365,144,133,0,277,277,0,19,20,109,128,0,0,0,1,0,0,0,0,0,0,0,277
152,"PRATHMIK VIDHALYA R. NO. 1 BADAM",441,329,0,770,366,227,0,593,580,0,33,14,45,490,1,0,1,0,0,2,6,1,0,0,0,593
