"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KAISER JAHAN","2 - BHARAT TRIPATHI","3 - RAJESH VERMA","4 - VAISHALI ALI","5 - ERAJ BEG","6 - CHAUDHARY LAL BAGHEL","7 - JAGDISH NARAYAN SHUKLA","8 - JAGMOHAN SINGH VERMA","9 - R. K. MISRA","10 - RAM AVTAR NISHAD","11 - SHEFALI MISRA","12 - SANT KUMAR","13 - SANJAY TIWARI","14 - TURAB ALI","15 - PUSHPA DEVI","16 - SUCHITA KUMAR","17 - None of the Above","Total Votes Secured"
30,"P.S. NYORAJPUR R.N.1",621,540,0,1161,444,321,0,765,764,0,433,15,256,14,0,5,9,5,1,1,1,0,2,4,0,9,10,765
31,"P.S. NYORAJPUR R.N.2",409,318,0,727,300,197,0,497,497,0,138,14,318,8,1,0,1,3,1,0,0,0,1,6,0,3,3,497
32,"P.S. KATIYA R.N.1",725,594,0,1319,516,359,0,875,816,0,384,219,209,10,2,2,10,2,1,2,3,3,1,8,3,10,6,875
33,"P.S. KATIYA R.N.2",421,372,0,793,259,195,0,454,453,0,180,16,208,14,0,0,5,2,1,0,3,5,7,1,0,0,12,454
34,"J.H.S. SARVAHANPUR",314,286,0,600,232,196,0,428,428,0,218,69,109,10,2,0,1,0,2,0,0,0,2,3,0,8,4,428
35,"P.S. BANNY GHURAIN",743,610,0,1353,497,346,0,843,843,0,241,248,316,8,2,0,12,1,1,1,0,0,1,4,2,2,4,843
36,"P.S. ULRA II",769,654,0,1423,548,437,0,985,984,0,349,306,250,17,1,2,5,4,2,0,1,3,5,11,4,10,15,985
37,"P.S. DAFRA H/O ULRA",559,496,0,1055,418,346,0,764,764,0,364,112,217,18,1,0,1,3,2,0,1,1,4,3,4,7,26,764
38,"P.S. BISENDA I",681,577,0,1258,508,358,0,866,866,0,268,185,329,10,0,14,8,1,6,0,0,1,2,3,2,6,31,866
39,"P.S. BISENDA II",671,550,0,1221,490,345,0,835,835,0,269,185,337,13,1,2,7,1,1,0,2,0,1,6,1,1,8,835
40,"P.S. PIPARI BENI SINGH R.N.1",525,430,0,955,403,279,0,682,682,0,270,79,316,1,1,0,4,1,1,0,0,0,1,4,1,1,2,682
41,"P.S. PIPARI BENI SINGH R.N.2",659,545,0,1204,430,277,0,707,606,0,256,142,269,4,4,2,2,1,1,1,1,1,5,2,3,6,7,707
42,"P.S.BELVA BHADURPUR R.N.1",556,483,0,1039,348,308,0,656,646,0,217,282,122,12,0,0,2,0,0,1,0,1,1,3,4,3,8,656
43,"P.S.BELVA BHADURPUR R.N.2",460,431,0,891,347,275,0,622,622,0,241,297,66,4,0,0,1,0,1,0,1,1,2,4,0,2,2,622
44,"P.S. NASIRPUR ANANT SINGH",176,171,0,347,129,109,0,238,236,0,45,102,87,1,0,0,0,0,0,0,0,0,0,1,1,0,1,238
45,"P.S. AMBARPUR",511,399,0,910,431,310,0,741,740,0,223,356,96,31,1,0,3,3,1,1,1,1,0,6,1,4,13,741
46,"J.H.S. SYAORHA",737,627,0,1364,573,408,0,981,981,0,418,232,265,16,7,6,7,0,4,1,5,1,2,1,1,7,8,981
47,"P.S. KAIMAHRA KHURD",661,565,0,1226,505,398,0,903,880,0,442,181,200,9,1,11,1,5,2,3,1,2,4,10,5,5,21,903
48,"P.S. NASIRPUR H/O KAIMAHRA KHURD",425,350,0,775,316,247,0,563,563,0,305,126,111,7,0,0,2,0,0,1,2,1,2,3,0,1,2,563
49,"P.S. HATHIYAGAJIPUR R.N.1",507,446,0,953,330,271,0,601,601,0,195,74,277,25,1,1,2,2,0,0,1,3,2,5,5,5,3,601
50,"P.S. HATHIYAGAJIPUR R.N.2",411,348,0,759,276,191,0,467,467,0,184,52,147,37,2,1,5,1,5,2,0,0,5,4,5,7,10,467
51,"P.S. GOVERDHANPUR",578,534,0,1112,440,342,0,782,782,0,177,34,483,29,2,1,13,2,2,3,2,2,2,8,4,7,11,782
52,"J.H.S. MUNDERI H/O GOVERDHANPUR",645,555,0,1200,409,361,0,770,770,0,153,115,424,36,1,0,4,0,1,2,4,2,2,4,4,7,11,770
53,"P.S. BHAGVANPUR",324,304,0,628,248,202,0,450,449,0,204,72,141,19,3,0,6,0,1,0,0,0,1,0,1,1,1,450
54,"P.S. SALEMPUR",395,342,0,737,297,236,0,533,533,0,247,90,157,15,2,0,2,0,3,0,3,3,3,3,2,2,1,533
55,"P.S.TENDUVA R.N.1",693,556,0,1249,532,368,0,900,900,0,329,248,244,11,1,11,5,4,1,2,1,0,2,2,2,3,34,900
56,"P.S.TENDUVA R.N.2",594,514,0,1108,430,357,0,787,787,0,159,180,366,14,0,4,8,6,4,4,2,2,3,10,1,4,20,787
57,"P.S. BAGHAIYA",507,465,0,972,375,258,0,633,633,0,221,158,208,21,2,2,1,0,1,0,4,1,1,2,1,3,7,633
58,"P.S.JAMAURA  R.N.1",594,515,0,1109,436,302,0,738,738,0,403,97,133,39,2,4,3,2,1,1,2,2,1,4,3,8,33,738
59,"P.S.JAMAURA  R.N.2",577,469,0,1046,397,299,0,696,696,0,265,130,250,18,4,2,5,4,1,0,2,0,2,3,1,7,2,696
60,"P.S.TEULA R.N.1",500,421,0,921,396,284,0,680,680,0,367,33,231,7,2,3,4,3,1,1,2,1,2,5,2,5,11,680
61,"P.S.TEULA R.N.2",598,518,0,1116,381,336,0,717,317,0,322,49,313,5,0,0,2,1,2,0,0,0,0,5,0,3,15,717
62,"P.S. SHANKARPUR TEULA",601,558,0,1159,450,443,0,893,892,0,581,131,128,12,1,2,4,1,0,0,0,0,3,9,2,8,11,893
63,"P.S. PURVAKAMAPUR R.N.1",470,419,0,889,384,313,0,697,697,0,531,45,96,9,2,3,0,3,2,1,0,0,0,1,0,3,1,697
64,"P.S. PURVAKAMAPUR R.N.2",375,341,0,716,291,258,0,549,549,0,162,5,324,15,2,3,5,2,1,2,0,0,1,5,0,2,20,549
65,"P.S. KHARAILA H/O BANNI KHARAILA",336,303,0,639,277,247,0,524,230,0,263,21,201,15,0,2,2,0,1,1,0,0,0,3,0,7,8,524
66,"DR.CHANDRA BAHL J.H.S  BANNI KHARAILA STHIT BANNI",505,440,0,945,392,302,0,694,694,0,366,29,267,18,0,0,1,0,1,0,0,1,2,1,1,4,3,694
67,"P.S. KARAUNDIPUR H/O BANNI KHARAILA",437,372,2,811,352,218,0,570,569,0,194,46,312,4,0,0,3,0,0,0,2,0,3,1,0,1,4,570
68,"P.S. SAKRAPUR H/O BANNI KHARAILA",597,505,0,1102,457,356,0,813,785,0,268,98,400,11,2,0,9,1,0,1,0,0,3,3,0,5,12,813
69,"P.S. KALHAPUR",383,288,0,671,301,227,0,528,527,0,235,40,226,7,1,0,1,3,0,1,0,1,1,3,1,6,2,528
70,"P.S. BHURHKURHI",604,506,0,1110,492,388,0,880,880,0,604,38,213,4,0,2,1,1,0,0,1,0,0,2,1,5,8,880
71,"P.S. SIKANDARPUR H/O MAHAMDAPUR R.N.1",599,504,0,1103,465,359,0,824,824,0,241,56,472,4,3,0,5,1,1,1,0,0,2,1,3,11,23,824
72,"P.S. SIKANDARPUR H/O MAHAMDAPUR R.N.2",537,447,0,984,393,296,0,689,689,0,269,188,186,7,1,3,4,4,2,2,1,0,0,7,0,5,10,689
73,"P.S. PURVADASAPUR",699,606,0,1305,473,371,0,844,830,0,298,205,295,15,0,0,3,1,4,0,0,1,4,3,2,9,4,844
74,"P.S. PARSEHRA R.N.1",849,728,0,1577,554,505,0,1059,1059,0,520,413,93,7,0,1,2,3,0,2,1,0,2,5,3,3,4,1059
75,"P.S. PARSEHRA R.N.2",814,705,0,1519,588,454,0,1042,1042,0,608,277,113,9,1,2,3,3,3,2,1,1,2,5,2,5,5,1042
76,"J.H.S. MANPUR R.N.1",875,710,0,1585,632,432,0,1064,1064,0,564,181,225,29,5,0,4,3,3,0,1,1,1,12,7,22,6,1064
77,"J.H.S. MANPUR R.N.2",775,643,0,1418,519,381,0,900,900,0,289,266,278,22,0,3,3,1,4,2,1,0,1,7,4,9,10,900
78,"P.S. BADAILA",367,320,0,687,254,202,0,456,456,0,94,125,205,5,2,1,2,0,1,0,0,1,1,4,3,4,8,456
79,"P.S. ITDAHA",498,431,0,929,362,267,0,629,629,0,245,119,238,5,0,2,4,0,0,0,1,2,0,2,1,5,5,629
80,"P.S. MAUJUDDINPUR R.N.1",490,409,0,899,329,247,0,576,576,0,354,93,113,6,1,0,0,1,0,0,0,1,0,0,1,3,3,576
81,"P.S. MAUJUDDINPUR R.N.2",814,701,0,1515,515,369,0,884,884,0,479,288,60,7,1,1,1,4,2,0,0,0,0,6,3,11,21,884
82,"P.S. RAMPUR H/O MAUJUDDINPUR",376,316,0,692,305,245,0,550,550,0,84,193,225,34,0,0,1,2,1,1,0,1,1,1,3,1,2,550
83,"P.S. NAKARA",746,650,0,1396,567,496,0,1063,1063,0,475,31,458,19,3,3,9,0,2,1,1,0,4,8,8,13,28,1063
84,"P.S. GURERA R.N.1",521,456,0,977,460,310,0,770,766,0,379,180,173,7,1,2,5,2,1,0,0,1,1,7,2,7,2,770
85,"P.S. GURERA R.N.2",317,281,0,598,251,177,0,428,427,0,156,74,174,3,1,1,1,3,0,2,0,0,2,4,2,4,1,428
86,"P.S. KARIPUR H/O GURERA",637,522,0,1159,518,357,0,875,875,0,202,91,501,31,1,0,14,1,3,1,1,1,2,11,1,5,9,875
87,"P.S. BUDHANAPUR",606,556,0,1162,526,431,0,957,957,0,338,344,221,8,0,1,3,2,2,0,1,0,0,5,6,11,15,957
88,"P.S. KAMIYABPUR",326,309,0,635,293,231,0,524,524,0,160,162,166,9,2,0,1,1,1,1,0,0,2,6,3,4,6,524
89,"P.S. HAIBATPUR R.N.1",567,470,0,1037,401,309,0,710,710,0,351,259,67,10,0,0,1,0,1,0,2,0,2,3,1,3,10,710
90,"P.S. HAIBATPUR R.N.2",421,379,0,800,293,239,0,532,500,0,239,118,154,5,2,0,3,0,0,1,1,0,0,2,0,5,2,532
91,"P.S. BISENDI",785,735,0,1520,552,440,0,992,992,0,467,366,86,38,2,2,2,3,0,0,1,1,2,2,3,7,10,992
92,"P.S. KYONTI BADULLA II",539,439,0,978,351,276,0,627,627,0,369,169,51,11,1,0,1,3,1,1,1,3,0,4,2,1,9,627
93,"P.S. KYONTI BADULLA I   R.N.1",697,616,0,1313,502,442,0,944,944,0,510,357,35,5,0,1,3,0,2,2,0,1,1,3,0,3,21,944
94,"P.S. KYONTI BADULLA I   R.N.2",226,181,0,407,163,128,0,291,291,0,168,40,76,3,0,0,1,1,0,0,0,0,0,1,0,1,0,291
95,"P.S. RUKNAPUR",391,393,0,784,310,262,0,572,572,0,210,109,209,8,3,1,5,6,0,2,1,0,2,1,2,5,8,572
96,"J.H.S. JAFARABAD H/O BENIPUR R.N.1",583,486,1,1070,314,275,0,589,585,0,194,100,253,7,2,0,1,0,0,1,0,0,0,1,1,4,25,589
97,"J.H.S. JAFARABAD H/O BENIPUR R.N.2",330,274,0,604,184,153,0,337,337,0,145,26,151,1,2,0,2,0,0,0,0,0,0,3,0,3,4,337
98,"J.H.S. JAFARABAD H/O BENIPUR R.N.3",817,635,0,1452,599,357,0,956,956,0,137,286,461,19,4,1,6,5,0,1,1,2,5,6,6,8,8,956
99,"P.S. JAFARABAD H/O BENIPUR R.N.1",620,518,0,1138,323,262,0,585,584,0,144,61,352,10,1,5,1,2,0,0,0,0,0,1,0,4,4,585
100,"P.S. JAFARABAD H/O BENIPUR R.N.2",441,345,0,786,189,146,0,335,333,0,62,33,226,11,1,0,1,0,0,0,0,0,0,1,0,0,0,335
101,"P.S. SARAINYA MAPHI",802,738,0,1540,587,547,0,1134,1022,0,687,392,34,10,1,0,0,4,1,0,0,2,0,1,0,2,0,1134
102,"P.S. RAMABHARI R.N.1",673,637,0,1310,555,458,0,1013,1013,0,595,115,255,13,1,1,1,2,0,0,0,0,1,2,4,13,10,1013
103,"P.S. RAMABHARI R.N.2",209,152,0,361,127,96,0,223,223,0,155,46,13,1,1,0,0,2,1,0,0,0,0,2,0,1,1,223
104,"P.S. ASHARAFPUR",356,301,0,657,282,227,0,509,509,0,82,22,368,18,3,1,1,1,0,0,0,0,0,7,1,2,3,509
105,"P.S. JANGALVILAS",229,178,0,407,222,168,0,390,390,0,61,283,22,1,0,0,0,0,1,0,0,0,0,5,6,2,9,390
106,"P.S. MOCHKALAN R.N.1",481,410,0,891,363,307,0,670,670,0,201,199,227,6,2,2,8,1,2,1,1,1,0,3,3,6,7,670
107,"P.S. MOCHKALAN R.N.2",326,296,0,622,265,217,0,482,482,0,352,45,66,5,0,0,0,0,2,0,0,0,0,0,1,2,9,482
108,"SACHIVALAY GRAM PANCHAYAT JANUVA R.N.1",703,612,0,1315,478,385,0,863,799,0,361,79,343,37,4,3,7,2,2,0,1,0,1,1,2,6,14,863
109,"SACHIVALAY GRAM PANCHAYAT JANUVA R.N.2",664,570,0,1234,462,339,0,801,801,0,340,102,306,9,2,0,7,1,4,2,2,1,2,5,1,12,5,801
110,"K.S.SINGH H.S.S. DEVKALIYA R.N.1",654,530,0,1184,482,351,0,833,833,0,419,61,263,29,2,1,8,7,3,1,5,2,3,3,4,8,14,833
111,"K.S.SINGH H.S.S. DEVKALIYA R.N.2",460,390,0,850,357,218,0,575,575,0,118,117,314,13,0,3,2,0,0,0,0,0,2,0,2,4,0,575
112,"P.S. MADARIPUR H/O SHANKARPUR",712,599,0,1311,482,371,0,853,853,0,206,55,512,44,1,1,6,2,2,1,2,1,2,7,3,5,3,853
113,"P.S. CHAHARPUR",520,469,0,989,426,323,0,749,748,0,150,158,366,42,1,0,6,2,1,2,3,2,1,3,3,4,5,749
114,"P.S. GOSARPUR STHIT  PARSADIPUR",160,131,0,291,130,100,0,230,230,0,48,9,165,2,0,0,1,0,0,0,0,0,0,0,0,2,3,230
115,"J.H.S. SIRSA KHURD",523,421,0,944,374,324,0,698,573,0,153,166,350,10,1,0,3,0,0,1,0,0,2,5,2,4,1,698
116,"P.S. LAKHVABOJHI",537,423,0,960,373,257,0,630,626,0,161,80,345,10,2,0,5,3,6,1,0,1,1,7,0,4,4,630
117,"P.S. BHINHAINI R.N.1",435,335,0,770,378,241,0,619,619,0,223,40,336,5,1,1,2,2,0,2,0,0,1,3,1,2,0,619
118,"P.S. BHINHAINI R.N.2",604,528,0,1132,441,326,0,767,767,0,175,84,469,10,0,0,11,2,1,0,1,0,1,6,2,2,3,767
119,"P.S. LODHAURA",551,439,0,990,379,311,0,690,690,0,206,117,322,5,2,2,5,4,0,0,2,2,1,3,4,4,11,690
120,"P.S. RUSAHAN",398,364,0,762,329,254,0,583,583,0,152,59,293,52,3,3,1,2,1,1,3,2,2,2,0,4,3,583
121,"P.S. RAJAKARNAI",760,633,0,1393,527,430,0,957,957,0,385,62,458,22,0,2,6,1,0,1,1,0,1,2,2,7,7,957
122,"P.S. BHAGIPUR",831,711,0,1542,581,447,0,1028,1028,0,186,217,539,19,1,1,12,5,3,0,3,1,0,20,9,6,6,1028
123,"P.S.  MIRJAPUR H/O SARAIYA MIRJAPUR",505,410,0,915,342,250,0,592,577,0,111,197,250,8,0,0,1,0,4,0,0,0,2,3,2,4,10,592
124,"P.S.MHMOODPUR H/OSARAIYA MIRJAPUR",544,452,0,996,454,330,0,784,784,0,188,304,245,14,5,0,2,1,1,2,1,3,3,4,1,4,6,784
125,"P.S. RAJADIH H/O KARIM PANAH",816,685,0,1501,579,459,0,1038,1038,0,580,121,282,8,0,2,7,5,0,2,1,0,1,2,5,16,6,1038
126,"J.H.S. TIKRA R.N.1",303,286,0,589,207,174,0,381,381,0,56,53,229,21,1,0,3,1,0,0,6,1,1,3,1,3,2,381
127,"J.H.S. TIKRA R.N.2",624,533,0,1157,490,366,0,856,856,0,337,185,285,12,3,0,2,1,2,0,3,1,3,11,5,0,6,856
128,"P.S. SARAYAN",389,336,0,725,249,208,0,457,457,0,191,37,177,15,0,1,8,0,2,1,0,4,2,6,1,6,6,457
129,"P.S. BAHERVA",450,406,0,856,380,297,0,677,677,0,196,28,428,10,1,1,3,0,0,1,1,1,0,3,1,1,2,677
130,"P.S. MAJHIGAVAN KALAN",810,734,0,1544,628,486,0,1114,1114,0,359,217,424,31,1,2,2,4,3,1,1,1,4,4,1,12,47,1114
131,"P.S. NAVVABEHARH H/O KUTUBPUR R.N.1",535,480,0,1015,372,325,0,697,697,0,236,239,199,5,0,0,3,4,1,0,0,0,0,7,1,0,2,697
132,"P.S. NAVVABEHARH H/O KUTUBPUR R.N.2",730,555,0,1285,489,351,0,840,812,0,247,321,215,11,2,1,3,3,0,0,2,2,1,6,4,10,12,840
133,"P.S. MASENAMAU",278,279,0,557,240,218,0,458,458,0,47,135,262,2,0,0,6,0,0,0,0,0,1,3,1,0,1,458
134,"P.S. KALUPUR",440,394,0,834,350,283,0,633,632,0,93,50,442,22,0,0,4,0,0,2,2,1,0,7,0,4,6,633
135,"P.S. BAMBHAUR R.N.1",673,595,0,1268,474,405,0,879,879,0,292,135,381,27,3,2,8,2,0,0,2,2,1,5,4,2,13,879
136,"P.S. BAMBHAUR R.N.2",495,467,0,962,375,286,0,661,660,0,199,75,327,20,2,3,7,4,1,4,0,1,4,2,3,7,2,661
137,"P.S. KARAUNDI",560,492,0,1052,385,295,0,680,677,0,279,117,262,8,0,0,0,1,0,0,0,2,0,3,2,2,4,680
138,"P.S. PAKARIYA",376,346,0,722,185,146,0,331,331,0,66,131,120,1,0,0,2,0,0,1,0,0,0,1,2,3,4,331
139,"PANCHAYAT BHAVAN  BALPUR  STHIT KHANDSAR",437,361,0,798,316,236,0,552,552,0,197,82,243,6,1,0,2,1,0,0,0,1,0,1,0,7,11,552
140,"H.R.D.I.C. BISWAN R.N. 30",547,453,0,1000,274,220,0,494,492,0,12,29,429,14,0,0,3,0,0,0,4,0,0,0,0,0,3,494
141,"H.R.D.I.C. BISWAN R.N. 31",465,391,0,856,234,191,0,425,425,0,22,24,356,11,2,0,1,0,3,0,3,0,1,1,0,0,1,425
142,"H.R.D.I.C. BISWAN R.N. 32",487,433,0,920,310,236,0,546,546,0,119,26,384,13,0,0,0,0,0,0,1,0,0,1,0,1,1,546
143,"H.R.D.I.C. BISWAN R.N. 16",551,447,0,998,357,266,0,623,621,0,250,41,295,12,1,2,1,4,1,0,4,0,3,3,0,1,5,623
144,"H.R.D.I.C. BISWAN R.N. 17",186,169,0,355,129,104,0,233,233,0,16,44,167,0,0,0,1,0,0,0,3,0,0,1,0,0,1,233
145,"P.S.SEKSHARIYA BISWAN R.N.1",742,654,1,1397,385,343,0,728,728,0,173,62,435,34,0,0,0,0,0,1,2,0,2,2,3,5,9,728
146,"P.S.SEKSHARIYA BISWAN R.N.2",327,252,0,579,182,124,0,306,306,0,8,22,260,9,1,0,0,1,0,0,3,0,0,0,0,1,1,306
147,"SHRI RAMBAGHAT J.H.S.  BADALPURVA BISWAN R.N. 1",602,537,0,1139,391,329,0,720,720,0,62,22,591,16,3,1,3,1,2,0,6,1,2,3,1,1,5,720
148,"SHRI RAMBAGHAT J.H.S.  BADALPURVA BISWAN R.N. 2",449,378,0,827,254,187,0,441,441,0,143,68,200,9,1,0,0,0,0,0,1,1,0,1,0,1,16,441
149,"SHRI RAMBAGHAT J.H.S.  BADALPURVA BISWAN R.N. 3",462,392,0,854,321,196,0,517,508,0,112,25,362,12,1,0,0,0,1,0,1,0,0,2,1,0,0,517
150,"P.S.AMARNAGAR BISWAN",584,463,0,1047,403,303,0,706,706,0,89,43,495,18,1,2,6,1,1,1,8,2,6,7,3,9,14,706
151,"P.S.JHAJJHAR R.N. 1",344,292,0,636,181,151,0,332,329,0,79,16,210,12,1,0,0,1,1,1,2,0,2,1,1,2,3,332
152,"P.S.JHAJJHAR R.N. 2",651,552,0,1203,400,301,0,701,697,0,236,43,378,17,3,1,5,0,1,1,2,1,0,3,0,5,5,701
153,"P.S.JHAJJHAR R.N. 3",574,527,0,1101,317,399,0,716,691,0,234,39,380,28,1,0,3,0,2,0,2,0,1,7,5,11,3,716
154,"G.G. I. COLLEGE BISWAN R.N. 1",514,438,1,953,286,202,0,488,482,0,339,126,2,4,0,0,0,0,0,0,0,0,0,1,2,4,10,488
155,"G.G. I. COLLEGE BISWAN R.N. 2",718,580,0,1298,378,300,0,678,678,0,260,121,269,12,3,1,3,0,1,0,0,0,0,1,0,2,5,678
156,"G.G. I. COLLEGE BISWAN R.N. 3",556,525,0,1081,304,268,0,572,572,0,69,48,424,14,0,0,3,0,2,0,2,0,0,2,1,5,2,572
157,"G.G. I. COLLEGE BISWAN R.N. 4",579,516,1,1096,305,236,0,541,532,0,200,27,282,18,1,1,4,0,0,0,2,1,1,1,1,2,0,541
158,"G.G. I. COLLEGE BISWAN R.N. 5",356,297,0,653,162,146,0,308,308,0,142,77,52,17,1,0,3,1,0,0,1,1,0,1,4,4,4,308
159,"K.D.MU.I. COLLEGE BISWAN R.N. 1",336,286,0,622,206,159,0,365,360,0,234,61,44,10,0,1,1,0,0,0,0,0,0,0,0,2,12,365
160,"K.D.MU.I. COLLEGE BISWAN R.N. 2",794,650,0,1444,478,315,0,793,756,0,470,156,106,9,0,0,0,1,0,0,2,0,0,4,0,1,44,793
161,"K.D.MU.I. COLLEGE BISWAN R.N. 3",446,397,0,843,296,218,0,514,507,0,167,70,250,11,2,0,3,1,1,0,0,0,0,2,0,3,4,514
162,"K.D.MU.I. COLLEGE BISWAN R.N. 4",388,329,0,717,241,168,0,409,402,0,133,23,240,4,1,2,1,0,0,0,0,0,1,1,0,2,1,409
163,"K.D.MU.I. COLLEGE BISWAN R.N. 5",371,316,0,687,211,174,0,385,383,0,48,42,283,8,0,0,2,0,1,0,0,0,0,0,0,0,1,385
164,"G.A.P.S.BISWAN R.N.1",781,656,0,1437,400,276,0,676,676,0,386,146,115,13,1,0,3,1,0,0,4,0,1,0,0,2,4,676
165,"G.A.P.S.BISWAN R.N.2",600,510,0,1110,321,249,0,570,570,0,276,46,205,28,1,0,2,0,0,0,2,0,1,0,0,5,4,570
166,"S.J.D.I.COLLEGE BISWAN R.N.3",590,513,0,1103,330,261,0,591,584,0,221,96,241,18,1,0,0,0,2,0,1,0,0,3,0,1,7,591
167,"S.J.D.I.COLLEGE BISWAN R.N.4",462,381,0,843,266,208,0,474,474,0,170,186,85,16,0,0,2,1,1,1,1,1,0,2,1,3,4,474
