"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMBIKA SINGH","2 - BRIJ KISHOR SINGH","3 - RAM PRASAD CHAUDHARY","4 - HARISH CHANDRA  ALIAS  HARISH DWIVEDI","5 - ANAND RAJPAL","6 - PURUSHOTTAM PANDEY","7 - BHAGWANDAS","8 - RAM KARAN ALIAS R.K. GAUTAM","9 - SHIVPOOJAN RAJBHAR","10 - SITA RAM","11 - ARUN KUMAR","12 - KRISHNA  KUMAR UPADHYAY ADVOCATE","13 - RAM SHANKAR GUPTA","14 - None of the Above","Total Votes Secured"
37,"P.S. JAMOHNA",526,438,0,964,318,281,0,599,51,0,13,159,223,175,3,0,1,2,1,2,1,4,5,10,599
38,"P.S. NATHPUR",605,497,0,1102,328,265,0,593,561,0,7,171,133,227,8,6,3,0,3,4,3,6,4,18,593
39,"P.S. PATKHAULI",474,406,0,880,269,262,0,531,512,0,7,107,183,197,2,29,1,0,2,0,0,3,0,0,531
40,"P.S. MAILANI URF HINDUNAGAR",244,223,0,467,155,148,0,303,95,0,13,64,67,145,2,0,2,0,0,1,0,2,2,5,303
41,"P.M.V. MAILANI URF BELWA",307,247,0,554,173,150,0,323,114,0,3,71,48,178,5,2,1,1,1,3,6,1,0,3,323
42,"P.S. MAILANI SAHEB VAJID",536,425,0,961,314,274,0,588,188,0,17,169,75,306,1,0,2,0,2,1,2,4,1,8,588
43,"P.S. JOGIYA",675,577,0,1252,396,329,0,725,721,0,28,155,173,347,5,3,1,5,3,1,0,0,2,2,725
44,"P.S. PAKDI",691,544,0,1235,261,273,0,534,172,0,17,319,101,43,0,34,1,1,1,0,3,2,5,7,534
45,"P.S. DHAURAHRI",307,268,0,575,156,163,0,319,89,0,8,101,94,103,1,1,1,1,0,0,5,2,1,1,319
46,"P.M.V. NAKCHEDCHAK URF KALANDER NAGAR",255,201,0,456,155,152,0,307,58,0,5,145,86,55,1,6,0,0,0,0,2,0,1,6,307
47,"P.S. BHAISAHIYA KHURD BUJURG",691,564,0,1255,363,349,0,712,490,0,31,156,224,268,8,1,4,2,2,1,0,1,2,12,712
48,"P.S. BARAHKONI",427,346,0,773,247,234,0,481,188,0,15,167,78,200,3,0,0,1,0,0,2,1,4,10,481
49,"P.S. RAMNAGAR EAST",379,356,0,735,196,189,0,385,36,0,19,143,68,128,4,3,1,0,0,1,1,1,5,11,385
50,"P.S. RAMNAGAR WEST",437,364,0,801,267,152,0,419,419,0,14,116,13,249,5,13,2,0,0,0,0,1,2,4,419
51,"P.S. RAMNAGAR MEDIAM",330,282,0,612,193,177,0,370,368,0,7,133,124,90,1,1,3,3,1,1,0,1,0,5,370
52,"P.S. RAMNAGAR EXTRA ROOM",358,296,0,654,149,145,0,294,157,0,11,177,5,80,1,2,1,1,2,0,0,2,2,10,294
53,"P.M.V. NARKHORIYA EAST",728,622,0,1350,408,377,0,785,690,0,15,191,300,218,5,1,6,3,5,8,3,9,5,16,785
54,"P.M.V. NARKHORIYA WEST",803,646,1,1450,464,341,0,805,403,0,31,412,60,285,3,0,2,2,2,0,0,6,0,2,805
55,"P.S. MAGHARI",556,459,0,1015,367,289,0,656,445,0,1,148,208,262,6,3,4,1,1,0,1,7,2,12,656
56,"P.S. CHAPIYA KHAS",359,332,1,692,210,207,0,417,300,0,11,83,126,175,5,2,1,2,2,1,3,2,2,2,417
57,"P.S. NAUWAGAW EAST",515,474,0,989,201,232,0,433,433,0,10,255,28,109,1,17,1,1,1,0,1,3,1,5,433
58,"P.S. NAUWAGAW WEST",579,498,0,1077,245,288,0,533,182,0,10,367,49,50,3,32,1,1,1,1,2,4,5,7,533
59,"P.S. AALHEKUEYA",290,216,0,506,165,144,0,309,298,0,5,163,32,95,1,4,1,0,0,1,1,0,1,5,309
60,"P.M.V. KHAMHARIYA",505,407,0,912,194,271,0,465,436,0,2,291,119,17,1,18,2,1,1,2,1,2,5,3,465
61,"P.S. MAGHAUARAM PARSAD",709,701,0,1410,400,307,0,707,707,0,26,422,101,120,8,6,2,2,3,2,1,4,3,7,707
62,"P.S. DIDAI MAFI EAST",774,665,0,1439,333,395,0,728,270,0,28,233,156,188,6,85,3,1,3,4,5,1,9,6,728
63,"P.S. DIDAI MAFI WEST",327,261,0,588,132,136,0,268,265,0,5,107,43,100,2,4,0,0,0,1,1,2,1,2,268
64,"P.S. BADAUGI",744,609,0,1353,407,358,0,765,400,0,35,325,241,144,1,5,3,1,1,0,2,3,3,1,765
65,"P.S. KHORIYA",833,672,0,1505,405,372,0,777,388,0,20,260,145,270,7,55,1,4,1,1,1,3,3,6,777
66,"P.S. ATERDIHA AT BARDIHA",645,555,0,1200,327,340,0,667,334,0,19,311,172,123,6,8,2,0,3,2,5,4,4,8,667
67,"P.S. BASDILIYA",569,484,0,1053,334,265,0,599,599,0,16,134,263,170,3,0,1,0,1,0,1,5,1,4,599
68,"P.S. BASDILIYA",287,227,0,514,131,106,0,237,7,0,8,93,103,21,0,7,0,0,0,1,3,0,0,1,237
69,"P.S. TUSAYAL EAST",765,633,0,1398,308,353,0,661,661,0,25,353,71,187,3,10,3,1,0,0,2,1,1,4,661
70,"P.S. TUSA WEST",445,350,0,795,216,162,0,378,190,0,8,133,19,196,2,1,1,3,1,2,0,4,5,3,378
71,"P.S. KATRIYA NANKAR",352,290,0,642,202,199,0,401,78,0,8,224,94,54,3,9,4,0,0,0,1,0,2,2,401
72,"P.S. KOHDA EAST",642,485,0,1127,240,275,0,515,12,0,11,365,29,30,7,62,2,1,0,1,2,0,3,2,515
73,"P.S. KOHDA WEST",253,189,0,442,115,123,0,238,235,0,8,121,31,42,1,25,0,0,0,0,1,0,1,8,238
74,"P.S. AAHIRAULI",453,399,0,852,206,199,0,405,280,0,6,140,82,134,2,20,1,0,2,0,1,4,2,11,405
75,"P.S. AMAREDIHA",664,532,0,1196,364,277,0,641,321,0,30,202,135,264,1,3,0,2,1,0,1,0,0,2,641
76,"P.S. TUKAULIYA RAI",328,293,0,621,185,178,0,363,363,0,10,130,111,107,0,0,1,0,0,1,0,0,2,1,363
77,"P.S. PARSOHIYA",434,401,0,835,239,216,0,455,455,0,8,38,213,179,3,0,3,1,1,1,4,2,1,1,455
78,"P.M.V. SAGRA EAST",679,542,0,1221,372,330,0,702,702,0,21,273,147,236,5,0,4,0,1,2,3,4,2,4,702
79,"P.M.V. SAGRA WEST",670,519,0,1189,266,303,0,569,539,0,30,274,76,95,4,57,5,0,1,3,2,4,6,12,569
80,"P.S. KHAMHARIYA EAST",818,638,0,1456,371,334,0,705,701,0,30,424,75,114,3,42,1,1,0,1,0,2,4,8,705
81,"P.S. KHAMHARIYA WEST",495,444,0,939,267,259,0,526,495,0,6,255,127,93,2,32,2,1,1,0,0,2,1,4,526
82,"P.S. ATERDIHA",530,492,0,1022,212,223,0,435,430,0,24,166,92,128,1,3,0,0,1,2,1,5,1,11,435
83,"P.S. GHANDARIYA KHURD",299,250,1,550,142,160,0,302,151,0,7,53,75,129,1,10,4,3,0,3,1,0,4,12,302
84,"P.S. GHANDARIYA BUJURG",575,476,0,1051,222,279,0,501,401,0,10,123,160,145,4,49,0,0,2,1,0,5,1,1,501
85,"P.S. PATWARIYA",840,683,0,1523,393,391,0,784,784,0,30,297,154,271,5,6,2,4,2,0,1,4,6,2,784
86,"P.S. TADAUTHI",574,478,0,1052,208,397,0,605,52,0,21,150,146,264,3,6,3,0,0,1,3,1,2,5,605
87,"P.S. KUSMAHI KUAAR",356,279,0,635,193,160,0,353,353,0,16,32,49,244,2,0,1,0,1,1,2,1,1,3,353
88,"P.S. THUMHAWA PANDEY",270,245,0,515,158,170,0,328,328,0,19,139,32,118,3,2,2,1,3,1,1,0,2,5,328
89,"P.M.V. OVARIDEEHA",229,189,0,418,143,128,0,271,259,0,5,99,4,160,2,0,0,0,0,0,0,1,0,0,271
90,"P.S. CHAISAR",735,589,0,1324,394,327,0,721,720,0,30,90,256,311,5,2,4,1,2,1,3,0,4,12,721
91,"P.S. HARIHARPUR",299,248,0,547,139,155,0,294,161,0,5,58,71,151,1,1,0,1,0,1,0,4,0,1,294
92,P.S.AHARAULA,544,436,0,980,293,270,0,563,557,0,10,208,179,135,2,4,3,0,2,0,6,7,5,2,563
93,"P.S. BELGADI",376,300,0,676,216,183,0,399,200,0,6,61,97,226,0,3,0,1,1,0,0,1,1,2,399
94,"P.S. KATEKHIRA",844,689,0,1533,482,303,0,785,317,0,21,300,136,290,3,2,3,2,1,3,4,5,2,13,785
95,"P.S. DAIEDIHA EAST",676,556,0,1232,259,331,0,590,300,0,6,296,178,58,2,38,2,0,0,1,3,2,1,3,590
96,"P.S. DAIEDIHA WEST",592,469,0,1061,300,258,0,558,500,0,16,340,110,77,0,3,2,0,0,0,2,1,4,3,558
97,"P.S. BASTI ALAWAL",523,420,0,943,233,250,0,483,212,0,10,189,113,144,2,3,2,3,3,0,4,2,6,2,483
98,"P.S. SANICHARA",199,153,0,352,141,100,0,241,100,0,4,122,65,47,0,0,1,0,0,0,0,0,0,2,241
99,"SANTKABIR S.D. I.C. MOHAMMAD NAGAR",276,270,0,546,184,193,0,377,156,0,7,101,103,162,1,1,0,0,0,0,1,1,0,0,377
100,"MAHELAL U.M.S. ASANHARA",785,577,0,1362,429,318,0,747,747,0,18,254,98,360,2,1,1,1,1,0,3,2,1,5,747
101,"MAHELAL U.M.S. ASANHARA",437,340,0,777,194,168,0,362,362,0,40,129,38,137,3,6,2,0,0,1,0,0,1,5,362
102,"P.S. BAIELE EAST",813,722,1,1536,333,532,0,865,264,0,26,540,135,128,1,13,2,0,1,0,1,2,5,11,865
103,"P.S. BAIELE WEST",450,375,0,825,216,192,0,408,400,0,13,115,162,107,0,2,1,0,0,0,2,3,1,2,408
104,"P.M.V. KARAELI",502,387,0,889,229,233,0,462,24,0,18,250,89,75,5,10,1,1,1,2,0,2,1,7,462
105,"P.S. PARSA KUTUB EAST",599,494,0,1093,278,288,0,566,566,0,10,323,32,167,6,12,2,1,1,1,0,2,3,6,566
106,"P.S. PARSA KUTUB WEST",340,278,0,618,171,165,0,336,170,0,5,82,118,117,3,2,1,0,2,0,0,2,2,2,336
107,"P.S. PIPRAHIYA",722,539,0,1261,307,332,0,639,537,0,38,222,176,187,0,6,3,2,0,1,0,1,3,0,639
108,"P.S. MAGHARI",675,556,0,1231,358,333,0,691,641,0,16,254,207,161,3,11,4,4,2,1,2,6,4,16,691
109,"P.S. MAGHAUAA LAL SINGH",679,541,0,1220,344,282,0,626,626,0,13,100,275,227,1,2,1,0,1,1,1,1,1,2,626
110,"P.S. KARAYAN",725,594,1,1320,314,309,0,623,510,0,13,263,206,115,2,8,3,2,0,0,1,2,4,4,623
111,"P.S. PIRAILA GARIB EAST",666,591,0,1257,330,365,0,695,310,0,7,437,115,111,0,11,2,0,0,0,2,1,5,4,695
112,"P.S. PIRAILA GARIB WEST",477,398,0,875,239,217,0,456,456,0,11,149,155,121,0,6,1,0,1,0,5,0,0,7,456
113,"P.S. NAKTHER",572,490,0,1062,320,304,0,624,554,0,16,144,171,274,3,2,1,1,0,0,2,3,5,2,624
114,"P.S. BARDAD NANKAR",757,650,0,1407,416,396,0,812,811,0,19,180,224,343,7,8,2,1,0,3,4,6,2,13,812
115,"P.S. BARGADWA",728,619,0,1347,399,284,0,683,643,0,24,148,203,253,6,12,5,3,1,6,6,1,3,12,683
116,"P.S. PATKHAULI",443,391,0,834,242,251,0,493,390,0,10,229,100,129,5,2,5,1,1,1,0,4,3,3,493
117,"PANCHAYAT BHAWAN GHOSAN",841,734,0,1575,437,393,0,830,628,0,14,232,191,308,10,44,3,1,2,5,3,6,2,9,830
118,"P.S. SISWA BUJURG",736,628,0,1364,359,376,0,735,625,0,46,236,135,275,3,9,2,1,2,2,5,3,8,8,735
119,"P.S. KHAIRA EAST",476,365,0,841,260,235,0,495,236,0,23,224,24,203,4,10,1,0,0,1,1,0,1,3,495
120,"P.S. KHAIRA WEST",489,488,0,977,208,261,0,469,380,0,13,231,94,107,1,18,3,0,0,0,0,0,1,1,469
121,"P.S. ASURAINA",444,396,0,840,229,249,0,478,200,0,12,124,187,124,1,10,2,1,1,1,3,5,5,2,478
122,"P.S. BANTIKRA EAST",439,375,0,814,202,208,0,410,285,0,21,96,103,159,2,11,2,2,0,3,1,2,3,5,410
123,"P.S.BANTIKRA WEST",481,377,0,858,264,239,0,503,480,0,35,168,105,173,1,2,1,1,0,0,4,3,2,8,503
124,"P.S. BAIDAULA",377,326,0,703,242,218,0,460,60,0,9,144,76,209,3,2,2,2,0,0,3,4,1,5,460
125,"PANCHAYAT BHAWAN KOPA",246,226,0,472,148,147,0,295,295,0,4,76,112,89,2,1,2,0,0,0,3,1,1,4,295
126,"P.S. BANRAHI JANGAL",792,658,0,1450,411,430,0,841,4,0,24,96,226,470,5,3,3,2,2,0,1,3,2,4,841
127,"P.M.V. KHOTHILA KHAS",713,609,1,1323,447,353,0,800,700,0,31,230,233,247,16,4,4,1,5,2,6,5,5,11,800
128,"P.S. KHOTHILA KHAS",541,458,0,999,291,239,0,530,520,0,19,122,86,287,2,1,3,3,0,2,1,2,1,1,530
129,"P.S. RAMPUR",801,741,0,1542,363,435,0,798,798,0,28,457,82,191,1,12,1,0,2,3,4,4,1,12,798
130,"P.S. AAUD JANGAL EXTRA ROOM",778,572,1,1351,432,327,0,759,357,0,9,165,343,185,10,4,4,3,3,5,3,7,9,9,759
131,"P.S. AAUD JANGAL EXTRA ROOM",641,456,0,1097,307,301,0,608,608,0,7,57,379,119,12,1,1,4,2,0,3,5,2,16,608
132,"P.S. AAUD JANGAL EXTRA ROOM",440,340,0,780,246,168,0,414,414,0,6,76,158,141,4,2,6,2,0,4,3,2,0,10,414
133,"P.S. BASTIYA",230,208,0,438,128,119,0,247,240,0,2,48,86,100,4,1,1,0,1,1,1,0,2,0,247
134,"P.M.V. PARSAUNA",258,224,0,482,150,146,0,296,183,0,9,140,89,40,4,1,2,1,0,1,2,2,2,3,296
135,"P.S. DUAARIAKA CHAK",559,499,0,1058,314,331,0,645,645,0,17,234,168,188,4,4,3,0,0,2,2,9,4,10,645
136,"P.S. SHAKUHI",645,525,0,1170,349,302,0,651,351,0,9,176,146,282,5,4,6,0,2,0,2,2,3,14,651
137,"P.S. TALIYA DEEH",274,251,0,525,158,157,0,315,315,0,19,51,63,168,7,2,0,0,0,0,1,0,4,0,315
138,"H.S.C. BHIRIYA RETURAJ",300,262,0,562,136,130,0,266,266,0,0,106,68,89,1,0,1,0,0,0,0,1,0,0,266
139,"P.S. PITAUT",383,326,0,709,188,199,0,387,187,0,17,110,101,136,8,2,3,2,0,0,1,1,5,1,387
140,"P.S. TURKAULIYA",251,233,0,484,135,143,0,278,198,0,8,48,163,40,5,0,1,1,2,0,3,2,2,3,278
141,"P.M.V. AMRAULI SUMALI EAST",521,441,0,962,252,200,0,452,207,0,9,179,179,70,0,1,0,0,0,1,4,2,4,3,452
142,"P.M.V. AMRAULI SUMALI WEST",557,484,0,1041,353,258,0,611,608,0,10,177,210,182,6,0,7,2,2,1,1,2,3,8,611
143,"P.S. AMRAULI SUMALI",823,644,0,1467,429,400,0,829,829,0,14,258,194,301,22,1,2,4,2,5,4,5,5,12,829
144,"P.S. AMRAULI SUMALI",587,471,0,1058,315,222,0,537,532,0,16,138,131,206,12,1,3,2,3,2,2,3,7,11,537
145,"P.S. CHAURA",185,161,0,346,110,99,0,209,58,0,1,64,75,66,0,0,0,1,1,0,0,0,0,1,209
146,"P.S. BASTHANWA",818,606,0,1424,438,374,0,812,805,0,15,246,238,246,16,2,7,2,6,2,10,3,5,14,812
147,"P.M.V. MAGHAUA KHURD EAST",467,391,0,858,247,219,0,466,466,0,42,75,92,189,11,0,1,5,33,0,2,3,2,11,466
148,"P.M.V. MAGHAUA KHURD WEST",847,637,0,1484,484,378,0,862,650,0,16,84,289,306,18,3,5,5,105,4,2,5,9,11,862
149,"P.S. JAGTAPUR ALISE GRAMDANAW",734,576,0,1310,302,486,0,788,407,0,22,266,194,179,2,1,1,4,94,7,4,3,2,9,788
150,"P.S. JAGTAPUR ALISE GRAMDANAW",605,496,0,1101,360,316,0,676,661,0,19,90,243,95,5,1,2,1,192,2,5,4,5,12,676
151,"P.S. BAKHARIYA",213,174,0,387,115,87,0,202,202,0,1,16,44,139,1,0,0,0,0,0,0,0,0,1,202
152,P.S.SANSARPUR,598,495,0,1093,355,284,0,639,639,0,17,281,187,105,2,2,2,3,12,2,3,6,1,16,639
153,"P.S. PIPRA JAPTI",464,345,0,809,245,184,0,429,168,0,3,112,133,150,3,1,2,1,13,0,1,1,2,7,429
154,"P.M.V. PIPRAJAPTI EAST",678,469,0,1147,322,273,0,595,237,0,18,77,143,225,5,4,3,5,50,3,15,2,33,12,595
155,"P.M.V. PIPRA JAPTI WEST",574,464,0,1038,296,320,0,616,601,0,48,108,177,151,12,2,13,10,34,2,6,10,32,11,616
156,"P.S. HARDIYA",402,346,0,748,211,218,0,429,422,0,4,29,125,255,0,2,1,0,1,2,2,3,2,3,429
157,"P.S. BAHERIYA",877,717,0,1594,384,409,0,793,93,0,59,163,177,295,16,10,4,4,48,2,1,3,5,6,793
158,"P.S. PADRI",243,202,0,445,159,116,0,275,80,0,11,142,12,101,1,2,0,1,4,0,0,0,1,0,275
159,"P.M.V. NEWADA",473,366,0,839,255,229,0,484,476,0,11,175,144,138,0,4,0,0,0,1,0,4,2,5,484
160,"P.S. JAGDESPUR",267,213,0,480,185,149,0,334,331,0,1,25,12,279,4,1,0,1,2,1,0,2,3,3,334
161,"P.S. BHEURA",282,236,0,518,203,141,0,344,340,0,4,58,29,247,2,0,0,1,2,0,0,0,1,0,344
162,"P.S. PAKRI BHEKHI",666,574,0,1240,428,361,0,789,789,0,7,81,187,493,3,0,1,2,0,0,1,3,4,7,789
163,"P.S. NARAYAN PUR",366,296,0,662,233,210,0,443,155,0,8,96,171,141,4,15,1,1,0,1,0,0,0,5,443
164,"P.S. BASAPAR",622,537,0,1159,342,282,0,624,195,0,34,111,274,184,4,1,1,1,0,2,1,6,1,4,624
165,"P.S. BASAPAR",522,445,0,967,312,316,0,628,28,0,30,99,191,293,5,0,4,0,1,0,2,1,0,2,628
166,"P.S. AGYA",407,302,0,709,220,193,0,413,373,0,30,90,82,183,6,0,6,0,2,0,2,0,2,10,413
167,"P.S. PIPRAHIYA",247,196,0,443,142,125,0,267,73,0,20,76,33,120,7,0,0,2,1,0,0,2,1,5,267
168,"P.S. DAIEPAR KHURD",468,365,0,833,297,234,0,531,528,0,14,67,195,242,4,0,0,0,0,0,0,2,1,6,531
169,"P.S. BHABHANGAWA CHAUBE",339,285,0,624,205,197,0,402,402,0,9,61,44,279,2,1,1,2,1,0,0,1,1,0,402
170,"P.M.V. MANWA",228,209,0,437,160,133,0,293,293,0,23,43,69,152,1,0,2,0,0,0,0,0,1,2,293
171,"P.S. DAHWARAPARA",887,651,0,1538,511,351,0,862,710,0,12,132,301,334,15,9,7,2,34,3,2,2,2,7,862
172,"P.S. BHAGAUDI",541,429,0,970,322,250,0,572,435,0,4,81,222,246,4,0,3,1,1,0,1,1,1,7,572
173,"P.M.V. HASNAPUR",680,555,0,1235,386,356,0,742,713,0,33,344,125,163,2,41,4,2,2,1,6,3,6,10,742
174,"P.S. RAMVAPUR BABU",214,191,0,405,138,129,0,267,250,0,5,1,207,43,2,0,0,1,0,0,1,1,1,5,267
175,"P.S. CHAUKWA",837,696,0,1533,459,371,0,830,341,0,10,329,134,320,8,1,5,2,8,1,1,2,3,6,830
176,"P.S. LEDWA",888,663,0,1551,451,390,0,841,835,0,24,139,191,446,4,4,3,3,5,1,3,6,6,6,841
177,"P.S. PACHMOHNI",327,262,0,589,214,148,0,362,362,0,7,51,175,119,4,0,0,0,0,2,0,2,1,1,362
178,"P.S. PACHMONHNI",405,351,1,757,232,205,0,437,437,0,5,42,139,232,2,2,2,1,1,1,0,0,5,5,437
179,"P.S. PACHNOHNI",517,440,0,957,251,256,0,507,507,0,19,219,107,146,2,5,2,0,1,0,1,2,1,2,507
180,"P.S. LAPSI",486,418,0,904,230,225,0,455,455,0,8,99,162,158,2,2,2,0,0,3,4,8,3,4,455
181,"P.S. KOTHILI",887,736,0,1623,466,409,0,875,851,0,14,383,183,243,8,3,0,1,3,5,2,8,8,14,875
182,"P.S. KOTHILI",364,293,0,657,191,137,0,328,306,0,8,45,115,144,6,1,4,1,0,1,0,1,0,2,328
183,"P.M.V. PADRI",273,238,0,511,159,150,0,309,309,0,3,44,57,184,3,0,11,0,0,1,1,0,3,2,309
184,"P.S. KODHIYADEEH",366,315,0,681,246,237,0,483,60,0,11,108,129,204,1,0,1,1,2,3,3,3,5,12,483
185,"P.S. MAHNUAA",468,408,0,876,270,207,0,477,477,0,6,94,143,215,5,1,1,0,2,3,2,2,1,2,477
186,"P.M.V. FERSAM",775,655,0,1430,502,328,0,830,830,0,20,158,188,449,3,0,2,2,2,0,2,0,2,2,830
187,"P.S. PARSA GHUNGIYA",517,463,0,980,293,269,0,562,555,0,11,111,120,274,4,11,2,5,6,1,1,1,5,10,562
188,"P.S. PARSA LANGDA EAST",565,451,0,1016,303,251,0,554,200,0,25,69,265,160,3,5,2,1,0,2,3,7,1,11,554
189,"P.S. PARSA LAGDA WEST",534,407,0,941,258,249,0,507,506,0,2,43,213,231,4,1,1,1,0,0,2,3,1,5,507
190,"P.S. SHAHPUR",323,283,0,606,210,182,0,392,360,0,7,85,143,144,0,3,0,0,1,1,2,1,0,5,392
191,"P.S. HARIHARPUR",407,355,0,762,215,220,0,435,340,0,5,141,142,123,4,11,1,1,1,0,1,2,1,2,435
192,"P.S. TENUAA",382,325,0,707,222,231,0,453,453,0,8,250,76,109,4,1,1,3,0,0,0,0,1,0,453
193,"P.S. BHAGVANPUR",515,421,0,936,292,268,0,560,17,0,6,118,188,212,23,1,4,0,0,3,2,2,0,1,560
