"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKSHAY YADAV","2 - ATUL CHATURVEDI","3 - TH. VISHWADEEP SINGH","4 - PROF. S.P. SINGH BAGHEL","5 - UPENDRA SINGH","6 - KHAJAN SINGH","7 - JAY PRAKASH","8 - RAKESH YADAV","9 - RAJENDRA PRASAD","10 - RAHAT AFROZ","11 - LAXMI","12 - LAKSHMI  NARAYAN","13 - SHAMSHER KHA","14 - MIRJA MUKARRAM BAIG","15 - RAJVEER","16 - None of the Above","Total Votes Secured"
17,"THAKUR TARA SINGH I.C.NAUSHEHRA R.N.1",497,403,0,900,281,219,0,500,401,0,99,2,199,190,0,0,0,0,0,0,0,2,2,2,1,3,500
18,"THAKUR TARA SINGH I.C.NAUSHEHRA R.N.2",486,391,0,877,276,210,0,486,365,0,100,3,134,231,2,1,0,1,0,1,0,1,3,5,0,4,486
19,"THAKUR TARA SINGH I.C.NAUSHEHRA R.N.3",482,375,0,857,340,243,0,583,427,0,169,5,21,360,3,2,4,1,0,1,0,6,6,2,1,2,583
20,"THAKUR TARA SINGH I.C.NAUSHEHRA R.N.4",419,339,0,758,251,207,0,458,458,0,353,7,15,62,2,0,0,0,0,0,0,0,8,0,3,8,458
21,"PANCHYATGHAR NIJAMPUR GADOOMA",703,566,0,1269,609,350,0,959,312,0,618,5,221,105,4,0,0,1,0,0,0,0,1,3,1,0,959
22,"ANGAN BADI CENTRE NIJAMPUR GADOOMA",633,516,0,1149,473,332,0,805,805,0,532,1,215,42,0,0,0,6,0,0,0,1,2,3,1,2,805
23,"P.S.ASUA R.N.1",769,573,0,1342,555,404,0,959,959,0,368,7,12,528,7,1,1,2,1,2,0,1,12,3,3,11,959
24,"P.S.ASUA R.N.2",293,251,0,544,218,156,0,374,241,0,157,1,83,117,3,1,0,2,0,0,1,1,1,0,0,7,374
25,"P.S.NAGLA JALUA",346,289,0,635,303,214,0,517,325,0,328,1,126,55,3,0,0,0,0,0,0,0,0,2,1,1,517
26,"P.S.NAGLA BILOTIYA",255,216,0,471,206,165,0,371,336,0,23,0,242,102,0,1,1,0,0,0,1,0,0,1,0,0,371
27,"PANCHYATGHAR ASUA",371,309,0,680,321,231,0,552,367,0,289,1,50,206,0,1,0,1,0,0,0,0,2,1,0,1,552
28,"P.S.NAGLA KAANS",407,345,1,753,367,285,0,652,625,0,447,0,26,168,2,0,1,0,0,0,0,0,3,0,1,4,652
29,P.S.REETHRA,223,199,0,422,121,109,0,230,230,0,70,2,83,70,0,1,0,2,0,0,0,1,0,0,1,0,230
30,"P.S.NAGLA UMRAY",257,225,0,482,249,176,0,425,424,0,343,1,1,71,3,0,0,2,0,1,0,1,0,1,0,1,425
31,"P.S.KATAURA BUJARG R.N.1",432,333,0,765,279,208,0,487,76,0,288,9,4,173,0,1,1,1,0,1,0,1,0,0,6,2,487
32,"P.S.KATAURA BUJARG R.N.2",571,443,0,1014,353,251,0,604,603,0,47,4,155,388,2,1,0,1,0,0,2,0,2,0,2,0,604
33,P.S.AURANGABAD,299,250,0,549,187,135,0,322,322,0,174,3,46,99,0,0,0,0,0,0,0,0,0,0,0,0,322
34,"INTER COLLEGE DADIAMAI",697,566,0,1263,494,366,0,860,432,0,171,7,35,623,6,0,0,1,0,1,2,1,8,3,1,1,860
35,"P.S.NAGLA BUDHSAIN",195,168,0,363,139,111,0,250,243,0,79,0,10,156,2,0,1,0,0,0,1,1,0,0,0,0,250
36,P.S.DAHINI,693,570,0,1263,663,484,0,1147,800,0,925,3,97,115,0,0,0,3,0,1,0,0,0,1,0,2,1147
37,"P.V.NAGLA SUNDER",275,232,0,507,257,206,0,463,238,0,455,1,1,1,2,0,0,3,0,0,0,0,0,0,0,0,463
38,"ADARASH JANTA VIDHYALAYA MUH.PUR BARAI",668,537,0,1205,549,428,0,977,577,0,692,8,78,183,2,0,0,4,0,0,0,1,2,2,2,3,977
39,P.S.BHADAIPURA,498,454,0,952,456,402,0,858,50,0,789,2,3,63,0,0,0,0,0,0,0,0,1,0,0,0,858
40,P.S.RUDHAU,577,466,0,1043,517,296,0,813,695,0,742,1,0,69,0,0,0,0,0,0,0,0,0,0,0,1,813
41,P.S.BAKALPUR,643,468,0,1111,621,326,0,947,870,0,921,2,3,20,1,0,0,0,0,0,0,0,0,0,0,0,947
42,P.S.CHUTAMUNPUR,312,257,0,569,272,198,0,470,269,0,369,2,1,90,0,1,0,5,0,0,1,0,0,0,0,1,470
43,P.S.JALALPUR,336,298,0,634,329,294,0,623,623,0,594,2,3,21,0,0,0,1,0,0,0,0,0,0,1,1,623
44,P.S.DUDHRAI,188,172,0,360,162,128,0,290,250,0,254,0,1,32,0,0,0,0,0,0,0,0,0,0,0,3,290
45,"J.H.S.KESHRI R.N.1",554,455,0,1009,357,264,0,621,600,0,66,2,146,391,5,0,1,1,0,1,1,2,1,0,4,0,621
46,"J.H.S.KESHRI R.N.2",464,381,0,845,333,250,0,583,488,0,302,6,5,253,2,0,0,1,0,0,6,0,1,3,4,0,583
47,P.S.LAKHNAI,319,252,0,571,205,155,0,360,284,0,74,4,11,263,1,1,2,0,1,0,0,0,2,0,0,1,360
48,J.H.S.EMALAKHNAI,201,183,0,384,127,105,0,232,232,0,168,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,232
49,"J.H.S.RAJAURA R.N.1",463,412,0,875,273,240,0,513,511,0,285,2,12,201,3,0,0,0,0,0,2,1,1,0,3,3,513
50,"J.H.S.RAJAURA R.N.2",447,359,0,806,248,188,0,436,436,0,112,4,11,286,6,0,3,0,0,0,0,3,1,2,4,4,436
51,P.S.LAKHANPUR,386,314,0,700,349,289,0,638,637,0,618,1,3,15,0,0,1,0,0,0,0,0,0,0,0,0,638
52,"P.S.SYARMAU RAMLAL",444,356,1,801,381,300,0,681,20,0,582,0,3,85,0,0,0,1,0,0,0,0,0,1,5,4,681
53,"P.S.SYARMAU HARGANPUR",538,415,0,953,427,249,0,676,676,0,523,1,0,148,1,0,0,0,0,0,0,0,1,1,0,1,676
54,P.S.KHITOLI,279,220,0,499,273,210,0,483,89,0,463,1,1,8,0,1,0,3,0,0,0,1,0,1,1,3,483
55,"P.S.CHARICHHAPAR R.N.1",584,456,0,1040,395,219,0,614,614,0,538,3,13,50,3,0,0,0,0,0,0,0,0,0,3,4,614
56,"P.S.CHARICHHAPAR R.N.2",173,152,0,325,160,81,0,241,221,0,229,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,241
57,P.S.SAURAKH,292,223,0,515,178,134,0,312,107,0,225,3,14,58,0,0,0,0,1,0,0,0,2,0,6,3,312
58,"P.S.HAIVATPUR KARKHA",683,526,0,1209,573,361,0,934,891,0,894,1,4,31,0,1,0,1,0,0,0,0,0,0,0,2,934
59,J.H.S.TATARPUR,701,520,0,1221,469,282,0,751,41,0,689,0,1,56,0,0,0,3,0,0,0,0,0,0,0,2,751
60,P.S.ASRAWALI,188,158,0,346,121,63,0,184,28,0,138,1,0,42,0,0,0,1,0,0,0,0,1,0,1,0,184
61,P.S.ATAPUR,505,370,0,875,398,203,0,601,397,0,422,5,30,125,2,2,1,1,0,0,1,0,2,2,1,7,601
62,J.H.S.ATAPUR,474,355,0,829,396,233,0,629,254,0,516,1,14,86,2,1,0,0,1,0,0,1,1,0,0,6,629
63,P.S.RAPDI,485,370,0,855,396,266,0,662,661,0,590,7,29,20,0,0,0,1,0,1,0,0,3,0,5,6,662
64,"P.S.SHAHJADPUR DIDOLI",550,407,0,957,418,302,0,720,720,0,716,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,720
65,"R.I.COLLEGE NASIRPUR R.N.1",678,501,0,1179,647,500,0,1147,718,0,1089,1,20,35,0,0,0,0,0,0,0,0,0,0,1,1,1147
66,"R.I.COLLEGE NASIRPUR R.N.2",673,490,0,1163,673,459,0,1132,1132,0,1090,1,0,25,0,0,0,4,0,0,0,0,0,0,3,9,1132
67,P.S.KARANPUR,703,574,0,1277,557,307,0,864,700,0,768,2,2,85,1,0,0,1,0,1,0,0,0,0,1,3,864
68,P.S.DHANPURA,563,425,0,988,302,192,0,494,491,0,337,8,33,100,3,0,1,1,1,2,0,2,0,0,1,5,494
69,"P.S.BRHAMABAD LACHPUR",455,405,0,860,378,327,0,705,2,0,549,4,96,47,1,0,0,2,0,0,1,0,0,1,0,4,705
70,P.S.NAGLATIKARAM,209,181,0,390,195,146,0,341,334,0,313,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,341
71,"P.S.NAGLA CHANDA",348,295,0,643,337,245,0,582,24,0,554,1,0,26,0,0,0,0,0,0,0,0,0,0,1,0,582
72,P.S.JAMALIPUR,282,250,0,532,265,234,0,499,499,0,490,3,1,4,0,0,0,0,0,1,0,0,0,0,0,0,499
73,"P.S.SUJAVALPUR R.N. 1",538,435,0,973,500,371,0,871,871,0,827,4,25,13,0,0,0,0,0,0,0,0,0,0,0,2,871
74,"P.S.SUJAVALPUR R.N.2",337,296,0,633,286,276,0,562,194,0,384,4,143,22,1,1,1,0,0,0,0,0,1,1,2,2,562
75,P.S.GADROLI,306,271,0,577,298,213,0,511,376,0,479,1,1,28,0,0,0,2,0,0,0,0,0,0,0,0,511
76,P.S.ABABAKARPUR,370,333,0,703,222,188,0,410,410,0,282,2,2,115,1,0,0,0,0,0,1,0,2,0,2,3,410
77,"P.S.FATEHPUR KARKHA",627,455,0,1082,442,257,0,699,8,0,408,5,64,203,1,0,0,1,0,0,1,2,2,3,3,6,699
78,"J.H.S.GUDA R.N.1",569,487,0,1056,517,405,0,922,12,0,880,1,2,33,0,1,0,0,0,0,0,0,0,0,3,2,922
79,"J.H.S.GUDA R.N.2",446,357,0,803,425,307,0,732,91,0,655,4,34,37,0,0,1,0,0,0,0,0,0,1,0,0,732
80,"P.S.SALEMPURKARKHA R.N.1",540,428,0,968,459,292,0,751,124,0,686,2,12,39,2,0,0,2,0,0,0,1,0,0,0,7,751
81,"P.S.SALEMPURKARKHA R.N.2",472,379,0,851,443,306,0,749,23,0,734,2,2,10,0,0,0,1,0,0,0,0,0,0,0,0,749
82,P.S.NANEMAU,569,407,0,976,511,336,0,847,775,0,817,0,0,25,0,0,0,2,0,0,0,0,0,1,1,1,847
83,"P.S.SHERPUR KUTUBPUR",185,166,0,351,180,140,0,320,295,0,312,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,320
84,"J.H.S.KUTUKPUR SHERPUR R.N.1",533,399,0,932,398,307,0,705,300,0,323,4,144,222,1,0,1,0,0,0,0,1,1,1,2,5,705
85,"J.H.S.KUTUKPUR SHERPUR R.N.2",510,412,0,922,348,278,0,626,400,0,192,1,3,421,0,1,0,1,0,0,0,0,6,1,0,0,626
86,P.S.AEDALPUR,557,437,0,994,366,290,0,656,70,0,144,3,39,445,5,1,0,0,1,0,2,0,6,4,5,1,656
87,P.S.MADANPUR,665,537,0,1202,501,327,0,828,783,0,599,3,16,189,1,1,0,1,0,1,0,1,0,1,6,9,828
88,"P.S.DAULATPUR KARKHA",493,393,0,886,373,224,0,597,11,0,509,4,0,74,2,0,1,0,0,2,0,0,1,0,0,4,597
89,P.S.DHAUNAI,532,449,0,981,421,389,0,810,801,0,730,2,9,48,0,0,0,0,0,1,5,0,0,0,2,13,810
90,"CH.LALSINGH I.C.KHATUAMAI",411,333,0,744,329,241,0,570,26,0,508,9,2,47,0,0,0,2,0,0,0,0,0,0,0,2,570
91,"P.S.ESHAKPUR R.N.1",596,485,0,1081,581,348,0,929,173,0,895,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,929
92,"P.S.ESHAKPUR R.N.2",567,444,0,1011,530,341,0,871,530,0,784,1,0,78,1,0,1,4,0,0,0,0,0,0,1,1,871
93,"P.S.GUDHA AALIPUR",510,376,0,886,470,335,0,805,307,0,768,4,1,30,0,0,1,1,0,0,0,0,0,0,0,0,805
94,"J.H.S.MU.PUR NADAI",729,604,0,1333,631,471,0,1102,1002,0,1070,1,2,25,0,0,0,3,0,0,0,0,0,0,0,1,1102
95,"J.H.S.GADI DANSHAY R.N.1",499,427,0,926,443,363,0,806,376,0,802,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,806
96,"J.H.S.GADI DANSHAY R.N.2",437,361,0,798,424,327,0,751,750,0,740,2,2,7,0,0,0,0,0,0,0,0,0,0,0,0,751
97,"P.S.PATANA KHARKHA",376,301,0,677,276,230,0,506,502,0,459,3,5,35,0,0,0,0,0,0,0,0,0,1,0,3,506
98,"J.H.S.GADSAN R.N.1",539,424,0,963,522,373,0,895,200,0,884,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,895
99,"J.H.S.GADSAN R.N.2",449,364,0,813,413,318,0,731,71,0,707,6,1,16,0,0,0,0,0,0,0,0,0,0,0,1,731
100,"P.S.FATEHPUR NASIRPUR R.N.1",445,326,0,771,419,242,0,661,661,0,616,2,2,33,0,0,0,0,0,0,0,0,0,0,0,8,661
101,"P.S.FATEHPUR NASIRPUR R.N.2",432,362,0,794,430,282,0,712,712,0,673,3,1,35,0,0,0,0,0,0,0,0,0,0,0,0,712
102,P.S.LOHRAI,441,361,0,802,359,274,0,633,171,0,614,3,1,12,1,0,0,1,0,0,0,0,0,1,0,0,633
103,P.S.AATEPUR,591,484,0,1075,462,255,0,717,200,0,635,2,2,66,0,0,0,0,0,0,0,0,1,3,2,6,717
104,P.S.VAZIDPUR,434,366,0,800,401,306,0,707,482,0,685,1,8,10,0,0,0,2,0,0,0,0,0,0,0,1,707
105,P.S.JAIMATPUR,502,403,0,905,415,255,0,670,390,0,587,4,5,69,0,0,0,1,0,0,0,0,0,1,0,3,670
106,"P.S.URAVAR HASTRAF",726,595,0,1321,523,279,0,802,402,0,697,2,0,84,2,3,0,2,1,2,0,0,4,0,2,3,802
107,"J.H.S.URAWAR HASTRAPH R.N.1",706,582,0,1288,606,405,0,1011,1011,0,973,1,1,34,1,0,0,0,0,0,0,0,0,0,0,1,1011
108,"J.H.S.URAWAR HASTRAPH R.N.2",349,319,0,668,322,200,0,522,522,0,477,7,2,34,2,0,0,0,0,0,0,0,0,0,0,0,522
109,"P.S.THAR NATHU",248,193,0,441,225,150,0,375,375,0,366,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,375
110,"P.S.MADAIYA CHANDRAHANS",543,457,0,1000,489,411,0,900,678,0,864,5,1,26,0,0,0,3,0,0,1,0,0,0,0,0,900
111,P.S.DHOHIA,345,284,0,629,255,204,0,459,459,0,423,2,0,24,1,0,0,0,0,0,0,0,1,0,2,6,459
112,"P.S.NAGLA HARISINGH R.N.1",506,403,0,909,442,311,0,753,668,0,628,1,2,117,0,0,0,2,0,0,0,0,2,0,0,1,753
113,"P.S.NAGLA HARISINGH R.N.2",669,533,0,1202,548,352,0,900,601,0,691,4,7,175,3,0,1,5,1,0,1,2,1,0,4,5,900
114,"P.S.NAGLA TAAL",242,179,0,421,186,116,0,302,189,0,251,2,3,45,0,1,0,0,0,0,0,0,0,0,0,0,302
115,"NAVIN J.H.NAGLA GULAL R.N.1",849,667,0,1516,616,466,0,1082,250,0,1008,3,1,63,3,1,0,1,0,0,0,0,1,0,0,1,1082
116,"NAVIN J.H.S. NAGLA GULAL R. NO.2",656,524,0,1180,561,253,0,814,157,0,727,3,0,76,2,0,1,1,0,0,0,0,0,0,2,2,814
117,"NAVIN J.H.S. NAGLA GULAL R. NO.3",821,651,0,1472,515,358,0,873,50,0,745,4,3,116,1,0,0,1,0,0,0,0,0,0,0,3,873
118,"P.S. BALARPUR",374,294,0,668,187,108,0,295,295,0,245,6,0,37,0,0,0,1,0,0,0,0,0,1,3,2,295
119,"P.S. MADAIYA NANDRAM",309,233,0,542,228,150,0,378,140,0,366,0,0,7,0,0,0,2,0,0,0,0,0,0,1,2,378
120,"P.S. PUNCHHA",260,206,0,466,175,105,0,280,118,0,258,2,1,10,0,0,0,6,0,0,0,0,0,0,1,2,280
121,P.S.MAHKEPURA,333,245,0,578,216,117,0,333,5,0,173,4,1,136,7,1,1,1,0,0,3,0,2,2,2,0,333
122,"P.S.URAWAR MADWA",775,599,0,1374,671,256,0,927,925,0,793,1,5,116,1,0,3,0,0,0,0,1,3,1,1,2,927
123,"J.H.S.ARON R.N.1",669,579,0,1248,481,382,0,863,781,0,281,7,177,369,2,1,0,1,0,2,1,1,4,5,5,7,863
124,"J.H.S.ARON R.N.2",522,427,0,949,357,296,0,653,434,0,197,7,27,398,4,0,1,5,0,2,0,2,2,0,3,5,653
125,"P.S.NAGLA WALE",285,216,0,501,226,174,0,400,240,0,21,2,54,313,4,0,2,0,0,0,0,0,0,0,3,1,400
126,P.S.IMILIYA,395,347,0,742,361,238,0,599,304,0,103,6,4,455,11,2,2,1,0,0,0,1,8,1,0,5,599
127,P.S.BAMAI,587,467,0,1054,319,228,0,547,13,0,125,10,108,279,2,3,3,1,4,0,0,1,5,2,3,1,547
128,P.S.SIROULIYA,477,358,0,835,436,294,0,730,530,0,689,1,2,37,0,0,0,1,0,0,0,0,0,0,0,0,730
129,P.S.BHARAUL,830,669,0,1499,726,448,0,1174,480,0,992,6,13,140,0,0,1,13,0,0,1,1,1,0,0,6,1174
130,"J.H.S.BHARAUL R.N.1",688,559,0,1247,560,376,0,936,226,0,790,4,1,99,3,1,0,26,1,1,0,0,1,2,1,6,936
131,"J.H.S.BHARAUL R.N.2",660,500,0,1160,534,480,0,1014,425,0,926,8,5,58,0,0,0,5,0,0,0,0,0,0,3,9,1014
132,"P.S.PIDSARA R.N.1",717,589,0,1306,566,443,0,1009,477,0,839,4,4,125,0,0,0,34,0,0,0,0,0,1,1,1,1009
133,"P.S.PIDSARA R.N.2",635,527,1,1163,513,338,0,851,824,0,700,5,16,119,1,0,0,2,0,0,0,2,1,0,1,4,851
134,"P.S.KURHINA R.N1",407,307,0,714,221,182,0,403,75,0,123,1,11,246,1,3,0,0,0,0,0,1,5,3,2,7,403
135,"P.S.KURHINA R.N.2",618,500,0,1118,351,268,0,619,19,0,383,12,63,138,3,2,0,2,1,1,0,1,4,0,4,5,619
136,P.S.SAKATPUR,300,230,0,530,251,166,0,417,171,0,130,0,129,97,1,1,0,1,53,0,0,0,0,1,1,3,417
137,J.H.S.KAPRAWALI,424,347,0,771,406,321,0,727,262,0,588,2,25,102,3,0,0,2,0,0,0,0,0,1,1,3,727
138,P.S.BHANUPURA,536,420,0,956,481,364,0,845,745,0,796,8,2,35,1,0,0,3,0,0,0,0,0,0,0,0,845
139,P.S.SAIJANI,243,193,0,436,229,142,0,371,211,0,357,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1,371
140,"P.S. IBRAHIMPUR SARSOLI",625,484,0,1109,554,330,0,884,19,0,858,1,1,23,0,0,0,1,0,0,0,0,0,0,0,0,884
141,P.S.SAIPHPUR,428,354,0,782,321,245,0,566,389,0,311,0,93,150,1,1,0,2,0,0,3,1,0,0,2,2,566
142,"P.S.PITHEPUR R.N.1",639,490,0,1129,398,270,0,668,19,0,300,3,8,333,5,1,2,0,2,0,2,2,3,1,5,1,668
143,"P.S.PITHEPUR R.N.2",394,317,0,711,178,130,0,308,307,0,118,1,39,135,1,1,1,1,0,0,8,0,0,2,0,1,308
144,P.P.CHANDPURA,382,348,0,730,297,195,0,492,492,0,237,5,32,209,3,0,0,0,0,0,1,0,0,0,2,3,492
145,P.S.SARIYA,209,173,0,382,111,139,0,250,248,0,22,1,119,107,1,0,0,0,0,0,0,0,0,0,0,0,250
146,"P.S.KHERIYA MUSHAT",510,401,0,911,353,244,0,597,458,0,224,3,6,343,4,1,3,1,1,0,0,2,1,0,2,6,597
147,"P.P.NAGLA KUSHAL",246,184,0,430,224,162,0,386,100,0,365,0,0,15,0,0,0,1,0,0,0,0,0,0,1,4,386
148,P.S.KHERIA,244,188,0,432,208,140,0,348,182,0,342,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,348
149,"P.S.KUNJPUR HAWELI",697,512,0,1209,625,290,0,915,306,0,866,1,0,28,0,0,0,17,0,1,0,1,0,0,1,0,915
150,P.S.TAKHA,452,348,0,800,348,257,0,605,355,0,550,4,3,40,1,0,0,6,0,0,0,0,1,0,0,0,605
151,"P.S.NAGLA GWALIAR",351,305,0,656,334,281,0,615,615,0,574,0,0,31,2,0,0,0,0,0,0,0,1,1,0,6,615
152,"P.S.NAGLA NARINI",662,544,0,1206,615,536,0,1151,536,0,1141,1,0,3,0,0,0,1,0,1,0,0,0,1,2,1,1151
153,"A.J.I.COLLEGE PAIGU R.N.1",693,542,0,1235,390,312,0,702,493,0,225,4,34,412,3,2,1,1,0,1,0,1,4,4,5,5,702
154,P.S.N.GADI,204,189,0,393,192,160,0,352,315,0,225,4,30,90,1,0,0,0,0,0,0,0,0,0,1,1,352
155,"A.J.I.COLLEGE PAIGU R.N.2",455,374,0,829,309,236,0,545,539,0,252,2,36,243,1,0,1,0,0,0,0,0,2,0,0,8,545
156,"P.S.RAHATPUR R.N.1",551,370,0,921,487,300,0,787,34,0,763,2,0,13,1,0,0,4,0,0,0,0,1,1,1,1,787
157,"P.S.RAHATPUR R.N.2",347,236,0,583,298,182,0,480,213,0,466,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,480
158,"P.S.NAGLA CHAIN",243,181,0,424,221,160,0,381,151,0,356,3,1,8,0,0,0,9,1,0,0,0,0,0,0,3,381
159,"P.S.NAGLA DHARM",540,414,0,954,527,365,0,892,32,0,843,5,5,23,1,0,0,2,1,0,1,1,1,3,1,5,892
160,"P.S.NAGLA LEKHRAJ",662,514,0,1176,532,275,0,807,807,0,739,4,10,40,2,0,0,3,1,1,0,0,0,0,5,2,807
161,"P.S.NAGLA HARI",559,435,0,994,466,295,0,761,283,0,178,4,10,554,1,2,0,1,0,1,1,0,2,1,4,2,761
162,"J.H.S.BAIJUA KHAAS",690,558,0,1248,493,375,0,868,865,0,271,2,19,548,8,0,3,0,0,1,1,5,4,1,0,5,868
163,"P.S.KAMARPUR BAIJUA",533,454,0,987,411,305,0,716,697,0,243,12,32,412,5,0,3,0,0,0,0,1,1,3,0,4,716
164,"P.S.SURAJPUR RUDHANI",623,540,0,1163,513,419,0,932,932,0,378,4,20,503,3,0,1,0,1,0,1,1,6,4,4,6,932
165,"P.S.M.HUSHAINPUR BAIJUA",460,392,0,852,321,258,0,579,357,0,65,2,102,397,0,2,2,1,0,0,0,1,1,2,2,2,579
166,"P.S.HAAJIPUR BAIJUA",262,230,0,492,208,185,0,393,389,0,51,2,3,326,0,2,1,1,0,0,0,0,3,1,2,1,393
167,"P.S.NAGLA SHIVSINGH",243,183,0,426,205,144,0,349,310,0,217,1,2,117,2,0,2,1,0,0,3,0,1,0,2,1,349
168,"P.S.NAGLA CHANDI",245,239,0,484,179,174,0,353,39,0,45,3,3,291,4,0,1,0,0,0,0,1,1,1,2,1,353
169,"P.S.BHADESHRA R.N.1",438,371,0,809,322,236,0,558,558,0,279,4,9,251,3,0,1,5,0,0,1,1,1,0,0,3,558
170,"P.S.BHADESHRA R.N.2",516,449,0,965,410,269,0,679,522,0,447,6,15,192,1,0,1,2,1,0,0,1,1,0,2,10,679
171,"JANSHAKTI J.H.S.RUDHANI",764,610,0,1374,510,351,0,861,50,0,213,4,131,487,2,2,4,1,0,2,7,1,1,1,2,3,861
172,"P.S.BUDHA BHARTHRA",795,679,1,1475,574,450,0,1024,26,0,222,1,24,754,3,2,3,0,0,0,0,2,4,2,2,5,1024
173,P.S.N.SAINDLAL,404,323,0,727,309,214,0,523,522,0,70,0,51,392,2,0,0,0,0,0,0,2,2,0,2,2,523
174,"B.I.C.DHATRI R.N.1",359,298,0,657,262,199,0,461,452,0,33,1,95,319,6,0,1,0,0,1,0,0,2,2,1,0,461
175,"B.I.C.DHATRI R.N.2",531,417,0,948,377,286,0,663,329,0,226,5,186,235,3,0,0,0,0,0,0,0,4,0,1,3,663
176,"B.I.C.DHATRI R.N.3",571,437,0,1008,419,263,0,682,663,0,482,0,11,174,3,1,2,0,1,1,0,0,3,0,1,3,682
177,"P.S. JARAILA",487,383,0,870,373,282,0,655,300,0,221,3,39,377,4,1,1,0,1,0,0,0,4,2,1,1,655
178,"MOOLCHAND J.H.NANDPUR",717,551,0,1268,452,324,0,776,744,0,204,4,49,494,3,2,2,3,0,1,0,1,2,2,6,3,776
179,P.S.SHAHAPUR,700,550,0,1250,591,396,0,987,1,0,733,4,16,223,3,0,1,2,0,0,0,1,0,2,1,1,987
180,"P.S.BHANDRI R.N.1",670,520,0,1190,634,326,0,960,895,0,822,2,5,121,1,0,0,1,1,0,5,0,0,0,2,0,960
