"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AKHILESH","2 - KASHI NATH SHUKLA","3 - PANKAJ","4 - HARSH VARDHAN","5 - ARAT KHARVAR","6 - KAVILAS","7 - MUMMATAJ","8 - MANGAL LAL","9 - PASHUPATI NATH GUPTA","10 - RADHEYSHYAM","11 - RAMSAMUJH","12 - VIMLESH TRIPATHI","13 - SHIVCHARAN","14 - SHREE AKHILESH KUMAR","15 - AJAYDHAR","16 - ANIL KUMAR SHAHANI","17 - GOVIND DAS","18 - TEJ PRATAP","19 - DAYARAM NISHAD","20 - DINESH KUMAR","21 - DINANATH","22 - RAKESH KUMAR GIRI","23 - RAKESH KUMAR GUPTA","24 - None of the Above","Total Votes Secured"
78,"P.V.KATAHRAKHAS ROOM NO.1",514,442,0,956,320,326,0,646,644,0,65,187,324,13,3,15,1,1,1,0,8,1,0,5,0,14,0,2,2,3,0,1,0,0,646
79,"P.V.KATAHRAKHAS ROOM NO.2",397,360,0,757,238,238,0,476,476,0,28,70,320,12,3,1,4,0,0,0,1,0,2,2,1,23,1,3,2,0,1,2,0,0,476
80,"P.V.SIWPUR KATAHRAKHAS",335,266,0,601,194,187,0,381,381,0,217,13,132,8,0,1,0,0,0,1,1,0,1,0,0,0,2,3,1,0,1,0,0,0,381
81,"P.V.KATAHAKHAS ROOM NO.3",614,529,0,1143,336,366,0,702,702,0,360,92,182,33,1,1,2,0,2,3,3,1,4,3,2,8,2,1,1,0,0,0,0,1,702
82,P.V.AHAMDPUR,353,315,0,668,198,198,0,396,396,0,85,76,189,12,0,2,1,0,2,1,0,0,0,2,1,1,3,5,11,2,1,1,0,1,396
83,"P.V.VARAHRARANI ROOM.NO.1",670,534,0,1204,422,397,0,819,816,0,215,240,255,41,5,1,4,1,3,4,6,4,3,3,5,6,3,2,3,1,4,2,2,6,819
84,"P.V.VARAHRARANI ROOM.NO.2",213,193,0,406,140,129,0,269,264,0,51,46,153,8,1,0,0,0,0,0,1,0,1,1,0,5,0,1,0,0,0,0,1,0,269
85,"P.V.JANGAL PHARJANDALI",771,638,0,1409,505,442,0,947,844,0,85,107,597,69,5,2,6,0,5,4,6,3,2,4,5,15,4,4,8,3,1,4,3,5,947
86,"P.V.SISWA AMAHWA ROOMNO.1",506,472,0,978,353,337,0,690,688,0,52,133,431,42,3,5,1,1,11,0,2,1,2,0,1,1,0,2,1,0,0,0,0,1,690
87,"P.V.SISWA AMAHWA ROOMNO.2",347,318,0,665,230,213,0,443,433,0,36,77,236,67,4,11,5,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,443
88,P.V.RUDRAPUR,422,377,0,799,228,239,0,467,466,0,40,118,241,33,2,2,0,0,1,2,4,1,0,4,2,5,2,3,0,1,1,3,0,2,467
89,"P.V.RUDHAULI BHAWCHAK ROOM NO.1",470,415,0,885,218,268,0,486,485,0,158,19,266,29,0,0,0,0,0,0,1,1,1,1,0,4,2,1,0,0,1,0,0,2,486
90,"P.V.RUDHAULI BHAWCHAK ROOM NO.2",409,363,0,772,252,224,0,476,472,0,43,278,115,10,1,0,0,0,1,0,2,0,0,2,2,4,1,7,1,0,3,2,0,4,476
91,"P.V.RUDHAULI BHAWCHAK ROOM NO.3",790,675,0,1465,472,421,0,893,893,0,69,189,485,28,1,2,1,1,0,4,4,2,1,4,5,22,10,17,11,5,10,8,7,7,893
92,P.V.RAMHAULI,488,390,0,878,319,284,0,603,602,0,148,66,225,102,3,13,0,0,2,1,2,1,1,7,2,12,2,2,5,2,1,1,2,3,603
93,"JANTA I.C.PAKRI NAUNIYA ROOM NO.1",711,603,0,1314,465,437,0,902,902,0,21,37,343,276,19,67,5,4,1,4,3,4,11,5,2,9,5,6,7,11,12,16,13,21,902
94,"JANTA I.C.PAKRI NAUNIYA ROOM NO.2",672,599,0,1271,385,370,0,755,753,0,77,186,283,128,4,25,1,2,2,3,4,0,5,4,4,16,2,3,1,0,0,3,2,0,755
95,"P.V.KANDH ROOM NO.1",609,497,0,1106,388,365,0,753,751,0,173,165,313,40,1,2,22,2,0,2,3,0,4,3,3,8,0,2,2,2,2,0,2,2,753
96,"P.V.KANDH ROOM NO.2",408,360,0,768,251,255,0,506,506,0,45,128,262,32,3,3,1,2,2,0,4,1,4,3,1,9,0,2,1,1,0,0,1,1,506
97,"P.V. GOPI ROOM NO.1",527,474,0,1001,338,325,0,663,662,0,64,224,304,38,2,2,0,1,5,0,3,0,1,2,2,5,0,1,4,0,2,2,1,0,663
98,"P.V.GOPI ROOM NO.2",338,282,0,620,227,207,0,434,1,0,85,90,156,39,2,1,1,1,2,0,1,2,4,2,1,8,4,9,8,3,4,5,1,5,434
99,"P.V.PIPRARSULPUR ROOM NO.1",684,584,0,1268,454,365,0,819,783,0,135,234,288,57,1,17,5,0,3,2,12,3,5,12,4,19,2,5,2,2,2,2,1,6,819
100,"P.V.PIPRARSULPUR ROOM NO.2",663,577,0,1240,440,396,0,836,836,0,167,88,356,116,3,1,2,2,15,1,9,4,4,13,5,15,4,8,3,4,2,3,2,9,836
101,"VAN TANGIYA SCHOOL KE PRANGAN ME",805,633,0,1438,406,325,0,731,731,0,83,192,164,32,7,6,7,3,5,6,10,9,27,9,5,112,2,2,22,0,4,9,4,11,731
102,"ASTHAI NI.VANTAGIYA KE PRNGAR ME",523,397,0,920,242,167,0,409,409,0,43,110,129,17,1,2,4,1,1,0,8,2,27,9,1,37,1,1,12,1,0,1,0,1,409
103,"P.V.MAHLGANJ CHEHRI ROOM NO.1",462,405,0,867,327,308,0,635,632,0,118,125,267,39,2,0,1,3,2,2,9,2,4,9,5,37,0,2,1,1,0,2,1,3,635
104,"P.V.MAHLGANJ CHEHRI ATIRIKT KACHA",373,319,0,692,247,218,0,465,463,0,33,142,184,40,2,2,1,1,1,1,5,1,0,2,2,27,5,5,3,1,4,1,0,2,465
105,"P.V.MAHLGANJ CHEHRI ROOM NO.2",798,627,0,1425,534,415,0,949,949,0,243,192,344,76,3,5,4,5,1,4,7,4,6,5,4,19,7,7,6,0,1,3,2,1,949
106,"P.M.V.CHEHARI ROOM NO.1",751,668,0,1419,454,443,0,897,897,0,124,198,420,86,3,16,2,1,2,4,6,1,10,5,1,5,4,2,2,1,1,2,0,1,897
107,"P.M.V.CHEHRI ROOM NO.2",585,554,0,1139,353,365,0,718,718,0,84,292,210,42,3,0,1,2,3,5,1,4,38,8,3,5,0,5,4,1,0,4,1,2,718
108,P.V.VLUA,351,286,0,637,206,198,0,404,402,0,107,50,202,7,0,2,2,1,1,2,2,4,1,1,4,5,1,4,1,1,1,1,0,4,404
109,P.V.PAKDI,167,155,0,322,107,117,0,224,224,0,43,69,61,30,0,0,0,0,2,0,2,2,0,2,2,5,0,3,1,0,0,2,0,0,224
110,"P.M.V.KHUTAHA ROOM NO.1",792,673,0,1465,429,460,0,889,886,0,222,174,415,24,0,2,1,0,1,1,1,0,1,1,1,4,16,10,1,2,6,2,2,2,889
111,"P.M.V.KHUTAHA ROOM NO.2",723,565,0,1288,462,358,0,820,815,0,175,287,292,29,3,1,2,1,3,2,6,1,0,2,1,3,2,3,0,2,1,2,2,0,820
112,P.V.VARWAPHAHIM,615,517,0,1132,392,372,0,764,761,0,128,98,480,20,2,1,0,0,0,0,0,1,0,6,3,5,1,6,4,1,3,1,2,2,764
113,P.V.SIHAPUR,540,492,0,1032,326,333,0,659,659,0,9,94,368,148,8,1,1,0,1,4,1,0,2,8,4,8,0,0,0,1,0,0,0,1,659
114,P.V.SISWA,775,658,0,1433,405,450,0,855,850,0,167,200,350,48,1,2,3,1,8,0,6,0,3,7,4,12,7,14,11,0,2,2,0,7,855
115,P.V.MAHDEWA,839,751,0,1590,500,494,0,994,993,0,136,271,460,68,4,1,3,0,2,3,4,5,4,10,6,4,2,1,1,0,0,2,3,4,994
116,"P.V.DUBAULLI ROOM NO.1",458,429,0,887,319,306,0,625,625,0,99,165,296,43,2,0,0,0,1,1,1,1,3,4,0,4,0,1,1,0,0,1,1,1,625
117,"P.V.DUBAULLI ROOM NO.2",411,390,0,801,274,257,0,531,531,0,82,105,241,42,2,0,0,1,1,0,2,3,1,2,1,5,4,14,6,2,5,3,1,8,531
118,"P.V.NETA SURHURWA ROOM NO.1",755,578,0,1333,376,355,0,731,729,0,222,77,284,53,1,0,72,2,4,1,1,2,0,0,0,1,5,2,0,1,0,0,0,3,731
119,"P.V.NETA SURHURWA ROOM NO.2",786,633,0,1419,486,411,0,897,886,0,208,172,421,33,6,1,19,2,3,2,1,2,2,7,2,7,1,2,1,1,1,0,1,2,897
120,"P.V.NETA SURHURWA ROOM NO.3",544,497,0,1041,352,276,0,628,627,0,58,68,439,15,7,0,3,0,0,4,3,1,2,8,2,10,1,2,2,0,0,0,1,2,628
121,"P.V.VASPAR VAIJAULI ROOM NO.1",530,446,0,976,318,333,0,651,651,0,217,30,271,104,2,0,3,2,6,1,4,1,1,1,0,3,0,2,0,1,0,2,0,0,651
122,"P.M.V.VASPAR VAAJOLI ROOM NO.1",332,291,0,623,187,206,0,393,393,0,162,111,72,35,1,0,1,0,0,0,0,1,0,4,1,4,0,0,0,0,0,1,0,0,393
123,"P.V.VASPAR VAIJAULI ROOM NO.2",676,629,0,1305,452,442,0,894,894,0,363,212,227,15,3,5,2,2,1,1,7,5,4,7,6,13,7,5,2,0,0,2,0,5,894
124,"P.V.VASPAR VAIJAULI ROOM NO.3",355,341,0,696,214,233,0,447,445,0,123,4,279,9,0,0,0,0,2,0,3,0,0,1,0,10,2,8,1,0,0,0,0,5,447
125,"P.V.MAHUAWA ROOM NO.1",424,363,0,787,323,279,0,602,601,0,28,145,350,29,3,4,0,3,0,0,4,2,4,7,0,4,0,7,9,1,1,0,0,1,602
126,"P.V.MAHUAWA ROOM NO.3",407,374,0,781,310,236,0,546,545,0,53,125,279,45,4,3,1,0,5,2,1,0,1,2,2,8,2,2,3,0,1,1,1,5,546
127,"P.V.MAHUAWA ROOM NO.2",276,247,0,523,185,174,0,359,356,0,26,57,219,18,5,3,0,1,1,2,2,1,2,4,3,9,2,2,0,0,0,1,0,1,359
128,P.V.SARDIHA,732,702,0,1434,453,499,0,952,802,0,197,228,333,89,6,2,5,2,6,4,11,1,9,8,6,25,2,6,2,2,2,2,1,3,952
129,P.V.CHAPARIA,781,709,0,1490,558,475,0,1033,1033,0,139,323,507,28,0,3,1,2,2,0,1,1,0,3,4,4,2,4,2,0,0,3,2,2,1033
130,P.V.TARKULWA,361,334,0,695,245,256,0,501,495,0,104,198,164,10,2,0,0,0,3,1,1,1,3,2,3,5,1,3,0,0,0,0,0,0,501
131,"P.V.PIPARDEURA ROOM NO.1",608,507,0,1115,297,237,0,534,530,0,24,112,295,53,2,2,2,1,2,2,2,1,0,5,1,4,1,4,5,2,3,1,1,9,534
132,"P.V.PIPARDEURA ROOM NO.2",676,543,0,1219,286,232,0,518,512,0,72,67,327,17,1,1,0,0,17,2,0,1,2,0,0,2,2,0,2,1,1,0,1,2,518
133,"P.M.V.NEW BHAWAN PIPARDEURA ROOM NO.1",669,580,0,1249,369,301,0,670,1,0,21,336,231,45,13,1,0,3,1,1,3,0,2,2,0,3,0,0,1,1,0,1,2,3,670
134,"P.M.V.NEW BHAWAN PIPARDEURA ROOM NO.2",481,413,0,894,225,207,0,432,1,0,25,209,146,27,1,0,0,0,8,0,0,0,0,1,0,6,0,1,1,0,1,0,3,3,432
135,"P.M.V.MAHARAJGANJ ROOM NO.1",676,512,0,1188,373,288,0,661,1,0,17,38,566,5,0,0,0,0,17,2,2,0,1,1,1,0,2,0,3,0,0,0,5,1,661
136,"P.M.V.MAHARAJGANJ ROOM NO.2",675,566,0,1241,298,256,0,554,546,0,110,85,303,37,2,0,1,0,3,1,1,0,1,2,0,0,1,2,0,0,1,2,0,2,554
137,"P.M.V.MAHARAJGANJ ROOM NO.3",714,588,0,1302,334,287,0,621,20,0,88,78,388,32,3,1,0,0,5,0,3,0,3,2,1,8,4,2,0,0,0,0,2,1,621
138,"P.V.CHIURHA MAUPAKAR",515,445,0,960,356,320,0,676,1,0,202,92,310,35,2,0,1,1,2,0,1,0,2,5,2,9,4,1,2,0,0,1,1,3,676
139,"P.V.NEW BHAWN CHIURHA ROOM NO.1",396,357,0,753,271,238,0,509,1,0,55,60,357,7,2,1,1,1,4,2,2,0,1,2,3,3,0,1,1,0,0,2,1,3,509
