"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - DR. ARVIND KUMAR SINGH","2 - ZAFAR ALAM","3 - BIJENDRA SINGH","4 - SATISH KUMAR","5 - AMITA SINGH JAT","6 - DURGESH CHANDRA GAUTAM","7 - DEVANAND","8 - PRADEEP KUMAR","9 - BADSHAH","10 - RAKESH CHANDRA RAWAT","11 - VINOD KUMAR BAGHEL","12 - MOHD. SABIR RAHI","13 - NATTHI LAL SHARMA","14 - SANJAY KUMAR","15 - None of the Above","Total Votes Secured"
54,"BASIC PRAMIARY SCHOOL MAALWIYA PUSKALAY G.T.RD. R.N. 1",485,431,0,916,295,196,0,491,463,0,27,197,44,204,1,1,0,1,0,0,0,6,4,2,4,491
55,"BASIC PRAMIARY SCHOOL MAALWIYA PUSKALAY G.T.RD. R.N 2",306,281,0,587,197,135,0,332,329,0,21,276,24,5,0,0,1,0,1,0,1,1,0,2,0,332
56,"SHRI RAM DHARAMSHALA SHIVPURI R.N 1",678,589,0,1267,463,376,0,839,520,0,46,20,69,680,3,4,0,1,0,0,0,8,3,1,4,839
57,"SHRI RAM DHARAMSHALA SHIVPURI R.N 2",658,582,0,1240,484,356,0,840,840,0,23,4,47,727,9,9,1,0,0,1,0,9,1,1,8,840
58,"SHRI RAM DHARAMSHALA SHIVPURI R.N 3",477,431,1,909,323,341,0,664,660,0,12,46,25,560,3,5,0,0,0,0,2,5,4,1,1,664
59,"SHRI RAM DHARAMSHALA SHIVPURI R.N. 4",541,502,0,1043,387,332,0,719,230,0,99,20,37,537,4,2,0,0,1,2,3,10,3,1,0,719
60,"SHRI RAM DHARAMSHALA SHIVPURI R.N 5",589,548,0,1137,424,394,0,818,321,0,27,2,63,703,1,3,0,1,0,3,2,6,4,1,2,818
61,"SHRI RAM DHARAMSHALA SHIVPURI R.N. 6",601,552,0,1153,441,363,0,804,784,0,74,9,22,679,3,0,0,0,1,0,1,7,1,1,6,804
62,"JILA PURTI KARYALAY RASALGUNJ",531,461,0,992,267,179,0,446,435,0,36,365,21,18,0,1,1,0,0,1,0,1,0,0,2,446
63,"KHADI GRAMODHOG KARYALAY RASALGUNJ R.N 1",550,432,0,982,331,215,0,546,243,0,90,393,35,18,1,1,0,0,0,0,0,2,2,2,2,546
64,"BASIC PRAMIARY SCHOOL MAALWIYA PUSKALAY G.T.RD.R.N 3",838,750,0,1588,526,394,0,920,750,0,12,582,26,276,3,0,7,0,0,0,0,11,0,0,3,920
65,"KHADI GRAMODHOG KARYALAY RASALGUNJ R.N 2",723,587,0,1310,391,234,0,625,529,0,4,567,17,5,0,1,1,0,0,0,0,20,2,2,6,625
66,"BASIC PRAMIARY SCHOOL MAALWIYA PUSKALAY G.T.RD. R.N 4",661,626,0,1287,383,284,0,667,245,0,35,474,48,96,0,0,1,1,0,0,0,7,0,1,4,667
67,"HAPPY CHILDRAN SCHOOL SARAI LAVRIYA R.N. 1",530,453,0,983,398,294,0,692,151,0,34,5,14,603,2,3,1,0,0,3,3,9,5,2,8,692
68,"HAPPY CHILDRAN SCHOOL SARAI LAVRIYA R.N 2",561,504,0,1065,367,350,0,717,716,0,650,5,10,31,0,0,0,2,0,1,1,5,0,0,12,717
69,"UDAY SINGH JAIN KANYA INTEAR COLLEGE UDAY SINGH JAIN ROAD R.N. 1",396,348,0,744,269,238,0,507,507,0,299,3,8,193,1,0,0,0,0,0,0,2,0,0,1,507
70,"UDAY SINGH JAIN KANYA INTEAR COLLEGE UDAY SINGH JAIN ROAD R.N 2",580,506,0,1086,430,314,0,744,354,0,74,473,57,117,2,2,0,0,0,3,1,10,0,0,5,744
71,"NAGAR PALIKA KARYALAY BARAHDWARI R.N 1",671,599,0,1270,496,380,0,876,876,0,19,209,30,597,4,1,0,0,0,1,0,11,1,1,2,876
72,"NAGAR PALIKA KARYALAY BARAHDWARI R.N 2",553,478,0,1031,406,316,0,722,595,0,9,6,14,680,0,1,0,1,0,0,2,6,1,0,2,722
73,"NAGAR PALIKA KARYALAY BARAHDWARI R.N 3",715,632,0,1347,662,355,0,1017,813,0,141,164,31,663,2,2,0,0,1,0,0,9,0,1,3,1017
74,"NAGAR PALIKA KARYALAY BARAHDWARI R.N 4",385,357,0,742,308,236,0,544,544,0,9,48,8,467,0,0,0,0,0,0,0,8,0,2,2,544
75,"BAL VIKAS NIKETAN SUBHASH ROAD  R.N 1",621,547,0,1168,463,355,0,818,808,0,120,117,35,527,0,1,0,0,1,0,2,7,1,2,5,818
76,"BAL VIKAS NIKETAN SUBHASH ROAD R.N 2",538,480,0,1018,403,290,0,693,692,0,108,93,31,454,0,1,0,0,0,0,0,5,1,0,0,693
77,"DHARAM SAMAJ INTER COLLEGE RAMGHAT ROAD (PADAV DUBY) R.N 1",515,442,0,957,335,245,0,580,571,0,15,76,59,420,0,0,1,0,0,0,2,3,0,0,4,580
78,"DHARAM SAMAJ INTER COLLEGE RAMGHAT ROAD (PADAV DUBY) R.N 2",521,446,0,967,340,211,0,551,449,0,105,12,221,186,0,0,0,0,0,0,0,14,7,1,5,551
79,"DHARAM SAMAJ INTER COLLEGE RAMGHAT ROAD (PADAV DUBY) R.N 3",353,316,0,669,236,177,0,413,195,0,145,10,63,185,0,0,0,0,0,1,0,6,0,0,3,413
80,"DHARAM SAMAJ DIGREE COLLEGE G.T.ROAD R.N 1",558,494,0,1052,339,273,0,612,597,0,270,20,23,281,0,1,0,0,0,0,0,3,3,2,9,612
81,"DHARAM SAMAJ DIGREE COLLEGE G.T.ROAD R-N 2",443,392,0,835,306,253,0,559,559,0,289,4,28,222,2,2,0,0,0,0,0,2,2,1,7,559
82,"DHARAM SAMAJ DIGREE COLLEGE G.T.ROAD R.N 3",451,411,0,862,312,222,0,534,429,0,7,13,29,469,1,2,0,0,0,0,0,4,3,1,5,534
83,"DHARAM SAMAJ DIGREE COLLEGE G.T.ROAD R.N 4",672,536,1,1209,435,324,0,759,739,0,34,34,98,551,1,4,1,2,1,0,0,13,3,2,15,759
84,"ADARSH BAAL VIDHALAY JUNIOR HIGH SCHOOL GANDHI PARK R.N 1",589,516,0,1105,455,338,0,793,792,0,20,44,57,656,0,2,0,0,0,0,1,6,3,1,3,793
85,"ADARSH BAAL VIDHALAY JUNIOR HIGH SCHOOL GANDHI PARK R.N 2",314,290,0,604,244,196,0,440,380,0,7,190,17,224,0,1,0,0,0,0,0,0,0,0,1,440
86,"ADARSH BAAL VIDHALAY JUNIOR HIGH SCHOOL GANDHI PARK R.N 3",426,380,0,806,308,231,0,539,539,0,16,95,49,365,1,0,0,0,0,0,0,10,2,0,1,539
87,"MAHESHWARI KANYA INTER COLLEGE MADAR GATE R.N 1",427,363,0,790,295,205,0,500,440,0,8,136,11,339,2,0,0,0,0,0,0,3,0,1,0,500
88,"MAHESHWARI KANYA INTER COLLEGE MADAR GATE R.N 2",404,341,0,745,293,218,0,511,495,0,4,5,18,472,2,0,2,1,0,2,0,2,1,1,1,511
89,"MAHESHWARI KANYA INTER COLLEGE MADAR GATE R.N 3",390,342,0,732,255,172,0,427,240,0,2,97,5,313,2,0,0,0,0,2,0,4,0,0,2,427
90,"MAHESHWARI KANYA INTER COLLEGE MADAR GATE R.N 4",301,270,0,571,243,191,0,434,420,0,2,24,15,375,2,0,0,0,0,11,1,3,0,0,1,434
91,"MAHESHWARI KANYA INTER COLLEGE MADAR GATE R.N 5",425,360,0,785,301,242,0,543,502,0,5,59,12,462,0,4,0,0,0,1,0,0,0,0,0,543
92,"MAHESHWARI KANYA INTER COLLEGE MADAR GATE R.N 1",289,247,0,536,211,157,0,368,210,0,5,168,7,182,2,2,0,0,0,1,1,0,0,0,0,368
93,"MAHESHWARI KANYA INTER COLLEGE MADAR GATE R.N 2",630,558,0,1188,463,299,0,762,760,0,15,466,17,257,2,0,0,0,0,0,0,3,0,1,1,762
94,"UDAY SINGH JAIN KANYA INTEAR COLLEGE UDAY SINGH JAIN ROAD R.N 3",354,336,0,690,267,221,0,488,245,0,63,14,65,329,1,1,0,8,0,1,0,5,1,0,0,488
95,"UDAY SINGH JAIN KANYA INTEAR COLLEGE UDAY SINGH JAIN ROAD R.N 4",560,496,0,1056,373,288,0,661,409,0,87,0,31,526,2,0,0,0,1,0,2,4,4,0,4,661
96,"UDAY SINGH JAIN KANYA INTEAR COLLEGE UDAY SINGH JAIN ROAD  R.N 5",509,435,0,944,343,319,0,662,650,0,121,87,13,435,1,0,0,0,0,0,1,1,1,1,1,662
97,"UDAY SINGH JAIN KANYA INTEAR COLLEGE UDAY SINGH JAIN ROAD R.N 8",564,482,0,1046,360,242,0,602,598,0,71,361,17,145,1,1,0,2,0,0,0,0,1,0,3,602
98,"UDAY SINGH JAIN KANYA INTEAR COLLEGE UDAY SINGH JAIN ROAD R.N 6",562,524,0,1086,420,290,0,710,710,0,184,5,37,465,1,2,1,0,0,0,1,6,2,1,5,710
99,"UDAY SINGH JAIN KANYA INTEAR COLLEGE UDAY SINGH JAIN ROAD R.N 7",580,485,0,1065,411,323,0,734,734,0,438,185,7,94,0,0,0,1,0,0,1,1,1,1,5,734
100,"JALKAR KAARYALYA NAGAR NIGAM UDAY SINGH JAIN ROAD R.N 1",626,536,0,1162,486,335,0,821,816,0,291,31,53,438,1,0,1,0,0,0,1,4,0,0,1,821
101,"JALKAR KAARYALYA NAGAR NIGAM UDAY SINGH JAIN ROAD R.N 2",176,166,0,342,149,112,0,261,261,0,5,0,9,247,0,0,0,0,0,0,0,0,0,0,0,261
102,"KARYALEY ADHI0 ABHI0 VIDHOT VITRAN KHAND UDAY SINGH JAIN ROAD",632,578,0,1210,454,371,0,825,242,0,17,6,69,717,2,0,0,0,0,1,1,5,6,1,0,825
103,"SUBHASH JUNIOR HIGH SCHOOL NAGLA MASANI  R. N 1",532,474,0,1006,417,325,0,742,109,0,67,265,29,364,3,2,1,0,0,0,2,5,2,1,1,742
104,"SUBHASH JUNIOR HIGH SCHOOL NAGLA MASANI R.N 2",894,782,0,1676,612,474,0,1086,1086,0,69,59,31,869,2,11,2,0,1,0,4,13,15,2,8,1086
105,"SUBHASH JUNIOR HIGH SCHOOL NAGLA MASANI R.N 3",694,616,0,1310,520,398,0,918,918,0,150,300,52,381,3,6,0,0,1,2,2,5,5,3,8,918
106,"SUBHASH JUNIOR HIGH SCHOOL NAGLA MASANI R.N 4",833,665,1,1499,625,421,0,1046,1046,0,323,39,13,628,4,7,0,0,0,0,5,8,4,4,11,1046
107,"SUBHASH JUNIOR HIGH SCHOOL NAGLA MASANI R. N  5",613,484,1,1098,390,304,0,694,600,0,287,33,17,335,2,1,2,0,0,1,0,8,5,0,3,694
108,"PASHU CHIKITSALAY NAGLA MASANI R,N 1",960,804,0,1764,673,499,0,1172,883,0,299,147,23,660,7,6,2,1,2,0,1,4,7,3,10,1172
109,"GLORIYASH PUBLIC SCHOOL R.N 1 SHAHJMAAL",721,558,1,1280,516,308,0,824,824,0,11,778,7,5,1,1,0,1,5,0,2,0,1,1,11,824
110,"GLORIYAS PUBLIC SCHOOL SHAHJMAAL R.N 2",561,396,0,957,397,205,0,602,297,0,6,568,15,4,0,0,0,0,5,1,0,1,0,1,1,602
111,"GLORIYAS PUBLIC SCHOOL SHAHJMAAL R.N 3",793,612,0,1405,494,310,0,804,202,0,9,738,8,32,2,0,1,0,4,1,0,1,0,3,5,804
112,"GLORIYAS PUBLIC SCHOOL SHAHJMAAL R.N 4",971,790,0,1761,550,362,0,912,800,0,15,876,14,3,1,1,0,1,0,0,0,0,0,0,1,912
113,"GLORIYAS PUBLIC SCHOOL SHAHJMAAL R.N 5",910,715,0,1625,641,461,0,1102,1100,0,7,1085,7,1,0,0,0,0,0,0,1,0,0,1,0,1102
114,"GLERIYAS PUBLIC SCHOOL SHAHJMAAL R.N 6",945,833,0,1778,675,494,0,1169,600,0,21,1122,5,0,2,1,1,1,2,1,3,2,1,3,4,1169
115,"SARSWATI SHISHU MANDIR GAUSHALA NIRANJANPURI R.N 3",671,595,0,1266,345,241,0,586,200,0,14,554,12,1,1,0,0,0,2,0,0,2,0,0,0,586
116,"SARSWATI SHISHU MANDIR GAUSHALA NIRANJANPURI R.N 7",874,739,0,1613,373,176,0,549,450,0,13,503,17,0,1,0,1,0,1,1,2,2,1,2,5,549
117,"SARSWATI SHISHU MANDIR GAUSHALA NIRANJANPURI R-N 4",703,634,0,1337,448,386,0,834,800,0,703,6,8,98,2,1,0,0,0,0,1,2,1,2,10,834
118,"SARSWATI SHISHU MANDIR GAUSHALA NIRANJANPURI R-N 8",632,588,0,1220,395,318,0,713,687,0,586,11,13,82,2,2,1,1,1,2,0,4,1,0,7,713
119,"G.D. PUBLIC SCOOL KHAIR ROAD R-N 1",465,395,0,860,307,230,0,537,502,0,105,40,53,332,1,3,0,0,0,0,0,2,1,0,0,537
120,"G.D. PUBLIC SCOOL KHAIR ROAD R-N 6",572,519,0,1091,391,338,0,729,642,0,168,22,26,494,2,3,0,1,0,1,0,2,7,0,3,729
121,"G.D. PUBLIC SCOOL KHAIR ROAD R.N 2",579,460,0,1039,373,269,0,642,624,0,97,7,31,489,0,3,0,3,0,0,0,6,4,1,1,642
122,"G.D. PUBLIC SCOOL KHAIR ROAD R.N 7",573,507,0,1080,343,314,0,657,639,0,209,12,14,393,3,4,1,0,2,1,0,6,7,1,4,657
123,"G.D. PUBLIC SCOOL KHAIR ROAD R.N 3",680,577,0,1257,492,436,0,928,701,0,34,82,44,742,4,2,2,0,0,0,2,7,6,1,2,928
124,"G.D. PUBLIC SCOOL KHAIR ROAD R.N 8",755,608,0,1363,474,356,0,830,829,0,47,101,29,639,4,2,1,2,1,0,0,2,1,1,0,830
125,"G.D. PUBLIC SCOOL KHAIR ROAD R.N 4",825,716,0,1541,545,380,0,925,802,0,16,848,46,1,0,0,3,1,2,0,2,1,0,1,4,925
126,"G.D. PUBLIC SCOOL KHAIR ROAD R.N 5",772,637,0,1409,515,355,0,870,867,0,9,794,16,38,2,1,2,1,1,0,0,4,1,1,0,870
127,"GYANODAY JUNIOR HIGH SCHOOL KHAIR ROAD R.N 1",760,685,0,1445,418,217,0,635,630,0,6,611,4,2,3,1,1,0,1,0,0,1,1,0,4,635
128,"GYANODAY JUNIOR HIGH SCHOOL KHAIR ROAD R.N 2",548,473,5,1026,348,230,0,578,576,0,9,539,10,9,1,1,2,1,0,0,0,1,0,0,5,578
129,"GYANODAY JUNIOR HIGH SCHOOL KHAIR ROAD R.N 7",571,496,0,1067,321,201,0,522,522,0,13,479,14,4,1,2,0,0,0,2,1,3,1,2,0,522
130,"GYANODAY JUNIOR HIGH SCHOOL KHAIR ROAD R.N 3",772,631,0,1403,400,274,0,674,673,0,7,628,24,2,1,0,0,0,1,0,1,6,0,3,1,674
131,"GYANODAY JUNIOR HIGH SCHOOL KHAIR ROAD R.N 4",1175,875,0,2050,525,305,0,830,828,0,8,753,50,5,0,0,1,0,2,1,1,3,0,2,4,830
132,"GYANODAY JUNIOR HIGH SCHOOL KHAIR ROAD R.N 5",926,726,0,1652,503,319,0,822,822,0,17,755,12,2,2,0,0,0,8,1,3,10,1,4,7,822
133,"GYANODAY JUNIOR HIGH SCHOOL KHAIR ROAD R.N 8",864,752,0,1616,451,279,0,730,350,0,18,673,10,1,2,2,1,1,3,1,0,4,1,5,8,730
134,"GYANODAY JUNIOR HIGH SCHOOL KHAIR ROAD R.N 9",1251,920,1,2172,647,392,0,1039,1039,0,17,980,19,9,0,0,1,0,2,0,1,0,0,2,8,1039
135,"GYANODAY JUNIOR HIGH SCHOOL KHAIR ROAD R.N 6",935,754,0,1689,593,392,0,985,927,0,15,941,19,2,0,0,0,0,1,0,1,3,1,0,2,985
136,"LAXMIBAI JUNIOR HIGH SCHOOL KHAIR ROAD R.N 1",653,533,0,1186,307,201,0,508,355,0,5,482,16,1,1,0,0,0,1,0,0,2,0,0,0,508
137,"LAXMIBAI JUNIOR HIGH SCHOOL KHAIR ROAD R.N 2",822,609,0,1431,425,195,0,620,499,0,11,573,17,6,0,0,0,0,3,1,1,5,1,2,0,620
138,"SUBHASH JO.HI.SCHOOL KHAIR ROAD R.N 6",542,452,0,994,294,184,0,478,329,0,5,415,39,1,0,1,0,0,1,0,4,5,1,2,4,478
139,"SUBHASH JO.HI.SCHOOL KHAIR ROAD R.N 7",533,448,0,981,245,129,0,374,370,0,4,319,33,7,0,0,0,0,4,0,1,2,0,0,4,374
140,"SUBHASH JO.HI. SCHOOL KHAIR ROAD R.N 8",1079,784,0,1863,442,251,0,693,631,0,7,653,15,3,2,0,0,0,1,0,2,4,1,2,3,693
