"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMEETA SINGH","2 - PAWAN PANDEY","3 - FEROZE VARUN GANDHI","4 - SHAKEEL AHMED","5 - GIRISH LAL","6 - DR. NAFEES AHMAD","7 - PITAMBAR NISHAD","8 - RAM MILAN","9 - MOHD SHAMIM","10 - SHIV SHANKAR","11 - SHAILENDRA PRATAP SINGH","12 - SARTAJ KHAN","13 - BRIJESH KUMAR","14 - VARUN GANDHI","15 - VIJAY","16 - None of the Above","Total Votes Secured"
88,"P.P. RANIPUR KAYASTH KATCH NO. 2",304,278,0,582,163,149,0,312,303,0,16,131,147,10,1,1,0,1,1,0,1,0,1,1,0,1,312
89,"P.P. DAULATPUR",493,438,0,931,268,296,0,564,406,0,10,225,167,123,1,1,0,0,0,2,5,2,11,5,7,5,564
90,"P.P. GOPALPUR NAMAJGARH KATCH NO. 1",632,507,0,1139,291,290,0,581,580,0,31,71,242,189,1,4,0,0,2,4,22,3,3,7,2,0,581
91,"P.P. GOPALPUR NAMAJGARH KATCH NO. 2",533,453,0,986,318,225,0,543,543,0,21,181,291,31,0,0,0,0,0,0,6,1,3,6,2,1,543
92,"P.P. BANKEGAV KATCH NO. 1",508,475,0,983,265,267,0,532,515,0,39,78,283,120,1,2,0,0,0,1,2,0,0,4,2,0,532
93,"P.P. BANKEGAV KATCH NO. 2",358,302,0,660,212,217,0,429,428,0,4,165,91,143,1,1,0,0,0,1,2,1,2,7,4,7,429
94,"P.P. BANKEGAV KATCH NO. 3",524,488,0,1012,314,320,0,634,634,0,5,167,328,108,7,5,2,1,1,0,2,0,0,5,2,1,634
95,"P.P. BANKEGAV KATCH NO. 4",382,316,2,700,221,207,0,428,428,0,7,129,215,44,1,1,1,1,0,1,2,1,5,11,4,5,428
96,"P.P. BANKEGAV KATCH NO. 5",771,720,0,1491,553,422,0,975,975,0,30,409,428,73,3,2,0,1,0,2,1,3,2,13,3,5,975
97,"P.P. MITHANEPUR KATCH NO. 1",684,551,0,1235,356,354,0,710,710,0,13,273,207,183,6,2,0,2,0,0,2,2,5,5,3,7,710
98,"P.P. MITHANEPUR KATCH NO. 2",485,434,0,919,352,232,0,584,584,0,16,198,256,85,0,0,1,2,1,0,0,3,12,4,3,3,584
