"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR PUSHPENDRA SINGH CHANDEL","2 - PRITAM SINGH LODHI","3 - BISHAMBHAR PRASAD NISHAD","4 - RAKESH KUMAR GOSWAMI","5 - ATUL KUMAR PRAJAPATI","6 - ANIL KUMAR","7 - AVINASH KUMAR MISHRA","8 - KAILASH PRASAD NISHAD","9 - RAMESH PRAJAPATI","10 - RAMSAJIVAN","11 - VIVEK KUMAR","12 - SHRIPAL","13 - KIRAN","14 - PRAVESH KUMAR VYAS","15 - VIMLESH","16 - None of the Above","Total Votes Secured"
351,"G.P.S. S.B. CHARKHARI ROOM NO.-1",582,478,0,1060,352,236,0,588,456,0,173,70,132,177,4,3,5,0,1,0,2,5,3,1,9,3,588
352,"G.P.S. S.B. CHARKHARI ROOM NO-2",447,405,0,852,210,174,0,384,379,0,44,52,198,79,1,2,0,0,0,0,2,2,0,1,3,0,384
353,"G.G.S.I.C. CHARKHARI N.P.-1",524,466,0,990,297,260,0,557,533,0,121,51,202,155,2,0,3,0,0,1,2,0,0,2,14,4,557
354,"G.G.S.I.C. CHARKHARI ROOM NO-2",607,558,0,1165,356,298,0,654,652,0,224,33,246,134,1,0,0,0,0,1,1,1,0,0,9,4,654
355,"G.G.S.I.C. CHARKHARI ROOM NO-3",597,477,0,1074,314,241,0,555,408,0,239,7,225,65,0,4,3,2,1,0,2,1,0,1,2,3,555
356,"P.S.J.G.K. CHARKHARI ROOM NO-1",547,490,0,1037,315,295,0,610,190,0,178,10,104,283,1,3,3,1,0,3,3,3,2,7,4,5,610
357,"P.S.J.G.K. CHARKHARI ROOM NO-2",417,335,0,752,201,153,0,354,302,0,155,4,116,53,4,3,3,2,0,0,1,0,0,3,8,2,354
358,"P.S.RAMNAGAR, CHARKHARI",373,306,0,679,221,164,0,385,385,0,136,37,65,121,1,4,2,0,1,2,5,2,2,2,2,3,385
359,"U.P.S. JAYANTIDEVI AMARGANJ, CHARKHARI ROOM NO-1",650,547,0,1197,385,331,0,716,678,0,302,30,213,138,5,0,5,0,0,0,3,1,1,5,8,5,716
360,"U.P.S. JAYANTIDEVI AMARGANJ, CHARKHARI ROOM NO-2",567,518,0,1085,345,273,0,618,436,0,267,18,262,51,5,2,1,1,0,0,1,1,0,3,2,4,618
361,"P.S. KURAURADANG",503,434,0,937,357,284,0,641,641,0,299,25,147,125,3,4,4,2,1,3,4,4,6,2,5,7,641
362,"P.S. FATEHPUR",270,234,0,504,197,173,0,370,363,0,76,7,129,141,1,1,1,0,0,3,2,0,1,1,1,6,370
363,"P.S. BHAISAI",195,179,0,374,139,121,0,260,259,0,144,18,24,48,11,0,1,0,0,1,4,0,2,3,1,3,260
364,"P.S. BAGRAUN",516,447,0,963,319,241,0,560,559,0,207,6,160,127,16,3,4,1,1,0,6,5,2,4,8,10,560
365,P.M.V.BAGRAUN,483,415,0,898,379,253,0,632,623,0,400,39,135,16,2,10,8,0,1,0,1,0,2,0,12,6,632
366,"N.P.S. ASTHAUN",544,475,0,1019,332,263,0,595,594,0,294,44,83,133,14,2,4,4,0,1,1,3,1,3,2,6,595
367,"P.M.V. ASTHAUN",337,290,0,627,231,178,0,409,40,0,184,17,113,16,65,0,1,0,0,0,0,1,4,0,4,4,409
368,"P.S. BAMHAURIBELDARAN",581,494,0,1075,392,293,0,685,685,0,298,82,48,222,6,2,2,1,1,1,5,1,0,1,8,7,685
369,"P.M.V. SOOPA ROOM NO-1",648,519,0,1167,413,304,0,717,506,0,415,137,75,55,6,4,2,1,0,1,1,3,4,0,5,8,717
370,"P.M.V. SOOPA ROOM NO-2",739,599,0,1338,403,277,0,680,677,0,226,42,181,190,4,6,2,2,1,3,4,2,6,3,2,6,680
371,"G.P.M.V. SOOPA ROOM NO-1",621,514,0,1135,394,266,0,660,652,0,304,49,68,183,5,2,7,2,0,1,3,3,5,4,4,20,660
372,"G.P.M.V. SOOPA ROOM NO-2",639,512,0,1151,376,267,0,643,639,0,340,21,65,170,25,8,5,0,0,1,0,1,0,0,0,7,643
373,"G.P.S. SOOPA",691,543,0,1234,382,296,0,678,667,0,383,14,79,169,2,1,1,1,1,2,2,2,3,1,1,16,678
374,"P.S. SALAT",650,523,0,1173,343,282,0,625,587,0,271,24,89,162,4,4,6,3,2,1,9,8,6,4,5,27,625
375,"U.P.S. SALAT",467,404,0,871,272,230,0,502,302,0,100,21,160,186,13,5,4,3,1,0,2,2,0,1,3,1,502
376,"G.P.S. SWASAMAF",747,620,1,1368,463,335,0,798,798,0,451,13,188,97,4,9,1,2,1,0,8,0,2,4,6,12,798
377,"N.P.M.V. TOLASOYAM",616,442,0,1058,365,279,0,644,630,0,301,9,115,177,3,5,2,0,3,0,4,1,0,3,6,15,644
378,"P.S. NAREDI",358,313,0,671,264,199,0,463,463,0,319,8,84,19,1,4,2,1,2,1,3,2,2,5,4,6,463
379,"P.S. BALCHAUR",384,335,0,719,293,233,0,526,190,0,242,5,45,205,3,1,0,1,0,0,5,1,5,5,2,6,526
