"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR PUSHPENDRA SINGH CHANDEL","2 - PRITAM SINGH LODHI","3 - BISHAMBHAR PRASAD NISHAD","4 - RAKESH KUMAR GOSWAMI","5 - ATUL KUMAR PRAJAPATI","6 - ANIL KUMAR","7 - AVINASH KUMAR MISHRA","8 - KAILASH PRASAD NISHAD","9 - RAMESH PRAJAPATI","10 - RAMSAJIVAN","11 - VIVEK KUMAR","12 - SHRIPAL","13 - KIRAN","14 - PRAVESH KUMAR VYAS","15 - VIMLESH","16 - None of the Above","Total Votes Secured"
123,"P.S. HAIWATPURA KHANGARAN",386,320,0,706,227,224,0,451,447,0,220,17,100,76,2,2,1,1,1,0,4,3,2,3,4,15,451
124,"P.S. MASOODPURA",778,652,0,1430,516,392,0,908,702,0,517,230,36,87,2,2,3,1,1,2,5,1,0,0,10,11,908
125,"P.S. NEKPURA",489,372,0,861,308,220,0,528,456,0,191,157,95,61,1,1,0,0,1,0,3,4,2,2,7,3,528
126,"P.M.V.. SILALPURA",453,377,0,830,385,295,0,680,679,0,21,3,589,29,2,3,0,0,0,0,3,2,3,2,21,2,680
127,"G.P.S. NAGARAGHAT",484,365,0,849,315,202,0,517,223,0,293,68,60,47,5,3,0,1,1,0,6,2,1,4,12,14,517
128,"P.S. NAGARAGHAT",529,411,0,940,289,183,0,472,112,0,236,57,100,57,3,4,2,0,0,1,2,0,0,2,8,0,472
129,"P.S. LIDHAURAKHURD",463,383,0,846,325,264,0,589,88,0,190,153,42,158,2,2,3,1,1,4,5,2,6,3,5,12,589
130,"P.S. BUDHERO",565,426,0,991,284,171,0,455,430,0,224,92,16,95,3,3,0,1,0,1,3,8,0,1,5,3,455
131,"P.M.V. BUDHERO",636,465,0,1101,413,258,0,671,8,0,254,212,43,112,2,5,2,1,2,1,7,2,5,3,11,9,671
132,"P.S. LAULARA",298,226,0,524,174,120,0,294,288,0,105,4,62,103,1,1,3,0,0,1,3,2,2,3,3,1,294
133,"P.M.V. ALIPURA",435,344,0,779,300,214,0,514,513,0,312,77,33,64,1,2,6,0,0,0,5,3,0,1,4,6,514
134,"P.S. BAINDO",403,331,0,734,271,176,0,447,447,0,119,9,57,238,3,5,3,0,0,1,3,0,2,1,2,4,447
135,"G.U.M.V.. BAINDO R.NO-1",539,453,0,992,279,209,0,488,174,0,283,21,107,48,1,3,4,0,0,1,3,1,1,1,4,10,488
136,"G.U.M.V.. BAINDO R.NO-2",520,432,0,952,287,224,0,511,509,0,427,2,41,18,1,1,2,1,0,0,1,1,1,1,1,13,511
137,"P.S. MARAGPURA",165,161,0,326,106,99,0,205,205,0,7,2,149,35,0,0,1,0,0,1,1,0,1,2,4,2,205
138,"P.S. GARRAULI",294,241,0,535,164,122,0,286,263,0,143,4,68,58,1,1,0,0,0,0,1,1,0,0,0,9,286
139,"P.S. CHACHARI",243,203,0,446,137,119,0,256,253,0,68,7,137,29,0,1,1,2,0,0,2,0,3,3,2,1,256
140,"P.S. JAGPURA BUJURG",141,118,0,259,68,55,0,123,118,0,70,1,4,40,0,1,2,0,1,0,1,0,2,0,0,1,123
141,"P.S. RURI KHURD",199,176,0,375,133,123,0,256,252,0,60,4,91,90,2,0,1,0,0,0,3,0,2,2,0,1,256
142,"P.M.V. KOTRA R.NO-1",431,359,0,790,282,215,0,497,485,0,43,30,200,125,0,1,1,1,1,0,2,4,1,3,80,5,497
