"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - KUNWAR RATANJIT PRATAP NARAIN SINGH","2 - RAJESH PANDEY URF GUDDU","3 - RADHE SHYAM SINGH","4 - DR. SANGAM MISHRA","5 - AKHAND","6 - AMEERUDDIN","7 - ARVIND","8 - KASHEEM ALI","9 - GOBARDHAN PRASAD","10 - JAHID","11 - BACHCHOOLAAL","12 - MARKANDE","13 - RAMDHANEE","14 - RAMPRATAP","15 - None of the Above","Total Votes Secured"
23,"PRIMARY SCHOOL PARWARPAR TOLA BANKATA ROOM NO 3",474,400,0,874,217,187,0,404,100,0,130,149,104,11,0,2,0,1,0,0,0,1,4,1,1,404
24,"PRIMARY SCHOOL PARWARPAR TOLA BANKATA ROOM NO 4",536,430,1,967,276,235,0,511,93,0,106,108,110,169,1,3,5,2,0,1,2,1,1,0,2,511
25,"PRIMARY SCHOOL PARWARPAR TOLA BANKATA",608,526,0,1134,340,348,0,688,88,0,185,364,87,18,1,2,3,1,1,1,1,10,6,2,6,688
26,"PRIMARY SCHOOL SOHASA MATHIYA ROOM NO 1",439,396,0,835,256,221,0,477,77,0,74,139,72,175,0,2,5,1,0,0,1,1,2,3,2,477
27,"PRIMARY SCHOOL SOHASA MATHIYA ROOM NO 2",411,408,0,819,230,189,0,419,100,0,60,193,99,57,2,1,0,0,0,0,0,0,3,1,3,419
28,"PRIMARY SCHOOL SOHASA PATTI GAUSHI",481,376,0,857,237,195,0,432,157,0,76,210,68,58,3,1,0,1,0,0,1,3,3,1,7,432
29,"PRIMARY SCHOOL TEKUATAR ROOM NO 1",636,493,0,1129,326,274,0,600,92,0,194,152,198,48,2,1,1,0,2,0,0,0,0,0,2,600
30,"PRIMARY SCHOOL TEKUATAR ROOM NO 2",282,260,0,542,121,97,0,218,166,0,53,98,39,25,0,0,0,0,1,1,0,0,0,0,1,218
31,"PRIMARY SCHOOL TEKUATAR ROOM NO 3",592,465,0,1057,321,245,0,566,13,0,30,397,117,10,0,2,2,1,1,0,0,0,3,2,1,566
32,"PRIMARY SCHOOL TEKUATAR ROOM NO 4",506,383,0,889,232,201,0,433,33,0,46,210,141,25,2,0,1,0,1,0,0,2,3,0,2,433
33,"DULHIN JAGARNATH KUWARI JUNIYAR HIGH SCHOOL TEKUATAR ROOM NO 1",433,305,0,738,201,190,0,391,10,0,137,120,104,9,0,3,1,6,0,0,1,0,1,1,8,391
34,"DULHIN JAGARNATH KUWARI JUNIYAR HIGH SCHOOL TEKUATAR ROOM NO 2",516,394,1,911,270,236,0,506,500,0,167,199,82,29,1,1,2,8,0,0,1,5,3,3,5,506
35,"DULHIN JAGARNATH KUWARI JUNIYAR HIGH SCHOOL TEKUATAR ROOM NO 3",627,470,0,1097,296,288,0,584,4,0,232,85,197,30,0,1,2,14,1,0,1,6,5,2,8,584
36,"DULHIN JAGARNATH KUWARI JUNIYAR HIGH SCHOOL TEKUATAR ROOM NO 4",392,296,0,688,169,178,0,347,347,0,94,155,80,6,1,1,0,2,0,0,0,1,0,2,5,347
37,"DULHIN JAGARNATH KUWARI JUNIYAR HIGH SCHOOL TEKUATAR ROOM NO 5",666,501,0,1167,292,317,0,609,3,0,300,123,84,75,0,2,0,7,2,0,1,4,3,2,6,609
38,"PRIMARY SCHOOL KATHAGHARHI",681,589,0,1270,337,338,0,675,270,0,146,282,85,116,6,4,1,0,2,3,0,3,4,11,12,675
39,"PRIMARY SCHOOL RAMBAR BUJURG ROOM NO 1",723,561,0,1284,403,277,0,680,600,0,188,265,128,50,1,6,5,3,2,2,2,7,6,6,9,680
40,"PRIMARY SCHOOL RAMBAR BUJURG ROOM NO 2",252,187,0,439,114,100,0,214,13,0,29,152,18,5,2,1,0,1,0,2,2,0,0,0,2,214
41,"PRIMARY SCHOOL RAMBAR BUJURG ROOM NO 3",404,277,0,681,163,115,0,278,67,0,37,129,60,32,2,2,0,1,0,0,1,2,1,2,9,278
42,"PRIMARY SCHOOL RAMBAR BUJURG ROOM NO 4",537,451,0,988,300,244,0,544,538,0,137,166,146,52,3,3,3,0,2,3,0,5,4,5,15,544
43,"PRIMARY SCHOOL KURAHWA ROOM NO 1",568,423,0,991,279,268,0,547,145,0,204,124,143,23,5,7,1,18,2,1,2,0,3,2,12,547
44,"PRIMARY SCHOOL KURAHWA ROOM NO 2",443,402,0,845,114,271,0,385,83,0,144,172,42,8,2,0,1,6,0,1,3,2,0,2,2,385
45,"PRIMARY SCHOOL KURAHWA ROOM NO 3",446,323,0,769,224,184,0,408,6,0,102,173,22,94,1,0,5,0,0,0,0,0,1,6,4,408
46,"PRIMARY SCHOOL KURAHWA ROOM NO 4",535,434,0,969,229,228,0,457,50,0,95,184,35,116,3,1,8,3,0,0,2,4,1,4,1,457
47,"PRIMARY SCHOOL GOBARAHI",361,316,0,677,172,198,0,370,65,0,123,127,81,19,1,0,1,0,0,0,1,2,3,1,11,370
48,"PRIMARY SCHOOL PAREWATAR FARIDPUR ROOM NO 1",610,568,0,1178,349,391,0,740,100,0,220,268,103,126,2,2,1,2,1,0,0,4,9,1,1,740
49,"PRIMARY SCHOOL PAREWATAR FARIDPUR ROOM NO 2",710,620,0,1330,368,446,0,814,14,0,289,202,304,0,2,1,0,1,1,2,1,0,2,1,8,814
50,"PRIMARY SCHOOL CHEGAUNA SUMALI",652,531,0,1183,347,253,0,600,102,0,125,337,54,51,1,5,3,3,0,0,0,1,4,7,9,600
51,"PRIMARY SCHOOL MAHUI BUJURG ROOM NO 1",748,556,0,1304,347,289,0,636,70,0,400,157,50,7,5,3,2,0,1,0,2,1,1,0,7,636
52,"PRIMARY SCHOOL MAHUI BUJURG ROOM NO 2",331,329,0,660,166,162,0,328,28,0,139,89,26,61,2,1,0,0,0,0,1,0,2,0,7,328
53,"PRIMARY SCHOOL PARSAUNA BUJURG ROOM NO 1",536,451,0,987,269,228,0,497,50,0,113,272,6,78,2,3,6,1,0,0,4,2,4,4,2,497
54,"PRIMARY SCHOOL PARSAUNA BUJURG ROOM NO 2",457,366,0,823,217,137,0,354,199,0,51,233,13,41,1,1,1,0,0,0,0,0,5,4,4,354
55,"PRIMARY SCHOOL NAYA BHAWAN BAIDOLI MAHUADIH ROOM NO 1",771,602,0,1373,400,351,0,751,50,0,71,423,30,150,2,6,16,4,3,4,5,6,12,10,9,751
56,"PRIMARY SCHOOL NAYA BHAWAN BAIDOLI MAHUADIH ROOM NO 2",419,326,0,745,180,164,0,344,100,0,90,172,41,12,1,2,6,3,0,0,1,2,3,4,7,344
57,"PRIMARY SCHOOL MAHUADIH LAUNGRAPUR ROOM NO 1",552,426,0,978,324,256,0,580,80,0,184,283,46,40,0,2,2,4,1,2,1,3,5,3,4,580
58,"PRIMARY SCHOOL MAHUADIH LAUNGRAPUR ROOM NO 2",596,456,0,1052,300,277,0,577,177,0,195,174,87,102,1,3,2,1,2,1,0,2,1,2,4,577
59,"PRIMARY SCHOOL AMARPUR",384,319,0,703,193,201,0,394,25,0,120,164,52,36,1,0,0,1,1,0,2,2,1,5,9,394
60,"PRIMARY SCHOOL NAIKA CHAPARA",668,570,0,1238,343,313,0,656,56,0,366,112,28,111,5,0,1,1,11,3,0,2,3,2,11,656
61,"PRIMARY SCHOOL PIPARI",702,577,0,1279,356,310,0,666,10,0,300,228,39,65,8,3,2,1,1,1,1,3,5,3,6,666
62,"PRIMARY SCHOOL PARASKHAND ROOM NO 1",605,496,0,1101,304,233,0,537,437,0,121,251,51,85,2,3,2,0,0,2,0,0,3,5,12,537
63,"PRIMARY SCHOOL PARSHKHAND ROOM NO 2",567,425,0,992,276,240,0,516,99,0,53,266,81,95,2,5,2,1,1,0,0,2,3,3,2,516
64,"PRIMARY SCHOOL JUDWANIYA",243,219,0,462,157,134,0,291,241,0,111,90,35,54,0,0,0,0,0,0,0,0,1,0,0,291
65,"PRIMARY SCHOOL TURKWALIYA",403,308,0,711,275,210,0,485,400,0,28,68,376,10,0,0,0,0,0,0,0,0,2,0,1,485
66,"PRIMARY SCHOOL BHARWALIYA",649,614,0,1263,345,323,0,668,200,0,285,292,39,19,14,1,2,1,0,1,1,2,4,2,5,668
67,"JUNIYAR HIGH SCHOOL NARKATIYA",655,642,0,1297,281,387,0,668,60,0,143,394,12,77,6,2,0,1,4,2,2,1,7,6,11,668
68,"HARIJAN PRIMARY SCHOOL MADARHA",422,355,0,777,234,222,0,456,150,0,284,100,31,30,2,0,1,1,1,2,0,1,1,0,2,456
69,"PRIMARY SCHOOL MAHUI KHURD",429,337,0,766,211,184,0,395,95,0,210,107,38,23,0,1,1,0,0,1,1,3,4,1,5,395
70,"PRIMARY SCHOOL PARSAUNI",344,285,0,629,220,103,0,323,20,0,40,242,19,9,1,1,0,0,1,1,1,0,2,4,2,323
71,"PRIMARY SCHOOL BHATHI BABU",776,698,0,1474,425,431,0,856,56,0,120,546,79,56,1,3,2,2,3,3,2,4,3,9,23,856
72,"JUNIYAR HIGH SCHOOL BHATHI RAJA",462,407,0,869,250,235,0,485,50,0,76,300,39,49,1,4,1,0,0,2,0,2,3,4,4,485
73,"PRIMARY SCHOOL DUMARI CHURAMAN CHAPRA",476,372,0,848,249,243,0,492,7,0,174,258,23,28,0,0,1,0,1,0,1,3,2,1,0,492
74,"PRIMARY SCHOOL KHADDA",498,413,0,911,230,256,0,486,388,0,151,228,27,57,5,8,0,1,0,0,0,1,2,2,4,486
75,"PRIMARY SCHOOL PATYA ROOM NO 1",470,367,0,837,227,195,0,422,21,0,184,105,124,1,1,1,0,2,1,0,1,0,2,0,0,422
76,"PRIMARY SCHOOL PATYA ROOM NO 2",486,393,0,879,185,222,0,407,100,0,246,29,86,30,1,0,0,6,2,0,1,1,0,0,5,407
77,"PRIMARY SCHOOL PATYA ROOM NO 3",568,475,0,1043,234,283,0,517,17,0,363,57,90,1,0,0,0,3,0,0,0,0,0,0,3,517
78,"PRIMARY SCHOOL PATYA ROOM NO 4",294,244,0,538,160,92,0,252,252,0,14,196,5,17,0,1,1,0,2,0,0,2,5,7,2,252
79,"PRIMARY SCHOOL AHIRAULI RAJA ROOM NO 1",561,401,0,962,279,229,0,508,51,0,148,276,41,30,5,0,2,1,0,0,0,1,1,0,3,508
80,"PRIMARY SCHOOL AHIRAULI RAJA ROOM NO 2",368,305,0,673,244,167,0,411,10,0,129,202,22,48,2,0,0,1,0,1,0,1,2,0,3,411
81,"PRIMARY SCHOOL AHIRAULI RAI",725,581,0,1306,419,274,0,693,290,0,276,285,26,72,1,6,2,3,2,0,2,0,4,3,11,693
82,"PRIMARY SCHOOL CHARANHA",641,494,0,1135,404,345,0,749,50,0,221,422,4,69,0,2,1,3,1,0,2,4,6,7,7,749
83,"PRIMARY SCHOOL NAKAHNI",411,321,0,732,223,221,0,444,144,0,113,239,29,56,2,2,0,0,1,0,0,0,1,0,1,444
84,"PRIMARY SCHOOL PARSAHWA",730,527,0,1257,440,289,0,729,129,0,98,372,162,72,4,5,4,1,0,0,4,1,3,1,2,729
85,"PRIMARY SCHOOL KACHUIYA SUMALI ROOM NO 1",549,468,0,1017,305,272,0,577,271,0,92,200,186,84,1,2,4,0,3,1,2,0,1,0,1,577
86,"PRIMARY SCHOOL KACHUIYA SUMALI ROOM NO  2",296,228,0,524,173,130,0,303,53,0,12,157,89,25,0,0,1,0,18,0,0,0,1,0,0,303
87,"JUNIYAR HIGH SCHOOL NATWALIYA",531,471,1,1003,287,215,0,502,102,0,7,144,258,74,0,2,2,0,1,1,1,2,6,1,3,502
88,"PRIMARY SCHOOL CHIUTHA",401,370,0,771,209,199,0,408,60,0,68,200,97,27,0,2,0,0,1,2,0,2,3,1,5,408
89,"PRIMARY SCHOOL CHIRGODA",769,595,0,1364,401,360,0,761,40,0,225,205,137,163,1,4,3,0,0,1,0,1,5,6,10,761
90,"PRIMARY SCHOOL RAMPUR PATTI",578,442,0,1020,347,265,0,612,612,0,96,105,154,245,2,2,4,0,0,0,2,0,1,0,1,612
91,"PRIMARY SCHOOL BHAISAHI",810,653,0,1463,496,412,0,908,108,0,166,456,95,138,6,4,3,2,2,0,3,9,1,4,19,908
92,"PRIMARY SCHOOL BAKANHA",719,617,0,1336,388,405,0,793,450,0,185,366,86,109,2,1,1,1,2,1,2,5,8,10,14,793
93,"PRIMARY SCHOOL TURKWALIYA DARIYAO SINGH",497,430,0,927,288,256,0,544,544,0,298,175,14,30,2,0,2,4,1,1,1,2,5,4,5,544
94,"PRIMARY SCHOOL SISWA MATHIYA ROOM NO 1",565,431,0,996,319,287,0,606,50,0,113,206,191,63,2,3,1,3,0,4,1,4,11,2,2,606
95,"PRIMARY SCHOOL SISWA MATHIYA ROOM NO 2",604,522,0,1126,377,340,0,717,51,0,119,236,235,79,4,0,0,3,2,2,6,3,9,5,14,717
96,"PRIMARY SCHOOL SUGAHI",451,367,0,818,285,248,0,533,32,0,40,327,96,53,2,3,3,1,0,1,0,0,0,5,2,533
97,"PRIMARY SCHOOL DHARMPUR KHURD",686,583,0,1269,423,345,0,768,50,0,198,330,184,9,2,6,0,1,1,2,4,1,10,9,11,768
98,"PRIMARY SCHOOL NADAH ROOM NO 1",807,640,2,1449,411,383,0,794,90,0,391,267,32,55,5,2,4,2,4,2,2,1,7,4,16,794
99,"PRIMARY SCHOOL NADAH ROOM NO 2",792,594,0,1386,384,330,0,714,714,0,394,157,13,113,2,2,3,0,1,2,2,4,3,4,14,714
100,"PRIMARY SCHOOL MATHIYA KHURD",414,342,0,756,236,186,0,422,382,0,29,156,182,31,0,2,1,0,1,1,1,2,10,4,2,422
101,"PRIMARY SCHOOL KARAHIYA HAJARI PATTI",715,516,0,1231,381,318,0,699,199,0,123,206,206,140,3,3,3,0,1,2,2,3,3,1,3,699
102,"PRIMARY SCHOOL SOHNARIYA ROOM NO 1",410,371,0,781,211,241,0,452,448,0,179,157,83,12,2,4,2,0,0,2,0,1,4,1,5,452
103,"PRIMARY SCHOOL SOHNARIYA ROOM NO 2",537,414,0,951,270,264,0,534,26,0,135,97,184,47,1,2,2,3,1,40,0,3,6,2,11,534
104,"PRIMARY SCHOOL DHARMPUR KHURD",220,179,0,399,126,116,0,242,199,0,17,76,79,57,1,2,0,0,0,1,0,1,1,2,5,242
105,"PRIMARY SCHOOL DUMARBHAR ROOM NO 1",895,641,1,1537,480,339,0,819,19,0,193,395,63,118,0,4,5,0,3,11,0,4,10,5,8,819
106,"PRIMARY SCHOOL DUMARBHAR ROOM NO 2",860,616,1,1477,501,372,0,873,400,0,345,238,53,200,4,3,1,7,2,6,1,3,2,2,6,873
107,"PRIMARY SCHOOL DHARMPUR BUJURG ROOM NO 1",572,471,0,1043,291,263,0,554,343,0,167,257,114,5,1,0,1,0,0,2,0,1,3,1,2,554
108,"PRIMARY SCHOOL DHARMPUR BUJURG ROOM NO 2",697,543,0,1240,386,343,0,729,29,0,329,224,29,112,1,2,2,3,1,3,2,4,6,2,9,729
109,"PRIMARY SCHOOL SADI KHURD ROOM NO 1",501,405,0,906,278,274,0,552,38,0,192,300,41,10,1,0,3,0,0,0,0,1,1,1,2,552
110,"PRIMARY SCHOOL SADI KHURD ROOM NO 2",431,322,0,753,262,233,0,495,91,0,241,168,69,9,0,0,1,0,0,0,2,1,1,1,2,495
111,"PRIMARY SCHOOL SADI KHURD ROOM NO 3",211,188,0,399,124,104,0,228,28,0,136,35,45,0,1,1,0,0,0,1,1,0,3,2,3,228
112,"PRIMARY SCHOOL SADI BUJURG ROOM NO 1",606,479,0,1085,312,292,0,604,279,0,207,316,27,43,1,0,0,0,0,1,1,5,1,0,2,604
113,"PRIMARY SCHOOL SADI BUJURG ROOM NO 2",161,164,0,325,89,74,0,163,36,0,26,57,18,58,2,0,0,0,0,0,0,0,0,1,1,163
114,"PRIMARY SCHOOL SIDHUWA BANGAR BHATH ROOM NO 1",610,495,0,1105,356,285,0,641,240,0,154,278,103,52,1,3,4,1,0,19,3,10,2,6,5,641
115,"PRIMARY SCHOOL SIDHUWA BANGAR BHATH ROOM NO 2",596,450,0,1046,318,313,0,631,207,0,280,276,28,35,1,0,2,0,1,0,2,2,3,0,1,631
116,"PRIMARY SCHOOL TADWA",533,387,0,920,274,229,0,503,1,0,99,130,176,70,4,0,2,1,2,1,2,7,4,2,3,503
117,"PRIMARY SCHOOL HARAIYA KHURD",365,317,0,682,195,219,0,414,410,0,146,187,6,36,7,4,1,3,0,1,0,6,3,4,10,414
118,"PRIMARY SCHOOL HARAIYA BUJURG ROOM NO 1",546,462,0,1008,299,282,0,581,51,0,279,230,34,10,0,2,1,2,0,1,1,1,7,4,9,581
119,"PRIMARY SCHOOL HARAIYA BUJURG ROOM NO 2",682,536,0,1218,327,326,0,653,51,0,299,103,124,95,3,2,7,3,2,2,0,6,2,0,5,653
120,"PRIMARY SCHOOL BARHAJ ROOM NO 1",721,571,0,1292,332,295,0,627,27,0,220,226,52,97,10,2,2,3,1,1,3,4,2,2,2,627
121,"PRIMARY SCHOOL BARHAJ ROOM NO 2",385,304,0,689,147,167,0,314,202,0,135,84,16,54,0,2,1,3,0,2,0,6,5,2,4,314
122,"PRIMARY SCHOOL KALYAN CHAPAR ROOM NO 1",728,542,1,1271,415,400,0,815,95,0,504,227,20,29,3,1,1,0,4,3,1,3,5,2,12,815
123,"PRIMARY SCHOOL KALYAN CHAPAR ROOM NO 2",606,459,0,1065,295,272,0,567,66,0,296,143,11,95,2,1,2,2,1,1,1,2,3,1,6,567
124,"PRIMARY SCHOOL PIPRASHI",677,537,1,1215,353,331,0,684,84,0,257,349,11,49,1,0,1,0,1,2,0,2,5,4,2,684
125,"PRIMARY SCHOOL BADHWALIYA KHURD",622,518,0,1140,354,340,0,694,124,0,251,312,15,83,1,0,0,7,0,1,1,5,1,7,10,694
126,"PRIMARY SCHOOL GANGAOLI ROOM NO 1",620,511,0,1131,305,309,0,614,614,0,305,243,34,5,0,2,0,11,1,0,2,2,0,5,4,614
127,"PRIMARY SCHOOL GANGAOLI ROOM NO 2",240,183,0,423,106,100,0,206,6,0,54,120,12,13,0,1,0,0,0,1,0,0,2,2,1,206
128,"PRIMARY SCHOOL HORLAPUR ROOM NO 1",441,352,0,793,200,192,0,392,3,0,67,196,22,65,1,1,12,0,1,0,0,20,0,3,4,392
129,"PRIMARY SCHOOL HORLAPUR ROOM NO 2",317,243,0,560,172,147,0,319,18,0,146,124,19,18,0,1,0,0,0,0,0,2,6,0,3,319
130,"JUNIYAR HIGH SCHOOL DEORIA",183,170,0,353,93,111,0,204,190,0,128,16,12,26,1,0,1,0,0,0,0,19,0,0,1,204
131,"PRIMARY SCHOOL BADHWALIYA BUJURG",521,430,0,951,272,260,0,532,14,0,89,354,18,42,0,4,4,2,7,1,3,4,1,2,1,532
132,"PRIMARY SCHOOL PAKADI KHURD",579,440,0,1019,324,268,0,592,582,0,162,208,199,5,2,2,1,3,1,0,3,2,2,1,1,592
133,"PRIMARY SCHOOL BELAHI",550,454,0,1004,329,294,0,623,23,0,79,415,15,83,2,1,4,7,2,3,1,4,5,1,1,623
134,"PRIMARY SCHOOL RASULPUR",241,224,0,465,158,149,0,307,50,0,157,114,8,17,2,1,0,0,0,0,1,1,0,1,5,307
135,"PRIMARY SCHOOL KASIA",341,299,0,640,199,195,0,394,100,0,146,175,29,22,2,1,1,0,2,1,0,5,4,1,5,394
136,"JUNIYAR HIGH SCHOOL GANGRANI ROOM NO 1",606,485,0,1091,301,284,0,585,181,0,382,159,18,7,1,0,0,0,1,1,2,2,6,1,5,585
137,"JUNIYAR HIGH SCHOOL GANGRANI ROOM NO 2",493,385,0,878,240,264,0,504,4,0,294,150,17,8,3,3,0,2,2,1,1,7,4,3,9,504
138,"PRIMARY SCHOOL PARSADPUR",642,547,0,1189,389,319,0,708,231,0,181,244,182,80,2,2,2,0,1,3,1,2,5,1,2,708
139,"PRIMARY SCHOOL MILKI",404,353,0,757,241,232,0,473,87,0,123,120,11,196,1,3,1,2,0,4,0,2,1,3,6,473
140,"PRIMARY SCHOOL RAHASU ROOM NO 1",587,500,0,1087,305,251,0,556,87,0,25,459,10,48,0,1,0,0,1,1,0,3,1,3,4,556
141,"PRIMARY SCHOOL RAHASU ROOM NO 2",222,182,1,405,104,96,0,200,200,0,21,147,7,19,0,2,0,0,0,1,1,0,1,0,1,200
142,"PRIMARY SCHOOL BASDILA",453,405,2,860,275,260,0,535,535,0,165,186,10,159,1,0,2,1,0,0,0,1,5,3,2,535
143,"PRIMARY SCHOOL DAMWATIYA",437,408,0,845,310,292,0,602,400,0,81,424,26,53,2,1,2,0,0,0,0,3,2,3,5,602
144,"PRIMARY SCHOOL BADGAO ROOM NO 1",625,468,0,1093,315,307,0,622,22,0,337,189,8,74,1,1,1,0,0,0,0,2,1,1,7,622
145,"PRIMARY SCHOOL BADGAO ROOM NO 2",689,534,0,1223,300,274,0,574,70,0,315,172,16,48,1,2,3,0,2,1,2,1,2,2,7,574
146,"PRIMARY SCHOOL BADGAO DHARMANGAR CHAPARA ROOM NO 1",777,577,0,1354,352,328,0,680,80,0,202,183,161,108,5,4,4,1,1,1,1,1,2,3,3,680
147,"PRIMARY SCHOOL BADGAO DHARMANGAR CHAPARA ROOM NO 2",506,400,0,906,255,229,0,484,28,0,249,155,23,48,0,1,2,0,1,0,1,0,2,2,0,484
148,"PRIMARY SCHOOL SAHAJWALIYA",601,477,1,1079,311,302,0,613,205,0,147,242,62,139,0,1,2,2,1,0,2,4,6,2,3,613
149,"JUNIYAR HIGH SCHOOL KOHARWALIYA ROOM NO 1",605,477,0,1082,313,300,0,613,12,0,191,309,69,9,3,1,2,1,3,1,0,12,5,3,4,613
150,"JUNIYAR HIGH SCHOOL KOHARWALIYA ROOM NO 2",404,323,0,727,218,169,0,387,360,0,114,234,23,5,1,2,1,0,0,0,0,2,0,1,4,387
151,"PRIMARY SCHOOL PIPRASUJAN",326,257,0,583,165,164,0,329,29,0,105,137,41,32,2,0,1,4,0,1,1,0,1,2,2,329
152,"PRIMARY SCHOOL ANHARIBARI",697,525,0,1222,357,328,0,685,85,0,274,241,36,113,5,1,3,1,3,1,0,2,2,0,3,685
153,"PRIMARY SCHOOL SINGHANJODI",860,681,2,1543,585,384,0,969,4,0,207,563,102,40,3,10,7,5,5,1,1,7,6,8,4,969
154,"PRIMARY SCHOOL MAHARANI",295,271,0,566,180,191,0,371,70,0,116,75,117,58,1,0,0,0,0,0,1,0,1,0,2,371
155,"PRIMARY SCHOOL PIPRA JATAMPUR ROOM NO 1",590,451,0,1041,282,249,0,531,30,0,164,267,39,20,2,3,2,6,1,5,2,3,4,5,8,531
156,"PRIMARY SCHOOL PIPRA JATAMPUR ROOM NO 2",359,244,0,603,199,120,0,319,319,0,163,128,7,1,2,3,2,1,0,0,0,0,3,4,5,319
157,"PRIMARY SCHOOL PIPRA JATAMPUR ROOM NO 3",863,679,0,1542,460,402,0,862,319,0,138,568,25,78,3,2,2,1,1,0,3,6,12,7,16,862
158,"JUNIYAR HIGH SCHOOL PIPRA JATAMPUR ROOM NO 1",873,639,0,1512,465,399,0,864,61,0,435,370,17,9,1,2,2,1,3,3,2,3,2,8,6,864
