"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - NEERAJ SHEKHAR","2 - BHARAT SINGH","3 - VIRENDRA KUMAR PATHAK","4 - SUDHA RAI","5 - AFZAL ANSARI","6 - AVADHESH VERMA","7 - COL RETD. BHARAT SINGH SHAURYA CHAKRA","8 - MANNU YADAV","9 - RAMJI","10 - RAMROOP","11 - SUCHIT GOND","12 - BHOLA NATH","13 - MANISH","14 - MANOJ","15 - SHESHNATH","16 - None of the Above","Total Votes Secured"
100,"RAVIDAS CHANDRIKA P.M.V.MARDANPUR",345,286,0,631,247,185,0,432,5,0,197,156,14,11,37,0,0,0,0,3,0,2,6,2,3,1,432
101,P.P.BADAURA(E.WING),517,440,0,957,280,224,0,504,500,0,50,223,120,5,83,2,1,0,0,4,1,0,4,3,4,4,504
102,P.P.BADAURA(W.WING),283,251,0,534,143,106,0,249,120,0,24,135,19,14,52,0,0,0,0,1,0,0,3,1,0,0,249
103,P.P.MAUJAPUR,440,383,0,823,381,253,0,634,2,0,401,9,185,1,37,0,0,0,0,0,0,0,0,0,0,1,634
104,"P.P.SURWAT (W.WING)",577,426,0,1003,380,189,0,569,69,0,127,248,12,6,147,1,3,0,0,12,0,3,4,2,1,3,569
105,"P.P.SURWAT (E.WING)",457,393,0,850,157,300,0,457,2,0,107,292,3,12,39,0,0,0,0,0,1,0,2,1,0,0,457
106,"P.P.SURWAT (N.WING)",429,347,0,776,239,206,0,445,2,0,77,75,214,7,60,2,1,0,0,4,1,0,1,2,0,1,445
107,"P.P.NASIRPUR MU.SURWAT",280,224,0,504,127,138,0,265,2,0,98,61,1,8,60,2,0,0,2,24,0,1,5,0,2,1,265
108,"DHARMDATT DULESARI MEMORIAL J.H.SCHOOL PALI (W.WING)",710,623,0,1333,450,250,0,700,2,0,29,457,135,6,49,0,0,0,2,1,0,2,2,10,4,3,700
109,"DHARMDATT DULESARI MEMORIAL J.H.SCHOOL PALI (C.WING)",674,541,0,1215,338,285,0,623,616,0,36,394,6,11,149,0,1,0,2,9,3,2,5,4,0,1,623
110,"DHARMDATT DULESARI MEMORIAL J.H.SCHOOL PALI (E.WING)",127,120,0,247,85,67,0,152,55,0,3,118,4,11,15,0,0,0,0,0,0,0,0,0,1,0,152
111,P.P.MOHAMMADPUR,659,534,0,1193,325,355,0,680,2,0,137,306,13,9,192,2,0,0,1,4,1,2,4,1,2,6,680
