"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - AMAR SINGH","2 - BABULAL","3 - RANI PAKSHALIKA SINGH","4 - SEEMA UPADHYAY","5 - ASHOK KUMAR","6 - PEETAM SINGH","7 - PITAM SINGH","8 - PANKAJ KUMAR SHARMA","9 - MANIK","10 - MUNNA LAL","11 - MEGH SINGH","12 - ROHAN SINGH","13 - LAXMI","14 - VIJAY SINGH KUSHWAHA","15 - ANIL KUMAR","16 - AMBEDKARI HASNURAM AMBEDKARI","17 - KHEMRAJ SINGH","18 - DIWAN SINGH","19 - NATHOLI","20 - BRAJENDR SINGH","21 - MAHAVIR SINGH SOLANKI","22 - RAKESH SINGH DHANKAR","23 - RAM KUMAR DIXIT","24 - RAM BRAJ YADAV","25 - SHOBHNA BAUDDHA","26 - SATISH KUMAR","27 - SANTOSH KUMAR","28 - SEEMA DEVI","29 - None of the Above","Total Votes Secured"
11,"PURVA MIDDLE SCHOOL TODRA R.NO.1",594,476,0,1070,422,263,0,685,209,0,4,453,162,25,0,1,0,2,0,0,2,0,3,5,2,0,1,5,1,0,0,0,2,0,1,4,5,5,2,685
12,"PURVA MIDDLE SCHOOL TODRA R.NO.2",546,423,0,969,341,219,0,560,206,0,2,265,234,22,1,0,0,5,0,0,0,0,1,1,6,2,2,3,5,0,2,0,0,1,2,1,1,2,2,560
13,"PRIMARY SCHOOL GARHI UDDA (TODRA)R.NO.1",469,382,0,851,345,210,0,555,114,0,2,237,27,253,2,1,1,0,0,0,0,2,1,6,3,0,0,4,0,4,0,1,1,1,1,1,4,0,3,555
14,"PRIMARY SCHOOL SHALA (TODRA)R.NO.1",460,388,0,848,337,230,0,567,60,0,1,237,44,249,2,1,0,0,1,1,0,0,3,3,2,1,2,4,0,3,2,1,0,3,0,3,0,1,3,567
15,"PRIMARY SCHOOL KARAUDHNA KHURD R.NO.1",429,367,0,796,316,226,0,542,2,0,18,147,6,318,3,2,3,3,0,0,0,0,1,5,2,3,1,2,3,0,1,1,1,7,1,1,6,3,4,542
16,"PRIMARY SCHOOL KARAUDHNA KHURD R.NO.2",301,254,0,555,208,136,0,344,112,0,5,183,84,59,1,0,0,1,1,0,0,0,0,4,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,344
17,"PURVA MIDDLE SCHOOL KARUADHNA KALA R.NO.1",582,479,0,1061,418,249,0,667,174,0,1,449,153,17,0,1,0,1,0,1,0,0,1,5,6,3,3,2,4,0,0,0,3,1,0,2,6,1,7,667
18,"KANYA PRIMARY SCHOOL KARODHANA KALAN  R.NO.1",435,348,0,783,299,171,0,470,34,0,2,203,29,214,1,1,0,4,0,0,1,1,1,2,1,1,0,0,0,1,0,0,0,2,2,3,1,0,0,470
19,"PRIMARY SCHOOL  VISAIRI GORVA  R.NO.1",687,576,0,1263,532,363,0,895,37,0,31,622,54,115,1,0,0,4,1,0,0,1,2,14,14,4,2,12,0,2,0,0,4,1,3,4,2,1,1,895
20,"PRIMARY SCHOOL  GARHI MOHANLAL  R.NO.1",294,258,0,552,234,172,0,406,108,0,11,203,162,14,0,0,0,1,0,2,1,0,0,3,2,3,0,0,0,0,0,0,1,0,0,0,2,1,0,406
21,"PRIMARY SCHOOL  THERAI  R.NO.1",391,331,0,722,299,180,0,479,11,0,34,220,191,15,0,0,0,0,0,1,0,0,0,7,5,3,1,0,0,0,0,0,1,0,0,0,0,1,0,479
22,"PRIMARY SCHOOL  THERAI  R.NO.2",408,353,0,761,308,250,0,558,2,0,13,152,308,46,3,0,0,0,0,2,0,0,0,2,2,6,4,2,4,0,0,1,0,0,0,2,3,2,6,558
23,"PRIMARY SCHOOL  PHOOLPUR R.NO.1",663,541,0,1204,479,314,0,793,8,0,8,429,147,179,1,0,1,5,0,2,0,1,1,5,2,1,0,0,4,0,0,0,2,0,1,0,2,1,1,793
24,"PRIMARY SCHOOL  DHEEMAR PURA R.NO.1",415,391,0,806,240,171,0,411,2,0,2,176,158,29,2,1,0,2,1,0,0,3,3,5,8,2,2,1,0,1,0,0,1,1,0,5,4,1,3,411
25,"PRIMARY SCHOOL  GARHI GAJINDRA R.N0.1",483,414,0,897,381,226,0,607,1,0,23,390,135,27,0,0,0,0,0,0,1,0,1,9,2,4,0,1,3,2,0,0,0,2,0,3,2,0,2,607
26,"PRIMARY SCHOOL  INAYATPUR R.NO.1",456,391,0,847,349,288,0,637,80,0,3,462,92,58,0,0,2,3,0,0,1,1,0,3,7,0,0,1,0,0,0,0,0,0,1,1,0,1,1,637
27,"PRIMARY SCHOOL  INAYATPUR R.NO.2",331,284,0,615,241,182,0,423,2,0,1,158,106,137,1,0,1,1,1,0,1,1,0,2,3,0,0,0,0,2,0,0,3,1,0,0,2,1,1,423
28,"KANYA PRIMARY SCHOOL  NAGLA PATAM R.NO.1",344,299,0,643,245,189,0,434,9,0,1,247,26,137,2,1,0,1,0,2,0,0,2,2,3,2,0,1,0,1,0,0,2,1,0,1,0,2,0,434
29,"PRIMARY SCHOOL  DHEEMAR PURA R.NO.1",580,459,0,1039,384,224,0,608,17,0,2,278,79,182,2,2,4,3,0,0,0,1,1,2,6,0,3,15,5,6,1,1,4,4,1,1,1,0,4,608
30,"KANYA PRIMARY SCHOOL  NAGLA PATAM R.NO.2",610,474,0,1084,452,327,0,779,1,0,4,437,73,211,2,0,0,1,0,0,1,2,2,10,4,1,1,2,3,8,2,0,3,0,0,3,0,4,5,779
31,"PRIMARY SCHOOL  VAS DANSAHAY R.NO.1",384,311,0,695,297,248,0,545,32,0,13,473,33,11,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,1,0,0,1,3,0,545
32,"PRIMARY SCHOOL  DABRAI R.NO.1",307,263,0,570,248,195,0,443,1,0,2,261,76,80,1,0,0,1,0,0,0,0,0,2,3,2,2,2,0,1,0,0,2,2,2,1,3,0,0,443
33,"PRIMARY SCHOOL  DULIYA PURA R.NO.1",356,305,0,661,272,217,0,489,4,0,0,175,66,232,2,0,1,0,1,0,0,1,0,4,1,1,0,0,0,1,0,0,0,2,0,0,1,1,0,489
34,"PRIMARY SCHOOL  LUHAITA R.NO.1",337,283,0,620,237,167,0,404,9,0,1,202,79,103,1,0,0,0,2,0,0,0,3,0,0,1,0,3,0,0,0,0,0,2,0,3,2,1,1,404
35,"PRIMARY SCHOOL  THANAPURA R.NO.1",552,472,0,1024,376,308,0,684,2,0,2,305,149,190,1,0,2,1,1,0,1,0,0,5,2,2,1,5,1,5,1,0,5,1,1,1,2,0,0,684
36,"PRIMARY SCHOOL  TOR R.NO.1",383,333,0,716,262,141,0,403,2,0,0,71,223,100,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,403
37,"PRIMARY SCHOOL  TOR R.NO.2",401,346,0,747,300,212,0,512,1,0,0,74,412,19,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,512
38,"PRIMARY SCHOOL  SEVLA AHEER R.NO. 1",285,235,0,520,208,141,0,349,65,0,2,56,14,245,4,0,0,0,1,0,0,1,2,2,2,3,3,0,2,5,0,0,1,1,1,0,2,1,1,349
39,"PURVA MIDDLE  SCHOOL  GADAULI KHURD R.NO.1",561,468,0,1029,412,318,0,730,179,0,1,17,611,30,1,1,1,0,0,1,0,1,1,11,2,7,0,2,16,2,1,1,3,0,2,1,4,4,9,730
40,"PRIMARY SCHOOL  LEHRA R.NO.1",467,360,0,827,366,224,0,590,1,0,5,342,84,131,0,0,0,0,0,1,0,2,0,4,5,1,2,0,2,2,2,0,1,2,0,0,3,1,0,590
41,"PRIMARY SCHOOL  LEHRA R.NO.2",524,444,0,968,411,280,0,691,13,0,57,495,70,27,1,0,1,1,2,0,0,2,0,13,4,6,0,0,3,0,1,0,0,0,1,0,1,2,4,691
42,"PRIMARY SCHOOL  NAGLA BHIKKI R.NO.1",479,421,0,900,367,311,0,678,12,0,4,410,97,120,1,1,2,2,1,0,2,0,0,6,4,6,1,3,1,1,0,1,1,3,1,2,4,1,3,678
43,"PRIMARY SCHOOL  HIRNER R.NO.1",513,432,0,945,468,342,0,810,2,0,0,61,719,19,0,0,0,1,0,1,0,0,2,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,810
44,"PRIMARY SCHOOL  HIRNER R.NO.2",604,516,0,1120,504,285,0,789,2,0,2,61,590,114,1,0,0,0,1,0,1,1,0,1,0,2,0,0,1,1,0,0,0,5,1,2,3,1,1,789
45,"PRIMARY SCHOOL  NAVADA R.NO.1",395,320,0,715,302,227,0,529,5,0,2,235,96,173,0,1,0,0,1,0,1,1,2,1,1,1,0,6,0,2,0,0,0,2,1,0,2,1,0,529
46,"PRIMARY SCHOOL  KHEDA R.NO.1",623,512,0,1135,467,365,0,832,18,0,5,418,147,205,0,2,1,2,2,1,0,1,6,11,4,5,0,0,1,5,2,1,3,1,1,1,2,2,3,832
47,"PRIMARY SCHOOL  GARHI JAHAN SINGH R.NO.2",769,637,0,1406,535,384,0,919,440,0,45,675,28,131,0,0,0,2,1,0,0,1,0,9,10,5,0,1,2,1,1,0,0,1,0,1,3,2,0,919
48,"PRIMARY SCHOOL  BAKALPUR EXTRA ROOM 1",513,445,0,958,374,296,0,670,12,0,2,468,99,53,0,0,1,13,0,0,0,0,0,3,1,0,0,13,2,1,1,0,0,4,1,3,1,1,3,670
49,"PURVA MIDDLE SCHOOL  NAGLA SURAJBHAN R.NO.1",679,594,0,1273,467,323,0,790,27,0,5,476,195,51,2,1,1,1,1,0,0,0,1,1,1,3,0,7,6,4,2,3,4,2,1,4,7,4,7,790
50,"PURVA MIDDLE SCHOOL  NAGLA SURAJBHAN R.NO.2",648,560,0,1208,389,287,0,676,62,0,15,318,219,108,3,0,0,4,0,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,1,1,1,676
51,"PRIMARY SCHOOL  BADA GAUN (SIKTARA) R.NO.1",540,480,0,1020,421,324,0,745,1,0,1,227,228,254,3,1,0,2,0,2,0,2,1,2,4,1,1,1,1,2,0,0,3,0,0,2,5,1,1,745
52,"PRIMARY SCHOOL  BADA GAUN (SIKTARA) R.NO.2",367,323,0,690,270,200,0,470,137,0,2,145,209,89,1,0,0,1,0,0,0,1,1,3,0,1,1,2,3,0,0,0,1,1,1,2,2,1,3,470
53,"PRIMARY SCHOOL  GARHI BALDEV R.NO.1",346,300,0,646,247,225,0,472,52,0,7,287,48,84,1,2,1,3,0,0,1,1,2,10,6,5,0,1,1,2,2,1,0,3,0,4,0,0,0,472
54,"PRIMARY SCHOOL   GARHILAL KALAN R.NO.1",430,387,0,817,288,230,0,518,2,0,5,271,203,27,0,0,2,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,518
55,"PRIMARY SCHOOL  GARHI SHREEPATI R.NO.1",310,282,0,592,247,192,0,439,2,0,2,379,35,9,0,0,0,2,0,0,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,439
56,"PRIMARY SCHOOL  LAKURANI R.NO.1",641,546,0,1187,397,272,0,669,27,0,1,414,118,96,1,1,1,2,0,0,0,1,2,3,1,1,0,3,1,1,0,0,3,4,1,1,3,5,5,669
57,"PRIMARY SCHOOL  LAKURANI R.NO.2",307,278,0,585,216,155,0,371,5,0,8,302,41,7,0,0,0,2,0,0,0,0,0,6,0,1,0,0,2,0,0,0,0,0,0,0,1,1,0,371
58,"PRIMARY SCHOOL  SHEKHUPUR R.NO.1",213,175,0,388,165,129,0,294,42,0,3,217,27,30,1,0,0,0,0,0,0,0,2,3,3,1,1,0,0,0,0,0,1,0,0,0,3,1,1,294
59,"PRIMARY SCHOOL  JHARPURA R.NO.1",402,321,0,723,337,282,0,619,17,0,5,12,7,542,7,1,1,0,1,0,1,3,4,2,1,4,3,0,2,2,0,1,4,5,2,2,3,2,2,619
60,"PRIMARY SCHOOL  DHEEMAR PURA R.NO.1",258,216,0,474,207,150,0,357,7,0,0,211,123,4,2,0,0,0,1,0,0,0,2,2,3,3,0,0,0,2,0,0,2,0,0,1,1,0,0,357
61,"PRIMARY SCHOOL  HEERAPURA(BANJARAPURA R.NO.1)",460,363,0,823,159,221,0,380,5,0,2,300,37,5,0,2,2,5,0,1,1,0,1,4,3,4,0,1,2,0,0,1,2,0,0,1,2,3,1,380
62,"PURVA MIDDLE SCHOOL  MEERPUR R.NO.1",685,578,0,1263,546,381,0,927,1,0,5,513,100,276,3,0,0,2,0,0,1,0,2,8,0,0,0,2,1,4,0,0,1,2,0,2,2,3,0,927
63,"PRIMARY SCHOOL  LUHARI R.NO.1",518,422,0,940,342,253,0,595,3,0,8,263,127,161,2,0,0,0,1,0,1,1,3,4,3,1,0,1,3,2,2,0,2,3,0,0,3,1,3,595
64,"PRIMARY SCHOOL LIHARI R.NO.2",457,375,0,832,224,128,0,352,3,0,13,208,28,90,1,1,0,0,0,0,1,0,1,2,1,2,0,0,0,2,0,0,0,0,0,0,1,0,1,352
65,"PRIMARY SCHOOL  BEEKAPUR R.NO.1",547,420,0,967,401,219,0,620,30,0,2,285,169,137,2,0,0,1,0,0,2,1,2,1,0,3,0,0,2,3,0,0,2,1,1,3,1,1,1,620
66,"PRIMARY SCHOOL  THAPKHARGA R.NO.1",394,302,0,696,247,139,0,386,3,0,2,114,188,52,0,0,0,3,2,0,2,0,1,4,1,2,0,0,1,1,0,1,6,0,0,0,3,0,3,386
67,"PRIMARY SCHOOL  ISAULI R.NO.1",386,335,0,721,303,215,0,518,3,0,4,368,66,50,0,0,0,6,0,0,0,1,1,5,4,2,3,1,0,1,0,0,1,0,0,3,2,0,0,518
68,"PRIMARY SCHOOL  ISAULI R.NO.2",366,308,0,674,256,203,0,459,7,0,6,324,82,27,0,0,0,2,0,1,0,0,0,5,2,3,0,0,1,1,1,1,0,0,1,0,0,0,2,459
69,"PRIMARY SCHOOL  GULBA PURA R.NO.1",505,382,0,887,371,225,0,596,96,0,11,404,53,102,2,1,1,0,0,1,1,0,2,0,5,0,0,1,2,0,0,1,0,0,0,1,6,1,1,596
70,"PRIMARY SCHOOL SHANKARPUR R.NO.1",196,153,0,349,147,105,0,252,11,0,0,115,6,100,3,0,1,0,0,0,1,0,0,0,1,1,1,3,1,4,0,0,2,5,1,3,3,0,1,252
71,"PRIMARY SCHOOL  NAYAVAS R.NO.1",589,503,0,1092,432,319,0,751,2,0,10,558,115,38,3,1,2,0,1,0,1,0,1,4,2,0,0,6,1,2,0,0,2,0,1,0,1,1,1,751
72,"PRIMARY SCHOOL  CHANDORA R.NO.1",303,256,0,559,225,172,0,397,2,0,1,148,92,132,1,0,0,1,0,1,0,0,1,3,2,0,0,1,2,2,0,1,3,2,0,2,1,0,1,397
73,"PRIMARY SCHOOL  NAYAVAS R.NO.2",548,425,0,973,383,204,0,587,233,0,4,326,84,155,1,0,0,0,0,0,0,1,0,5,0,1,0,1,1,0,0,1,0,2,1,2,2,0,0,587
74,"PRIMARY SCHOOL  CHAR VISVA R.NO. 1",308,245,0,553,210,150,0,360,160,0,3,200,81,61,0,1,0,2,0,1,0,0,0,1,1,0,0,2,0,1,1,0,2,0,1,1,0,0,1,360
75,"PRIMARY SCHOOL  GARHI KHANDERAO R.NO.1",367,304,0,671,261,187,0,448,25,0,3,273,42,114,1,1,0,2,0,1,0,2,0,1,1,2,0,0,0,0,0,0,1,2,0,0,1,1,0,448
76,"PRIMARY SCHOOL  SHAHPUR R.NO.1",317,273,0,590,207,145,0,352,8,0,0,85,44,209,0,0,0,3,0,0,0,0,0,5,1,0,0,0,0,2,0,0,1,1,0,0,1,0,0,352
77,"PRIMARY SCHOOL  TOOLA R.NO.1",317,266,0,583,207,158,0,365,6,0,0,133,33,184,0,1,0,0,2,0,1,0,3,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,365
78,"PURVA MIDDLE SCHOOL GUBRARI R.NO.1",337,281,0,618,284,127,0,411,201,0,3,272,7,117,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,2,1,0,1,411
79,"PRIMARY SCHOOL  NAYAPURA R.NO.1",549,500,0,1049,372,306,0,678,160,0,1,267,245,120,5,0,0,1,0,0,1,0,0,3,0,2,0,9,11,3,1,0,0,0,0,1,5,0,3,678
80,"PRIMARY SCHOOL  GARHI PARSA R.NO.1",230,178,0,408,156,137,0,293,2,0,1,220,8,22,1,0,0,1,0,1,0,2,2,14,10,1,0,0,1,0,0,0,2,1,0,1,0,2,3,293
81,"PRIMARY SCHOOL GARHI PARSA R.NO.2",284,243,0,527,223,187,0,410,7,0,3,5,1,369,1,3,0,0,0,0,0,0,2,2,2,5,1,1,2,6,0,0,0,1,0,3,1,1,1,410
82,"PRIMARY SCHOOL  LEHAR PATTI LEHAR R.NO.1",653,505,0,1158,359,230,0,589,41,0,3,329,117,77,4,1,1,0,2,0,1,1,2,8,4,4,3,4,4,1,1,2,1,2,1,7,5,3,1,589
83,"PRIMARY SCHOOL  MEHRAMPUR R.NO.1",902,723,0,1625,425,395,0,820,23,0,4,280,106,389,5,1,0,2,1,0,0,2,4,4,3,8,1,0,0,2,0,0,1,2,2,0,1,0,2,820
84,"PRIMARY SCHOOL  VAS MAHUA R.NO.1",683,477,0,1160,517,356,0,873,364,0,7,525,170,66,3,6,2,2,1,1,1,1,1,53,12,6,0,5,0,0,0,0,0,0,1,1,2,1,6,873
85,"PRIMARY SCHOOL  MEHRAMPUR R.NO.2",409,352,0,761,248,199,0,447,11,0,4,39,1,370,2,0,0,1,0,0,0,0,4,3,4,4,0,3,0,0,0,0,2,4,0,1,2,0,3,447
86,"PRIMARY SCHOOL  KOTHI CHAR BIGHA R.NO.1",310,260,0,570,159,144,0,303,3,0,2,175,87,14,0,0,0,1,0,0,0,0,0,5,3,4,1,2,0,0,0,0,0,1,1,2,4,0,1,303
87,"PRIMARY SCHOOL  NAGLA DHEER R.NO.1",264,228,0,492,158,143,0,301,32,0,1,113,35,109,1,0,0,2,0,0,1,0,0,3,1,2,0,7,5,2,0,1,4,1,1,2,3,3,4,301
88,"PURVA MIDDLE SCHOOL ATMADPUR AJNERA R.NO.1",530,439,0,969,364,320,0,684,150,0,3,423,67,155,0,0,0,2,1,0,0,0,1,2,4,3,2,2,2,2,1,2,2,1,0,4,4,0,1,684
89,"PRIMARY SCHOOL  KAREEMPURA R.NO.1",119,94,0,213,97,73,0,170,23,0,1,134,9,17,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,170
90,"PRIMARY SCHOOL  KANKARPUR R.NO.1",314,283,0,597,213,145,0,358,154,0,7,151,168,13,0,0,0,2,1,0,0,0,1,1,0,3,0,0,4,1,0,0,0,0,0,2,3,0,1,358
91,"PRIMARY SCHOOL  VAS DAULATRAM R.NO.1",448,374,0,822,317,221,0,538,146,0,5,162,98,248,1,0,0,1,0,0,0,2,1,1,1,2,0,1,1,4,0,0,1,4,0,1,3,0,1,538
92,"A.P. INTER COLLEGE SHAMSHABAD R.NO.1",706,605,0,1311,460,355,0,815,617,0,1,178,423,172,2,1,1,2,0,1,1,2,4,8,1,8,0,0,1,0,1,0,3,3,0,0,2,0,0,815
93,"A.P. INTER COLLEGE SHAMSHABAD R.NO.2",587,466,0,1053,347,301,0,648,3,0,8,367,113,120,0,1,1,3,0,0,0,1,2,8,4,3,1,1,2,0,0,0,1,2,0,4,3,1,2,648
94,"A.P. INTER COLLEGE SHAMSHABAD R.NO.3",462,379,0,841,320,211,0,531,3,0,10,373,87,51,2,0,0,2,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,531
95,"A.P. INTER COLLEGE SHAMSHABAD R.NO.4",773,696,0,1469,525,393,0,918,72,0,11,596,84,207,1,0,0,3,0,0,1,0,3,0,2,3,0,2,1,1,0,0,1,0,1,0,1,0,0,918
96,"DHARAM AMARDEEP INTER COLLEGE SHAMSHABAD R.NO.1",268,225,0,493,188,157,0,345,4,0,9,255,35,30,0,0,0,1,0,0,1,0,2,2,0,4,0,3,0,0,0,0,1,0,0,2,0,0,0,345
97,"DHARAM AMARDEEP INTER COLLEGE SHAMSHABAD R.NO.2",613,482,0,1095,337,183,0,520,5,0,6,363,59,57,1,1,0,1,1,0,0,0,2,0,6,0,0,5,3,1,0,0,1,0,0,6,2,3,2,520
98,"DHARAM AMARDEEP INTER COLLEGE SHAMSHABAD R.NO.3",501,400,0,901,336,244,0,580,85,0,3,415,60,67,0,1,0,2,0,0,0,0,0,4,4,2,2,6,3,2,1,2,0,0,0,0,2,2,2,580
99,"GULAKANDI DEVI GIRLS INTER COLLEGE R.NO.1",600,514,0,1114,387,304,0,691,36,0,2,561,52,67,0,0,0,0,1,0,0,0,1,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,691
100,"GULAKANDI DEVI GIRLS INTER COLLEGE R.NO.2",429,369,0,798,305,217,0,522,14,0,1,441,40,23,0,1,0,1,0,0,0,0,1,4,2,1,0,1,0,1,0,0,2,0,1,0,1,0,1,522
101,"GULAKANDI DEVI GIRLS INTER COLLEGE  R.NO.3",599,495,0,1094,479,345,0,824,224,0,11,594,35,174,1,0,1,0,1,0,1,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,824
102,"GULAKANDI DEVI GIRLS INTER COLLEGE  R.NO.4",435,379,0,814,349,229,0,578,68,0,12,456,61,34,0,0,1,2,0,1,0,0,0,0,1,2,0,2,0,0,0,1,0,1,0,0,1,1,2,578
103,"KANYA PURVA MIDDLE SCHOOL  R.NO.1",376,352,0,728,286,220,0,506,26,0,5,420,43,32,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,506
104,"KANYA PURVA MIDDLE SCHOOL  R.NO.2",582,517,0,1099,397,342,0,739,8,0,12,545,99,64,0,2,0,1,0,0,1,0,0,2,5,2,0,1,1,0,0,0,1,1,0,0,1,0,1,739
105,"KANYA PURVA MIDDLE SCHOOL  R.NO.3",248,210,0,458,168,146,0,314,197,0,8,204,43,48,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,2,1,1,314
106,"PRIMARY SCHOOL  SHAMSHABAD R.NO.1",609,512,0,1121,424,310,0,734,264,0,19,341,246,77,2,1,0,1,1,0,1,1,3,3,2,4,3,4,3,1,0,3,4,2,0,4,1,5,2,734
107,"AADARSH JUNIOR HIGH SCHOOL SHAMSHABAD  R.NO.1",605,489,0,1094,378,308,0,686,105,0,1,207,117,266,5,2,0,1,0,0,18,0,1,2,1,1,2,6,3,8,2,0,2,8,3,4,13,4,9,686
108,"AADARSH JUNIOR HIGH SCHOOL SHAMSHABAD  R.NO.2",571,467,0,1038,420,292,0,712,12,0,6,173,261,254,1,1,0,1,0,0,4,1,2,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,712
109,"AADARSH JUNIOR HIGH SCHOOL SHAMSHABAD  R.NO.3",559,428,0,987,334,198,0,532,15,0,26,6,384,80,2,0,0,0,0,0,6,0,1,2,0,5,2,1,4,0,0,3,0,1,2,1,1,1,4,532
110,"PRIMARY SCHOOL  BHANPURA R.NO.1",413,291,0,704,266,139,0,405,3,0,3,244,30,98,1,1,1,0,0,0,0,0,3,4,1,1,0,4,1,2,0,0,1,4,0,1,3,1,1,405
111,"MEETING HALL BLOCK SHAMSHABAD",624,472,0,1096,471,333,0,804,104,0,15,388,163,144,2,1,1,2,2,0,0,1,1,8,6,6,3,15,2,8,12,2,5,2,1,3,3,1,7,804
112,"PANCHAYAT GHAR PATTI SHEKHUPUR JATAV BASTI",844,682,0,1526,457,418,0,875,147,0,11,208,200,412,5,0,1,1,1,0,3,0,2,3,1,6,2,2,4,2,1,0,0,3,0,2,4,1,0,875
113,"PRIMARY SCHOOL  JAROLI R.NO.1",531,443,0,974,380,303,0,683,4,0,2,303,27,293,3,1,0,3,0,0,11,2,3,2,4,1,1,3,2,4,0,0,0,3,4,8,1,1,1,683
114,"PRIMARY SCHOOL  JAROLI R.NO.2",271,225,0,496,187,130,0,317,6,0,1,148,8,154,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,317
