"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - ARVIND KUMAR JAISWAL","2 - MULAYAM SINGH YADAV","3 - RAMAKANT YADAV","4 - SHAH ALAM ALIAS GUDDU JAMALI","5 - M. AMIR RASHADI","6 - KIRAN SHARAMA","7 - DURG VIJAY YADAV","8 - PRAKASH CHANDRA","9 - MADAN","10 - RAJDHARI RAJBHAR","11 - RAJESH YADAV","12 - SANJAY KUMAR CHATURVEDI","13 - SANTOSH KUMAR GAUTAM","14 - PRAMOD SINGH","15 - RAM SINGH CHAUHAN","16 - SHAMSHAD AHMAD","17 - SUGRIV CHAUHAN","18 - SANJAY CHAUHAN","19 - None of the Above","Total Votes Secured"
11,"P. V. KUDAHI",895,689,0,1584,466,447,0,913,910,0,23,551,96,158,7,2,1,0,6,3,0,6,6,4,3,7,6,17,17,913
12,"P. V. ARAJI AMANI (R.N.- 1)",687,564,0,1251,425,394,0,819,800,0,18,424,28,325,5,2,1,2,1,0,1,4,3,0,0,1,0,1,3,819
13,"P. V. ARAJI AMANI (R.N.- 2)",785,595,0,1380,595,386,0,981,981,0,23,544,34,337,9,0,1,1,4,1,1,5,4,4,3,5,0,2,3,981
14,"S. S. S. ARAJI AMANI",736,591,3,1330,432,404,0,836,538,0,8,483,100,202,3,0,1,0,4,4,5,3,2,3,2,6,3,5,2,836
15,"P. V. SAIDPUR (R. N. - 1)",527,461,0,988,307,320,0,627,626,0,12,449,58,88,0,2,1,0,1,1,2,3,1,0,1,2,1,2,3,627
16,"P. V. SAIDPUR (R. N. - 2)",485,386,0,871,280,220,0,500,270,0,9,313,74,62,0,0,1,2,2,2,5,4,1,4,3,3,1,9,5,500
17,"DURGA H. S. S. SHIVPUR",449,305,0,754,248,174,0,422,422,0,9,298,68,24,2,0,0,0,1,1,0,0,0,1,3,1,3,6,5,422
18,"P. V. SHIVPUR (R. N. -1)",424,291,0,715,257,205,0,462,458,0,12,204,107,96,4,2,2,2,4,3,2,1,1,0,0,9,1,9,3,462
19,"P. V. SHIVPUR (R. N. -2)",462,372,1,835,271,240,0,511,508,0,3,144,61,290,4,0,0,0,0,0,1,0,0,2,0,2,0,1,3,511
20,"P. V. SHIVPUR (R. N. -3)",753,613,0,1366,423,388,0,811,811,0,16,414,141,155,8,3,1,4,13,4,6,5,2,5,7,17,3,5,2,811
21,"P. V. NAUBRARHARAKHPURA",412,306,0,718,321,253,0,574,572,0,3,436,31,97,0,0,0,0,0,0,3,0,0,0,1,0,0,2,1,574
22,"P. V. NAUBRAR TURKCHARA",505,411,0,916,333,289,0,622,622,0,4,319,188,92,4,1,0,2,3,2,1,0,0,4,1,0,0,0,1,622
23,"P. V. NAUBRAR TRIPURARPUR KHALSA (R. N. -1)",643,497,0,1140,421,333,0,754,625,0,8,501,134,88,1,1,1,0,1,0,8,1,0,2,0,0,4,3,1,754
24,"P. V. NAUBRAR TRIPURARPUR KHALSA (R. N. -2)",508,402,0,910,309,266,0,575,284,0,10,218,31,302,3,1,0,0,0,1,0,1,2,2,0,0,0,1,3,575
25,"P. V. NAV. DEV. JADID KITA -1 AUGHARGANJ (R. N. -1)",726,496,0,1222,396,322,0,718,698,0,12,343,73,229,6,0,0,1,7,0,1,6,2,3,2,8,7,10,8,718
26,"P. V. NAV. DEV. JADID KITA -1 AUGHARGANJ (R. N. -2)",887,588,0,1475,455,366,0,821,776,0,13,548,95,103,2,0,1,2,11,0,5,7,2,11,8,3,0,6,4,821
27,"P. V. NAV. DEV. JADID KITA -1 MATHURA KA PURA (R. N. -1)",366,282,0,648,217,208,0,425,425,0,4,228,52,114,4,1,0,0,1,1,9,1,0,2,1,4,0,2,1,425
28,"P. V. NAV. DEV. JADID KITA -1 MATHURA KA PURA (R. N. -2)",432,339,0,771,314,250,0,564,564,0,8,432,43,62,3,0,2,0,2,0,1,0,0,2,0,2,1,6,0,564
29,"P. V. NAV. DEV. JADID KITA -1 MATHURA KA PURA (R. N. -3)",627,507,0,1134,382,348,0,730,480,0,7,436,106,170,5,1,0,0,1,1,1,1,0,0,0,0,0,0,1,730
30,"P. V. TOTAHAVA DEVARA JADID (R. N. -1)",479,350,1,830,243,207,0,450,430,0,4,224,128,60,1,0,0,2,6,2,0,4,1,7,2,5,0,2,2,450
31,"P. V. TOTAHAVA DEVARA JADID (R. N. -2)",407,296,0,703,212,147,0,359,292,0,15,191,93,37,1,0,1,0,2,2,1,2,2,6,0,2,1,1,2,359
32,"JAI HANUMAN J. H. SCHOOL DEVARA JADID",825,606,0,1431,389,361,0,750,745,0,17,239,302,100,5,8,2,10,10,9,4,4,4,4,1,4,2,9,16,750
33,"J. H. S. JORAVAR DEVARA JADID (R. N. -1)",453,349,0,802,253,223,0,476,461,0,12,226,114,90,2,0,1,1,4,1,4,2,2,5,3,4,0,1,4,476
34,"J. H. S. JORAVBAR DEVARA JADID (R. N. -2)",471,360,0,831,230,245,0,475,475,0,8,186,40,214,0,1,0,2,3,0,0,7,4,2,4,4,0,0,0,475
35,"P. V.  DEVARA JADID",623,541,0,1164,331,293,0,624,624,0,15,215,176,135,7,2,1,3,9,9,13,2,8,0,4,7,7,5,6,624
36,"P. V. CHAKNAYAK",701,590,0,1291,387,367,0,754,730,0,7,319,156,224,2,2,1,4,4,1,2,6,3,7,0,7,1,3,5,754
37,"P. V. DEVARA KADIM (R. N. -1)",798,651,0,1449,440,401,0,841,841,0,19,422,147,208,8,0,0,2,4,2,0,4,5,4,1,7,2,4,2,841
38,"P. V. DEVARA KADIM (R. N. -2)",795,619,0,1414,447,365,0,812,810,0,23,246,122,374,6,0,2,2,7,2,2,4,2,5,0,8,2,2,3,812
39,"P. V. SUGAUTI",606,493,0,1099,305,370,0,675,675,0,11,435,114,80,0,1,1,2,7,1,0,1,7,0,2,5,4,2,2,675
40,"H. S. S. MAHESHPUR (R. N. -1)",581,475,0,1056,351,301,0,652,652,0,20,306,198,104,3,0,0,0,6,1,1,3,0,2,0,1,3,2,2,652
41,"H. S. S. MAHESHPUR (R. N. -2)",383,292,0,675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,"P. V. MUNDILPUR",483,370,0,853,406,311,0,717,717,0,3,422,78,192,0,0,0,1,1,1,0,2,4,1,1,5,0,1,5,717
43,"P. V. PASIPUR (R. N. -1)",224,196,0,420,120,138,0,258,250,0,5,48,6,178,5,2,0,0,0,0,1,3,1,0,1,1,2,0,5,258
44,"P. V. PASIPUR (R.  N.- 2)",652,487,0,1139,349,269,0,618,573,0,21,121,220,218,3,0,1,3,6,1,2,2,3,0,3,8,2,1,3,618
45,"SARVODAYA J. H. S. MOTIPUR",912,703,0,1615,587,474,0,1061,890,0,33,757,177,69,6,1,0,1,4,4,1,1,1,3,0,1,2,0,0,1061
46,"P. V. DEV. TRIPURARPUR AYAMA",571,463,0,1034,399,332,0,731,720,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731
47,"P. V. DEV. HARAKHPURA (FIRST) (R. N. -1)",380,298,0,678,230,205,0,435,435,0,6,175,53,168,1,0,0,0,3,0,2,0,3,1,1,7,5,4,6,435
48,"P. V. DEV. HARAKHPURA (FIRST) (R.N.-2)",512,353,0,865,264,255,0,519,517,0,3,97,28,343,8,0,4,1,2,3,0,3,8,2,4,9,0,1,3,519
49,"P. V. DEV. HARAKPURA (SECOND)",327,231,0,558,292,192,0,484,459,0,3,434,28,7,0,1,0,1,0,0,2,0,0,0,0,1,1,4,2,484
50,"P. V. D. TURKCHARA",602,446,0,1048,484,296,0,780,662,0,11,676,69,11,1,1,0,1,1,0,1,0,1,0,1,1,1,2,2,780
51,"P. V. CHAUKANA RAMCHANDRA",454,390,0,844,215,242,0,457,448,0,4,58,165,182,1,2,3,3,7,2,1,7,3,3,0,10,0,3,3,457
52,"P. V. CHAUKANA PURUSOTTAM",256,228,0,484,123,131,0,254,254,0,0,11,5,229,2,0,0,0,0,0,1,0,4,1,0,1,0,0,0,254
53,"P. V. BHILAMPUR",693,584,0,1277,261,388,0,649,586,0,13,289,121,208,4,0,0,3,0,0,0,2,1,1,2,1,0,3,1,649
54,"P. V. PAIKAULI",906,692,0,1598,607,492,0,1099,1099,0,12,479,194,353,14,1,2,0,5,2,11,5,4,6,2,4,0,2,3,1099
55,"P. V. HARAKHPURA (R. N.- 1)",513,422,0,935,220,225,0,445,441,0,10,215,83,119,5,1,0,2,1,2,0,4,0,0,1,1,1,0,0,445
56,"P. V. HARAKHPURA KHAS (R. N. -2)",444,372,0,816,206,242,0,448,435,0,14,87,100,217,1,1,1,0,4,0,9,1,1,1,2,6,0,0,3,448
57,"P. V. JAMALPUR (R. N.- 1 )",349,265,0,614,179,149,0,328,328,0,6,185,110,11,2,1,1,1,4,1,0,0,1,1,0,0,1,1,2,328
58,"P. A. JAMALPUR (R . N.- 2)",516,419,0,935,304,265,0,569,542,7,7,234,198,75,2,1,0,2,6,4,2,6,3,8,1,1,1,2,16,569
59,"P. B. MEUDIYA",739,541,0,1280,455,294,0,749,679,0,31,86,491,127,0,0,0,2,1,0,1,1,1,0,0,2,0,1,5,749
60,"I. C. GOPALPUR (R.N.- 1)",738,537,0,1275,265,268,0,533,533,0,8,96,289,79,8,0,0,4,13,2,1,1,5,1,2,6,7,4,7,533
61,"I. C. GOPALPUR (R. N.- 2)",579,453,0,1032,289,251,0,540,540,0,21,265,119,85,1,2,4,5,9,2,1,6,0,1,4,1,4,5,5,540
62,"P. B. ARAHARIYA KHANURAI",318,283,0,601,150,144,0,294,194,0,8,68,61,141,0,1,1,0,0,0,0,0,0,0,1,0,1,3,9,294
63,"P. V. BHAGWANPUR",300,269,0,569,178,184,0,362,343,0,11,80,232,14,1,0,0,3,4,2,2,2,1,2,0,2,1,2,3,362
64,"P. V. BUDAVE HISAMUDDINPUR (R. N. - 1)",910,680,0,1590,359,499,0,858,858,0,14,143,474,183,4,0,0,6,8,3,4,6,0,1,1,3,6,1,1,858
65,"P. V. VUDAVE HISAMUDDINPUR (R. N. - 2)",682,537,0,1219,363,319,0,682,502,0,14,96,335,199,1,1,0,4,4,0,6,2,3,0,0,3,2,4,8,682
66,"TAPESWARI DEVI JAYASWAL I. C. SARDAHA",814,607,0,1421,351,361,0,712,712,0,28,231,278,142,6,0,8,3,6,0,0,3,1,0,2,1,2,0,1,712
67,"J. H. SCHOOL SIKANDARPUR AYAMA",866,609,0,1475,385,397,0,782,782,0,10,340,79,184,142,2,0,4,2,1,2,3,3,3,0,6,0,1,0,782
68,"P. V. SIKANDARPUR AYAMA",402,347,0,749,210,219,0,429,249,0,7,56,255,101,2,0,0,0,3,0,0,1,1,0,1,1,1,0,0,429
69,"P. V. GOBARDHANPUR",346,277,0,623,172,149,0,321,321,0,27,65,175,29,3,0,0,3,6,0,2,3,1,1,1,4,0,0,1,321
70,"P. M. V. MAHARUPUR (R. N.- 1)",407,332,0,739,209,196,0,405,403,0,6,116,180,69,9,0,0,1,2,0,1,0,4,0,2,5,1,3,6,405
71,"P. M. V. MAHARUPUR (R. N.2 )",497,391,0,888,273,213,0,486,470,0,13,189,139,119,2,0,0,3,4,1,2,2,1,0,1,0,5,0,5,486
72,"P. V. MAHAJI SINGHWARA",787,670,0,1457,440,374,0,814,729,0,19,487,256,6,1,2,2,5,5,0,1,4,5,6,5,5,1,2,2,814
73,"P. V. GONDAPUR",473,411,0,884,242,248,0,490,490,0,15,104,181,159,5,0,1,0,6,2,0,1,5,2,1,6,0,0,2,490
74,"P. M. V. SINGHWARA KASH",521,406,0,927,284,224,0,508,445,0,6,338,54,90,3,0,0,0,2,0,0,0,0,3,1,1,0,7,3,508
75,"P. V. MAHUVI SERPUR (R. N.- 1)",135,101,0,236,60,47,0,107,92,0,5,36,45,18,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,107
76,"P. V. MAHUVI SERPUR (R. N.- 2)",349,281,0,630,178,142,0,320,319,0,3,94,195,11,0,0,0,0,3,0,1,0,3,1,1,2,0,2,4,320
77,"J. H. S. MAHUVI SERPUR",500,391,0,891,221,182,0,403,403,0,15,33,215,87,5,1,1,2,6,1,2,4,1,2,3,10,2,2,11,403
78,"P. V. BHATAULI",594,488,0,1082,279,266,0,545,13,0,9,82,263,131,7,0,5,4,16,0,4,2,2,1,0,0,5,5,9,545
79,"P. V. RUDRAPUR",632,497,0,1129,348,326,0,674,671,0,8,160,229,219,5,0,3,3,6,1,0,8,3,4,6,10,0,2,7,674
80,"P. V. BAROHI CHAUBE",204,155,0,359,105,90,0,195,188,0,2,4,120,56,0,2,0,0,1,0,0,1,0,0,0,0,0,0,9,195
81,"P. V. NAGVA MAIDO (R. N.- 1)",554,460,0,1014,291,282,0,573,563,0,25,135,133,243,4,1,2,1,2,1,3,5,2,2,0,4,3,3,4,573
82,"P. V. NAGVA MAIDO (R. N.- 2)",317,280,0,597,156,162,0,318,317,0,10,74,153,51,0,1,2,1,4,5,0,5,2,1,3,4,0,1,1,318
83,"P. V. BAIJUAPUR",271,224,0,495,149,134,0,283,283,0,5,54,106,94,2,0,0,1,4,0,2,2,0,5,2,2,0,2,2,283
84,"P. V. BAROHI FATEHPUR",703,562,0,1265,340,317,0,657,613,0,11,125,391,64,3,0,5,7,11,3,4,6,4,6,2,7,3,1,4,657
85,"P. V. BAROHI FATEHPUR R. N. - 1",258,191,0,449,97,106,0,203,195,0,0,3,4,185,4,0,0,0,0,0,0,2,0,0,0,0,1,0,4,203
86,"J. H. S. BAROHI FATEHPUR (R. N. -2)",782,625,0,1407,400,363,0,763,763,0,18,368,87,238,2,1,1,4,4,2,3,7,3,6,3,7,2,4,3,763
87,"P. V. CHANDPUR BHATAURA LAKESAR (R. N. -1)",323,245,1,569,162,141,0,303,303,0,9,29,206,13,0,1,0,3,10,2,0,3,1,7,2,7,3,1,6,303
88,"P. V. CHANDPUR BHATAURA LAKESAR (R. N. -2)",288,222,0,510,128,130,0,258,255,0,11,40,161,22,0,0,3,2,3,1,0,1,2,4,0,4,0,2,2,258
89,"P. V. KESHAVPUR",351,311,0,662,140,159,0,299,200,0,10,64,159,58,0,1,2,0,2,0,0,1,0,0,0,1,1,0,0,299
90,"S. S. SMITI UCHADEEH SALEMPUR",515,432,0,947,214,279,0,493,401,0,10,342,53,68,2,1,0,0,0,1,0,0,2,2,1,8,0,1,2,493
91,"NAROTTAMBRAHM I. C. SUNDERPUR (R. N. -1)",701,584,0,1285,345,336,0,681,611,0,8,192,251,175,8,0,1,2,7,1,2,9,3,5,2,11,0,1,3,681
92,"NAROTTAMBRAHM I. C. SUNDERPUR (R. N. -2)",717,612,0,1329,342,346,0,688,676,0,22,201,219,193,5,0,0,2,4,3,5,3,7,4,2,8,3,3,4,688
93,"NAROTTAMBRAHM I. C. SUNDERPUR (R. N. -3)",720,583,0,1303,368,340,0,708,704,0,10,135,368,162,2,0,2,1,7,2,1,4,3,3,2,2,1,1,2,708
94,"P. V. PARA",506,440,0,946,266,258,0,524,524,0,8,203,143,136,5,0,4,1,3,1,1,3,5,5,3,1,0,0,2,524
95,"P. V. RASUPUR NANDLAL (R. N. -1)",197,172,0,369,75,65,0,140,139,0,17,9,105,2,1,0,0,0,2,1,0,0,1,1,0,0,0,1,0,140
96,"P. V. RASUPURNANDLAL (R. N. -2)",666,535,0,1201,310,308,0,618,618,0,14,264,226,66,0,3,0,4,4,0,5,0,2,4,3,6,6,6,5,618
97,"P. V. SAIDAULIGARTHAULIBUDANPUR (R. N. - 1)",688,465,0,1153,383,293,0,676,657,0,11,107,428,41,3,1,3,9,18,1,7,3,6,5,1,11,3,4,14,676
98,"P. V. SAIDAULIGARTHAULIBUDANPUR (R. N. - 2)",610,451,0,1061,322,278,0,600,593,0,6,168,247,87,3,1,1,6,14,3,1,5,7,5,6,11,6,4,19,600
99,"P. V. HIRNAI GULLIGARH",488,418,0,906,250,280,0,530,522,0,3,136,123,240,6,0,1,1,3,1,1,0,2,2,2,4,0,1,4,530
100,"P. V. CHALAKPUR (R. N. -1)",544,454,0,998,331,287,0,618,608,0,8,92,300,170,4,0,0,4,10,4,2,1,2,2,1,10,1,4,3,618
101,"P. V. CHALAKPUR (R. N. -2)",484,386,0,870,231,232,0,463,365,0,11,138,196,90,3,0,0,1,5,1,1,3,2,0,0,5,0,2,5,463
102,"P. V. NATTHUPATTI",401,311,0,712,189,232,0,421,416,0,3,244,16,135,13,0,0,1,0,0,2,1,1,1,0,1,0,2,1,421
103,"P. V. JAMIN RASULPUR",775,656,0,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"P. M. V. JAMIN RASULPUR (R. N. -1)",298,228,0,526,156,142,0,298,298,0,1,49,58,48,128,0,0,0,2,0,0,1,1,1,0,1,0,4,4,298
105,"P. M. V. JAMIN RASULPUR (R. N. -2)",293,237,0,530,119,122,0,241,239,0,2,93,45,85,8,1,0,1,1,0,2,0,0,1,0,2,0,0,0,241
106,"P. B. BIBIPUR",632,500,0,1132,328,306,0,634,630,0,6,325,81,178,4,4,0,1,4,2,2,6,8,3,1,5,2,1,1,634
107,"P. V. BARAULI DIVAKARPATTI (R. N. -1)",443,362,0,805,234,202,0,436,432,0,10,146,154,96,6,1,0,0,4,1,2,5,7,2,0,1,0,0,1,436
108,"P. V. BARAULI DIVAKARPATTI (R. N. -2)",475,392,0,867,254,236,0,490,490,0,11,130,185,138,2,0,0,3,4,1,3,0,4,5,0,3,0,0,1,490
109,"P. V. BARNAPUR JAGDISHPUR",509,428,0,937,277,251,0,528,527,0,14,207,163,112,4,1,3,4,5,0,4,3,3,3,2,0,0,0,0,528
110,"J. H. S. PIPRAHA DULIYAVAR (R. N. -1)",197,178,0,375,109,100,0,209,201,0,5,101,92,5,0,1,1,2,0,0,1,0,0,0,0,0,0,0,1,209
111,"J. H. S. PIPRAHA DULIYAVAR (R. N. -2)",809,738,0,1547,478,484,0,962,959,0,15,402,171,335,5,0,1,1,3,2,1,1,0,6,2,6,1,2,8,962
112,"P. V. PATILA GAUSHPUR (R. N. -1)",786,586,0,1372,421,337,0,758,520,0,13,427,139,113,5,0,1,4,8,0,7,0,5,7,8,9,2,3,7,758
113,"P. V. PATILA GAUSHPUR (R. N. -2)",761,594,0,1355,378,398,0,776,775,0,13,328,80,314,11,3,1,1,2,1,2,4,2,1,1,4,0,1,7,776
114,"P. V. DIHA",276,234,0,510,244,207,0,451,450,0,3,356,54,28,1,0,0,0,1,0,1,0,1,0,2,2,0,1,1,451
115,"SHRI NEHARU P. M. V. KAKARHI DULAR KHARAGPUR",772,622,0,1394,419,390,0,809,800,0,11,110,167,479,6,1,1,0,7,3,0,3,1,3,1,3,3,3,7,809
116,"P. B. PADARI PARANPUR",777,666,0,1443,436,384,0,820,784,0,7,121,377,269,3,2,2,1,8,2,4,6,1,6,2,2,1,2,4,820
117,"P. V. TENDUVA",427,366,0,793,234,246,0,480,480,0,9,51,299,99,1,1,1,3,3,2,2,0,0,1,0,0,1,1,6,480
118,"P. V. BHAGATPUR - PRATAM",554,422,0,976,294,250,0,544,543,0,7,156,284,53,3,0,1,2,11,5,3,3,3,2,6,1,0,1,3,544
119,"P. V. BHAGATPUR SECOND",779,589,0,1368,426,380,0,806,782,0,8,76,397,284,12,3,1,1,8,1,2,1,1,1,1,2,2,1,4,806
120,"SRI JAI HANUMAN JI P. M. V. BHAGATPUR BADIHARI BILARIYAGANJ (R.N.-1)",598,460,0,1058,337,240,0,577,567,0,6,147,228,155,8,2,2,2,12,0,0,1,3,1,2,5,0,0,3,577
121,"SRI JAI HANUMAN P. M. V. BHAGATPUR BADIHARI BILARIYAGANJ (R.N.-2)",946,672,0,1618,444,370,0,814,814,0,13,297,283,114,73,0,0,1,7,1,0,3,6,2,2,7,1,1,3,814
122,"P. V. BAISAHA",607,511,0,1118,284,292,0,576,571,0,21,120,329,45,2,2,1,2,6,6,7,2,5,9,0,9,2,3,5,576
123,"P. V. MADAREPUR",549,464,0,1013,295,286,0,581,581,0,11,146,235,73,6,0,0,3,12,2,9,3,4,7,2,3,9,26,30,581
124,"P. V. ITAURA DAYAL (R. N. -1)",551,442,0,993,250,257,0,507,506,0,8,163,227,91,3,0,0,0,4,1,2,0,2,1,3,0,1,1,0,507
125,"P. V. ITAURA DAYAL (R. N. -2)",449,375,1,825,213,239,0,452,407,0,6,97,196,93,2,4,0,1,5,1,4,1,0,4,2,3,0,5,28,452
126,"P. M. V. ITAURA DAYAL",570,439,1,1010,275,235,0,510,500,0,9,158,210,106,6,0,1,0,5,0,2,3,2,0,1,5,1,0,1,510
127,"P. V. RAGHUPUR (R. N. -1)",503,420,1,924,229,224,0,453,453,0,7,95,139,191,5,0,0,1,1,0,0,3,1,0,1,1,1,2,5,453
128,"P. V. RAGHUPUR (R. N. -2)",687,548,0,1235,286,255,0,541,300,0,19,183,210,88,2,0,1,3,3,2,4,5,5,5,1,3,2,1,4,541
129,"I. C. RAGHUBAR DAYAL JAMILPUR (R. N. -1)",558,507,1,1066,329,310,0,639,619,0,9,155,378,37,1,0,2,4,7,5,3,1,1,3,2,4,2,9,16,639
130,"I. C. RAGHUBAR DAYAL JAMILPUR (R. N. -2)",459,341,0,800,226,219,0,445,435,0,10,113,100,204,3,1,0,0,1,0,0,3,2,3,0,3,0,0,2,445
131,"P. V.. JAMILPUR (R. N. -1)",866,677,0,1543,448,342,0,790,788,0,9,197,308,244,5,0,1,1,6,1,1,0,2,2,0,9,1,2,1,790
132,"P. V. JAMILPUR (R. N. -2)",727,558,0,1285,397,352,0,749,749,0,12,241,367,51,6,3,1,5,14,1,3,4,2,4,1,13,2,8,11,749
133,"P. V. RAIPUR",298,242,0,540,178,174,0,352,352,0,6,120,91,122,4,0,0,1,2,0,1,0,0,0,3,1,1,0,0,352
134,"P. V. JUDARAMPUR",631,554,0,1185,321,299,0,620,620,0,9,104,303,176,5,1,1,0,4,1,2,2,0,4,1,5,0,1,1,620
135,"P. V. KOLMODIPUR",659,512,0,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"P. V. BADAHARDEEH",627,449,0,1076,310,244,0,554,539,0,6,187,190,146,1,0,2,2,6,1,0,1,0,2,1,2,1,1,5,554
137,"P. V. ROOPYANPUR (R. N. -1)",662,443,0,1105,319,245,0,564,446,0,5,154,209,143,4,0,3,4,8,4,2,4,3,5,1,8,2,1,4,564
138,"P. V. ROOPYANPUR (R. N. -2)",410,342,0,752,242,210,0,452,451,0,5,171,168,71,1,0,0,0,6,2,3,5,1,0,4,6,1,1,7,452
139,"P. V. ROOPYANPUR (R. N. -3)",166,126,0,292,62,57,0,119,119,0,0,18,81,13,0,0,0,0,1,0,0,1,1,0,0,3,0,1,0,119
140,"P. V. ROOPYANPUR (R. N. -4)",220,172,0,392,125,113,0,238,236,0,2,74,71,74,0,0,0,1,1,0,0,0,3,0,0,3,1,3,5,238
141,"J. H. SCHOOL RAGHUNATHPUR  (R. N. -1)",276,233,0,509,150,133,0,283,283,0,7,83,159,17,0,0,0,2,6,0,1,0,1,1,1,1,0,0,4,283
142,"J. H. SCHOOL RAGHUNATHPUR  (R. N. -2)",588,515,0,1103,327,353,0,680,680,0,12,158,214,248,0,0,1,2,6,3,5,6,7,8,1,2,5,0,2,680
143,"P. V. GOSAIPUR",536,436,0,972,188,248,0,436,434,0,6,54,121,235,4,0,1,1,1,0,0,2,3,2,2,2,2,0,0,436
144,"I. C. MAHARAJGANJ (R. N. -1)",573,426,0,999,345,280,0,625,625,0,5,205,211,176,8,0,1,1,4,1,1,3,0,2,2,3,0,1,1,625
145,"I. C. MAHARAJGANJ (R. N. -3)",856,680,1,1537,464,373,0,837,834,0,19,259,346,157,6,1,0,7,7,19,2,2,0,3,1,1,5,2,0,837
146,"I. C. MAHARAJGANJ (R. N. 3)",636,499,0,1135,377,287,0,664,300,0,10,297,265,52,6,0,2,0,7,2,3,1,1,2,1,3,2,5,5,664
147,"P. V. MAHARAJGANJ (R. N. -1)",614,478,0,1092,341,306,0,647,647,0,15,252,318,44,0,0,0,1,1,0,6,1,2,1,1,2,0,0,3,647
148,"P. V. MAHARAJGANJ (R. N. -2)",502,371,0,873,282,207,0,489,489,0,2,167,285,19,0,0,0,1,2,0,1,0,1,0,0,4,0,2,5,489
149,"P. B. ACHAIVAT",467,399,0,866,265,236,0,501,501,0,10,117,196,165,5,0,0,0,0,0,0,2,0,1,0,0,0,0,5,501
150,"S. S. S. NAROTTAMPUR SURYAMA",506,393,0,899,228,226,0,454,451,0,16,153,232,37,3,1,1,0,2,0,0,1,1,4,0,1,2,0,0,454
151,"P. V. AKHARCHANDA (R. N. -1)",618,489,0,1107,304,251,0,555,535,0,11,101,200,191,2,0,0,0,6,6,2,0,3,5,4,9,1,7,7,555
152,"P. V. AKHARCHANDA (R. N. -2)",493,419,0,912,195,228,0,423,423,0,9,115,227,48,2,0,0,1,6,2,6,0,0,1,0,3,0,0,3,423
