"Polling Station",,"Total No of Electors",,,,"Voters Turnout",,,,,,"Candidate ID and Name",,,,,,,,,,,,,,,,,,,,,,,,
"Part No","Part Name",Male,Female,Other,"Total No. of electors",Male,Female,Other,Total,"No of voters identifying using EPIC","Tendered Voter","1 - LALITESH PATI TRIPATHI","2 - SAMUDRA BIND","3 - SURENDRA SINGH PATEL","4 - ANUPRIYA SINGH PATEL","5 - AJAD","6 - JITTOO RAM RATNA","7 - JEERA BHARTI","8 - BRIJESH KUMAR RAI","9 - BHAGWAN DAS","10 - RADHESHYAM INSAN","11 - VINEET SAHAI","12 - SHIVRAJ SAHNI","13 - SANTOSH KUMAR","14 - SARVESH DUBEY","15 - SUKCHARA NAND URF AALOO BABA","16 - ASHOK KUMAR","17 - ADESH TYAGI","18 - DR. KARNAIL SINGH","19 - GIRJA SHANKAR URF CHUNMUN","20 - DEVI","21 - RAJA RAM","22 - RAM MURAT","23 - HINCHH LAL","24 - None of the Above","Total Votes Secured"
11,DANAITA,543,489,0,1032,305,288,0,593,548,0,21,1,16,526,4,2,1,14,1,0,1,0,0,0,0,2,0,0,0,2,0,1,0,1,593
12,BHAGIRATHPUR,406,344,0,750,217,193,0,410,332,0,72,13,29,257,7,2,0,2,1,0,1,1,4,3,2,9,1,0,1,0,0,2,0,3,410
13,PAHO,353,294,0,647,190,180,0,370,332,0,88,35,21,190,3,1,0,0,0,1,2,2,3,1,2,5,2,0,2,1,2,4,5,0,370
14,MUKUNDPUR,486,387,0,873,296,239,0,535,520,0,58,92,39,324,3,2,0,2,0,0,1,0,1,1,2,2,0,0,1,3,1,2,1,0,535
15,DOMANPUR,769,647,0,1416,447,395,0,842,797,0,42,193,88,454,5,2,2,2,1,4,2,4,2,1,3,8,0,4,3,7,1,9,2,3,842
16,KHAIRA,688,577,0,1265,429,335,0,764,697,0,101,26,147,430,3,3,1,0,2,1,4,1,6,3,2,11,2,0,2,5,1,5,4,4,764
17,KHAIRA,615,495,0,1110,387,346,0,733,691,0,31,225,145,250,6,7,1,5,4,3,2,0,2,10,7,5,2,7,2,1,0,9,1,8,733
18,BAGHA,590,482,0,1072,326,266,0,592,514,0,34,92,71,365,5,2,0,4,0,1,3,2,2,1,1,2,0,0,0,2,0,5,0,0,592
19,BAGHA,592,487,1,1080,319,293,0,612,578,0,108,187,65,203,2,2,0,9,0,0,0,2,3,2,8,5,1,1,1,1,2,7,1,2,612
20,BAGHA,510,417,0,927,263,230,0,493,466,0,32,6,55,380,3,1,0,4,0,0,0,1,1,2,0,1,0,0,0,3,2,2,0,0,493
21,HASIPUR,598,549,0,1147,300,340,0,640,603,0,34,156,99,321,3,2,2,4,0,1,1,0,2,1,1,2,1,0,0,2,1,5,1,1,640
22,"TILANGA MU. HASIPUR",325,239,0,564,181,165,0,346,279,0,19,199,22,81,1,0,0,0,0,0,0,0,0,0,4,1,5,5,1,1,2,4,1,0,346
23,CHIRAKPUR,513,438,0,951,301,271,0,572,545,0,24,177,44,302,1,0,3,0,0,0,2,0,2,0,2,4,0,0,2,1,1,1,3,3,572
24,FULHA,596,498,0,1094,317,252,0,569,508,0,76,35,75,326,3,5,2,6,5,4,1,5,7,3,0,10,0,0,1,1,0,2,0,2,569
25,FULHA,608,480,0,1088,318,255,0,573,488,0,23,82,214,213,3,3,2,3,3,2,0,2,6,1,1,3,1,2,1,2,2,1,0,3,573
26,"RAMGAN KALA FRIST",495,417,0,912,221,207,0,428,396,0,36,4,41,323,3,0,1,3,0,0,4,0,1,0,1,2,0,0,1,6,0,1,0,1,428
27,"RAMGAN KALA FRIST",440,363,0,803,224,187,0,411,352,0,9,60,45,264,3,0,0,0,0,1,2,2,1,1,1,3,4,4,0,4,0,6,0,1,411
28,"RAMGAN KALA FRIST",635,520,0,1155,362,257,0,619,500,0,77,115,59,309,3,2,2,3,0,1,1,0,2,3,3,9,1,1,6,4,5,7,4,2,619
29,SIKHAN,580,453,0,1033,267,273,0,540,449,0,49,85,55,315,3,1,2,2,0,1,0,0,0,2,3,5,1,0,2,0,0,11,0,3,540
30,SIKHAN,776,619,0,1395,443,344,0,787,720,0,146,218,84,294,10,7,4,4,1,3,1,1,0,2,0,2,0,1,0,1,0,5,0,3,787
31,SIKHAN,415,348,0,763,182,157,0,339,339,0,129,16,12,157,2,0,0,1,0,0,0,1,1,0,0,2,3,1,0,2,3,9,0,0,339
32,SIKHAN,822,653,0,1475,451,331,0,782,695,0,164,98,151,264,11,6,1,4,0,1,2,2,5,3,7,4,8,5,1,6,11,22,6,0,782
33,GORAIYA,386,325,0,711,186,158,0,344,269,0,140,23,12,147,2,3,0,2,1,0,0,0,2,0,0,6,1,1,0,0,0,2,0,2,344
34,VITHTHALPUR,609,509,0,1118,335,291,0,626,560,0,101,197,11,255,5,1,1,1,0,3,0,1,15,3,5,6,5,0,0,5,1,5,2,3,626
35,BHUAALPUR,598,472,0,1070,257,198,0,455,415,0,136,8,15,261,4,2,1,2,0,3,2,1,3,1,2,4,1,0,0,5,0,3,0,1,455
36,PACHRAV,762,642,2,1406,446,340,0,786,730,0,122,186,32,396,5,3,1,1,0,2,2,3,5,4,3,5,1,0,1,5,0,4,2,3,786
37,PACHRAV,473,365,0,838,289,245,0,534,447,0,97,66,67,281,3,1,0,1,1,1,0,0,1,1,2,4,0,1,0,1,0,3,1,2,534
38,LARCHUTH,241,210,0,451,130,117,0,247,182,0,14,93,12,118,1,2,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,247
39,BATAUAA,368,309,0,677,227,181,0,408,384,0,21,103,86,172,4,0,0,1,0,1,1,1,3,2,3,5,0,1,0,1,1,0,1,1,408
40,PURANPATTI,593,534,0,1127,279,311,0,590,548,0,19,197,105,219,6,1,1,12,3,1,1,3,2,3,3,8,0,0,0,2,0,0,0,4,590
41,MAGRAHA,507,429,0,936,296,255,0,551,483,0,6,159,98,247,4,2,1,3,0,0,6,2,1,4,2,4,0,0,1,2,1,3,0,5,551
42,MAGRAHA,705,696,0,1401,336,342,0,678,639,0,52,28,115,455,3,2,1,4,0,0,2,0,0,0,2,1,0,2,2,1,0,4,2,2,678
43,KHANPUR,251,208,0,459,123,102,0,225,180,0,85,5,6,120,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,225
44,KHANPUR,721,648,0,1369,394,336,0,730,663,0,85,109,127,385,2,1,0,2,0,0,1,1,1,1,1,2,2,4,0,3,1,2,0,0,730
45,SONBARSA,557,505,0,1062,303,280,0,583,504,0,37,176,35,288,5,7,3,3,1,1,2,1,2,6,0,5,1,0,2,1,1,3,1,2,583
46,SHILPI,607,496,0,1103,324,290,0,614,576,0,123,246,33,165,8,2,1,2,1,2,3,2,2,3,6,5,1,2,1,2,0,2,1,1,614
47,KATHERAWA,487,441,0,928,315,268,0,583,492,0,22,64,32,440,3,1,0,1,1,0,2,0,5,1,0,3,1,0,1,0,0,4,1,1,583
48,MANIYA,458,380,0,838,250,219,0,469,457,0,29,157,25,227,1,0,0,1,0,0,1,0,1,1,4,1,2,4,3,2,0,9,1,0,469
49,MAVAIYA,492,387,0,879,215,268,0,483,429,0,118,69,12,268,1,1,0,0,0,0,1,1,2,0,0,6,1,0,0,1,0,2,0,0,483
50,MAINUDDINPUR,495,390,0,885,316,228,0,544,523,0,14,207,20,258,0,0,0,2,2,0,4,11,0,5,4,4,1,1,1,3,1,5,1,0,544
51,MAINUDDINPUR,456,399,0,855,267,272,0,539,485,0,91,81,81,226,0,1,0,2,0,0,3,23,7,1,4,5,1,3,0,3,1,5,0,1,539
52,TAMMANPATTI,516,427,0,943,286,285,0,571,533,0,36,283,23,188,4,1,1,3,2,0,2,2,4,1,1,0,2,2,0,4,0,4,2,6,571
53,MEDIYA,490,433,0,923,288,255,0,543,497,0,40,2,56,400,4,1,1,2,1,0,0,0,1,2,0,5,1,5,2,6,0,10,0,4,543
54,MEDIYA,478,418,0,896,308,277,0,585,554,0,62,184,118,182,4,2,2,2,1,0,1,0,0,5,2,2,3,2,1,2,0,6,2,2,585
55,BASARATPUR,557,460,0,1017,334,296,0,630,555,0,47,337,7,211,2,1,0,1,0,1,0,1,2,0,2,2,3,5,0,5,0,2,1,0,630
56,"MAJHWA TRASH",393,347,0,740,242,210,0,452,439,0,9,5,205,211,0,1,1,2,0,2,1,2,1,1,1,2,2,0,1,0,1,0,1,3,452
57,CHAUDHARIPUR,256,216,0,472,207,161,0,368,358,0,7,9,35,312,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,368
58,KUSHA,529,434,0,963,285,267,0,552,509,0,84,77,94,266,1,0,1,2,1,1,1,0,1,4,0,4,1,0,2,2,1,4,2,3,552
59,KUSHA,590,447,1,1038,357,258,0,615,603,0,55,186,79,274,1,3,2,3,1,0,1,0,0,1,0,4,0,0,1,1,0,3,0,0,615
60,ADALPURA,714,646,0,1360,405,372,0,777,759,0,27,126,101,472,5,4,2,4,3,0,2,2,0,0,1,1,1,1,3,4,3,9,0,6,777
61,ADALPURA,429,382,0,811,251,166,0,417,382,0,24,13,41,286,6,5,2,2,0,3,1,3,2,4,3,4,1,0,1,7,1,8,0,0,417
62,"AA0 LA0 SULTANPUR",917,822,0,1739,546,450,0,996,932,0,47,354,174,360,5,5,1,7,2,1,3,2,2,6,2,6,1,2,2,3,1,5,2,3,996
63,"AA0 LA0 SULTANPUR",636,520,0,1156,339,338,0,677,669,0,65,111,211,229,3,4,0,8,0,3,6,3,2,2,4,4,2,2,2,0,2,4,3,7,677
64,"AA0 LA0 SULTANPUR",450,358,0,808,184,267,0,451,408,0,32,12,152,209,2,7,0,5,0,0,2,5,3,0,2,10,0,1,0,0,1,5,0,3,451
65,SURASI,339,271,0,610,218,162,0,380,318,0,73,81,113,84,1,2,0,1,0,3,1,2,0,2,1,4,3,2,0,1,0,2,2,2,380
66,SURASI,677,586,0,1263,446,387,0,833,819,0,104,170,176,292,6,3,2,5,2,3,5,5,8,8,5,11,3,2,1,6,2,7,3,4,833
67,"KELA BELA",362,327,0,689,206,251,0,457,425,0,18,96,22,282,5,4,2,4,1,0,0,1,2,3,2,1,1,2,2,4,1,3,0,1,457
68,MAHRACH,890,652,0,1542,496,392,0,888,806,0,52,433,64,259,4,3,3,10,2,0,1,1,3,4,5,11,6,7,4,3,0,9,2,2,888
69,RUDAULI,803,615,0,1418,493,392,0,885,817,0,64,76,429,223,8,4,5,6,1,2,3,1,5,6,1,16,2,3,4,2,6,12,2,4,885
70,RUDAULI,868,674,0,1542,573,432,0,1005,979,0,20,356,118,381,10,5,0,6,3,3,8,2,3,1,10,2,7,26,10,14,1,9,5,5,1005
71,RUDAULI,373,282,0,655,269,186,0,455,414,0,13,17,365,34,1,1,0,2,0,0,4,2,1,3,0,9,1,0,1,0,0,0,0,1,455
72,CHURAMANPUR,306,246,0,552,217,170,0,387,352,0,35,21,206,85,3,3,1,6,0,1,4,0,0,1,1,0,3,2,6,6,1,0,0,2,387
73,DHAURAHRA,363,320,0,683,237,219,0,456,415,0,57,106,16,255,2,0,0,3,0,1,2,0,2,2,2,2,1,1,0,1,0,2,0,1,456
74,BHAURAHI,508,427,0,935,294,272,0,566,496,0,82,76,76,247,5,4,3,2,0,1,2,2,2,1,2,0,8,7,6,5,5,23,2,5,566
75,SAMASPUR,537,393,0,930,297,272,0,569,546,0,61,98,38,296,6,2,3,2,1,2,2,5,8,2,4,9,1,2,3,5,1,9,3,6,569
76,BAHRAMGANJ,908,688,0,1596,492,383,0,875,837,0,43,221,164,338,8,5,4,7,1,3,4,7,9,3,10,15,1,3,4,7,2,10,4,2,875
77,BAHRAMGANJ,327,287,0,614,204,157,0,361,313,0,19,98,33,181,1,0,2,2,0,0,1,0,2,0,1,4,0,4,1,3,1,7,0,1,361
78,"DARGAH SARIF",822,636,0,1458,397,249,0,646,550,0,146,75,182,211,3,3,1,7,0,0,2,0,0,1,0,3,0,0,0,2,2,3,0,5,646
79,"DARGAH SARIF",335,291,0,626,209,165,0,374,330,0,134,25,130,62,1,0,1,1,1,2,4,0,1,0,0,8,2,0,0,0,0,0,0,2,374
80,"SARAI TAKAUR",697,564,0,1261,336,265,0,601,558,0,145,69,64,290,2,2,1,8,1,1,0,0,1,1,2,3,1,0,1,2,2,1,0,4,601
81,"SARAI TAKAUR",549,421,0,970,342,207,0,549,525,0,86,99,46,279,7,1,1,5,2,0,2,1,1,1,2,2,0,0,2,4,0,3,4,1,549
82,"SARAI TAKAUR",837,646,0,1483,438,387,0,825,752,0,270,102,72,333,6,2,4,8,1,0,3,0,2,2,2,5,3,1,0,0,0,4,2,3,825
83,"SARAI TAKAUR",603,499,0,1102,335,271,0,606,582,0,173,167,50,177,7,6,0,4,0,1,0,0,0,1,1,5,3,0,0,2,0,7,1,1,606
84,"SARAI TAKAUR",367,313,0,680,198,162,0,360,337,0,112,32,44,151,3,1,1,1,1,0,2,0,0,0,1,2,1,2,0,1,1,3,1,0,360
85,USMANPUR,905,741,0,1646,491,372,0,863,833,0,118,87,143,438,5,3,3,7,0,7,10,1,6,2,1,8,2,4,3,5,1,6,0,3,863
86,CHUNAR,704,559,0,1263,353,331,0,684,638,0,238,57,95,257,0,5,1,8,1,0,0,1,2,2,0,6,5,1,3,0,0,0,0,2,684
87,CHUNAR,852,717,0,1569,556,405,0,961,925,0,146,81,85,579,4,5,4,12,5,5,1,2,6,2,4,5,1,0,3,1,0,5,1,4,961
88,CHUNAR,464,396,0,860,272,206,0,478,414,0,162,29,43,207,3,4,1,2,1,2,1,3,4,2,1,5,0,0,0,4,0,4,0,0,478
89,CHUNAR,834,642,0,1476,406,301,0,707,675,0,225,40,54,353,3,3,0,5,1,1,3,0,1,2,2,3,4,0,1,0,1,2,1,2,707
90,CHUNAR,696,561,0,1257,412,353,0,765,729,0,223,33,152,329,0,2,1,5,0,2,7,1,1,3,0,3,0,0,0,0,0,3,0,0,765
91,CHUNAR,398,310,0,708,230,158,0,388,357,0,101,80,15,166,1,0,0,5,1,1,0,0,1,2,1,0,3,1,0,3,1,5,1,0,388
92,CHUNAR,515,441,0,956,297,208,0,505,483,0,166,90,77,130,1,1,1,3,1,1,2,0,0,0,4,6,2,3,3,7,1,4,1,1,505
93,CHUNAR,680,583,0,1263,437,322,0,759,732,0,285,6,104,322,3,0,1,3,1,0,1,0,1,0,0,1,7,1,1,13,0,4,1,4,759
94,CHUNAR,944,798,0,1742,315,279,0,594,558,0,120,89,72,274,2,2,0,5,3,1,1,5,0,0,2,13,2,0,0,0,0,1,0,2,594
95,CHUNAR,466,424,0,890,114,105,0,219,177,0,54,61,18,78,0,0,0,1,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,1,219
96,CHUNAR,534,488,0,1022,333,207,0,540,510,0,126,45,105,238,5,4,0,9,0,0,2,0,0,0,0,1,1,1,1,1,0,0,0,1,540
97,"AIBAKPUR MOHANA",648,514,0,1162,394,312,0,706,674,0,14,228,140,252,6,1,0,6,2,1,4,4,3,3,6,13,1,3,2,2,0,6,3,6,706
98,CHUNAR,556,492,0,1048,333,305,0,638,593,0,62,115,163,259,3,5,0,8,0,0,4,1,2,1,1,3,0,1,0,1,1,5,0,3,638
99,CHUNAR,390,317,0,707,227,221,0,448,423,0,48,40,112,232,0,0,2,1,0,0,1,0,2,1,0,0,1,0,0,1,0,3,2,2,448
100,CHUNAR,409,352,0,761,266,197,0,463,428,0,51,64,58,263,1,2,1,1,0,0,1,0,1,3,2,3,0,2,0,3,0,5,0,2,463
101,CHUNAR,688,591,0,1279,386,285,0,671,582,0,188,17,76,366,0,3,1,5,0,0,0,0,2,1,1,3,0,0,0,0,0,4,1,3,671
102,CHUNAR,855,664,0,1519,447,353,0,800,765,0,223,63,56,381,7,7,3,10,3,1,3,0,0,4,0,9,4,4,3,3,2,7,3,4,800
103,PIRRLIPUR,360,322,0,682,247,210,0,457,388,0,43,195,144,49,3,2,1,3,0,0,2,1,1,0,1,2,0,1,1,0,1,2,2,3,457
104,FULWANI,337,317,0,654,202,185,0,387,361,0,90,41,73,130,5,4,4,10,0,0,2,2,4,1,2,8,3,1,1,1,0,2,0,3,387
105,JAMUI,558,468,0,1026,393,342,0,735,697,0,40,470,15,149,4,3,1,4,2,0,0,0,3,3,3,5,4,11,2,1,3,4,3,5,735
106,JAMUI,338,297,0,635,191,160,0,351,284,0,39,21,36,238,1,1,1,1,1,0,1,1,1,0,0,3,0,0,1,1,1,3,0,0,351
107,SUNDARPUR,280,225,0,505,180,124,0,304,258,0,24,50,59,155,0,2,0,2,0,0,0,0,0,1,0,0,0,1,1,0,2,6,1,0,304
108,"JALALPUR MAPHI",559,489,0,1048,327,256,0,583,556,0,100,17,67,372,4,1,3,0,0,1,2,0,1,1,1,1,1,2,2,7,0,0,0,0,583
109,"JALALPUR MAPHI",792,619,1,1412,443,351,0,794,756,0,70,332,244,92,2,4,0,1,1,1,2,6,2,4,8,6,2,2,0,1,1,4,6,3,794
110,"JALALPUR MAPHI",532,491,0,1023,310,291,0,601,550,0,22,29,53,460,5,1,0,4,1,1,0,1,4,1,1,1,2,2,0,6,1,4,1,1,601
111,"JALALPUR MAPHI",542,479,0,1021,300,261,0,561,524,0,8,0,58,477,1,1,0,1,0,0,0,2,0,0,1,1,0,0,1,3,2,2,2,1,561
112,KESAVPUR,366,342,0,708,202,204,0,406,336,0,19,42,29,307,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,1,406
113,BAGHI,551,491,0,1042,314,266,0,580,566,0,42,98,35,382,1,1,0,5,0,0,0,0,1,0,1,0,0,1,0,4,2,4,0,3,580
114,BAGHI,445,396,0,841,259,214,0,473,458,0,16,3,22,400,3,1,0,3,1,0,1,0,4,1,2,0,0,0,1,5,2,3,1,4,473
115,SHIVPUR,699,587,0,1286,391,336,0,727,683,0,42,119,235,289,7,2,1,3,1,0,2,0,1,1,4,2,4,1,2,1,0,5,2,3,727
116,DHARMMARPUR,534,430,0,964,304,296,0,600,534,0,119,112,20,312,2,1,1,6,0,0,3,0,5,3,0,6,2,0,0,0,0,4,2,2,600
117,GOVINDPUR,279,227,0,506,190,135,0,325,277,0,8,52,6,240,1,0,0,1,0,0,0,8,0,1,0,0,0,1,0,3,0,3,1,0,325
118,GANGPUR,878,707,0,1585,446,393,0,839,801,0,79,236,49,376,5,5,5,5,3,1,5,5,5,4,4,12,4,1,1,2,4,15,3,10,839
119,GANGPUR,620,587,0,1207,355,325,0,680,651,0,25,5,43,559,6,2,2,3,1,0,0,5,3,2,4,8,1,0,0,1,1,7,1,1,680
120,BAWANIPUR,341,305,0,646,206,196,0,402,366,0,52,30,4,303,0,1,0,0,0,0,1,0,1,0,1,2,1,2,0,0,3,1,0,0,402
121,RAMRAIPUR,367,318,0,685,208,153,0,361,317,0,22,16,69,249,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,361
122,"NIYAMATPUR KURD",795,720,0,1515,462,417,0,879,869,0,46,101,65,618,3,6,1,0,0,0,0,0,2,2,3,3,3,1,2,7,1,10,1,4,879
123,SHAHSPURA,643,578,0,1221,406,313,0,719,693,0,115,8,64,477,4,2,2,20,1,0,1,0,1,0,2,4,2,0,1,5,0,7,2,1,719
124,SHAHSPURA,722,619,0,1341,408,318,0,726,718,0,60,99,92,400,5,3,3,20,1,2,2,1,2,3,0,3,0,5,0,6,0,14,4,1,726
125,KASHIPUR,444,362,0,806,254,220,0,474,431,0,77,97,72,200,5,2,1,3,1,3,3,0,1,0,1,2,3,1,1,1,0,0,0,0,474
126,"NIYAMATPUR KALA",686,603,0,1289,414,384,0,798,778,0,103,207,39,382,1,2,0,11,6,0,0,1,5,2,5,6,5,4,1,5,0,3,4,6,798
127,DARRA,734,623,0,1357,431,367,0,798,723,0,58,109,30,510,9,6,3,7,3,1,6,4,2,4,1,7,3,5,2,4,4,13,3,4,798
128,BAGHERI,432,352,0,784,276,161,0,437,412,0,24,4,41,345,4,0,0,1,1,0,1,1,5,0,1,3,0,2,0,1,0,1,0,2,437
129,BAGHERI,553,484,0,1037,319,300,0,619,588,0,40,36,31,465,1,3,0,13,0,1,1,4,4,2,0,4,0,3,1,2,2,2,1,3,619
130,FATTEPUR,360,358,0,718,241,224,0,465,398,0,33,32,25,340,8,0,0,4,0,0,2,4,2,1,0,2,0,1,1,0,0,8,2,0,465
131,PRATAPPUR,580,547,0,1127,367,374,0,741,717,0,39,59,94,498,6,3,1,6,4,2,3,0,1,3,3,9,0,1,1,2,2,2,1,1,741
132,SONAI,836,655,0,1491,518,408,0,926,860,0,87,82,91,521,12,5,33,6,4,3,8,1,7,7,7,1,3,2,4,10,4,21,2,5,926
133,BARIJIWANPUR,568,433,0,1001,403,261,0,664,591,0,103,45,55,418,0,0,1,1,0,1,3,9,6,2,1,2,1,0,0,1,1,7,2,5,664
134,BARIJIWANPUR,326,293,0,619,219,187,0,406,369,0,48,114,38,192,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,4,0,3,0,1,406
135,BEGPUR,576,460,0,1036,332,289,0,621,554,0,117,89,109,252,0,4,2,3,1,2,5,3,3,4,3,8,1,5,0,1,0,6,1,2,621
136,BAHADURPUR,239,214,0,453,158,125,0,283,255,0,14,9,21,213,1,1,1,2,0,3,2,3,1,0,3,1,0,1,1,1,0,3,0,2,283
137,KAMALPUR,467,345,0,812,254,187,0,441,420,0,148,63,202,17,0,0,0,2,0,1,0,0,0,2,1,3,0,0,0,0,0,1,0,1,441
138,RAMJI,311,254,0,565,179,169,0,348,344,0,48,0,34,35,195,3,2,0,1,0,1,3,2,7,4,3,4,0,0,0,1,1,2,2,348
139,RUPAUDHA,731,567,0,1298,405,409,0,814,809,0,75,90,129,470,4,1,1,4,0,0,5,1,7,1,1,12,0,1,1,3,1,4,1,2,814
140,RUPAUDHA,192,195,0,387,137,128,0,265,260,0,14,122,27,87,2,0,0,2,1,0,2,1,1,0,1,0,1,1,0,0,0,0,1,2,265
141,PARSIYA,415,339,0,754,276,210,0,486,480,0,39,37,33,354,0,2,1,1,1,0,0,2,2,3,0,4,0,0,0,0,0,6,1,0,486
142,RASULPUR,516,422,0,938,323,280,0,603,598,0,262,53,89,176,5,2,1,1,0,0,2,2,0,0,0,2,0,0,0,0,2,1,0,5,603
143,AGARSAND,630,502,0,1132,401,272,0,673,666,0,97,97,9,426,5,2,0,1,0,3,1,2,7,2,4,3,3,4,0,0,0,3,1,3,673
144,RAMPUR,268,261,0,529,201,183,0,384,376,0,29,168,28,131,2,1,0,0,1,1,0,1,1,5,3,4,0,1,2,3,2,0,1,0,384
145,BANGLA,428,371,0,799,276,219,0,495,488,0,12,26,28,393,8,0,0,2,0,1,3,3,4,0,1,0,0,1,1,4,0,6,2,0,495
146,DEWARIYA,795,666,0,1461,518,436,0,954,945,0,124,199,58,483,13,1,2,5,3,0,0,3,3,6,6,7,6,4,1,7,4,12,2,5,954
147,GHARWASPUR,697,605,0,1302,443,340,0,783,760,0,47,99,117,480,2,2,1,2,0,0,4,1,5,1,1,1,3,1,0,4,1,8,0,3,783
148,BELWARI,535,474,0,1009,327,266,0,593,525,0,19,8,38,471,4,3,1,1,0,2,3,5,7,1,3,1,3,1,1,4,1,11,2,3,593
149,JAGARNATHPUR,472,387,0,859,320,254,0,574,529,0,26,51,72,318,3,3,20,1,1,6,6,2,9,3,3,9,4,4,3,5,8,14,1,2,574
150,"MAHMMADPUR ALIES DAYALPUR",559,481,0,1040,324,299,0,623,547,0,221,52,29,273,10,1,9,4,1,1,2,0,0,1,0,5,4,0,2,2,0,3,1,2,623
151,SHIVRAJPUR,352,349,0,701,267,222,0,489,466,0,19,52,64,345,2,1,0,1,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,489
152,DIXITPUR,439,405,0,844,296,249,0,545,498,0,102,8,35,369,1,0,0,10,2,1,0,2,3,1,1,0,3,0,0,1,0,3,0,3,545
153,DIXITPUR,411,342,0,753,245,215,0,460,448,0,23,262,54,98,2,1,5,1,0,3,0,1,1,1,2,0,1,0,0,0,0,1,2,2,460
154,BELA,650,565,0,1215,381,312,0,693,684,0,56,183,75,337,3,1,0,13,0,0,2,1,0,1,1,1,0,2,2,4,0,6,2,3,693
155,KAILAHAT,601,533,0,1134,319,262,0,581,537,0,109,69,63,274,6,3,0,0,1,0,3,1,0,0,3,4,5,7,6,14,0,9,1,3,581
156,KAILAHAT,755,630,0,1385,484,409,0,893,853,0,107,25,66,625,6,4,2,18,3,1,0,3,4,3,4,5,0,0,3,1,0,9,2,2,893
157,VISHUNPURA,373,359,0,732,217,199,0,416,406,0,31,2,76,283,0,1,0,3,1,0,0,1,1,0,1,3,0,1,1,3,1,6,1,0,416
158,PACHEWARA,673,572,0,1245,433,329,0,762,752,0,246,97,97,267,9,4,1,5,3,0,3,0,3,2,4,7,0,0,0,2,0,5,2,5,762
159,NAKAHARA,790,645,0,1435,437,368,0,805,739,0,95,123,50,501,2,2,1,5,1,0,0,1,0,3,1,3,2,3,3,1,2,4,2,0,805
160,BHAREHATA,447,406,0,853,267,226,0,493,482,0,61,9,26,376,3,0,0,1,0,0,0,1,4,0,0,3,0,0,0,1,0,5,1,2,493
