state	constituency	votes	candidate	party
Chhattisgarh	Beltara	708	DUJRAM THOSARIYA	Independent
Chhattisgarh	Beltara	663	SANTOSH SINGH THAKUR	Independent
Chhattisgarh	Beltara	650	SANJAY SINGH CHAUHAN	Nationalist Congress Party
Chhattisgarh	Beltara	360	KRANTI KUMAR MATHUR	Independent
Chhattisgarh	Beltara	358	GAUKARAN RATRE	Independent
Chhattisgarh	Beltara	335	LILLU SINGH THAKUR	Shivsena
Chhattisgarh	Beltara	293	ASHOK SHANDE	Bahujan Samaj Mukti Morcha
Chhattisgarh	Beltara	280	BARANLAL KARIYARE	Lok Jan Shakti Party
Chhattisgarh	Beltara	265	ASHOK KUMAR DHIVAR	Akhil Bhartiya Gondwana Party
Chhattisgarh	Beltara	1607	None of the Above	None of the Above
Chhattisgarh	Bemetara	74162	AWADHESH SINGH CHANDEL	Bharatiya Janata Party
Chhattisgarh	Bemetara	59048	TAMRADHWAJ SAHU	Indian National Congress
Chhattisgarh	Bemetara	5731	SHIV KUMAR SAHU	Independent
Chhattisgarh	Bemetara	3823	JEEVAN SAHU	Chattisgarh Swabhiman Manch
Chhattisgarh	Bemetara	2930	LAXMI NARAYAN SAHU	Independent
Chhattisgarh	Bemetara	2421	SANJAY MISHRA	Independent
Chhattisgarh	Bemetara	1549	BAHAL SINGH VERMA	Bahujan Samaj Party
Chhattisgarh	Bemetara	1254	CHANDRA KUMAR SONWANI	Independent
Chhattisgarh	Bemetara	862	MOHIT KUMAR PANDAY	Independent
Chhattisgarh	Bemetara	632	JIRENDRA NISHAD	Gondvana Gantantra Party
Chhattisgarh	Bemetara	538	SANTOSH KUMAR PATIL	Samajwadi Party
Chhattisgarh	Bemetara	362	VISHNU KOSHLE	Bahujan Samaj Mukti Morcha
Chhattisgarh	Bemetara	294	GURU DADA LOKESH MAHRAJ	Azad Janata Party
Chhattisgarh	Bemetara	243	ROHIT SINHA	National People’s Party
Chhattisgarh	Bemetara	238	PRABHA DEVI PATEL	Bharatiya Bahujan Party
Chhattisgarh	Bemetara	224	DUKHIT RAM	Lok Jan Shakti Party
Chhattisgarh	Bemetara	207	MANOJ DUBEY	Akhil Bhartiya Gondwana Party
Chhattisgarh	Bemetara	2424	None of the Above	None of the Above
