Constituency,Constituency-code,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,State,State-code
Jadavpur,22,SUGATA BOSE,All India Trinamool Congress,SUJAN CHAKRABORTY,Communist Party of India  (Marxist),125203,Result Declared,West Bengal,S25
Jalpaiguri,3,BIJOY CHANDRA BARMAN,All India Trinamool Congress,MAHENDRA KUMAR ROY,Communist Party of India  (Marxist),69606,Result Declared,West Bengal,S25
Jangipur,9,ABHIJIT MUKHERJEE,Indian National Congress,MUZAFFAR HOSSAIN,Communist Party of India  (Marxist),8161,Result Declared,West Bengal,S25
Jhargram,33,UMA SAREN,All India Trinamool Congress,DR. PULIN BIHARI BASKE,Communist Party of India  (Marxist),347883,Result Declared,West Bengal,S25
Joynagar,19,PRATIMA MONDAL,All India Trinamool Congress,SUBHAS NASKAR,Revolutionary Socialist Party,108384,Result Declared,West Bengal,S25
Kanthi,31,ADHIKARI SISIR KUMAR,All India Trinamool Congress,SINHA TAPAS,Communist Party of India  (Marxist),229490,Result Declared,West Bengal,S25
Kolkata Dakshin,23,SUBRATA BAKSHI,All India Trinamool Congress,TATHAGATA ROY,Bharatiya Janata Party,136339,Result Declared,West Bengal,S25
Kolkata Uttar,24,SUDIP BANDYOPADHYAY,All India Trinamool Congress,RAHUL (BISWAJIT) SINHA,Bharatiya Janata Party,96226,Result Declared,West Bengal,S25
Krishnanagar,12,TAPAS PAUL,All India Trinamool Congress,JHA SHANTANU,Communist Party of India  (Marxist),71255,Result Declared,West Bengal,S25
Maldaha Dakshin,8,ABU HASEM KHAN CHOWDHURY,Indian National Congress,BISNU PADA ROY,Bharatiya Janata Party,164111,Result Declared,West Bengal,S25
Maldaha Uttar,7,MAUSAM NOOR,Indian National Congress,KHAGEN MURMU,Communist Party of India  (Marxist),65705,Result Declared,West Bengal,S25
Mathurapur,20,CHOUDHURY MOHAN JATUA,All India Trinamool Congress,RINKU NASKAR,Communist Party of India  (Marxist),138436,Result Declared,West Bengal,S25
Medinipur,34,SANDHYA ROY,All India Trinamool Congress,PRABODH PANDA,Communist Party of India,184666,Result Declared,West Bengal,S25
Murshidabad,11,BADARUDDOZA KHAN,Communist Party of India  (Marxist),ABDUL MANNAN HOSSAIN,Indian National Congress,18453,Result Declared,West Bengal,S25
Purulia,35,DR. MRIGANKA MAHATO,All India Trinamool Congress,NARAHARI  MAHATO,All India Forward Bloc,153877,Result Declared,West Bengal,S25
Raiganj,5,MD. SALIM,Communist Party of India  (Marxist),DEEPA DASMUNSI,Indian National Congress,1634,Result Declared,West Bengal,S25
Ranaghat,13,TAPAS MANDAL,All India Trinamool Congress,ARCHANA BISWAS,Communist Party of India  (Marxist),201767,Result Declared,West Bengal,S25
Srerampur,27,KALYAN BANERJEE,All India Trinamool Congress,TIRTHANKAR RAY,Communist Party of India  (Marxist),152526,Result Declared,West Bengal,S25
Tamluk,30,ADHIKARI SUVENDU,All India Trinamool Congress,SEKH IBRAHIM ALI,Communist Party of India  (Marxist),246481,Result Declared,West Bengal,S25
Uluberia,26,SULTAN AHMED,All India Trinamool Congress,SABIR UDDIN MOLLA,Communist Party of India  (Marxist),201222,Result Declared,West Bengal,S25
BASTAR,10,DINESH KASHYAP,Bharatiya Janata Party,DEEPAK KARMA (BUNTY),Indian National Congress,124359,Result Declared,Chhattisgarh,S26
BILASPUR,5,LAKHAN LAL SAHU,Bharatiya Janata Party,KARUNA SHUKLA,Indian National Congress,176436,Result Declared,Chhattisgarh,S26
DURG,7,TAMRADHWAJ SAHU,Indian National Congress,SAROJ PANDEY,Bharatiya Janata Party,16848,Result Declared,Chhattisgarh,S26
JANJGIR-CHAMPA,3,KAMLA PATLE,Bharatiya Janata Party,PREM CHAND JAYASI,Indian National Congress,174961,Result Declared,Chhattisgarh,S26
KANKER,11,VIKRAM DEV USENDI,Bharatiya Janata Party,FOOLODEVI NETAM,Indian National Congress,35158,Result Declared,Chhattisgarh,S26
KORBA,4,DR. BANSHILAL MAHTO,Bharatiya Janata Party,CHARAN DAS MAHANT,Indian National Congress,4265,Result Declared,Chhattisgarh,S26
MAHASAMUND,9,CHANDU LAL SAHU (CHANDU BHAIYA),Bharatiya Janata Party,AJIT JOGI,Indian National Congress,1217,Result Declared,Chhattisgarh,S26
RAIGARH,2,VISHNU DEO SAI,Bharatiya Janata Party,ARTI SINGH,Indian National Congress,216750,Result Declared,Chhattisgarh,S26
RAIPUR,8,RAMESH BAIS,Bharatiya Janata Party,SATYA NARAYAN SHARMA (SATTU BHAIYA),Indian National Congress,171646,Result Declared,Chhattisgarh,S26
RAJNANDGAON,6,ABHISHEK SINGH,Bharatiya Janata Party,KAMLESHWAR VERMA,Indian National Congress,235911,Result Declared,Chhattisgarh,S26
SARGUJA,1,KAMALBHAN SINGH MARABI,Bharatiya Janata Party,RAM DEV RAM,Indian National Congress,147236,Result Declared,Chhattisgarh,S26
Chatra,4,SUNIL KUMAR SINGH,Bharatiya Janata Party,DHIRAJ PRASAD SAHU,Indian National Congress,178026,Result Declared,Jharkhand,S27
Dhanbad,7,PASHUPATI NATH SINGH,Bharatiya Janata Party,AJAY KUMAR DUBEY,Indian National Congress,292954,Result Declared,Jharkhand,S27
Dumka,2,SHIBU SOREN,Jharkhand Mukti Morcha,SUNIL SOREN,Bharatiya Janata Party,39030,Result Declared,Jharkhand,S27
Giridih,6,RAVINDRA KUMAR PANDEY,Bharatiya Janata Party,JAGARNATH MAHTO,Jharkhand Mukti Morcha,40313,Result Declared,Jharkhand,S27
Godda,3,NISHIKANT DUBEY,Bharatiya Janata Party,FURKAN ANSARI,Indian National Congress,60682,Result Declared,Jharkhand,S27
Hazaribagh,14,JAYANT SINHA,Bharatiya Janata Party,SAURABH NARAIN SINGH,Indian National Congress,159128,Result Declared,Jharkhand,S27
Jamshedpur,9,BIDYUT BARAN MAHATO,Bharatiya Janata Party,AJAY KUMAR,Jharkhand Vikas Morcha (Prajatantrik),99876,Result Declared,Jharkhand,S27
Khunti,11,KARIA MUNDA,Bharatiya Janata Party,ANOSH EKKA,Jharkhand Party,92248,Result Declared,Jharkhand,S27
Kodarma,5,RAVINDRA KR. RAY,Bharatiya Janata Party,RAJKUMAR YADAV,Communist Party of India  (Marxist-Leninist)  (Liberation),98654,Result Declared,Jharkhand,S27
Lohardaga,12,SUDARSHAN BHAGAT,Bharatiya Janata Party,RAMESHWAR ORAON,Indian National Congress,6489,Result Declared,Jharkhand,S27
Palamau,13,VISHNU DAYAL RAM,Bharatiya Janata Party,MANOJ KUMAR,Rashtriya Janata Dal,263942,Result Declared,Jharkhand,S27
Rajmahal,1,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,HEMLAL MURMU,Bharatiya Janata Party,41337,Result Declared,Jharkhand,S27
Ranchi,8,RAM TAHAL CHOUDHARY,Bharatiya Janata Party,SUBODH KANT SAHAY,Indian National Congress,199303,Result Declared,Jharkhand,S27
Singhbhum,10,LAXMAN GILUWA,Bharatiya Janata Party,GEETA KORA,Jai Bharat Samanta Party,87524,Result Declared,Jharkhand,S27
Almora,3,AJAY TAMTA,Bharatiya Janata Party,PRADEEP TAMTA,Indian National Congress,95690,Result Declared,Uttarakhand,S28
Garhwal,2,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janata Party,(DR) HARAK SINGH RAWAT,Indian National Congress,184526,Result Declared,Uttarakhand,S28
Hardwar,5,RAMESH POKHRIYAL NISHANK,Bharatiya Janata Party,RENUKA RAWAT,Indian National Congress,177822,Result Declared,Uttarakhand,S28
Nainital-udhamsingh Nagar,4,BHAGAT SINGH KOSHYARI,Bharatiya Janata Party,K.C.SINGH BABA,Indian National Congress,284717,Result Declared,Uttarakhand,S28
Tehri Garhwal,1,MALA RAJYA LAXMI SHAH,Bharatiya Janata Party,SAKET BAHUGUNA,Indian National Congress,192503,Result Declared,Uttarakhand,S28
Andaman & Nicobar Islands,1,BISHNU PADA RAY,Bharatiya Janata Party,KULDEEP RAI SHARMA,Indian National Congress,7812,Result Declared,Andaman & Nicobar Islands,U01
CHANDIGARH,1,KHER KIRRON ANUPAM,Bharatiya Janata Party,PAWAN KUMAR BANSAL,Indian National Congress,69642,Result Declared,Chandigarh,U02
Dadar & Nagar Haveli,1,PATEL NATUBHAI GOMANBHAI,Bharatiya Janata Party,DELKAR MOHANBHAI SANJIBHAI,Indian National Congress,6214,Result Declared,Dadra & Nagar Haveli,U03
Daman & diu,1,PATEL LALUBHAI BABUBHAI,Bharatiya Janata Party,KETAN DAHYABHAI PATEL,Indian National Congress,9222,Result Declared,Daman & Diu,U04
CHANDNI CHOWK,1,DR. HARSH VARDHAN,Bharatiya Janata Party,ASHUTOSH,Aam Aadmi Party,136320,Result Declared,NCT OF Delhi,U05
EAST DELHI,3,MAHEISH GIRRI,Bharatiya Janata Party,RAJMOHAN GANDHI,Aam Aadmi Party,190463,Result Declared,NCT OF Delhi,U05
NEW DELHI,4,MEENAKASHI LEKHI,Bharatiya Janata Party,ASHISH KHETAN,Aam Aadmi Party,162708,Result Declared,NCT OF Delhi,U05
NORTH EAST DELHI,2,MANOJ TIWARI,Bharatiya Janata Party,ANAND KUMAR,Aam Aadmi Party,144084,Result Declared,NCT OF Delhi,U05
NORTH WEST DELHI,5,UDIT RAJ,Bharatiya Janata Party,RAKHI BIRLA,Aam Aadmi Party,106802,Result Declared,NCT OF Delhi,U05
SOUTH DELHI,7,RAMESH BIDHURI,Bharatiya Janata Party,COL DEVINDER SEHRAWAT,Aam Aadmi Party,107000,Result Declared,NCT OF Delhi,U05
WEST DELHI,6,PARVESH SAHIB SINGH VERMA,Bharatiya Janata Party,JARNAIL SINGH,Aam Aadmi Party,268586,Result Declared,NCT OF Delhi,U05
Lakshadweep,1,MOHAMMED FAIZAL P.P.,Nationalist Congress Party,HAMDULLAH SAYEED,Indian National Congress,1535,Result Declared,Lakshadweep,U06
Puducherry,1,R. RADHAKRISHNAN,All India N.R. Congress,V. NARAYANASAMY,Indian National Congress,60854,Result Declared,Puducherry,U07
