Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
None of the Above,None of the Above,6705,Andhra Pradesh,Mahabubabad,S01,16
PONGULETI  SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,395695,Andhra Pradesh,Khammam,S01,17
NAMA NAGESWARA RAO,Telugu Desam,382540,Andhra Pradesh,Khammam,S01,17
KANKANALA NARAYANA,Communist Party of India,176468,Andhra Pradesh,Khammam,S01,17
BUDAN BAIG SHAIK,Telangana Rashtra Samithi,84368,Andhra Pradesh,Khammam,S01,17
LINGALA RAVI KUMAR,Independent,9424,Andhra Pradesh,Khammam,S01,17
GOKINEPALLI VENKATESWARA RAO,Independent,7853,Andhra Pradesh,Khammam,S01,17
BACHALA LAXMAIAH,Independent,6143,Andhra Pradesh,Khammam,S01,17
MOKALLA RAMESH,Independent,5320,Andhra Pradesh,Khammam,S01,17
KAKI BHASKAR,Independent,5199,Andhra Pradesh,Khammam,S01,17
NAGARJUNA CHERUKURU,Jai Samaikyandhra Party,4747,Andhra Pradesh,Khammam,S01,17
DODDA RAM BABU,Bahujan Samaj Party,4510,Andhra Pradesh,Khammam,S01,17
NAGIREDDY RAJI REDDY,Independent,4285,Andhra Pradesh,Khammam,S01,17
MEDARAMETLA  RAMA RAO,Pyramid Party of India,3981,Andhra Pradesh,Khammam,S01,17
BANOTH KISHAN NAYAK,Independent,1561,Andhra Pradesh,Khammam,S01,17
GUGULOTHU SARVAN,Independent,1436,Andhra Pradesh,Khammam,S01,17
GUGULOTHU RANJITH KUMAR,Independent,1396,Andhra Pradesh,Khammam,S01,17
BANOTH LAXMA NAIK,Independent,1277,Andhra Pradesh,Khammam,S01,17
RAMESH KOMMU,Independent,1205,Andhra Pradesh,Khammam,S01,17
MUDIGE NAGESWARA RAO,Independent,1149,Andhra Pradesh,Khammam,S01,17
JERRIPOTHULA SRINIVAS,Independent,1081,Andhra Pradesh,Khammam,S01,17
KALTHI VENKATESWARLU,Independent,1014,Andhra Pradesh,Khammam,S01,17
RAMU KANDULA,Independent,972,Andhra Pradesh,Khammam,S01,17
KALTHI RAMULAMMA,Independent,956,Andhra Pradesh,Khammam,S01,17
BUSIREDDY SHANKAR REDDY,Independent,941,Andhra Pradesh,Khammam,S01,17
KANAKAM TIRUMALA RAO,Independent,884,Andhra Pradesh,Khammam,S01,17
SANAPA POMMAIAH,Independent,870,Andhra Pradesh,Khammam,S01,17
MARIKANTI VASUDASU,Independent,851,Andhra Pradesh,Khammam,S01,17
None of the Above,None of the Above,4432,Andhra Pradesh,Khammam,S01,17
KOTHAPALLI GEETHA,Yuvajana Sramika Rythu Congress Party,324853,Andhra Pradesh,Aruku,S01,18
GUMMIDI SANDHYARANI,Telugu Desam,275943,Andhra Pradesh,Aruku,S01,18
KISHORE CHANDRA DEO,Indian National Congress,28082,Andhra Pradesh,Aruku,S01,18
MIDIYAM BABURAO,Communist Party of India  (Marxist),20455,Andhra Pradesh,Aruku,S01,18
KANGALA BALUDORA,Independent,11660,Andhra Pradesh,Aruku,S01,18
CHETTI SANKARARAO,Independent,6895,Andhra Pradesh,Aruku,S01,18
BIDDIKA RAMAIAH,Independent,5021,Andhra Pradesh,Aruku,S01,18
