Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
K SURENDRAN,Bharatiya Janata Party,172826,Kerala,Kasaragod,S11,1
ABDUL SALAM N U,SOCIAL DEMOCRATIC PARTY OF INDIA,9713,Kerala,Kasaragod,S11,1
AMBALATHARA KUNHIKRISHNAN,Aam Aadmi Party,4996,Kerala,Kasaragod,S11,1
MANOHARAN K,Independent,4194,Kerala,Kasaragod,S11,1
ADV. BASHEER ALADY,Bahujan Samaj Party,3104,Kerala,Kasaragod,S11,1
K K ASHOKAN,Independent,3057,Kerala,Kasaragod,S11,1
GOTHRA MOOPAN NELLIKADAN KANNAN,Independent,2655,Kerala,Kasaragod,S11,1
P K RAMAN,Independent,1222,Kerala,Kasaragod,S11,1
KARUNAKARAN PAINGAPPADAN,Independent,1002,Kerala,Kasaragod,S11,1
ABOOBACKER SIDDIQ,Independent,880,Kerala,Kasaragod,S11,1
KARUNAKARAN KALIPPURAYIL,Independent,824,Kerala,Kasaragod,S11,1
ABBAS MOTHALAPPARA,All India Trinamool Congress,632,Kerala,Kasaragod,S11,1
None of the Above,None of the Above,6103,Kerala,Kasaragod,S11,1
P K SREEMATHI TEACHER,Communist Party of India  (Marxist),427622,Kerala,Kannur,S11,2
K SUDHAKARAN,Indian National Congress,421056,Kerala,Kannur,S11,2
P C MOHANAN MASTER,Bharatiya Janata Party,51636,Kerala,Kannur,S11,2
K K ABDUL JABBAR,SOCIAL DEMOCRATIC PARTY OF INDIA,19170,Kerala,Kannur,S11,2
SASIDHARAN K V,Aam Aadmi Party,6106,Kerala,Kannur,S11,2
K SUDHAKARAN (KOLLON HOUSE),Independent,4240,Kerala,Kannur,S11,2
K SUDHAKARAN (SREESHYLAM),Independent,2745,Kerala,Kannur,S11,2
P P MOHANAN,Independent,2371,Kerala,Kannur,S11,2
N ABDULLA DAVUD,Bahujan Samaj Party,2109,Kerala,Kannur,S11,2
P P ABOOBACKAR,Communist Party of India (Marxist-Leninist) Red Star,1536,Kerala,Kannur,S11,2
SREEMATHI PUTHALATH,Independent,1500,Kerala,Kannur,S11,2
None of the Above,None of the Above,7026,Kerala,Kannur,S11,2
MULLAPPALLY RAMACHANDRAN,Indian National Congress,416479,Kerala,Vadakara,S11,3
ADV.A.N.SHAMSEER,Communist Party of India  (Marxist),413173,Kerala,Vadakara,S11,3
V.K.SAJEEVAN,Bharatiya Janata Party,76313,Kerala,Vadakara,S11,3
ADV.P.KUMARANKUTTY,Independent,17229,Kerala,Vadakara,S11,3
P.ABDUL HAMEED  MASTER,SOCIAL DEMOCRATIC PARTY OF INDIA,15058,Kerala,Vadakara,S11,3
ALI AKBAR,Aam Aadmi Party,6245,Kerala,Vadakara,S11,3
A.P.SHAMSEER,Independent,3485,Kerala,Vadakara,S11,3
SASEENDRAN,Bahujan Samaj Party,2150,Kerala,Vadakara,S11,3
P.SHARAFUDEEN,Independent,1679,Kerala,Vadakara,S11,3
ATTUVEPPIL KUNHIKKANNAN,Independent,731,Kerala,Vadakara,S11,3
A.M.SMITHA,Communist Party of India (Marxist-Leninist) Red Star,693,Kerala,Vadakara,S11,3
None of the Above,None of the Above,6107,Kerala,Vadakara,S11,3
M I SHANAVAS,Indian National Congress,377035,Kerala,Wayanad,S11,4
SATHYAN MOKERI,Communist Party of India,356165,Kerala,Wayanad,S11,4
P R RASMILNATH,Bharatiya Janata Party,80752,Kerala,Wayanad,S11,4
P V ANVAR,Independent,37123,Kerala,Wayanad,S11,4
JALEEL NEELAMBRA,SOCIAL DEMOCRATIC PARTY OF INDIA,14327,Kerala,Wayanad,S11,4
RAMLA MAMPAD,Welfare Party Of India,12645,Kerala,Wayanad,S11,4
ADV. P P A SAGEER,Aam Aadmi Party,10684,Kerala,Wayanad,S11,4
SATHYAN THAZHEMANGAD,Independent,5476,Kerala,Wayanad,S11,4
SATHYAN PUTHANVEETTIL,Independent,2855,Kerala,Wayanad,S11,4
CLEATUS,Independent,1517,Kerala,Wayanad,S11,4
VAPPAN,Bahujan Samaj Party,1317,Kerala,Wayanad,S11,4
ABRAHAM BENHUR,Independent,1308,Kerala,Wayanad,S11,4
SAM P MATHEW,Communist Party of India (Marxist-Leninist) Red Star,1222,Kerala,Wayanad,S11,4
SINOJ A C,Independent,1104,Kerala,Wayanad,S11,4
SATHEESH CHANDRAN,All India Trinamool Congress,741,Kerala,Wayanad,S11,4
None of the Above,None of the Above,10735,Kerala,Wayanad,S11,4
M .K RAGHAVAN,Indian National Congress,397615,Kerala,Kozhikode,S11,5
A.VIJAYARAGHAVAN,Communist Party of India  (Marxist),380732,Kerala,Kozhikode,S11,5
C K.PADMANABHAN,Bharatiya Janata Party,115760,Kerala,Kozhikode,S11,5
K P RATHEESH,Aam Aadmi Party,13934,Kerala,Kozhikode,S11,5
MUSTHAFA KOMMERI,SOCIAL DEMOCRATIC PARTY OF INDIA,10596,Kerala,Kozhikode,S11,5
ADV.N.P.PRATHAP KUMAR,Independent,6993,Kerala,Kozhikode,S11,5
M.VIJAYARAGHAVAN,Independent,2665,Kerala,Kozhikode,S11,5
M RAGHAVAN,Independent,2331,Kerala,Kozhikode,S11,5
VIJAYARAGHAVAN.K.,Independent,1991,Kerala,Kozhikode,S11,5
VELAYUDHAN K.P.,Bahujan Samaj Party,1909,Kerala,Kozhikode,S11,5
V M RAGHAVAN,Independent,964,Kerala,Kozhikode,S11,5
THRISSUR NAZEER,Independent,665,Kerala,Kozhikode,S11,5
MUHAMMED RIYAS,Independent,473,Kerala,Kozhikode,S11,5
None of the Above,None of the Above,6381,Kerala,Kozhikode,S11,5
E. AHAMED,Indian Union Muslim League,437723,Kerala,Malappuram,S11,6
P.K.SAINABA,Communist Party of India  (Marxist),242984,Kerala,Malappuram,S11,6
ADV. N.SREEPRAKASH,Bharatiya Janata Party,64705,Kerala,Malappuram,S11,6
NASARUDHEEN,SOCIAL DEMOCRATIC PARTY OF INDIA,47853,Kerala,Malappuram,S11,6
PROF. P.ISMAIL,Welfare Party Of India,29216,Kerala,Malappuram,S11,6
ILYAS,Bahujan Samaj Party,2745,Kerala,Malappuram,S11,6
GOPINATHAN.N,Independent,2491,Kerala,Malappuram,S11,6
DR. M.V. IBRAHIM,Independent,1376,Kerala,Malappuram,S11,6
SREEDHARAN,Independent,1330,Kerala,Malappuram,S11,6
ANWAR SHAKEEL OMAR,Independent,1215,Kerala,Malappuram,S11,6
None of the Above,None of the Above,21829,Kerala,Malappuram,S11,6
E. T. MOHAMMED BASHEER,Indian Union Muslim League,378503,Kerala,Ponnani,S11,7
V.ABDURAHMAN,Independent,353093,Kerala,Ponnani,S11,7
K.NARAYANAN MASTER,Bharatiya Janata Party,75212,Kerala,Ponnani,S11,7
V.T.IKRAMUL HAQUE,SOCIAL DEMOCRATIC PARTY OF INDIA,26640,Kerala,Ponnani,S11,7
ABULLAIS.T.P,Independent,11034,Kerala,Ponnani,S11,7
SHYLOCK P.V.,Aam Aadmi Party,9504,Kerala,Ponnani,S11,7
ABDURAHIMAN VARIKKOTTIL,Independent,2434,Kerala,Ponnani,S11,7
BINDU M.K.,Independent,2261,Kerala,Ponnani,S11,7
T.AYYAPPAN,Bahujan Samaj Party,2153,Kerala,Ponnani,S11,7
ABDURAHMAN VADAKKATHINAKATH,Independent,2044,Kerala,Ponnani,S11,7
ABDURAHIMAN VAYARAKATH,Independent,1220,Kerala,Ponnani,S11,7
None of the Above,None of the Above,7494,Kerala,Ponnani,S11,7
M B RAJESH,Communist Party of India  (Marxist),412897,Kerala,Palakkad,S11,8
M P VEERENDRAKUMAR,Socialist Janata (Democratic),307597,Kerala,Palakkad,S11,8
SOBHASURENDRAN,Bharatiya Janata Party,136541,Kerala,Palakkad,S11,8
E S KHAJA HUSSAIN,SOCIAL DEMOCRATIC PARTY OF INDIA,12504,Kerala,Palakkad,S11,8
THENNILAPURAM RADHAKRISHNAN,Welfare Party Of India,8667,Kerala,Palakkad,S11,8
B PADMANABHAN,Aam Aadmi Party,4933,Kerala,Palakkad,S11,8
VEERENDRAKUMAR O P,Independent,3946,Kerala,Palakkad,S11,8
RAJESH S,Shivsena,2654,Kerala,Palakkad,S11,8
HARI ARUMBIL,Bahujan Samaj Party,2009,Kerala,Palakkad,S11,8
V S  SHANAVAS,Independent,1946,Kerala,Palakkad,S11,8
SREEJITH,Independent,1416,Kerala,Palakkad,S11,8
ABHIMOD,Independent,1231,Kerala,Palakkad,S11,8
C.K. RAMAKRISHNAN,Independent,1092,Kerala,Palakkad,S11,8
ABOOBAKKER SIDHIKH,All India Trinamool Congress,828,Kerala,Palakkad,S11,8
PRADEEP,Independent,770,Kerala,Palakkad,S11,8
None of the Above,None of the Above,11291,Kerala,Palakkad,S11,8
P.K.BIJU,Communist Party of India  (Marxist),411808,Kerala,Alathur,S11,9
SHEEBA,Indian National Congress,374496,Kerala,Alathur,S11,9
SHAJU MON VATTEKKAD,Bharatiya Janata Party,87803,Kerala,Alathur,S11,9
KRISHNAN ERANHIKKAL,SOCIAL DEMOCRATIC PARTY OF INDIA,7820,Kerala,Alathur,S11,9
ALBIN M U,Independent,5260,Kerala,Alathur,S11,9
PREMAKUMARI,Bahujan Samaj Party,4436,Kerala,Alathur,S11,9
K S VELAYUDHAN,Independent,4392,Kerala,Alathur,S11,9
K BIJU,Independent,2911,Kerala,Alathur,S11,9
R BIJU,Independent,2159,Kerala,Alathur,S11,9
VIJAYAN AMBALAKKAD,Independent,2102,Kerala,Alathur,S11,9
A BIJU,Independent,1692,Kerala,Alathur,S11,9
KRISHNANKUTTY V,Independent,932,Kerala,Alathur,S11,9
None of the Above,None of the Above,21417,Kerala,Alathur,S11,9
C. N. JAYADEVAN,Communist Party of India,389209,Kerala,Thrissur,S11,10
K. P. DHANAPALAN,Indian National Congress,350982,Kerala,Thrissur,S11,10
K.P. SREESAN,Bharatiya Janata Party,102681,Kerala,Thrissur,S11,10
SARAH JOSEPH,Aam Aadmi Party,44638,Kerala,Thrissur,S11,10
SUFEERA K. P.,SOCIAL DEMOCRATIC PARTY OF INDIA,6894,Kerala,Thrissur,S11,10
T. L. SANTHOSH,Independent,6044,Kerala,Thrissur,S11,10
JASMINSHA,Independent,3959,Kerala,Thrissur,S11,10
ADV. A. JAYARAM,Bahujan Samaj Party,2110,Kerala,Thrissur,S11,10
MANIYANGATTIL SUKUMARAN,Independent,949,Kerala,Thrissur,S11,10
K.SIVARAMAN,Communist Party of India (Marxist-Leninist) Red Star,718,Kerala,Thrissur,S11,10
HAJI MOIDEEN SHAH,Janata Dal  (United),659,Kerala,Thrissur,S11,10
M. NARAYANANKUTTY (M. N. KUTTY),Independent,616,Kerala,Thrissur,S11,10
SOMAN PILLAI,Indian Gandhiyan Party,546,Kerala,Thrissur,S11,10
JIJU CHEENIKKAL,Independent,450,Kerala,Thrissur,S11,10
None of the Above,None of the Above,10050,Kerala,Thrissur,S11,10
INNOCENT,Independent,358440,Kerala,Chalakudy,S11,11
P C CHACKO,Indian National Congress,344556,Kerala,Chalakudy,S11,11
ADV. B. GOPALAKRISHNAN,Bharatiya Janata Party,92848,Kerala,Chalakudy,S11,11
K M NOORDEEN,Aam Aadmi Party,35189,Kerala,Chalakudy,S11,11
SHAFEER MUHAMMED,SOCIAL DEMOCRATIC PARTY OF INDIA,14386,Kerala,Chalakudy,S11,11
K. AMBUJAKSHAN,Welfare Party Of India,12942,Kerala,Chalakudy,S11,11
VINCENT,Independent,4596,Kerala,Chalakudy,S11,11
JAISON PANIKULANGARA,Independent,2052,Kerala,Chalakudy,S11,11
M G PURUSHOTHAMAN,Bahujan Samaj Party,1942,Kerala,Chalakudy,S11,11
ABDUL KAREEM,Rashtriya Janata Dal,1376,Kerala,Chalakudy,S11,11
EDAPPALLY BASHEER,Independent,1346,Kerala,Chalakudy,S11,11
SAJI THURUTHIKUNNEL,Shivsena,1114,Kerala,Chalakudy,S11,11
JAYAN KONIKARA,Communist Party of India (Marxist-Leninist) Red Star,932,Kerala,Chalakudy,S11,11
T D BABURAJAN,Independent,900,Kerala,Chalakudy,S11,11
ANNAMMA JOY,All India Trinamool Congress,862,Kerala,Chalakudy,S11,11
None of the Above,None of the Above,10552,Kerala,Chalakudy,S11,11
PROF. K.V. THOMAS,Indian National Congress,353841,Kerala,Ernakulam,S11,12
CHRISTY FERNANDEZ,Independent,266794,Kerala,Ernakulam,S11,12
A.N. RADHAKRISHNAN,Bharatiya Janata Party,99003,Kerala,Ernakulam,S11,12
ANITHA PRATAP,Aam Aadmi Party,51517,Kerala,Ernakulam,S11,12
K.V. BHASKARAN,Independent,22733,Kerala,Ernakulam,S11,12
ZULFIKAL ALI,SOCIAL DEMOCRATIC PARTY OF INDIA,14825,Kerala,Ernakulam,S11,12
RAJANEESH BABU,Independent,8246,Kerala,Ernakulam,S11,12
P.D. CHANDRABHANU,Socialist Republican Party,6156,Kerala,Ernakulam,S11,12
KISHORE,Independent,5011,Kerala,Ernakulam,S11,12
K C KARTHIKEYAN,Bahujan Samaj Party,2685,Kerala,Ernakulam,S11,12
DENSIL MENDEZ,Janata Dal  (United),2630,Kerala,Ernakulam,S11,12
N J PIOUS,Independent,2347,Kerala,Ernakulam,S11,12
ADV. RADHAKRISHNAN P T,Independent,2104,Kerala,Ernakulam,S11,12
ANIL KUMAR,Independent,1180,Kerala,Ernakulam,S11,12
JUNO JOHN BABY,Independent,1077,Kerala,Ernakulam,S11,12
KRISHNANKUTTY M.K.,Communist Party of India (Marxist-Leninist) Red Star,950,Kerala,Ernakulam,S11,12
None of the Above,None of the Above,9735,Kerala,Ernakulam,S11,12
ADV.JOICE GEORGE,Independent,382019,Kerala,Idukki,S11,13
ADV.DEAN KURIAKOSE,Indian National Congress,331477,Kerala,Idukki,S11,13
ADV.SABU VARGHESE,Bharatiya Janata Party,50438,Kerala,Idukki,S11,13
SILVI SUNIL,Aam Aadmi Party,11215,Kerala,Idukki,S11,13
MUHAMMED SHARAFUDHEEN,SOCIAL DEMOCRATIC PARTY OF INDIA,10401,Kerala,Idukki,S11,13
JOYCE GEORGE,Independent,6024,Kerala,Idukki,S11,13
T.K.TOMY,Communist Party of India (Marxist-Leninist) Red Star,3971,Kerala,Idukki,S11,13
JOICE GEORGE,Independent,3057,Kerala,Idukki,S11,13
APPANCHIRA PONNAPPAN,Bahujan Samaj Party,2477,Kerala,Idukki,S11,13
SOMINI PRABHAKARAN,Independent,1925,Kerala,Idukki,S11,13
SHOBY JOSEPH,Independent,1179,Kerala,Idukki,S11,13
JAMES JOSEPH,Independent,1158,Kerala,Idukki,S11,13
ANISH MARIYIL,Independent,629,Kerala,Idukki,S11,13
P.C.JOLLY,Independent,550,Kerala,Idukki,S11,13
BIJU JOSEPH,Independent,493,Kerala,Idukki,S11,13
ADV.CHITTOOR RAJAMANNAR,Independent,415,Kerala,Idukki,S11,13
None of the Above,None of the Above,12338,Kerala,Idukki,S11,13
JOSE K. MANI,Kerala Congress  (M),424194,Kerala,Kottayam,S11,14
ADV.MATHEW T. THOMAS,Janata Dal  (Secular),303595,Kerala,Kottayam,S11,14
ADV.NOBLE MATHEW,Independent,44357,Kerala,Kottayam,S11,14
ADV.ANIL AIKKARA,Aam Aadmi Party,26381,Kerala,Kottayam,S11,14
SREENI K. JACOB,Bahujan Samaj Party,6732,Kerala,Kottayam,S11,14
ROY ARACKAL,SOCIAL DEMOCRATIC PARTY OF INDIA,3513,Kerala,Kottayam,S11,14
N.K.BIJU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2879,Kerala,Kottayam,S11,14
RATHEESH PERUMAL,Independent,2157,Kerala,Kottayam,S11,14
JAMES JOSEPH,Independent,1831,Kerala,Kottayam,S11,14
SASIKKUTTAN VAKATHANAM,Communist Party of India (Marxist-Leninist) Red Star,1048,Kerala,Kottayam,S11,14
PRAVEEN K. MOHAN,Independent,925,Kerala,Kottayam,S11,14
None of the Above,None of the Above,14024,Kerala,Kottayam,S11,14
K C VENUGOPAL,Indian National Congress,462525,Kerala,Alappuzha,S11,15
C B CHANDRABABU,Communist Party of India  (Marxist),443118,Kerala,Alappuzha,S11,15
PROF.A.V.THAMARAKSHAN,Revolutionary Socialist Party of Kerala  (Bolshevik) RSP.B,43051,Kerala,Alappuzha,S11,15
THULASEEDHARAN PALLICKAL,SOCIAL DEMOCRATIC PARTY OF INDIA,10993,Kerala,Alappuzha,S11,15
D MOHANAN,Aam Aadmi Party,9414,Kerala,Alappuzha,S11,15
ADV.M.A.BINDU,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5921,Kerala,Alappuzha,S11,15
P V NATESAN,Bahujan Samaj Party,3385,Kerala,Alappuzha,S11,15
VENUGOPAL P C,Independent,3149,Kerala,Alappuzha,S11,15
CHANDRABABU G,Independent,1615,Kerala,Alappuzha,S11,15
T S BALAKRISHNAN,Independent,1363,Kerala,Alappuzha,S11,15
S.B.BASHEER,Independent,709,Kerala,Alappuzha,S11,15
JAYACHANDRAN SARASAMMA,Independent,481,Kerala,Alappuzha,S11,15
M M PAULOSE,Independent,402,Kerala,Alappuzha,S11,15
None of the Above,None of the Above,11338,Kerala,Alappuzha,S11,15
KODIKUNNIL SURESH,Indian National Congress,402432,Kerala,Mavelikkara,S11,16
CHENGARA SURENDRAN,Communist Party of India,369695,Kerala,Mavelikkara,S11,16
ADV.P.SUDHEER,Bharatiya Janata Party,79743,Kerala,Mavelikkara,S11,16
JYOTHISH PERUMPULICKAL,SOCIAL DEMOCRATIC PARTY OF INDIA,8946,Kerala,Mavelikkara,S11,16
N SADANANDAN,Aam Aadmi Party,7753,Kerala,Mavelikkara,S11,16
SASIKALA K S,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4736,Kerala,Mavelikkara,S11,16
ADV.P.K.JAYAKRISHNAN,Bahujan Samaj Party,3603,Kerala,Mavelikkara,S11,16
PALLICKAL SURENDRAN,Independent,1486,Kerala,Mavelikkara,S11,16
PIRAVATHOOR SREEDHARAN,Independent,1207,Kerala,Mavelikkara,S11,16
None of the Above,None of the Above,9459,Kerala,Mavelikkara,S11,16
ANTO ANTONY,Indian National Congress,358842,Kerala,Pathanamthitta,S11,17
ADV. PEELIPOSE THOMAS,Independent,302651,Kerala,Pathanamthitta,S11,17
M T REMESH,Bharatiya Janata Party,138954,Kerala,Pathanamthitta,S11,17
PEELIPOSE,Independent,16493,Kerala,Pathanamthitta,S11,17
MANSOOR THENGANA,SOCIAL DEMOCRATIC PARTY OF INDIA,11353,Kerala,Pathanamthitta,S11,17
SELEENA PRAKKANAM,Bahujan Samaj Party,10384,Kerala,Pathanamthitta,S11,17
SANTHOSH KUMAR,Independent,4847,Kerala,Pathanamthitta,S11,17
S RADHAMANI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2901,Kerala,Pathanamthitta,S11,17
ALEYAMMA VARGHESE,All India Trinamool Congress,1236,Kerala,Pathanamthitta,S11,17
S RADHAKRISHNAN,Independent,1021,Kerala,Pathanamthitta,S11,17
SHILVIN KOTTACKAKATHU,Independent,1005,Kerala,Pathanamthitta,S11,17
PUSHPANGATHAN,Independent,953,Kerala,Pathanamthitta,S11,17
AJITH KUMAR K. K,Independent,748,Kerala,Pathanamthitta,S11,17
SABUKUTTY JOY (SABU PUTHUCHIRA),Social Action Party,682,Kerala,Pathanamthitta,S11,17
LALITHA MALAYALAPPUZHA,Independent,460,Kerala,Pathanamthitta,S11,17
MATHEW PAREY,Independent,384,Kerala,Pathanamthitta,S11,17
None of the Above,None of the Above,16538,Kerala,Pathanamthitta,S11,17
N.K.PREMACHANDRAN,Revolutionary Socialist Party,408528,Kerala,Kollam,S11,18
M.A. BABY,Communist Party of India  (Marxist),370879,Kerala,Kollam,S11,18
P.M. VELAYUDHAN,Bharatiya Janata Party,58671,Kerala,Kollam,S11,18
A.K.SALAHUDEEN,SOCIAL DEMOCRATIC PARTY OF INDIA,12812,Kerala,Kollam,S11,18
ADV.S.PRAHLADAN,Bahujan Samaj Party,4266,Kerala,Kollam,S11,18
M. BABY,Independent,3364,Kerala,Kollam,S11,18
V.S. PREMACHANDRAN,Independent,3333,Kerala,Kollam,S11,18
K. BHASKARAN,Independent,3108,Kerala,Kollam,S11,18
R. PREMACHANDRAN,Independent,2808,Kerala,Kollam,S11,18
C. INDULAL EX-SERVICE MAN,Independent,1709,Kerala,Kollam,S11,18
A. JOSEKUTTY,Independent,1702,Kerala,Kollam,S11,18
None of the Above,None of the Above,7876,Kerala,Kollam,S11,18
DR.A .SAMPATH,Communist Party of India  (Marxist),392478,Kerala,Attingal,S11,19
ADV.BINDHU KRISHNA,Indian National Congress,323100,Kerala,Attingal,S11,19
GIRIJA KUMARI.S,Bharatiya Janata Party,90528,Kerala,Attingal,S11,19
SRI.M.K.MANOJ KUMAR,SOCIAL DEMOCRATIC PARTY OF INDIA,11225,Kerala,Attingal,S11,19
ANIL KUMAR N S,Bahujan Samaj Party,8586,Kerala,Attingal,S11,19
SRI. VAKKOM G AJITH,Shivsena,5511,Kerala,Attingal,S11,19
SMT. PRIYA SUNIL,Welfare Party Of India,4862,Kerala,Attingal,S11,19
SRI. HARIHARAN K S,Independent,4064,Kerala,Attingal,S11,19
SUNILKRISHNAN,Independent,3850,Kerala,Attingal,S11,19
DAS K VARKALA,Independent,2375,Kerala,Attingal,S11,19
SRI.SAMBATH ANILKUMAR,Independent,2221,Kerala,Attingal,S11,19
SRI.IRINCHAYAM SURESH,Independent,1052,Kerala,Attingal,S11,19
SRI. ADV. CHIRAYINKEEZHU GOPINATHAN,Republican Party of India (A),736,Kerala,Attingal,S11,19
SRI.SURESHKUMAR THONNAKKAL,Independent,647,Kerala,Attingal,S11,19
SRI. VIVEKANANDAN,Independent,615,Kerala,Attingal,S11,19
SRI .ADV.M. R.SARIN,Janata Dal  (United),576,Kerala,Attingal,S11,19
None of the Above,None of the Above,6924,Kerala,Attingal,S11,19
DR. SHASHI THAROOR,Indian National Congress,297806,Kerala,Thiruvananthapuram,S11,20
SRI. O RAJAGOPAL,Bharatiya Janata Party,282336,Kerala,Thiruvananthapuram,S11,20
SRI. DOCTOR BENNET ABRAHAM,Communist Party of India,248941,Kerala,Thiruvananthapuram,S11,20
SRI. AJIT JOY,Aam Aadmi Party,14153,Kerala,Thiruvananthapuram,S11,20
SRI.KUNNIL SHAJAHAN,SOCIAL DEMOCRATIC PARTY OF INDIA,4818,Kerala,Thiruvananthapuram,S11,20
SRI.BENET BABU BENJAMIN,Independent,4231,Kerala,Thiruvananthapuram,S11,20
SRI. J SUDHAKARAN,Bahujan Samaj Party,3260,Kerala,Thiruvananthapuram,S11,20
SRI. O M JYOTHEENDRA NATH,Independent,2445,Kerala,Thiruvananthapuram,S11,20
SRI. JAIN WILSON,Independent,2105,Kerala,Thiruvananthapuram,S11,20
SMT. SYAMALAKUMARI,Independent,1851,Kerala,Thiruvananthapuram,S11,20
SRI. KUNNUKUZHI S MANI,Independent,1717,Kerala,Thiruvananthapuram,S11,20
SRI.SHAJAR KHAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1691,Kerala,Thiruvananthapuram,S11,20
FR.STEPHEN,Independent,1271,Kerala,Thiruvananthapuram,S11,20
SRI. ADV. PERURKADA HARIKUMAR,Shivsena,902,Kerala,Thiruvananthapuram,S11,20
SRI.GEORGE MANKIDIYIL,Independent,843,Kerala,Thiruvananthapuram,S11,20
SRI. V S JAYAKUMAR,Independent,445,Kerala,Thiruvananthapuram,S11,20
SRI.ANIL KUMAR Y,Independent,371,Kerala,Thiruvananthapuram,S11,20
SRI. O V SREEDATH,Socialist Republican Party,356,Kerala,Thiruvananthapuram,S11,20
SMT. R CHANDRIKA KATTAKADA,Republican Party of India,292,Kerala,Thiruvananthapuram,S11,20
SRI. THOMAS JOSEPH,Republican Party of India (A),261,Kerala,Thiruvananthapuram,S11,20
None of the Above,None of the Above,3344,Kerala,Thiruvananthapuram,S11,20
ANOOP MISHRA,Bharatiya Janata Party,375567,Madhya Pradesh,MORENA,S12,1
BRINDAWAN SINGH SIKARWAR,Bahujan Samaj Party,242586,Madhya Pradesh,MORENA,S12,1
DR GOVIND SINGH,Indian National Congress,184253,Madhya Pradesh,MORENA,S12,1
DEVENDRA KUMAR AGRVAL,Aam Aadmi Party,13806,Madhya Pradesh,MORENA,S12,1
SIYARAM SINGH CHOUDRI,Independent,6471,Madhya Pradesh,MORENA,S12,1
RAJESH KUSHWAH,Samajwadi Party,5554,Madhya Pradesh,MORENA,S12,1
SATANDRA SINGH (TONY TOMAR),Independent,4347,Madhya Pradesh,MORENA,S12,1
RAM NARESH,Independent,3546,Madhya Pradesh,MORENA,S12,1
ARJUN SINGH (PAPPU KUSHWAH),Rashtriya Samanta Dal,3006,Madhya Pradesh,MORENA,S12,1
VISNU SHARMA VIRTHARE,All India Trinamool Congress,2114,Madhya Pradesh,MORENA,S12,1
CHHAVENDRA,Independent,1969,Madhya Pradesh,MORENA,S12,1
JAYANT SINGH TOMAR,Loktantrik Samajwadi Party,1429,Madhya Pradesh,MORENA,S12,1
SHAKTI SINGH TOMAR,Rashtriya Ahinsa Manch,1145,Madhya Pradesh,MORENA,S12,1
KULDEEP SINGH,Independent,1058,Madhya Pradesh,MORENA,S12,1
MANESH KUMAR RAWAT,Jai Maha Bharath Party,975,Madhya Pradesh,MORENA,S12,1
ANOOP NAGAR,Independent,852,Madhya Pradesh,MORENA,S12,1
AKASH GUPTA,Independent,809,Madhya Pradesh,MORENA,S12,1
None of the Above,None of the Above,4792,Madhya Pradesh,MORENA,S12,1
DR. BHAGIRATH PRASAD,Bharatiya Janata Party,404474,Madhya Pradesh,BHIND,S12,2
IMARTI DEVI,Indian National Congress,244513,Madhya Pradesh,BHIND,S12,2
MANISH KATROLIYA,Bahujan Samaj Party,33803,Madhya Pradesh,BHIND,S12,2
PHOOLSINGH BARAIYA,Bahujan Sangharshh Dal,20403,Madhya Pradesh,BHIND,S12,2
KRISHNA DEVI,Aam Aadmi Party,7730,Madhya Pradesh,BHIND,S12,2
ANITA HITENDRA CHAUDHARY,Samajwadi Party,5198,Madhya Pradesh,BHIND,S12,2
HAKIM SINGH,Independent,2899,Madhya Pradesh,BHIND,S12,2
VIJAYSINGH KORI,All India Forward Bloc,2699,Madhya Pradesh,BHIND,S12,2
B.S. THANESWARIYA,Bahujan Mukti Party,1793,Madhya Pradesh,BHIND,S12,2
None of the Above,None of the Above,5572,Madhya Pradesh,BHIND,S12,2
NARENDRA SINGH TOMAR,Bharatiya Janata Party,442796,Madhya Pradesh,GWALIOR,S12,3
ASHOK SINGH,Indian National Congress,413097,Madhya Pradesh,GWALIOR,S12,3
ALOK SHARMA,Bahujan Samaj Party,68196,Madhya Pradesh,GWALIOR,S12,3
NEELAM AGRWAL,Aam Aadmi Party,11510,Madhya Pradesh,GWALIOR,S12,3
AKHILESH YADAV,Communist Party of India  (Marxist),10297,Madhya Pradesh,GWALIOR,S12,3
BALWANT SINGH KUSHWAH ADVOCATE,Samajwadi Party,5327,Madhya Pradesh,GWALIOR,S12,3
ASIF KHAN,Independent,4969,Madhya Pradesh,GWALIOR,S12,3
C.L. KARODIYA (PRIJAPATI),Jan-Nyay Dal,4719,Madhya Pradesh,GWALIOR,S12,3
NARAYAN SINGH KUSHWAH,Independent,3963,Madhya Pradesh,GWALIOR,S12,3
CAPTAN BABU LAL GOSWAMI,Independent,2659,Madhya Pradesh,GWALIOR,S12,3
HIRADAY NARAYAN SINGH TOMAR (GUDDU),Akhil Bharat Hindu Mahasabha,2244,Madhya Pradesh,GWALIOR,S12,3
DEEPAK KUMAR BANSAL RANGWALE (PRERAK),Independent,2122,Madhya Pradesh,GWALIOR,S12,3
SHIV SINGH KUSHAWAH,Mahanwadi Party,2101,Madhya Pradesh,GWALIOR,S12,3
