"AC Name","State","male 18-19","female 18-19","others 18-19","total 18-19","gender roll ratio","electors with EPIC","EPIC percent","electors with photo","PER Percent","male above 18","female above 18","others above 18","total above 18"
"Pendurthi","Andhra Pradesh",3814,2752,1,6567,"982 ","223003 ",100.00,"223003 ",100.00,112537,110456,10,223003
"ELAMANCHILI","Andhra Pradesh",2226,1563,0,3789,"1039 ","181642 ",100.00,"181642 ",100.00,89076,92562,4,181642
"PAYAKARAOPETA","Andhra Pradesh",2271,1684,2,3957,"1029 ","219278 ",100.00,"219278 ",100.00,108073,111196,9,219278
"Narsipatnam","Andhra Pradesh",2443,1785,1,4229,"1052 ","193679 ",100.00,"193679 ",100.00,94387,99280,12,193679
"Tuni","Andhra Pradesh",2274,1406,0,3680,"996 ","188187 ",100.00,"188187 ",100.00,94301,93877,9,188187
"Prathipadu","Andhra Pradesh",1723,1110,3,2836,"1013 ","179602 ",100.00,"179602 ",100.00,89219,90364,19,179602
"Pithapuram","Andhra Pradesh",2366,1240,1,3607,"969 ","204613 ",100.00,"204613 ",100.00,103927,100679,7,204613
"Kakinada Rural","Andhra Pradesh",2428,1711,1,4140,"986 ","212079 ",100.00,"212079 ",100.00,106778,105296,5,212079
"Peddapuram","Andhra Pradesh",1964,1160,1,3125,"1004 ","184729 ",100.00,"184729 ",100.00,92161,92556,12,184729
"Anaparthy","Andhra Pradesh",2135,1485,0,3620,"1015 ","197878 ",100.00,"197878 ",100.00,98179,99694,5,197878
"Kakinada City","Andhra Pradesh",2036,1584,2,3622,"1034 ","189014 ",100.00,"189014 ",100.00,92924,96062,28,189014
"Ramachandrapuram","Andhra Pradesh",2055,1440,0,3495,"983 ","178130 ",100.00,"178130 ",100.00,89840,88284,6,178130
"Mummidivaram","Andhra Pradesh",2102,1462,0,3564,"972 ","203973 ",100.00,"203973 ",100.00,103408,100559,6,203973
"Amalapuram","Andhra Pradesh",2040,1497,1,3538,"973 ","186000 ",100.00,"186000 ",100.00,94248,91744,8,186000
"Razole","Andhra Pradesh",2057,1572,1,3630,"987 ","169384 ",100.00,"169384 ",100.00,85235,84141,8,169384
"Gannavaram","Andhra Pradesh",2154,1402,2,3558,"955 ","180089 ",100.00,"180089 ",100.00,92121,87953,15,180089
"Kothapeta","Andhra Pradesh",2561,1833,1,4395,"1003 ","216891 ",100.00,"216891 ",100.00,108277,108596,18,216891
"Mandapeta","Andhra Pradesh",2097,1519,2,3618,"1029 ","189614 ",100.00,"189614 ",100.00,93440,96168,6,189614
"Rajanagaram","Andhra Pradesh",1895,1180,2,3077,"1011 ","180482 ",100.00,"180482 ",100.00,89738,90738,6,180482
"Rajahmundry City","Andhra Pradesh",2317,2109,1,4427,"1049 ","203982 ",100.00,"203982 ",100.00,99560,104393,29,203982
"Rajamundry Rural","Andhra Pradesh",2367,1720,0,4087,"1032 ","214495 ",100.00,"214495 ",100.00,105547,108936,12,214495
"Jaggampeta","Andhra Pradesh",1776,1016,0,2792,"1006 ","192415 ",100.00,"192415 ",100.00,95916,96490,9,192415
"Rampachodavaram","Andhra Pradesh",1422,1286,0,2708,"1073 ","147604 ",100.00,"147604 ",100.00,71212,76385,7,147604
"Kovvur","Andhra Pradesh",3532,2852,1,6385,"1037 ","163295 ",100.00,"163295 ",100.00,80181,83109,5,163295
"Nidadavole","Andhra Pradesh",2707,2006,2,4715,"1031 ","185779 ",100.00,"185779 ",100.00,91455,94312,12,185779
"Achanta","Andhra Pradesh",1893,1554,2,3449,"1034 ","155281 ",100.00,"155281 ",100.00,76331,78937,13,155281
"Palacole","Andhra Pradesh",2245,1734,2,3981,"1020 ","163856 ",100.00,"163856 ",100.00,81127,82723,6,163856
"Narasapuram","Andhra Pradesh",2097,1648,2,3747,"1009 ","150577 ",100.00,"150577 ",100.00,74947,75622,8,150577
"Bhimavaram","Andhra Pradesh",3929,3019,3,6951,"1030 ","210128 ",100.00,"210128 ",100.00,103476,106628,24,210128
"Undi","Andhra Pradesh",2337,1798,0,4135,"1012 ","196715 ",100.00,"196715 ",100.00,97780,98923,12,196715
"TANUKU","Andhra Pradesh",4292,3556,0,7848,"1058 ","212260 ",100.00,"212260 ",100.00,103141,109116,3,212260
"Tadepalligudem","Andhra Pradesh",1721,1270,0,2991,"1034 ","181411 ",100.00,"181411 ",100.00,89168,92239,4,181411
"Unguturu","Andhra Pradesh",2561,1820,4,4385,"1010 ","183716 ",100.00,"183716 ",100.00,91410,92286,20,183716
"Denduluru","Andhra Pradesh",2747,1955,1,4703,"1015 ","193626 ",100.00,"193626 ",100.00,96075,97546,5,193626
"Eluru","Andhra Pradesh",3568,2909,0,6477,"1067 ","193979 ",100.00,"193979 ",100.00,93849,100121,9,193979
"Gopalapuram","Andhra Pradesh",2514,1790,1,4305,"993 ","206226 ",100.00,"206226 ",100.00,103449,102767,10,206226
"Polavaram","Andhra Pradesh",2264,1705,0,3969,"1040 ","185536 ",100.00,"185536 ",100.00,90951,94577,8,185536
