Sno,Candidate ID,ST_CODE,PC_CODE,ST_NAME,PC_NAME,Constituency,Candidate,Party,Criminal Case,Education,Assets,Liabilities
4053,7850,S09,1,JAMMU & KASHMIR,BARAMULLA,Baramulla,MOHAMMAD IQBAL JAN,JKNPP,1,12th Pass,"5,000","10,00,000"
4603,1544,S11,10,KERALA,THRISSUR,Thrissur,P C Saju,IND,2,10th Pass,"5,000",0
4621,4723,S01,29,ANDHRA PRADESH,VIJAYAWADA,Vijayawada,P Venkateswara Rao,IND,0,8th Pass,"5,000",0
5273,7968,S19,7,PUNJAB,LUDHIANA,Ludhiana,RAJESH KUMAR,IND,0,Not Given,"5,000",0
5420,5569,S24,34,UTTAR PRADESH,MOHANLALGANJ,Mohanlalganj,RAM DHAN,IND,0,Literate,"5,000",0
5428,3966,S24,52,UTTAR PRADESH,ALLAHABAD,Allahabad,RAM JEET,IND,0,Graduate,"5,000",0
5709,6515,S07,2,HARYANA,KURUKSHETRA,Kurukshetra,RAN SINGH,IND,0,Others,"5,000",0
5852,6625,S07,6,HARYANA,SONIPAT,Sonipat,ROHTASH,SMBHP,0,Post Graduate,"5,000",0
5999,8377,S22,11,TAMIL NADU,TIRUVANNAMALAI,Tiruvannamalai,SAMPATH A,IND,0,Not Given,"5,000",0
6034,5008,S04,25,BIHAR,KHAGARIA,Khagaria,SANGRAM KUMAR,IND,0,Graduate,"5,000",0
6402,8865,S22,5,TAMIL NADU,SRIPERUMBUDUR,Sriperumbudur,SHANMUGAM G,IND,0,Not Given,"5,000",0
6631,4377,S01,27,ANDHRA PRADESH,ELURU,Eluru,SIRIKI SRINIVAS,RDMP,0,Post Graduate,"5,000",0
7008,5067,S04,28,BIHAR,MUNGER,Munger,SURYODAY PASWAN,IND,0,Graduate,"5,000",0
7635,9028,S22,16,TAMIL NADU,NAMAKKAL,Namakkal,YOGARAJ.R,IND,0,Illiterate,"5,000",0
5203,8607,S22,33,TAMIL NADU,THENI,Theni,RAJAVEL,IND,0,10th Pass,"5,300",0
5815,8608,S22,33,TAMIL NADU,THENI,Theni,RENGANATHAN,IND,0,10th Pass,"5,300",0
7185,8598,S22,33,TAMIL NADU,THENI,Theni,THIRUMOORTHY,IND,0,Not Given,"5,300",0
7403,8609,S22,33,TAMIL NADU,THENI,Theni,VETRICHELVAN,IND,0,10th Pass,"5,300",0
191,5636,S24,43,UTTAR PRADESH,KANPUR,Kanpur,AHAMED HUSSAIN,IND,1,Not Given,"5,379",0
1051,6997,S24,10,UTTAR PRADESH,MEERUT,Meerut,BHARAT BHUSAN,IND,1,12th Pass,"5,389",0
970,3999,S24,55,UTTAR PRADESH,AMBEDKAR NAGAR,Ambedkar Nagar,BASANT LAL,PECP,0,Illiterate,"6,000",0
3879,9050,S22,20,TAMIL NADU,COIMBATORE,Coimbatore,MARKANDAN N,IND,1,Doctorate,"6,000",0
4645,1757,S10,25,KARNATAKA,BANGALORE CENTRAL,Bangalore Central,P.Parthiban,IND,0,12th Pass,"6,000","80,000"
5953,1662,S11,19,KERALA,ATTINGAL,Attingal,Sajimon,IND,0,10th Pass,"6,000",0
7041,7374,S25,26,WEST BENGAL,ULUBERIA,Uluberia,SWAPAN DAS,IND,0,10th Pass,"6,000",0
4272,148,S26,11,CHHATTISGARH,KANKER,Kanker,N R Bhuarya,GMS,0,Graduate,"6,419","1,25,000"
571,9238,S22,38,TAMIL NADU,TIRUNELVELI,Tirunelveli,ARUNACHALAM M,IND,0,5th Pass,"6,500","1,83,000"
1669,8868,S22,5,TAMIL NADU,SRIPERUMBUDUR,Sriperumbudur,DHARMASATHYAMURTHY V,IND,0,Not Given,"6,500",0
2694,144,S26,11,CHHATTISGARH,KANKER,Kanker,Jalsingh Sori,CSP,0,12th Pass,"6,500","25,000"
7076,4427,S01,34,ANDHRA PRADESH,NANDYAL,Nandyal,T.MAHESH NAIDU,IND,0,Illiterate,"6,500",0
2784,3198,S04,23,BIHAR,SAMASTIPUR,Samastipur,JEEBACHH PASWAN,CPI(ML)(L),4,12th Pass,"6,800","50,000"
4885,4203,S27,3,JHARKHAND,GODDA,Godda,PRADEEP YADAV,SAP,0,12th Pass,"6,875",0
4353,4154,S24,78,UTTAR PRADESH,BHADOHI,Bhadohi,NANDLAL,VP,0,Literate,"6,965",0
66,7593,U05,3,NCT OF DELHI,EAST DELHI,East Delhi,ABDUL RAJJAQ,IND,0,Not Given,"7,000",0
455,5406,S13,27,MAHARASHTRA,MUMBAI NORTH-WEST,Mumbai North West,ANITA RAMKRUSHAN RUPAWATE,IND,0,Literate,"7,000",0
2247,7365,S25,25,WEST BENGAL,HOWRAH,Howrah,GOUTAM GAYEN,IND,0,8th Pass,"7,000",0
2780,5211,S12,21,MADHYA PRADESH,DEWAS,Dewas,JAYRAM SOLANKI,IND,0,Not Given,"7,000",0
4514,1630,S11,17,KERALA,PATHANAMTHITTA,Pathanamthitta,Niranam Rajan,IND,0,Graduate,"7,000","2,00,000"
5449,6275,S20,11,RAJASTHAN,DAUSA,Dausa,RAM LAL,BHBP,0,Not Given,"7,000",0
6196,1847,S24,75,UTTAR PRADESH,GHAZIPUR,Ghazipur,SATISH SHANKAR JAISAWAL,NLP,0,12th Pass,"7,000",0
1187,4888,S25,35,WEST BENGAL,PURULIA,Purulia,Bisambar Mura,IND,0,Post Graduate,"7,139",0
1673,1361,S04,17,BIHAR,GOPALGANJ,Gopalganj,DHARMENDRA KUMAR HAJARA,IND,0,Literate,"7,452",0
6152,6482,S04,29,BIHAR,NALANDA,Nalanda,SASHI YADAV,CPI(ML)(L),1,12th Pass,"7,500",0
5924,3146,S04,15,BIHAR,MUZAFFARPUR,Muzaffarpur,SADANAND KISHORE THAKUR,IND,0,Graduate,"7,617",0
1748,8135,S25,15,WEST BENGAL,BARRACKPUR,Barrackpur,DINESH KUMAR SHARMA,IND,0,Graduate Professional,"8,000",0
2227,8134,S25,15,WEST BENGAL,BARRACKPUR,Barrackpur,GOPAL ROUT,IND,5,8th Pass,"8,000",0
2369,6165,S20,1,RAJASTHAN,GANGANAGAR,Ganganagar,HANUMAN RAM,IND,0,12th Pass,"8,000",0
4525,7998,S19,9,PUNJAB,FARIDKOT,Faridkot,NIRMAL SINGH,IND,0,10th Pass,"8,000",0
7379,8562,S22,24,TAMIL NADU,TIRUCHIRAPPALLI,Tiruchirappalli,VELMANI. P,IND,0,12th Pass,"8,000",0
329,3988,S24,54,UTTAR PRADESH,FAIZABAD,Faizabad,AMARNATH VERMA,IND,1,Graduate Professional,"8,358",0
5032,1508,S11,7,KERALA,PONNANI,Ponnani,Pullani Govindan,IND,0,5th Pass,"8,500",0
4632,2684,S10,22,KARNATAKA,CHAMARAJANAGAR,Chamarajanagar,P.B.YOGENDRA,IND,0,Graduate,"9,000",0
5415,1313,S24,68,UTTAR PRADESH,LALGANJ,Lalganj,RAM DAYAL ALIAS MOHAN,SBSP,0,8th Pass,"9,000",0
5529,39,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,Ramadasu,IND,0,10th Pass,"9,000",0
3646,888,S04,18,BIHAR,SIWAN,Siwan,Madhuri Panday,SJTP,0,Not Given,"9,304",0
97,4915,S04,10,BIHAR,KISHANGANJ,Kishanganj,ABHINAV MODI,IND,2,Graduate,"9,320","1,03,297"
2497,2605,S06,16,GUJARAT,ANAND,Anand,HITENDRASINH MOHANSINH PARMAR,SP,0,10th Pass,"9,500","19,502"
7618,8259,S28,3,UTTARAKHAND,ALMORA,Almora,YASHPAL ARYA,LJP,0,12th Pass,"9,600","2,00,000"
1755,5026,S04,26,BIHAR,BHAGALPUR,Bhagalpur,DINESH YADAV,IND,0,Literate,"9,778",0
545,8202,S25,23,WEST BENGAL,KOLKATA DAKSHIN,Kolkata Dakshin,ARUN BISWAS,IND,0,Graduate,"9,808",0
51,1639,S10,24,KARNATAKA,BANGALORE NORTH,Bangalore North,Abdul Jaleel,IND,0,10th Pass,"10,000",0
459,4274,S27,8,JHARKHAND,RANCHI,Ranchi,ANJANI PANDEY,IND,0,Graduate Professional,"10,000",0
477,3769,S13,44,MAHARASHTRA,SANGLI,Sangli,ANSARI SHABBIR AHEMED,IND,0,Graduate,"10,000",0
541,8481,S22,19,TAMIL NADU,NILGIRIS,Nilgiris,ARUMUGAM P,IND,0,Not Given,"10,000",0
897,8385,S22,11,TAMIL NADU,TIRUVANNAMALAI,Tiruvannamalai,BALASUNDAR S,IND,0,Graduate Professional,"10,000",0
1031,5522,S24,31,UTTAR PRADESH,HARDOI,Hardoi,BHAIYA LAL ALIAS CHAMAN BABU,RSMD,0,10th Pass,"10,000",0
1084,5780,S06,7,GUJARAT,AHMEDABAD EAST,Ahmedabad East,BHAVIN AMRUTBHAI PATEL,IND,0,12th Pass,"10,000",0
1147,1178,S03,1,ASSAM,KARIMGANJ,Karimganj,Bijon Roy,IND,0,12th Pass,"10,000",0
1307,478,S26,10,CHHATTISGARH,BASTAR,Bastar,Chandra Shekhar Dhruv,IND,0,10th Pass,"10,000",0
1757,2637,S06,19,GUJARAT,DAHOD,Dahod,DINESHBHAI NAGJIBHAI PARMAR,IJP,0,Post Graduate,"10,000",0
1816,4148,S24,78,UTTAR PRADESH,BHADOHI,Bhadohi,DR. AKHILESH KUMAR DWIVEDI,NCP,0,Doctorate,"10,000",0
1937,598,S26,4,CHHATTISGARH,KORBA,Korba,Dr.Vipin Sinha,CGVP,0,Graduate Professional,"10,000",0
2005,3833,S23,2,TRIPURA,TRIPURA EAST,Tripura East,FALGUNI TRIPURA,CPI(ML)(L),0,8th Pass,"10,000",0
2360,1981,S13,16,MAHARASHTRA,NANDED,Nanded,HANMANTE VIJAY CHANDRAO,IND,0,Literate,"10,000",0
2540,3158,S04,16,BIHAR,VAISHALI,Vaishali,INDARDEO RAI,IND,1,Post Graduate,"10,000","39,700"
2706,8358,S22,7,TAMIL NADU,ARAKKONAM,Arakkonam,JANAKIRAMAN J,IND,0,Graduate Professional,"10,000",0
3054,4508,S06,23,GUJARAT,BARDOLI,Bardoli,KAMLESHBHAI PRABHUBHAI CHAUDHARY,JD(U),0,12th Pass,"10,000",0
3061,8570,S22,27,TAMIL NADU,CHIDAMBARAM,Chidambaram,"KANAGASABAI, R",IND,0,8th Pass,"10,000",0
3069,9092,S22,25,TAMIL NADU,PERAMBALUR,Perambalur,"KANDASAMY, S.",IND,0,Literate,"10,000",0
3098,1687,S10,24,KARNATAKA,BANGALORE NORTH,Bangalore North,Kanyakumar,IND,0,10th Pass,"10,000",0
3348,1903,S24,67,UTTAR PRADESH,BANSGAON,Bansgaon,KU. KUNJAWATI,IND,0,Post Graduate,"10,000",0
3367,8623,S22,39,TAMIL NADU,KANNIYAKUMARI,Kanniyakumari,KUMAR C,IND,0,5th Pass,"10,000",0
3422,2436,S18,4,ORISSA,KEONJHAR,Keonjhar,Lachhaman Majhi,JMM,0,Graduate,"10,000",0
3440,6840,S19,11,PUNJAB,BATHINDA,Bathinda,LAKHWINDER SINGH,AIDWC,0,8th Pass,"10,000",0
3625,1069,S01,9,ANDHRA PRADESH,HYDERABAD,Hyderabad,Ma Habeeb,IND,0,10th Pass,"10,000",0
3789,7398,S25,30,WEST BENGAL,TAMLUK,Tamluk,MANIK CHANDRA MONDAL,LJP,0,Graduate,"10,000",0
3826,7609,U05,2,NCT OF DELHI,NORTH EAST DELHI,North East Delhi,MANOHAR LAL,AWD,0,5th Pass,"10,000",0
3830,8629,S22,39,TAMIL NADU,KANNIYAKUMARI,Kanniyakumari,MANOHARAN,IND,0,Literate,"10,000",0
4052,8076,S24,8,UTTAR PRADESH,SAMBHAL,Sambhal,MOHAMMAD HASEEB,BPC,0,Not Given,"10,000",0
4092,1676,S11,20,KERALA,THIRUVANANTHAPURAM,Thiruvananthapuram,Mohanan Joshwa,IND,0,10th Pass,"10,000",0
4128,7893,S19,3,PUNJAB,KHADOOR SAHIB,Khadoor Sahib,MOHINDER SINGH,LJP,0,5th Pass,"10,000",0
4476,6413,S09,3,JAMMU & KASHMIR,ANANTNAG,Anantnag,NAZIR AHMAD BHAT,IND,0,10th Pass,"10,000","75,000"
4524,8758,S22,2,TAMIL NADU,CHENNAI NORTH,Chennai North,NIRMAL KUMAR.A,IND,0,Post Graduate,"10,000",0
4825,4082,S24,60,UTTAR PRADESH,DOMARIYAGANJ,Domariyaganj,PINGAL PRASAD,RPI,0,12th Pass,"10,000",0
4829,1915,S01,16,ANDHRA PRADESH,MAHABUBABAD,Mahabubabad,Podem Sammaiah,PPOI,0,Post Graduate,"10,000",0
4965,5723,S24,53,UTTAR PRADESH,BARABANKI,Barabanki,PREM CHANDRA ARYA,IND,0,8th Pass,"10,000",0
5152,7993,S19,9,PUNJAB,FARIDKOT,Faridkot,RAJ KAUR,AIDWC,0,Illiterate,"10,000",0
5469,8310,U02,1,CHANDIGARH,CHANDIGARH,Chandigarh,RAM PAL HANS,IND,0,Graduate,"10,000",0
5550,9053,S22,20,TAMIL NADU,COIMBATORE,Coimbatore,RAMASAMY P,IND,0,Literate,"10,000",0
5553,9031,S22,16,TAMIL NADU,NAMAKKAL,Namakkal,RAMASAMY.N,IND,0,Illiterate,"10,000",0
5701,5251,S12,25,MADHYA PRADESH,DHAR,Dhar,RAMSINGH PATEL,SHS,0,8th Pass,"10,000",0
5790,8388,S22,11,TAMIL NADU,TIRUVANNAMALAI,Tiruvannamalai,RAVINDIRAN A,IND,0,12th Pass,"10,000",0
5896,4439,S01,31,ANDHRA PRADESH,NARASARAOPET,Narasaraopet,S.G. MASTAN VALI,PPOI,0,Not Given,"10,000",0
6003,8731,S22,1,TAMIL NADU,TIRUVALLUR,Tiruvallur,SAMPATH.A,IND,0,8th Pass,"10,000",0
6107,596,S26,4,CHHATTISGARH,KORBA,Korba,Santosh Banjare,IND,0,5th Pass,"10,000",0
6169,8624,S22,39,TAMIL NADU,KANNIYAKUMARI,Kanniyakumari,SATHEES C,IND,0,10th Pass,"10,000",0
6370,6014,S10,20,KARNATAKA,MANDYA,Mandya,SHAMBHULINGEGOWDA,IND,0,Not Given,"10,000",0
6448,3632,S13,36,MAHARASHTRA,SHIRUR,Shirur,SHELAR DNYANOBA SHRIPATI,RPPI,0,Literate,"10,000",0
6600,1999,S04,38,BIHAR,GAYA,Gaya,Shyamlal Manjhi,IND,0,10th Pass,"10,000",0
6613,7982,S19,8,PUNJAB,FATEHGARH SAHIB,Fatehgarh Sahib,SIKANDER SINGH,IND,0,5th Pass,"10,000",0
6714,1580,S11,14,KERALA,KOTTAYAM,Kottayam,Spencer Marks,BSP,0,Graduate Professional,"10,000",0
6899,4956,S04,12,BIHAR,PURNIA,Purnia,SUNIL KUMAR,IND,0,Graduate,"10,000",0
7077,724,S10,9,KARNATAKA,BELLARY,Bellary,T.NAGENDRA,BSP,0,Graduate,"10,000","50,000"
7080,466,S02,1,ARUNACHAL PRADESH,ARUNACHAL WEST,Arunachal West,TABA TAKU,LB,0,Graduate,"10,000",0
7083,1055,S01,9,ANDHRA PRADESH,HYDERABAD,Hyderabad,Taher Kamal Khundmiri,JD(S),0,Not Given,"10,000",0
7188,8891,S22,6,TAMIL NADU,KANCHEEPURAM,Kancheepuram,THIYAGARAJAN.M,IND,0,Graduate,"10,000",0
7242,2293,S18,8,ORISSA,JAJPUR,Jajpur,Udaya Nath Jena,IND,0,Not Given,"10,000","14,000"
7294,4905,S25,37,WEST BENGAL,BISHNUPUR,Bishnupur,Uttam Bouri,IND,0,8th Pass,"10,000",0
7401,8736,S22,1,TAMIL NADU,TIRUVALLUR,Tiruvallur,VENUGOPAL.P,IND,0,8th Pass,"10,000",0
7457,9056,S22,20,TAMIL NADU,COIMBATORE,Coimbatore,VIJAYAKUMAR C,IND,0,Graduate Professional,"10,000",0
7581,5449,S13,29,MAHARASHTRA,MUMBAI NORTH-CENTRAL,Mumbai North Central,WAGHMARE AATISH RAMCHANDRA,IND,0,10th Pass,"10,000","32,000"
4233,9140,S22,29,TAMIL NADU,NAGAPATTINAM,Nagapattinam,MUNUSAMY V,IND,0,8th Pass,"10,130",0
1641,8835,S22,4,TAMIL NADU,CHENNAI CENTRAL,Chennai Central,DHAMODHARAN.T,IND,0,12th Pass,"10,199",0
5266,3834,S23,2,TRIPURA,TRIPURA EAST,Tripura East,RAJESH DEB BARMA,IND,0,12th Pass,"10,405",0
4686,8601,S22,33,TAMIL NADU,THENI,Theni,PANDI,IND,0,Illiterate,"10,500",0
2809,13,S13,13,MAHARASHTRA,CHANDRAPUR,Chandrapur,JITENDRA ADAKU RAUT,ABMP,3,Graduate,"10,700","44,805"
7043,7383,S25,28,WEST BENGAL,HOOGHLY,Hooghly,SWAPAN MURMU,JDP,0,Graduate,"10,719",0
7096,4821,S20,15,RAJASTHAN,PALI,Pali,TANMAY,IND,0,Graduate Professional,"10,745",0
7097,8795,S22,3,TAMIL NADU,CHENNAI SOUTH,Chennai South,TANMAY,IND,0,Not Given,"10,745",0
3590,1592,S11,14,KERALA,KOTTAYAM,Kottayam,M S Raveendran,IND,0,10th Pass,"10,800",0
982,9203,S22,35,TAMIL NADU,RAMANATHAPURAM,Ramanathapuram,BASKARAN. P,IND,0,8th Pass,"11,000",0
3730,3480,S13,4,MAHARASHTRA,RAVER,Raver,MAKBUL FARID SK.,IND,0,Literate,"11,000","45,000"
3814,7936,S19,6,PUNJAB,ANANDPUR SAHIB,Anandpur Sahib,MANJIT KAUR,DBSP,0,Illiterate,"11,000",0
4249,9204,S22,35,TAMIL NADU,RAMANATHAPURAM,Ramanathapuram,MURUGENDRAN. G,IND,0,Graduate Professional,"11,000",0
6049,5672,S24,45,UTTAR PRADESH,JALAUN,Jalaun,SANJAY KUMAR,RAJUP,0,10th Pass,"11,000",0
6883,8793,S22,3,TAMIL NADU,CHENNAI SOUTH,Chennai South,SUNDAR J,IND,0,Post Graduate,"11,000",0
6919,7677,U05,4,NCT OF DELHI,NEW DELHI,New Delhi,SUNITA CHAUDHARY,UWF,0,10th Pass,"11,000","5,00,000"
6274,8596,S22,33,TAMIL NADU,THENI,Theni,SELVARAJ,IND,0,10th Pass,"11,220",0
3638,8874,S22,5,TAMIL NADU,SRIPERUMBUDUR,Sriperumbudur,MADHAVARAJ K V,IND,0,12th Pass,"11,290","1,351"
2023,2997,S03,13,ASSAM,DIBRUGARH,Dibrugarh,FRANCIS DHAN,IND,0,Post Graduate,"11,500",0
6666,8882,S22,6,TAMIL NADU,KANCHEEPURAM,Kancheepuram,SIVASANKARAN.A,AIJMK,0,Others,"11,500","1,00,000"
5746,5028,S04,26,BIHAR,BHAGALPUR,Bhagalpur,RATAN KUMAR MANDAL,IND,0,Post Graduate,"11,635",0
4662,32,S01,15,ANDHRA PRADESH,WARANGAL,Warangal,Pakala Devadanam,IND,0,8th Pass,"11,787",0
529,4511,S06,23,GUJARAT,BARDOLI,Bardoli,ARJUNBHAI BHALJIBHAI CHAUDHARY,IND,0,Graduate,"12,000",0
868,4000,S24,55,UTTAR PRADESH,AMBEDKAR NAGAR,Ambedkar Nagar,BAL MUKUND DHURIYA,CPI(ML)(L),2,Graduate,"12,000",0
2003,7130,S24,17,UTTAR PRADESH,MATHURA,Mathura,FAKKAR BABA,IND,0,10th Pass,"12,000",0
3176,3772,S13,44,MAHARASHTRA,SANGLI,Sangli,KAVTHEKAR PRAVIN BHAGWAN KAVTHEKAR ALIAS JIVA MAHALE,IND,0,Not Given,"12,000",0
3977,1756,S10,25,KARNATAKA,BANGALORE CENTRAL,Bangalore Central,Meer Layaq Hussain,IND,0,Graduate Professional,"12,000",0
3978,1692,S10,24,KARNATAKA,BANGALORE NORTH,Bangalore North,Meer Layaq Hussain,IND,0,Graduate Professional,"12,000",0
5130,7867,S19,1,PUNJAB,GURDASPUR,Gurdaspur,RAGHVIR KAUR,LJP,0,12th Pass,"12,000",0
6056,8068,S24,6,UTTAR PRADESH,MORADABAD,Moradabad,SANJAY KUMAR URF SANJAY KUMAR GOSWAMI,IND,0,12th Pass,"12,400",0
1507,5579,S24,35,UTTAR PRADESH,LUCKNOW,Lucknow,DASHARATH,RMEP,0,Post Graduate,"12,404",0
2255,4198,S27,3,JHARKHAND,GODDA,Godda,GOVIND LAL MARANDI,RSP,0,10th Pass,"12,599","60,000"
5431,4060,S24,59,UTTAR PRADESH,GONDA,Gonda,RAM KEWAL,VAJP,0,Literate,"12,700",0
6240,6112,S25,35,WEST BENGAL,PURULIA,Purulia,Sayantan Basu,BJP,0,Graduate,"12,901",0
144,1484,S11,5,KERALA,KOZHIKODE,Kozhikode,Adv P A Mohamed Riyas,CPM,0,10th Pass,"13,000",0
3137,8781,S22,3,TAMIL NADU,CHENNAI SOUTH,Chennai South,KARTHIKEYAN G,IND,0,10th Pass,"13,000",0
3520,2230,S06,26,GUJARAT,VALSAD,Valsad,LAXMANBHAI CHHAGANBHAI VARLI,CPI(ML)(L),1,Literate,"13,000",0
4612,1489,S11,5,KERALA,KOZHIKODE,Kozhikode,P Muhammed Riyas,IND,0,10th Pass,"13,000",0
4181,6274,S20,11,RAJASTHAN,DAUSA,Dausa,MUKESH KUMAR,BSA,0,12th Pass,"13,200",0
389,8969,S22,13,TAMIL NADU,VILUPPURAM,Viluppuram,ANANDAN P,IND,0,10th Pass,"13,500",0
7247,807,S13,7,MAHARASHTRA,AMRAVATI,Amravati,UGLE SUNIL NAMDEV,PRBP,0,5th Pass,"13,500",0
3314,3519,S13,19,MAHARASHTRA,AURANGABAD,Aurangabad,KRISHNA DEVIDAS JADHAV,IND,1,Graduate,"14,000","48,970"
3846,7359,S25,25,WEST BENGAL,HOWRAH,Howrah,MANOJ KUMAR PASWAN,IND,0,12th Pass,"14,000",0
5101,3402,S12,19,MADHYA PRADESH,BHOPAL,Bhopal,RADHESHYAM KULASTE,GMS,0,5th Pass,"14,000",0
5393,4120,S24,62,UTTAR PRADESH,SANT KABIR NAGAR,Sant Kabir Nagar,RAM AVADH NISHAD,SBSP,0,5th Pass,"14,000",0
6284,8594,S22,33,TAMIL NADU,THENI,Theni,SELVARAJAN.P,PT,0,Graduate,"14,300",0
1944,8501,S22,22,TAMIL NADU,DINDIGUL,Dindigul,DURAI K,IND,0,10th Pass,"14,500",0
971,2445,S18,18,ORISSA,BHUBANESWAR,Bhubaneswar,Basanta Kumar Behera,KS,0,12th Pass,"14,600",0
3083,7712,U05,7,NCT OF DELHI,SOUTH DELHI,South Delhi,KANTA PINGOLIA,IND,1,Not Given,"14,775",0
36,3730,S13,41,MAHARASHTRA,LATUR,Latur,AAWCHARE VIJAYKUMAR BABRUWAN,IND,0,Post Graduate,"15,000",0
39,511,S11,1,KERALA,KASARAGOD,Kasaragod,Abbas Muthalappara,IND,0,10th Pass,"15,000",0
392,8748,S22,2,TAMIL NADU,CHENNAI NORTH,Chennai North,ANANDARAJ.G,IND,0,5th Pass,"15,000",0
517,8825,S22,4,TAMIL NADU,CHENNAI CENTRAL,Chennai Central,ARIVUDAINAMBI.N,IND,0,12th Pass,"15,000",0
922,9150,S22,30,TAMIL NADU,THANJAVUR,Thanjavur,BALU (A) BALAN,IND,0,Literate,"15,000",0
1215,2420,S06,13,GUJARAT,JUNAGADH,Junagadh,BRIJESH RAMBHAI DANGAR,RWS,1,8th Pass,"15,000",0
1711,5514,S24,30,UTTAR PRADESH,SITAPUR,Sitapur,DILEEP KUMAR,IND,2,Graduate,"15,000",0
1979,8436,S22,17,TAMIL NADU,ERODE,Erode,ELANGOVAN.K.K.S,IND,0,10th Pass,"15,000",0
2592,4749,S01,38,ANDHRA PRADESH,KADAPA,Kadapa,J Subbarayudu,IND,0,5th Pass,"15,000",0
2772,6450,S10,28,KARNATAKA,KOLAR,Kolar,JAYARAMAPPA,IND,0,Graduate,"15,000","70,000"
2844,1586,S11,14,KERALA,KOTTAYAM,Kottayam,Jose K Mani,IND,0,10th Pass,"15,000",0
2961,3429,S12,29,MADHYA PRADESH,BETUL,Betul,KADAKSHING VADIVA,IND,0,8th Pass,"15,000",0
3161,9038,S22,20,TAMIL NADU,COIMBATORE,Coimbatore,KATHIRMANI P,SP,0,8th Pass,"15,000",0
3162,8437,S22,17,TAMIL NADU,ERODE,Erode,KATHIRVEL.A,IND,0,8th Pass,"15,000",0
3449,4289,S27,8,JHARKHAND,RANCHI,Ranchi,LAL BABA MASANI,IND,0,8th Pass,"15,000",0
3593,4456,S01,26,ANDHRA PRADESH,NARSAPURAM,Narsapuram,M V R RAJU,RDMP,0,10th Pass,"15,000",0
3931,3614,S13,35,MAHARASHTRA,BARAMATI,Baramati,MAYAWATI AMAR CHITRE,BMSM,0,8th Pass,"15,000",0
4037,8840,S22,4,TAMIL NADU,CHENNAI CENTRAL,Chennai Central,MOHAMED ALI,IND,0,8th Pass,"15,000",0
4146,3482,S13,4,MAHARASHTRA,RAVER,Raver,MORE HIRAMAN BHONAJI,IND,0,5th Pass,"15,000",0
4250,9052,S22,20,TAMIL NADU,COIMBATORE,Coimbatore,MURUGESAN K,IND,0,Illiterate,"15,000",0
4285,1191,S03,2,ASSAM,SILCHAR,Silchar,Nabadwip Das,IND,0,8th Pass,"15,000",0
4413,5328,S13,24,MAHARASHTRA,KALYAN,Kalyan,NARENDRA WAMAN MORE,IND,0,Graduate,"15,000",0
4666,8919,S22,8,TAMIL NADU,VELLORE,Vellore,PALANI R T,IND,0,5th Pass,"15,000","50,000"
4798,3533,S13,20,MAHARASHTRA,DINDORI,Dindori,PAWAR SAMPAT WAMAN,BBM,0,Graduate,"15,000",0
4894,2649,S18,18,ORISSA,BHUBANESWAR,Bhubaneswar,Praful Kumar Sahoo,RPI(A),4,10th Pass,"15,000",0
4971,7569,U05,1,NCT OF DELHI,CHANDNI CHOWK,Chandni Chowk,PREM NARAIN,IND,0,12th Pass,"15,000",0
5585,7773,S24,20,UTTAR PRADESH,FIROZABAD,Firozabad,RAMDAS SAVITA,IND,0,10th Pass,"15,000",0
5613,2487,S06,1,GUJARAT,KACHCHH,Kachchh,RAMESH GANGJI BALIA,RKSP,0,8th Pass,"15,000","80,000"
6272,9039,S22,20,TAMIL NADU,COIMBATORE,Coimbatore,SELVAM M,SHS,0,Illiterate,"15,000",0
6694,1108,S01,15,ANDHRA PRADESH,WARANGAL,Warangal,Somaiah Ganapuram,IND,0,5th Pass,"15,000",0
6713,9149,S22,30,TAMIL NADU,THANJAVUR,Thanjavur,SOZHAMANNAR KANAKARAJA.K,IND,0,Post Graduate,"15,000",0
6830,3486,S13,4,MAHARASHTRA,RAVER,Raver,SUJATA IBRAHIM TADAVI,IND,0,10th Pass,"15,000","90,000"
6901,7008,S24,10,UTTAR PRADESH,MEERUT,Meerut,SUNIL KUMAR,IND,1,Post Graduate,"15,000",0
7201,9125,S22,28,TAMIL NADU,MAYILADUTHURAI,Mayiladuthurai,TIMOTHY T,IND,0,Illiterate,"15,000",0
7243,8828,S22,4,TAMIL NADU,CHENNAI CENTRAL,Chennai Central,UDAYAKUMAR,IND,0,10th Pass,"15,000","1,60,000"
7667,6006,S10,11,KARNATAKA,DHARWAD,Dharwad,ZAMEER KHAN,IND,0,Not Given,"15,000",0
149,1475,S11,4,KERALA,WAYANAD,Wayanad,Adv Shanavas Malappuram,IND,0,Graduate Professional,"15,500",0
3508,1268,S27,5,JHARKHAND,KODARMA,Kodarma,LAXAMAN DAS,IND,0,Not Given,"15,800","50,000"
3242,4686,S01,24,ANDHRA PRADESH,AMALAPURAM,Amalapuram,KIRAN KUMAR BINEPE,PBHP,0,Not Given,"15,887",0
1685,1382,S24,65,UTTAR PRADESH,KUSHI NAGAR,Kushi Nagar,DHEERAJ SHEKHAR SHRIWASTAWA,RALOP,0,Not Given,"16,000",0
4723,4012,S24,55,UTTAR PRADESH,AMBEDKAR NAGAR,Ambedkar Nagar,PARASHU RAM,IND,0,12th Pass,"16,000",0
