Sno,Candidate ID,ST_CODE,PC_CODE,ST_NAME,PC_NAME,Constituency,Candidate,Party,Criminal Case,Education,Assets,Liabilities
1578,1087,S01,11,ANDHRA PRADESH,MAHBUBNAGAR,Mahbubnagar,Depally Sayanna,IND,0,Not Given,0,0
1599,9156,S22,31,TAMIL NADU,SIVAGANGA,Sivaganga,DEVAR M.G.,BSP,0,Not Given,0,0
1601,5920,S10,16,KARNATAKA,HASSAN,Hassan,DEVARAJA. P. B,IND,0,Post Graduate,0,0
1603,1880,S24,76,UTTAR PRADESH,CHANDAULI,Chandauli,DEVAROO,IND,0,10th Pass,0,0
1606,4350,S01,36,ANDHRA PRADESH,ANANTAPUR,Anantapur,DEVELLA MURALI,IND,0,5th Pass,0,0
1627,8432,S22,17,TAMIL NADU,ERODE,Erode,DEVI.M.,LJP,0,Literate,0,0
1656,3367,S12,16,MADHYA PRADESH,CHHINDWARA,Chhindwara,DHANRAJ JAMBHATKAR,IND,0,Not Given,0,0
1666,8574,S22,27,TAMIL NADU,CHIDAMBARAM,Chidambaram,"DHARMALINGAM, C",IND,0,Not Given,0,0
1746,8458,S22,18,TAMIL NADU,TIRUPPUR,Tiruppur,DINESH KUMAR N,DMDK,0,Not Given,0,0
1859,3931,S24,51,UTTAR PRADESH,PHULPUR,Phulpur,DR. MILAN MUKHERJEE,IND,0,Not Given,0,0
1867,8264,S28,4,UTTARAKHAND,NAINITAL-UDHAMSINGH NAGAR,Nainital-Udhamsingh Nagar,DR. NARAYAN SINGH JANTWAL,UKKD,0,Not Given,0,0
1886,1408,S13,11,MAHARASHTRA,BHANDARA-GONDIYA,Bhandara-Gondiya,DR. RAMSAJIVAN KAWDU LILHARE,IND,0,Not Given,0,0
1896,7494,S04,9,BIHAR,ARARIA,Araria,DR. SHAKEEL AHMAD KHAN,INC,0,Not Given,0,0
1974,8729,S22,1,TAMIL NADU,TIRUVALLUR,Tiruvallur,ELANGO INBARAJ.V,IND,0,Literate,0,0
1977,8944,S22,10,TAMIL NADU,DHARMAPURI,Dharmapuri,ELANGOVAN. V,DMDK,0,Not Given,0,0
1992,9037,S22,20,TAMIL NADU,COIMBATORE,Coimbatore,ESWARAN E R,KNMK,0,Not Given,0,0
