ID,Key,Type,Value,Year
6995,353,IPC,1,2014
2849,147,IPC,1,2014
2849,148,IPC,1,2014
2849,149,IPC,1,2014
2849,427,IPC,1,2014
2849,504,IPC,1,2014
2849,353,IPC,1,2014
2849,323,IPC,1,2014
4882,420,IPC,2,2014
4882,506,IPC,2,2014
4882,468,IPC,1,2014
4882,384,IPC,1,2014
4882,34,IPC,1,2014
3490,332,IPC,2,2014
3490,506,IPC,1,2014
3490,454,IPC,1,2014
3490,380,IPC,1,2014
3490,143,IPC,4,2014
3490,353,IPC,2,2014
3490,149,IPC,2,2014
3490,147,IPC,2,2014
3490,341,IPC,2,2014
3490,120,IPC,1,2014
3490,336,IPC,1,2014
3490,447,IPC,1,2014
3490,504,IPC,1,2014
3490,427,IPC,1,2014
3490,323,IPC,1,2014
3490,423,IPC,1,2014
3490,34,IPC,1,2014
1651,468,IPC,2,2014
1651,420,IPC,1,2014
1651,201,IPC,1,2014
1651,466,IPC,1,2014
1651,380,IPC,1,2014
1651,506,IPC,1,2014
1651,471,IPC,2,2014
1651,34,IPC,2,2014
1651,427,IPC,2,2014
1651,120,IPC,1,2014
1651,415,IPC,1,2014
1651,147,IPC,1,2014
1651,153,IPC,1,2014
1651,323,IPC,1,2014
1651,336,IPC,1,2014
695,302,IPC,1,2014
695,201,IPC,1,2014
695,120,IPC,1,2014
695,143,IPC,1,2014
695,147,IPC,1,2014
695,148,IPC,1,2014
695,341,IPC,1,2014
695,109,IPC,1,2014
695,207,IPC,1,2014
695,149,IPC,1,2014
2677,420,IPC,1,2014
2677,468,IPC,1,2014
3373,143,IPC,1,2014
3373,147,IPC,1,2014
3373,149,IPC,1,2014
3373,336,IPC,1,2014
3373,427,IPC,1,2014
3373,504,IPC,1,2014
3373,34,IPC,1,2014
4932,341,IPC,1,2014
584,333,IPC,1,2014
584,379,IPC,1,2014
584,337,IPC,2,2014
584,147,IPC,1,2014
584,148,IPC,1,2014
584,149,IPC,1,2014
584,353,IPC,1,2014
584,427,IPC,1,2014
2862,193,IPC,1,2014
2862,420,IPC,1,2014
2862,109,IPC,1,2014
2862,120,IPC,1,2014
2862,143,IPC,1,2014
2862,447,IPC,1,2014
2862,341,IPC,1,2014
7021,324,IPC,1,2014
7021,420,IPC,1,2014
7021,147,IPC,4,2014
7021,143,IPC,3,2014
7021,323,IPC,2,2014
7021,148,IPC,2,2014
7021,188,IPC,1,2014
764,188,IPC,1,2014
7439,507,IPC,1,2014
1634,506,IPC,1,2014
1634,353,IPC,1,2014
1634,323,IPC,1,2014
1634,504,IPC,1,2014
1219,188,IPC,1,2014
7158,406,IPC,4,2014
7158,420,IPC,4,2014
7158,120,IPC,1,2014
4017,379,IPC,1,2014
4017,411,IPC,1,2014
7371,324,IPC,1,2014
7371,147,IPC,1,2014
7371,148,IPC,1,2014
7371,323,IPC,1,2014
7371,500,IPC,1,2014
3377,506,IPC,1,2014
3377,323,IPC,1,2014
3377,352,IPC,1,2014
3377,355,IPC,1,2014
4193,147,IPC,1,2014
4193,341,IPC,1,2014
4193,188,IPC,1,2014
4193,171,IPC,1,2014
3109,506,IPC,6,2014
3109,332,IPC,4,2014
3109,364,IPC,2,2014
3109,452,IPC,1,2014
3109,392,IPC,1,2014
3109,302,IPC,1,2014
3109,147,IPC,6,2014
3109,504,IPC,5,2014
3109,341,IPC,4,2014
