Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year
Amitosh Biswas,Nabadwip,0,Graduate,5381,IND,181,176000,0,2004
AMIYA KANTA MALLIK,Jajpur,0,Graduate,2909,INC,182,4805000,9647,2004
AMKAR GYANIRAM BAJIRAO,Bhandara,0,Graduate,2338,IND,183,215000,220400,2004
AMP YADAV,Banka,0,Not Given,490,IND,184,63500,0,2004
AMRARAM,Sikar,0,Post Graduate,3289,CPM,185,627000,0,2004
AMRIT BORGOHAIN,Dibrugarh,0,Post Graduate,338,IND,186,1480000,0,2004
AMRIT TIRKEY,Raigarh,0,Not Given,962,SP,187,50000,0,2004
AMTE VINOD RAMCHANDRA,Pune,0,Graduate,2621,IND,188,2486000,470000,2004
ANADI SAHU,Berhampur,0,Graduate,2866,BJP,189,1525000,0,2004
ANAND BALIRAM GAIKWAD,Yavatmal,0,Graduate,2696,BBM,190,130000,27000,2004
ANAND MOHAN,Monghyr,0,Literate,700,SPVD,191,12829826,0,2004
ANAND MOHAN SINGH,Sheohar,32,12th Pass,839,BPSP,192,1066000,658785,2004
ANAND PRAKASH GAUTAM,Bara Banki,0,Post Graduate,4083,INC,193,1107899,0,2004
ANAND RATNA MAURYA,Chandauli,0,Graduate Professional,4186,SP,194,4382627,261760,2004
ANAND RAVINDER SINGH,Mumbai North West,0,10th Pass,2517,IND,195,0,0,2004
ANANDI MAHTO,Barh,0,10th Pass,493,BSP,196,953000,40000,2004
ANANDRAO CHINDHAJI LAHANE,Buldhana,0,Graduate,2349,RLD,197,3500000,0,2004
ANANDRAO TUKARAM THORAT,Karad,0,Graduate,2426,IND,198,862000,95,2004
ANANT GEETE,Ratnagiri,0,12th Pass,2638,SHS,199,5518754,1200000,2004
ANANT GUDHE,Amravati,0,Graduate,2302,SHS,200,3532477,217263,2004
ANANT LAL SADA,Madhepura,0,Post Graduate,666,SP,201,125750,2260,2004
ANANT PD. TULSYAN,Muzaffarpur,0,10th Pass,723,ABHM,202,15771,0,2004
ANANTA NAYAK,Keonjhar,0,12th Pass,2919,BJP,203,818420,69086,2004
ANANTHA VENKATA RAMI REDDY,Anantapur,0,Post Graduate,25,INC,204,3890000,437636,2004
ANANTHKUMAR HEGDE,Kanara,3,12th Pass,1759,BJP,205,1206000,13401653,2004
ANGADI SURESH CHANABASAPPA,Belgaum,0,Graduate Professional,1661,BJP,206,47466695,8852490,2004
ANGLE RAMAKANT SOIRU,Mormugao,0,Graduate,1016,BJP,207,68249462,15431905,2004
ANGREJ SINGH JOON,Karnal,0,Graduate Professional,1266,RGD,208,98000,30000,2004
Angshuman Paul,Calcutta North East,0,Not Given,5177,IND,209,0,0,2004
Anil Basu,Arambagh,0,Literate,5087,CPM,210,1042327,0,2004
ANIL BHARTI,Outer Delhi,0,Post Graduate,2815,RVNP,211,0,0,2004
Anil Biswas,Raiganj,0,Not Given,5399,BSP,212,0,0,2004
ANIL CHOUDHURY,Kaliabor,0,10th Pass,363,LJNSP,213,255020,0,2004
ANIL GOGIA,Outer Delhi,0,12th Pass,2818,IND,214,1572000,2242,2004
ANIL GULABRAO WANKHEDE,Buldhana,0,Post Graduate,2350,IND,215,74000,70754,2004
ANIL KUMAR BHARTI,Bhopal,0,Post Graduate,2036,ABHM,216,31028,0,2004
ANIL KUMAR CHADHA,Delhi Sadar,0,12th Pass,2749,IND,217,269908,0,2004
Anil Kumar Choudhury,Purulia,0,Post Graduate,5394,JD(U),218,1063586,0,2004
ANIL KUMAR SHARMA,East Delhi,0,Graduate,2758,LPI(V),219,2785030,0,2004
ANIL RAO,Mahendragarh,0,Post Graduate,1292,HVP,220,4683059,0,2004
Anindya Gopal Mitra,Burdwan,0,12th Pass,5165,BJP,221,283000,0,2004
ANIRUDH PRASAD ALIAS SADHU YADAV,Gopalganj,3,Graduate,589,RJD,222,5234219,443268,2004
ANIS AHMAD KHAN ALIAS PHOOL BABU,Pilibhit,0,Graduate,4792,BSP,223,3458530,365931,2004
Anisur Rahman,Jadavpur,0,Post Graduate,5280,INL,224,78200,0,2004
ANITA ARYA,Karol Bagh,0,Doctorate,2782,BJP,225,758485,0,2004
ANITA NAIK,Mumbai North,0,10th Pass,2477,NSTP,226,2755800,0,2004
ANITA VERMA,Hardoi,0,Not Given,4403,BJP,227,5696557,244849,2004
Anjan Adhikary,Barasat,0,Others,5120,IND,228,189051,0,2004
ANN KUMAR,Aurangabad,0,Literate,452,AD,229,0,0,2004
ANNASAHEB M. K. PATIL,Erandol,0,Post Graduate,2386,BJP,230,4492440,944685,2004
ANNAYYAGARI SAI PRATHAP,Rajampet,0,12th Pass,220,INC,231,9709190,1160909,2004
ANOOP SINGH,Rohtak,0,10th Pass,1321,RVP,232,339070,0,2004
ANOOP SINGH MATANHAIL,Rohtak,0,10th Pass,1310,IND,233,426152,0,2004
ANSARI HUSAIN AHMED,Mumbai South Central,0,10th Pass,2533,MUL,234,1200000,0,2004
ANSARI MOHAMMED ISMAIL MOHAMMED IBRAHIM,Nashik,0,Graduate,2572,BMSM,235,274000,0,2004
ANTO ANTONY,Kottayam,0,Graduate,1897,INC,236,570674,0,2004
ANUBHAV,Kanpur,2,Graduate,4530,BSP,237,45000,0,2004
Anup Dey,Howrah,0,12th Pass,5265,JD(S),238,122550,100000,2004
ANURADHA CHOUDHARY,Kairana,0,Graduate,4475,RLD,239,43904200,0,2004
ANURODH PRAGAT,Muzaffarpur,0,Graduate,721,IND,240,275205,0,2004
ANWAR HUSSAIN,Dhubri,0,Graduate Professional,322,INC,241,558467,225000,2004
ANWAR HUSSAIN LASKAR,Silchar,2,8th Pass,407,SP,242,3874712,0,2004
ANWAR ISMAIL BAGWAN,Pune,0,Graduate,2611,IND,243,2000,130000,2004
"APPADURAI, M.",Tenkasi,0,Graduate,3723,CPI,244,1263017,0,2004
APPARAO DAMALAPATI,Vijayawada,0,10th Pass,268,IND,245,4296000,0,2004
APPARAO GUDIVADA,Visakhapatnam,0,Not Given,281,IND,246,226200,0,2004
Apurba Banerjee,Berhampore,2,Graduate,5147,IND,247,800291,0,2004
APURBA BHATTACHARJEE,Mangaldoi,0,Post Graduate,394,AGP,248,177889,0,2004
Arabindu Halder,Jadavpur,0,Graduate,5279,BSP,249,35000,175,2004
ARCHANA NAYAK,Kendrapara,0,Post Graduate,2916,BJD,250,384400,32000,2004
ARCHANA SHRIVASTAVA,Bhopal,0,Graduate Professional,2031,SVSP,251,1280000,225000,2004
ARIF MOHAMMAD KHAN,Kaiserganj,0,Graduate,4507,BJP,252,10500000,0,2004
ARIKA GUMPASWAMY,Parvathipuram,0,Not Given,207,IND,253,442000,0,2004
ARJAN RAM,Bikaner,0,8th Pass,3169,BSP,254,619784,0,2004
Arjun Bag,Barrackpore,0,Not Given,5133,IND,255,2000,0,2004
ARJUN KUMAR BIND,Monghyr,0,12th Pass,696,BSP,256,51000,0,2004
Arjun Prasad Singh,Barrackpore,7,12th Pass,5131,IND,257,958607,356784,2004
ARJUN PRASHAD,East Delhi,0,8th Pass,2768,RSBP,258,1020000,0,2004
ARJUN RAM,Barmer,0,Literate,3145,IND,259,469000,0,2004
Arjun Saha,Birbhum,0,Graduate,5154,BJP,260,515000,0,2004
Arjun Singh,Barrackpore,0,12th Pass,5124,AITC,261,918500,385326,2004
ARJUN SINGH THAKUR,Kanker,0,Post Graduate,945,BSP,262,2910000,720000,2004
AROON BARUAH,Mangaldoi,0,Graduate,397,IND,263,255273,0,2004
Arun Basu,Barasat,0,Graduate,5121,IND,264,746496,0,2004
ARUN BHATIA,Pune,1,Post Graduate,2603,IND,265,19873368,0,2004
ARUN JOSHI,Durg,0,Graduate,925,IND,266,0,0,2004
ARUN KUMAR,Jahanabad,1,Doctorate,608,JD(U),267,10594721,398145,2004
ARUN KUMAR,Chandni Chowk,0,Graduate Professional,2733,IND,268,5320000,633300000,2004
ARUN KUMAR CHANDRASHEKARA PATIL,Gulbarga,0,Graduate,1742,KNDP,269,6813645,0,2004
ARUN KUMAR MEHTA,Nalanda,0,Others,736,IND,270,579500,4000,2004
ARUN KUMAR RAJAK,Araria,0,Graduate,427,IJP,271,3395000,0,2004
ARUN KUMAR SINGH,Bikramganj,1,12th Pass,535,BSP,272,5711940,722949,2004
ARUN KUMAR THAKUR,Samastipur,0,Others,825,IND,273,595000,296000,2004
ARUN SINGH,Bikramganj,0,10th Pass,534,CPI(ML)(L),274,49000,55606,2004
ARUNA CHANDRA,Khammam,0,Not Given,112,IND,275,200000,0,2004
ARUNA KUMAR VUNDAVALLI,Rajahmundry,2,Graduate Professional,214,INC,276,23431318,881017,2004
Arup Ghosh,Jadavpur,0,12th Pass,5284,IND,277,13063,0,2004
ARVIND,Hardwar,0,8th Pass,5051,UKKD,278,60500,0,2004
ARVIND CHOUDHARY,Muzaffarpur,0,12th Pass,724,RLSM,279,14552467,1029649,2004
ARVIND JAIN,Chandigarh,0,Graduate,890,IND,280,7884180,0,2004
ARVIND KHANNA,Sangrur,0,Others,3098,INC,281,65937649,5600000,2004
ARVIND KUMAR SHARMA,Karnal,0,Post Graduate,1252,INC,282,5736332,0,2004
ARVIND KUMAR SONKAR,Ambala,0,Graduate Professional,1203,ABHM,283,17071,0,2004
ARVIND SAH,Madhepura,0,10th Pass,663,BSP,284,375000,0,2004
ASADUDDIN OWAISI,Hyderabad,3,Graduate Professional,89,AIMIM,285,3902342,0,2004
Asalata Majumdar,Contai,0,Not Given,5209,BSP,286,67500,0,2004
ASESAR MANJHI,Bagaha,0,5th Pass,465,IND,287,56000,0,2004
ASHA PAL,Moradabad,0,10th Pass,4733,LP(S),288,836300,0,2004
Ashim Das,Calcutta North West,0,Not Given,5185,IND,289,0,0,2004
Ashim Roy,Berhampore,0,Others,5149,IND,290,33500,52700,2004
Ashis Saha,Raiganj,0,Others,5404,SP,291,997000,0,2004
ASHOK  PATEL,Fatehpur,0,Doctorate,4280,BJP,292,12540008,1673626,2004
ASHOK  SHARMA,Bhind,0,Not Given,2026,IND,293,1116000,0,2004
ASHOK CHHAVIRAM ARGAL,Morena,2,12th Pass,2182,BJP,294,3220504,432625,2004
ASHOK KRISHNAPPA,Chikballapur,1,Not Given,1694,JD(U),295,5256000,0,2004
ASHOK KUMAR,Chandni Chowk,0,10th Pass,2739,IND,296,59500,0,2004
ASHOK KUMAR,Sasaram,0,Graduate,830,SAP,297,1275000,80000,2004
ASHOK KUMAR,Faridkot,0,Not Given,3005,JD(S),298,2695000,650000,2004
ASHOK KUMAR ARORA,Karnal,0,10th Pass,1254,INLD,299,5974456,300000,2004
ASHOK KUMAR JATAV,Bhind,0,Not Given,2019,NLP,300,30000,0,2004
ASHOK KUMAR KASHYAP,Karnal,0,Doctorate,1256,BSP,301,1916540,10465,2004
ASHOK KUMAR PRADHAN,Khurja,0,Others,4573,BJP,302,11589733,0,2004
ASHOK KUMAR RAJPUT,Durg,0,Literate,924,IND,303,333000,0,2004
ASHOK KUMAR RAWAT,Misrikh,0,Post Graduate,4705,BSP,304,1419108,326547,2004
ASHOK KUMAR SINGH,Rae Bareli,1,Graduate,4820,SP,305,16315000,524960,2004
