Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year
AAPPASAHEB RADHAKISAN KUDHEKAR,Jalna,0,12th Pass,3491,KM,31,555000,0,2009
Aaris Mohammed,Nizamabad,0,10th Pass,16,IND,32,16554,0,2009
AARON RASHID.J.M,Theni,0,12th Pass,8589,INC,33,248974573,2191815,2009
AAVID HUSSAIN,Amethi,0,Not Given,3844,IND,34,1095200,0,2009
AAWALE JAYWANT GANGARAM,Latur,1,10th Pass,3717,INC,35,30485766,0,2009
AAWCHARE VIJAYKUMAR BABRUWAN,Latur,0,Post Graduate,3730,IND,36,15000,0,2009
ABADHESH SHAKYA,Mainpuri,0,10th Pass,7210,RSMD,37,1230200,0,2009
ABBAS,Hardwar,0,5th Pass,8287,IND,38,1176000,0,2009
Abbas Muthalappara,Kasaragod,0,10th Pass,511,IND,39,15000,0,2009
ABBDUL KADIR,Garhwal,0,Literate,8250,IND,40,540593,5000,2009
ABDESH BHOOSHAN SRIVASTAVA,Jhansi,1,Not Given,7468,IND,41,2600,0,2009
Abdu Ramhan,Ponnani,0,Graduate,1506,IND,42,1900,0,2009
ABDUL AJIJ,Muzaffarnagar,1,10th Pass,6960,PECP,43,11396086,0,2009
ABDUL AZIZ,Nagaur,0,Graduate Professional,6090,BSP,44,3203724,0,2009
ABDUL BASIT,Bijnor,0,Graduate,8020,KKJHS,45,1092325,0,2009
ABDUL FARID,Jhalawar-Baran,0,Post Graduate,6391,IND,46,60000,0,2009
ABDUL GAFFAR,East Delhi,0,8th Pass,7587,LD,47,240000,0,2009
ABDUL GAFOOR,Araria,0,Not Given,7498,IND,48,0,0,2009
ABDUL GAFUR GUDDU PIRJI,Khandwa,0,5th Pass,5294,IND,49,400000,0,2009
Abdul Hamid Siddiqui,Bilaspur,0,Others,601,IND,50,1305000,0,2009
Abdul Jaleel,Bangalore North,0,10th Pass,1639,IND,51,10000,0,2009
ABDUL JALEEL A,Mayiladuthurai,0,8th Pass,9120,IND,52,36000,0,2009
ABDUL KADDUS,Barpeta,0,10th Pass,2913,SP,53,199000,0,2009
ABDUL KADER,Barpeta,0,Graduate,2917,IND,54,214000,0,2009
Abdul Kareem Khaja Mohammad,Mahbubnagar,0,Graduate,1072,LSP,55,0,0,2009
Abdul Karim Chowdhary,Raiganj,4,Graduate,5931,IND,56,14307000,581400,2009
ABDUL MAJEED MALIK,Jammu,0,Not Given,2093,BCDP,57,80000,0,2009
ABDUL MAJEED OOSI,Vellore,0,Graduate,8910,IND,58,1212000,250192,2009
ABDUL MANNAN HOSSAIN,Murshidabad,1,Graduate,7324,INC,59,1709788,1006391,2009
ABDUL MOMIN SEKH,Howrah,0,12th Pass,7353,IND,60,220000,0,2009
ABDUL MUSTAFA,Dhanbad,0,Post Graduate,4247,IND,61,75000,0,2009
ABDUL QAYYUM,Jhalawar-Baran,0,Graduate,6162,BSP,62,811200,0,2009
ABDUL RAHMAN,Inner Manipur,0,Post Graduate,3816,IND,63,4127381,0,2009
ABDUL RAJAK,Jaipur,0,Literate,6054,IND,64,656100,0,2009
ABDUL RAJJAK URF KAL,Kishanganj,0,Literate,4914,IND,65,100000,0,2009
ABDUL RAJJAQ,East Delhi,0,Not Given,7593,IND,66,7000,0,2009
ABDUL RASHEED,Guna,0,12th Pass,5131,AD,67,2140500,70000,2009
ABDUL RASHEED SHAIKH,Uttara Kannada,1,Not Given,6463,IND,68,1820000,0,2009
ABDUL RASHID,Baghpat,0,Graduate,7016,IND,69,70000,0,2009
ABDUL RASHID LONE,Srinagar,0,10th Pass,6766,RPI(A),70,345000,0,2009
Abdul Rassaq Moulavi,Palakkad,0,8th Pass,1516,NCP,71,1407810,0,2009
ABDUL SAMAD,Bijnor,0,10th Pass,8027,IND,72,211943,0,2009
ABDUL SAMAD,Chandni Chowk,1,10th Pass,7546,RPIE,73,2990000,400000,2009
Abdul Satar,Karakat,0,Graduate Professional,937,IND,74,595000,489000,2009
ABDUL SATTAR,Purnia,0,Graduate,4945,IND,75,323000,0,2009
ABDUL SATTAR . G,Nandyal,0,10th Pass,4416,BCUF,76,600000,0,2009
ABDUL SHAMAD KHAN,Chhindwara,0,Graduate,3357,IND,77,1730000,80000,2009
ABDUL WAHAB,Araria,0,Not Given,7499,IND,78,0,0,2009
ABDULBARI SIDDIKI,Madhubani,1,12th Pass,3085,RJD,79,9611661,1622144,2009
ABDULRAHMAN,Vellore,0,Graduate,8899,DMK,80,12547128,3297328,2009
ABDUR RAHIM,Darbhanga,0,Literate,3119,IND,81,5100000,0,2009
Abdur Razzaque,Maldaha Dakshin,0,Post Graduate,4857,CPM,82,1532819,83327,2009
ABDUR URF ANSARI,Maharajganj,0,Post Graduate,985,NLHP,83,2367000,0,2009
ABDUS SAMAD AHMED,Barpeta,2,Post Graduate,2907,AUDF,84,1641461,0,2009
Abdus Sattar Mujahed,Secunderabad,0,Graduate,1041,MUL,85,1139000,0,2009
ABHANG KONDIBHAU BHIMAJI,Shirur,0,5th Pass,3634,IND,86,609000,24000,2009
Abhay Kumar Anil,Jahanabad,0,Graduate,853,IND,87,318053,49098,2009
ABHAY SINGH,Bhiwani-Mahendragarh,0,10th Pass,6691,IND,88,55000,21950,2009
ABHAY SRIVASTAVA,Allahabad,0,Not Given,3956,IND,89,30000,0,2009
ABHAYPRATAP SINGH,Firozabad,0,Post Graduate,7765,JBSP,90,202000,0,2009
ABHICHHEDILALYADAV,Unnao,1,12th Pass,5558,IND,91,4087000,0,2009
ABHIJIT AATYA VASAVE,Nandurbar,0,Not Given,3439,IND,92,25000,0,2009
ABHIJIT DAS,Diamond Harbour,1,Post Graduate,8176,BJP,93,1020000,0,2009
Abhijit Majumdar,Darjeeling,0,Post Graduate,4833,CPI(ML)(L),94,2855000,600000,2009
ABHIMANI NARENDRA,Bangalore South,0,10th Pass,1477,IND,95,865000,0,2009
Abhimani Narendra,Bangalore Central,0,10th Pass,1729,IND,96,865000,0,2009
ABHINAV MODI,Kishanganj,2,Graduate,4915,IND,97,9320,103297,2009
Abhiram Besra,Purulia,0,10th Pass,6106,JDP,98,60000,0,2009
ABHISHEK,Kairana,0,10th Pass,6936,IND,99,360000,0,2009
ABINASH KISHORE BORAH,Jorhat,0,10th Pass,2985,RWS,100,160000,268817,2009
Abinash Saren,Purulia,0,Graduate,6107,AMB,101,52000,0,2009
ABU ASIM AZMI,Mumbai North West,7,Graduate,5400,SP,102,1247388991,33256484,2009
ABU CHAND MAHMMAD,Barpeta,0,Others,2912,RPI(A),103,300000,0,2009
Abu Hasem Khan Choudhury,Maldaha Dakshin,0,Others,4858,INC,104,8782797,0,2009
ABUPACKER SITHIK J,Sivaganga,1,Not Given,9161,IND,105,0,0,2009
Acharia Basudeb,Bankura,0,Post Graduate,6026,CPM,106,3249037,0,2009
ACHCHHELAL,Lalganj,0,8th Pass,1892,IND,107,120000,0,2009
ACHHEYLAL NISHAD,Jaunpur,0,Not Given,4135,NELU,108,1995000,0,2009
AD ARUN R. KEJRIWAL,Mumbai North,0,Post Graduate,5383,IND,109,6428110,3535629,2009
AD. ANARYA PUNDALIK PAWAR,Mumbai South Central,3,Post Graduate,5457,BBM,110,388858,0,2009
AD. BAIJNATH KUSHWAHA,Morena,0,Post Graduate,5071,SP,111,235000,50000,2009
AD. GULVE RAMNATH SANTUJI,Nashik,0,Not Given,3545,IND,112,20221552,0,2009
AD. RAJESH YASHVANT BHOSALE,Mumbai South,0,Not Given,5484,PPOI,113,108244,0,2009
AD.KAMAT GURUDAS VASANT,Mumbai North West,0,Graduate Professional,5397,INC,114,63926963,0,2009
ADAGALE BHAUSAHEB RAMCHANDRA,Pune,0,10th Pass,3587,IND,115,831500,40000,2009
ADAGUR H. VISWANATH,Mysore,0,Graduate Professional,4601,INC,116,28291172,7367061,2009
ADARA BAURI,Bolpur,0,5th Pass,7440,AUDF,117,0,0,2009
Ade Tukaram,Adilabad,0,10th Pass,282,BJP,118,865000,370000,2009
ADHAGALE RAJENDRA NAMDEV,Shirdi,0,8th Pass,3659,IND,119,306500,0,2009
ADHALRAO SHIVAJI DATTATRAY,Shirur,4,Post Graduate,3628,SHS,120,127113134,16221275,2009
ADHIKARI SISIR KUMAR,Kanthi,1,10th Pass,7409,AITC,121,1083159,0,2009
ADHIKARI SUVENDU,Tamluk,3,Graduate,7405,AITC,122,4751934,0,2009
ADHIR RANJAN CHOWDHURY,Baharampur,3,10th Pass,7315,INC,123,29943557,1926083,2009
ADHIVAKTA SHANKAR PENDAM,Betul,0,Post Graduate,3432,IND,124,6175000,11000,2009
ADI NARAYANA REDDY .V,Rajampet,0,Graduate Professional,4474,BSSP,125,4379300,1140000,2009
Aditya Kisku,Jhargram,0,12th Pass,4878,IND,126,580515,0,2009
ADITYA NATH,Gorakhpur,2,Graduate,1202,BJP,127,2182212,0,2009
ADREES AHMAD TABBASUM,Udhampur,0,Post Graduate,3222,CPI,128,0,0,2009
ADSUL ANANDRAO VITHOBA,Amravati,1,Graduate,1306,SHS,129,17708418,0,2009
ADURAM,Bikaner,0,Literate,6174,RJVP,130,2506700,300000,2009
Adv A Sampath,Attingal,2,Post Graduate,1652,CPM,131,8999000,2150029,2009
Adv Anu Sasi,Kollam,0,Graduate Professional,1645,IND,132,17336,0,2009
Adv Biju M John,Idukki,1,Post Graduate,1569,BSP,133,8343500,0,2009
Adv Chittoor Rajamannar,Idukki,0,Graduate Professional,1572,IND,134,2385027,702964,2009
Adv E Aboobacker,Malappuram,0,Graduate Professional,1499,BSP,135,186974,0,2009
Adv Jaimon Thankachan,Kottayam,0,Graduate Professional,1581,IND,136,216700,10000,2009
Adv Joshy Thakaran,Thrissur,1,Graduate,1537,BSP,137,1671800,0,2009
Adv K M Jayanandan,Kollam,0,Post Graduate,1633,BSP,138,2519592,210000,2009
Adv K Noorudheen Musaliar,Vadakara,0,Graduate,1448,BSP,139,10741000,0,2009
Adv K V Sabu,Chalakudy,0,Graduate Professional,1549,BJP,140,3581000,500000,2009
Adv Kumaran Kutty,Kozhikode,0,Graduate Professional,1487,IND,141,12646330,3098,2009
Adv N Aravindan,Malappuram,0,Post Graduate,1500,BJP,142,1681000,836879,2009
Adv N Hariharan Nair,Thrissur,0,Graduate Professional,1545,IND,143,18300000,230000,2009
Adv P A Mohamed Riyas,Kozhikode,0,10th Pass,1484,CPM,144,13000,0,2009
Adv P Satheedevi,Vadakara,1,Graduate Professional,1453,CPM,145,1968782,0,2009
Adv P T Thomas,Idukki,0,Post Graduate,1567,INC,146,3984094,448284,2009
Adv Ramachandran Nair P,Thiruvananthapuram,0,Graduate Professional,1667,CPI,147,2157292,638195,2009
Adv Sabi Joseph,Kozhikode,0,Graduate Professional,1496,IND,148,763738,0,2009
Adv Shanavas Malappuram,Wayanad,0,Graduate Professional,1475,IND,149,15500,0,2009
Adv Suresh Kurup,Kottayam,0,Graduate Professional,1579,CPM,150,3866004,11250,2009
Adv U P Joseph,Chalakudy,0,Graduate Professional,1546,CPM,151,3624789,530615,2009
ADV. BABASAHEB SADSHIVRAO GAIKWAD,Latur,0,Graduate Professional,3719,BSP,152,6727491,1999642,2009
ADV. BANSODE SHARAD MARUTI,Solapur,0,Graduate Professional,3736,BJP,153,23038727,0,2009
ADV. BHAUSAHEB ANIL BELURE (BEMBLIKAR),Osmanabad,0,Graduate Professional,3713,IND,154,50000,0,2009
ADV. C.S. BAHETI,Nanded,0,Post Graduate,813,JP,155,7434500,413333,2009
ADV. CHINTAMAN NAVSHA VANGA,Palghar,0,Graduate Professional,5300,BJP,156,1658267,122332,2009
ADV. DADMAL PRABHAKAR MAHAGUJI,Gadchiroli-Chimur,0,Post Graduate,1422,PRBP,157,1506000,60326,2009
ADV. DHANANJAY SHAMLALJI RAJABHOJ,Bhandara-Gondiya,0,Post Graduate,1401,IND,158,1610000,0,2009
ADV. DUDHGAONKAR GANESHRAO NAGORAO,Parbhani,0,Graduate Professional,1968,SHS,159,28111720,0,2009
ADV. DUPARE ULHAS SHALIKRAM,Ramtek,0,Graduate Professional,1965,IND,160,155000,0,2009
ADV. GAJANAN SADASHIV KAWALE,Nagpur,0,Graduate Professional,1428,RP(K),161,1641000,0,2009
ADV. HAZARE DATTABHAU KRUSHNARAO,Chandrapur,0,Graduate Professional,236,BSP,162,6219000,515000,2009
Adv. K Francis George,Idukki,0,Graduate Professional,1568,KEC,163,7300123,2048387,2009
ADV. KASABEKAR SHRIDHAR LIMBAJI,Solapur,0,Graduate Professional,3738,RSPS,164,1022756,9400,2009
ADV. MATIN AHMED,Jalgaon,1,Graduate Professional,3457,BSP,165,20000,0,2009
ADV. NARENDRA KESHAV SAWAIKAR,South Goa,0,Graduate Professional,3212,BJP,166,3483623,0,2009
ADV. PRAVIN MADHUKAR THAKUR,Raigad,1,Graduate Professional,3554,IND,167,45559529,634195,2009
ADV. RAJU MANGESHKAR ALIAS RAJENDRA NAIK,South Goa,0,Post Graduate,3213,CPI,168,3114150,99614,2009
ADV. RAMRAO PANDURANG WAGHMARE,Nanded,0,Literate,1980,IND,169,80000,0,2009
ADV. SUDHIR HIRAMAN TAYADE,Amravati,0,Graduate Professional,796,IND,170,0,0,2009
ADV. UPASHA BANSI TAYWADE,Nagpur,0,Post Graduate,1436,IND,171,540000,0,2009
ADV. VASANTA UMRE,Nagpur,0,Post Graduate,1432,DPI,172,1517500,0,2009
ADV. VASANTRAO JIVANRAO MORE,Jalgaon,1,Graduate Professional,3458,NCP,173,15021341,1781904,2009
ADV. YUVRAJ ANANDRAOJI BAGDE,Ramtek,1,Post Graduate,1967,IND,174,50000,0,2009
ADV.B.M.KAUSHIK,Hoshangabad,0,Graduate Professional,3378,BSP,175,1325500,0,2009
ADV.NATKAR RAMRAO SHESHRAO,Beed,3,Post Graduate,3685,IND,176,3322517,0,2009
ADV.S.S.SALVE RETIRED JUDGE,Kalyan,0,Post Graduate,5330,BBM,177,4450000,26000,2009
ADV.SHIVSHANKAR DATTATRAY SHINDE,Maval,0,Graduate Professional,3562,KM,178,2000000,75000,2009
ADV.SUBHASH NARHAR GODSE,Pune,0,Graduate,3609,IND,179,205720,0,2009
ADVOCATE AZHAR UL ALIM,Balaghat,0,Post Graduate,3339,IND,180,7946200,250000,2009
ADVOCATE MOULVI ZAMEERUDDIN,Bidar,0,Not Given,7452,NDEP,181,21000,350500,2009
ADVOCATE PRAMOD MAHADEV GORE,Maval,0,Graduate,3568,IND,182,5155000,0,2009
ADVOCATE RAMESHWAR NEEKHRA,Jabalpur,0,Post Graduate,3309,INC,183,28628500,0,2009
ADVOCATE TUKARAM WAMANRAO BANSODE,Maval,0,Post Graduate,3566,IND,184,561092,0,2009
AdvocateT R Nirala,Bilaspur,0,Post Graduate,90,BSP,185,805000,100000,2009
AFROZ HUSNA. K.S,Tiruvannamalai,0,12th Pass,8364,LJP,186,447831,83203,2009
AFZAL ANSARI,Ghazipur,3,Post Graduate,1839,BSP,187,45844836,0,2009
AGAM LAL MAHTO,Ranchi,0,12th Pass,4275,IND,188,3900000,0,2009
AGATHA K. SANGMA,Tura,0,Post Graduate,2032,NCP,189,6644295,0,2009
AGNISHREENIVAS.Y.E,Bangalore Rural,0,Graduate,1605,IND,190,105000,0,2009
AHAMED HUSSAIN,Kanpur,1,Not Given,5636,IND,191,5379,0,2009
AHIR HANSARAJ GANGARAM,Chandrapur,30,10th Pass,232,BJP,192,8084050,262243,2009
AHIR KAMLA YADAV,Damoh,0,Literate,5175,SP,193,5250000,0,2009
AHIRWAR GYADIN,Tikamgarh,1,12th Pass,5164,IND,194,1285715,97500,2009
AHIRWAR JAGDISH PRASAD,Tikamgarh,0,Graduate,5162,LJP,195,37000,0,2009
AHIRWAR LAKHANLAL PURVI,Bhopal,0,8th Pass,3400,RPI(A),196,235000,0,2009
AHIRWAR NARESH BOUDHA,Sagar,5,Post Graduate,5147,BSP,197,1205000,80200,2009
AHIRWAR RAMSWAROOP,Tikamgarh,0,Not Given,5165,IND,198,460521,0,2009
AHIRWAR VRINDAVAN,Tikamgarh,0,12th Pass,5158,INC,199,163000,0,2009
Ahitosh Maity,Ghatal,0,Post Graduate,4848,RDMP,200,1837500,1808,2009
AHMAD AFJAL SHAIKH,Thane,0,10th Pass,5354,IND,201,337000,0,2009
AHMAD ASHFAQUE KARIM,Katihar,0,Graduate,4921,LJP,202,33733000,5444000,2009
AHMAD RAZA,Muzaffarpur,0,Literate,3140,IND,203,150150,0,2009
AHMED MARECAR M.H,Mayiladuthurai,0,10th Pass,9122,IND,204,0,0,2009
AIJAZ AHMED FAROOQI,Hassan,0,12th Pass,5917,IND,205,770000,400000,2009
AJAB LAL,Balaghat,0,Graduate,3331,BSP,206,425000,0,2009
AJAB SINGH,Kannauj,0,12th Pass,7298,ABAS,207,2555500,0,2009
AJAB SINGH KUSHWAH,Gwalior,1,Not Given,5105,BSP,208,4406000,0,2009
AJABRAO UTTAMRAO BHONGADE,Akola,0,Graduate,748,IND,209,107000,154000,2009
AJAS NOORMINYA,Hingoli,0,10th Pass,757,DESEP,210,60000,0,2009
AJAY AGARWAL,Meerut,0,Graduate Professional,6992,SJP(R),211,33425000,25487,2009
AJAY ALIAS AABA DADA JADHAV,Ratnagiri Sindhudurg,0,Others,3785,KKJHS,212,719500,16000,2009
AJAY CHAKRABORTY,Basirhat,0,Graduate,8153,CPI,213,15389448,0,2009
AJAY GOYAL,Chandigarh,0,Graduate Professional,8304,IND,214,177352496,0,2009
Ajay Jaiswal,Rajnandgaon,1,8th Pass,492,IND,215,1502000,0,2009
AJAY KASYAP - GUDDU,Jaunpur,0,Literate,4145,IND,216,960500,0,2009
AJAY KATHURIA,Hardwar,0,Post Graduate,8286,IND,217,157985,0,2009
AJAY KUMAR,Kheri,2,Graduate Professional,8693,BJP,218,15325070,1560020,2009
Ajay Kumar,Karakat,0,Graduate,938,RPI(A),219,325000,0,2009
AJAY KUMAR,Gorakhpur,0,12th Pass,1203,IND,220,45600,0,2009
AJAY KUMAR,Faizabad,0,12th Pass,3976,KKJHS,221,540000,0,2009
AJAY KUMAR JALAN,Darbhanga,1,Graduate,3110,INC,222,3727735,90000,2009
AJAY KUMAR PANDEY,Sheohar,0,10th Pass,3062,IND,223,102000,0,2009
AJAY KUMAR SINGH,Mainpuri,0,Graduate,7218,IND,224,40000,3400,2009
Ajay kumar Verma,Jahanabad,0,10th Pass,854,IND,225,1718000,600000,2009
AJAY MAKAN,New Delhi,1,Post Graduate,7662,INC,226,40148040,97120,2009
AJAY MITTAL,Chandni Chowk,2,12th Pass,7544,AIFB,227,326200,0,2009
Ajay Pali,Rajnandgaon,0,5th Pass,106,IND,228,130000,500000,2009
AJAY PRAKASH HARIT,New Delhi,0,12th Pass,7680,IND,229,2936586,0,2009
AJAY PRATAP SINGH,Aonla,0,Not Given,8682,IND,230,31,0,2009
AJAY RAI,Varanasi,4,Graduate,1229,SP,231,5513025,0,2009
AJAY RAWAT,Dhar,0,Graduate,5246,BSP,232,116000,0,2009
AJAY SHANKER,Mirzapur,0,Others,1784,GMS,233,0,0,2009
AJAY SINGH,Bhiwani-Mahendragarh,0,Graduate,6693,IND,234,83355,0,2009
AJAY SINGH,Asansol,0,12th Pass,7432,BSP,235,53200,0,2009
AJAY SINGH CHAUTALA,Bhiwani-Mahendragarh,1,Post Graduate,6672,INLD,236,299716920,4382149,2009
AJAY TAMTA,Almora,0,12th Pass,8253,BJP,237,511000,430663,2009
AJAY TANDON,Ludhiana,0,10th Pass,7955,IND,238,132000,0,2009
AJAY VASANT PAITHANKAR,Pune,0,Graduate,3586,IND,239,3036382,400000,2009
Ajayakumar Kuttikkat,Thrissur,3,12th Pass,1539,JD(U),240,220000,0,2009
AJAYKUMAR DINESHKUMAR PATEL,Surat,0,Post Graduate,4524,BSP,241,624821,369000,2009
AJAYPAL,Sikar,0,10th Pass,6184,IND,242,1668470,109000,2009
AJEET KUMAR,Jamshedpur,0,Graduate,4290,BSP,243,2634938,349714,2009
AJEET MANI,Maharajganj,0,Doctorate,986,SP,244,19709687,675417,2009
AJEET SINGH,Badaun,1,Post Graduate,8084,PDFO,245,55000,0,2009
AJEYA SINGH,Fatehpur,0,Graduate Professional,5699,JM,246,269451168,0,2009
AJIM AHMED KHAN AJIJ KHAN,Parbhani,0,Graduate,1969,DESEP,247,60000,0,2009
AJIM GANI SHEKH,Bhiwandi,0,8th Pass,5310,RKSP,248,210000,0,2009
AJIT KUMAR JAIN (PATWA),Indore,0,8th Pass,5266,IND,249,660000,0,2009
Ajit Kumar Jena,Jajpur,0,Post Graduate,2297,SAMO,250,751091,0,2009
Ajit Kumar Nayak,Kandhamal,0,Graduate,726,IND,251,35500,0,2009
Ajit Prasad Mahato,Purulia,5,Graduate,6108,JMM,252,393866,0,2009
Ajit Prasad Mehta,Arrah,0,12th Pass,898,JKM,253,1206500,0,2009
AJIT SHARMA,Bhagalpur,2,Graduate,5011,BSP,254,61416337,5001262,2009
AJIT SINGH,Baghpat,0,Post Graduate,7015,RLD,255,58232462,13077,2009
Ajith Kumar K,Thiruvananthapuram,0,12th Pass,1669,IND,256,60000,0,2009
AJITRAO SHANKARRAO GHORPADE,Sangli,0,Graduate,3768,IND,257,18806550,0,2009
AJITSINH HARISINH JADEJA,Rajkot,0,Literate,2397,IND,258,1073745,80000,2009
AJMER SINGH,Sangrur,1,8th Pass,6875,IND,259,120000,0,2009
AJUG NARAIN,Allahabad,0,Literate,3955,IND,260,125000,0,2009
AKANCHHA JAIN,Khajuraho,0,Literate,3244,IND,261,20000,0,2009
Akay Suryanarayana,Kakinada,0,8th Pass,4677,IND,262,0,0,2009
AKBAL MOHAMMD,Allahabad,0,8th Pass,3954,IND,263,559000,0,2009
AKBAR AHMED  DUMMPY,Azamgarh,3,Graduate,1144,BSP,264,29035830,0,2009
AKEEL KHAN,Khajuraho,0,10th Pass,3243,IND,265,55000,0,2009
AKHIL AHMED,Shimoga,0,Graduate,2252,IND,266,1513500,105000,2009
Akhil Ranjan Mondal,Raiganj,0,Graduate,4800,BSP,267,7750000,0,2009
AKHILESH,Ghosi,0,12th Pass,1828,JPS,268,231000,0,2009
AKHILESH PD. SINGH,Purvi Champaran,0,Doctorate,3042,RJD,269,33464000,2769000,2009
AKhilesh Singh,Nawada,27,10th Pass,1316,IND,270,762287,0,2009
AKHILESH YADAV,Firozabad,0,Graduate Professional,7759,SP,271,44409557,7726354,2009
AKHILESH YADAV,Kannauj,0,Graduate Professional,7289,SP,272,48582202,7726354,2009
AKHTAR,Aligarh,0,12th Pass,7124,MUL,273,1522000,207700,2009
AKHTAR ANSARI,Ranchi,1,8th Pass,4268,JVM,274,7642446,897990,2009
AKILENDRA KUMAR PATHAK,Gonda,0,Graduate,4064,IND,275,42000,0,2009
AKLU RAM MAHTO,Giridih,0,Post Graduate,4215,CPI,276,935350,0,2009
AKSHAY RAJKHOWA,Gauhati,0,12th Pass,2921,NCP,277,3084000,1556000,2009
Akshaya Kumar Mohanty,Bhubaneswar,0,Not Given,2655,BSP,278,0,0,2009
Akshaya Kumar Sethi,Jagatsinghpur,0,10th Pass,2437,SAMO,279,190000,0,2009
AKSHAYBAR LAL,Bahraich,0,10th Pass,5727,BJP,280,10417400,0,2009
AKUMARTHI SURYANARAYANA,Amalapuram,0,5th Pass,4685,TPPP,281,395000,0,2009
ALAGAAPURAM R MOHANRAJ,Salem,0,12th Pass,8409,DMDK,282,55484058,694624,2009
ALAGAPPAN ARU.,Sivaganga,0,Not Given,9162,IND,283,0,0,2009
ALAGAPPAN PL,Sivaganga,0,Not Given,9163,IND,284,0,0,2009
ALAGIRI M.K,Madurai,0,Graduate,8577,DMK,285,193978895,0,2009
ALAGIRI S,Cuddalore,0,Graduate,9101,INC,286,11866846,78136525,2009
ALAM MEHDI,Murshidabad,0,Not Given,7327,IND,287,0,0,2009
ALI M.SANDIMANI,Dharwad,0,Not Given,6001,IND,288,1470000,40000,2009
Ali Raza,Berhampur,0,Graduate,738,IND,289,1158000,800000,2009
ALIMUDDIN ANSARI,Purnia,0,10th Pass,4946,IND,290,810360,0,2009
ALLABAX TIMMAPUR,Haveri,0,12th Pass,5822,IND,291,1600500,350000,2009
ALLAPPA RAMAPPA PATIL,Belgaum,0,10th Pass,6425,IND,292,3935405,731400,2009
ALLAPUREDDY. HARINATHA REDDY,Rajampet,0,Graduate Professional,4470,BJP,293,120228299,3490666,2009
ALLU ARAVIND,Anakapalle,1,Graduate,587,PRAP,294,452181969,53958644,2009
ALLURI YUGANDHARA RAJU,Narsapuram,0,Post Graduate,4452,PPOI,295,1685000,0,2009
Almellkar Vilasbabu Basalingappa,Bijapur,0,12th Pass,4587,JD(S),296,3815000,300000,2009
ALNKRITA ABHIJIT AWADE-BICHUKALE,Satara,0,Post Graduate,3781,IND,297,25500,0,2009
ALOK JOSHI,Gwalior,0,12th Pass,5117,IND,298,210600,0,2009
ALOK KUMAR MEHTA,Ujiarpur,0,Graduate Professional,3172,RJD,299,10022148,59561,2009
ALOK KUMAR SINGH,Rae bareli,0,Post Graduate,5617,IND,300,188315,522200,2009
