Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year,ST_CODE,PC_CODE
Sankar,VIRUDHUNAGAR,0,Post Graduate,7541,IND,6438,405000,0,2014,S22,34
Sankar Prasad Datta,TRIPURA WEST,1,Post Graduate,45,CPI(M),6439,1320900,0,2014,S23,1
Sankar Sahu,ASKA,0,Post Graduate,824,CPI(ML) Red star,6440,1294992,0,2014,S18,19
Sankara Rao Chetti,ARAKU,0,Post Graduate,8853,IND,6441,40150,0,2014,S01,18
Sankara Rao Vanugu,ARAKU,0,Doctorate,8859,IND,6442,612528,0,2014,S01,18
Sankhaliya Narendrasinh Mansinh,AHMEDABAD WEST,0,Graduate,4563,Loktantrik Samajwadi Party,6443,15750,125000,2014,S06,8
"Sanmugam, A",CHIDAMBARAM,0,5th Pass,6955,IND,6444,1731000,0,2014,S22,27
Sansuma Khunggur Bwiswmuthiary,KOKRAJHAR,0,Graduate,4442,IND,6445,21117979,571917,2014,S03,5
Sant Dharamvir Chotiwala,SONIPAT,0,Graduate Professional,444,IND,6446,30110000,50000,2014,S07,6
Sant Kumar,SITAPUR,0,Literate,6737,CPI(ML) Red Star,6447,90500,0,2014,S24,30
Sant Ram,FARIDKOT,0,12th Pass,6131,BSP,6448,2092700,0,2014,S19,9
Sant Ram,HARDOI,0,Literate,5013,Bahujan Mukti Party,6449,717400,0,2014,S24,31
Sant Siromani Baboolal Yadav Maharaj Ji,SANT KABIR NAGAR,3,8th Pass,8101,Suheldev Bhartiya Samaj Party,6450,3597000,0,2014,S24,62
Santan Daigo Farnandis,MUMBAI SOUTH,0,12th Pass,5928,IND,6451,149000,0,2014,S13,31
Santhadevi. S,THOOTHUKKUDI,0,Graduate,7555,IND,6452,679000,0,2014,S22,36
Santhanakrishnan,VIRUDHUNAGAR,0,10th Pass,7532,Tamil Nadu Makkal Congress,6453,1153247,2437,2014,S22,34
Santhosh Kumar,PATHANAMTHITTA,3,Graduate Professional,1966,IND,6454,1081000,0,2014,S11,17
Santhoshmohan,HASSAN,0,Graduate Professional,1202,AAP,6455,23700200,100000,2014,S10,16
Santokh Singh Chaudhary,JALANDHAR,0,Graduate Professional,7699,INC,6456,104040531,6194323,2014,S19,4
Santosh Ahlawat,JHUNJHUNU,0,Post Graduate,2332,BJP,6457,35897048,5704000,2014,S20,4
Santosh Bharti,DAMOH,3,Others,2923,AAP,6458,15854961,5569039,2014,S12,7
Santosh Chandrakar,RAJNANDGAON,0,10th Pass,2810,GGP,6459,4656512,325188,2014,S26,6
Santosh Dahariya,RAIPUR,0,12th Pass,5416,IND,6460,490000,200000,2014,S26,8
Santosh Gangwar,BAREILLY,0,Graduate Professional,3084,BJP,6461,38602862,1777215,2014,S24,25
Santosh Kumar,PURNIA,3,12th Pass,3975,JD(U),6462,22316594,1406515,2014,S04,12
