Candidate,Constituency,Criminal Cases,Education,ID,Party,Sno,Total Assets,Total Liabilities,Year,ST_CODE,PC_CODE
Babulal Jangid,TONK-SAWAI MADHOPUR,1,10th Pass,5118,IND,839,68800,0,2014,S20,12
Babulal Marandi,DUMKA,0,Graduate,4730,JVM(P),840,6974656,0,2014,S27,2
Babupasha,BIDAR,0,Not Given,176,IND,841,12500,50000,2014,S10,7
Baburao Damaduji Meshram,NAGPUR,0,12th Pass,1451,IND,842,3810000,200000,2014,S13,10
Babusingh,RATLAM,0,8th Pass,4206,BSP,843,1170000,0,2014,S12,24
Bachala Laxmaiah,KHAMMAM,0,Illiterate,7960,IND,844,425000,0,2014,S01,17
Bachchan Prasad Yadav,VARANASI,0,Graduate Professional,9758,IND,845,416000,53945,2014,S24,77
Bachchelal,VARANASI,0,10th Pass,9774,Lokpriya Samaj Party,846,6410519,0,2014,S24,77
Bachchoolaal,KUSHI NAGAR,0,Post Graduate,9664,Most Backward Classes Of India,847,3190686,600000,2014,S24,65
Badal Singh,FARIDKOT,0,8th Pass,6129,IND,848,50000,0,2014,S19,9
Badampudi Siva,NARSAPURAM,0,Graduate,8964,IND,849,40000,0,2014,S01,26
Badaruddoza Khan,MURSHIDABAD,0,Graduate,4376,CPI(M),850,2758610,0,2014,S25,11
Badhivala Labhubhai Jivrajbhai,KHEDA,0,Post Graduate,5346,AAP,851,15806050,0,2014,S06,17
Badre Alam,DOMARIYAGANJ,0,Graduate Professional,9581,AAP,852,2127951,0,2014,S24,60
Badri Gope,HAZARIBAGH,0,5th Pass,4000,IND,853,1756000,0,2014,S27,14
Badri Mondal,KOLKATA DAKSHIN ,0,8th Pass,9404,IND,854,23423,0,2014,S25,23
Badri Nath Yadav,GHOSI,0,10th Pass,9624,Rashtriya Congress(J) Party,855,988500,110000,2014,S24,70
Badruddin Ajmal,DHUBRI,1,Others,4088,AIUDF,856,432748134,0,2014,S03,4
Badrul Sekh,BAHARAMPUR,0,5th Pass,9303,SDPI,857,425541,0,2014,S25,10
Badsha Alam,TAMLUK,5,12th Pass,9443,BJP,858,28793996,468574,2014,S25,30
Badshah Khan,BHOPAL,0,8th Pass,3917,Naya Daur Party,859,255000,0,2014,S12,19
Bagatsingh Palanichamy M,DINDIGUL,1,8th Pass,6326,BSP,860,1625034,0,2014,S22,22
Baghrai Soren,DUMKA,0,Graduate Professional,4162,IND,861,765000,0,2014,S27,2
Bagi Kumar Verma,AURANGABAD,0,Graduate,374,JD(U),862,32766379,1600000,2014,S04,37
Bagi Lakra,SUNDARGARH,1,Graduate Professional,803,BSP,863,1925530,88983,2014,S18,2
Bagul Vedu Tanaji,JALGAON,0,Literate,5834,BSP,864,960000,0,2014,S13,3
Bagwan B,NIZAMABAD,0,Not Given,6474,IND,865,100000,0,2014,S01,4
Bahaddur Srinivasulu,NAGARKURNOOL,0,Post Graduate,6075,BSP,866,11505000,1500000,2014,S01,12
Bahadur Ragib Ahamed,JALGAON,0,Post Graduate,5841,SP,867,278918,0,2014,S13,3
Bahadur Ram,SURGUJA,0,8th Pass,6839,IND,868,182000,0,2014,S26,1
Bahadur Ram Dhauni,ALMORA,0,Graduate Professional,8296,BSP,869,3356500,70000,2014,S28,3
Bahadur Singh,BHIWANI-MAHENDRAGARH,0,5th Pass,456,INLD,870,182580199,8699200,2014,S07,8
Bahadur Singh,BHARATPUR,0,Literate,4225,BJP,871,19142363,1333100,2014,S20,9
Bahadur Singh Chowdhary,JAMMU,0,Graduate,577,SP,872,1431120,298000,2014,S09,6
Bahadur Uraon,RANCHI,1,10th Pass,4008,CPI(ML)L,873,992464,600000,2014,S27,8
Baidhar Mallick,JAGATSINGHPUR,1,Graduate,3315,BJP,874,6027197,700000,2014,S18,16
Baidhnath Prasad Mahto,VALMIKI NAGAR,2,10th Pass,9195,JD(U),875,14721287,3715011,2014,S04,1
Baidyanath Hansda,PURULIA,0,12th Pass,8376,Jharkhand Disom Party,876,5500,0,2014,S25,35
Baijnath Paswan,BEGUSARAI,0,Graduate,6162,IND,877,119000,0,2014,S04,24
Baijnath Yadav,ARRAH,0,5th Pass,2637,Bahujan Mukti Party,878,6060167,350000,2014,S04,32
Baikuntha Dhangada Majhi,KALAHANDI,0,10th Pass,223,Kalinga Sena,879,20000,0,2014,S18,11
Baishakhoo Maravi,MANDLA,0,5th Pass,1575,Bhartiya Satya Sangharsh Party,880,0,0,2014,S12,14
Bajarang Lal,TONK-SAWAI MADHOPUR,0,10th Pass,5126,Rashtriya Ahinsa Manch,881,120000,0,2014,S20,12
Bajarang Sidar,RAIGARH,0,12th Pass,4643,IND,882,398200,12000,2014,S26,2
Bajare Sitaram Namdeo (Baba),SHIRUR,0,Graduate,3396,Bahujan Mukti Party,883,13978791,0,2014,S13,36
Bajrang Prasad,AKBARPUR,0,Graduate,4269,Samtawadi Republican Party,884,1834806,0,2014,S24,44
Bakkani Narsimlu,NAGARKURNOOL,0,10th Pass,6842,TDP,885,468000,0,2014,S01,12
Bal Krishan Sharma,AMRITSAR,0,10th Pass,8542,IND,886,16766167,0,2014,S19,2
Bal Krishna,PRATAPGARH,0,12th Pass,8428,JD(U),887,1512000,0,2014,S24,39
Bal Kumar Patel Alias Rajkumar,BANDA,9,12th Pass,5486,SP,888,41004212,13432893,2014,S24,48
Bal Mukund Chauhan,SARAN,0,Graduate Professional,8525,BSP,889,4937691,43248,2014,S04,20
Bal Mukund Dhuriya,AMBEDKAR NAGAR,3,12th Pass,8021,CPI(ML)L,890,32000,0,2014,S24,55
Bala Dagadu Nandgaonkar,MUMBAI SOUTH,8,10th Pass,5915,MNS,891,77108523,1921378,2014,S13,31
Bala Krishnan.K,TIRUCHIRAPPALLI,0,12th Pass,7450,IND,892,67267,0,2014,S22,24
Bala Subramanian T.,KANNIYAKUMARI,1,Post Graduate,7033,IND,893,1490000,0,2014,S22,39
Balabhadra Majhi,NABARANGPUR,0,Graduate,816,BJD,894,52977088,705404,2014,S18,12
Balaji Dnyanoba Kamble,LATUR,0,Post Graduate,3550,SP,895,2860000,0,2014,S13,41
Balaji. E,CHENNAI NORTH,0,Post Graduate,6892,IND,896,1076500,180000,2014,S22,2
Balakrishnan .S.S.,RAMANATHAPURAM,1,Not Given,7174,IND,897,4355000,500000,2014,S22,35
Balakrishnan P,SIVAGANGA,0,5th Pass,7480,IND,898,38400,0,2014,S22,31
"Balamurugan, R",KANCHEEPURAM,0,Others,7013,IND,899,63000,0,2014,S22,6
Balamurugan.B,TIRUVALLUR,0,Post Graduate,7363,AAP,900,7900951,220000,2014,S22,1
"Balan, P.P.",NILGIRIS,0,Post Graduate,7112,IND,901,0,0,2014,S22,19
Balaraju Mittapally,MEDAK,0,5th Pass,6834,IND,902,758000,0,2014,S01,6
Balaram Hota,KALAHANDI,0,Others,1152,CPI(ML)L,903,1150,0,2014,S18,11
Balasaheb Asaram Sarate,AURANGABAD,0,Post Graduate,5151,IND,904,5849936,1955530,2014,S13,19
Balasaheb Dashrath Bagul,SHIRDI,0,Literate,3681,IND,905,483000,0,2014,S13,38
Balasaheb Shankar Darade,BULDHANA,0,Post Graduate,1377,IND,906,2334214,331493,2014,S13,5
Balasaheb Vitthal Aware,AURANGABAD,0,10th Pass,5152,IND,907,1831343,16000,2014,S13,19
Balashowry Vallabhaneni,GUNTUR,0,Graduate,9679,Yuvajana Sramika Rythu Congress Party,908,794017805,483766785,2014,S01,30
Balasubramani.R,DINDIGUL,0,12th Pass,6329,Ulzaipali Makkal Katchy,909,1511000,0,2014,S22,22
Balbhadra Mishra,BHOPAL,0,8th Pass,3916,Bhartiya Jan Yug Party,910,1802210,350000,2014,S12,19
Balbheem,BIDAR,0,Graduate,2145,IND,911,415000,0,2014,S10,7
Balbir Singh,AMRITSAR,0,5th Pass,6102,Bharatiya Gaon Taj Dal,912,2387000,0,2014,S19,2
Balbir Singh Jadla,ANANDPUR SAHIB,0,10th Pass,6104,CPI(M),913,28030000,110000,2014,S19,6
Balbir Singh Saini,KURUKSHETRA,0,Graduate,1044,INLD,914,42261869,4284205,2014,S07,2
Baldar,JHALAWAR-BARAN,0,8th Pass,2392,IND,915,2935000,150000,2014,S20,25
Baldau Prasad Sahu,DURG,0,8th Pass,5383,IND,916,114412,0,2014,S26,7
Baldau Prasad Sahu,BILASPUR,0,Graduate,4502,IND,917,320500,0,2014,S26,5
Baldeep Singh,KHADOOR SAHIB,0,Graduate,7687,AAP,918,39447450,0,2014,S19,3
Baldeo Ganjhu,HAZARIBAGH,2,10th Pass,4001,IND,919,450746,0,2014,S27,14
Baldeo Maravi,SURGUJA,0,10th Pass,4514,GGP,920,7132000,0,2014,S26,1
Baldev Raj,KANGRA,0,10th Pass,8352,Himachal Swabhiman Party,921,9725138,0,2014,S08,1
Balendra Singh,VAISHALI,0,12th Pass,9476,IND,922,30070000,508000,2014,S04,16
Baleshwar Bharti,SASARAM,0,10th Pass,366,BSP,923,273200,0,2014,S04,34
Baleshwar Marandi,KATIHAR,0,Graduate,5262,JMM,924,465871,0,2014,S04,11
Baleshwar Paswan,SAMASTIPUR,0,Graduate,6256,Janta Dal Rashtravadi,925,1958000,100000,2014,S04,23
Balihari,LALGANJ,0,12th Pass,9274,INC,926,22870574,0,2014,S24,68
Baliram Sukhdev More,MADHA,0,Others,3580,IND,927,1202111,375345,2014,S13,43
Baliram Sukur Jadhav,PALGHAR,1,8th Pass,5979,Bahujan Vikas Aaghadi,928,20841211,2292937,2014,S13,22
Baljeet,HISAR,0,Graduate,2019,IND,929,410700,0,2014,S07,4
Baljinder Singh,FIROZPUR,0,Graduate,6154,Bharatiya Gaon Taj Dal,930,1118000,0,2014,S19,10
Baljit Kaur,ANANDPUR SAHIB,0,5th Pass,7746,IND,931,225281,0,2014,S19,6
Balka Suman,PEDDAPALLE,1,Post Graduate,6467,TRS,932,7351329,620770,2014,S01,2
Balkrishna Salgaonkar,SOUTH GOA,0,Illiterate,3025,IND,933,311650,0,2014,S05,2
Balli Singh Cheema,NAINITAL-UDHAMSINGH NAGAR,0,Graduate,7980,AAP,934,2614200,909100,2014,S28,4
Balraj Bawari,GANGANAGAR,0,10th Pass,2291,IND,935,573000,0,2014,S20,1
Balram Bari,CHANDNI CHOWK,0,8th Pass,972,IND,936,2980000,0,2014,U05,1
Balram Kumar Bedia,RANCHI,0,12th Pass,4021,IND,937,5287989,125000,2014,S27,8
Balu S,SIVAGANGA,0,8th Pass,7472,Tamil Nadu Makkal Congress,938,323000,0,2014,S22,31
Balunayak Bhukya,MAHABUBABAD,0,Graduate Professional,7947,IND,939,265000,0,2014,S01,16
Balusingh Somansingh Narve,SABARKANTHA,0,Post Graduate,6561,IND,940,665409,3600,2014,S06,5
Balwan Singh,HISAR,0,12th Pass,2020,IND,941,3560500,300000,2014,S07,4
Balwant Kumar,CHATRA,1,Graduate,1234,Jharkhand Party,942,9514000,0,2014,S27,4
Balwant Singh,SIRSA,0,10th Pass,1998,Bharatiya Sant Mat Party,943,1053000,0,2014,S07,3
Balwant Singh Hariyala,GANGANAGAR,0,10th Pass,2292,Bharatiya Sant Mat Party,944,1053000,0,2014,S20,1
Balwant Singh Kushwah Advocate,GWALIOR,0,Graduate Professional,2961,SP,945,3200000,80000,2014,S12,3
Balwant Singh Sultanpuri,KHADOOR SAHIB,0,8th Pass,7688,Bahujan Samaj Party (Ambedkar),946,95000,0,2014,S19,3
Balwinder Kaur,KURUKSHETRA,0,10th Pass,417,AAP,947,17852106,1196325,2014,S07,2
Balwinder Singh,KHADOOR SAHIB,2,Post Graduate,7694,IND,948,1915000,0,2014,S19,3
Bamaniya Jyotishkumar Bapubhai,DAHOD,0,8th Pass,7330,BSP,949,155000,0,2014,S06,19
Banamali Majhi,KORAPUT,0,Post Graduate,1178,Ambedkarite Party of India,950,48000,0,2014,S18,21
Bandana Barman Baruah,GAUHATI,0,Graduate,4439,SP,951,2087486,0,2014,S03,7
Bandaru Dattatreya,SECUNDERABAD,3,Graduate,6420,BJP,952,98255148,405469,2014,S01,8
Bandaru Srinivasulu,ANANTAPUR,0,Not Given,9081,IND,953,0,0,2014,S01,36
Bandela Nageswara Rao,BAPATLA,0,10th Pass,9131,IND,954,40000,0,2014,S01,32
Bandeppa,BIDAR,0,Graduate Professional,2135,JD(S),955,73218291,3333600,2014,S10,7
Bandgar Nanaso Balaso,SANGLI,0,8th Pass,3659,BSP,956,2743505,14000,2014,S13,44
Bandhu Tirkey,RANCHI,7,Graduate,2879,AITC,957,1832121,1261689,2014,S27,8
Bandi Sudhakar,MALKAJGIRI,0,12th Pass,7869,Jai Samaikyandhra Party,958,9271228,0,2014,S01,7
Bangshi Badan Barman,COOCHBEHAR,5,Graduate,1767,IND,959,7528892,0,2014,S25,1
Banja Veerappa,NIZAMABAD,0,10th Pass,6498,Pyramid Party of India,960,2318000,273820,2014,S01,4
Banjare Babulal Sundarlal,NAGPUR,0,10th Pass,2537,IND,961,51017,0,2014,S13,10
Banka Sahadev,ADILABAD,1,Graduate,7678,IND,962,393000,0,2014,S01,1
Bannur Kumar,MYSORE,0,Graduate,3817,IND,963,7250000,0,2014,S10,21
Bano Bee,MANDSOUR,0,Illiterate,4793,Bharatiya Minorities Suraksha Mahasangh,964,34000,0,2014,S12,23
Banoth Laxma Naik,KHAMMAM,0,12th Pass,4530,IND,965,4782000,0,2014,S01,17
Banoth Mohanlal,MAHABUBABAD,0,Post Graduate,7938,TDP,966,40179000,0,2014,S01,16
Bansa Gopal Choudhury,ASANSOL,0,Graduate,8286,CPI(M),967,5130571,0,2014,S25,40
Banshilal Patidar,MANDSOUR,1,5th Pass,4796,Bahujan Sangharshh Dal,968,3564058,2035000,2014,S12,23
Bansi Lal,UDHAMPUR,0,8th Pass,3899,IND,969,6730000,200000,2014,S09,5
Bansi Ram,ALMORA,0,Literate,7988,IND,970,594500,0,2014,S28,3
Bansode Chayya Tukaram,PUNE,0,8th Pass,3632,IND,971,309000,0,2014,S13,34
Bansode Dattatray Gunderao,LATUR,0,Post Graduate,3547,INC,972,4006396,787720,2014,S13,41
Bansode Dilip Bapu,MUMBAI NORTH EAST,0,10th Pass,7236,IND,973,50000,0,2014,S13,28
Bansode Kundan Fulchand,MADHA,0,5th Pass,3564,BSP,974,410000,30000,2014,S13,43
Bansode Udhav Govardhan,AURANGABAD,0,Graduate,5153,IND,975,615000,600000,2014,S13,19
Banswal Mannalal Premchand,AURANGABAD,0,Not Given,5154,Prabuddha Republican Party,976,65000,0,2014,S13,19
Bante Jitendra Ramaji,BHANDARA-GONDIYA,0,12th Pass,1462,IND,977,510000,0,2014,S13,11
Banwari Saw,CHATRA,0,Literate,475,CPI,978,5765202,553000,2014,S27,4
Bappi Aparesh Lahiri,SREERAMPUR,0,8th Pass,6057,BJP,979,172256444,16091280,2014,S25,27
Bar Ajamalbhai Karmanbhai,SURENDRANAGAR,3,10th Pass,6573,Bahujan Mukti Party,980,2791000,0,2014,S06,9
Barkha Kinnar,DEORIA,0,Literate,9549,IND,981,19390267,0,2014,S24,66
Barnard Hembrom,RAJMAHAL,0,12th Pass,4745,Rashtriya Krantikari Samajwadi Party,982,8001008,0,2014,S27,1
Barne Shrirang Chandu,MAVAL,2,8th Pass,3356,SHS,983,665047926,11799786,2014,S13,33
Barne Shrirang Chimaji,MAVAL,0,Literate,3359,JD(U),984,953049,0,2014,S13,33
Barun Karmakar,BARPETA,0,12th Pass,4863,IND,985,713000,0,2014,S03,6
Barun Kumar Jha,JHANJHARPUR,0,Graduate Professional,6771,IND,986,48626946,0,2014,S04,7
Basant Kumar Longa,KHUNTI,0,Graduate,2870,JVM(P),987,5442300,0,2014,S27,11
Basant Panwar,NORTH WEST DELHI,0,8th Pass,497,BSP,988,2162778,27500,2014,U05,5
Basanta Kumar Pradhan,KANDHAMAL,0,12th Pass,1165,IND,989,150000,0,2014,S18,13
Basappa Kallappa Hanchanal,CHIKKODI,0,12th Pass,1821,IND,990,15991000,270000,2014,S10,1
Basavanteppa Honnappa Hullatti,HAVERI,0,Graduate Professional,2179,Sarva Janata Party,991,0,0,2014,S10,10
Basavaraj,KOPPAL,0,10th Pass,1185,INC,992,38334476,2144769,2014,S10,8
Basavaraj K.J,DAVANAGERE,0,Graduate,1080,AAP,993,974000,30000,2014,S10,13
Basavegowda,BANGALORE RURAL,0,Graduate,2524,RPI(A),994,447000,74000,2014,S10,23
Baseer Kinnar,VARANASI,0,Illiterate,9745,IND,995,2782158,0,2014,S24,77
Bashir Ahmad Gojer Jagal,BARAMULLA,0,5th Pass,8605,PRISM,996,2300000,0,2014,S09,1
Bashir Khan Ramzan Khan,NAGPUR,0,Graduate,2529,Minorities Democratic Party,997,7839000,52000,2014,S13,10
Bashir Mohammad Reshi,SRINAGAR,0,12th Pass,6814,IND,998,15000000,0,2014,S09,2
Basil Ekka,SUNDARGARH,0,10th Pass,800,AAP,999,333388,1000000,2014,S18,2
Basirbhai Sulemanbhai Sama,RAJKOT,0,5th Pass,6540,IND,1000,185149,0,2014,S06,10
Baskaran M R,TIRUVANNAMALAI,0,8th Pass,5437,BSP,1001,3002000,79000,2014,S22,11
Basu Mog,TRIPURA EAST,0,10th Pass,3389,IND,1002,1911085,0,2014,S23,2
Basudeb Acharia,BANKURA,0,Post Graduate,7965,CPI(M),1003,5912120,0,2014,S25,36
Basudeb Naik,KEONJHAR,2,10th Pass,3219,IND,1004,27042432,2090125,2014,S18,4
Bathwar Nanjibhai Amarshibhai,JAMNAGAR,1,Literate,4603,IND,1005,866500,0,2014,S06,12
Battu Balajee Rao,ONGOLE,0,10th Pass,8976,IND,1006,1595767,0,2014,S01,33
Bechai,LALGANJ,1,Graduate,9271,SP,1007,4594861,463900,2014,S24,68
Bechu Mondal,DIAMOND HARBOUR,0,Graduate Professional,9352,IND,1008,2852000,0,2014,S25,21
Beeda Srinivas N,KOLAR,0,Literate,3785,IND,1009,1356000,600000,2014,S10,28
Begum Noor Bano Urf Mehtab,MORADABAD,0,10th Pass,3127,INC,1010,78531612,0,2014,S24,6
Belamkar Milind Chandrakant,KALYAN,0,10th Pass,5882,Lok Bharati,1011,13238000,4000000,2014,S13,24
Bellamkonda Venkata Rao,ONGOLE,0,5th Pass,8506,IND,1012,124000,52177,2014,S01,33
Bellarmin A.V.,KANNIYAKUMARI,1,Post Graduate,7017,CPI(M),1013,8419973,329228,2014,S22,39
Bendula Thirumala Naidu,KURNOOL,0,Post Graduate,8332,TDP,1014,16375000,500000,2014,S01,35
Benedict Alok Areng,GAUHATI,1,10th Pass,4441,IND,1015,565000,20000,2014,S03,7
Benet Babu Benjamin,THIRUVANANTHAPURAM,0,10th Pass,2511,IND,1016,3503683,0,2014,S11,20
Beni Prasad Verma,GONDA,3,Graduate Professional,8393,INC,1017,70042778,0,2014,S24,59
Benjamin Raju,ZAHIRABAD,0,Graduate Professional,7781,IND,1018,1246959,0,2014,S01,5
Bennet Abraham,THIRUVANANTHAPURAM,1,Post Graduate,632,CPI,1019,34112353,0,2014,S11,20
Betalal Diwakar,KANPUR,0,Graduate Professional,6684,IND,1020,1055000,0,2014,S24,43
Bhabhor Jasvantsinh Sumanbhai,DAHOD,0,Graduate Professional,5311,BJP,1021,19661231,1741547,2014,S06,19
Bhabhor Mavajibhai Titubhai,DAHOD,0,Literate,7331,SP,1022,290000,0,2014,S06,19
Bhadiya,RATLAM,1,Illiterate,4806,IND,1023,1901000,50000,2014,S12,24
Bhadreswar Barman,BARPETA,0,12th Pass,4860,IND,1024,251000,0,2014,S03,6
Bhag Chand Rana,MANDI,0,10th Pass,8807,IND,1025,16328803,0,2014,S08,2
Bhagat Ram Soni,RAJNANDGAON,0,12th Pass,2811,Chhattisgarh Swabhiman Manch,1026,8742244,0,2014,S26,6
Bhagat Singh Koshyari,NAINITAL-UDHAMSINGH NAGAR,0,Post Graduate,7973,BJP,1027,5562704,0,2014,S28,4
Bhagawati Charan Pandey(Neelu),SIDHI,0,Graduate,1553,IND,1028,3425500,100000,2014,S12,11
Bhagawati Prasad Trikoti,ALMORA,0,12th Pass,8295,SP,1029,259910,0,2014,S28,3
Bhagirath Prasad,BHIND,0,Doctorate,2898,BJP,1030,21240286,3687610,2014,S12,2
Bhagirath Singh,SIKAR,0,Post Graduate,2352,Akhil Bharat Hindu Mahasabha,1031,258000,0,2014,S20,5
Bhagvantappa,RAICHUR,0,Illiterate,2124,Lok Satta Party,1032,609998,66000,2014,S10,6
Bhagwan Das,TIKAMGARH,0,10th Pass,3019,IND,1033,656000,0,2014,S12,6
Bhagwan Das,MIRZAPUR,0,Graduate,9712,Bahujan Mukti Party,1034,3387592,0,2014,S24,79
Bhagwan Dass Rathor,NAGINA,0,Graduate Professional,3140,Mahan Dal,1035,9219083,0,2014,S24,5
Bhagwan Deen,AMETHI,0,5th Pass,8463,IND,1036,143000,0,2014,S24,37
Bhagwan Kambale,BIJAPUR,0,5th Pass,1835,RPI(A),1037,906668,150000,2014,S10,4
Bhagwan Singh Chauhan,HOSHIARPUR,0,Graduate,7723,BSP,1038,4030849,2640000,2014,S19,5
Bhagwan Swaroop,NAINITAL-UDHAMSINGH NAGAR,0,Graduate,8576,IND,1039,352800,0,2014,S28,4
Bhagwandas,BASTI,0,8th Pass,8675,Bahujan Sangharsh Party (Kanshiram),1040,2207680,26000,2014,S24,61
Bhagwant Mann,SANGRUR,0,12th Pass,7830,AAP,1041,43057512,16281200,2014,S19,12
Bhagwant Singh,SANGRUR,0,12th Pass,7839,IND,1042,1051000,0,2014,S19,12
Bhagwant Singh,AMRITSAR,0,10th Pass,6090,IND,1043,3333000,630305,2014,S19,2
Bhagwant Singh Samaon,BATHINDA,3,8th Pass,6121,CPI(ML)L,1044,277000,15000,2014,S19,11
Bhagwanth,BIDAR,0,Graduate Professional,2141,BJP,1045,56559290,16829000,2014,S10,7
Bhagwat Harihar Taware,BEED,0,Graduate,3881,IND,1046,0,0,2014,S13,39
Bhagwati Prasad Chaudhary,ROBERTSGANJ,1,Graduate Professional,9293,INC,1047,21571918,1425250,2014,S24,80
Bhaichung Bhutia,DARJEELING,0,10th Pass,1793,AITC,1048,184406721,7746438,2014,S25,4
Bhailalbhai Chhanabhai Rathod,BARDOLI,0,5th Pass,7311,Aadivasi Sena Party,1049,35124,0,2014,S06,23
Bhairaw Dayal Singh,KARAKAT,0,Post Graduate,39,IND,1050,16847000,0,2014,S04,35
Bhairon Prasad Mishra,BANDA,3,12th Pass,5484,BJP,1051,50034910,600000,2014,S24,48
Bhaiyalal Uikey,KHANDWA,0,Literate,4780,GGP,1052,3265000,500000,2014,S12,28
Bhakta Charan Das,KALAHANDI,1,Graduate Professional,814,INC,1053,11516583,3875982,2014,S18,11
Bhal Chandra Yadav,SANT KABIR NAGAR,10,Graduate,8440,SP,1054,6369213,9499365,2014,S24,62
Bhamare Subhash Ramrao,DHULE,0,Graduate Professional,5203,BJP,1055,125833320,660757,2014,S13,2
Bhambale Vijay Manikrao,PARBHANI,3,10th Pass,3326,NCP,1056,14944093,1895188,2014,S13,17
Bhambhi Chandubhai Mulchandbhai,SABARKANTHA,0,12th Pass,4905,BSP,1057,858000,400000,2014,S06,5
Bhan Singh,JHUNJHUNU,0,10th Pass,2335,Bharatiya Sant Mat Party,1058,452500,0,2014,S20,4
Bhande Dashrath Motiram,RAVER,1,Post Graduate,5596,BSP,1059,34810892,0,2014,S13,4
Bhanji Bhai,BANSWARA,0,8th Pass,2441,JD(U),1060,15752404,250000,2014,S20,20
Bhanu Pratap Singh,JALAUN,0,Post Graduate,5540,BJP,1061,5774068,650000,2014,S24,45
Bhanudas Dhotare,THANE,0,12th Pass,5631,IND,1062,2500000,0,2014,S13,25
Bhanudas Ramdas Sarode,AURANGABAD,0,Not Given,5155,IND,1063,0,0,2014,S13,19
Bhanuprakash.K.L,MANDYA,0,Post Graduate,3809,IND,1064,3828500,0,2014,S10,20
Bhanwar Lal,CHITTORGARH,0,10th Pass,2440,IND,1065,1155000,0,2014,S20,21
Bhanwar Lal,BIKANER,0,10th Pass,2300,BSP,1066,3840000,980000,2014,S20,2
Bhanwar Lal Mali,RAJSAMAND,0,8th Pass,2461,IND,1067,2671280,171200,2014,S20,22
Bhanwar Lal Soni,AJMER,0,8th Pass,3420,IND,1068,1650000,0,2014,S20,13
Bhanwar Lal Waghela,JALORE,0,12th Pass,3433,IND,1069,233675,0,2014,S20,18
Bhanwar Singh Rathore,NAGAUR,0,Graduate,3456,AITC,1070,42000,0,2014,S20,14
Bhanwarlal,UJJAIN,0,10th Pass,4815,Jai Maha Bharath Party,1071,32904,0,2014,S12,22
Bhanwarlal Meghwal,GANGANAGAR,0,Post Graduate,2289,INC,1072,24098177,255803,2014,S20,1
Bhapkar Maruti Sahebrao,MAVAL,18,12th Pass,3360,AAP,1073,14386607,195500,2014,S13,33
Bhar Singh,TONK-SAWAI MADHOPUR,0,5th Pass,5127,Socialist Party (India),1074,211000,0,2014,S20,12
Bharadhawaja,KOPPAL,0,Others,1187,CPI(ML)L,1075,430000,0,2014,S10,8
Bharat,GHAZIPUR,0,12th Pass,9596,Janta Raj Party,1076,1503000,80000,2014,S24,75
Bharat Bhusan Pandey,DURG,1,12th Pass,4674,CPI(ML) Red Star,1077,7402516,50000,2014,S26,7
Bharat Bhushan Pandey,ARRAH,0,Doctorate,2638,Akhil Bharatiya Jan Sangh,1078,1757000,0,2014,S04,32
Bharat Bhushan Sahni,SITAMARHI,0,12th Pass,8551,Sarvajan Kalyan Loktantrik Party,1079,350000,261000,2014,S04,5
Bharat Damodar Londhe,LATUR,0,Graduate,3560,IND,1080,279000,20000,2014,S13,41
Bharat Maroti Kadam,LATUR,0,10th Pass,3551,Ambedkarite Party of India,1081,6906,0,2014,S13,41
Bharat Sen Advocate,SAGAR,0,Graduate Professional,2999,IND,1082,205966,0,2014,S12,5
Bharat Singh,BALLIA,3,Graduate,9218,BJP,1083,21130089,1102553,2014,S24,72
Bharat Tripathi,SITAPUR,0,Post Graduate,5803,SP,1084,18659184,0,2014,S24,30
Bharathi Kannamma,MADURAI,0,Graduate,3839,IND,1085,105000,0,2014,S22,32
Bharathi Mohan R.K,MAYILADUTHURAI,1,12th Pass,7075,AIADMK,1086,7378589,969756,2014,S22,28
"Bharathi, K. Thiru",SRIPERUMBUDUR,0,Post Graduate,7375,CPI(ML)L,1087,1108295,40000,2014,S22,5
Bharathidasan R. Thiru.,SRIPERUMBUDUR,0,Post Graduate,7385,IND,1088,435535,0,2014,S22,5
Bharti Devi Pasi,AKBARPUR,0,Graduate Professional,4266,IND,1089,9262010,0,2014,S24,44
Bhartruhari Mahatab,CUTTACK,0,Post Graduate,3276,BJD,1090,88834098,0,2014,S18,14
Bhaskar Chandra Mohanty,PURI,0,Graduate Professional,3714,BSP,1091,8215000,0,2014,S18,17
Bhaskar Dwivedi,RAJNANDGAON,0,Post Graduate,2809,AAP,1092,12708752,4814872,2014,S26,6
Bhaskar Kaki,KHAMMAM,0,Graduate,4525,IND,1093,2360000,0,2014,S01,17
Bhaskar Marotrao Neware,WARDHA,0,Post Graduate,320,IND,1094,132798,0,2014,S13,8
Bhaskaran K V,ERNAKULAM,1,Graduate,717,IND,1095,4640900,350000,2014,S11,12
Bhausaheb Rajaram Wakchaure,SHIRDI,1,Doctorate,3403,INC,1096,73540816,9030001,2014,S13,38
Bhavani Janakiram,CHENNAI SOUTH,0,Post Graduate,6940,IND,1097,425000,350000,2014,S22,3
Bhavesh Ghanshyambhai Rajyaguru,BHAVNAGAR,0,10th Pass,7318,IND,1098,6703000,123028,2014,S06,15
Bhavesh Patel,DAMAN & DIU,0,Others,6085,BSP,1099,390242,0,2014,U04,1
Bhavna Bhavesh Wasnik,AMRAVATI,0,Post Graduate,316,AAP,1100,12289332,880320,2014,S13,7
